"[ 먼저 요약해서 말씀드리자면요기저귀 겉면을 둘러싼 에어통기홀과등 허리 쪽 허리 밴드의 블루 퀵드라이허리 밴드로 습기 없이], 부정 텍스트 확률 : 63.62%"
"[... ...], 부정 텍스트 확률 : 79.57%"
"[마미포코 가성비 좋죠], 부정 텍스트 확률 : 53.87%"
"[정말 가성비 좋은거 같아요], 부정 텍스트 확률 : 56.41%"
"[.. ..], 부정 텍스트 확률 : 59.13%"
"[ 저희 까페 후기게시판에 글등록시 제목설정은.. .. 위 링크 글 참조하시어 가이드 라인에 기준에 맞게 변경 부탁드려요], 부정 텍스트 확률 : 92.11%"
"[네 깜빡했네요 수정했어요], 부정 텍스트 확률 : 74.91%"
"[ 쿠팡 로켓배송에 보면 리뉴얼되고난뒤 후기들 많아요. 참고하시면될것같아요특대형 맞던애가 리뉴얼되고 사타구니가 떠서 대형으로 바꿨더니 대형도 사타구니가 뜬다는 후기도 있었어요ㅠㅠ], 부정 텍스트 확률 : 67.31%"
"[보라봉아.. 구럼 혹시 뭐쓰시나요? 지금 팩남아서 사려다가 후기들이 너무안좋은터라.. 뭘사야할지를..], 부정 텍스트 확률 : 70.67%"
"[유니맘기흥그냥 밴드로 갈아탔어요. 나비잠 슈퍼드라이요ㅋㅋ 마미포코 보송허그밴드랑 비교하니 더 길고 허리도 편하네요. 발진도 없어서 나중에 슈퍼드라이 팬티로 사려고 해요ㅎㅎ참고하세요], 부정 텍스트 확률 : 92.56%"
"[헉.. 저 마미포코 특대형쓰는데 자고일어나면 사타구니쪽 오줌새서 바지가 다 젖어있어요ㅠ 리뉴얼되고 좀 새는건가봐요ㅠㅠ], 부정 텍스트 확률 : 56.92%"
"[낮엔 안그러나요? 죄송하지만 아가 몇개월 몇키로인가요?특대형좀 넉넉해서 대형바꿔볼까해서요], 부정 텍스트 확률 : 58.87%"
"[유니맘기흥낮에는 활동할때 샌적은 없는데 낮잠잘때는 또 새더라구요ㅠ 엎드려자서 그런건지.. 애기 몸무게는 에 개월이예요 그리구 이번기저귀가 허리가 좀 느슨해진 느낌? 이더라구요], 부정 텍스트 확률 : 93.71%"
"[흠 .. 괜찮다는 분도 계시긴하는데.. 저희아들은 기저귀가 잘 새는편?이라 괜히 더 신경쓰여서요.], 부정 텍스트 확률 : 91.64%"
"[ 저도 요새 팬티기저귀 써볼까 알아보는 중인데 요런 정리글 고맙습니다 저는 일단 하기스에어솔솔로 주문해놨어요 아무래도 여름이라 얇은 걸로 도전해보려구요 이거 써보고 지금 쓰는 팸퍼스꺼로 가보려합니다ㅎ 전 팸퍼스 베이비드라이보다는 크루저가 훨씬 좋은데 크루저라인은 팬티가 안 나오는 거 같네용 팬티 유목민되면 여튼 참고해서 구입할게요 고맙습니다😀], 부정 텍스트 확률 : 61.64%"
"[얇은 건 슈퍼대디랑.페넬로페가 얇았어요. 팸퍼스는 밤에 쓰기 딱좋아요 진짜 흡수가 남다른거같아요.], 부정 텍스트 확률 : 52.34%"
"[밤둥이들 부천맞아요 저는 낮에는 팸퍼스 베이비드라이쓰고 밤에는 팸퍼스 크루저 쓰는데 매우 만족하고 있어요ㅎㅎㅎ], 부정 텍스트 확률 : 62.77%"
"[메리즈만 쓰구있는데일본꺼라ㅜ 한팩남은거 다쓰고 어떤걸로 갈아탈지 고민이에유ㅜ메리즈 충족할만게 뭐가있을까요?ㅜ], 부정 텍스트 확률 : 86.09%"
"[전 나비잠], 부정 텍스트 확률 : 58.73%"
"[오 나비잠 사봐야겠어오 저도 맥스 하기스 라인은 밴드는 주구장창 썼는데 팬티형은 편해보이지 않아서 망설이게돼요ㅜ 밤기저귀로 맥스 밴드 쓰자니 애들이 너무 뒤집어대서ㅜㅜ 있던거 다 쓰고 재구매는 망설이고있어요ㅠ], 부정 텍스트 확률 : 92.53%"
"[앤디님 나비잠.종류가 넘 많은데 뭐쓰세요?], 부정 텍스트 확률 : 67.86%"
"[... ...], 부정 텍스트 확률 : 79.57%"
"[... ...], 부정 텍스트 확률 : 79.57%"
"[ 저도 슈베스가 젤 낫던데 큰 사이즈 써도 마니 작은가요??마미포코 완전 별로에요 흡수력이 너므너므 떨어져서... 써본 기저귀 중에 젤 별론거 같아요], 부정 텍스트 확률 : 99.90%"
"[썸머그린 팬티 대형쓰고 있어요 울집 아기 .키로때 부터 쓰고 있는데 배꼽위로 올라오고 밑도 많이 남는편인데 옆으로는 안새요 흡수도 괜찮아요에어핏인가 그게 쫌 더 얇은편이예요], 부정 텍스트 확률 : 53.96%"
"[저도 아이어릴때 슈베스쓰다가 폭이좁아 자꾸새서 마미포코썼는데쭉 정착했었어요 흡수력은 써본것중 슈베스가젤좋은거같지만 그렇게따지고보면 이것저것흡수력다비슷하던데요그나마 마미포코가 폭도커서 새는일없고 어차피기저귀는 오랜시간차고있는것도아니고 자주갈아줘야되니 마미포코 좋아서 정착했었네요 마미포코 흡수력떨어지지않던데요 좋던데요..], 부정 텍스트 확률 : 99.66%"
"[저도 이것저것 오만거 다써보다가 마미포코정착했어요 쓸만한게좋던데요저는], 부정 텍스트 확률 : 88.98%"
"[저는 페넬로페가 그나마 낫더라구요 씬씬씬 사용하는데 슬림하구용], 부정 텍스트 확률 : 91.19%"
"[ 천기저귀 써보고 싶었는데오전에 딴 드림에 줄서버려서 아쉽네용], 부정 텍스트 확률 : 76.75%"
"[구름보보대단하셔요산후조리 좀 끝나고부터 써볼까 싶은데산후도우미가 싫어하진 않을까 걱정도 되네요..], 부정 텍스트 확률 : 79.40%"
"[구름보보땅콩 빨래 마르는건 어때요?겹쳐있어서 소창기저귀보다 잘 안마를거같기도해서요], 부정 텍스트 확률 : 61.14%"
"[ 그래요. 몰랐네요.그럼 안되겠네요. 몇년 되었거든요.ㅜㅜ], 부정 텍스트 확률 : 86.56%"
"[기름닦고 애들 물이나 음료 쏟으면 닦고하면 최고의 재활용?되세요], 부정 텍스트 확률 : 50.19%"
"[저요 줄서요], 부정 텍스트 확률 : 69.34%"
"[줄서요], 부정 텍스트 확률 : 60.00%"
"[앱에서 봤어요 카페에서 당첨소식 들리는 글이 올라오겠죠?], 부정 텍스트 확률 : 77.61%"
"[ 발진도 없고 괜찮은데 버릴따 붙히는 테잎부분이 약해요 그거 빼고는 마미포코 좋아요 오랫동안 썼어요], 부정 텍스트 확률 : 82.60%"
"[아 킨도보다 나아요?.?], 부정 텍스트 확률 : 60.37%"
"[쑤쑤태장가격대비좋았어요저희딸은], 부정 텍스트 확률 : 73.99%"
"[ 유독발진생기고], 부정 텍스트 확률 : 57.19%"
"[ 조금만싸도딸국질했었어요], 부정 텍스트 확률 : 63.12%"
"[저는 하기스보다 마미포코가 더 좋았어요], 부정 텍스트 확률 : 77.84%"
"[ 라프를 안써봐서 비교는 못해드리겠지만 보송허그는 괜찮아서 지금도 쓰고 있어요.], 부정 텍스트 확률 : 71.99%"
"[리프는별로에요 금방더축축해져요], 부정 텍스트 확률 : 95.71%"
"[마미포코금방 축축해져요외출해서 못갈아주면 바지까지 축축했어요 ㅠ그래선 전 팸퍼스 써요ㅋㅋㅋㅋ], 부정 텍스트 확률 : 85.84%"
"[ 첫째때는 마미포코만 사용했어요. 하기스는 찍찍이가 까슬려서 아이 피부에 쓸림이 좀 있드라구요. 아이마다 다르겠지만...], 부정 텍스트 확률 : 72.80%"
"[저도 써봐야겠어요], 부정 텍스트 확률 : 66.52%"
"[팬티형은 첫째둘째 마미포코 썼는데 괜찮았어요], 부정 텍스트 확률 : 74.83%"
"[ 이름도 일본스러워요 ], 부정 텍스트 확률 : 88.64%"
"[알고나니까 그렇게 보이네요], 부정 텍스트 확률 : 55.98%"
"[저구래서 보솜이랑하기스 로 바꼇어영 ㅎㅎ], 부정 텍스트 확률 : 53.86%"
"[그러게요🤭🤭🤭🤭😆], 부정 텍스트 확률 : 79.65%"
"[거를게 많네요 그래도 끝까지 불매해야지요], 부정 텍스트 확률 : 94.71%"
"[완전 꼼꼼...하시네여아기들 체형도 다르고 ㅠ 기저귀 회사 별로 보면사이즈 키로수도 조금씩 차이 나더라구요 보솜이는 엉덩이 보일 정도였음 아마 사이즈가 작아서샜나봐여 담에 사이즈 업 해서 사심 그럴 일 없을듯여], 부정 텍스트 확률 : 99.24%"
"[저도 다양하게 쓰다가 최근에 밤보네이처 썼는데 요거 만족해요 ], 부정 텍스트 확률 : 64.14%"
"[ 기저귀는 팬티가 편해요 신세계가 펼쳐질거에요], 부정 텍스트 확률 : 78.44%"
"[이요 에어핏이 젤 무나니한 거 같아유], 부정 텍스트 확률 : 65.79%"
"[.. ..], 부정 텍스트 확률 : 59.13%"
"[그치요 ㅋㅋ 저희도 잘쓰고있습니다 ㅋㅋ], 부정 텍스트 확률 : 60.82%"
"[ 굿밤되세요], 부정 텍스트 확률 : 73.64%"
"[저두 써야하는데 굿밤되세요], 부정 텍스트 확률 : 87.88%"
"[ 오호 한번 해볼까나요? 전 매번 하기스만 써서 다른건 안써봣거덩요..], 부정 텍스트 확률 : 83.88%"
"[저도 출산일이 많이남아서 패스했어용 ㅜㅜ], 부정 텍스트 확률 : 69.63%"
"[사이즈가 없어서 넘 아쉽더라구여ㅜ소형 없어서는], 부정 텍스트 확률 : 56.81%"
"[ 메리즈는 팬티가 갑이에요여름이라 약간 두꺼운듯해서 지금 잠시 안쓰는중인데 전 여름 낮기저귀 빼곤 일년내내 메리즈 팬티만 써요ㅋㅋㅋ], 부정 텍스트 확률 : 65.40%"
"[저두 메리즈만써요신생아때 여러가지써보고 네이처로정착했었는데 돌쯤?발진생기더라고요그때카페서 메리즈란브랜드를알았고 한번써본뒤론 쭉써요오래차고있어도발진절대없고좋더라고요더워지니 밴드쪽에 땀나서뭐써야되나 고민이네요ㅜㅜ], 부정 텍스트 확률 : 76.71%"
"[우와 현존하는 기저귀는 다 써보신 것 같아용ㅋㅋㅋ 저의 최애 기저귀는 킨도였어요ㅎㅎ 최악은 마미포코...평타는 군이랑 팸퍼스ㅎ 전 종류 써보고 바로 정착했어요 댓글보니 메리즈도 궁금하네요], 부정 텍스트 확률 : 99.22%"
"[킨도는 소변냄새만 아쉽더라구요. 요번에 리뉴얼돼서 새로 나온다고 해요.], 부정 텍스트 확률 : 93.17%"
"[궁금해요. 메리즈 사기 전에 마시멜로랑 고민했었어요.], 부정 텍스트 확률 : 76.62%"
"[이렇게 많이 써보셨는데 저랑 겹치는게 많진않네용ㅋㅋㅋ 전 프로게을러라 후기는 못썼어요 ㅜ메리즈 군오리지날 마시멜로우팸퍼스 슈베스 대디베이비 베베몬 앙블랑 하기스네이쳐 매직핏 보솜이리얼코튼 천연코튼 디오가닉 쿠잉 마미포코보송허그 리프가닉 킨도보라색 슬림 네이쳐러브메레 ..음. 기억나는건 이정도네요 ㅋㅋㅋ 생각보다 슈베스 앙블랑시간 통잠에도 안쪽이 뽀송 괜찮았고 밤기저귀로 유명한 팸퍼스는 밖은 뽀송하지만 아기피부닿는곳은 축축해서 실망했어요 ㅜ 더써보려고 샘플받아놓은거 또 많아서 후기한번 적어보고픈데 이번생앤 글렀어요 ㅋㄹㅋㅋ리베로 에이메르 키티 기다리고 있네요 ㅋㅋㅋ], 부정 텍스트 확률 : 57.50%"
"[ 줄서요], 부정 텍스트 확률 : 60.00%"
"[ 반드시 드림], 부정 텍스트 확률 : 53.29%"
"[아네 알겠습니다.], 부정 텍스트 확률 : 66.63%"
"[텀즈 혹시 팔렸나요?], 부정 텍스트 확률 : 74.41%"
"[아직 안팔렸어요], 부정 텍스트 확률 : 53.34%"
"[꼼꼼이마미그거제가 사고싶은데 어디세요], 부정 텍스트 확률 : 57.41%"
"[ 진접하유니챗 드렸어요], 부정 텍스트 확률 : 52.10%"
"[ 지역이 어디인가요?], 부정 텍스트 확률 : 53.78%"
"[ 포티 구매원합니다], 부정 텍스트 확률 : 53.29%"
"[챗이요], 부정 텍스트 확률 : 53.63%"
"[ 먼저 요약해서 말씀드리자면요기저귀 겉면을 둘러싼 에어통기홀과등 허리 쪽 허리 밴드의 블루 퀵드라이허리 밴드로 습기 없이], 부정 텍스트 확률 : 63.62%"
"[ 많은 분들이 쿠팡 로켓배송을 이용하시겠죠?전날 새벽 시이전에만 주문을 하면로켓배송으로 다음날 받을 수 있어서저희 가족 역시 매우 자주 애용하는데요이번에 쿠팡전용으로 마미포코 신제품이나왔답니다 그건 바로], 부정 텍스트 확률 : 85.07%"
"[깐깐한 저희 부부가 오직아들의 뽀송함과 쾌적함을 생각해서선택한 마미포코 골드 통기케어팬티는어떤 기능과 장점이 있는지한번 꼼꼼히 살펴볼까요?], 부정 텍스트 확률 : 60.25%"
"[ 개인적으로 마미포코 같은 경우이번 신제품이 아니더라도 이전부터쭉 사용했었는데요우연찮게 기존에 사용하던 기저귀를주문하기 위해 검색하다가 이 팬티기저귀를발견하였다죠 그리곤 우리 아들이 요즘 습기가 많이차는데?싶어 과감하게 한번 써보자며로켓배송으로 주문했습니다 ], 부정 텍스트 확률 : 99.43%"
"[ 저흰 단계 특대형 남아용으로 주문을 하였으니 참고하시구요단계는 단계], 부정 텍스트 확률 : 94.44%"
"[ 단계], 부정 텍스트 확률 : 53.29%"
"[ 단계가 있으며여아용과 남아용으로 나뉩니다. ], 부정 텍스트 확률 : 86.30%"
"[ 아기의 기저귀를 선택하는데 있어서가장 중요한 부분은 뭘까요?제가 직접 착용을 안해봐서잘은 모르겠습니다만ㅋㅋ아마 편리성이겠죠?밤잠 중 에 소변이 새어나오진 않는지], 부정 텍스트 확률 : 62.62%"
"[놀때도 흘리고], 부정 텍스트 확률 : 61.06%"
"[ 로켓배송으로 마미포코 골드 통기케어팬티를받자마자 이렇게 뜯어보았습니다 안그래도 기저귀를 갈 때가 되었거든요오직 마미포코 골드에만 있다고 하는블루 퀵드라이 허리 밴드는 대체어떻게 생긴거지?정말 통기성이 뛰어나겠지?기저귀 겉면 전체에 미세한 구멍들이 송송뚫여있는에어 통기홀도 있어서 통기성이 매우뛰어난 기저귀라고 하는데요우리 아들에게 안성맞춤인듯 싶었습니다], 부정 텍스트 확률 : 57.27%"
"[통기성이 떨어진다는거겠죠?하지만 마미포코 통기케어팬티는다릅니다 ], 부정 텍스트 확률 : 74.65%"
"[허리 라인에땀범벅이 되는 아들을 위해준비해보았습니다 ], 부정 텍스트 확률 : 73.23%"
"[ 보다 상세한 리뷰를 위해 사용하지 않은 통기케어팬티를 한장 뜯어보았습니다], 부정 텍스트 확률 : 73.26%"
"[ 그럼 소변이 얼마나 잘 흡수되는지도알아봐야겠죠?사용하지 않은 팬티기저구와사과쥬스를 준비해보았습니다], 부정 텍스트 확률 : 58.45%"
"[ 첫째아들은 해당사항이 아니지만둘째 같은 경우 또래에 비해무게가 상당히 많이 나가는편인데영유아 검진ㅋㅋ몸무게만큼 허벅지 사이즈 또한어마무시하거든요통기성팬티는 허벅지 부위도 신축성이좋은편이라 아들이 편안해 하지않을까 생각해보았습니다], 부정 텍스트 확률 : 94.15%"
"[ 신축성이 없는 팬티기저귀를 입히면허리에 밴드 자국이 남는 경우가 있어서혹시나 아들이 불편해 하진 않을까걱정 되었는데 통기케어밴드는부드러워서 그런 걱정을 할 필요가없다죠], 부정 텍스트 확률 : 83.16%"
"[ 이렇게 잘 늘어 나니까요 오직 마미포코 골드 통기케어팬티에만있는 블루 퀵드라이 허리 밴드환경에 따라 아기가 더워서 땀을 흘릴때습기가 유독 많이 생기는 부위죠?그런데 블루 퀵드라이 허리 밴드라습기찰 걱정 없답니다 ], 부정 텍스트 확률 : 74.50%"
"[ 부드러운 신축성으로 편하고], 부정 텍스트 확률 : 71.95%"
"[ 다리 밴드 같은 경우 이중 옆샘 방지라서일상에서는 물론 밤 잠 중에도소변을 봤을때 새어나올 걱정이없다죠 ], 부정 텍스트 확률 : 54.90%"
"[ 집에서 트램펄린 위에서 점프도 하며하루종일 오르고], 부정 텍스트 확률 : 75.93%"
"[뛰며가만히 있지를 못하는데요ㅋㅋ이처럼 활동성이 뛰어난 아기라면기저귀의 신축성이나 소재에 대해각별히 신경을 써야 되지 않을까요 ], 부정 텍스트 확률 : 93.25%"
"[편해라고 대답을 하곤 합니다정말 편해서 편하다고 하는건지는잘 모르겠지만싫거나 안 좋을땐싫어 ], 부정 텍스트 확률 : 96.63%"
"[때찌 ], 부정 텍스트 확률 : 53.29%"
"[안좋아 라고 대답은할 줄 아는 아들이기에 어느정도신빈성은 있다고 봐야겠죠?ㅋㅋ ], 부정 텍스트 확률 : 62.30%"
"[ 겨울이라 옷을 두텁게 입히고], 부정 텍스트 확률 : 66.64%"
"[ 마미포코 팬티기저귀 신제품마미포코 골드 통기케어팬티잘 보셨나요?이 정도면 통기성이 매우 뛰어나다고말씀드릴만 하죠?통기성이 떨어져서 땀띠나 짓무름 등으로고생중이시라면 이 참에쿠팡 로켓배송이 가능한 통기케어팬티로 바꿔보시는건어떨까요? ], 부정 텍스트 확률 : 94.11%"
"[ 이 리뷰는 업체로부터 제품과 소정의원고료를 지급 받아 작성된 솔직한 후기 입니다], 부정 텍스트 확률 : 62.78%"
"[그리고 좀 말라도 괜찮을만큼 허벅지쪽 밴드가 쫀쫀해서 쉬야나 응가가 세지는 않을거 같아요 보통 밴드기저귀에서 팬티기저귀로 넘어갈때는 거의 중형으로 선택하기 때문에 요맘때 아기들 쓰기에는 적당할거 같습니다용], 부정 텍스트 확률 : 81.75%"
"[ 마미포코 팬티기저귀에서 가장 중요한 핵심이 바로 이부분이죠 냉기저감 시트를 사용하여 요즘 같은 날씨에 쉽게 차가워지는 소변의 냉기를 차단하여 아이의 체온을 유지키셔 준답니다 거기다 기존 자사제품 대비 되묻어남이 나 감소했다는점 소변을 흡수한 기저귀는 아무래도 차가워지잖아요..? 근데 아이들은 성인들에 비해서 체온을 조절하는 능력이 미숙하기 때문에 딸꾹질을 자주 하게 되는거구요.. 그런부분을 보완해서 소변을 흡수한 기저귀에서 다시 배출되는 냉기를 아기피부에 전달되지 않도록 도와주는 시트랍니다 ], 부정 텍스트 확률 : 90.56%"
"[ 이 기능때문에 기저귀의 성능자체는 별로이지 않을까 라고 생각하신다면 걱정안하셔두 된답니다ㅎㅎ 밤기저귀로 사용해도 좋을만큼 흡수력도 괜찮구요 옆샘 방지도 잘되어서 아직 한번도 쉬나 응가가 새어나오지 않았어요 그리고 또 통통베이비인 저희 아기 허벅지나 배에 밴드자국이 남지도 않았구요탄력이 짱짱ㅎㅎㅎ ], 부정 텍스트 확률 : 99.01%"
"[ 실제 착용한 아이 모습도 보여드려야 겠죠? ㅎㅎ 감기 걸려서 힘들어 하는 베뷔 ㅠㅠㅠ 그래도 마미포코 피부온기케어팬티가 있어서 쬐금은 안심? 이랄까요 ㅎㅎ 병원에 데리고 갈때도 사실 병원 내에서 대기도 긴데 기저귀 갈아주려고 눕히기 찜찜하고 그래서 ㅠㅠㅋ 기저귀를 갈아주지 못하고 돌아오는 경우가 많은데 좀 오래 해두더라도 크게 걱정 안되더라구요 ㅎㅎ], 부정 텍스트 확률 : 59.39%"
"[ 도 허리밴드는 아기의 움직임에 맞게끔 부드럽게 늘어나는 신축성이 좋은 밴드라서 흘러내림도 없고 꽉끼임도 없어요위에 옷을 두겹이나 입혀도 ㅋㅋㅋㅋ 자국이 남거나 기저귀가 안에서 돌아가거나 하는거 없더라구요 ], 부정 텍스트 확률 : 91.64%"
"[ 바지를 입혀놓은 이 귀여운 온돈이 ㅋㅋㅋㅋ첫째랑 둘째는 이 기저귀 핏을 이제 잘 못봐서 섭섭한데 셋찌가 그 맘을 채워주네용 ㅋㅋㅋㅋㅋ], 부정 텍스트 확률 : 55.73%"
"[ 하루종일 딸꾹질도 안하고잘 놀고 이제는 씻을 시간이라서 목욕준비도 했구요ㅎㅎ 제가 셋째 목욕시키려고 하면 첫째가 넘 귀엽게도 맨날 기저귀 갖다주거든요 ㅋㅋㅋ 옷도 꺼내주고 로션도 ㅋㅋㅋㅋ 엄마보다 낫다 너...ㅋㅋㅋ 기저귀 가져다주면서 엄마 서윤이꺼 새로운거네?이러면서 말이쥬 ㅋㅋㅋ], 부정 텍스트 확률 : 84.05%"
"[ 깨끗하게 씻고 기저귀까지 완료 ㅋㅋ겨울이라서 옷을 길게 입고 있으니 이 통통하고 하얗고 소오오중한..... 몸을 씻겨줄때만 봐서 아쉽ㅋㅋㅋㅋ ], 부정 텍스트 확률 : 63.05%"
"[ 허리밴드도 넘 부드럽고 신축성이 좋다 보니까 제가 그냥 보기에도 불편함이 전혀 없어보여요], 부정 텍스트 확률 : 97.70%"
"[ 아무래도 옆샘방지 밴드가 아기 다리에 잘 핏되어서 새지 않았던거 같아요], 부정 텍스트 확률 : 73.93%"
"[ 마미포코 피부 온기케어팬티 기저귀 는 단계중형 기거나 일어서려는 아기 단계대형 걷기 시작하는 아기 단계특대형아 장아장 걷는아기 한 팩당 각 매], 부정 텍스트 확률 : 72.74%"
"[매로 구성되어있어요. ], 부정 텍스트 확률 : 53.94%"
"[ 바로 저 올록볼록한 시트가 피부 온기케어팬티의 냉기저감시트인데요 소변을 흡수한 기저귀가 차가워지면 성인보다 체온조절능력이 미숙한 아기들은 딸꾹질같은 생리현상이 나타나게 되는데요 마미포코 피부 온기케어팬티는 바로 저 올록볼록한 냉기저감시트로 소변을 흡수한 기저귀에서 배출되는 냉기를 아이피부에 전달되지 않게 가둬서 아이의 급격한 체온저하를 방지해줘요 ], 부정 텍스트 확률 : 91.18%"
"[ 냉기저감시트는 온기케어만 되는게 아니라 되묻어남도 자사제품 대비해서 나 줄어들었어요 덕분에 아기 피부를 보송보송하고 쾌적하게 지켜줄수있어요], 부정 텍스트 확률 : 79.60%"
"[.와우... 오늘은 정말 하루종일 춥다..겨울이 너무 빨리 후다닥 온것 같아 .가을이 어땠는지 기억이 벌써 가물가물 한다...아가랑 제대로 놀러다니지도 못했는데.아쉽지만 이겨울을 또 강인하게 보내보고자.연말에 여행을 또 잡았다...그런데 늘 여행을 가면 고민이 있다...차 이동이 많다는 점..움직임도 많다는 점.기저귀를 자주 갈기는 어렵다는 점.히터를 많이 틀어서 젖은 엉덩이는 발진을 가져온다는점...할말하않.. ], 부정 텍스트 확률 : 88.43%"
"[ .마미포코 골드통기케어도 대형이 몸무게에는 맞지만중형을 사도 워낙 핏감이나 신축성이 좋다고 들었기에조금 고민하다 으로 했다.역시 정답이었다.허벅지], 부정 텍스트 확률 : 95.94%"
"[ 골드라 그런지 패키지가 고급지다.한팩에 매로 넉넉하다.선물용으로도 적당하면서 묵직해서 아기가 있는집 집들이라면 당연 이런선물이 휴지보다 훨씬 더 환영이다.가격대도 괜찮고 후기가 좋은 브랜드라 믿고 주는 선물이 될 것이다. ], 부정 텍스트 확률 : 70.68%"
"[ .팬티기저귀 사이즈는 가지로 중형], 부정 텍스트 확률 : 65.87%"
"[ 허벅지], 부정 텍스트 확률 : 53.29%"
"[허리 모두 쫘악 늘어난다.쉽게 입히고 딱맞게 착용하니여행에도 차에서도 걱정이 없다..골드통기케어팬티만의 장점은전체가 다 에어통기홀이다. ], 부정 텍스트 확률 : 88.53%"
"[ .마미포코의 매력적이 뒤태.골드통기케어팬티 그림은 유니콘이다.은은한 색감이 사랑스럽다.진한 느낌이 아니어서 혹시나 여름에 화이트 레깅스에 입어도 문제없을 것 같다.너무 진한 프린팅은 옷매치할때 비치는 경우도 있었다], 부정 텍스트 확률 : 78.74%"
"[ .팬티기저귀.마미포코 골드통기케어팬티는 도 통기성 밴드는 기본이고 넓은 허리부분이 아이를 편안하게 한다.이제 말도 잘하고 자기 표현도 워낙 서슴없이 해서 이거 별로야 불편해기저귀때문에 아파등 별말을 다하는데이거입고 아무말 없다는건까다로움 아이에게 문제없었다는 뜻. ], 부정 텍스트 확률 : 99.99%"
"[ 팬티기저귀 추천할때 흡수성 테스트 통기성테스트 등 많이 하는데실제로 입혀보고 일상에서 겪는것 만큼 정확한 테스트는 없을 것이다.워낙 바쁜 아빠도 기저귀 보더니딱 봐도 입히기 편해보이네이말을 했다.육아템은 관심없는 사람이 봐도 제대로 잘 만들었구나 싶은가보다. ], 부정 텍스트 확률 : 53.80%"
"[ 마미포코의 허벅지를 둘러싸는 부분이 특히 넓어서 날개세워 곱게 입히지 않고 대충입혀도 밤잠까지 문제없다. ], 부정 텍스트 확률 : 62.75%"
"[ 다니는 거의 개월 즈음에 이미 키로를 찍었거든요 ㅋ허벅지도 통통한 아이라서 개월수 맞는거 사도허벅지가 좀 끼는? 느낌이었어요근데 요즘 감기로 많이 아파서 그런지 아직도 키대로 유지ㅠ여튼], 부정 텍스트 확률 : 57.57%"
"[ 다른건 모르겠고], 부정 텍스트 확률 : 68.65%"
"[등이나 기저귀가 눌리는 딱 저 부분은습기가 많이차서가끔 오돌토돌 땀띠가 날 때도 있거든요때문에 항상 새벽에 가서 체크해준 후쉬아를 안했어도 기저귀를 새걸로 갈아주곤 했었는데이제 그런 걱정은 그만ㅋ신기한게 원래 이 정도면 답답해서칭얼거리고 했어야되는데자면서 덥거나 땀 흘려도 기저귀는 뽀송 하더라구요바로 저 블루 퀵드라이 허리밴드때문에습기를 싸악 흡수시켜 기저귀로인해 생기기쉬운땀띠나 짓무름까지 싸악 없애줘요 ], 부정 텍스트 확률 : 53.05%"
"[ 이래 막 걸어다니고 움직여도마미포코 통기케어팬티 기저귀는우리다니 옹동이에 찹 달라붙어서 제 역할을 충실히 하쥬잉 ㅋ에어 통기홀로 밤새 뽀송 ], 부정 텍스트 확률 : 62.29%"
"[통기성], 부정 텍스트 확률 : 53.29%"
"[뽀송함], 부정 텍스트 확률 : 53.29%"
"[착용감 뭐 하나 빠지는게 없어서이제 다니가 기저귀를 차는 남은 기간동안 쭈욱 쓰고싶을정도로인생기저귀를 찾은 것 같아요], 부정 텍스트 확률 : 77.45%"
"[ 그래서 어디 좋은 기저귀가 없을까 고민을 하던 중에 평소 쿠팡 주문을 자주 하는 저는 통기케어팬티 라는 단어가 눈에 딱 들어옵니다.마미포코 기저귀 인데 이번에 신제품으로마미포코 골드 통기케어팬티 가 쿠팡 전용으로 나왔다고 하더라구요. 기저귀 이름에 떡하니 통기케어팬티 라고 적혀있으니 통기성이 좋은 기저귀인가 보다 싶어 바로 주문 을 했어요.다른 온라인몰에서도 판매하나 한번 찾아봤는데쿠팡 전용 상품 인듯해요. ], 부정 텍스트 확률 : 64.42%"
"[ 마미포코 골드통기케어 팬티기저귀는 아래 사진과 같은 모습입니다.뒤는 뒤라고 글씨가 크게 쓰여있네요. ], 부정 텍스트 확률 : 62.96%"
"[ 기저귀 두께는 두껍지 않고 얇은 편인 것 같아요.요즘 날씨가 추워져 옷도 두꺼운데 기저귀까지 두꺼우면 아기가 많이 답답할 수 있는데], 부정 텍스트 확률 : 62.10%"
"[마미포코 골드통기케어팬티기저귀 는얇아서 그 위에 두꺼운 옷을 입혀도 아가가 답답해하지 않고], 부정 텍스트 확률 : 65.87%"
"[또 기저귀 때문에 엉덩이가 불룩 튀어나오지도 않습니다. ], 부정 텍스트 확률 : 61.52%"
"[ 하루에 평균 시간 내외 잠을 자느라 늘 누워만 지내는 우리 또미], 부정 텍스트 확률 : 86.63%"
"[기저귀를 갈아주려고 봤더니 역시나 허리와 엉덩이가 습한 게 느껴져요.또미야 이제 시원한 통기성 기저귀다 ], 부정 텍스트 확률 : 87.51%"
