"[ 우리집 아기는 큰 볼일을 보면 꼭 새 기저귀 한 개 이상은 버리게 되는데 다 끝났다.... 싶어서 새 기저귀를 갖다 대면 또 싸고], 긍정 텍스트 확률 : 76.15%"
"[오늘은 산모교실 친구 추천을 받고 다녀온 맘껏스쿨 산모교실 후기를 작성하려구요기본선물부터 경품 선물까지 대박이라고 신나서 얘기해준 친구 덕분에 맘껏 스쿨 산모교실을 알게 되었어요], 긍정 텍스트 확률 : 85.85%"
"[ 참석자 전원 이 받을 수 있는임신 출산 무료 선물 박스 처음 선물구성이 너무 알차죠??맘껏 스쿨 산모교실 가기 전 맘껏 스쿨 카페에 가입 후 후기들을 보았는데 정말 기본 선물들도 어마어마하고간단한 이벤트 참여만으로도 선물도 많이 받으셨고 또한 경품 선물도 많아서 양손 가득 채움 태교하신 맘님들이 많으셨더라고요 그만큼 기대가 되어서 몸이 무거워서 힘든 만삭 산모이지만 신랑 살살 꼬셔서 서울에서 일산까지 차 타고 슝 다녀왔어요 ], 긍정 텍스트 확률 : 99.41%"
"[ 접수처에서 친절한 안내를 받고 간단하게 행운권 작성 후 입장하였어요부스도 몇 개 없었지만 부스 투어 강요가 없기 때문에 스탬프 받지 않고 바로 행운권 응모할 수 있어서 좋았어요], 긍정 텍스트 확률 : 75.60%"
"[ 맘껏 스쿨 산모교실에 참석하기 전에 소문 내기 이벤트 참여를 했는데요모집 페이지를 회원 만 명 임신육아카페 곳 이상 소문내고댓글로 남겼는데 당첨자 발표날 당첨 안내 문자와 소문 내기 이벤트 당첨자 문자까지 받게 되어서 기분이 두 배로 좋았다는 사실맘껏 산모교실 접수처에서소문 내기 이벤트 참여 한카페닉네임을 확인 하고 선물을 받고 입장할 수 있었지요 ], 긍정 텍스트 확률 : 92.17%"
"[ 소문 내기 이벤트 참여 하고 받은독일 순수 스킨케어 오이보스로션소비자가 ], 긍정 텍스트 확률 : 53.74%"
"[핸드폰 번호를적어서 문자 발송하고 추가 당첨 여부 문자 답변 기다리면 끝선착순 명에 친구 초청 동반 한하여], 긍정 텍스트 확률 : 85.16%"
"[초청자와 친구 두 분 모두에게 케이 맘 기저귀정품 을선물로 주신다고 하셨어요저는 산모교실 함께 다녔던 친구들이 한 명씩 출산을 하고 있어서 혼자 가게 되었는데 초대 이벤트 선물도 너무 좋아서 아쉬웠네요ㅠㅠ ], 긍정 텍스트 확률 : 99.90%"
"[요즘 뜨고 있는 링이 링거 워터], 긍정 텍스트 확률 : 70.61%"
"[세탁 수], 긍정 텍스트 확률 : 68.64%"
"[맘스다이어리 맘스팩 까지도착하자마자 경품 구경 삼매경에 빠져서 신났네요 ], 긍정 텍스트 확률 : 64.29%"
"[ 그중에 제일 눈에 들어왔던닥터 웰골반 마사지기맘껏스쿨 산모교실을 처음으로 다녀온 제 친구가 닥터 웰 골반 마사지기에 당첨이 되었더라고요 마이 부러워 따 ㅠㅠ아가 낳고 골반이 많이 틀어져서 고생할 때 골반교정하기에좋을 것 같은 골반 마사지기 당첨 기대해봅니다그리고 이번산모교실의 특별 전원 선물로명성이 자자한몽디에스 수딩젤 도 기대되더라고요], 긍정 텍스트 확률 : 99.66%"
"[ 오늘 맘껏 스쿨 사회자는 맘껏 스쿨 전속개그맨 김범준 님께서진행해주셨는데요현재 맘껏 스쿨뿐만 아니라전속 리포터 겸 저희 고향인 남원시 홍보대사까지많은 활동을 펼치고 계시더라고요 너무 유쾌하시고 에너지 넘치셨어요역시 전문 답게깔끔한 진행과 재치 있는 유머로웃음 태교할수 있었어요 개그맨 김범준 님 인스타☆ ↓ ↓ ↓ ↓ ↓ ↓ ↓ ↓ .... ], 긍정 텍스트 확률 : 86.69%"
"[ 입장 시 저에게 어디서 뵈었다고 하셔서 제가 놀라 서 저 저저 처음이에요 서울 살아요라고말씀드렸는데 아니 또 오셔도 되는데 어디서 뵀던 것 같아서요 라고더 당황하셔서 말씀하셨어요 ㅎㅎㅎ인상이 참 좋으셨던 관계자님께서 맘껏 스쿨 김맘껏 대표님이셨네요간단한 인사와 맘껏 스쿨 소개와 이벤트 참여에 대해서 말씀해 주셨는데요 인상 좋으시고 친절하신 만큼 유익한 강의 알찬 정보들도 많이 제공해주시지만 선물도 정말 푸짐하게 제공해주시는맘껏 스쿨 대표님여기 산모교실 선물 참 잘해요 ], 긍정 텍스트 확률 : 99.98%"
"[ 맘껏 스쿨 참여 전이벤트도 있지만현장 이벤트 참여하고받는 선물 또한 어마어마했답니다맘껏 스쿨일산 참여하신 맘님들이 명명 정도 되었던 것 같은 데 이벤트 참여 선물도 개나 되는데 경품 선물 또한개라니 혜자 선물 맞지요???이벤트 선물이 당첨되어도 경품 선물까지 중복 당첨이 가능해서선물 받을 수 있는 행운이 마구 쏟아졌습니다 저는 당첨 문자 안내사항을 보고미리 이벤트를 참여하고 맘껏 스쿨 산모교실에 참석하였는데요복잡하지 않고 간단한 이벤트 참여라서 신나게 응모했네요 아이보리 어플 가입맘스다이어리 어플가입프리미엄 물티슈 달 토랑개씩 선물로 받을 수있어요전원 제공태주산업과 카톡 풀친 맺기 이벤트카톡플친을 맺고 채팅을 클릭 후 메시지 전송하고 세상에서 가장 안전한원터치 콘센트 클릭탭 을 선물로 받을 수 있어요현장에서 명 추첨아모르 파파와 카톡 풀친 맺기 이벤트아모르 파파와 카톡 플친을 맺고 채팅을 클릭 후 메시지 전송하고아모르 파파 초코초 크림 을 선물로 받을 수 있어요 현장에서 명 추첨브라운 물티슈와 카톡 풀친 맺기 이벤트브라운 물티슈와 카톡 플친을 맺고채팅을 클릭 후 메시지 전송하고 브라운 물티슈 세트 를 선물로 받을 수 있어요현장에서 명 추첨토털 헬스케어 닥터 웰과 카톡 풀친 맺기 이벤트토털 헬스케어와 카톡 플친을 맺고채팅을 클릭 후 메시지 전송하고 닥터 웰 테라고 힐 아로마 오일 을 선물로 받을 수 있어요현장에서 명 추첨우리 아이연구소와 카톡 풀친 맺기 이벤트우리 아이연구소와 카톡 플친을 맺고채팅을 클릭 후 메시지 전송하고레벨로 세탁 수 세트 를 선물로 받을 수 있어요현장에서 명 추첨맘껏스쿨인스타그램 인증샷 이벤트맘껏 스쿨의 인스타그램 팔로우 하고 현장의 모습과 골반 마사지기의 실 모습을 본인 인스타에 업데이트 후오이보스로션 을 선물을 받을 수 있어요현장에서 명 추첨아이 방어플 설치안방과 카톡 풀친 맺기플레이스토어에서 안방 어플을 다운로드한 후 카톡플친을 맺고 어플 설치 인증샷을 전송하면앙방 샴푸 를선물로 받을 수 있어요현장에서 명 추첨달토랑인스타그램 이벤트달 토랑인 스타 그램과 폴로 하신 후 달 토랑맘껏 스쿨 이벤트 글을 시그램 해주신 분 중 매월 분께 달 토랑 물티슈 박스 를 선물로 받을 수 있어요현장에서 명 추첨이벤트 당첨 선물부터 경품 당첨 선물까지 관왕 가능합니다♡ ], 긍정 텍스트 확률 : 89.76%"
"[ 부 강의는 사과나무치과병원 교정과 이다혜 부원장 님께서 엄마와 아이가 행복한 구강관리 에 대하여 강의해주셨는데요부원장님께서도 아이 엄마이기 때문에 치과 의사선생님이셔도 구강관리에 대한 걱정을 하셨다고 해요 같은 엄마로서 공감이 될 수 있는 이야기와 궁금해했던 내용을 말씀해주셔서 편안하게 들을 수 있었어요 저는 어렸을 적 엄마 따라서 치과에 갔다가 엄청 공포심을 느끼고 구강관리가 제대로 되지 않아서 성인이 되어치료를 받았는데 돈은 돈대로 엄청 들어가고 지금도 치아와 잇몸이 약한 편이라 고생하고 있어요그래서 정말 구강관리는 어렸을 때부터 꼼꼼하게 하는 게 정말 중요한 것 같아요그래서 오늘 강의가 도움이 많이 되었는데요 ], 긍정 텍스트 확률 : 93.02%"
"[ 아이의 첫 치아], 긍정 텍스트 확률 : 61.34%"
"[나이별로 알아보는 구강관리 방법과 치아의 문제가 발생한 경우 치료법에 대하여 강의해주셔서아기 때부터 꼼꼼하게 구강관리를 잘해주고 싶은 엄마의 마음에메모도 열심히 하고 사진 찍고 저장해두었네요], 긍정 텍스트 확률 : 89.36%"
"[ 세 삼켜도 안전한 치약구강티슈로 입안 닦아주기식이조절이 중요젖병을 물고 자는 습관세영유아 검진 시기불소 함유 치약 사용잠자기 전 관리가 중요세영구치열이 완성되어 가는 시기치아 홈 메우기가 효과적부정교합 발생을 예방하기 위한 교정과 구강검진 권장양치교육 및 구강관리치실 사용불소도포 ], 긍정 텍스트 확률 : 94.69%"
"[ 그리고 임산부의 구강건강관리에 대한 중요성을 다시 한번 알게 된 시간이었어요 임신한 여성이 치주 질환을 앓고 있을 경우 건강한 치아를 가진 여성에 비해 조산이나 저체중아 출산 등의 위험이 따를 수 있다고 하더라고요정말 잇몸 건강에 유의해야 될 것 같다는 생각이 들었어요], 긍정 텍스트 확률 : 89.16%"
"[ ◆임신 초기 개월가벼운 스트레칭과 산책신체적 정서적 안정 필요입덧야채], 긍정 텍스트 확률 : 70.88%"
"[신체 활동 제한아기를 맞을 준비마음의 안정가벼운 스트레칭], 긍정 텍스트 확률 : 71.55%"
"[체조태아의 두뇌 신체적 성장이 완성되는 시기호두], 긍정 텍스트 확률 : 61.48%"
"[체중 증가태동을 느낄 수 있음태아의 신체 성장], 긍정 텍스트 확률 : 82.51%"
"[시금치운동 신체활동 가능마지막으로 좋은 음식의 힘에 대하여 강의해주셨는데요 멋진 워킹맘이시고 바쁘시지만 아이의 이유식은 손수 챙겨주셨다고 해요 다양한 음식을 접해야 경험치가 높기 때문이라고 하셨는데이 말에 정말 많은 공감이 되더라고요 저도 아직 잘 모르는 초보 맘이지만 힘들더라도 유아식만큼은 신선한 재료로 만들어서 건강한 아이가 될 수 있도록 노력해보려고 합니다 강의가 끝나고 예비맘님들이 궁금해하시는 질문에 대하여 정성스러운 답변도 해주셨는데 임신 중 치과진료에 대하여 저도 마침 궁금하던 부분이었는데 시원하게 답변해주셔서 갈증이 해소된 것 같은 느낌이었습니다마지막으로 엄마가 된다는 것은 사람이 강해지고 성숙해지더라며 솔직한말씀을 해주셨는데 울컥했네요육아 선배로서 솔직한 이야기와 조언도 해주셔서 공감이 많이 되었고 유익하고 알찬 강의 시간이었네요 ], 긍정 텍스트 확률 : 100.00%"
"[ 카카오톡 친구에서 돋보기 누르고 우리 아이 연구소와 카톡 플친 맺고 달 토랑 물티슈를 받을 수 있었어요 ], 긍정 텍스트 확률 : 93.03%"
"[ 맘껏 스쿨개그맨 김범준 님 구독하고 물티슈 받았는데 간단한 이벤트로 이렇게 소소한 선물 받는 재미에 산모교실 가는 것 같아요 좋은 정보와 빅재미가 담긴 김범준 영상을 보시고 싶은 분들 ↓ ↓ ↓ ↓ ↓ ↓ ↓ ↓ ..?..? ], 긍정 텍스트 확률 : 69.39%"
"[아기 양말 질문하시는 분들과 호응 높으신 분들께마구마구 나눠주셔서 분위기가 좋았어요태아보험에 잘 가입하는 요령과 년], 긍정 텍스트 확률 : 90.70%"
"[ 먼저 제일 첫 번째로 질문해주신 태아보험을 가입할 때 몇 년 만기로 드는 게 좋을지에 대한 상담을 해주셨는데요많은 분들이 고민하시고 공감되는 질문이어서 저도 경청해서 들었어요잘 가입하는 요령은 년과 세 만기를 섞어서 하는 것이 좋다고 해요 각각의 장단점을 쉽게 잘 얘기해주셔서 좋더라고요저는 경제적인 관리는신랑이 하고 있어서 태아보험가입을 잘 했으리라 믿지만만약 둘째가 태어나면 이렇게 미리 꼼꼼하게 잘 살펴보고 상담받고 가입하고 싶더라고요 그리고 지인을 통해서 가입하신 분들이 정말 많으시던데잘못된 가입 사례도 말씀해주시면서 수정하시라고 당부하시더라고요 ], 긍정 텍스트 확률 : 98.50%"
"[ 마지막으로 상담이 꼭 필요한 분들만 신청서 작성 부탁드린다고 하시면서 보험 강요나 따로 부스 투어를 해야 하는 그런 부담이 없어서 좋았어요한 번 더 검토해볼 수 있는 시간을 가져서만약 둘째를 가진다면 이제 태아보험은 야무지게 들을 수 있을 것 같다는 생각이 들었네요 ㅎㅎ어떻게 보면 무겁고 딱딱한 이야기인데 유머러스하시고 핵심만 쏙쏙 뽑아서 말씀해주셔서 재미있게 강의 들었어요그리고 보험에 대한 질문은 무엇이든 친절하게 상담해주시려고 하시는모습이 보여서 신뢰가 가더라구요강의 들어보시고 상담하신 분들 보험 가입 피해 사례가 많이 줄어들었을 것 같다는 생각이 들었네요맘껏스쿨 참석하시기 전에 미리 궁금한 사항들 메모하시고 준비해가셔서 검토 받아보시는 것 조심히 추천 드립니다 ♡ ], 긍정 텍스트 확률 : 95.76%"
"[ 이번에는맘껏스쿨인스타그램 인증샷 이벤트 당첨 이 되었어요오늘 혹시 제 생일인가 했네요이렇게 당첨 운이 좋을 줄이야 ㅠㅠ우리 개똥이 옷이 보스 베이비로션이 두 개나 생겼다는 사실에감동이 쓰나미로 밀려왔답니다 ], 긍정 텍스트 확률 : 99.45%"
"[ 앞에 진열되어있지 않았던 경품 선물들이 스크린에 나와서 또 한 번 놀랐네요 배송상품이였나 보더라구요사실 포그니 스텝 원 아기 띠와 분유 포트 마사지기가 제일 탐났었지만 오늘 이벤트 참여], 긍정 텍스트 확률 : 90.37%"
"[경품 추첨 선물만 개나 받아서이것만으로도 너무 감사했어요 손만 번쩍 들면 대표님과 관계자분께서 빠른 손길로 선물을 나눠주셨어요당첨 인원이 많아서 싱겁게? 끝나지 않아 좋더라고요], 긍정 텍스트 확률 : 68.70%"
"[ 초반에 경품당첨이 되어서 컴다운 하고 박수 열심히 쳤어요 ㅋㅋㅋ 맘껏스쿨 어벤저스급 선물들 대단해욧닥터 윌 마사지기 당첨되신예비맘님은 누구 셨을까요? 닥터 웰플러스 원 이벤트까지 진행되고 있어서골반마사지 수령 후], 긍정 텍스트 확률 : 58.81%"
"[ 마지막까지 파이팅 넘치시는님 정말 김범준의 유쾌한 맘껏 스쿨 산모교실이었네요한번 더 방문하고 싶은 그런 산모교실입니다], 긍정 텍스트 확률 : 99.04%"
"[ 저희 친정 남원시 홍보대사 김범준 님 만난 기념으로인증샷고향 친구들에게 동네 선배님 만났다고겁나게 반가웠다고 자랑했습니다 앞으로도 활발한 활동 응원하겠습니다], 긍정 텍스트 확률 : 72.12%"
"[ 집으로 양손 가득 무겁게 맘껏 스쿨 혜자 선물 가지고 신나게 돌아왔어요하나씩 꺼내서펼치는 재미가 또 있지요 ], 긍정 텍스트 확률 : 91.36%"
"[ 슈딩젤까지다양한 선물들로 행복하네요 ], 긍정 텍스트 확률 : 84.96%"
"[ 맘껏 스쿨은 전원 선물과 경품 선물도 있지만 다녀온 후기를 작성하면후기 이벤트 선물 또한 받을 수 있어요유익하고 알찬 강의 듣고 웃음 태교 채움 태교하시길 바라요 .... ], 긍정 텍스트 확률 : 76.95%"
"[출산용품부터 안전 먹거리와 온 가족 힐링 아이템이 담긴 럭셔리 선물 박스를 받을 수 있는 기회가 있어요 저도 이번 달에 신청하고 기다리고 있는데요예비맘이라서 신청 가능한 특별한 선물 박스응모 도전해보셔요 ♡ ], 긍정 텍스트 확률 : 97.66%"
"[첫 포스팅은 역시.?출산후기출산후기 가 자연스러울 것 같아요. 전주 세나산부인과 분만 후기는 별로 없는 듯해요. 전주 세나산부인과에 대해 궁금하신 분들께 도움이 되었으면 하는 바람입니다. 또한 병원을 떠나서 둘째 이상의 경산모분들에게도 도움이 되었으면 합니다. ], 긍정 텍스트 확률 : 70.44%"
"[혁신도시에 한 곳], 긍정 텍스트 확률 : 74.11%"
"[이렇게 검색이 되는데요. 일반적으로 사람들이 말하는 곳은 평화동이라고 보시면 됩니다. 제가 다닌 곳도 역시 평화동에 위치한 세나산부인과입니다. ], 긍정 텍스트 확률 : 81.58%"
"[ 첫째는 주 일에 자연분만을 했어요. 그래서 막달이 되기 전부터 긴장 상태였습니다. 검색해보면 대부분이 첫째와 둘째를 비슷한 시기에 출산했더라고요. 산부인과 진료를 보아도 아기가 좀 내려와있는 것 같다고 하시니 또 일찍 나오겠구나.’ 싶었지요.예정일은 월 일이었습니다.오늘이죠.그런데 주 일이던 월 일], 긍정 텍스트 확률 : 89.44%"
"[오랜만에 남편도 일찍 끝나서 같이 저녁식사를 했어요. 그런데 그 와중에도 가끔씩 배가 아팠고], 긍정 텍스트 확률 : 84.65%"
"[마침 메뉴가 오리고기라 농담조로 “왠지 최후의 만찬 같다.”고 하며 먹었습니다. 그리고 진짜 최후의 만찬이 되었지요.남편도 저도 피곤해서 첫째 아이를 재우면서 일찍부터 같이 잠들었어요. 자면서도 계속 배가 아팠는데 잠결이라 꾸역꾸역 참으며 자다 깨다를 반복했습니다. 잠에서 깨기 싫어서 진통일 거라는 생각은 전혀 하질 못했어요.날이 바뀌어 주 일. 월 일 새벽 시 분쯤], 긍정 텍스트 확률 : 81.60%"
"[막상 기록해보니 꽤나 규칙적이었어요. 심지어 진통 간격은 분 이하... 초산이어도 이 정도 간격이면 병원으로 달려가야 하는 간격이죠.그런데 그 와중에도 첫째 아이가 일어날 때까지 기다려주고 싶었어요. 어젯밤 평소보다 너무 늦게 잠들었기 때문에 피곤해 할 게 뻔해서 말이죠. 출산 가방도 다시 한 번 챙기고], 긍정 텍스트 확률 : 90.93%"
"[익숙한 두려움... 시간이 조금 지나서야 간호사분이 얼마나 열렸는지 확인해주신다고 오셨습니다. 그런데 이미 자궁이 다 열렸다는 겁니다. ], 긍정 텍스트 확률 : 89.83%"
"[쉽지 않았습니다. 첫째 때에는 진통이 길어서 호흡을 오랫동안 했기 때문에 아파도 습관적으로’ 호흡을 할 수 있었는데요. 이번에는 진통을 느낀 시간이 길지 않아서 호흡이 제대로 되지 않았어요.첫째 때에도 둘째 때에도... 옆에서 도와주시던 간호사분들은 그다지 도움이 되지 않았어요. 호흡을 어떻게 해야 하는지], 긍정 텍스트 확률 : 92.38%"
"[언제 힘을 주고 언제 힘을 빼야 하는지를 잘 알려주는 분들이 계시다던데], 긍정 텍스트 확률 : 79.11%"
"[ 그래도 있는 힘], 긍정 텍스트 확률 : 90.14%"
"[아기가 훨씬 작았는데도요. 짧고 굵었다고 해야 할까요. 아기가 나온 시각은 시 분. 병원에 도착하고 대략 분 정도 만에 나왔으니 정말 빨리 나왔다고 할 수 있겠죠. 그럼에도 왜 그렇게 분이 길고도 길었는지], 긍정 텍스트 확률 : 95.45%"
"[또 왜 그렇게 아팠는지는 아직도 의문입니다.이번에도 역시 후처치할 때도 아팠습니다. 정신이 없어서 아픈지도 모르겠다는 분들도 계시던데 그게 정말 가능한가요? 저는 회음부 마취를 할 때에도 아팠고], 긍정 텍스트 확률 : 99.13%"
"[ 전주 세나산부인과 분만실은 층에 있습니다. 외래 진료 보는 곳은 층이고], 긍정 텍스트 확률 : 56.16%"
"[분만실은 층이에요. 사진에서 안쪽 끝에 보이는 곳이 바로 분만실입니다. 분만실에는 가족들이 같이 있을 수 있도록 소파가 비치되어 있는데요. 그 위치가 좀 불만스러웠습니다.첫째 아이는 전주 한별산부인과에서 출산했기 때문에 한별산부인과와 비교해서 말해보면요. 한별산부인과 분만실은 가운데 정도 위치에 침대가 있고], 긍정 텍스트 확률 : 88.96%"
"[그보다 안쪽에 소파가 비치되어 있습니다. 그리고 그 사이에는 커튼이 있죠. 그래서 진통을 하는 동안에도 안쪽에 앉아서 기다릴 수가 있습니다. 커튼이 있기 때문에 가려져 보이지 않아요. 아기가 나오면 그때 커튼을 열어젖히고 탯줄을 자르지요.그런데 세나산부인과 분만실은 침대가 더 안쪽에 있어요. 분만실을 들어가면 커튼이 있고], 긍정 텍스트 확률 : 61.51%"
"[그리고 가장 안쪽에 침대가 있는 구조입니다. 소파의 위치를 떠나서 침대와 소파 사이에 커튼이 없어요. 그래서 진통을 하는 과정이 고스란히 보이게 되는 거죠. 남편만 있다면 성인이니까 괜찮겠지만], 긍정 텍스트 확률 : 80.16%"
"[ 분만실은 마음에 들지 않았지만 다행히 신생아실은 좋았어요. 일단 첫 번째로 한밤중을 빼고는 커튼이 항상 열려 있어요. 따로 면회 시간이 정해져 있는 게 아닌 거죠. 물론 면회 시간이 정해져 있는 게 신생아 돌보는 데에 집중할 수 있어서 더 좋을 수도 있어요. 하지만 그보다 항상 열려있다는 게 사람 마음을 안심시키는 게 있었습니다. 아기들이 어떻게 보살펴지는지 아무 때고 볼 수 있어서 좋았어요. 참고로 전주 한별산부인과의 경우에는 면회 시간이 정해져 있어서 그 시간에만 커튼이 열리고 아기를 볼 수 있습니다.그리고 두 번째로 좋았던 것은 아기들이 많지 않았다는 겁니다. 물론 이 부분은 출산하는 시기에 아기들이 얼마나 태어나느냐에 따라서 다를 수도 있어요. 간호사 한 명당 돌보는 아기가 적은 것처럼 보였습니다. ], 긍정 텍스트 확률 : 94.77%"
"[ 영양제와 백일해 예방접종 등을 권하는 것은 살짝 불편할 수도 있을 것 같아요. 사실 저는 실비보험의 혜택을 본 적이 없을 만큼 건강하게 살아와서], 긍정 텍스트 확률 : 94.60%"
"[박 일로 입원 기간이 짧기 때문인지], 긍정 텍스트 확률 : 70.56%"
"[겉싸개면 끝이에요. ], 긍정 텍스트 확률 : 76.19%"
"[ 전주 세나산부인과에서 주는 출산 선물도 알려드릴게요. 사진에 보이는 에코백을 주는데요. 이 안에 배냇저고리], 긍정 텍스트 확률 : 55.23%"
"[면봉이 같이 들어있어요. 남양에서 선물을 주는 대신에 마케팅을 위한 이름과 연락처 등의 개인 정보를 요구하니 알아두세요.], 긍정 텍스트 확률 : 54.11%"
"[ 마지막으로 전주 세나산부인과 자연분만 비용을 알려드릴게요. 요즘은 자연분만의 경우], 긍정 텍스트 확률 : 66.20%"
"[총 만원 정도 청구됐습니다. 전주 한별산부인과에서 출산했을 때보다 적게 나왔네요.전주 세나산부인과에서 둘째 자연분만한 이야기는 이 정도면 충분한 것 같습니다. 다음에는 전주 세나산부인과 산후조리원에 대해서 이야기해볼게요. 이 글을 읽으시는 분들 모두 순산하시기를 기원합니다. ], 긍정 텍스트 확률 : 98.99%"
"[월에는 회사동생들과 영덕에 다녀왔었지요그리고 월에는 다롱이 최애 펜션인 존앤제인에 가기로 했어요제가 넘 가고 싶다고 노래 불렀더니 어렵게♡ 휴가를 내주었답니다 히힛원주 펜션 국내풀빌라 존앤제인 ♪ ], 긍정 텍스트 확률 : 55.21%"
"[물놀이 용품 등등이 구비되어 있어 커플끼리 가족끼리 어느여행이라도 넘 좋은 곳 이예요 ], 긍정 텍스트 확률 : 99.30%"
"[ 펜션투숙객만을 위한 드넓은 잔디밭요 잔디밭과 숲이 밤 되면 반짝반짝 조명이 어우러져 정말 환성적이예요미세먼지 없는 날이면 체크아웃 후에 아가들 뛰어놀게끔 한참 하다 집에 가도 좋겠지요섬강 따라 잘 정돈 되어 있는 자전거도로도 넘 기대되요 ], 긍정 텍스트 확률 : 97.47%"
"[ 존앤제인 펜션의 바로 앞 전경이예요모레는 미세먼지도 보통이라 하니 얼마나 좋을까요 ㅠㅠ날도 풀려서 섬강 따라 산책하기에도 좋을 것이고 날씨운 정말 무엇 ♡ ], 긍정 텍스트 확률 : 99.32%"
"[ 국내풀빌라펜션 존앤제인 층의 수영장자쿠지입니다 ], 긍정 텍스트 확률 : 81.61%"
"[.?수영장펜션수영장펜션깔끔함을 최우선으로 삼는 사장님의 마인드는], 긍정 텍스트 확률 : 57.17%"
"[ 수영장에서 놀다가 또 뜨끈한 자쿠지에 담궜다가 얼마나 재밌을 까 ㅠㅠ빨리 가구 싶다...수영장 옆으로 있는 바베큐실에도 도킹오디오가 있어서 빵빵하게 음악 틀어놓고 프라이빗하게 수영을 즐길 수 있어요 ], 긍정 텍스트 확률 : 99.28%"
"[ 풀빌라펜션을 워낙 좋아해서 전국 방방곡곡에 좋은 풀빌라펜션 생겼다 하면 자주 가는 편인데개인수영장 사이즈만 존앤제인만큼 크고 깔끔한 곳 정말 못 봤어요그래서 기회만 되면 또 가고 또 가고 싶어지는 거 같네요 수영장이 고여있지 않고 계속 흐르는 타입이라 피부가 예민한 분들], 긍정 텍스트 확률 : 98.72%"
"[민감한 아가들 모두 걱정없이 수영장을 이용 할 수 있구요 ], 긍정 텍스트 확률 : 73.68%"
"[.?국내풀빌라국내풀빌라국내풀빌라펜션 존앤제인의 이 바베큐장은 다녀봤던 그 어느 수영장펜션과 비교해도 독보적이예요수영장 옆으로 바베큐실이 딸려있는대 숯을 피우지않는 깔끔함과 이 곳에도 와인잔부터 미니냉장고 등작은 주방이 완벽하게 세팅되어 있어서 동선이 정말 편리해요 ], 긍정 텍스트 확률 : 95.64%"
"[ 한겨울에 가도 화장실마저 뜨끈해 여기가 울집 이였으면.. 하게 만들었던 원주 펜션 존앤제인화장실에서 보이는 풍경도 그저 멋있고], 긍정 텍스트 확률 : 71.17%"
"[.?원주펜션원주펜션신데렐라 계단을 올라], 긍정 텍스트 확률 : 52.15%"
"[오른쪽으로 돌아누우면 그림같은 풍경이 바로 보여요], 긍정 텍스트 확률 : 56.17%"
"[ 아 .. 빨리 가고 싶으당낼 퇴근 하고 가는 거라 체크인 시간 딱 맞춰 못 가는게 벌써부터 아쉽지만그래도다녀와서 생생 후기 또 남길께요 남은 오늘도 행복하게 보내세요 ♡ ], 긍정 텍스트 확률 : 99.69%"
"[상품상세설명참조], 긍정 텍스트 확률 : 73.17%"
"[상품상세설명참조], 긍정 텍스트 확률 : 73.17%"
"[상품상세설명참조], 긍정 텍스트 확률 : 73.17%"
"[상품상세설명참조], 긍정 텍스트 확률 : 73.17%"
"[상품상세설명참조], 긍정 텍스트 확률 : 73.17%"
"[상품상세설명참조], 긍정 텍스트 확률 : 73.17%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[최고 ], 긍정 텍스트 확률 : 95.01%"
"[좋음 ], 긍정 텍스트 확률 : 88.39%"
"[보통이에요 ], 긍정 텍스트 확률 : 95.06%"
"[매다양하고 좋은 상품들을 소개하고 있으니 구독하셔서 정보를 받아보세요제휴마케팅 제품의 가격 및 정보는 변경될 수 있습니다 ], 긍정 텍스트 확률 : 84.82%"
"[접착력도 약해서조심히 뜯어서 붙일려고 하는부분에 한 몇 초간 꾹눌려서 쓰고 있어요 ㅎㅎ저희 시어머님은 무슨 이런 기저귀가 있냐 난 이거 불편해서 싫다 너무 잘 떨어진다 라고 손주 기저귀 갈아주실때마다 그러시더라고요 ㅎㅎ저도 포그니 기저귀가 접착력이 안좋아서 별루 안좋아하지만 싼 맛에 쓰는거죠 ㅎㅎㅎ아이가 조금 자라면 다른 기저귀로 바꿀 생각이에요신생아때는 똥이 묽고 많아서 다리사이에 이중샘방지], 긍정 텍스트 확률 : 82.99%"
"[허리조임? 같은 샘방지 기능이 있어도 흘러넘치고], 긍정 텍스트 확률 : 73.47%"
"[자주 깔아줘야되서 전 오히려 저렴한 포그니 기저귀가 좋더라고요 ㅎㅎ 어차피 좋은 기저귀 사써도 자주갈아주고], 긍정 텍스트 확률 : 98.19%"
"[통풍 문제이기때문에 싼기저귀를 자주 갈아주면 괜찮음억지로 시간정해서 갈아줄 필요없이 신생아는 대], 긍정 텍스트 확률 : 70.31%"
"[ 소변을 자주 하기때문에 그때마다 기저귀 상황에 따라 갈아주면 됨후기.사이즈가 좀 작은거 같기도하고..스티커가 좀 잘 안붙는거 같아요ㅠ후기.오버나이트대신 쓰는데 길이도 알맞고가격부담없어서 바로바로 갈아쓰니 기분도 상쾌해요ㅋㅋ흡수력도 기존오버나이트 못지 않고팬티입고 착용하니 새지도않고 좋았어요후기.신생아라 자주 기저귀를 교체해줘야해서 구매했네요.타제품과 비교시 접착성이 살짝 떨어지는 단점이 있지만], 긍정 텍스트 확률 : 84.55%"
"[상품상세설명참조], 긍정 텍스트 확률 : 73.17%"
"[상품상세설명참조], 긍정 텍스트 확률 : 73.17%"
"[상품상세설명참조], 긍정 텍스트 확률 : 73.17%"
