"[쓰고있던 기저귀가 얼마 남지않아 추가주문을 위해 검색하다가 알게 된 기저귀 샘플체험싸이트 써봄여태까지 사용해본 기저귀는하기스 매직핏과 네이쳐메이드], 부정 텍스트 확률 : 74.44%"
"[.웰컴 박스를 신청하고 나니 기저귀 샘플도 궁금해서 몇 개 신청해 봤다. 단지 그냥 호기심에.참고로 엔파밀과 시밀락에 신청했던 분유 샘플은 감감무소식 두 달이 지나도록 안 와서 포기했다 😢. ], 부정 텍스트 확률 : 97.50%"
"[ .. .이건 한 달 전쯤 신청했는데], 부정 텍스트 확률 : 89.29%"
"[사이트에서 회원가입하고 나면 배송비 없이 왔었던 것 같은데.. 기억이 잘 안 난다 ㅠㅠ정확한 정보를 위해 다시 들어가 봤는데 신청 탭을 찾을 수가 없다...분째 뒤졌는데 모르겠음... .어쨌든 박스에 사이즈 기저귀 개와 물티슈 그리고 쿠폰이 왔다. 기저귀는 아직 사이즈가 안 맞아서 사용해보지 못했고 물티슈만 썼는데 너무 뻣뻣하고 뽑아 쓰기 불편하다. 한 장만 뽑고 싶은데 이상하게 꼭 장씩 나온다. 아무리 샘플로 공짜로 받은 거지만 넌 정말 아닌 것 같다.], 부정 텍스트 확률 : 99.96%"
"[ .. .은 배송비가 꽤 비싼 편이라 주문할까 말까 엄청 고민하다가 블로그에 포스팅하고픈 마음에 .불을 결제하고 신청했다. 지금 사이트에 들어가보니 .불로 가격이 올랐다 난 월 초에 신청했는데 고새 오르다니...ㅠㅠ 신청하고 일주일 뒤쯤], 부정 텍스트 확률 : 61.14%"
"[알록달록 예쁜 기저귀 개와 물티슈 샘플이 도착했다. 기저귀 사이즈는 가장 작은 사이즈로 선택했는데 아직 우리 럭키에게는 살짝 커서 사용해보지 못했고], 부정 텍스트 확률 : 89.49%"
"[ 보다 훨 좋았다. 부드럽고 톡톡한 느낌 물티슈는 다시 구매하고 싶을 정도. ], 부정 텍스트 확률 : 51.44%"
"[ .. .이 브랜드는 뱀부 소재의 기저귀라고 소개되어 있어 궁금해서 신청해 보았다. 배송비는 불 기대감에 신청했는데..기저귀만 딱 장 들어있는 샘플이 배송되어 왔다. 너무 허접하고 실망스러웠다... 불 아까워 .기저귀 자체 촉감은 뭔가 엄청 보들보들하다. 아직 사이즈가 안 맞아서 사용은 못 해봤지만], 부정 텍스트 확률 : 99.96%"
"[뱀부 소재라 그런지 통기성이 좋을 것 같은 느낌적인 느낌? 그래도 배송비 불이 아깝다. 하하하 😂 ], 부정 텍스트 확률 : 87.24%"
"[ 부분이 활성화가 안되어서 신청을 못했다. 고객센터로 메일 보내서 물어보니 재고가 없어서 신청이 안된다는 어이없는 답변을 받았다. 샘플이 궁금했지만 포기하고 있었는데], 부정 텍스트 확률 : 94.58%"
"[오늘 포스팅을 위해 잠시 들어갔더니? 재고가 있는지 신청이 되길래 얼른 사이즈로 선택해서 주문했다. 배송비는 .불이었고], 부정 텍스트 확률 : 91.96%"
"[퇴원할 때 꽤 많은 양의 샘플을 줘서 일주일 정도 사용해 봤다. 큰 단점을 찾지 못해서.. 이후에도 구매해서 쭉 사용 중이다. 하지만 며칠 전부터 럭키 엉덩이가 살짝 빨갛게 발진이 일어나서 기저귀를 바꿔봐야 하나 고민 중이긴 하다. 일단은 사둔 기저귀가 너무 많아서블프때 팸퍼스 세일해서 기저귀랑 물티슈를 아마존에서 대량 구매 조금 더 사용해 보려고 한다.미국에 사시는 분들은 저처럼 기저귀 샘플도 신청해서 받아보세요. 샘플로 온 기저귀들도 차근차근 사용해보고 후기 남길게요], 부정 텍스트 확률 : 85.06%"
"[ 아무래도 유럽테스트를 통과했다고하면좀 더 신경써서 만들었구나 싶어요 게다가 친환경 인증저 요즘에 환경 조금씩 생각하기 시작...했거든요아직 걸음마단계이지만 더 더 신경써야죠 아예 기저귀를 사용하지 않는게 환경에는 더더욱 좋겠지만솔직히 그렇게는 못하겠고 그래도 이렇게 친환경인증을 받은 제품을 사용하면그나마 낫지않을까 싶은생각이 들어요... ㅎㅎ], 부정 텍스트 확률 : 63.60%"
"[ 이제 저 손 떼고도 꽤 걸어요 한 다섯여섯발자국정도는 ㅎㅎ 그리고 눈치도 얼마나 빠른지 제가 하지말라는거 하다가 딱 쳐다보면막 갑자기 이상한데로 후다닥 걸어가고 누워서 애교부리고 다른거하는척? 하고ㅋㅋㅋㅋ 웃겨요진짜 신기할때 많아요 아기키우다보면...커가는모습이 넘 신기합니다 ㅎㅎ], 부정 텍스트 확률 : 90.49%"
"[ 오늘은 크리스마스 느낌으로 산타옷을 입혔는데요 옷은아니고 망또죠...? ㅋㅋ 저건 팔도 나름 자유롭고 다리도 갑갑하지않으니집에서 잠깐 사진찍는다고 입히고 따뜻하라고 입혀도 별로 거부반응이 없더라고요 ㅋㅋ 여튼 우리 싼타 엄마가 아이쓰깨기 한번 할께 ], 부정 텍스트 확률 : 95.18%"
"[ 싼타 엉덩이는 엑스라지], 부정 텍스트 확률 : 66.26%"
"[ 아무 무늬없는 민무늬 패드인데요이렇기 때문에 아기들이 아마 더 부드러움을 느끼지 않을까... 싶네요엠보싱 이런게 없더라도 뭐 흡수만 잘된다면야... ], 부정 텍스트 확률 : 93.53%"
"[ 너좀 괜찬타?], 부정 텍스트 확률 : 63.91%"
"[ 회원가입후 이용가능하다고 하는데 온라인최저가사이트라고하네요. ], 부정 텍스트 확률 : 79.73%"
"[...빅사이즈 쇼퍼백이 필요해서 고야드로 총총총..고야드는 우리나라에 개의 매장이 있어요..신세계강남점.갤러리아 압구정.현대 무역센터점..전 신세계 강남점으로 갔어요.층에 위치하고 있구요..고야드 생루이백.사이즈 고민하다 . 사이즈가 넉넉하게 많이 들어갈 거 같아 으로 구입했어요.. ], 부정 텍스트 확률 : 92.24%"
"[ .....고야드 생루이구매시.삼등분으로 접어서 길쭉한 쇼핑백에 넣어줘요... ], 부정 텍스트 확률 : 96.83%"
"[ ......쨍한 노랑과 그린 컬러가 설레게 해요...스페셜 컬러와 .기본 블랙 컬러손잡이 부분 블랙 또는 브라운는.가격 차이가 있어요..그레이와 고민했지만.생루이는 블랙이 젤 깔끔하고 이뻐보여 블랙으로 샀어요], 부정 텍스트 확률 : 85.46%"
"[그리고 추가금액 내고 마카쥬로 제 이름을 넣었어요.그 덕에 주 걸려서 받았답니다...마카쥬는.컬러], 부정 텍스트 확률 : 94.44%"
"[디자인], 부정 텍스트 확률 : 53.29%"
"[그림자], 부정 텍스트 확률 : 53.29%"
"[무늬 등을 제가 정할 수 있어요.그림은 종류도 엄청 많고 이쁜 게 많더라구요.그림 크기별로 추가금액 있구요...전 보일듯말듯 오른쪽 밑으로 넣고 싶었는데 .요샌 가운데 부분만 가능하다고 해서 어쩔 수 없이 저 위치에 했는데 그래도 만족해요...아참 글자 사이 간격은 정해져있다고 해요.글자 간격을 붙이고 싶어 물어봤더니 그건 안된다고 하네요... ], 부정 텍스트 확률 : 98.51%"
"[ .....한땀 한땀 장인이 그려넣는다는 고야드 마카쥬...저는 제 이름으로.화이트 컬러 바탕에 베이지아이보리로 그림자를 넣었어요.무난하고 깔끔한 컬러가 질리지 않을 거 같네요.근데 분홍이나 노랑이를 좀 섞어서 넣었어도 이쁠 거 같아요...고야드 마카쥬로는 .이니셜과 같이 띠 무늬도 많이 하길래.띠도 이니셜과 같이 넣으려 고민 했다], 부정 텍스트 확률 : 99.79%"
"[ .무늬가 너무 커서 접히는 부분이 갈라지는 거 같더라구요.아님 싼 사설업체에서 마카쥬를 했나... ..여튼 그래서 바로 맘 접고 깔끔하게 이니셜만 박았어요..왜 매장에서 가운데 부분만 마카쥬가 되고], 부정 텍스트 확률 : 76.64%"
"[.모서리 부분 안된다한지 알겠더라구요.가방이 자연스럽게 접히는 부분이라 마카쥬가 갈라져 고객들 불만이 많았을 거 같더라구요..세상에 하나밖에 없는 가방을 만들려 돈들여 새겼던 마카쥬인데 쩍쩍 갈라져 있는 걸 보니 너무 이상하고 속상하더라구요..이름만 새기길 너무 잘했네요... ], 부정 텍스트 확률 : 98.74%"
"[ ......사진으로 보기엔 흰색 부분이 너무 도드라져 보이는데 실제론 뒤에 베이지로 그림자가 되어있어 더 이뻐요..만약 사용 하다 마카쥬가 갈라지면.같은 금액에 마카쥬 수정이 가능하다네요.너무 다르지 않은 무늬로도 수정 가능하대요... ], 부정 텍스트 확률 : 97.25%"
"[ ......넉넉한 수납공간], 부정 텍스트 확률 : 70.13%"
"[ .기저귀가방으로 손색 없는 고야드 생루이사이즈네요.가방이 너무 너무 가벼워요.휘뚜루마뚜루 아무 옷에나 메고 다니기 너무 너무 좋은 거 같아요.... ], 부정 텍스트 확률 : 62.63%"
"[ .......손바닥 크기 보다 좀 더 큰 .지갑형 파우치가 들어있어요.카드와 지폐 등 수납 가능해서 너무 좋네요..... ], 부정 텍스트 확률 : 51.34%"
"[ .매년 스테디셀러로 자리매김했다는 뜻이기도 해요...마카쥬를 넣어 .흔하지 않은 나만의 가방으로 만들어주는 것도 좋은 거 같애요 .개인적으로 스페셜 컬러보다 전 블랙이 더 맘에 드네요.... ], 부정 텍스트 확률 : 76.19%"
"[지니예요 기저귀가방 하면 무조건 백팩만 생각해서그것만 주구장창 검색하고 검색해서 제이해밀턴으로 사용하고 있는데백팩은 뒤로 쓰윽 둘러매면 끝나니까 아기를 안기도 편하고두손이 자유로워지니늘 그것만 들고다니게 되더라구요근데 백팩을 하고 아기띠를 하면 뭔가.. 사람이 둔해보이고 ㅋㅋ앞뒤로 볼록하이 엄마는 온데간데없고 ㅋㅋ뭔가 여자로서의 핏은 없는? ㅋㅋ 그런느낌이었어요물론], 부정 텍스트 확률 : 82.63%"
"[것도 넘나 편하고 이쁘지만한번쯤은? ㅋㅋ 나도 여자여자한 기저귀가방 숄더백을 매고 싶더라구요어쩔땐 눈에 바로 보이는 숄더백에이거저것 담고 어깨에 스윽 걸쳐주면 그만이니더 편하기도 하고 이쁜건 당연하고? ㅋㅋ여튼], 부정 텍스트 확률 : 64.57%"
"[ 이쪽은 반대쪽가방 하나 겟 했는데 앞뒤로 요로케 느낌이 다르니석이조아입미꺼 ㅋㅋ이쪽은 또 모던하면서 심플한 느낌이라베이직한게 넘나 맘에들구요러블리한게 쵸큼 부담스럽다면 리본을 안묶거나이렇게 반대로 들어주면 굿저는 어느쪽으로 들어도 이런저런 다른느낌이 넘나 좋았어요 ], 부정 텍스트 확률 : 97.53%"
"[ 기저귀가방 숄더백이니만큼수납력 또 중요하잖아요?아기랑 외출하면 분유], 부정 텍스트 확률 : 82.91%"
"[기저귀], 부정 텍스트 확률 : 53.29%"
"[가재수건], 부정 텍스트 확률 : 53.29%"
"[ 함께 온 미니 숄더백은 기저귀 넣으면 딱이전에는 그냥 항균지퍼팩에 이리저리 구겨넣고 다녔는데꺼낼때마다 뭔가 그... ㅋㅋ없어보이는? 느낌이랄까 ㅋㅋ여튼 지금은 요로케 미니 가방을 쏘옥 꺼내서 기저귀를 꺼낼 수 있어서훨씬 위생적이고 이뻐보여요가방 여닫이는 자석을 되어있어서 구지 힘들여 닫지않아도자동으로 닫히니까 편하구요 ], 부정 텍스트 확률 : 98.63%"
"[ 캐쥬얼한 코디에도 러블리한 이쪽도 잘 어울리도모던한 반대쪽도 이뻐요사실 다른 기저귀가방은 나중에 아기가 커서 기저귀가방이필요없어지면 가방까지 함께 쓸일이 없어지는데제이해밀턴기저귀가방 숄더백은워낙 디자인 자체가 모던하고 일반 패션가방같아서쭈욱 오랫동안 쓸수 있고가끔 엄찬이나 아빠찬스쓰고 친구들만나러 외출할 때도스윽 들어주면 굿굿 ], 부정 텍스트 확률 : 92.31%"
"[ 와...진심 살좀빼자 ㅋㅋㅋ돌잔치가 코앞인데 아직도 이러고있습미다 ㅋ임신전에 입던 바지가 들어가긴하는데정말 꽉 끼어서 길이마저 짧아진 느낌 ㅋ부바지아닌데.... 영.... 핏이 엉망인네 ㅋㅋ그럼에도불구하고??요 숄더백이 내 코디와 몸매를 깔끔하게 덮어주는 느낌 ㅋㅋ갠춘치요? ㅋ오빵이가 찍어주고나서 중간점검했는데둘다 오 ㅋㅋ 가방하나 들었을 뿐인데?ㅋ ], 부정 텍스트 확률 : 99.99%"
"[ 숄더백이 아무래도 짐이 많으면한쪽어깨로 계속 매니가 무겁거나 어깨가 빠져나갈 것 같은?그런 아픔때문에 사실 들고다니기 망설여지잖아요근데 요 숄더백은 두께도 약간 있는편이고끈 두개를 단추로 합칠 수 있어서 흘러내리거나 할 염려가엄서요오늘 국화축제 다녀왔는데 하루종일 오빵이가숄더백을 어깨에 매고 다녔거든요남자가 매도 깔끔하고 오랜시간 매고있어도어깨가 불편하다거나 무겁다거나 이런느낌은 별로 안들었다고 ], 부정 텍스트 확률 : 84.22%"
"[ 시크릿 백을 빼고나니훨씬 더 넓고 시원시원한 메인백 내부기본 포켓과 지퍼포켓이 있어서 중요한 현금을 넣어두기도 좋고가볍게 외출할 때는 이렇게 들고다니면 굿문센갈때는 구지 이것저것 필요없이수업 한시간 듣고오니까 백팩이 좀 부담스러웠는데그냥 스윽 어깨에 매주면되니까숄더백으로 자주 들고다녀요 ], 부정 텍스트 확률 : 99.56%"
"[ 시크릿백은 그야말로 수납천국안쪽 구분되는 수납이 앞뒤옆으로 엄청나구요가운데는 기저귀랑 물티슈 넣으면 딱이고이외 장난감], 부정 텍스트 확률 : 71.36%"
"[텀블러는 다 꽂아주면되니까흐트러지거나 섞일일이 없어서 딱 바로 꺼내서 주면되요겉에는 앞뒤로 포켓이 다 있어서카드], 부정 텍스트 확률 : 87.69%"
"[아기머리띠등등을 넣어다녀요내부 디자인과 컬러는 외부와 같이 블랙아니라약간 그레이톤의 디자인이 들어가있어서먼지나 때가 잘 안보여서 좋음 ㅋㅋㅋ박음질도 견고하게 잘 되어있고제이해밀턴가방이야 워낙 뭐 튼튼하고 잘만들어서저렴이 가방과는 비교불가입미다 ㅋ ], 부정 텍스트 확률 : 59.70%"
"[ 그냥 이러케보면 누가 기저귀가방 숄더백인줄 알겠숴요?ㅋ겉으로는 패셔너블하게 이쁘고안에 뙇 열면 정리정돈 잘 되어있고수납력 짱인 기저귀가방이니까이래저래 매고다녀고 이쁘고 편한게 바로바로 와닿아요다니 태어나고나서 외출했을 때는누가봐도 기저귀가방.. 아기자기한 무늬의 백팩으로 매고다녔는데오빵이랑 나랑 사자마자 진심 후회했었거든요 ㅋ외출하면 여기저기 똑같은 가방도 넘나 많고 유치하기도하고...제이해밀턴 백팩이나 기저귀가방 숄더백은똑같은 가방 매고있는 다른 부부가 보여도서로 엄지척 해줄만큼 디자인도 세련되고패셔너블한 엄빠 느낌을 플러스 해주는 느낌이라외출할 때 마다 서로 가방 들겠다고 ㅋㅋㅋ ], 부정 텍스트 확률 : 50.96%"
"[조금 알찬 산모교실이 없을까하고 찾아보다가 알게된 킨도맘클래스소수 수업으로 이루어져서 편하게 수다떠는 느낌으로 질문도 많이 할 수 있었다.], 부정 텍스트 확률 : 75.76%"
"[ 임산부 뿐만 아니라 육아맘도 참여할 수 있다.한분이 아이를 데리고 오기로 해서 아가를 위한 자리도 있었다. 그리고 직접 실험해보기 위해 여러종류의 기저귀들 ], 부정 텍스트 확률 : 52.17%"
"[ 아슬아슬하게 도착해서 더웠는데], 부정 텍스트 확률 : 66.90%"
"[무조건 지인 추천만 따라갈 수도 없는데], 부정 텍스트 확률 : 94.40%"
"[ 첫째로 잘 흡수되는 건 기본이고], 부정 텍스트 확률 : 80.53%"
"[역류가 되지 않아야 기저귀가 축축해지지 않고], 부정 텍스트 확률 : 71.19%"
"[ 더마테스트도 진행했는데], 부정 텍스트 확률 : 86.06%"
"[ 기저귀를 뜯어서 안쪽의 흡수층도 볼 수 있었는데그냥 딱 봐도 왼쪽은 포실포실한 자연솜. 약국에서 파는 솜처럼 생겼다.오른쪽은 화학솜인데], 부정 텍스트 확률 : 70.91%"
"[저가형 쿠션이나 인형같은데 들어가는 솜 같다. 킨도에 들어가는 솜은 자연솜.가장 궁금했던 기저귀 테스트. 과연 차이가 확연히 날까 싶은데... ], 부정 텍스트 확률 : 87.61%"
"[맨 오른쪽 킨도만 살짝 누른 것처럼 보일까봐 엄청 꾹꾹 눌러봤다.], 부정 텍스트 확률 : 74.01%"
"[손목에 힘줄 올라오게 눌렀는데], 부정 텍스트 확률 : 59.00%"
"[ 핸드타올에 손가락자국까지 났지만], 부정 텍스트 확률 : 54.80%"
"[ 샘플로 한두개 받아서 써봐야 아기가 말을 할 수 있는 것도 아니고 좋은지 아닌지 잘 알 수 없다고 하는데], 부정 텍스트 확률 : 95.11%"
"[ 내가 미리 테스트해보면], 부정 텍스트 확률 : 68.39%"
"[좋은 기저귀 고르기가 더 쉬울 것 같다.], 부정 텍스트 확률 : 81.12%"
"[ 킨도에서 나온 물티슈 세 종류도 사용해봤는데], 부정 텍스트 확률 : 75.78%"
"[보존제가 들어가지 않은 물티슈라고 자신있게 설명해 주셨다. ], 부정 텍스트 확률 : 74.24%"
"[ 귀여운 댕댕이가 프린트된 기저귀파우치 뒷면은 전체가 프린트 ], 부정 텍스트 확률 : 83.46%"
"[ 휴대용 물티슈도 있고], 부정 텍스트 확률 : 77.63%"
"[ 에코백도 들어있었는데], 부정 텍스트 확률 : 81.69%"
"[윗쪽에는 찍찍이로 닫을 수 있다.천도 은근히 도톰해서 유용하게 잘 쓸 수 있을 것 같은 에코백. ], 부정 텍스트 확률 : 51.53%"
"[ 킨도몰에서도 각각 ], 부정 텍스트 확률 : 77.42%"
"[ 원과 ], 부정 텍스트 확률 : 57.06%"
"[ 근데 집에 와서 받은 쇼핑백을 펼쳐놓고 보니], 부정 텍스트 확률 : 59.09%"
"[아니 기저귀 클래스인데 기저귀가 하나도 없다? 산모교실이나 샘플팩의 기본은 기저귀라고 생각했는데.. 뭐지? 했다가그래서 킨도몰 적립금을 주는 거구나 임산부만 참여하는 게 아니고], 부정 텍스트 확률 : 97.40%"
"[미리 좀 사두는 걸로.], 부정 텍스트 확률 : 82.69%"
"[ 가고 싶은 산모교실을 많이 못찾았는데], 부정 텍스트 확률 : 74.43%"
"[.오늘은 오랜만에 기저귀 후기를 써본다..주된 내용은 슈베스 기저귀로 이루어질 것이지만 .사이즈], 부정 텍스트 확률 : 90.17%"
"[ 아기 기준사이즈 착용.. ], 부정 텍스트 확률 : 57.07%"
"[ .하늘색 바탕에 하얀색 팬티기저귀 모양의 그림이 그려져있는 패키지가 청량감을 준다. .도트무늬로 된 다른 모델 패키지는 좀 올드한 느낌이 있는데 이 모델은 귀엽고 세련된 느낌이 난다.. ], 부정 텍스트 확률 : 92.25%"
"[ .슈베스 슈퍼슬림 은남녀공용 으로 . 사이즈는에 해당한다. .. 참고로사이즈는 ], 부정 텍스트 확률 : 90.02%"
"[ 사이즈는이상. ], 부정 텍스트 확률 : 65.05%"
"[ .제조는 중국에서 이루어진다. 국내 생산이면 더 좋았을 걸 하는 아쉬움이 있다.. ], 부정 텍스트 확률 : 77.70%"
"[ .사진 찍고있으니 금세 달려와 기저귀에 관심을 쏟는 아기입니다 ㅋㅋ.이 더운 날에도 양말 사수하는 갤 ], 부정 텍스트 확률 : 75.58%"
"[ .손잡이 부분에는 아기가 소변점선표시ㅋㅋ을 보는 실루엣 그림이 프린팅 되어있다. . ], 부정 텍스트 확률 : 66.95%"
"[즉 손잡이쪽에 있어서 처음에 꺼낼 때 보면 기저귀가 세워진 상태라 옆에 있는 것까지 두 세개씩 꺼내지는데 .이건 처음부터 하나씩 편하게 꺼내져서 좋고], 부정 텍스트 확률 : 75.37%"
"[ .앞], 부정 텍스트 확률 : 54.74%"
"[뒤 구별이 쉽도록 앞쪽에는 그림이 있다.. ], 부정 텍스트 확률 : 57.66%"
"[ .기저귀 옆은 이렇게 일체형으로 봉제?되어 있다. .이것이도 허리밴드 로], 부정 텍스트 확률 : 87.41%"
"[자극없이 속옷처럼 편안하게 착용할 수 있도록 만들어졌다고 한다...사 것처럼 떼었다붙였다 할 수 없는 단점은 있지만 이 형태는 이것대로착용감이더좋다 라는 장점이 있다. .사 팬티기저귀는 일체형이 아니라 면이 겹쳐지게 붙는 형태라서 아기 몸에 촥 붙지 않고 뜨는 경향이 있고], 부정 텍스트 확률 : 83.79%"
"[안쪽 면 모서리부분에 아기가 간지러워하는 경우가 간혹있는데 슈베스는 아기 몸에 편하게 붙고], 부정 텍스트 확률 : 62.95%"
"[ 전반적으로 사], 부정 텍스트 확률 : 56.67%"
"[사에 비해서 부드러운 느낌이고 두께감도 더 얇은데이 시트가 . 두께의초박형 흡수시트 로], 부정 텍스트 확률 : 87.53%"
"[아기 피부가 기저귀 표면에 닿는 면적을 최소화하며 공기 통로를 만들어짖무름을 방지 한다. ], 부정 텍스트 확률 : 69.58%"
"[ 착용을 하면 이렇게 허리와 허벅지 부분이 몸에 안정감있게 촥 붙는데 신축성이 좋아서 많이 활동해도 기저귀가 흘러내리지 않고 아기가 불편해하지 않았다. ], 부정 텍스트 확률 : 95.23%"
"[ 사이즈는 처음에 보고 손바닥만해서 너무 작은 것 아닌가 싶었는데], 부정 텍스트 확률 : 83.28%"
"[아기가 착용해보니딱 잘 맞았다 . 이 스펙보다 더 큰 아기에게는 작을 듯하니 더 큰 사이즈로 선택하는 것이 좋을 것 같다. 위 사진처럼 사 여름용 기저귀 단계에 비해 길이 차이가 꽤 있는데 신기하게도 착용했을 땐 짧다는 느낌이 전혀 없었다. 기저귀 폭 또한 적절했다. ], 부정 텍스트 확률 : 67.27%"
"[ 요건 소변은 한 번], 부정 텍스트 확률 : 51.43%"
"[ 요건밤기저귀 로 사용 후 소변을 많이 본 상태로 처리한 기저귀인데 소변을 많이 봤는데도뭉치지 않고 ], 부정 텍스트 확률 : 91.27%"
"[면이보송보송 했다. 펄프를 사용하지 않고흡수체와 특수 소재를 사용 하여 아무리 많은 소변에도절대 뭉치지 않는다 는 설명이 적혀있어서 과연 그럴까?하며 반신반의했는데 써보니 확실히 뭉치지 않았다. 또한 짓무름도 없어서 발진없는 기저귀로 기저귀추천을 할 수 있을 만큼 사용감이 괜찮았다.무더운 여름이라 기저귀 착용을 하고 있으면 땀도 차는 등 불편함이 있을텐데 기저귀 자체가 가볍고 흡수력이 좋아서 안심하고 사용할 수 있었다. 다른 것보다 아기가 허리부분을 가리키며 가렵다거나 따가워하지 않는다는 점이 특히 좋았다.], 부정 텍스트 확률 : 98.24%"
"[.?밤기저귀밤기저귀.?신생아기저귀신생아기저귀.?발진없는기저귀발진없는기저귀.?기저귀추천기저귀추천.?밴드기저귀밴드기저귀.?팬티기저귀팬티기저귀.?유아기저귀유아기저귀], 부정 텍스트 확률 : 88.29%"
"[지난번 베이비페어에서아기기저귀 샘플을 받아온적이 있는데한개씩만 받아서뭐가 좋은지 모르겠고], 부정 텍스트 확률 : 61.38%"
"[ .착용감도 잘 모르겠고..ㅎㅎ ], 부정 텍스트 확률 : 55.51%"
"[ 까지 사용 가능한 소형기저귀는너무 많이 사두면남는경우가 많다고 해서일단 아가방 좋은기저귀 팩 주문], 부정 텍스트 확률 : 86.97%"
"[ .보통 하루에..장정도 쓴다고 하는데], 부정 텍스트 확률 : 58.90%"
"[ .일주일치 밖에 안되겠네요...ㅠ ], 부정 텍스트 확률 : 86.63%"
"[ 깔끔한 비닐 디자인데안이 잘 보이는 투명비닐이어서몇개 남았는지 쉽게 파악이 가능해서따로 기저귀를 빼놓지 않아도되니], 부정 텍스트 확률 : 73.05%"
"[ 깔끔하게 보관 가능해요 아가방 아기기저귀의 장점 . 부드러운 소재의 우수한 통기성 샘.걱정 없는 안심 이중 샘방지. 얇고 편안한 착용감의 슬림], 부정 텍스트 확률 : 86.05%"
"[ 아가방 아기기저귀의 사이즈는소형], 부정 텍스트 확률 : 55.26%"
"[특대형 가지 타입이 있어요], 부정 텍스트 확률 : 57.47%"
"[ .사이즈의 소형 기저귀는], 부정 텍스트 확률 : 57.04%"
"[ .조리원 퇴소 후 바로 사용할 수 있도록준비했어요 아직 조리원에서 어떤기저귀를 사용할 지 모르겠지만], 부정 텍스트 확률 : 88.62%"
"[ .엉덩이발진이 있던 사례가 없더라구요혹시나 조리원기저귀가 맘에들지 않으면], 부정 텍스트 확률 : 71.97%"
"[ .당장 들고 달려갈 준비가 되어있습니다 ], 부정 텍스트 확률 : 54.29%"
"[ 사이즈별로 기저귀의 무늬가다르게 되어있더라구요소형은 아기아기한 느낌의우유팩이 그려져 있어요], 부정 텍스트 확률 : 85.07%"
"[ 공인시험기관의 안전성 테스트와성분검사를 실시해서 안전성을 인정받은 제품으로], 부정 텍스트 확률 : 67.43%"
"[ 기저귀를 만져본게 처음인것 같아요..너무 부드러운거있죠... 통기성이 좋아서 민감한 아기피부를 보호 해 주기때문에여름용으로도 좋아요슬림핏으로 되어있어서기저귀 위에 바지를 입어도], 부정 텍스트 확률 : 71.90%"
"[슬림한 뒷태완성 ], 부정 텍스트 확률 : 53.19%"
"[ .기저귀 갈 타이밍을 맞출 수 있어요아기가 불편해서 울고있는데], 부정 텍스트 확률 : 51.88%"
"[ .기저귀 들쳐보고 하면..얼마나 귀찮겠어요..ㅋㅋㅋ노란색이 소변을보면초록색으로 변한답니다], 부정 텍스트 확률 : 81.91%"
"[ 넉넉하게 허리를 감싸주는 허리밴드.], 부정 텍스트 확률 : 65.65%"
"[ 쫀쫀하게 잘 늘어나죠 ], 부정 텍스트 확률 : 57.53%"
"[ 접착밸트도 너무 부드러워요 버릴때도 완전 깔끔하게 딱 붙더라구요초보맘이니까..기저귀를 어떻게 채워야 하는지너무 딱맞아 답답하진 않을지], 부정 텍스트 확률 : 92.90%"
"[ .여러번 떼었다 붙혔다 할것 같은데..여러번의 탈부착에도 접착력이 약해지지 않는벨크로 부분 ], 부정 텍스트 확률 : 64.22%"
"[ 애봉이친구 꼬봉이극한직업], 부정 텍스트 확률 : 74.68%"
"[ 안심 이중 샘 방지로두번 막아주기때문에], 부정 텍스트 확률 : 59.94%"
"[ .뒤척거림이 심한 아기들도편안하게 잠들 수 있어요], 부정 텍스트 확률 : 84.94%"
"[ .혹여나..밖으로 새어나오는일이드물겠죠 ], 부정 텍스트 확률 : 68.82%"
"[ .붓자마자 하얗게 변해버리는...ㅎㅎ흡수력 너무 좋은거 아닌가요이러니 기저귀발진이 생길 틈이 없겠어요.ㅋ ], 부정 텍스트 확률 : 83.21%"
"[ 길똥이 엄마에게아기파우더는 안쓰냐고 물어봤었는데], 부정 텍스트 확률 : 90.66%"
"[ .어느정도 움직임이 있으면기저귀발진이 덜 하겠지만], 부정 텍스트 확률 : 78.56%"
"[ 옥수수전분으로 만들어진에코뮤의 베이비파우더], 부정 텍스트 확률 : 60.28%"
"[ .문제의 탈크], 부정 텍스트 확률 : 69.19%"
"[ 파라벤], 부정 텍스트 확률 : 53.29%"
"[미네랄오일], 부정 텍스트 확률 : 53.29%"
"[에탄올], 부정 텍스트 확률 : 53.29%"
