"[.지난 주에도 또 물놀이 하고 왔어요..정작 한 여름에는 사람 많아서 잘 안갈거 같은 느낌 ㅎㅎ.그리고 다시 느즈막히 물놀이 갈거에요? ], 긍정 텍스트 확률 : 81.11%"
"[ 이제 거의 팩 다 사용해가는.?대디베이비대디베이비 .?대디베이비골드대디베이비골드 .?여름기저귀여름기저귀 로는 이만한 기저귀가 없다는 생각이 들었어요. .?다이아엠보다이아엠보 와.?슬림핏슬림핏 으로 피부에 닿는 면적을 최소화하고공기의 흐름층을 만들어 통기성을 높여주니 여름이지만 찝찝함을 줄여주고 발진이 생길 가능성을 최소화시켜주는 것 같았답니다.또한 슬림핏으로 바지를 입어도 사랑스러운 슬림한 뒷태를 만들어준답니다. ], 긍정 텍스트 확률 : 98.07%"
"[.?대디베이비대디베이비 .?대디베이비골드대디베이비골드.?대디베이비기저귀대디베이비기저귀 의 경우.?중샘방지중샘방지 와.?통기성커버통기성커버 로 엉덩이가 편안하게 숨쉬도록 도와주어 많은 소변량에도 바람이 솔솔 통해 통기성을 높여주는데 한 몫 하는 것 같았어요.또한더 높아진 샘방지막은 움직임이 많고 늘 뒤집고 다리를 활발하게 움직이는 선민이에게 꼭 필요한 부분인 것 같아요. ], 긍정 텍스트 확률 : 87.74%"
"[ 선민이는 늘 .?대디베이비기저귀대디베이비기저귀.?대디베이비골드기저귀대디베이비골드기저귀 와 함께 한답니다.정말 진심으로.?여름기저귀여름기저귀 로 이만한 기저귀가 없을 것 같아요.이미 살인 첫째 아이를 키우면서 다양한 기저귀를 경험해 보았지만], 긍정 텍스트 확률 : 84.01%"
"[ 얇은 슬림핏 에 통기성 최고흡수성은.?밤기저귀밤기저귀 로 사용해도 정말 손색이 없을 만큼이랍니다. ], 긍정 텍스트 확률 : 86.97%"
"[ 개월 선민이는 통잠을 자는데.?밤기저귀밤기저귀 로도 .?대디베이비기저귀대디베이비기저귀.?대디베이비골드기저귀대디베이비골드기저귀 를 그대로 착용한답니다.시간시간의 긴 통잠에도 흡수력이 우수하니.?밤기저귀밤기저귀 로도 정말 좋더라구요.또한 장시간 외출할 때도 꼭 .?대디베이비기저귀대디베이비기저귀.?대디베이비골드기저귀대디베이비골드기저귀 챙겨서 외출을 나선답니다.슬림핏이라 기저귀파우치에 장정도가 그대로 들어가더라구요.만약 여름이라 통기성 좋고 흡수성이 뛰어난 얇은 슬림핏의 기저귀를 찾고 계신다면 여러분들께 꼭 추천해드리고 싶어요..?대디베이비기저귀대디베이비기저귀.?대디베이비골드기저귀대디베이비골드기저귀 .?여름기저귀여름기저귀.?신생아기저귀신생아기저귀.?밤기저귀밤기저귀 로도 정말 훌륭하답니다.지금은 팩 다 써보고 생생하게 말씀 드리는 후기라자신있게 추천해드려요.선민이네는 벌써 주문해서 쟁여두고 사용중이랍니다.], 긍정 텍스트 확률 : 99.78%"
"[요즘처럼 덥고 습한 날 처음 만난 여름이라서 지쳐가네요.이유식을 시작하면서 물도 먹어서 그런지 평소보다 기저귀 사용량이 늘어가고 있어요. 특히 뒤집기를 시작한 후 기존에 썼던 기저귀는 자꾸 엉덩이쪽이 새고 조금만 소변을 봐도 어느샌가 묵직함과 축축함이 있어서 기저귀 유목민인 저로서는 새로운 기저귀를 선택할 때가 되었지요.], 긍정 텍스트 확률 : 82.41%"
"[ 특히 여름이라 땀도 많이나고 습하기 때문에 발진없고 가벼운 기저귀를 알아봐야 했어요. 여자아이기 때문에 더욱 신중하게 선택할 수 밖에 없었답니다. ], 긍정 텍스트 확률 : 93.19%"
"[ 대디베이비 슬림 소프트 밴드 기저귀디자인이에요. 이름처럼 귀여운 아빠와 아기 기린 캐릭터가 있네요. 남녀공용으로출시된 라인이에요. 대디베이비 기저귀는 지속적인 연구와 체계적으로 관리하는 안전한 기저귀라네요. 피부과학 연구소 .무자극 인증 을 받았으며인체유해성분 종이 무검출되었답니다. 국가통합인증인인증 과 함께 국제표준화기구 인증 도 받았네요. 그래서 더욱 믿고 쓸수 있네요♡♡ ], 긍정 텍스트 확률 : 99.96%"
"[ 특히 골드 밴드 라인은최고자제 프리미엄 소재를 사용 하여 부드러움과 흡수력을 높였어요. 대디베이비 밴드는가지 사이즈로 구성 되어있답니다.소형 중형 대형 특대형이상도담이는 지금 정도 되어 중형이 맞더라구요. 그래서 사이즈로 선택한팩에 개 가 들어있네요. ], 긍정 텍스트 확률 : 85.39%"
"[팩이 아담에서 가정에서 뿐만 아니라 외출시에도 간편하게 들고 다닐수 있어요. 특히 요즘처럼 휴가시즌에 장거리 여행에 가지고 다니기 안성맞춤 이네요♡♡이동하기 편하도록 위쪽에는 손잡이가 달려있어요.], 긍정 텍스트 확률 : 88.57%"
"[ 뒷면에는 특징에 대한 설명이 자세히 그림과 함께 안내가 되어있어서 한눈에 이해할 수 있도록 해놓았네요.그리고 사이즈 소개도 되어있고요. 특이한 것은 주의사항이 바닥에 있어요.], 긍정 텍스트 확률 : 69.05%"
"[ 윗면에 점선으로 절취선이 되어있어 절취선을 따라가면 쉽게 개봉할 수 있어요. ], 긍정 텍스트 확률 : 93.38%"
"[ 도담이가 앞으로 사용할 대디베이비 골드에 대해 알아보도록 할께요. 짠대디베이비 앞뒤 모습이에요.], 긍정 텍스트 확률 : 96.62%"
"[ 앞면에는 대디베이비 로고와 함께 귀여운 캐릭터들이 있어요.밴드 위치를 잡기 쉽도록 로고아래 숫자가 표시되어 있으며 노란 소변 표시줄도 보이네요 ], 긍정 텍스트 확률 : 74.08%"
"[ 뒷면은 늘어나는 밴드와 함께 소변줄도 뒤쪽까지 있어서 뒤에서 쉬아를 해도 바로 확인할 수 있어요. ], 긍정 텍스트 확률 : 61.99%"
"[ 부드럽고 뛰어난 신축성의 줄의 프리미엄 엘라스틱 밴드로 아기허리를 넉넉하고 편안하게 감싸주고 흘러내리지 않게 해줘요. ], 긍정 텍스트 확률 : 67.53%"
"[ 등허리부터 옆구리까지 확장된 더블 와이드 밴드로 처짐방지 및 묽은 배변의 뒷샘까지 막아주네요.], 긍정 텍스트 확률 : 54.73%"
"[ 밴드를 옆으로 늘려 보았는데 쭉쭉 잘 늘어나더라구요. 같은 체중이라도 허리둘레가 다른데 신축성이 좋으니불편없이 사용할 수 있을것 같아요.], 긍정 텍스트 확률 : 62.82%"
"[ 혁신적인 에어맥스 시스템의 드라이 시트로 강력한 흡수력과 통기성 증가로 아기엉덩이가 숨을 쉴 수 있도록 언제나 보송보송하게 지켜주네요.그래서 인지 오래 차고 있어도 발진없이 축축하지 않아요.얇아서 걱정했는데 기우였나봐요 통기성이 우수해서 바람이 솔솔들어가 짓무름을 방지한다고 하네요. 이렇게 잘 놀면서 더위와 함께 지내고 있답니다. ], 긍정 텍스트 확률 : 80.63%"
"[ 똑똑한 소변알림선이 최적의 교체시간을 알려주어 깔끔하고 편리하게 바꿔 줄수 있어요. 노란소변선이 이렇게 파란색으로 변하니 바로 알수 있답니다.], 긍정 텍스트 확률 : 51.19%"
"[ 얇지만 흡수력 뛰어난 여름기저귀를 찾는 육아맘들에게 추천 해요 ], 긍정 텍스트 확률 : 99.15%"
"[ 업체에서 제품을 공급받아 사용한 후 작성되었습니다..?여름기저귀여름기저귀.?기저귀추천기저귀추천.?신생아기저귀신생아기저귀.?팬티기저귀팬티기저귀.?여름기저귀추천여름기저귀추천.?밤기저귀밤기저귀.?밤기저귀추천밤기저귀추천.?뭉침없는기저귀뭉침없는기저귀], 긍정 텍스트 확률 : 57.12%"
"[. .노랑노랑 토끼토끼.대디 베이비 기저귀를 소개합니다...... 골드버젼. 라지 사이즈 여아용 이구요], 긍정 텍스트 확률 : 54.57%"
"[ 정말 소프트보들보들 보드라운 느낌아기들이 까칠하지 않으니 좋겠네요 ], 긍정 텍스트 확률 : 77.91%"
"[ 아기체형을 위한설계그리고 여름에 시원하게 초슬림패드 라서정말 얇아요 ], 긍정 텍스트 확률 : 60.88%"
"[ 순간흡수층이 소변이 피부에 닿기 전 빠르게 흡수파워흡수층이 역류없이 간직하여 보송유지 ], 긍정 텍스트 확률 : 85.95%"
"[ 올록볼록 다이아 엠보싱이 피부에 닿는 면적 최소화 ], 긍정 텍스트 확률 : 62.18%"
"[ 모양의 엠보시트가 보이죠?다이아 모양 덕분에 피부에 닿는 면을 줄여서쾌적함 유지할 수 있다고해요. ], 긍정 텍스트 확률 : 90.48%"
"[ 인체공학적인 설계로 배를 안정감있게 감싸고많은 움직임에도 편안하게 밀착 ], 긍정 텍스트 확률 : 51.51%"
"[ 허리밴드가 안정감있게 허리를 쫘악 감싸주고이렇게 많은 움직임에도 밀착밀착 ], 긍정 텍스트 확률 : 63.20%"
"[ 제가 좋아하는 운동시간에엎드려 뻗쳐를 해도 좋구요], 긍정 텍스트 확률 : 88.48%"
"[ 샐염려 걱정없이 높은곳], 긍정 텍스트 확률 : 85.58%"
"[낮은곳을 오르락 내리락신나게 뛰어놀구요], 긍정 텍스트 확률 : 86.58%"
"[ 그리고... 엄마한테 혼나지만 ], 긍정 텍스트 확률 : 59.89%"
"[ 허리밴드 테이프를 뜯는 재미도ㅋㅋㅋ ], 긍정 텍스트 확률 : 79.51%"
"[ 그리고 마지막으로 이렇게 쉬지않고 여기저기 돌아다니며마구마구 움직이면서 집안을 청소해도기저귀가 시원하고 보송보송 편안하답니다예떠가 입은 요 기저귀는요], 긍정 텍스트 확률 : 93.99%"
"[ 요기영광닷컴에서대디베이비 기저귀 를더 자세히 볼 수 있어요. ], 긍정 텍스트 확률 : 76.73%"
"[ ☆제품만을 무상제공받고 솔직하게 적은대디베이비 체험단 후기입니다.☆ .?여름기저귀여름기저귀.?기저귀추천기저귀추천.?신생아기저귀신생아기저귀.?팬티기저귀팬티기저귀.?여름기저귀추천여름기저귀추천.?밤기저귀밤기저귀.?밤기저귀추천밤기저귀추천], 긍정 텍스트 확률 : 98.28%"
"[요 새 저의 작은꿈 이 생겼어요.한국엄마], 긍정 텍스트 확률 : 89.09%"
"[ 아빠들 사이에서 좋다고소문이 자자한 모든 기저귀를 한번 씩 다 써보는 거랍니다 그래서 이번엔 요 아이를 데리고 와봤어요. ], 긍정 텍스트 확률 : 94.12%"
"[ 피부과학연구소에서 . 피부무자극인증인체유해성분 종 무검출국가통합인증인인증획득국제표준화기구인증지속적인 연구와 체계적인 관리로 안전한 기저귀라서 더 마음에 들었답니다. 세계적으로 가장 규모가 큰 에서생산품질인증을 받은 제품 인만큼세계 곳곳에서 수출 도 하구요.전국 여군데의 병원과 산후조리원 에서 대디베이비를 사용할 정도라하니이정도면 안전한 기저귀로 인정], 긍정 텍스트 확률 : 91.89%"
"[ 저는 그 중에서최고자재 프리미엄인골드밴드형 을 준비해봤답니다.], 긍정 텍스트 확률 : 94.53%"
"[ 사이즈는 아기의 몸무게에 따라 나뉘어져 있구요. 저희 쭈니는 생후개월 여아로], 긍정 텍스트 확률 : 65.68%"
"[ 사실 아기체형을 고려 하여 선택하는게 좋아요. 저도 몸무게로만 보고 선택했다가 기저귀가 작아서 자국도 더 생기는 것같고 그랬거든요. ㅠㅠ], 긍정 텍스트 확률 : 93.41%"
"[ 이해하기 쉽게 핸드폰 비교 샷도 첨부할께요대디베이비는 입은 듯 안입은 듯한 슬림한 두께라서 아기가 편안하게 움직일 수있게 해준답니다.시트타입 매직홀 엠보우리 쭈니 소중이에 닿는 부분인 만큼 기저귀의 속면을 살펴보았는데요.], 긍정 텍스트 확률 : 50.08%"
"[안쪽면 모두 실크 감촉의 시트지를 사용 해서 진짜 너무 부드럽더라구요 기저귀를 만지고 싶을 정도라니깐요.], 긍정 텍스트 확률 : 95.65%"
"[ 그리고], 긍정 텍스트 확률 : 70.21%"
"[ 순간흡수력에 이어 흡수량도 한번 살펴볼까요?아기들 하루 소변량이 평균적으로 라고 하는데 대디베이비에서는 얼마큼의 소변량을 흡수할 수있는지], 긍정 텍스트 확률 : 94.82%"
"[ 하루 소변량도 거뜬히 소화할 수 있는 대디베이비 기저귀], 긍정 텍스트 확률 : 87.60%"
"[어떻게 이런 순간 흡수력과 흡수량이 가능한 것인지], 긍정 텍스트 확률 : 70.96%"
"[ 어느 쪽으로 뭉치지 않고 고루게 흡수 가 되어 있더라구요.], 긍정 텍스트 확률 : 69.21%"
"[ 요건 진짜 소변ㅋㅋ굳이 자르지않아도 외관상으로 딱 봤을 때도 시트지에 고루게 흡수되어있지만요 ], 긍정 텍스트 확률 : 96.03%"
"[ 대디베이비 라인중에서골드형은 최고자재 프리미엄 소재 를 사용하기때문에 이렇게 실키한 부드러움을 느낄 수 있다고 합니다.게다가기저귀 밖같쪽 면뿐만 아니라 안쪽면까지 실크 감촉의 시트지를 사용 했구요.제가 이제까지 사용해본 기저귀 중에서 손에 꼽을 정도라니깐요 칭찬해 칭찬해 허리밴드더블 와이드밴드줄 엘라스틱밴드 저희 쭈니는 묽은 배변을 싸는 편인데요. 기존 기저귀는 밴드가 허리에만 있어 등까지 변이 묻기 일쑤였는데요.], 긍정 텍스트 확률 : 99.42%"
"[ 자세히보면 기저귀 속안에 부드럽고 뛰어난 신축성의줄의 엘라스틱밴드 가 삽입이 되어있는데요.], 긍정 텍스트 확률 : 72.32%"
"[ 대디베이비 기저귀는에어맥스 시스템의 드라이 시트 때문에 배 더 항샹된 통기성 으로 바람을 통해 엉덩이가 편안하게 숨쉬도록 도와주어 보송함을 유지할 수 있다고 합니다. 빨리 흡수되는 것과 항샹된 통기성으로 습하고 더운 여름철 불쾌지수까지 내려주는 역할을 한 것같더라구요.중샘 방지 저희 쭈니가 변비가 살짝 있는지라 쌌다하면 와자창 싸는 통에 기저귀가 꽈악 차있는데요.ㅋㅋ중샘 방지막이 없었으면 변이 기저귀를 뚫고 나와 전 매일 곤욕을 치렀겠죠. 정말 중샘 방지막은 누가 만들었는지 아이디어 좋은 것같아요.], 긍정 텍스트 확률 : 62.16%"
"[ 대디베이비 기저귀는가는 선으로 교체 알림선 이 되어있어 초보맘들이 기저귀를 갈 타임을 확인할 수도 있답니다. 저는 기저귀를 만져보면 묵직한 느낌을 이제는 알아서 소변줄을 굳이 안봐도 갈지만요 ㅋㅋ그리고], 긍정 텍스트 확률 : 70.19%"
"[ 요새 엄청 덥잖아요.그래서 저희 집은 에어콘이 엄청 열일하고 있답니다.ㅠ이렇게 무더운 여름철], 긍정 텍스트 확률 : 63.60%"
"[땀띠와 기저귀 발진없이 무사히 지나가길 바라면서 마지막 총평으로 마무리하겠습니다.], 긍정 텍스트 확률 : 83.97%"
"[.?여름기저귀여름기저귀.?기저귀추천기저귀추천.?신생아기저귀신생아기저귀.?팬티기저귀팬티기저귀.?여름기저귀추천여름기저귀추천.?밤기저귀밤기저귀.?밤기저귀추천밤기저귀추천 ], 긍정 텍스트 확률 : 94.61%"
"[ 본 포스팅은 대디베이비로부터 경제적 대가제품를 받았으나], 긍정 텍스트 확률 : 59.66%"
"[ .?신생아기저귀신생아기저귀 .?아기기저귀추천아기기저귀추천 .?보솜이디오가닉보솜이디오가닉 .?대디베이비기저귀대디베이비기저귀 .?솔직사용후기솔직사용후기 .?육아팁육아팁 .?기저귀유목민기저귀유목민 ], 긍정 텍스트 확률 : 64.88%"
"[ 친절한 미자입니다 아기를 낳고 초반에는정말 많은 기저귀 선물이 들어오죠사람마다 선호하는 기저귀도 다르고눈에보이는거 사오시는 분들도 있을거고 ㅋㅋ여러가지 기저귀를 선물 받았었어요하기스], 긍정 텍스트 확률 : 67.99%"
"[보솜이], 긍정 텍스트 확률 : 51.21%"
"[ 하기스는 종류도 너무 많고말도 많고..........그렇다고 엄청 저렴한것도 아니고 그래서 그냥 선물 받은것만 쓰고 살 생각 안했고요 ㅎㅎ ], 긍정 텍스트 확률 : 97.30%"
"[ 진짜 아직도 이해할 수 없는 기저귀보솜이 디 오가닉가격이 보통 매당 원굉장히 비싸요근데 기저귀 채울때 뻑뻑한 느낌은 기본이고냄새를 전혀 못잡아줘요흡수력도 안좋아서 소변 한번만 눠도 겉에서 묵직하게 느껴져요왜 비싼지 진짜 도 모르겠는 기저귀..절대 사서 쓰진 않을 기저귀에요 ], 긍정 텍스트 확률 : 96.45%"
"[ 제가 선택한건 대디베이비기저귀 조리원에 있을때 선물들어와서조리원에서도 이 기저귀로 채워달라 맡겼었거든요조리원에서 쓰이는 기저귀는백조기저귀였는데 발진난거에요 ㅠㅠ그래서 이걸로 채워달라고 드렸는데바로 가라 앉았어요 ], 긍정 텍스트 확률 : 91.85%"
"[ 두께도 굉장히 슬림하구요뻑뻑한 느낌없이아이에게 채울때 보드라운 느낌이 너무 좋아요 냄새도 많이 잡아주고요소변 여러번 눠도 뽀송뽀송해요 가격대비 정말 만족하는 기저귀 앞으로도 별일 없으면 대디베이비기저귀로정착할 생각이랍니다ㅎㅎ기저귀 고민 하시는 맘들한번 써보셔용], 긍정 텍스트 확률 : 100.00%"
"[ 기저귀가 아주 맘에 든다는 수아씨 ㅋㅋㅋ ], 긍정 텍스트 확률 : 88.23%"
"[ 뒷태 심쿵사 당하며 오늘도 육아 화이팅합니다], 긍정 텍스트 확률 : 90.21%"
"[. .?개월아기개월아기.?아기기저귀아기기저귀..?여름기저귀여름기저귀.?기저귀추천기저귀추천.?신생아기저귀신생아기저귀. .?대디베이비골드대디베이비골드 ], 긍정 텍스트 확률 : 78.79%"
"[ .이번에 휴가를 가면서 땀많고 활동성은 많은 아드님을 위해. .?대디베이비대디베이비.?골드골드.?여름기저귀여름기저귀 를 챙겨갔는데 .아주 탁월한 선택이였어요.정말정말 더웠는데 기저귀 덕분에 야외활동 후에도 편하고 발진 없이 잘 보냈답니다♡ ], 긍정 텍스트 확률 : 95.57%"
"[ . 개월아기골드팬티 남아용편안하게 착용대디베이비는 소포장되어있어서여행갈 때 챙겨가기 좋아요 ], 긍정 텍스트 확률 : 54.15%"
"[ 대디베이비골드 여름기저귀를 사용해보고 가장 좋았던 점이등허리부터 옆구리까지넓게 확장된 더블와이어밴드와허리부분의 줄 탄성밴드엘라스틱밴드로 전반적으로 신축성이있어 편안하게 입힐 수 있었어요 ], 긍정 텍스트 확률 : 62.73%"
"[ 넓적하게 부드럽고 탄력 좋은 밴드가 촘촘히 아기 허리부터 옆까지 다 감싸주니 쪼이는거 없이 부드럽게 감싸주는데 이 많은 주름들이 그 비결인거 같아요ㅋㅋㅋ ], 긍정 텍스트 확률 : 87.54%"
"[ 대디베이비 골드는 최고자제 프리미엄 기저귀라 그런지 패드부분이 부드러웠어요부드럽다 보니 자극도 덜 가는거 같아요 ], 긍정 텍스트 확률 : 95.21%"
"[ 약 만여개의 매직홀은흡수통로를 확보해 순간흡수력을 높여주고 다이아엠보는 피부에 닿는 면적을 최소화하여보송한 엉덩이를 유지여름기저귀 답게 슬림핏으로 되어있어통기성 이 좋고], 긍정 텍스트 확률 : 64.36%"
"[ 한시도 가만히 있지 않는 개월 베베는 자면서도 뒤척이고 자서 중샘방지막은 필수랍니다 ], 긍정 텍스트 확률 : 82.63%"
"[ 밴드옆선에마이크로초음파 컷팅을도입하여 거친옆선으로 인한 자극을 최소화해 부드럽게 착용할 수 있고 사용 후 한번에 깔끔하게 찢겨져서 응가 닦일 때 밴드형처럼 편하게 뜯을 수 있어요 진짜 이것도 개편🤩🤩 ], 긍정 텍스트 확률 : 93.38%"
"[ 무자극인증유해성분 종 무검출인증], 긍정 텍스트 확률 : 59.04%"
"[인증국제표준화세스코멤버스존 안전해서 안심하고 사용할 수 있어요 ], 긍정 텍스트 확률 : 55.25%"
"[ 하얀 우리 아기 발진없이 뽀송뽀송하게 유지시켜주는 대디베이비 골드 여름기저귀 덕분에 시원하게 휴가보내고왔어요♡ ], 긍정 텍스트 확률 : 67.16%"
"[ 남아용 여아용대형 특대이상 점보 .남자아기 특대형 크지도 작지도 않고 편안하게 착용본 포스팅은 업체로부터 제품을 무상으로 제공받사 작성한 솔직한 후기입니다 ], 긍정 텍스트 확률 : 75.42%"
"[이 날 처음으로 사람들이 몰려왔다면서 수영장은 오픈하지 않고], 긍정 텍스트 확률 : 63.24%"
"[분수만 오픈했더라구요. 다다음주에 시댁에 또 가기로 했는데 그 때는 수영장이 오픈 할 것이라 또 방문을 하기로 했는데요. 아이들이 놀기 좋은 얕은 물도 있어 미리 대디베이비 방수기저귀를 준비해보기로 했어요. ], 긍정 텍스트 확률 : 50.56%"
"[ 대디베이비 스윔팬티기저귀는 하나의 봉투 안에 개의 방수기저귀가 들어있어요. 생각보다 무척 얇은 기저귀로 여자 아이 기저귀라 그런지 핑크색 기저귀이네요. 물을 좋아하는 첫째에 비해 둘째는 너무 물을 무서워해요. 목욕시키며 물놀이를 하기까지 정말 오랜 시간이 걸렸었는데요. 이제는 좀 더 업그레이드 되어 스윔팬티를 입고 물놀이를 하면 좋겠다는 엄마의 바램이 생기네요. ], 긍정 텍스트 확률 : 79.06%"
"[ 대디베이비 스윔팬티의 장점무자극 인증을 받아 물 속에서도 안전함은 물론 쭉쭉 늘어나는 핏으로 물 속에서도 편안하게 착용 할 수 있다고 해요. 물놀이 수영장기저귀로 일반 기저귀와 달리 물속에서도 부풀거나 무거워지지 않아 신나는 물놀이도 가능하다고 하는데요. 중 샘방지막이 배설물을 중으로 막아줌은 물론 물놀이 중에도 샘 걱정없이 든든하다고 하네요.], 긍정 텍스트 확률 : 84.13%"
"[ 그 뿐 아니라 얇아도 이렇게 얇을 수가 . 울트라 슬림시트로 수영복이나 래쉬가드에도 티나지 않는 완벽한 스키니 뒷태를 보여줄 수 있다고 해요. 그리고 굳이 많이 들고 다닐 필요 없이 편리하게 개씩 되어 있는 지퍼팩 패키지가 아무래도 휴대하기에도 편리함은 물론 위생적이라 오랫동안 이용 할 수 있다는 장점이 있더라구요. ], 긍정 텍스트 확률 : 91.67%"
"[얇은 기저귀 그대로. 수영장기저귀로 올 여름 수영장 가시려는 육아맘에게 정말 유용한 필수템인것 같아요. ], 긍정 텍스트 확률 : 57.69%"
"[ 앞으로 시댁에 가기 까지 일 정도가 남았는데요. 수영장기저귀 대디베이비 시댁에 가서도 할용 할 수 있기를 기대하며 남은 기간 동안 아이가 더욱 물과 친해 질 수 있도록 온 가족이 열심히 노력해봐야겠어요. 물론 저는 임신중이라 수영장에서 남편의 활동이 가장 크겠지만 신나게 물놀이를 하는 우리 아이 모습을 괜시리 기대해보게 되네요. ], 긍정 텍스트 확률 : 99.97%"
"[최근 핫딜방에 올라오는 기저귀 세일만 기다리다가똑 떨어진 기저귀 때문에 급하게 홈플러스에 가게 되었다.밤기저귀는 대디베이비 밴드형 골드로 너무 잘쓰고 있는데자주 쓰는 낮용이 항상 고민된다.ㅠㅠ아직 낮기저귀 유목민이라서..하기스는 써봤는데 그냥저냥 무난하게 썼던 기억이 있지만], 긍정 텍스트 확률 : 58.80%"
"[ 대디베이비 골드 기저귀는 맘카페 핫딜방에서 우연히 세일을해서 처음 사용해보게 되었다.그땐 아직 덜 유명했을 때라서기저귀라고는 네이쳐메이드와 하기스가 제일 좋은줄 알았었다..큰기대없이 써봤다가 홀딱 반하게 됨 ], 긍정 텍스트 확률 : 99.42%"
"[ 에 매가 들어있는 라지사이즈.하지만 꿀벅지 우리 아가는 키로 전에 이미 딱맞았다는..ㅎㅎ지금은 이상 쓴다는 특대형을 한박스 사놨는데 너무 크지는 않을지 조금 걱정되기도 한다.이래놓고 딱 맞을것 같은 느낌.. ], 긍정 텍스트 확률 : 75.34%"
"[소중이 부분이 깨끗한 살색인건 물론이고바지 어디에도 샌 곳이 없어서 항상 믿음직스럽다.최근에 가격이 인상된건 조금 아쉽지만 기저귀 땔때까지 계속 사용할 예정임결론은 밤기저귀 대디베이비 소프트 밴드 골드 완전 추천입니다같은 소프트 팬티는 쏘쏘], 긍정 텍스트 확률 : 99.47%"
"[안녕하세요딸둘맘 입니다요즘같은날씨 정말 너무너무 덥죠ㅠㅠㅠ이렇게 더운날 기저귀 발진이 더 잘 일어나죠그런 아가의 소중한 엉덩이를 위해 오늘은 여름기저귀로 딱 인대디베이비 골드 기저귀를 소개 해드릴께요 ], 긍정 텍스트 확률 : 98.64%"
"[ 대디베이비 골드여아용 팬티에요겉포장지만 봐도 핑크핑크하면서 깜찍한 토끼가 여아 기저귀 같죠ㅎㅎ ], 긍정 텍스트 확률 : 94.08%"
"[ 사이즈는 개 가 들어있어요여름이라 휴가 많이가실텐데 다른기저귀들은 너무 많이 들어가있거나 적게들어있어서포장뜯어서 덜거나 더 넣어야 하는데 대디베이비는 딱 적당량이라 포장 그대로 휴가갈때 가지고 갈수 있을것같아요포장을 뜯지않아 더 위생적이겠죠?ㅎㅎㅎ그리고 위쪽에 보시면입체 슬림핏 과통기성이 무려 증가많은 소변량에도 바람이 솔솔 잘통해서 짓무르지않게 해준대요ㅎㅎ ], 긍정 텍스트 확률 : 68.09%"
"[ 뒷편엔 이렇게 대디베이비기저귀만의 특별함이 있답니다소프트 터치패드], 긍정 텍스트 확률 : 65.99%"
"[초슬림매직핏자 그럼 하나씩 살펴 보도록 해요 ], 긍정 텍스트 확률 : 73.08%"
"[ 포장을 뜯은뒤 이렇게 기저귀를 꺼내어봤는데기저귀가 너무 예쁘죠ㅠㅠㅠ기저귀 디자인이 핑크핑크한게 토끼까지.. 넘귀엽ㅠㅠ ], 긍정 텍스트 확률 : 99.16%"
"[ 그리고 기저귀 앞 토끼 디자인도 세가지 종류가 있어요세가지 다 너무너무 귀여운거 있죠 ], 긍정 텍스트 확률 : 96.49%"
"[ 마찬가지 허벅지쪽도 잘늘어나서 꿀벅지인 아이들도 편안하게 잘 사용할수 있을듯 하네요ㅎㅎ ], 긍정 텍스트 확률 : 97.83%"
"[ 그리고 옆쪽엔중으로 샘방지 가 되어있어 활동량이 많은 아이나또 무른변까지 새지않게 해준답니다심지어샘방지막은 나 더 높아졌다고 해요샐확률이 거의 없겠죠?ㅎㅎ ], 긍정 텍스트 확률 : 98.95%"
"[ 그리고 앞쪽], 긍정 텍스트 확률 : 70.21%"
"[ 기저귀 안쪽면이에요올록볼록 다이아 엠보 시트 가 피부에 닿는 면적을 최소화시켜 쾌적함을 유지할수있어요약 만여개의 매직홀이 흡수통로를 확보해서 순간 흡수력을 높여 엉덩이 짓무름을 방지 할수있어요흡수력이 얼마나 빠르길래 싶어 실험을 해보았죠 ], 긍정 텍스트 확률 : 93.99%"
"[ 동영상못보시는분들을위해ㅋㅋㅋㅋㅋㅋㅋㅋ요로케 홍초를 듬뿍 부었는데도 불구하고 넘치는곳 하나없죵ㅎㅎ ], 긍정 텍스트 확률 : 87.58%"
"[ 부었는데도 빨리 흡수가 되는게 눈에 보이죠?오른쪽을 보시면 흡수되는게 더 잘보이실거에요ㅎㅎ빨갛던게 점점 옇어져 가는게 보이네요 ], 긍정 텍스트 확률 : 94.01%"
"[ 이렇게 완전 흡수된 사진이에요말안하면 홍초 부은지도 모르겠다는... ], 긍정 텍스트 확률 : 72.15%"
"[ 동영상과 같이 너무 쉽게 뜯기지도], 긍정 텍스트 확률 : 51.16%"
"[ 또옆선이 바깥 으로 되어있어 아이들이 착용하고도 자극이 없어 좋을것 같아요그럼 세아가 착용한사진 보여드릴게요 ], 긍정 텍스트 확률 : 72.01%"
"[ 마찬가지 서잇을때도 도 허리밴드가 배를 잘감싸주고 많은움직임에도 안정감있게 감싸주고 편안하게 밀착되어 있는게 보이죠? ], 긍정 텍스트 확률 : 98.04%"
"[ 요로케 엎드려 있어도 전혀 빈틈이 없어서 새지않는답니다뒷모습에 있는 토끼도 귀엽귀엽ㅠㅠㅎㅎ그리고 오른쪽처럼 소변줄도 쉬야하면 바로 색깔이 변해서 기저귀 갈아야할때를 쉽게 알수있어요ㅎㅎ ], 긍정 텍스트 확률 : 73.09%"
