"[팬티기저귀에이메르네이쳐··글·사진멍젤라 ⓒ멍젤라.], 부정 텍스트 확률 : 78.86%"
"[ 신생아때는 기저귀함에 정리해 놓았었는데 이제는 기저귀용량도 많지않아서 요렇게 오픈해서 놓아두고 쓰면 편리하더라구요.쏘옥 기저귀 한장씩 간편하게 꺼냅니다.남여공용으로 사용가능한 팬티기저귀로 기어다니고 움직임이 많아지는 시기에 편안하게 입히기 적합한 에이메르네이쳐 슬림 팬티기저귀에요.], 부정 텍스트 확률 : 85.51%"
"[ 블루화이트 색상으로 디자인도 참 깔끔하죠?기저귀 겉면이 거칠한것도 있는데 요건 겉], 부정 텍스트 확률 : 78.55%"
"[안이 다ㅡ부드러워서 아이피부에 자극없을듯...에이메르네이쳐 슬림 팬티기저귀는처음 뒤집기를 시작한 정도의 활동적인 아이도 사이즈 고민없이 편안하게 착용가능하고 포근하게 감싸주는 유니크 도 허리밴드는 아이 체형에 문제없이 허리부분을 감싸주어 아이가 불편하지 않도록 도와준답니다. ], 부정 텍스트 확률 : 99.92%"
"[ 울딸랑구도 막 기어다니기 시작할때 팬티기저귀를 사용했었는데 이렇게 배변훈련시기에 너무 좋은 기저귀를 만나서 좋더라구요. 이러다 또 기저기 떼기 실패하는건 아닌지...ㅋㅋㅋ진짜 마음에 쏙 드는 허리밴드와 다리밴드 ], 부정 텍스트 확률 : 75.58%"
"[ 다리쪽은 이중으로 되어있어 샘방지 기능도 추가욧진짜 요즘 자꾸 기저귀새니까 스트레스받았었는데 에이메르네이쳐 슬림 팬티기저귀는 밤기저귀로 합격부드럽고 자극없는 소프트 시트 커버로 연약한 아기피부에 자극을 최소화하여 아이가 편안하게 착용할 수 있으며 아이의 움직임에 맞게 밀착되어 세지않고 빠르게 흡수하여 안심하고 사용하고 있어요. ], 부정 텍스트 확률 : 86.51%"
"[수면시 기저귀 벗겨서 확인할 수 없으니 소변선은 필수라는점정리도 샤샤샥 깔끔하게 끝 ], 부정 텍스트 확률 : 90.07%"
"[시간 내내 기저귀를 하는 아들.특히나 밤에는 한번? 한번도 안갈아줄때가 많아요.갈아주는게 맞지만 자칫 건들였다가 깨서 울면 큰애까지 깨고 윽.. 상상만으로 힘들어집니다. 귀찮은것도 있고 .. 그러다보니 아이 엉덩이가 늘 걱정이에요. 밤새 발진이 일어나거나 짓무르지않았을까..밤기저귀], 부정 텍스트 확률 : 99.28%"
"[ 단계는 단계], 부정 텍스트 확률 : 66.26%"
"[촉감도 신경써줘야해요. ], 부정 텍스트 확률 : 64.73%"
"[ 기저귀마다 내세우는 기능과 장점들이 있는데 에이메르네이쳐 기저귀는요. .?순면감촉커버순면감촉커버 부드러운 시트 커버로 연약한 아기 피부에 자극을 최소화함 .?뛰어난통기성뛰어난통기성미세한 유니크 홀 패드가 공기 순환을 원활하게 해주어서 피부에 발진이 없도록 도와주고 답답함 없이 시원하게 착용해요. .?흡수력흡수력 많은 양의 소변을 보더라도 흡수력이 좋고 뭉침없는 기저귀라 피부에 자극없이 뽀송합니다. ], 부정 텍스트 확률 : 74.84%"
"[.?허리밴드허리밴드.?고정테이프고정테이프아이 체형에 맞게 허리부분을 감싸주고움직이더라도 흘러내리지 않게 잡아줘요. ], 부정 텍스트 확률 : 89.69%"
"[ 배가 많이 나온 아기], 부정 텍스트 확률 : 74.51%"
"[ 그리고 기저귀 균형 맞추는게 생각보다 힘들거든요. 아기기저귀 에이메르네이쳐 밴드기저귀는 숫자가 표시되 있어요. ], 부정 텍스트 확률 : 61.48%"
"[ 양쪽 똑같은 숫자에 맞춰 붙여주기만 하면 밸런스 조절 쉬워요. ], 부정 텍스트 확률 : 92.59%"
"[ 기저귀 갈아주기 힘든 개월 아들 참을인을 가슴속에 수없이 새기며 기저귀 갈아주고 있는데 밴드기저귀가 편한 순간], 부정 텍스트 확률 : 82.77%"
"[불편한 순간이 있거든요. 이때에는 진심 욱한시도 가만히 있지않고 누워있으려고 안해요.에이메르네이쳐 팬티기저귀도 하나 주문해야겠어요. 아오 ], 부정 텍스트 확률 : 91.90%"
"[ 허벅지나 배에 자극이 남지않아서 기저귀 갈아줄때마다 기분이 좋아요.몇시간동안 우리애기 소중이랑 피부가 안전했구나 싶은 안도감♡ ], 부정 텍스트 확률 : 89.19%"
"[ 샘방지 날개가 길기도 하다우리 아들 엉덩이에 날개달은 줄 ㅋㅋㅋ완모에서 분유로 갈아타고 있는 중이라 변이 좀 묽거든요. 기다가도 찍 잡고 서다가도 퐈악?하는데 기저귀 위로 범해진 경우는 현재까지 없었어요. ], 부정 텍스트 확률 : 80.85%"
"[ 볼일끝난 기저귀는 돌돌말아서 휴지통으로예쁘게 잘 말렸죠 이런걸 예쁜 쓰레기라고 하나요 ㅋㅋㅋ아기기저귀 에이메르네이쳐 유니크 슬림 밴드기저귀 참 괜찮죠♡ 보들보들 뽀송하게 우래기 엉덩이를 지켜줘서 만족하고 사용합니다. ], 부정 텍스트 확률 : 94.57%"
"[아이를 키우면서 필요한 수 많은 육아템 중타비맘이 항상 쟁여두고 있는 육아용품은바로 물.티.슈.와 기.저.귀.에요온 가족이 사용하고 있는 물티슈는 이미 창고 한켠에 소복이 쌓아 두었구요기저귀는 타비는 이젠 차질 않아 테니꺼만 쟁여두고 있는데요 개월이 다 되어가는 테니가 호옥시나 기저귀를 뗄까 싶어 조금씩만 쟁여두고 있었더니 어느새 바닥이 보일려고 하네요그리곤 테니는 전혀 기저귀를 뗄 기미가 보이지 않아요ㅋㅋㅋ울 테니 벌써 살인데 곧 떼...겠...죠...???ㅋㅋㅋ암튼 불안해진 타비맘은 후다닥 테니의 기저귀를 주문하였어요ㅋㅋㅋ], 부정 텍스트 확률 : 86.55%"
"[ 에이메르 네이쳐는 여러부문에서 관왕을 수상하였으며], 부정 텍스트 확률 : 63.77%"
"[ 개월인 테니는 몸무게가 키로가 되지 않아요그래서 아직까지도 대형기저귀를 사용하고 있다는...테니보다 어린 아이들도 특대형으로 사용하고 있던데...ㅋㅋㅋ에이메르네이쳐 유니크 슬림 팬티기저귀 사이즈는중형], 부정 텍스트 확률 : 87.04%"
"[특대형], 부정 텍스트 확률 : 53.29%"
"[점보 사이즈로 나눠져 있으며중형은 ], 부정 텍스트 확률 : 59.52%"
"[ 대형은 ], 부정 텍스트 확률 : 52.97%"
"[ 특대형은 ], 부정 텍스트 확률 : 52.97%"
"[ 점보형은로 나눠져 있어키로가 되지 않은 테니는 대형으로 선택하였어요몸무게로는 특대형도 맞을꺼 같긴 한데마른편이여서 대형으로 선택했는데요역시나 대형이 현재 딱 맞아요특대형 했으면 컸을뻔...ㅋㅋㅋ암튼 같은 개월수], 부정 텍스트 확률 : 99.44%"
"[ 자세히 보면 절취선이 보이는데요 절취선대로 개봉하면 한장씩 쏙쏙쉽고 간편하면서 깔끔하게 개봉할 수 있어요요거 없음 성격대로 그냥 무작정 찢어 버린다는...ㅋㅋㅋ그럼 손목도 아프고 지저분해지기도 하고 ㅋㅋㅋ ], 부정 텍스트 확률 : 91.89%"
"[ 밴드부분은 포근하게 감싸주어배만 뽈록 튀어 나온 테니의 몸에도 문제 없이편안하게 허리를 감싸주며 아이 몸에 딱 피트되어 착용감 또한 뛰어나요 ], 부정 텍스트 확률 : 97.59%"
"[ 신축성이 어마어마하죠?쭉쭉 늘어나는 신축성 덕분에활동량이 어마어마한 테니가 착용해도 불편함이 전혀 느껴지지 않답니다 ], 부정 텍스트 확률 : 93.23%"
"[ 옆면에는 이중샘방지로 되어 있어아이의 움직임에 맞게 딱 밀착되며], 부정 텍스트 확률 : 82.21%"
"[ 활동성이 많은 아이라도 용변이 절대 새지 않아요특히 밤새 뒤척임이 많은 테니가어마어마한 소변을 했음에도 전혀 새지 않아안심하고 사용하고 있어요 ], 부정 텍스트 확률 : 92.05%"
"[ 답답함 없이 뽀송뽀송한 피부를 유지시켜줄 뿐만 아니라어마어마한 소변량도 뭉치지 않고강력한 흡수력으로 보송보송편안하게 착용할 수 있어요 ], 부정 텍스트 확률 : 74.15%"
"[ 밤새 어마어마한 쉬야를 했는데도 바로 갈아주지 않는 타비맘ㅋㅋㅋ일어나서도 한참 뒤에 갈아줬는데도 테니 엉덩이가 뽀송뽀송해요기저귀는 묵직하구요ㅋㅋㅋ테니가 피부가 예민한 편인데도 발진 하나 없는거 보면그만큼 흡수력이 뛰어나다는거겠죠?후처리도 깔끔해서 좋아요 ], 부정 텍스트 확률 : 93.80%"
"[...... ], 부정 텍스트 확률 : 70.13%"
"[ 편은 요거 봐주세요💛💛💛제가 사온 기저귀들은 .?헬로키티기저귀헬로키티기저귀 .?슈베스슬리머기저귀슈베스슬리머기저귀샘플로 받은.?에이메르네이쳐기저귀에이메르네이쳐기저귀 .?슈베스노블레스슈베스노블레스입니다.총평만 보실분들은바로 아래로 쭈욱 내려주세요❗ 그리고 위메프에서 샘플신청한애플크럼비기저귀가 있는데요건 구미집으로 복귀해서 포스팅할께요 ], 부정 텍스트 확률 : 87.53%"
"[ 늘 말하지만 저단계는 맞지않는거같아요..키로지만 는 작을꺼에요. ], 부정 텍스트 확률 : 85.73%"
"[ 슈베스 두가지만 두고 탑시트 비교해보면노블레스는 엠보싱], 부정 텍스트 확률 : 95.45%"
"[ 슬리머는 홀타입이에요사진상에서도 비교되죠? ], 부정 텍스트 확률 : 51.21%"
"[ 왼쪽은 에이메르네이처], 부정 텍스트 확률 : 52.97%"
"[ 오른쪽은 헬로키티헬로키티 엠보싱이 큼직큼직 엄청 잘보여요 ], 부정 텍스트 확률 : 76.52%"
"[ 둘다 흡수력 대박으로 소문이 나 있지요ꈍ◡ꈍ 하. 지. 만가격을 무시할 수 없다는거.....어린이집에가면 펑펑 쓸텐데엄마는 힘들다잉 ㅋㅋㅋㅋㅋ그래서 베페가서 기저귀 좀 보고써보고 주문해야지’ 하려고 구매한.?에이메르네이쳐기저귀에이메르네이쳐기저귀.?에이메르네이쳐유니크슬림팬티기저귀에이메르네이쳐유니크슬림팬티기저귀], 부정 텍스트 확률 : 67.68%"
"[ 소변표시줄이 있고밴드가 엄청 잘 늘어나고안쪽엔 구멍이 송송마찰을 줘도 부드럽네요], 부정 텍스트 확률 : 60.86%"
"[개월 접어든 둘째 아들 괌둥이는 뒤집기는 선수급], 부정 텍스트 확률 : 58.54%"
"[지금 기어 다닐려고 배밀이 엄청 열심히 하고 있어요. 개월수에 맞춰 너무 느리지도 빠르지도 않게 성장하는 아들을 보니 뿌듯뿌듯 성장하는 만큼 아이 성격도 슬슬 나오기 시작하는데요. 첫째 미니미군은 조금 순한 편이어서 아기때 기저귀갈때 힘든점이 딱히 없었던것 같은데 둘때 괌둥이는 기저귀 갈때마다 바둥바둥 뒤집을려고 하거나 옆으로 몸을 꼬아서 기저귀 갈기가 슬슬 힘들어지고 있어요. 보행기 타고 슝슝 날라다니고 있는 시기라 걸어 다니고 싶어서 앉자 있는것보다 서 있는걸 좋아하는데 돌전에 걸어 다닐것 같은 예감이 팍팍 듭니다.아기 팬티기저귀 는걸음마를 시작하는 아기 부터 거의 쓰기 시작 하는데요.기어다니기 시작하고 움직임이 많아지는 아기에게 적합한 팬티형 기저귀에이메르네이쳐 유니크 슬림 팬티 기저귀 를 소개합니다. ], 부정 텍스트 확률 : 50.01%"
"[ 기저귀 들고다니기도 편하고 보관하고 사용하기도 좋게 패키지가 제작된것 같아요. 원래 타 기저귀는 제가 봉지에서 다 빼서 기저귀 박스에 담아서 사용하는 편인데 에이메르네이쳐 팬티기저귀 패키지는 비닐팩 쉽게 뜯어서 한개씩 꺼내서 사용하기 편하게 만들어졌어요.이런 사소한 것까지 꼼꼼하게 디자인했다니...제 생각에는 디자인팀에아기가 있는 워킹맘 분이 많으신듯 합니다 ], 부정 텍스트 확률 : 70.84%"
"[ 에이메르네이쳐 팬티기저귀 앞], 부정 텍스트 확률 : 58.74%"
"[첫째 아이가 피부가 워낙 예민해서 기저귀 발진때문에 정말 반 기저귀 박사], 부정 텍스트 확률 : 57.38%"
"[ 팬티형 기저귀는 기저귀 교체를 쉽게 하기위해 개발된 제품으로 아기가 뒤집거나 기어서 기저귀 교체가 힘들어지기 시작하면 어느때라도 사용이 가능한데 에이메르네이쳐 유니크 슬림팬티 기저귀는 중형부터 팬티형을 사용 할 수 있도록 제작하여 뒤집기를 빨리 사작한 아이도 중형 사이즈가 있으니 걱정마세요 ], 부정 텍스트 확률 : 90.97%"
"[날씨가 더워지니 기저귀발진으로 인해 고생하는 아이들이 늘어나고 있더라고요어린이집이나 맘카페에 올라온 글들을 보면 엄마들에 걱정이 한 가득이던데..... ], 부정 텍스트 확률 : 53.10%"
"[ 그래서 저는 친환경 로하스 인증까지 완료한 유니크슬림 기저귀 에이메리네이쳐 팬티기저귀를사용하고 있습니다 ], 부정 텍스트 확률 : 76.52%"
"[ 신생아 때는 소변양이 많아서 자주 갈아주는 것보단 아이가 많이 찝찝해 하여 자주 갈아줬는데 지금은 예전에비하여 소변양이 많아지다보니 흡수력이 좋고 소변양이 많아도뭉치지 않는 팬티기저귀만 사용하게 되요 ], 부정 텍스트 확률 : 68.89%"
"[ 에이메르네이쳐 팬티기저귀는 많은 양에 소변을 빠르게 흡수하고 뭉치지 않아피부에 자극이 없고 착용하는 동안 뽀송뽀송을 유지해 준답니다 ], 부정 텍스트 확률 : 50.31%"
"[ 또한 미세한 유니크홀 패드가 있는데 이것이 공기 순환을 원활하게 해주어 더운 여름 날씨에도 발진 없이 답답하지 않고시원하게 착용 할 수 있는 환경을 만들어 준답니다 ], 부정 텍스트 확률 : 61.42%"
"[ 에이메르네이쳐 팬티기저귀에는후처리테이프가 있어 부피를 적게 만들어 깔끔하게뒷처리까지 할 수 있습니다 ], 부정 텍스트 확률 : 58.89%"
"[ 부드럽고 자극없는 소프트시트움직임이 많은 아이도 안심하고 사용할 수 있는 팬티기저귀슬림하고 가벼우며 통기성이 우수한 커버뭉치지 않고 흡수력이 강한 팬티 기저귀아이가 불편하지 않게 도와주는 유니크 도 허리밴드이 모든것이 바로 에이메르네이쳐 팬티기저귀 입니다 ], 부정 텍스트 확률 : 74.08%"
"[.?에이메르네이쳐기저귀에이메르네이쳐기저귀 ], 부정 텍스트 확률 : 69.00%"
"[ 라는 의미의 프랑스어인 에이메르], 부정 텍스트 확률 : 75.55%"
"[.?아기기저귀추천아기기저귀추천 .?에이메르네이쳐기저귀사이즈에이메르네이쳐기저귀사이즈이제 막 신생아 졸업한 우리아가는 단계인 소형가 맞겠지요? ], 부정 텍스트 확률 : 94.63%"
"[.?신생아기저귀추천신생아기저귀추천에이메르네이쳐 기저귀 한 팩은 개입인데저는 팩을 구매했답니다 ], 부정 텍스트 확률 : 57.14%"
"[ 기존에 쓰던 하기스네이쳐메이드와 비교했을때넓이가 좀 더 넓은 편이었고두께는 확실히 슬림했어요], 부정 텍스트 확률 : 77.60%"
"[ 에이메르네이쳐 유니크 슬림], 부정 텍스트 확률 : 53.29%"
"[ 무엇보다 기저귀자체가 슬림하고 답답해보이지 않아서 여름 기저귀는 에이메르네이쳐로 찜콩 ], 부정 텍스트 확률 : 93.63%"
"[ 에이메르네이쳐 유니크 슬림 기저귀직접 구매하고 작성한 후기 끝], 부정 텍스트 확률 : 71.94%"
"[에이메르네이쳐 팬티기저귀 슬림하고 활동하기 편해안녕하세요 망고어멈이에요 지금 배변훈련을 하고 있기는 하지만 아직 기저귀를 하고 있는 유니 기저귀를 한번하면 많은 양을 하고소변텀이 길어져서 아무래도 흡수력이 좋고 통기성이 좋은 팬티기저귀를 찾게되는데요 이번에 에이메르네이쳐 팬티기저귀를 써보았는데슬림하고 피부자극이 없어서 좋더라구요], 부정 텍스트 확률 : 55.26%"
"[ 유니크슬림 팬티기저귀로서남녀공용 사용가능한 팬티형 기저귀에요 움직임이 많아지는 아이에게 딱 적합한 팬티형기저귀유니는사이즈로 선택했어요], 부정 텍스트 확률 : 92.46%"
"[ 유니크 슬림만의 특별한 디자인으로 아이들이 편안하게 생활할 수 있도록 연구하고 제작했는데요 같은 개월수의 아이라도 성별], 부정 텍스트 확률 : 75.97%"
"[ 체형], 부정 텍스트 확률 : 53.29%"
"[성장발달에 따라 차이가 있기에해당홈페이지에는 허리둘레], 부정 텍스트 확률 : 62.14%"
"[흡수면시트폭그리고 전체길이까지 세세하게 기록해두었어요], 부정 텍스트 확률 : 89.98%"
"[ 에이메르네이쳐 유니크 슬림팬티는디자인자체도 군더더기없이 깔끔해요 뛰어난 통기성 유니크홀 패드로서공기순환을 활발하게 해주어서 피부발진이 없도록 도와주고아이가 답답함 없이 시원하게 착용할 수 있죠 ], 부정 텍스트 확률 : 92.20%"
"[ 게다가도 포근하게 감싸는 허리밴드덕에불편함이 없고쫙쫙 늘어나서 아이 배나 허리 조임이 전혀 없어요], 부정 텍스트 확률 : 97.68%"
"[ 활동성 많은 아이들을 위해중 샘방지밴드가 있어서소변이 새는걸 막아주어요], 부정 텍스트 확률 : 54.33%"
"[ 슬림사이즈라 내복을 입었을때도 엉덩이가 빵실하지 않아요 슬림핏이라 옷을 입어도 기저귀가 빵실하게 튀어나오지 않아핏이 예쁘게 떨어지더라구요], 부정 텍스트 확률 : 77.66%"
"[ .?에이메르에이메르.?에이메르네이쳐에이메르네이쳐.?에이메르하다에이메르하다.?아기기저귀아기기저귀.?편한기저귀편한기저귀], 부정 텍스트 확률 : 57.30%"
"[ 에이메르네이쳐는유니크 슬림 밴드 기저귀], 부정 텍스트 확률 : 66.26%"
"[ 아기기저귀 에이메르네이쳐사이즈 본격적으로 보여드릴께요], 부정 텍스트 확률 : 63.02%"
"[ 그리고 유니크 허리 밴드는 아기 체형에 문제 없이 허리부분을 감싸주며 아기가 불편함없이 도와주구요 아기 피부에 자극없는 고정테이프는 아기가 움직이더라도 흘러내리지 않게 잡아주고 피부에 자극이 덜 하게 제작되어서 안심하고 사용할 수 있어요. ], 부정 텍스트 확률 : 97.00%"
"[ 슬림하고 가벼운 통기성 커버 유니크 홀 패드가 공기 순환을 원할하게 해주어 답답함 없이 보송보송하게 피부를 유지시켜준다는 사실], 부정 텍스트 확률 : 73.91%"
"[ 아기기저귀 에이메르네이쳐 연우에게도 착용시켜봤는데요허벅지가 굵은 아기고 활동량이 많은 아기라 걱정했는데 딱 찰떡같이 맞게 이쁘게 착용되더라구요], 부정 텍스트 확률 : 69.96%"
"[ 앗 그리고 에이메르네이쳐 아기기저귀는 남녀공용 사용 가능하니까 참고하세요], 부정 텍스트 확률 : 87.77%"
"[ 몸에 딱 맞게 핏 되니까 연우도 만족하고 저도 만족했네요], 부정 텍스트 확률 : 97.43%"
"[ 연우야 너의 새 기저귀란다 에이메르네이쳐 소중한 내 아이를.?에이메르하세요에이메르하세요], 부정 텍스트 확률 : 82.34%"
"[ 움직이는데도 편해보이죠?만족만족], 부정 텍스트 확률 : 74.66%"
"[부드러운기저귀보송보송에이메르네이쳐슬림 팬티기저귀 ], 부정 텍스트 확률 : 53.29%"
"[에이메르네이쳐유니크 슬림 팬티기저귀 ], 부정 텍스트 확률 : 53.29%"
"[ 도 허리밴드는 아이의 체형에 핏되게 감싸주기 때문에아가가 불편해 하지 않는답니다허리부분도 정말 보드라워요 ], 부정 텍스트 확률 : 83.70%"
"[ 아주 간혹 기저귀에 하얀 알갱이 묻어난다고이거 불량 아니냐고 하는 엄마들도 있는데그건 바로 고분자 흡수체 랍니다식약청에서 인정한 피부에 무해한 성분이기 때문에물티슈로 닦아주면 되요 ], 부정 텍스트 확률 : 89.85%"
"[ 소변알림선 덕분에 제때에기저귀를 바로바로 갈아줄 수 있구요그리고 뭉침이 없구 역류도 없구요 .?밤기저귀밤기저귀 로 사용해도 안심이랍니다 ], 부정 텍스트 확률 : 53.31%"
"[ 한 팩당 개가 들어가 있는데 보통 일 정도면 다 쓰게 되는 것 같더라고요.에이메르기저귀는 처음 사용해보는데 피부자극이 덜하고흡수력이 좋다고 해서 기저귀발진이 자주 일어나는 아들을 위해 써보기로 한거에요. ], 부정 텍스트 확률 : 97.48%"
"[ 고정테이프로 움직임에 흘러내리지 않도록 잘 고정을 해줘요.앞면에서도 잘 부착이 되어서 흘러내릴 걱정이 없더라고요. ], 부정 텍스트 확률 : 75.58%"
"[ 밴드 기저귀와 팬티 기저귀로 나오는데 남여공용으로 사용이 가능하고 밴드의 경우 아직 걷지 못하거나 움직임이 많지 않은 아기에게 적합하다면 팬티형의 경우 기어다니기 시작하고 움직임이 많아지는 아기에게 사용하면 좋은 제품이예요 ], 부정 텍스트 확률 : 63.90%"
"[ 기저귀 특징을 살펴보면 왜 꼼꼼하게 선택해야하는지 알겠죠? ], 부정 텍스트 확률 : 89.14%"
"[ 부드럽고 자극이 없는 소프트 시트를 사용하였고 아이 체형에 문제없이 허리부분을 감싸주는 유니크한 허리밴드와 아이가 움직이더라도 흘러내리지 않게 잡아주고 피부에 자극이 덜하게 제작해주는 고정테이프까지 그리고 무엇보다 슬림하고 가벼워서 저는 만족스럽더라구요], 부정 텍스트 확률 : 95.59%"
"[ 아무래도 얼마 되지 않은 아기이기에 피부 자극이 없어야 하고 통기성도 좋아야 하기때문에 더욱 신뢰가 가는 기저귀이지 않나 싶어요 또한 교체 시기를 알려주는 소변 알림선도 있어서 소변이 닿으면 기저귀 알림선이 푸른계열의 색상으로 바껴요], 부정 텍스트 확률 : 97.93%"
"[ 에이메르네이쳐 아기기저귀는 이번에 처음 사용해봤지만 슬림하고 신생아형부터 특대형 사이즈까지 다양하기 때문에 권장 몸무게 확인하고 구매하면 될 거 같아요], 부정 텍스트 확률 : 84.47%"
"[안녕하세요 전국상위 몸무게 를 달리는 아린이에요 ㅎㅎ개월에무게가 나가서 개월수에 맞춰 기저귀를 사면 안되겠더라구요 밤기저귀 쓰던것이 떨어져서 더 좋은게 없을까 고민하다가에이메르네이쳐 좋다고 추천받아서 사용해봤는데명불허전 이더라구요], 부정 텍스트 확률 : 60.74%"
"[ 안쪽은 슬림하고 가벼운 통기성 커버를 사용하여유니크 홀 패드가 공기순환을 원활하게 해서피부를 늘 청결하게 유지시켜줘요 많은양을 흡수해도 뭉치지 않고 뽀송뽀송하여 기저귀 발진 걱정할일 없었네요 ㅎㅎㅎ ], 부정 텍스트 확률 : 70.74%"
"[ 고정테이프는 아이가 활발히 움직여도 흘러내리지 않게 고정해주며피부에 자극이 덜하여 안심하고 사용할수 있어요기저귀 시트는 부드럽고 자극없는 소프트시트라연약한 아기피부를 지켜준답니다], 부정 텍스트 확률 : 51.96%"
"[ 아린이는 피부가 민감한편인데순면감촉 커버로 자극이 없어 편안해 하더라구요빨갛게 생겼던 피부발진도미세한 유니크 홀패드로 통풍이 잘되어 답답함 없이시원해서 좋아하더라구요], 부정 텍스트 확률 : 95.65%"
"[. 구매하러가기 클릭 ], 부정 텍스트 확률 : 71.69%"
"[에이메르네이쳐 팬티기저귀], 부정 텍스트 확률 : 53.29%"
"[유니크하고 슬림해 ], 부정 텍스트 확률 : 54.49%"
"[아이의 체형에 맞아야 하고사이즈도 여유 있고 넉넉해야 하며허리나 허벅지에 자국이 남지 않아야 한다.그러려면 신축성이 좋아야 하고.아이 피부에 닿으니까 촉감도 부드러워야 하며밤새 채워놔도 흡수가 잘 돼야 한다. ], 부정 텍스트 확률 : 89.62%"
"[ 특히 팬티 기저귀를 찰 정도의 개월수가 되면], 부정 텍스트 확률 : 53.60%"
"[ 활동성이 엄청나기 때문에심하게 움직여도 새는 일이 없는지꼭 따져봐야 하고. ], 부정 텍스트 확률 : 77.54%"
"[ 무엇보다 어떤 소재로 만들어졌는지안전성을 꼭꼭 따져봐야 한다. ], 부정 텍스트 확률 : 58.58%"
"[ 대충 아무거나 골랐다가는아이의 엉덩이가 빨개지고 발진이 생기며.소변이 새서 이불은 난리가 나버린다. ], 부정 텍스트 확률 : 62.21%"
"[ 깐깐한 엄마가 이것저것 꼼꼼하게 따져봐도이 모든 걸 충족시키는 좋은 기저귀.에이메르네이쳐 유니크 슬림 팬티 기저귀 ], 부정 텍스트 확률 : 76.15%"
"[ 먼저], 부정 텍스트 확률 : 53.29%"
"[ 가볍고 슬림한 통기성 커버는 또 어떻고?커버가 얇고 바람이 슝슝 통하니까공기 순환이 원활하고덕분에 답답함이 전혀 없어 보인다. ], 부정 텍스트 확률 : 86.03%"
"[새는 일도 전혀 없다. ], 부정 텍스트 확률 : 96.18%"
"[ 진짜에이메르네이쳐하고나서 이불 버릴까 걱정하던 일이 싹 사라졌음 ], 부정 텍스트 확률 : 71.34%"
"[ 년 유아용품 기저귀 부문 위부터친환경 유아용품 브랜드파워대상], 부정 텍스트 확률 : 85.07%"
"[미래창조 경영 우수기업 대상까지관왕을 휩쓴 에이메르네이쳐.피부자극이 없는 흡수력 좋은 기저귀], 부정 텍스트 확률 : 68.11%"
"[ 직접 업어온 아이들이다.캡형과 리필형 골고루 구매를 해왔는데 캡형은 일단 매가 들어있고], 부정 텍스트 확률 : 55.23%"
"[리필형은 매가 들어있다.크기는으로 동일했다. ], 부정 텍스트 확률 : 63.40%"
"[.?신생아물티슈신생아물티슈 자주 추천받는 이 물티슈는 캡을 열게 되면 한 번더 공기주입을 막기 위해 스티커가 부착되어 있는데사용하기 전에 반드시 제거하고 하는게 좋다. ], 부정 텍스트 확률 : 76.64%"
"[ 열자마자 인공향료의 느낌은 없었따. 냄새없는 무향이었는데 아기피부에 부담줄 수 있는 무향으로 제작했다고 한다.한장씩 편하게 쏙 빼서 사용할 수 있다는게 참 좋았다. ], 부정 텍스트 확률 : 81.27%"
"[피부에 자극없이 사용할 수 있어서 좋았다.근데 이렇게 물티슈를 열었을 때 냄새가 나는 경우도 있다고 한다. 에이메르네이쳐 물티슈는 유해성을 가지고 있는 향 성분을 넣지 않고 만들다보니잠깐의 불쾌한 냄새가 날 수 있지만 증발하면서 냄새도 같이 사라지므로 안심해도 된다고 한다.그리고 물티슈의 유통기한은 년으로 다른 곳과 마찬가지인데 다양한 환경에 노출되다 보면 변질될 수 있다고 한다.근데 어차피...아이 물티슈는 거의......사라지는 수준으로 ㅎㅎㅎ ], 부정 텍스트 확률 : 64.45%"
"[자연친화적 추출물인 아보카도], 부정 텍스트 확률 : 65.39%"
"[표고버섯], 부정 텍스트 확률 : 53.29%"
"[차가버섯을 사용했기에안심하고 사용해도 된다고 한다.일단 한 번 써서 모르니 이것 다 쓴 후 다시 리뷰해볼 예정], 부정 텍스트 확률 : 99.46%"
"[ 기저귀는 남여공용이고..제조일은로..최근상품이 배송 됐어요 ], 부정 텍스트 확률 : 58.67%"
"[ 소변을 보면.. 앞부분 노란색 줄이 파란색으로 변한답니다. ], 부정 텍스트 확률 : 73.53%"
"[ 밴드 부분도 신축성이 좋아서...아이가 불편함을 느끼지 않도록 감싸줘요..안쪽 시트 부분도 자극 없는 소프트시트라..피부가 예민한 아이에게 사용해도 안심 ], 부정 텍스트 확률 : 97.90%"
"[ 기저귀 사용 후 마무리는...뒷면에 있는 후처리용 테이프를 사용해서 돌돌 말아주면 오케이 ], 부정 텍스트 확률 : 60.00%"
"[ 이제 생후 일인 별이님께서는 아직 기저귀 단계를 사용 중이고], 부정 텍스트 확률 : 86.98%"
"[ 곧 단계로 넘어갈 예정기저귀는 한 팩당 개입이지만가격이 착하다는 거 ], 부정 텍스트 확률 : 66.53%"
"[ 이렇게 소변이든 대변이든새는 걸 방지해준답니다저희 아이만 그런 건지 아니면 어떤 건지 잘 모르겠지만일 동안 기저귀 발진도 없이 잘 사용 중이에요기저귀 발진크림을 착실히 발라주는 거 때문일 수도 있겠네요그래서 앞으로도 계속 사용예정입니다 ], 부정 텍스트 확률 : 75.74%"
