"[친환경기저귀 밤보네이처 ], 부정 텍스트 확률 : 53.29%"
"[ 나같은 경우 기저귀를 엄청 자주 갈아주는편이라 최대 착용이 시간 정도였는데], 부정 텍스트 확률 : 91.46%"
"[ 시간정도는 거뜬하게 사용이 가능했음. 흡수력은 평타이상밤기저귀로는 사용을 안해봐서 시간 사용 기준으로 ], 부정 텍스트 확률 : 83.91%"
"[흡수겔들어간 기저귀들 쓰다보면 자주있는 일이긴한데묻은거 닦아내는건 여전히 귀찮고 찝찝한 아줌마 ], 부정 텍스트 확률 : 67.59%"
"[ 사이즈는 밤보네이처의 동일하고밤보드림단계 사용], 부정 텍스트 확률 : 55.26%"
"[ 나같은 초보엄마에겐.?소변줄기저귀소변줄기저귀 가 매우 중요 늘 소변줄 기저귀만 사용하는 아줌마임 ㅎㅎ밤보드림의 소변줄은 꿀성분 추출물로 만들어져], 부정 텍스트 확률 : 70.40%"
"[중굼속 성분이 나오지않음 ], 부정 텍스트 확률 : 72.92%"
"[ 그리고 정말 새하얀 디자인이렇게 디자인없는 기저귀는 처음이라 뭔가 어색했는데쓰다보니 새하얀 속옷 입힌것마냥 깔끔하니 좋았음 ㅋㅋ그만큼 색소가 덜 들어갔다는거니 자극도 없음 ], 부정 텍스트 확률 : 98.70%"
"[.?밤보네이처밤보네이처 보다 좀 더 순하게], 부정 텍스트 확률 : 67.41%"
"[부드럽게 만들어지고 소변줄이 있다는 정도의 차이가 있음. ], 부정 텍스트 확률 : 68.57%"
"[ 지난주 급 친정행할때 한팩 통채로 들고가 사용했는데], 부정 텍스트 확률 : 83.78%"
"[ 밤보네이처도 막 뻑뻑하고 거친건 아니지만], 부정 텍스트 확률 : 92.74%"
"[확실히 만져보면 밤보드림이 훨씬 더 겉감], 부정 텍스트 확률 : 85.45%"
"[ 그리고 소변을 보면 저렇게 소변줄이 파랗게변해서 체크하기에 편해서 굿굿그런데 간혹 장 중에 번 정도는 소변줄 표시가 안날때가 잇음.], 부정 텍스트 확률 : 93.35%"
"[ 우리 호동이의 경우 한 허벅지하는 아기라 기저귀뿐 아니라 쏘서], 부정 텍스트 확률 : 66.87%"
"[ 조리원에서부터 기저귀발진이 생겼던 아기라흡수력이 많이 떨어지거나], 부정 텍스트 확률 : 90.53%"
"[심하게 답답한 기저귀들은 쓰고싶어도 못쓰고 안쓰는데밤보기저귀는 사용하는동안 약 일 사용 기저귀발진없이], 부정 텍스트 확률 : 99.72%"
"[그리고 수입기저귀라 갓 만든 뜨끈한 제조일자가 아닌라는 것그 외에는 덴마크 정부에서 자국 아기들을 위해 만든 친환경기저귀라확실히 부드럽고 자극없이 아기들 엉덩이 지켜주기 좋아서 만족스러웠어요 ...... ], 부정 텍스트 확률 : 86.13%"
"[하...그 기억을 떠올리면정말 속이 상한다. 어느날 기저귀를 열었더니아기 엉덩이와 소중이가 아주 울긋불긋 올라오고 난리도 아니였다. 열심히 기저귀를 열어주고 바람을 불어주었지만하루종일 기저귀를 열어줄 수만든없는 일.온 집안이 똥오줌바다가 되기 전다시 기저귀를 채워주고괜찮겠지 괜찮겠지혼잣말을 실컷하고 다시 열어보면더 퉁퉁 울긋불긋속상함은 배가 되었다. 그래서 돈이 아까웠지만그 전에 산 기저귀 일단은 뒤로 밀어두고친환경 기저귀로 유명한 밤보드림만 열심히 사용하고 있는 중.정말 천만다행으로우리 딸에게 잘 맞아서 다시 엉덩이가올라온게 들어가고 있는 중이다 .기저귀가 안맞아 발진으로 크게 고생한후기 시작해본다.], 부정 텍스트 확률 : 97.22%"
"[새로운 기저귀를 만나며아기는 심하게 발진을 경험했다. 나와 신랑 역시 처음 겪어보는기저귀 발진에 이걸 어떻게 해야하나발만 동동동일단 크림 듬뿍과 기저귀 열어주기를 사용했지만궁극적으로기저귀를 차야하는 개월 아가에게기저귀는 가장 중요한아이템이였다.], 부정 텍스트 확률 : 97.54%"
"[ 그리고 이 엉망친창이던 순간에 만난한 줄기의 빛밤보 드림.], 부정 텍스트 확률 : 94.58%"
"[ 예전에 한 번 써봤을 때에참 좋은 기억을 가지고 있었더발진없는 기저귀 밤보드림.팬티기저귀로도 다들 많이 쓰시던데팬티랑 밴드랑 혼용중인 우리부부는일단 밤보드림 밴드로 사용을 시작해보기로 했다.], 부정 텍스트 확률 : 87.32%"
"[ 기저귀를 뜯으려고 보니오잉 이 마크들은 다 뭐지왠 기저귀에 마크? ㅎㅎㅎ알고보니 더마테스트라는 독일피부테스트를완료했다는 뜻이라고 한다. 또한뿐만 아니라 북유럽 친환경인증인 노르딕 에코라벨역시획득한 아이라고.그래서 밤보드림하면 친환경기저귀라고 하는 듯 싶다.], 부정 텍스트 확률 : 84.21%"
"[ 이렇게 한가득 쥐고 잡고 있어도 이렇게 얇을 수가. ], 부정 텍스트 확률 : 70.18%"
"[ 얇으면서도 다른 군더더기 없는 심플함이뭔가 나만 믿어요발진 내가 해치울게요런 느낌이랄까 ㅎㅎㅎ응 너만 믿어빨리 빨리 갈아줄게제발 기저귀발진이자식좀어케좀 해봐 ], 부정 텍스트 확률 : 83.70%"
"[ 앞서 말한대로 소변줄도 정말 진해서 금방금방 눈치채고 갈아주기아주 편했다. 발진 없애는 방법 중 하나가 빨리 갈아주는 건데 엄마가 얼렁 반응해서 열심히 갈아줄게 ], 부정 텍스트 확률 : 66.53%"
"[ 요리보고 조리보고밤보 드림이 뭔가 신기하고 좀 낯선 우리딸.근데 그 자세 뭐야? ㅋㅋㅋ기다려봐 싹 갈아줄게 ], 부정 텍스트 확률 : 75.64%"
"[ 아주 어릴때는 그냥휙휙 손쉬웠는데뭔가 점점 익숙해지면서도 더 고난이도가 되가는이거슨 육아일상.좋아 갈아줄게 기다려 ], 부정 텍스트 확률 : 97.05%"
"[.......?], 부정 텍스트 확률 : 53.29%"
"[...? .......?. ], 부정 텍스트 확률 : 53.29%"
"[아기가 발진때문에 고생하고 있다가발진없는 기저귀 찾기라는 제목으로 어떤맘님이개 기저귀를 놓고 비교하시더라구요.발진이 없고 소변알갱이없는 기저귀로 최고점수 준 글덕분에 저도네이처한박스를 질렀었죠.. ], 부정 텍스트 확률 : 62.71%"
"[ 아기태어나서 병원에서 케어 받던중 발진 크림바르던건데 계속 안낫던게 기저귀 밤보로 바꾸고 나서 바로 나았어요집에와서도 계속 밤보만써서 그런지 저도 퇴원때 쓰던거 받기만했지 크림은 퇴원후한번도 써본적이 없을정도로....밤보 기저귀효과 좋았어요. 다른건몰라도이부분에서 만큼은 저도 너무 만족했던지라.. 혹시나 저처럼 발진고생하시는 어뭉님들이라면써보시는거 그래서 추천해요.혹시모르시면코베 베이비페어에서 밤보기저귀 샘플팩받아 체험해볼수있으니 가시면 꼭 받아써보구용 ], 부정 텍스트 확률 : 97.36%"
"[ 밤보기저귀 밴드로 두가지가있는데 ], 부정 텍스트 확률 : 84.90%"
"[제가 샀던건 밤보 네이처제품이고청녹색포장지새로이 밤보 드림오른쪽도 살짝 궁금했는데요. ], 부정 텍스트 확률 : 70.96%"
"[ 드림이 더 슬림해서 활동하기 더 편하다 해요. ], 부정 텍스트 확률 : 56.31%"
"[둘다 써본 저로서는 솔직히 두개다 발진에 탁월해서..자사꺼 비교에서 성능 차이를 잘못느꼈어요. .드림 단계가 네이처단격랑 두께가 동일한정도?둘 망설인다면ㅋㅋ그냥 아무거나쓰세요. 대신 타사랑 비교하면 확실히 구분가네요 밤보 자체가 만져보면 두꺼운느낌이랑 부직포같은느낌이 없었어요.원래 슬림하고 원래부드러움근데한가지.. 개인적으로 느낀걸얘기하면 소변표시를 예민하게 체크해주지는 않아요 .소변줄자체가 원래화학성분 만들어 애한테 안좋을수있는데 그것역시 친환경적으로.. 밤보가 꿀성분으로만들어서 그럴지도몰라요.그런데 소변줄 걱정했던것보다 신경쓸거 못돼요.어째거나 어차피 발진에 강한 기저귀라 시간에 맞춰서 교환해주기만 해도 되서 소변줄도 그닥 필요치 않았어요..오히려 저는 개인적으로 소변줄없는게 좋기도해요. ], 부정 텍스트 확률 : 99.12%"
"[ 일단소변을 바로 누고는만져보면 살짝 시원한 느낌이 있지만순식간에 애기 피부처럼 부드러워져요.그리고 이게 다른 타회사 기저귀보다 흡수 속도가빠르고부드러운정도가 더 쎘었던것같고알갱이 소변찌꺼기도 없이 잘흡수돼서한달정도썼을때도전혀 없었어요. ], 부정 텍스트 확률 : 97.10%"
"[ ⬆️⬆️⬆️ 타사제품은 이렇게 구멍 엠보싱 느낌의 흡수인데 만져봤을때 첫느낌은 부드러워도 안에 솜뭉탱이 많은느낌 두꺼운느낌에 중간중간 부직포느낌.. .아래는 밤보 ], 부정 텍스트 확률 : 98.20%"
"[ ⬆️⬆️⬆️ 근데 밤보는 짜도 액체가안나오고 금새 아기피부처럼 부드러워짐 묻어나옴이 없음 ], 부정 텍스트 확률 : 58.56%"
"[ ⬆️⬆️⬆️밤보 기저귀는 구멍으로 나눠지지않아 전체적으로 빠르게흡수는 느낌에 애기피부만지듯 보들보들함 ], 부정 텍스트 확률 : 82.14%"
"[타사 제품은 거의 대부분 허리고무줄을 넣고 밴드부분의 탄성은 거의없는데요 ], 부정 텍스트 확률 : 80.15%"
"[ 밤보는 허리부위에는 늘어나지않고 밴드부분은 엄청신축성이 좋아요.. ], 부정 텍스트 확률 : 90.18%"
"[ 이중샘방지가 돼있어서 어떻게 밀착시켜도 물똥가득쌌는데 안샜고 밴드신축성때문에 아기허리에 꼭맞게 착용이 가능했어요. ], 부정 텍스트 확률 : 79.25%"
"[ 산림인증마크는 기저귀 표백할때 다이옥신등 발암물질이 나오지 않는 표백법이라 잔여 화학물질이 약 프로나 제거된다고하고알러지덴마크 인증은 알러지], 부정 텍스트 확률 : 66.53%"
"[ 습진], 부정 텍스트 확률 : 53.29%"
"[피부자극을 유발하는 위험성분이 없어야만 받을수있는 인증마크래요 ], 부정 텍스트 확률 : 84.56%"
"[ 가 인정한 천연목재펄프를가지고 만든제품인데 아이에게 자극이없고 흡수성이 강하대요.실제로 만졌을때 감촉도 다르고 발진도 덕분에 말끔이없어졌어요. ], 부정 텍스트 확률 : 92.20%"
"[.?친환경기저귀친환경기저귀.?밤보네이처밤보네이처.?코베베이비페어코베베이비페어.?후기후기 ], 부정 텍스트 확률 : 53.29%"
"[기저귀], 부정 텍스트 확률 : 53.29%"
"[ 덴마크정부에서는 년대부터 덴마크 아기들에게 안전한 기저귀를 공급하기 위해서아베나사와 독점계약을 맺은 이래로 지난 여년동안 아기들을 위한 자연 유래 성분의 친환경기저귀인 밤보 가 생산되고 있다고 한다 ], 부정 텍스트 확률 : 86.58%"
"[ 그리고 두번째 마크인 노르딕 에코라벨 인증마크이건 스완라벨이라고도 불리는데 덴마크를 비롯하여 노르웨이], 부정 텍스트 확률 : 72.00%"
"[핀란드], 부정 텍스트 확률 : 53.29%"
"[스웨덴], 부정 텍스트 확률 : 53.29%"
"[아이슬란드 등의 북유럽 국가의 공통 친환경 인증제도로 인공향료나 화학세제 등의 유해화학물질과 형광증백제], 부정 텍스트 확률 : 74.35%"
"[파라벤 방부제 성분들을 포함하지 않아야지만노르딕 에코라벨을 받을 수 있다고 한다 이런 원료들을 포함하지 않을 뿐만 아니라 제조 공정이나], 부정 텍스트 확률 : 74.56%"
"[제품 폐기 까지 제품 전체를 평가해서 인증 받는 다고 한다친환경 유래 성분들을 사용했기 때문에 밤보의 기저귀들은 자연분해 되는데요즘 미세먼지도 심한데 비록 내가 천기저귀는 못쓰고 일회용 기저귀를 쓸지라도기왕이면 친환경 기저귀를 사용하는게 미래의 우리 아이를 위한 작은 도움이 되리라 믿고 싶다그리고 세번째로 보이는 마크는 삼림인증 마크로 고품질의 펄프와 지속 가능한 산림보호를 위해 노력하는 브랜드에만 취득할 수 있는데밤보는 미국 천연삼림인 레드우드 숲에서 벌목한 천연 목재 펄프 섬유를 주원료로 사용하고 있고], 부정 텍스트 확률 : 71.93%"
"[ 보통 하얀 기저귀는 화학제품으로 표백을 하지만 밤보의 기저귀들은 무염소 저온 산소표백을 통해서 발암 물질들이 전혀 발생하지 않는 표백법을 통해 거의 대부분의 잔여화학물질을 제거하고 있다고 한다 ], 부정 텍스트 확률 : 65.32%"
"[ 밤보네이처 기저귀는 총 단계로 구분되어 있고], 부정 텍스트 확률 : 56.67%"
"[내가 예전에 써본 단계는 단계 였는데], 부정 텍스트 확률 : 70.24%"
"[ 우리 애기는 몸무게가 키에 비해 많이 나가서 허벅지가 굵은 편이라 실제 몸무게는 키로가 좀 넘는데 단계 로 선택해보았다 단계는 한팩에 총 개의 기저귀가 들어있어서우리 아이 기준으로는 한팩이면 일 정도 사용할 수 있는 양 ], 부정 텍스트 확률 : 55.96%"
"[ 단계 사용할때는 귀여운 곰돌이 그림이 그려져 있었는데], 부정 텍스트 확률 : 68.13%"
"[단계는 귀여운 호랑이와 꽃과 풀 그림이 그려져 있는 밤보네이처이런 그림들도 수용성 잉크로 제작되어서 아이들에게 미치는 화학적 영향을 최소화 하고 있는 밤보기저귀 이다], 부정 텍스트 확률 : 67.98%"
"[ 밤보네이처 기저귀는 겹의 흡수층 시트를 사용해서흡수력이 좋은 것 뿐만 아니라 빠른 건조와 통기성이 좋아 보송보송한 아이 엉덩이를 지켜줄 수 있는 구조로 되어 있다 ], 부정 텍스트 확률 : 60.55%"
"[ 뿐만 아니라 장시간 착용했을 경우에도 뭉침이 없어서 밤기저귀로 사용하기도 좋아서 밤 기저귀추천 해도 무리 없는 기저귀라는 사실 ], 부정 텍스트 확률 : 83.73%"
"[ 그리고 허벅지 밴드가 엄청 부드럽게 잘 늘어나서 아이 허벅지에 자극이 없을 것 같더라그리고 허리부분에는 허리 뒷부분은 플랫하게 편편한 구조로 되어 있고], 부정 텍스트 확률 : 88.74%"
"[ 허리 옆부분 밴드로 사이즈 조절을 하게 되어 있는데나는 이부분이 특히 마음에 들더라는아이가 아무리 걸어다니고 하더라도 하루에 누워있는 시간도 참 많은데], 부정 텍스트 확률 : 70.94%"
"[ 밤보네이처 착용한 모습❤️아직 단계가 좀 큰가 싶지만 허벅지 부분이나 이런데 조이지 않고 샘도 없이 잘 맞아서 괜찮은 듯 싶다 ], 부정 텍스트 확률 : 52.19%"
"[ 기저귀가 빵빵하게 부풀어 올랐을 때도 기저귀 쳐짐 없고 알갱이 뭉침 없이 잘 유지되는 모습을 보면서 만족스러웠고], 부정 텍스트 확률 : 66.56%"
"[ 그리고 궁금했었던 밤보드림 기저귀 밤보드림 에는 더마테스트 인증 표시 대신에 아스마 알러지 블루라벨 이 표시되어 있었는데], 부정 텍스트 확률 : 65.76%"
"[피부 자극을 유발하는 위험 성분을 포함하지 않는 제품에만 부여되는 덴마크 인증서라고 한다], 부정 텍스트 확률 : 78.90%"
"[ 밤보드림도 마찬가지로 총 단계로 제품이 나오고], 부정 텍스트 확률 : 84.08%"
"[개가 한팩으로 들어 있다 밤보네이처랑 밤보드림 둘 다 밴드형과 팬티형이 나오기 때문에 제품 선택의 폭은 넓은 편인듯 ], 부정 텍스트 확률 : 57.07%"
"[이 소변 알림줄도 화학제품을 사용한것이 아니라꿀 성분을 사용해서 소변 알림줄을 제작했다고 한다역시 친환경기저귀 답게 이런 소변 알림줄도 자연유래성분으로 제작하다니 신기하다], 부정 텍스트 확률 : 99.12%"
"[ 밤보드림이 네이처와 다른 점은 또 기저귀 겉면이 네이처에 비해서 조금 더 부드럽다는 점이다그래서 아이가 걸을 때에도 허벅지 쪽이 쓸리는 일이 없도록 더욱 부드럽게 제작이 되었고], 부정 텍스트 확률 : 84.95%"
"[.... ], 부정 텍스트 확률 : 70.23%"
"[ 바로 뜯어본 단계의 밤보네이처는 이렇게 생겼어요. 앞뒤에 모습입니다. 곰이 앞을보고 있는게 앞이고 뒷통수 보이는게 뒤겠죠? ㅋㅋ 센스있게 앞뒤 헷깔리지 않게 만들었더라구요. 가끔 타 업체 기저귀는 뒷부분이 어딘지 확인해야하는데 밤보네이처는 그럴필요가 없어서 좋았어요.], 부정 텍스트 확률 : 68.21%"
"[ 또한 흡수후 신속하게 팽창하여 탄성이 증가되고 재질까지 부드러워진데요 또 저온 산소 표백 기술로 생산해서 최대한 섬유성분을 유지시키며 호학물질은 남지 않게 한다는데요 저온 산소 표백으로 . 잔여물을 제거 한다고해요 그걸 아는지 우리 다낭이 기저귀 잡고 있네요.], 부정 텍스트 확률 : 84.17%"
"[진짜 습하거나 불편하진 않는거 같더라구요.], 부정 텍스트 확률 : 83.07%"
"[ 밤보네이처는 덴마크의 아베나라는 회사에서 만든 기저귀라고 해요.년대부터 덴마크 정부와 함께덴마크의 아이들에게 친환경 기저귀를 공급하기 위해 독점계약을 하고년간 자연 유래 성분의 안전한 친환경 기저귀를 만들어내고 있다고 하더라고요.그리고 표백제], 부정 텍스트 확률 : 78.44%"
"[화학세제], 부정 텍스트 확률 : 53.29%"
"[방부제], 부정 텍스트 확률 : 53.29%"
"[형광증백제가 하나도 들어있지 않답니다. ], 부정 텍스트 확률 : 73.91%"
"[회원국 공통 친환경 인증인플라워 에코 라벨 ], 부정 텍스트 확률 : 67.43%"
"[ 윗면에는 이렇게 절취선이 있어서 양엽으로 잡아당기면 쉽게 오픈이 가능해요. ], 부정 텍스트 확률 : 61.86%"
"[ 이렇게 귀여운 북유럽 감성의 캐릭터가 쏘옥 박혀있더라고요.그리고 더 좋은 점은 그림들에 사용된 모든 잉크는중금속이 배제된 수용성 잉크를 사용했다고 해요.역시 아이들의 건강을 생각하는 밤보네이처네요. ], 부정 텍스트 확률 : 53.06%"
"[다시 새어 나오지 않도록 막아주어서형태 변형도 없고 얇고 뭉치지 않는다고 해요.그래서 사용해보니 여름 기저귀로도 손색이 없고쓰레기 배출에도 덜 부담이 되더라고요. ], 부정 텍스트 확률 : 98.49%"
"[ 피부 테스트로도 인증을 받았는데요.천식 및 알레르기 협회인 덴마크 아스마 알레르기협회에서아스마 알러지 블루라벨 ], 부정 텍스트 확률 : 89.11%"
"[ 독일 더마테스트에서독일 피부 자극 테스트 도 완료했다고 해요.알레르기나], 부정 텍스트 확률 : 58.07%"
"[ 그리고 다리 쪽은 넓은 이중샘방지구조로 다리도 잘 감싸주고 샐걱정이 없어서 좋더라고요.사진처럼 적당한 탄성도 있어서 불편함이 없어 보였답니다. ], 부정 텍스트 확률 : 91.77%"
"[ 어쩐지 발진이 좋아지는 걸 느꼈는데 이런 흡수력과 입체 통기 시스템 때문인가 봐요. ], 부정 텍스트 확률 : 72.30%"
"[ 또한 저온 산소 표백 기술로 생산을 하기 때문에부드러운 무자극의 염기성 산소 표백으로 최대한 섬유를 유지시키며.의 화학 잔여물을 남기지 않아서 피부를 보호한다고 해요.아빠를 닮아서 피부가 예민한 우리 꾸란이에게도 딱 맞는 기저귀 같아요그리고 정말 예민한 피부를 가진 신생아 기저귀로도 추천합니다.환경까지 생각한 건강한 친환경 기저귀밤보네이처에 반해버렸답니다 ], 부정 텍스트 확률 : 91.22%"
"[밤보네이처 밤보드림 아기기저귀 드림이벤트 ], 부정 텍스트 확률 : 53.29%"
"[ 안녕하세요 좌충우돌서은맘입니다제가 밤보네이처 서포터즈로써 밤보네이처와 밤보드림 기저귀에 대한 체험 기회를 이웃님들께 제공 하기 위해 밤보맘 서은맘이 소소한 이웃 이벤트를 열게 되었습니다밤보네이처랑 밤보드림 기저귀는 체험의 기회가 생각보다 많지 않아서 다들 궁금 해 하시는 분들이 많더라구요그래서 제가 이렇게 개인적으로 이벤트를 엽니다지원 해 주신 분들의 의견을 반영하여 단계와 단계 기저귀를 추가로 체험 할 수 있는 기회를 제공 하오니 모집 사항 확인 하시고 단계와 단계 기저귀 사용 가능하시다면 아래 지원 바랍니다], 부정 텍스트 확률 : 55.35%"
"[ 이벤트 기간월 일금일화모집 인원총 명밤보드림 밴드형 기저귀 단계 명단계 명밤보네이처 밴드형 기저귀단계 명밤보네이처 팬티형 기저귀단계 명당첨자 발표월 일수신청 방법. 전체공개 스크랩주소 댓글. 이웃 소환 명 이상. 이웃추가 및 인스타그램 팔로우 ], 부정 텍스트 확률 : 93.26%"
"[ . 원하는 상품 작성 ], 부정 텍스트 확률 : 62.92%"
"[ 참고로 택배비는 서은맘이 쏩니다진정한 무상제공 이벤트입니다그 대신제품에 대한 사용 후기는 블로그 회 포스팅을 부탁 드릴게요당첨되신 분들에게 후기에 대한 자세한 설명은 추후 댓글로 안내 해 드리도록 하겠습니다 ], 부정 텍스트 확률 : 58.37%"
"[향을 내기 위한 화합물 배제], 부정 텍스트 확률 : 68.65%"
"[위험성 높은 화학물질 사용금지], 부정 텍스트 확률 : 51.43%"
"[피부 테스트 완료], 부정 텍스트 확률 : 53.29%"
"[지속가능한 원료를 통해 생산 등이 있습니다. ], 부정 텍스트 확률 : 60.72%"
"[향을 내기 위한 화합물 배제], 부정 텍스트 확률 : 68.65%"
"[위험성 높은 화학물질 사용금지], 부정 텍스트 확률 : 51.43%"
"[피부 테스트 완료], 부정 텍스트 확률 : 53.29%"
"[지속가능한 원료를 통해 생산 등이 있습니다. ], 부정 텍스트 확률 : 60.72%"
"[ 북유럽 스칸디맘들의 똑똑한 선택], 부정 텍스트 확률 : 71.31%"
"[모든 잉크는 중금속이 배제된 수용성 잉크로 만들어졌어요. 단계 밴드형에는 귀여운 곰돌이 그림이 그려져 있답니다. ], 부정 텍스트 확률 : 61.25%"
"[ 미국에서 가장 신뢰받는 유아용품 검증기관 에서 영유아용 기저귀 종합테스트 위라는 결과를 얻었다고 하더라구요. 흡수도], 부정 텍스트 확률 : 68.79%"
"[편안함 항목은 최우수 판정까지 받았답니다.밤보네이처만의 독자적인 기술력 이번에 경험 해 보세요 그럼 지금부터 이벤트 시작 합니다 ], 부정 텍스트 확률 : 62.08%"
"[ 개월쯤 되니깐...다 소용없음자다가 계속 일어남그래서 저는.?기저귀추천기저귀추천 받을때 딱 가지만 생각함 ], 부정 텍스트 확률 : 68.62%"
"[ 무거우면 아기가 일어서기앉기를 반복하면서 힘들어하고], 부정 텍스트 확률 : 71.81%"
"[밤에 잘때 소변을 많이 해서 갈아주고 싶어도 잠에서 깰까봐 못갈아주면 어느새 축축하게 새어있어서이건 무조건이다필수다 생각하고 넣은 가지 ], 부정 텍스트 확률 : 87.60%"
"[.?밤보네이처기저귀밤보네이처기저귀 는 단계단계까지 있는데지금 에 육박하는 도영이는 단계로 선택단계는까지 아주 넉넉하게 사용가능하다는 점이렇게 몸무게가 큰 아이까지 가능하다니..이런 기저귀는 처음봤음쭉쭉 늘어나는 밴드가 편해서 그런건가..?하는 생각을 사용하면서 떠올려봄 ], 부정 텍스트 확률 : 80.01%"
"[ 그리고 패키지에 이렇게 구멍이 나 있음이건 에어홀이라는건데 안전 조치를 위해서.?유럽기저귀유럽기저귀 에는 다 뚫여있다고 함기저귀 패키지를 뒤집어 쓸 경우에 질식위험이 있기 때문에 무조건 필수공정으로 하고 있다는 점그렇지 아기 보다가보면 순식간에 벌어지는 일들이 많은데 항상 조심해야되지만 저렇게 되어있다면 조금은 안심될듯세심함에..감동 ], 부정 텍스트 확률 : 82.32%"
"[ . 기저귀 샌다고요? 전혀], 부정 텍스트 확률 : 92.52%"
"[최대 흡수력을허용하는 더 얇은 기저귀 디자인을 만들었다는.?밤보네이처밤보네이처 역시 배우신 분 ], 부정 텍스트 확률 : 60.52%"
"[ 그리고.?엑서쏘서엑서쏘서 에 해놓고 나는 집안일을 많이 하는데체크를 계속 못하다가 혹시나? 하고 확인했는데 응가쉬야를 했을경우 많이 늦진 않았지만 조금 오랜시간 방치하면 기저귀가 딱 달라붙어서 그런지...항문?쪽에 조금 빨개진 것이 보인다..엄마 마음 맴찢..근데 요거는 조금 있어도 흡수성이 뛰어난 층 구조로 되어 있어서 발진의 가능성도 줄였다는 똑똑한.?기저귀기저귀 되신다는 말씀 ], 부정 텍스트 확률 : 97.91%"
"[ . 여러번에도 끄덕없는 가벼움잘 통하는 기저귀 ], 부정 텍스트 확률 : 59.62%"
"[.?베이비카페베이비카페 를 가서 왕창 챙겨갔던.?기저귀기저귀 왜냐면 놀다가 또 찝찝하면 찡찡거릴 수 있기때문에ㅋㅋㅋㅋㅋㅋㅋ 왕창 가져감...ㅎ 근데 웬걸??한 시간 동안 별로 사용하지 않음.심지어 맘마 번에딸국질 번 했는데..오? 하고 안했을리가 없는.?기저귀기저귀 를 한번 확인해봄 근데...왕창했네?ㅋㅋㅋㅋㅋㅋㅋ 그런데도 찡찡하지 않고 있었다.비로소 아.?밤보네이처기저귀밤보네이처기저귀 가 굉장히 좋구나했다. 아니국민육아템 에 다들 넣어주세요 ], 부정 텍스트 확률 : 55.17%"
"[ . 이렇게나 흡수가 잘 된다고? ], 부정 텍스트 확률 : 59.59%"
"[ 사진으로 오해 마시길ㅋㅋㅋㅋㅋ 오렌지 주스를 의도치 않게? 물이랑 조금 섞었더니 아니???색깔이 왜저랰ㅋㅋㅋㅋㅋㅋ의도했네 의도했어그래서 어쩌면 더 사실적인.?흡수력테스트흡수력테스트 ], 부정 텍스트 확률 : 84.91%"
"[ 탁월한 흡수력과 빠른 건조시스템이라고 했던가...진짜 장난없다ㅋㅋㅋㅋㅋㅋㅋㅋ 다 흡수해버림 실험하다가 깜짝놀람 에이 설마 이거 다 흡수하겠어 준비하고 가득 담은 연한 오렌지주스 다 부었더니..와우 ], 부정 텍스트 확률 : 91.09%"
"[ 그리고 흡수가 다 되고 나서], 부정 텍스트 확률 : 53.12%"
"[한번 기저귀를 내부에 만져봤더니 하나도 안 축축하고오히려 물침대 표면 같은 느낌이 들었다. 아 이래서 아이가 불편함을 느끼지 않겠구나갑자기 공감을 하게 되었다. 가볍고 얇으면서 부드럽게 표면이 되어있어서 그런지 스쳐도 전혀.?기저귀발진기저귀발진 이나 오래 있어도 걱정이 없을것만 같았다.테스트 하고 신뢰도 더더더더 상승 ], 부정 텍스트 확률 : 84.68%"
"[ 그리고 한번 털어봤더니 새지도 않고], 부정 텍스트 확률 : 56.03%"
"[ 다른 기저귀에 비해서 많이 무겁지도 않아서 축 쳐짐이 없다 어머 신기해랏이것 때문에 내가.?밤기저귀밤기저귀 로 선택한 가장 큰 이유이다축 쳐져서 아이가 몸부림을 칠때 새고 또 새고...윽 생각만해도 축축해지는 기분근데 요거는 새는것도 없어서 정맬 좋군 ], 부정 텍스트 확률 : 79.83%"
"[ . 정말 안전한가요? ], 부정 텍스트 확률 : 70.71%"
"[ 아기 엉덩이에 가끔 묻어있는 알갱이뭔가 했더니? 고분자 흡수체라 불리는 라고 한다.아???하면서 또 심각해졌더니 요건 바로 인체에 무해한 안전한 원료라서 안심해도 된단다.휴 기저귀 흡수체의 안전성은 이미 입증이 되어있어서 괜찮으니 걱정을 하덜덜덜마룜 .?친환경기저귀친환경기저귀 답게 친환경무자극 환경보호 유기농 기저귀라서 자연도 생각하는 착한 기저귀아무래도 하루에도 몇번씩이나 가는 기저귀때문에 도대체 저건 어떻게 처리될까 나름 걱정은 했었는데원료 선택부터 폐기에 이르기까지 다 신경을 써서 관리를 한다니 정말 그 마인드를 칭찬하고널리 알리고 싶은 마음이 생겼다. 자연까지 생각한 마음 칭찬해...ㅎ], 부정 텍스트 확률 : 95.89%"
"[신생아기저귀 우리아기가 쓰니까 밤보네이처 ], 부정 텍스트 확률 : 51.41%"
"[ ..좌충우돌서은맘 이벤트에 당첨되어서그토록 궁금했던 덴마크 친환경 제품인 .?밤보기저귀밤보기저귀 를 사용해보게 되었어요감사합니다글뤽의 딸램 도담이가 직접 사용해본만큼진솔한 후기를 작성해보려해요정말 궁금했거든요도담이는 기.저.귀.유목민에다가딱히 거르는것도 없어서아무거나 사용했었는데 밤보를 사용해보니왜 이걸 찾아서 착용하는지 알게되었어요차원이 달라요 ], 부정 텍스트 확률 : 88.47%"
