"[.우리❤ ], 긍정 텍스트 확률 : 62.63%"
"[ ..절취선으로 뜯어야지 다른 곳으로 뜯으면 손가락 노래져요 .오픈했을 때 느낌점 두가지는... 안부드럽네???.. 진짜 얇다.. 파우더향 너무 좋은데?..친환경 기저귀는 다소 꺼끌꺼끌한 재질이 있긴한데], 긍정 텍스트 확률 : 93.56%"
"[팸퍼스 베이비드라이가 워낙 부들부들 해서 스와들러도 보드라울 꺼라고 상각했는데 생각보다 너무 뻣뻣해서 놀랐다. ㅠ..업그레이드가 제품 단계에서만 적용이 되어서 그런걸까? . ], 긍정 텍스트 확률 : 50.72%"
"[ ..지금까지 써본 기저귀 중 가장 얇은 것 같다. .친정엄마께서 한샘에서 저 정리 트레이를 많이 사주셨는데], 긍정 텍스트 확률 : 73.94%"
"[냉장고에 수납도 정리하고 기저귀정리함으로도 활용중이다. 워낙 얇아서 여러장이 들어가진다 ..신생아때는 세제뿐 아니라 기저귀도 무향을 고집했다..향이 좋아요 라는 기준은 순전히 어른의 입장이다..그런데 요즘에는], 긍정 텍스트 확률 : 52.05%"
"[만약 미리 긁힌 후 기저귀를 채웠다면 채울 때 못 볼리는 절대 없지만 기저귀에 피가 저리 묻어나오지 않았을꺼라 생각한다..냉정하게 당장 방으로 달려가 베이비드라이 기저귀를 들고와서 비교해봤다. . ], 긍정 텍스트 확률 : 66.99%"
"[ .뒤에 손가락이 잘 비치는 얇은 베이비드라이와 달리.뒤에 손가락 살색이 거의 비치지 않는 스와들러..허벅지 밴드 부분을 비비는 소리를 비교해보면], 긍정 텍스트 확률 : 65.40%"
"[ .베이비드라이는 마찰 소리가 크지 않는 반면.스와들러는 소리가 거칠다. 재질이 거치니까...사진은 찍어뒀지만 아기 소중이를 피해 찍기가 어려워 업로드는 안한다만], 긍정 텍스트 확률 : 50.31%"
"[너무 화가났었다...여태 종이에 베일까봐 책읽어 주고 보관할때도 아가 손에 안닿게 조심조심 하며 주의를 기울였는데], 긍정 텍스트 확률 : 72.66%"
"[ .책도 아닌 아기가 입는 기저귀에 긁혀 피가나다니 ...ㅠㅠ..팸퍼스베이비드라이는 굳], 긍정 텍스트 확률 : 72.03%"
"[팸퍼스 기저귀의 최고 장점 같다.. .?밤기저귀밤기저귀 로 저명한 팸퍼스의 명성을 보여주듯], 긍정 텍스트 확률 : 85.96%"
"[ .스와들러도 베이비드라이도 밤잠 중간에 새면 어쩌지? 푹 자고 다음날 아침에 갈아주면 된다...직접 구매한 상품이던], 긍정 텍스트 확률 : 62.19%"
"[선물받은 제품이던], 긍정 텍스트 확률 : 50.43%"
"[그리고 그 경험을 바탕으로 솔직한 느낌점과 발견한 장단점 및 활용팁 등의 후기를 공유하는게 중요하다고 생각한다...개인적으로는], 긍정 텍스트 확률 : 59.58%"
"[팸퍼스는 베이비드라이가 우리아기와 잘 맞는 것 같아 추천한다...로부터 팸퍼스 스와들러를 제공받아 사용 후 작성한 솔직한 후기입니다.. ], 긍정 텍스트 확률 : 54.39%"
"[산부인과 후기 등 다양한 후기 이벤트와까페 내 꼬리잡기 이벤트도 진행하니까페 활동 좋아하시는 분들은 어서 고고전 이번에 산부인과 후기 이벤트 참여하고결과 기다리고 있어요 두근두근ㅇ ], 긍정 텍스트 확률 : 83.42%"
"[ 그리고 도어안전락단태아라면 아기옷 세트 하나 마련하고 가는 거에요심지어 디자인도 귀여움❤️❤️❤️ ], 긍정 텍스트 확률 : 91.67%"
"[ 위드베베 배냇저고리부터 꺼내봤어요핑크핑크한 배냇저고리는 첨이에요두 뽀뽀 중에 누가 어울려서 입게 되려나우리 아가들 오가닉 배냇저고리는 세트로 개씩 선물 받은 게 있어 병원], 긍정 텍스트 확률 : 89.79%"
"[조리원에서 퇴소할 때 각각 입힐 생각이고], 긍정 텍스트 확률 : 72.34%"
"[ 벌쯤된답니다산모교실이랑 이벤트로 받은 거두 합해서요 ㅎㅎ더 구매 안 해도 되게 풍족해서 좋아요❤저는 둥이라 마음의 부담이 좀 있어열심히 신청하고 받았는데단태아 임산부이신 분들은 저보다 더 쉽게배냇저고리 모으실 수 있을 거에요얼른 무료임신축하선물 보실 때마다 신청하기 ], 긍정 텍스트 확률 : 98.39%"
"[ 넘 작아서 볼 때마다 심쿵하는 아기양말와이즈콜린 아기양말인데요미끄럼방지 처리 되어 있는 게 맘에 드네요내일 엄마랑 세탁해놔야지 ], 긍정 텍스트 확률 : 96.23%"
"[ ..퍼펙션의 아기지퍼백 ..요기도 모르는 브랜드인데 이렇게 알게 되네요.무료임신축하선물의 좋은 점이라는.다양한 브랜드를 접할 수가 있어요 ㅎㅎ.. ], 긍정 텍스트 확률 : 72.33%"
"[ ...마이비오가닉 순면 구강티슈..아기 구강티슈는 특히 신경쓰이는데.오가닉이라니 바로 출산가방에 넣었답니다.신생아 땐 오가닉이죠.스팀먈균처리되어 우리 뽀뽀들 입 안 닦아줄 때.마음이 놓일 것 같아요... ], 긍정 텍스트 확률 : 90.49%"
"[ ..오가닉베이비 휴대용물티슈 ..저 물티슈 진짜 많지만요 ㅋㅋㅋㅋ.물티슈는 받으면 또 좋은 것 같아요.특히 오가닉이라니까 또 좋아서.출산가방으로 슉❤️... ], 긍정 텍스트 확률 : 77.12%"
"[ ..애니멀 도어안전락..귀여워 ㅋㅋㅋㅋㅋㅋㅋ.제껀 곰 모양이에요.애기 조금 크면 사용해보고 효과 좋으면.추가구입해서 여기저기 설치해둬야지. ], 긍정 텍스트 확률 : 98.69%"
"[ ..러비아 팬티형 신생아 기저귀 ..와 이렇다니까요.저 그동안 받은 기저귀 샘플 진짜 많은데.첨 보는 브랜드가 똬악.러비아 기저귀는 좀 찾아보니.얇고 소변줄이 있어 사용이 편하다는 후기가 보여요..이제 이 많은 기저귀 샘플들 사이즈별 분류해뒀으니.뽀뽀들 태어나면 하나씩 입혀보면서.잘 맞는 거 찾아주는 게 엄마의 할 일 이겠죠.. ], 긍정 텍스트 확률 : 75.47%"
"[ ...피셔프라이스 향균면봉은 무려 나 되어 .이거 굳이 사야하나 싶었는데.잇츠마미에서 온 거로 사용해보면서.추가 구매 여부를 선택하면 될 것 같아요 ㅎㅎ... ], 긍정 텍스트 확률 : 96.53%"
"[ 저는 두아이들을 키우는 육아맘이다 보니 먼저 눈에 들어오는게 유아옷들이였어요 날이 갑자기 더워져서 아이들 유아내복과 옷들이 짧아지기 시작했죠.여름속싸개들이 가격이 너무 좋지요. ], 긍정 텍스트 확률 : 76.79%"
"[ 더미누아이숲 부스는 귀여운 여름옷들이 너무 많아요저 귀여운 수박상하복 사고 싶어서 몇번이나 만져봤는지 몰라요두아이들 같이 입히기 완전 딱인데 말이죠. ], 긍정 텍스트 확률 : 99.50%"
"[ 이번 미세먼지때문에 아이들 마스크 많이 쓰고 다니는데요즘에 점점 일회용 외에 충전식의 마스크가많이 나오고 있어요장단점이 있겠지요제가 미세먼지 강의를 하기때문에 눈여겨 보았어요아이들이 답답해 할꺼 같다는 생각도 들었구요], 긍정 텍스트 확률 : 55.86%"
"[ 키즈맘카페에서 장대원유산균을 많이 보았는데 직접 만나보진 못했거든요서울베이비페어에서는 장대원 전제품을 할인중이랍니다.샘플도 받아보고 집에와서 아이들에게 먹여봤는데 아이가 너무 맛있데요 또주라고 하더라구요한번 가격 알아봐야겠어요. ], 긍정 텍스트 확률 : 88.89%"
"[ 서울베이비페어세텍베이비페어에서 핫한부스인 삼성카드 베이비스토리앱설치하고 인증하면 귀여운 고래파우치와 레인보우우산을 받을 수 있지요. ], 긍정 텍스트 확률 : 66.94%"
"[ 서울베이비페어키즈맘베이비페어 다양한 부스를 구경했는데요편백나무 원목 치발기원목치발기 너무이쁘더라구요 팔찌 목걸이 같은 느낌? ], 긍정 텍스트 확률 : 70.76%"
"[ 서울베이비페어세텍베이비페어루솔 이유식 아이간식은 이곳에서 박람회 혜택으로 이유식 가격이 너무 착하지요 ], 긍정 텍스트 확률 : 60.55%"
"[ 이번 서울베이비페어세텍베이비페어에는 아이들 여름옷들을 많이 볼 수 있어서 참 좋았어요여름나시세트 상하세트 강추강추임산부 내복및 속옷등도 빠질 수 없지요. ], 긍정 텍스트 확률 : 84.58%"
"[ 서울베이비페어 오면 꼭 구매하는 유아양말 요거 너무귀엽고 짱짱해요 여름에는 발목짧은걸 초이스 하게 되지요. ], 긍정 텍스트 확률 : 89.46%"
"[ 두아이들이 이제 살과 살이 되어서 관심 많이 가져지는 웨건과 유모차 그리고 카시트쥬니어 카시트 고민고민하는중이예요아이가 더 편하게 차를 타고 다니려면 연령에 맞추어 바꾸어줘야하는데 가격도 좀 알아보았지요. ], 긍정 텍스트 확률 : 85.67%"
"[ 제가 좋아하는 아이들도 좋아하는 옥스포드 물티슈옥스포드 물티슈 외에 숟가락과 도시락세트도 완전 인기예요놀러갈때 꼭 들고 다니는 아이템이랍니다. ], 긍정 텍스트 확률 : 95.94%"
"[ 서울베이비페어 두관에 카페와 간단하게 먹을 수 있는 음식들이 판매되고 있어요핫도그도 완전 끌렸는데 저는 밥으로 초이스 했어요. ], 긍정 텍스트 확률 : 77.20%"
"[ 서울베이비페어이번에는 돌잔치 관련 부스도 준비되어있더라구요돌잔치의 돌상을 그대로 재현해 두었는데요 너무 이쁘고 깔끔하더라구요출산 후 돌잔치를 앞둔 동생과 함께 상담도 받아보았지요. ], 긍정 텍스트 확률 : 91.81%"
"[ 서울베이비페어주말에 아이들과 꼭 와야하는 이유바로 에어바운스 때문이지요아이들과 박람회가면 아이들이 지치고 힘들죠 이럴때 아이들 신나게 놀 수 있게 준비된 에어바운스 엄마가 놀고 싶다아 ], 긍정 텍스트 확률 : 69.41%"
"[ 이번 스마트베어 책들도 눈에 많이 띄였지요종이접기 책 커다란 상어랑 공룡을 만들수 있는데 완전신기하고 재밌어 보이죠??아이들한테 한개씩 선물하기 딱이예요 ], 긍정 텍스트 확률 : 92.91%"
"[ 우와아쿠아리움플레이아쿠아리움 부천 티켓이 만원연간회원권도 대박 저렴하게 판매되고 있답니다.아쿠아리움에 동물들을 직접 보고 만져볼 수 있는데 같이간 언니는 뱀을 목에 거는데 저는 무서워서 벌벌 ㅎㅎㅎ ], 긍정 텍스트 확률 : 85.96%"
"[ 이번에는 미아방지목걸이 다양한 캐릭터의 소품등 어린아이들을 위한럭키백들도 판매되고 있었어요 엄마와 아이가 같이 입으면 너무 이쁠 플리츠 원피스딸 둔 엄마들은 좋겠다 증말. ], 긍정 텍스트 확률 : 96.53%"
"[ 핀덴부스와요즘영어는 바다나무가핫한데 다양한 상담과 책을 미리 볼 수 있는 부스넓게 운영되고 있어서 참 좋았어요. ], 긍정 텍스트 확률 : 78.38%"
"[ 이번에 서울베이비페어에서 에이메르네이처 기저귀는 팩에 원 완전 좋았지요기저귀샘플팩 받아서 사용해 보면 좋겠더라구요. ], 긍정 텍스트 확률 : 75.37%"
"[ 같이 간 동생과 언니와 함께쇼핑을 이만큼이제 아이들이 기다려서 어린이집으로 고고고고. ], 긍정 텍스트 확률 : 93.40%"
"[ 오늘 날이 좋아서 동생과 언니 만나기위해서 서울베이비페어를 다녀왔어요서울베이비페어는 월 일 목요일부터 일요일까지 학여울역 세텍에서 열린답니다.서울베이비페어에서 무냐무냐부스에 들렸는데 대박아이템 만원 럭키박스 대박이건 꼭 사야해.날이 더워졌지요부스안에 시원한 에어컨 빵빵여름이라서 산뜻하고 시원한 느낌의 소재와 컬러들로 구성되어있지요언니가 미리 알아둬서 이부스는 꼭 가야한다고ㅋㅋㅋㅋ무냐무냐에서 아이들 속옷도 런닝 유아내복 상하복등 다양하더라구요. ], 긍정 텍스트 확률 : 72.16%"
"[ 아이들이랑 외출할때 들고 다니기 편한 타요 우리아이홈삼개 룰루 들고고고고고유아섬유유연제 아이들 옷을 산뜻하게 만들어주는 녀석순한 제품 오랫동안 사용하고 있는중인데 좋네요.앙블랑물티슈 블랙앙블랑물티슈는 괜히 고급져보이죠.젖병솔실리콘으로 되어있는데 저희아이들은 이제 빨대컵이나 양치컵 세척할때 필요하지요 좋았으암모니아 소변 전문제거제엄청 묵직한 이녀석은 루틴 클리너로 스프레이형태로 되어있어요아이들 땀냄새나 소변냄새 쾌쾌 할때 있지요향도 산뜻하고 냄새도 훨씬 줄어든다고 해요 이거 엄청 기대됩니다요...우와 이거 치약이랑 프로폴리스 아이들껀데 프로폴리스 비싼데 럭키백에 쏘옥 들어있어서 넘나 좋네요. ], 긍정 텍스트 확률 : 76.93%"
"[ 힘든 엄마아빠들을 위해서 뽑는 이벤트 맛있는 간식 콘푸라이트 골든그래놀라집으로 돌아오는길 하나 냠냠냠 맛좋아요.서울베이비페어 럭키백을 찾아라만원 기부하고 그이상의 해택을 느껴보셔요.서울베이비페어내일까지 세텍에서 열려요아이들과 나들이로 어떠세요? ], 긍정 텍스트 확률 : 72.73%"
"[안녕하세요 진짜 간만에 포스팅을 하는것 같습니다 ㅠㅠ 요즘 넘나 게을러졌네요 ㅠㅜㅠ지난주에 오픈한 흥덕에 위치한 영통키즈카페 새로생겼다고해서 냉큼 다녀왔는데요 후기가 별로 없어 긴가민가 했지만 역시 저의 촉은 ㅎㅎ 아주 대만족스럽게 잘 놀다 왔어요 아이도 엄마도 편하고 즐거웠던 영통키즈카페 허니펀키즈파크입니다], 긍정 텍스트 확률 : 99.98%"
"[ 자ㅡ 입장 해보겠습니다 ㅎㅎ 날이 따뜻하고 좋으면 옥상과 정원이 있어 바깥놀이하기에도 정말 좋을텐데 요날은 첫날이고 안에도 놀거리가 충분했기에 실내에서 즐기고 왔답니다], 긍정 텍스트 확률 : 99.88%"
"[ 영통키즈카페 허니펀키즈파크 가격입니다 역시 오픈이벤트 할인된 가격으로 기본시간 어린이 개월부터 세까지 ], 긍정 텍스트 확률 : 71.65%"
"[ 아 그리고 주차는 시간 분 무료인데요 나가실때 차량번호 말씀드리면 될것 같아요], 긍정 텍스트 확률 : 54.06%"
"[ 그리고 영통브런치카페인듯 파스타를 비롯한 돈까스와 샐러드볼 감자튀김 떡볶이 등 다양한 메뉴와 다양한 커피종류 쥬스까지 판매되고 있네요 전 평일 방문하여 브런치세트 메뉴로 맛보았는데 음식에 대해서는 마지막에 쓰도록 하겠습니당], 긍정 텍스트 확률 : 96.23%"
"[ 개월부터 세까지 이용 가능한 영통키즈카페인데요 사실 이곳의 전반적인 분위기는 아기자기한 소꿉놀이보다는 활동적으로 뛰어놀수 있는 그런 공간들이 많아서 저희 아이 세가놀기에 정말 좋았던 곳이었던것 같아요 유치원생들에게는 너무나 신나는 키즈카페 아이들을 위한 이곳은 전체 면적이 소방안전필], 긍정 텍스트 확률 : 99.33%"
"[유해성검사완료된 국내 유일매장이에요 짱이죠??놀이공간이 있는곳으로 들어가면 어디 하나 부딪혀도 아프지 않을것 같이 안전하게 설계되고 소품하나하나 신경써서 준비되었다는 느낌을 받았어요그리고 또 한가지 좋았던점은 장난감 가지고 싸울게 없었다는거 ㅋㅋ], 긍정 텍스트 확률 : 91.93%"
"[ 놀이공간 안에서 전체적으로 쭉 훑어보았어요 ㅎㅎ ], 긍정 텍스트 확률 : 90.42%"
"[ 본격적으로 내부를 둘러보았는데요 맨 앞쪽에 위치한 꿀벌들의 바위정원멀리서 보면 더 리얼하고 신기한 자갈모양의 쿠션들이 바닥 전체에 깔려있고 그물처럼 짜여진 곳에서 그네놀이를 하는 곳이에요 첨에 동그란 구멍 보고 한창 이상한나라의앨리스에 푹 빠진 우리 조단이가 앨리스 토끼굴이라며 좋아했었어요 ㅋㅋ], 긍정 텍스트 확률 : 99.03%"
"[ 그리고 안쪽으로 위차한 방방존인데요 전 이 방방존을 보고 너무 만족했어요 많은 아이들이 오더라도 충분히 커버될만한 압도적인 크기의 방방존 옆 아이들과 방해되지 않도록 칸칸이 나뉘어진 방방을 특히나 좋아하는데 이곳 허니펀키즈파크는 완전 제 스타일이었어요 ㅋㅋㅋ], 긍정 텍스트 확률 : 98.99%"
"[ 방방존 옆쪽으로 준비된 좌석도 있구요 ㅋㅋ 보호자들이 앉아서 쉬어도 되고 아가들 뛰다 지치면 쉴수 있는 공간이기도 하겠네요], 긍정 텍스트 확률 : 76.22%"
"[ 이 동영상은 꼭 보셔야해요 매시간마다 열리는 허니파뤼타임 ㅋㅋㅋㅋㅋㅋㅋ마치 클럽을 연상케하는 인체에 무해한뿌연연기와 함께 신나는 음악이 틀어지는데요 무서워하는 아이가 있을법도 한데 제 예상과는 달리 모두가 신나는 시간이었어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 98.36%"
"[ 게임처럼 하면서 균형감각을 익히게 해주는 허니브릿지도 우리 조단이가 너무 좋아하는 공간이었어요 보시다시피 전부 폭신폭신한 쿠션과 매트재질로 다 되어있어서 보호자가 옆에 굳이 굳이 있어 손안잡아줘도 되는 곳이에요 ㅋㅋ ㅋ ], 긍정 텍스트 확률 : 98.38%"
"[ 압도적인 규모의 볼풀장이 있고 여기를 따라 대형미끄럼틀과 함께 정글짐 같은 공간도 아주 넓게 자리 잡고 있어요 정글짐과 연결된 통미끄럼틀과 대형미끄럼틀이 함께 빠지는 곳이라 그런가 진짜 볼풀장도 널널해서 넘나 좋았어요 그리고 저 안쪽으로는 짚라인까지 있는데 애미는 몰랐는데 아이들은 이미 열번도 넘게 타고 왔다고 하더라구요 ㅋㅋㅋㅋ 공간이 넓기만 한게 아니라 아주 알차게 짜여진것 같았어요], 긍정 텍스트 확률 : 82.16%"
"[ 요 대형미끄럼틀은 미끄럼틀의 기능뿐만 아니라 밟으면 아래 캐릭터들이 없어지는 신기방기한 게임이었어요 ㅋㅋ 그래서 그런가 우리 조단이와 친구들 뿐만 아니라 두돌도 채 되지 않은 예동이도 기저귀 빵꾸날때까지 타더라구요 ㅋㅋㅋㅋㅋ 졸귀탱], 긍정 텍스트 확률 : 52.04%"
"[ 그리고 네살때는 잘 타지 못한 짚라인인데 살 되니 혼자서 벌써 열번넘게 타고 온 기특한 조단이와 남사친이에요 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 95.40%"
"[ 요즘 잘나가는 키즈카페하면 다 있죠?? 아이들이 너무너무 좋아하는 모션아트에요 색칠하고 스캔하면 영상에서 내가 그린 그림이 떠다니는 신기한 체험 마음껏 뛰어놀다가 좀 지친다 싶으면 아이들이 알아서 이곳와선 얌전히 색칠하고 그러더라구요?? ㅋㅋ ㅋㅋ ], 긍정 텍스트 확률 : 95.13%"
"[ ㅋㅋ 아이들 신나게 잘 노는거 확인했으니 엄마들은 목좀 축여야겠죠?? ㅋㅋㅋ전 무조건 아메리카논데 이날은 너무 배고파서 라떼를 시켰는데 와ㅡ 진짜 진하고 깊은 커피맛에 넘나 감동 ㅋㅋ커피가 이리도 맛있는 키즈카페는 첨이여 양이 메가커피처럼 좀 더 많았으면 좋겠다는 생각도 잠시 저희는 브런치를 주문했습니다 인원이 인원인지라 브런치세트와 세트 모두 주문했는데요 돈까스와 떡볶이 샐러드와 파스타를 다 먹어보게 되었네요], 긍정 텍스트 확률 : 75.19%"
"[ 우리 조단이가 좋아하는 로제파스타도 주문했는데요 아이들이 먹기에 전혀 부담없는 맛이었어요 간편하게 즐기는 인스턴트 느낌의 다른 키즈카페와는 차원이 다른 브런치카페에 온듯한 정성스런 음식들이었답니다 게다가 저흰 브런치세트로 주문했기에 가격또한 너무 저렴했구요], 긍정 텍스트 확률 : 98.77%"
"[ 건강한 맛이라고 정의할수 있는 콥샐러드인데요 입만ㅋㅋ다이어터인 저는 넘나 맛있게 잘 먹은메뉴이었지만 다소 호불호가 있을것 같은 맛이었어용 ㅎ 아줌마들은 다소 단짠단짠을 좋아해서 말입니당 ㅋㅋ], 긍정 텍스트 확률 : 94.39%"
"[ 그리고 엄마들을 위한 메뉴 살짝 매콤했던 떡볶이에요 생으로 들어간 콩나물과 대파가 인상적이었는데 생으로 들어가서 아삭아삭 씹히는 식감이 일품이었던 특별한 떡볶이 그래서 이건 하나 더 주문했어요 ㅋㅋㅋㅋ], 긍정 텍스트 확률 : 96.32%"
"[ 아이들 식기와 어른 식기도 구분되어 준비되어있구요 맛도 맛이지만 분위기도 좋아서 아이들 없는 평일 오전 엄마들끼리 브런치하러 오기에도 손색없을만큼 괜찮았던 영통 브런치카페라고 소개시켜드리고도 싶네요 ㅋㅋ], 긍정 텍스트 확률 : 99.79%"
"[ 키즈카페 시간 놀면 재미도 없어지고 지칠법도 한데 너무너무 신나는 이곳 허니펀키즈파크에선 지칠새도 없이 너무 재밌고 알차게 무려 시간을 놀았던것 같아요 ㅋㅋ 무엇보다 지켜만 봐도 되는 엄마들이 너무 편해서 재방문의사 프로입니다 ㅋㅋ ], 긍정 텍스트 확률 : 99.98%"
"[인스타에서 보게된.?처음선물처음선물.?임신축하선물박스임신축하선물박스 매월 명 만원 상당의 선물이라니반신반의하며 신청해보았다. ], 긍정 텍스트 확률 : 75.66%"
"[ 이렇게 주시니... 조리원에서 넘나 피곤하지만 리뷰를 안 남길 수가 없지 ㅠㅠ ], 긍정 텍스트 확률 : 79.32%"
"[ 그리고 이게 대박이다.. .?저주파패드저주파패드 라니...출산하고 보니 이곳저곳 안아픈 곳이 없던데 ㅠ ㅠ이런것까지 주는 선물박스는 첨이다 조리원에서 마사지 천국이 끝나면 의지할 곳은 저주파패드뿐 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 97.59%"
"[ 겉박스 디자인부터 굉장히 특이하네요이런 모양은 첨이야ㅎㅎ ], 긍정 텍스트 확률 : 75.09%"
"[세균 등유해물질의 침투를 막고 피부내 보습을 유지해 주며 피부세포 형성을 돕는 제품입니다 ], 긍정 텍스트 확률 : 56.06%"
"[ 무스 타입 의 유아로션으로작은양으로도 넓은 부위를 균일하게바를 수 있고 사용시 발생할 수 있는 교차오염을 방지해요 ], 긍정 텍스트 확률 : 70.06%"
"[ 제형이 엄청 쫀쫀한 생크림같은 느낌이예요부드러워서 아주 연약한 신생아 피부에도자극이 없어요 유아로션이지만성인의 스킨케어에도효과적 인 제품이라 사실 대박이보다 제가 더 많이 사용하고 있다는ㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 94.95%"
"[ 깜짝 공개우리 대박이예요 ㅎ태어나자마자 찍은사진이랍니다출산후기는 다음번에 하도록 할게요 일단 대박이한테 사용해보고 싶었는데황달치료땜에 같이 퇴원을 못하고 ㅠ 그래서 저만 열심히 조리원에서 막달에 텄던 뱃살관리나 입원중 이곳저곳 주사 맞은 부위 등 피부 자극이 있었던 부위에열심히 바르고 관리 하고있답니다빨리 대박이와 함께하는 시간이 와서보들보들 예쁜 아기피부에도 발라주고 싶은추천템이예요 ♡ 구매좌표▽▼▽▼ .. ], 긍정 텍스트 확률 : 99.77%"
"[앤제이 올쇼백 가지고다니가가 ㅋㅋ이제 젖병가지고 다닐필요가 없어가지궁 이것저것넣기에 좀 불편해서 백팩 하나 구입하려고 알아보던 중에 발견한포노피노 로이첼 기저귀 가방 여행갈때나 어디다닐때 ㅋㅋㅋ좋을 것 같아요ㅋㅋㅋㅋ신랑하고 고민끝에포노피노 로이첼 기저귀가방 으로 ㅎㅎㅎㅎ 구입했어요 ㅎ ], 긍정 텍스트 확률 : 92.14%"
"[ 짠ㅎ 도착하자마자 사진먼저 찍궁 ], 긍정 텍스트 확률 : 71.03%"
"[ 옆쪽에도 보온병이나 물병 넣기 좋구여 ], 긍정 텍스트 확률 : 69.07%"
"[ 이것 저것 넣어봤어요 수납공간 최고에요 다넣어도 엄청 가볍구요 ㅎㅎㅎ물티슈 블랭킷 보온병 기저귀가방 음료수과자들ㅋㅋㅋㅋㅋ진짜 많이 들어가는거 같아요이렇게 넣고 매도 너무 가벼운포노피노 로이첼 기저귀가방 지퍼도 단단해서 쉽게 열고 닫을 수 있어요 막 딸려오거나 그러지않아서 한손으로도 충분한것 같아요 ㅎㅎㅎ], 긍정 텍스트 확률 : 99.99%"
"[ 아빠 가게 놀러가서 한번 찍어봤어요 너무너무 예쁘죵 ㅋㅋㅋ진짜 맘에 들어요ㅎㅎㅎㅎ 앞으로 시하랑 여행다니거나 문센갈때 잘 쓸수 있을것같아요 ㅎㅎㅎㅎㅎㅎ 신랑도 대만족했답니당ㅋㅋㅋ 너무예쁘대요 얼렁 놀러가고싶네요 . .?문센가방추천문센가방추천기저귀가방추천 .. ], 긍정 텍스트 확률 : 99.98%"
"[ 요즘엔 이가 날 시기인지 새벽에 좀 칭얼대서 새벽시 이후엔 저희랑 같이 자요.이 정도면 선빵한듯해요.이앓이 지나가면 아기만의 독립적인 공간을 더 늘려주고], 긍정 텍스트 확률 : 58.10%"
"[ 수면도 혼자 스스로 할수있겠끔 침대에서 더 오랜시간을 가질 수 있게 할 생각입니다침대 위치는 고대로고요], 긍정 텍스트 확률 : 97.52%"
"[그리고 오른쪽이 최근모습입니다모빌이랑 인형이 대롱대롱 추가가 좀 되었네요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 94.92%"
"[ 버니인형사운드도 엄청 유용했어요.침대머리맡에 두고 새벽에 수유끝나고 눕힐때 켜주는데 잘 자더라구요.침대있으니 요런점이 넘 좋네요. ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 53.32%"
"[ 보조선반도 정말 잘쓰고있어요.이거 없었음 어쨌을까 할 정도 ㅋㅋㅋㅋㅋ진짜 효자템임 이건 추가해서 꼭 사셔야합니다 ], 긍정 텍스트 확률 : 95.55%"
"[ 제가 요즘 허리가 안좋아서.침대가 아기 옷갈아입히기], 긍정 텍스트 확률 : 74.08%"
"[ 기저귀 가는데 정말 한몫하고있어요.넘나 편하다는 ㅠㅠ일단 아기가 잘 놀아주고 잘 자니깐 넘 좋은듯해요정말 적극추천드려요 저는 ], 긍정 텍스트 확률 : 99.78%"
"[ 시간남아서 들러본청주엔씨백화점 .?청주백화점주차장청주백화점주차장 대박 난리라던데저희는 아예 유모차끌고 걸어갔어요토요일저녁 시경이였는데생각보다 넘나 한산 ], 긍정 텍스트 확률 : 90.67%"
"[.?청주엔씨백화점세일청주엔씨백화점세일 품목들은 거의아동옷이 제일저렴한듯 해요 ㅎㅎㅎ아가방 직원왈행사기간 끝나면 이렇게 싸지도않아요수면조끼 필수로 두세개는있어야한다고 하셨는데], 긍정 텍스트 확률 : 82.37%"
"[ ...저희아가 열많고 아파트살아서 안추워욤..ㅜㅜ넘 강요하심 ], 긍정 텍스트 확률 : 77.84%"
"[ 울신랑과 꾸미와 함께 올라가봅니다 ], 긍정 텍스트 확률 : 61.45%"
"[.?청주엔씨수유실청주엔씨수유실유모차주차공간 귀엽네용ㅋㅋㅋ ], 긍정 텍스트 확률 : 52.57%"
"[ 앉아서 쉴수있는 곳 ], 긍정 텍스트 확률 : 88.02%"
"[ 모유수유 혹은 분유수유할경우수유실 안락한 의자도 있고짐놓을수있는 테이블도 좋네요 ], 긍정 텍스트 확률 : 96.59%"
"[ 울남편 꾸미 기저귀 갈아주느라아래 담요깔고 사용했어요개업한지 한달도안됬는데벌써 지저분...애기 위생과 관련된것이라제가 더 예민할수 있으나기저귀가 쓰레기통에서 넘치는 모습은 차마ㅠㅠ개선되겠죠뭐..엔씨백화점에서 유아동의류 .?청주아기옷싸게파는곳청주아기옷싸게파는곳 으로 소문이 자자해요 벌써 ㅋㅋ저도 꾸미내복과 외출복을 잔뜩사와서텅장을 만들고 왔네요 ㅋㅋㅋ뭘입어도 이쁜 내새꾸고슴도치맘 .?청주애기옷저렴한곳청주애기옷저렴한곳 .?청주아기옷청주아기옷 .?청주아기옷세일청주아기옷세일엔씨백화점이 지금은 좀싸네요위치 ], 긍정 텍스트 확률 : 75.45%"
