"[인스타그램 이벤트를 통해 알게 된프랑스약국기저귀 마르마이플러스 ], 긍정 텍스트 확률 : 88.17%"
"[ 세균으로 부터 우리아기 보호필수템 방수요라고 적혀있었는데 이부자리가 축축하지 않게 방수요를 까는듯했어요.이햐 정말 아기용품들 엄청 많군요 ], 긍정 텍스트 확률 : 60.84%"
"[ 이쁜두상을 만들어주는 짱구베개도 깜찍한 디자인이 많았어요.구름베개도 자고있구 토끼짱구베개도 눈감고 자고있네요 ㅎㅎㅎ 아코 귀엽], 긍정 텍스트 확률 : 99.14%"
"[ 위생용품중에 아쿠아버브라는 소독제가 있었는데 제가 사용하는 페브리즈처럼 아기가 사용하는 모든 물건에 뿌려주는 제품이래요.첨가물이 전혀 들어있지 않아 실수로 마셔도 부작용없는 소독제라고 해요.짜리 대용량도 있었고], 긍정 텍스트 확률 : 64.88%"
"[ 만보기처럼 생겼는데 방안의 온도랑 습도를 체크하는 기계도 있었어요.체온계가 필요하다는건 익히들어 알고있었죠 온습도기는 처음 봤어요.아기손톱관리하는 용품들도 여러가지 세트로 담겨져 판매하더군요.정말 세심하게 체크해서 나와있는 아기용품들이 다양했어요. ], 긍정 텍스트 확률 : 62.13%"
"[ 베이비플러스파주점은 신생아용품만 있는게 아니라 유아들 쓰는 물건들도 많이 있었어요.식기나 칫솔], 긍정 텍스트 확률 : 80.48%"
"[ 장난감이랑 학습도구도 판매하고 있었어요.추석이 가까워오니 아이들 선물을 사는분들이 많더라구요 ], 긍정 텍스트 확률 : 70.96%"
"[ 아기식탁이랑 의자도 꼭 어른들 쓰는것처럼 견고한 제품들이 세일중이였어요.제가 슬쩍 앉아봤는데 제 엉덩이도 다 들어 가더라구요?남친이 부서진다고 일어나라고 했는데 직원분이 성인이되어서도 사용할수있다고 했어요 흥칫뿡 ], 긍정 텍스트 확률 : 71.89%"
"[ 에서 봤는데 바운서...뉴나리프바운서라고 자동으로 흔들어주는 바운서가 있었어요.저거사자고 했더니 가격이 ㅎㄷㄷ하고저희가 예산한 금액보다 오버했음 돌지나면 사용못할것 같아서 일단 구경만 했어요.매달려 있는 모빌을 보니 제가 잠깐 눈이 먼게죠 ㅋㅋ ], 긍정 텍스트 확률 : 55.55%"
"[ 브라이택스카시트 등등 브랜드가 엄청나더라구요.하지만 중요한건 이 모든 카시트를 파격세일중이라는것검색으로 얻어걸린 매장이였는데 저희가 저렴한 매장을 잘찾아왔다고 생각했어요], 긍정 텍스트 확률 : 85.53%"
"[ 끼야 유모차들 보세요 정말 장관이였어요 .저 태어나서 이렇게 많은 유모차는 진짜진짜 처음봤어요 ㅋㅋㅋ모양도 다르고 색상도 여러가지고... 유모차 사러오시는 분들은 정말 곤란하시겠어요이렇게 많은 제품을 어떻게 골라요? ], 긍정 텍스트 확률 : 70.03%"
"[ 유모차 표면에 박힌 로고를 보니 꽤나 이름있는 유모차들인듯 했어요.근데 제가 생각한 가격보다 비싸진 않더라구요왜냐면 친구가 유모차 한대가 몇백씩 나가는것도 있다고 했거든요전시된 유모차중에는 만원대밖에 안하는것도 있었어요.아마 추석행사중이라 그런듯했어요. ], 긍정 텍스트 확률 : 93.18%"
"[ 매장한쪽에 진열되어 있는 아기띠종류가 정말 많았어요.아이엔젤], 긍정 텍스트 확률 : 91.34%"
"[ 출산선물로 얼떨결에 남친이랑 유아용품매장까지 미리가보았네요 ㅋㅋ베이비플러스파주점이 우찌우찌해서 폰검색창에 떠버리는 바람에 말이죠 아직 결혼도 안한 미스인데 아기용품으로 포스팅을 하게 될줄은 몰랐어요 선물구입차 갔을때가 매장의 추석행사중이라 인터넷가랑 비교해보니 가격 차이가 엄청 많이 나더라구요혹시라도 이 매장을 모르시는분들이 계실까봐 너무 싸고 친절한 매장이 있다는걸 널리알리고파 작성해보아요], 긍정 텍스트 확률 : 85.53%"
"[내 가방이런 내 몸을 치장하는 것에 관심이 많고소비의 대부분이 이루어졌다면 결혹하고나서는 그릇], 긍정 텍스트 확률 : 62.08%"
"[인테리어이런 쪽으로 관심이 많았었어요.그런데 이제 임신하고 출산하고나서는육아용품], 긍정 텍스트 확률 : 62.52%"
"[아기용품에 제 모든 관심이 집중되어있네요. ], 긍정 텍스트 확률 : 70.75%"
"[사야될게 엄청 많아요. ], 긍정 텍스트 확률 : 70.15%"
"[ 출산용품으로 이 많은걸 샀다고 끝나는게 아니고아기들은 금방금방 크기때문에그때그때 필요한게 다 달라서성장에 따라 또 새로운 것들을 준비해야한답니다.그런데 이 많은 것들을 단골가게 없이 여기저기서 구입하려면 번거롭고 힘들고가격대도 비쌀 수 밖에 없어요. ], 긍정 텍스트 확률 : 99.23%"
"[ 저는 필요한거 있을때마다화곡 베이비플러스에 가곤하는데여기는 출산], 긍정 텍스트 확률 : 82.52%"
"[카시트도 많아서예전부터 직접 보고싶었던 다이치 원픽스 을화곡 베이비플러스에서 보고 왔어요.인터넷은 후기를 보고 구매해야하지만], 긍정 텍스트 확률 : 74.95%"
"[ 이렇게 직접 매장가서보면직접 만져보고 비교해보고 살 수 있으니실패할 확률도 없고아이 데리고가서 시승하고 핸들링해보고살 수 있어서 더 좋더라고요. ], 긍정 텍스트 확률 : 66.12%"
"[ 다이치 원픽스보러 여기 온 이유가여기가 인터넷 최저가보다 더 저렴해요.그리고 사은품도 많이 챙겨주셔서마음도 손도 풍족하게 올 수 있는 곳이고요.호선 화곡역에서 도보로 분거리에 있어서접근성도 좋은데다가근처에 산부인과], 긍정 텍스트 확률 : 99.68%"
"[조리원이 많아서많은 분들이 알아서 찾아가는 그런곳이에요. ], 긍정 텍스트 확률 : 93.19%"
"[ 신제품들이 준비되어있어서 가면 원하는게 있어요. ], 긍정 텍스트 확률 : 77.95%"
"[ 이름 그대로 도 회전되고한번 장착하면 아기 성장에 따라 다시 장착할 필요없이회전해서 앞보기], 긍정 텍스트 확률 : 97.06%"
"[ 아이의 안전을 위해서 태우는건데회전형은 편하긴한데 움직임이 있을까봐걱정이 있을 수 있잖아요.스핀 스토퍼 기능을 적용해서승], 긍정 텍스트 확률 : 78.68%"
"[측면보기시에 카시트가 움직이지않도록고정되어 더 안전하게 태울 수 있어요. ], 긍정 텍스트 확률 : 66.08%"
"[ 다이치 원픽스 은 살부터 살까지 태울 수 있어서경제적으로 오랫동안 사용할 수 있어요. ], 긍정 텍스트 확률 : 86.64%"
"[ 아기를 가장 안전하게 잡아줄 수 있는점식 벨트라 안전으로는 최고에요.프리미엄 충격흡수 완충제가 있고유기농순면 오가닉을사용해서 여러가지면에서 신경써서 만들었더라고요. ], 긍정 텍스트 확률 : 93.66%"
"[ 매장 위치가 찾아가기도 쉽고주차시설도 넓고 쾌적해서공간부족할까봐 걱정할 필요도 없고심지어 이곳은 택배로도 배송이 되는 곳이니필요한거 있으시면 알아보시고집에서 멀면 택배로 받아봐도 좋을 것 같아요 ], 긍정 텍스트 확률 : 79.34%"
"[잇님들 스리링이에요오늘은 아침부터 저녁까지 정말 바빴어요. 왜냐하면 아침에는 코엑스에서 열리는 베페 베이비페어를], 긍정 텍스트 확률 : 81.03%"
"[저녁에는 돌잔치를 다녀왔거든요 그래서 그 기억이 다 사라지기 전에 베페에 다녀왔던 이야기를 하고 자려고 이렇게 앉았어요ㅎ], 긍정 텍스트 확률 : 92.44%"
"[가다보니 규모나 참여기업이 정말 베이비페어에 따라 천차만별이더라구요. 그래서 열심히 베이비페어들을 가다가 알게 된 베페에 대한 이야기 베페라는 명칭은 주베페의 고유한 이름으로 다른 베이비페어에서는 사용할 수 없대요 일년에 번씩 코엑스에서 열리는 베페 베이비페어만이 베페라는 사실ㅁ 올해로 베페가 주년이라 그런지 월에는 처음으로 수원컨벤션센터에서 베페마켓을 진행한다고 하더라구요], 긍정 텍스트 확률 : 89.30%"
"[ 그리고 내년에는 월 일부터 일까지 베페 베이비페어가 열리니 참고하세요저는 내년엔 훌쩍 더 큰 빈우와 함께 가게 될 것 같아 벌써 기대가 됩니다 ♥ ], 긍정 텍스트 확률 : 99.80%"
"[베페가 끝나고 완전 착한 가격에 입양할수도 있어요저희는 일부러 새로운 유모차를 사용해보고 싶어서 대여를 했더니 베이비젠 요요플러스를 대여해주셔서 잘 타고 다녔네요ㅎ], 긍정 텍스트 확률 : 97.26%"
"[ 유모차 그냥 봐서는 아이가 좋아하는지], 긍정 텍스트 확률 : 58.05%"
"[끌고 다니기 편한지 모르잖아요? 이렇게 베이비페어에서 직접 새 유모차를 사용해 보고 마음에 들면 착한 가격으로 구매할수도 있어서 엄넘 좋은 것 같아요빈우가 유모차에 쏙 앉았는데 자세가 넘 편해보이죠ㅎ 그리고 정말 가볍고 깔끔한 디자인이라 휴대용유모차 보시는 분들이 왜 좋아하는지 알겠더라구요], 긍정 텍스트 확률 : 81.70%"
"[ 저는 시쯤 도착했는데 정말 많은 분들이 계시더라구요. 북적북적 베이비페어의 열기를 제대로 느낄 수 있었습니다내일은 마지막날인데다 일요일이라 더 많은 분들이 찾아오시겠죠?], 긍정 텍스트 확률 : 92.54%"
"[ 저는 홀을 먼저 보고 홀로 이동했는데], 긍정 텍스트 확률 : 66.57%"
"[가다가 마더케이 부스를 발견했어요. 간단하게 플러스친구 추가를 하고 케이맘 기저귀 샘플팩을 받아왔습니다. 저번에 사용해보니 부드럽고 귀여운게 괜찮더라구요ㅁ], 긍정 텍스트 확률 : 80.86%"
"[ 여기는 케이엔텍이라는 곳인데], 긍정 텍스트 확률 : 76.18%"
"[수압도 좋아지게 만들면서도 물줄기는 부드러운데다가 물 절약도 된다고 하니 완전 탐났어요ㅁ 빈우도 핑크퐁을 정말 좋아하거든요ㅎ ], 긍정 텍스트 확률 : 68.92%"
"[ 베이비페어를 다니다보면 아기도 배가 점점 고파집니다. 그럴 때 이유식 코너의 시식은 아기 입맛도 확인하고 배도 채울 수 있는 좋은 기회인 것 같아요. 가격도 착하게 팔기 때문에 이참에 넉넉히 사놓고 먹이면 더 좋구요ㅎ 저는 푸드케어에서 먼저 시식을 해봤어요. ], 긍정 텍스트 확률 : 58.92%"
"[ 개월수에 맞는 시식을 골라가면 되는거라 개월인 빈우에 맞춰서 진밥을 가져왔습니다. 브랜드마다 알갱이 크기나 진밥의 정도가 다르기 때문에 이렇게 먹여볼 수 있는 기회가 꼭 필요하더라구요 제가 먹어봐도 맛있고 다른 곳에 비해 알갱이 크기는 좀 큰편이라고 느껴졌어요ㅎ ], 긍정 텍스트 확률 : 93.97%"
"[ 그리고 여기는 친환경 비건 기저귀 회사인데], 긍정 텍스트 확률 : 70.45%"
"[에코 바이 네띠라는 이름이에요. 대부분 기저귀 샘플을 그냥 나눠주곤 하는데 여기는 기저귀 갈이대가 있어 바로 여기서 직접 기저귀를 사용해볼 수 있더라구요. 빈우도 기저귀를 여기서 갈아입혔는데 기저귀 재질도 괜찮고], 긍정 텍스트 확률 : 98.11%"
"[착용감도 좋은지 집에와서 새로 갈 때까지 편안하게 잘 있었어요ㅎ 다만 소변줄이 없어서 노랗게 변하는 기저귀 전체 색깔을 보고 소변을 판단해야 하더라구요. ], 긍정 텍스트 확률 : 81.67%"
"[ 유모차와 한 몸이 된 빈우입니다. 제가 정신없이 부스들을 찾아다니는 통에 주로 오빠가 유모차를 끌고 다녔어요ㅎ 돌 지나니까 부쩍 아기가 아니라 어린이 같아져서 깜짝깜짝 놀라곤 해요. 이 사진도 무척 어린이답네요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 89.07%"
"[ 빨대컵 넘 예쁘죠? 손잡이도 귀엽고], 긍정 텍스트 확률 : 97.96%"
"[ 홀을 지나 홀로 가는 길에 커피빈에 들렸습니다. 오빠가 시원한 커피를 한잔 하고싶다 해서 저는 빈우랑 자리에서 잠시 쉬었어요ㅎ ], 긍정 텍스트 확률 : 95.46%"
"[ 요 튜브 넘 귀엽죠? 아이윙크의 보행기튜브입니다. 전에 빈우 보행기튜브를 넘 사주고 싶어서 인터넷으로 알아보다가 실물을 볼 수가 없고], 긍정 텍스트 확률 : 94.73%"
"[베이비페어에서 보니까 넘 반갑더라구요. 심지어 인터넷가격보다도 더 싸게원 파는걸 보고 오빠한테 무조건 사자고 해서 업어왔어요. 돌고래 모양], 긍정 텍스트 확률 : 73.68%"
"[경찰차 모양 등등 여러가지가 있었는데 저는 요 돌고래가 젤 귀엽더라구요. 무려 까지 탈 수 있고 안에 발펌프와 차양막이 같이 들어있어 추가적인 지출이 없다는 점도 맘에 쏙 들어요ㅁ 운전대 위에 크락션이 있어 아가가 누르는 재미도 있을 것 같구요ㅎ 얼른 얼마 남지 않은 여름에 물놀이하게 해주고 싶네요 ], 긍정 텍스트 확률 : 87.10%"
"[세트가 계약금할부로 계산되지만 세자리수라서 마음의 주비가 필요하다는 거에요. ], 긍정 텍스트 확률 : 99.18%"
"[ 제가 넘 좋아하는 팸퍼스는 베페 매거진에 있는 쿠폰을 가지고 가면 선물을 주더라구요. 다만 선물로 받을 수 있는 기저귀가 이렇게 사이즈가 정해져 있어 이 넘는 빈우가 입을 수 있는게 없네요ㅠㅅㅠ 주변에 둘째 낳는다는 사람 있음 줘야겠어요ㅎ], 긍정 텍스트 확률 : 71.53%"
"[ 요건 선물로 받은 자동차 거울이에요. 아가들 카시트에 앉으면 심심해하기도 하고], 긍정 텍스트 확률 : 81.78%"
"[운전하는 사람에게는 아기 얼굴이 잘 안보이잖아요? 그럴때 이런 거울이 있음 넘 좋죠. 이제 몸무게가 되서 앞보기를 하고 다닐 수 있는데 거울 달아놓고 앞보기로 돌려서 차타고 가는 동안 심심하지 않게 해줘야겠어요ㅁ], 긍정 텍스트 확률 : 59.21%"
"[팩박스에 원이에요. ], 긍정 텍스트 확률 : 86.33%"
"[ 의 귀여운 코끼리 식기와 턱받이 세트입니다. 코끼리가 이렇게 귀여워도 되나요? 식기도 가볍고 컵에는 미끄럽방지띠가 있어서 맘에 쏙 들더라구요. 점점 이유식 말고 유아식을 먹으려하는 빈우에게 넘 잘 어울리는 것 같아요ㅁ], 긍정 텍스트 확률 : 99.67%"
"[ 마지막은 식기를 꺼내자마자 상자 속에 쏙 들어가 버린 샴푸 사진으로 채워볼게요. 임신], 긍정 텍스트 확률 : 84.80%"
"[육아를 위한 용품들이 한자리에 모여있는 코엑스 베페 베이비페어 후기였어요ㅁ 낼 방문할 수 있는 분들은 내일], 긍정 텍스트 확률 : 73.45%"
"[가 적절하게 잘 알아보시고 선택하세요.무조건 비싼게 좋은게 아니라 아기 월령이 어리면가로 맞춰야 한다고 알고 있거든요. ], 긍정 텍스트 확률 : 95.57%"
"[ 이런것처럼 꼭 큰 박람회나 행사 같은곳만좋은 물건 그리고 많은 제품들을 만날 이유는 없죠.알아만보면 내가 필요한 육아용품들이 한자리에있으면서도 저렴하게 만날 수 있는 곳이 있는데요.저에게는 청주 베이비플러스가 그런 곳이에요.이번에 인스타에서 타보 나온거 보고너무 예뻐서 구경삼아 한번 다녀왔는데요.역시나 가격이나 서비스 면에서 엄지척베이직 트랩 베이비플러스 청주점에서 보시면될 것 같아 이야기 해볼게요 ], 긍정 텍스트 확률 : 99.84%"
"[ 이 곳은 약 평 정도의 크기로돌아다니기도 쾌적하고 일목요연하게 정리가잘 되어 있기때문에 뭐든 고르기 참 좋은 매장이에요.거기에 넓은 주차장부터 시간과 날짜의 제약이없다보니 사러 오는 사람들이 분산이 되어붐비지가 않아 저같은 사람은 더욱이 찾게되는곳이더라구요.아이와 함께 시간보내러 잠깐 마실겸 가기도 편하고또 그때마다 필요한 물건들이 있을때바로 가서 구입해오기도 좋은 곳이기도 하죠. ], 긍정 텍스트 확률 : 99.90%"
"[ 무엇보다 유모차나 카시트등 한번 사면 쉽게바꿀 수 없는 제품들은 온라인이나 후기만 믿고구입을 하긴 여간 찝찝한게 아니죠.그렇다고 큰 행사를 기다리기에는 나는 빨리써야 하고... 베페같은걸 한다고해서내가 필요한 브랜드가 있을거란 보장도 없죠.하지만 이곳은 웬만한 육아에 관한 브랜드들은다 있다고 보시면 되는데요.거기에 제품 퀄리티부터 모든 것들을한눈에 직접 비교하며 고를 수 있어서엄마가 선택할 수 있는 폭도 넓고 후회도 적어요. ], 긍정 텍스트 확률 : 50.37%"
"[ 이번에 나온 타보 역시 가보니한자리 떡하고 차지하고 있더라구요.항상 느끼는거지만 이 올블랙의 깔끔함이 전너무 마음에 들어요.제가 베이직 스텝을 써 봤을때도 동급대비가장 마음에 들었었는데 거기에서도 어찌 모자란점을 쏙쏙 찾아내서 더 좋게 만들어 낸 것이베이직 트랩이예요. ], 긍정 텍스트 확률 : 98.90%"
"[ 차양막이 더 커지고 높아져 좀 더 넓은 연령의아기들이 함께 할 수 있게 만들어졌어요.거기에 더욱 도톰해진 중 쿠션시트는엉덩이가 배기거나 오랜시간 앉아있더라도조금 더 쾌적하고 편안하게 만들어 줄 수 있죠. ], 긍정 텍스트 확률 : 84.93%"
"[ 무엇보다 항상 타보시리즈가 마음에 드는것은바로 안전하면서 쓰기좋은 바와 등판을 세운 각도 인데요.앉기 싫어하는 아이는 등판 각도가 어중간하면허리도 아파하고 몸이 이리휘청 저리휘청세상구경 하는 내내 안정감이 없는데이건 딱 아이가 기대기 편한 각도에 있기때문에더 편해보일 뿐 아니라사실 개월수가 좀 있는 아이들은 따로 벨트를 안하고탔다 내렸다 하는때에 안전바나 안전벨트만 있는것보다이런 바가 제일 편하기도 하고아이도 자기가 운전하는것 같은지 제일 좋아하기도 해요. ], 긍정 텍스트 확률 : 91.45%"
"[ 타보출시가 되고 나서 가장 인기가많았던 이유가 컬러감에도 있지만부분부분 아이와 함께 하는데 있어서쓰기 편한 것들을 쏙쏙 잘 찾아낸 것에 있죠.그래서 그런가 나오고 나서 따라서 비슷하게만든 제품들이 속속들이 출시가 되었었는데그래서 어떤게 더 좋은가 많이 고민이 되더라구요.그런데 청주 베이비플러스에서 제가 고민하던유모차 모델들을 한자리에 만나볼 수 있고각각의 장단점을 파악할 수 있어서 고르는데도움이 많이 되었던거 같아요. ], 긍정 텍스트 확률 : 97.60%"
"[ 이번에 나온 타보역시 아이와함께 있을때도 접고 펴기 편할 뿐 아니라아기가 타고 있어도 핸들링이 부드럽고발받침부터 대용량의 편리한 장바구니그리고 깨알 수납포켓까지역시나 엄마마음에 쏙 들게 만들었구나 싶었는데요.이번에는 색상부터 쿠셔닝이 너무 좋아서 그런지절충형이나 휴대용 급으로 만든 유모차 임에도디럭스 못지않은 사용감을 주는 타보이었답니다. ], 긍정 텍스트 확률 : 83.08%"
"[ 원터치로 쉽게 접고 펼 수 있기때문에많은 부모들이 여행용으로도 고려하는베이직 트랩 인데요.그래서 더 튼튼하게 조금 미숙했던 점들도더욱 쓰기 쉽게 보완해서 나왔다는 생각이 들어요. ], 긍정 텍스트 확률 : 74.51%"
"[ 바를 볼때에도 접고 세웠을때에도 고정이 되는지진짜 캐리어처럼 끌었을때도 불편이 없는지아이의 손이 닿는 공간을 접었을때도 끌림이 없는지따져보고 고르세요 어떤거라고 말씀드릴 순없지만 비슷한데 정말 불편한 제품이 있었거든요 ㅠㅠ ], 긍정 텍스트 확률 : 96.73%"
"[ 처음 출시 되고나서 그래 장만할때는타보으로 하자 했었는데이 곳에와서 저렴한 가격에 사용법까지 미리만나보고 흡족하게 구입할 수 있는거 같아서더 좋았어요 그래서 저는베이직 트랩 베이비플러스 청주점에서 보시는걸강추드리고 싶어요 ], 긍정 텍스트 확률 : 53.70%"
"[ 이 밖에도 갖가지 제품들을 한자리에서만나 볼 수 있기때문에 내가 생각하고 온 것 외에다른게 눈에 들어오는 경우도 많고생각치 못한 단점에 마음에 안드는 경우도또 생각했던거 보다 더 마음에 들어 구입하는 경우도 있는데요.이게 바로 오프라인으로 직접 보고 장만하는매력이 아닌가 생각이 들어요.거기에 베페처럼 북적이거나 브랜드별로 돌아다니며정신없이 보러다니지 않아도 되고베페나 온라인보다 저렴하는것을 모토로 하고 있어합리적인 가격에 서비스도 받아가며구입할 수 있으니까 제가 좋아할만하죠? ], 긍정 텍스트 확률 : 99.39%"
"[ 아이 소식을 듣고 보통 개월정도부터몸도 무거워지고 실감이 나기 시작하면서많은 분들이 아기 맞을 준비를 하시게 될텐데요.막상 막달에 배가 남산만큼 나와서 이것저것 출산준비하는 분들 많으시죠그러면 꼭 필요한게 급하게 생기기도 하고베스트가 아닌 차선책으로 쓰는 용품들을구입해야 하는 경우가 많아요.그러니 미리미리 출산가방도 쌀겸해서이런 육아용품할인매장에서 리스트도 받아가며하나씩 체크해서 막상 다가오는 아기와의 만남에당황하지 않게 대처하는게 중요하겠죠이 곳에서 아기천사 기다리면서 하나하나 고르다보면이제는 진짜 내가 엄마가 되는건가 싶기도 하고마음가짐도 조금씩 달라지더라구요.이런게 태교인것 같아요 흐흐 ], 긍정 텍스트 확률 : 58.37%"
"[ 아기를 맞이하는데 정말 한두가지가필요한게 아니기때문에 모든걸 일일히 배송을시킬수도 없고... 박람회같은 큰 행사장에 가더라도막상 그때가 되면 또 필요한게 생기는게 육아더라구요.그래서 가끔 이렇게 와서 필요한 것들을구입하는데 언제든 내 시간에 맞춰 와서 구경할 수 있어서더 좋은 거 같아요. 기저귀나 물티슈 같은것도 똑 떨어졌을때바로 와서 사갈수도 있고또 대량으로 구입하지 않아도 되어서 뭐가내 아이에게 맞는지 나도 쓰기 편한지도 알 수 있구요. ], 긍정 텍스트 확률 : 94.06%"
"[ 아이들 침구류나 의류 같은 것들도소재나 크기등 실제로 봐야 알 수 있는 것들이있기때문에 항상 이렇게 눈으로 보고 만져도 보고 고르니까 더 오래 기분좋고 마음에 들게쓸 수 있는거 같아서 육아맘들이라면 꼭 한번와야 하는 곳이라고 생각이 들고요. ], 긍정 텍스트 확률 : 99.93%"
"[ 그래서 주변에서도 멀리서도 많이 찾으러 오시고단골도 많아보이더라구요.제품에 대한 자세한 설명부터 몰랐던 부분까지상세하게 알려주시는 친절한 직원분들까지어떻게 보면 육아 도우미라고 할수도 있겠네요 ㅎㅎ베페나 온라인보다 저렴하고 그보다 비싸다면환불해주는 보장제도 실시하고 있어서부담없이 와서 구경해보심 좋을 것 같아요. ], 긍정 텍스트 확률 : 93.45%"
"[저는 오늘 본 타보데리고 어딜 나들이 갈까생각하니 벌써부터 떨리기도 하는데요.요즘 꽃들도 한창이고 다양한 축제도 많이하죠재밌는 계획 세우셔서 가족과 함께하는즐거운 시간 만드시길 바래요. ], 긍정 텍스트 확률 : 99.89%"
"[세 아이 중에서 큰애는 이제 초등학교 고학년이라 그래도 혼자서 안전벨트도 잘 하고 착석해서도 얌전한 편인데요.둘째와 막내는 아직 어려서 그런지 차만 탔다하면 꼼지락거리고 바스락거려서 운전을 할 때마다 안전이 가장 걱정돼요.뒷자리에서 똑바로 앉아있지 않으면 급제동을 할 때 다치지는 않을까 가슴이 철렁 거릴 때도 있어요.더구나 둘째는 요새 활동량이 많아서 한시도 가만히 있지를 못하다보니 적합한 주니어카시트 알아보러 일산으로 다녀왔어요. ], 긍정 텍스트 확률 : 82.98%"
"[ 주차장에 차를 세우고 층으로 들어가면 총 개의 매장이 내부에 하나로 연결이 되어있어요.관 안쪽에 유모차와 카시트존이 자리를 하고 있었어요. ], 긍정 텍스트 확률 : 58.01%"
"[ 회전형 카시트는 신생아때부터 세까지 쓸 수 있다던데요즘엔 또 세이상까지 쓰는 실속형 디자인도 있어요.처음에는 사이즈만 보고 파악을 했었는데 단지 크기만 보고는 베이비용과 주니어카시트의 차이를 구분하기는 쉽지 않겠더라고요.우리나라에서는 현재로는 세까지 카시트사용을 의무화하였는데외국의 경우에는 안전상의 이유로 세까지라서 기본적으로 외국에서 제조되었거나 수입하는 것들의 규격이나 사이즈를 보면 보통 살 키즈까지는 커버할 수 있는 정도의 내구성과 디자인으로 나오는 것 같아요.다만 안전지침이 있는데 상식선에서 알아두면 좋겠어요.어린이 카시트는 에어백이 작동하는 앞좌석이 아닌 안전한 뒷자석에 배치를 해야 해요.또한 벨트로 고정을 하는 구형모델이라면 안전띠가 본체를 팽팽하게 한 후버클을 정확하게 연결해서 고정해야 해요. ], 긍정 텍스트 확률 : 50.41%"
"[ 어떤게 있나 하나씩 살펴보았더니 다이치 브이가드], 긍정 텍스트 확률 : 82.13%"
"[ 다이치 브이가드를 비롯하여 요즘 나오는 제품들은 이렇게 어깨면적이 확장이 돼요.차량용 안전벨트를 그대로 활용을 할 수 있는데 목부위가 압박되지 않도록 헤드쪽에 벨트를 걸 수도 있어요. ], 긍정 텍스트 확률 : 69.76%"
"[ 요즘은 해외여행도 어린 자녀들과 함께 떠나는 엄마 아빠들이 있잖아요.그래서 기내반입이 가능한 유모차도 대세인 것 같아요. ], 긍정 텍스트 확률 : 96.71%"
"[ 인기 모델도 있고 신상품 타보 베이직 트랩과 리안 프라임라이트 오토폴딩도보고싶었는데], 긍정 텍스트 확률 : 83.71%"
"[신상품도 바로바로 다 볼 수가 있네요.요요 플러스], 긍정 텍스트 확률 : 72.70%"
"[ 주니어카시트 외에도 아기들에게 필요한 세제나 이유식용기], 긍정 텍스트 확률 : 61.63%"
"[ 이유식 턱받이와 치발기도 있었고요. ], 긍정 텍스트 확률 : 68.11%"
"[ 어린이집에 보낼 때 사용하는 도시락과 캐릭터 식기 그리고 수저와 물통도 있고 유모차에 부착하는 소품들도 있네요. ], 긍정 텍스트 확률 : 84.27%"
"[보행기 그리고 놀이방매트도 한구석에 있더라고요 ], 긍정 텍스트 확률 : 65.87%"
"[ 겨울이불세트와 블랭킷 그리고 아기기저귀와 물티슈도 보였고요. ], 긍정 텍스트 확률 : 75.71%"
"[ 더 안쪽으로는 임산부용품과 방수요 그리고 우주복도 있었어요. ], 긍정 텍스트 확률 : 89.27%"
"[ 주차를 할 수 있는 공간이 넓은 편이라 차량으로 이동 후 세워두고 매장을 느긋하게 둘러보기에 괜찮았어요.바로 층에 있어서 주니어카시트를 이중 잠금으로 단단하게 고정 후 설치를 한 상태에서 직접 우리 애가 앉아보고나서 마음에 들어하니 결정에도 어려움이 없었던 것 같아요. ], 긍정 텍스트 확률 : 79.27%"
"[ 트위스트베이비 블로그에서 새 제품과 행사를 소개하고 있으니 관심 있으신 분들은 들어가서 직접 확인 후에 방문해 보는 것도 괜찮을 것 같아요 .... ], 긍정 텍스트 확률 : 63.74%"
"[.믿고 사용할 제품이 없는 요즘...우리 아이의 피부에 오래 닿아있는 기저귀 어떤거 사용하시나요?.저희는 이번에 믿을 수 있는 안전한 친환경기저귀 에코제네시스로 바꿨답니다 ], 긍정 텍스트 확률 : 98.46%"
"[ .에코제네시스 기저귀를 잠깐 설명드리자면.년 올해 한국고객만족도 위..친.환.경.브랜드 기저귀 부분 위 라는 것..어쩐지...준이 피부가 민감한데 바꾸고 나서 기저귀발진이 없더군요..친환경이라 발진없는기저귀 였네요 ], 긍정 텍스트 확률 : 70.98%"
"[ .이번에 기저귀 바꾸고 나서 한번도 이불빨래를 한적이 없어요 ㅎㅎ.그만큼 흡수력이 좋아서 밤에 샘 걱정은 안해도되요 ], 긍정 텍스트 확률 : 93.76%"
"[ 에코제네시스 흡수력테스트 영상이에요보시면 흡수력이 정말 뛰어난 것을 확인할 수 있습니다.통풍성이 좋은데 흡수력도 뛰어나서발진 식물성곡물 흡수제를 혼합사용한 흡수제로 순간 흡수력이 뛰어나고], 긍정 텍스트 확률 : 99.87%"
"[아이들에게 안전하고너무 좋은 에코제네시스 기저귀 여름기저귀로 추천드려요. ], 긍정 텍스트 확률 : 99.18%"
"[ 요즘 혼자서 기저귀 착용하려고 노력하는 준이에요.아직 혼자하지 못하지만 노력하는 모습이 기특하네요 ], 긍정 텍스트 확률 : 76.15%"
"[겨울 계절언제나 사용해도 좋고단지흡수력과 통기성이 좋아서여름기저귀추천 한다는거 ], 긍정 텍스트 확률 : 94.49%"
