"[.안녕하세요. 메바입니다..어느덧 날씨가 아침저녁으로 제법 선선해졌네요..이제는 자고 일어나면 저도 깨비도 팔 다리가 차갑더라고요...깨비는 지금 여름기저귀를 사용 중인데요], 긍정 텍스트 확률 : 84.04%"
"[오줌선도 있구요], 긍정 텍스트 확률 : 68.32%"
"[ 기저귀 뒷면에 테이프도 있어요], 긍정 텍스트 확률 : 79.06%"
"[.?오로라기저귀오로라기저귀.?아기기저귀아기기저귀.?기저귀추천기저귀추천 아기가 미니마우스한테 기저귀를 입혀주네요 ㅎㅎ 이거 너껀데 ], 긍정 텍스트 확률 : 90.58%"
"[ 왜 기저귀 이름이 오로라인지 궁금하진 않으셨나요?꽤 감동적인 이유에요.], 긍정 텍스트 확률 : 97.89%"
"[ 라지사이즈 옆에 딸기가 그려져 있죠?바로 옆에 그려져 있는 과일이 기저귀 디자인이에요.], 긍정 텍스트 확률 : 60.94%"
"[드디어 팬티기저귀 디자인이에요. 딸기 그럼 귀엽죠? ], 긍정 텍스트 확률 : 90.02%"
"[라고 적혀 있어요. 보통 앞면만 적혀 있거나 적혀있지 않았는데 이렇게 앞뒷면 다 적혀 있는건 전 처음봐요작은것 하나로도 친절함이 느껴지네요.], 긍정 텍스트 확률 : 82.05%"
"[ 아기 피부에 닿는 부분인 기저귀 안쪽 부분이에요. 얇고 보송보송해요.], 긍정 텍스트 확률 : 95.85%"
"[ 는 꽤 통통한 편인데 잘 맞더라구요.], 긍정 텍스트 확률 : 68.33%"
"[ 튼튼한 허벅지와 어울리는 오로라 기저귀에요.], 긍정 텍스트 확률 : 94.51%"
"[ 그러다가 기저귀를 다시 살펴보니 어느새 쉬아를소변줄은 이렇게 세줄로 되어 있어요. 저희 언니가 보더니 꼭 소변줄에 그라데이션을 한 것 같다 라고 얘기하더라구요 ], 긍정 텍스트 확률 : 65.37%"
"[ 정말 그래보이나요?ㅎㅎ ], 긍정 텍스트 확률 : 61.65%"
"[오로라기저귀.친환경이라서 좋고], 긍정 텍스트 확률 : 87.87%"
"[예뻐서 두번 좋음], 긍정 텍스트 확률 : 85.80%"
"[ .너무 예쁜 오로라기저귀는.미국 캘리포니아에서 물건너온 친환경기저귀이다.소재와 성분도 좋고], 긍정 텍스트 확률 : 63.76%"
"[무엇보다 너무 예뻐서.엄마들의 취향을 저격하는 오로라기저귀 ], 긍정 텍스트 확률 : 58.17%"
"[ .패키지부터 이쁨이 느껴진다 ㅋㅋ ෆ.울애기는 중형 사이즈 ], 긍정 텍스트 확률 : 78.32%"
"[ .오로라기저귀의 브랜드 스토리 .나의 아이와 가족이 경험하는 .가장 아름다운 새벽의 시간 이라는 의미 라는데], 긍정 텍스트 확률 : 96.92%"
"[ .말이 너무 예쁘다.], 긍정 텍스트 확률 : 78.15%"
"[ .중형사이즈는 이런 귀여운 피치모양.그리고 노란색 소변줄이 있다], 긍정 텍스트 확률 : 86.39%"
"[ .오로라기저귀는 밴딩이 정말 훌륭하다. .도 체형에 맞게 피팅 되는 스트레칭셔링 제품이라.착용감이 아주 좋아서 애기가 더 좋아하는듯 ㅋㅋ ], 긍정 텍스트 확률 : 74.12%"
"[ .그리고 기저귀의 가장 중요한 덕목 .기저귀는 자고로 흡수력이 좋아야한다.오로라기저귀는 흡수패드와 흡수코어 둘다 완벽하다 ], 긍정 텍스트 확률 : 90.87%"
"[ .귀여운 오로라기저귀 .예쁜만큼 성능도 우수해서 아주 맘에 쏙 든다.특히 뒤척여도 덜 새기 때문에 엄마도아기도 꿀잠], 긍정 텍스트 확률 : 99.86%"
"[ .까다롭다는 미국 인증까지 받은 친환경기저귀 .순하고 믿을 수 있게], 긍정 텍스트 확률 : 58.50%"
"[ .본 포스팅은 해당 업체로부터 무상으로 물품을 .제공 받고 경험에 의해 작성된 후기 입니다.], 긍정 텍스트 확률 : 60.30%"
"[ .....패키지도 넘 예쁜 기저귀.승이는 벌써 이 넘어갔기에.미디엄], 긍정 텍스트 확률 : 52.20%"
"[ ...개인적으로 워터멜론이랑.레몬 써보고 싶은...ㅎㅎㅎ.. ], 긍정 텍스트 확률 : 63.13%"
"[ .....피치 앞면.예쁜 게 완전 사랑스럽다.쓰고 나서도 버리기 아까운 예쁨ㅋㅋ..가운데 있는 노오란 선들이.소변을 보면 파랗게 변하기 시작한다.... ], 긍정 텍스트 확률 : 76.66%"
"[ ......우리 승이 오로라 입은 궁둥이🍑...... ], 긍정 텍스트 확률 : 63.65%"
"[ .....저녁에 씻고나선 무조건 오로라 ㅎㅎㅎ😍.그럼 기특하게도 꿀잠을 자주었다😱😱🍑... ], 긍정 텍스트 확률 : 56.45%"
"[ .....사이즈가 넉넉해서 그랬는지.조임도 없고.아기가 소변을 많이 봤을 때.타사 제품보다 무게가 덜 나갔다.아가가 거부감이 덜했을 듯🧺... .?팬티기저귀팬티기저귀 도 나왔다니.팬티형은 승이 크면 사용해야겠다💓. .?기저귀추천기저귀추천 오로라👍🏻.....오로라로부터 제품을 무상으로 지원받아 작성된 후기입니다.. ], 긍정 텍스트 확률 : 89.79%"
"[ 오로라기저귀 외출기저귀 밴드기저귀 기저귀추천 감성기저귀안녕하세요이번에 써보고 싶었던 오로라 기저귀를 사용하게 되었어요....... ......? 본문 이미지오로라 스킨핏 밴드 기저귀오로라기저귀는 샌프란시스코의 감성을 담은 기저귀래요.오로라 기저귀를 처음 봤을 때 디자인이 제일 강렬 했었어요.제가 체험한 기저귀는 밴드형인데요], 긍정 텍스트 확률 : 72.71%"
"[ 팬티형의 디자인은 약간 다릅니다. 아래는 밴드형 디자인이예요....... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지뽀또는 지금으로 약간 뚠뚜해요 ㅎㅎ그래서 기저귀 밴드형이건 팬티형이건 약간씩은 자국이 남아 약간이라도 크게 쓰는 편이예요.하지만 엄마는 복숭아가 젤로 좋았어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그래서 약간의위험성을 가지고중형을 택했답니다.하기스 기저귀는 호 사용해요...... ......? 본문 이미지...... ......? 본문 이미지기저귀에 복숭아가 가득디자인 너무 예뻐요. 정말 디자인때문에라도 계속쓰고 싶어요기저귀 가운데는 소변알람줄이 줄 있습니다.소변을 보게되면 파랑색으로 변해요....... ......? 본문 이미지...... ......? 본문 이미지사이즈 걱정이 괜한 걱정이였네요.기저귀는 너무 보드랍고 정말 허리건 허벅지건 밴드자국이 하나도 안남았어요. 진심 대박밴드늘어나는것 확인하세요.허벅지가 쪼여 큰 기저귀를 차는것보다 핏감이 더 좋았답니다.살결이 닿는 안쪽과 바깥쪽 모두 복숭아처럼 부들부들 보드라워요....... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지몇일동안 착용해보니 오로라 기저귀의 에어스루공기가 보송보송 통기성의 극대화를 느낄 수 있었어요.엉덩이가 습해지지 않아요.그렇다고 흡수력이 떨어진다고 느껴보지 못했어요.샌적도 없었어요기저귀 얇고 가벼워서 여름기저귀로 많이들 추천하고 사용하시는데사실 겨울에도 엉덩이는 통풍이 답입니다 ㅎㅎ겨울이라고 땀 안나는거 아니고 땀띠 안나는거 아니예유.아가들 편할려면 기저귀가 가벼워야 합니다어른들도 치렁치렁 두꺼운옷 불편하잖아요 심지어 엉덩이부분 속옷은 까다롭게 고르는것처럼 아가도 그렇답니다...... ......? 본문 이미지제가 지금 주로 밤기저귀로 쓰고있는 타브랜드 기저귀와 크기차이 봐주세요. 오줌싸고 난 뒤 크기차이인데 이것만 봐도 얼마나 얇고 가벼운지 느껴지시죠? 이거보고 저도 놀랐어요 오로라 기저귀 사용하면 쓰레기 걱정도 줄거 같아요.그리고 얇은 기저귀는 가끔 오줌냄새 많이 나거든요?오로라는 그러지 않아 더 좋았어요.뽀또 착샷이예요 정말 맞춘것처럼 핏하게 잘맞죠?뽀또처럼 뚠뚜한 아가들 추천해요 정말로 자국이 안남아요 신기신기...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지다음기저귀도 오로라 기저귀 사용 할 의향 프로 가격도 착한편이라 더 맘에들었어요 제품구매하고 후기작성하면 매달 기저귀도 선물로 준다고 하니 참여도 같이 해보시면 좋을 것 같아요.오로라기저귀 후회없으실거예요.본 후기는 업체로부터 제품을 무상으로 제공받아 작성한 후기입니다.], 긍정 텍스트 확률 : 98.49%"
"[오로라기저귀 친환경기저귀밤기저귀 여름기저귀 기저귀추천 ], 긍정 텍스트 확률 : 79.58%"
"[ 디혜디혜입니다오늘 벌써 한여름날씨인것 같아요ㅠㅠㄷㄷ날씨가 더워질수록 아린이가 사용하는 기저귀에 더 신경이 쓰이는데요그래서 이번에 여름기저귀로 쓰면 좋을만한 오로라기저귀를 사용해보고 후기를 적어보아요그럼본격적으로 시작합니다 ], 긍정 텍스트 확률 : 73.38%"
"[ 이제품이 오늘 소개해드릴 오로라 스킨핏 팬티기저귀에요 ], 긍정 텍스트 확률 : 92.47%"
"[ 오로라기저귀는 샌프란시스코에서 온 친환경기저귀에요새벽을 뜻하는 를 기원 으로 만들어진 오로라기저귀는 한명의 어른이 되기위해 자라나는 인생의 단한번의 소중한 시기를 새벽으로 비유하고], 긍정 텍스트 확률 : 78.72%"
"[ 더 아름답고 소중하게 만들어 주려는 의미를 담고 있다고 해요 ], 긍정 텍스트 확률 : 98.90%"
"[ 친환경기저귀 오로라기저귀는 미국의 샌프란시스코에서 만든 기저귀인데요미국 미국소비자 제품 안전위원회를 통과한 믿을수 있는 기저귀랍니다 ], 긍정 텍스트 확률 : 53.96%"
"[ 미국 뿐만 아니라 국제표준화 기구 품질 및 환경시스템도 인증받은 제품이에요안전하고 믿을수 있는 기저귀가 우리엄마들한텐 순위잖아요오로라기저귀는 믿고 사용할수 있어서 넘 고맙고 좋아요 ], 긍정 텍스트 확률 : 95.37%"
"[ 오로라기저귀 특대형은 감모양이 그려져있어요귀염귀염토마토인가요?ㅋㅋㅋ ], 긍정 텍스트 확률 : 64.24%"
"[ 오로라기저귀를 꺼내서 젤먼저 확인해본건 두께였어요여름에 사용할 여름기저귀라서 두꺼우면 답답할것 같더라구요확인해보니 오로라기저귀는 얇고 부드러웠어요 ], 긍정 텍스트 확률 : 63.99%"
"[ 허리부분 밴드가 되게 넓게 되어있어서 허리와 엉덩이를 편안하게 감싸주고], 긍정 텍스트 확률 : 51.64%"
"[ 그리고 여기 허벅지부분에 가드가 있어 새는것을 방지해줘요 ], 긍정 텍스트 확률 : 80.77%"
"[ 그리고 기저귀 안쪽은 파도를 닮은 물결 무늬의 부드럽고 유연한 웨이브 흡수패드의 강력한 흡수력으로 밤새 뒤척여도 걱정이 없답니다그래서 밤귀저귀로도 추천추천 ], 긍정 텍스트 확률 : 67.67%"
"[ 그리고 또다른 특징소변알림선이랑 테이프], 긍정 텍스트 확률 : 56.83%"
"[ 에코프렌들리특히 수성잉크의 사용과 접착제사용의 최소화로 안전성을 한층 업그레이드했어요 ], 긍정 텍스트 확률 : 77.72%"
"[ 소변알림선이 은근히 유용하더라구요ㅎㅎ ], 긍정 텍스트 확률 : 88.83%"
"[ 오로라기저귀 전체적인 모습 동영상으로 찍어봤어요 ㅋㅋ ], 긍정 텍스트 확률 : 70.38%"
"[ 우리 아린이는 개월 아기에요오로라기저귀를 보고는 사과.가 있다고 좋아더라구요.ㅋㅋㅋㅋㅋㅋㅋㅋ사과든뭐든 좋아하니 다행요즘 기저귀거부가 좀 있어요.ㅠㅠ ], 긍정 텍스트 확률 : 99.32%"
"[ 부드럽고 기저귀냄새도 별로 안나서 진짜 강추여름기저귀로 밤기저귀로 넘 좋은거 같아요특히], 긍정 텍스트 확률 : 98.34%"
"[ 업체로부터 제품을 제공받았으나 실제 사용해보고 느낀점을 솔직하게 적은 글 입니다 ], 긍정 텍스트 확률 : 66.29%"
"[.개월동안 쌍둥이 육아하면서.정말 다양한 기저귀를 써봤어요.브랜드제품부터 저가형까지 ㅋㅋ.주변 애기엄마들도 기저귀 어떠냐며 물어보면 왠만한건 다 대답해줄정도로요..이번에 새롭게 미국에서 런칭한 기저귀 .오로라 스킨핏 기저귀를 써볼 기회를 만났어요.다른 기저귀들과는 다른 패키지가 눈에 딱 들어오더라구요 ㅎㅎ.넘 이쁜 ], 긍정 텍스트 확률 : 99.91%"
"[ .귀여운 감이 그려져있는 오로라 기저귀.무늬가 이쁘니 입은 모습이 정말 너무너무 귀엽더라구요..쌍둥이 몸무게가 ..정도예요 .사이즈 고민하다가특대형을 선택했어요.보이랑 몸무게별 사이즈가 똑같더라구요..택배 받아보고 집에있는 보이랑 비교해보니 정말 사이즈 거의 비슷했어요 ㅎㅎ ], 긍정 텍스트 확률 : 99.86%"
"[ ..오로라기저귀는 베어스킨 원단을 사용한다고 해요.공기가 가볍게 순환되는 원단을 앞면과 뒷면에 아낌없이 사용해서 부드럽고 보송보송함이 유지된다네요. ], 긍정 텍스트 확률 : 52.12%"
"[........안녕하세요 조아몽입니다😄.저희 아기 기저귀를 오로라 제품을 한달정도 사용해봤는데 아기 몸에 닿는 부분도 부드러워서 좋고 제가 갈아주거나 만져볼때도 너무 좋은거같아서 포스팅해보려고해요 아기 제품은 특히 더 예민하고 신중하게 골라야하잖아요 그래서 저희아기가 한달이상을 사용해보고 쓰는 정말 솔직하고 리얼리뷰입니다..... ], 긍정 텍스트 확률 : 98.68%"
"[ ....... 저희아기는 개월인데 몸무게가 로 다른아기들에 비해 조금 더 나가요 그래서 기저귀고를때 항상 몸무게로 골랐는데 그게 또 꼭 몸무게로 골라야하는게 아닌 기저귀들도 있더라구요? 잘 보고 구매하세용ㅎㅎ 한번 뜯으면 환불도 안되는 게 기저귀잖아요..ㅠㅠ 제가 구매한 오로라 의 빅 점보 사이즈로 이상 아가들이 사용한다고 해요 허벅지가 두껍거나 엉덩이가 빵빵한 아기들도 무리없이 부드럽게 입힐수있을거같아요....... ], 긍정 텍스트 확률 : 61.36%"
"[ .......앞모습 뒷모습 구별되어있어요 .신생아때는 정말 피곤해서 비몽사몽해서 반대로 채워본적있는데 지금 기저귀는 눈감고도 칠수있어요..... ], 긍정 텍스트 확률 : 82.53%"
"[ .......피니쉬테이프 .이 테이프하나로 간편하고 깔끔하게 뒤처리 할수있어요.이게 정말 중요한데 특히 밖에서 아기 기저귀를 처리할때 테이프가 있는 기저귀라서 깔끔하게 돌돌말아버릴수있어요...... ], 긍정 텍스트 확률 : 50.08%"
"[ .....꼼꼼히 따져봐도 안전한 기저귀.미국 통과.국제표준화기구품질 및 환경 시스템 인증.형광증백제 중금속 포름알데히드 등.개 항목 불검출 및 적합판정으로 엄마들사이에서 이미 유명한 기저귀로 저는 이제서야 사용해봤는데 역시 입소문나는 아기용품은 다 분명한 이유가 있어요..... ], 긍정 텍스트 확률 : 59.81%"
"[ .......아기 기저귀를 채워줄때마다 옆구리부분이 불편하거나 따가울거같아서 걱정이 됐었는데 이건 다른 기저귀와는 다르게 쭉쭉 늘어나는 일체형? 기저귀라서 거슬이는 부분이 없더라구요 팬티기저귀인데 옆구리를 뜯어서 벗기는 타입도 있는데 그런 제품의 단점을 완벽커버한 제품인거같아요 개월동안 정말 셀수없이 기저귀를 갈아봤는데 이런 부드러움은 처음이더라구요.... ], 긍정 텍스트 확률 : 69.99%"
"[ 패키지 디잔이랑 비슷하다고 보시면 되는데 이왕에 사용하는 것 이쁘면 더 좋다고 생각하는 오십육페이지물론 품질도 꼼꼼하게 따지는데 디자인 ], 긍정 텍스트 확률 : 69.41%"
"[품질 까지 모두 만족한 가성비 좋은 오로라 였어요.], 긍정 텍스트 확률 : 92.51%"
"[ 윗부분 간편하게 뜯어 사용 할 수 있어 바로 사용 하는 중인데 한 팩에 매 들어가 있어요 ], 긍정 텍스트 확률 : 86.81%"
"[ 역시나 이쁨], 긍정 텍스트 확률 : 80.48%"
"[이쁨 ♥ ], 긍정 텍스트 확률 : 99.81%"
"[아빠들도 있는데괜찮은 것 같아요.이제보니 사이즈별로 다른 과일그려져 있는 아기기저귀 생각해보니 너무 귀여워요ㅜㅜ], 긍정 텍스트 확률 : 85.74%"
"[ 오로라기저귀 사이즈점보 이렇게 있어요. 오십육페이지 쪼꼬미 조카는 개월 아기 인데. 정도에요.], 긍정 텍스트 확률 : 63.13%"
"[ 옆면에 신축성이 좋은 스트레칭 셔링 덕분에 아기 신체 특성에 맞게 밀착되는 인체공학적인 디자인이에요.], 긍정 텍스트 확률 : 67.38%"
"[ 땀도 많고 날씨와 더불어 이유식 시작하고 엉덩이 발진 때문에힘들어 해서 걱정인데 엄청 부드러운 베어스킨 원단이에요. ], 긍정 텍스트 확률 : 80.32%"
"[ 제가 만져봐도 부드러운 촉감이 기분 좋았어요 ], 긍정 텍스트 확률 : 80.69%"
"[ 아기피부에 직접 닿는 부분인 만큼 신중할 수 밖에 없어요.], 긍정 텍스트 확률 : 60.32%"
"[ 물론 필요에 따라 스티커 사용하는 게 편하다면 그렇게 하시는 게 좋아요. ], 긍정 텍스트 확률 : 55.41%"
"[ 얇으니까 요즘같이 더운 여름에도 엉덩이 발진으로 고생하는 아기들 사용하기도 좋고사이즈라서 조금 넉넉한 편이였지만그렇다고 해서 새거나 하지 않고 요즘 움직임 많음에도 불구하고 정말 잘 사용했어요], 긍정 텍스트 확률 : 98.56%"
"[개월이 넘도록 기저귀에 정착 못하고 기저귀 유목민으로 이 기저귀 저 기저귀 사용하고 있는 중인데 드디어 제 마음에 쏙 둘고 꼬방이도 편해하는 가저귀를 찾게 되었어요 개월 간 헤메다가 찾은 오로라기저귀를 소개해드릴께요], 긍정 텍스트 확률 : 99.03%"
"[점보는 배아이들도 친숙해질 수 있는 과일모양이라 참 좋았어요 꼬방이는 키로로 대형을 사용했는데 포장지에 있는 과일 모양이 그대로 기저귀에도 그려져 있었어요 친숙한 과일모양이라 저도 과일보며 꼬방이한테 이런저런 이야기하기 좋았어요 제가 젤 좋아하는 과일이기도 하구요 히힛 ], 긍정 텍스트 확률 : 98.07%"
"[ 미국의 유아용품 안전관리의 안전성테스트도 통과하였고 형광증백제], 긍정 텍스트 확률 : 71.14%"
"[ 베어스킨원단을 사용한 오로라기저귀 공기가 가볍게 순환되는 베어스킨원단을 앞면 뒷면 모두 아낌없이 사용해서 부드러움과 보송보송함을 느낄 수 있었어요], 긍정 텍스트 확률 : 94.85%"
"[ 앞면 뒷면 헷갈리지 않게 앞모습 뒷모습이라고 적혀져 있기도 하고 테이프가 있어서 쉽게 차이를 느낄 수 있어서 편하게 앞 뒷면 구분을 하며 사용할 수 있는 오로라기저귀예요], 긍정 텍스트 확률 : 99.02%"
"[ 노란선이 소변을 보면 파란선으로 변해서 소변을 했는지 바로 알 수 있어서 편안하게 기저귀 교체를 할 수 있지요], 긍정 텍스트 확률 : 73.08%"
"[ 파도를 닮은 물결무늬의 부드러운 유연한 웨이브 흡수패드와물방울모양의 강력한 흡수코어로 가볍지만 확실하게 한방울도 새지 않게 꽉 잡아주어 강력한 흡수력으로 밤새 뒤척여도 걱정없이 사용할 수 있고 역류하지 않고 새지 않아서 편하게 사용할 수 있어요], 긍정 텍스트 확률 : 97.29%"
"[ 요즘 엄청난 움직임을 보이는 꼬방이 기고 서고 싈틈없이 다니는데 이렇게 움직임이 많아도 불편함없이 다니기도 편했던 오로라기저귀랍니다], 긍정 텍스트 확률 : 85.51%"
"[이렇게 잘때나 저녁기저귀로도 사용하기 좋았단 사실이지요 편안함에 잠도 잘자고 자는동중 몇번의 소변을 해도 세지 않고 흡수는 잘 되면서 발진도 생기지 않아서 정말 만족하며 사용할 수 있었어요], 긍정 텍스트 확률 : 92.52%"
"[ 오로라기저귀 착용하고 매일매일 일상생활도 하고 있는데 워낙 예민한 아기라 한번만 소변을 봐도 찡찡대는데 오로라기저귀를 착용하면 쉬를해도 찝찝하지 않은지 보채거나 울지않고 이렇게 혼자서도 잘 놀고 있더라고요 진짜 흡수력은 최고인듯 해요], 긍정 텍스트 확률 : 96.87%"
"[ 사용하는동안 단 한번도 새지 않고 발진도 없고 밤기저귀로도 너무 잘 사용한 기저귀라 정말 만족하고 사용할 수 있던 기저귀랍니아이가 편안해하는 아이를 위한 기저귀로 오로라기저귀 추천해요.... ], 긍정 텍스트 확률 : 96.10%"
"[. .?오로라기저귀오로라기저귀.?외출기저귀외출기저귀. .?밴드기저귀밴드기저귀.?기저귀추천기저귀추천.?감성기저귀감성기저귀 ], 긍정 텍스트 확률 : 92.52%"
"[ ..오로라 스킨핏 밴드형 기저귀가 런칭해.기저귀를 체험해볼 기회가 생겼어요.기저귀 유목민이라 좋은 기저귀 찾고 있었는데.오로라 기저귀 꼼꼼하게 살펴볼게요 ], 긍정 텍스트 확률 : 87.45%"
"[ ..기저귀 팩부터 감성 충만.디자인 너무 예쁘지 않나요.엄마들 사이에서 인기있는 이유가 .여기서도 엿보이네요 ], 긍정 텍스트 확률 : 86.75%"
"[ ..아기기저귀는 아기 피부에 직접 닿고 .하루종일 사용하는 것이다보니 .안전성을 꼭 확인해 보는데..오로라 기저귀는.미국 친환경 기저귀로.미국에서 유아용품 안전관리를 담당하는 .통과한 안전한 기저귀라.믿고 사용할 수 있겠더라고요. ], 긍정 텍스트 확률 : 95.22%"
"[ ..오로라 밴드형 기저귀 사이즈..소형 .중형 .대형 .특대형 이상..우리 아기는 개월차 넘은.튼튼이 아가에요 ㅋㅋㅋ.중형으로 해도 될뻔했는데.혹시 몰라서 대형으로 받았어요. ], 긍정 텍스트 확률 : 74.39%"
"[ ..두께도 너무 얇거나 두껍지 않아서.아기가 기저귀를 차고 있어도.습하지 않고 통풍이 잘 되서 .보송함을 잘 유지해 줘요. ], 긍정 텍스트 확률 : 86.20%"
"[ ..밴드형은 노란색밴드 위 벨크로를 .맞춰서 부착해주면 끝.손쉽게 기저귀를 채워줍니다..보통 기어다닐때 팬티형을 쓰지만.외출할때는 밴드형이 더 편하더라고요.팬티형], 긍정 텍스트 확률 : 73.12%"
"[밴드형 둘다 있으면 편하겠죠. ], 긍정 텍스트 확률 : 60.54%"
"[ ..기저귀 옆 샘방지라인도 되어있어 .뒤집기를 하는 아기도 안심하고 사용할 수 있어요.통통한 우리 꿀벅지도 싹 감싸준답니다..기저귀가 옆으로 새서 .이불빨래할 걱정을 줄여줬어용 ], 긍정 텍스트 확률 : 60.71%"
"[ ..소변알림선이 없는 기저귀는 .확인하기 불편한데..오로라기저귀는 엄마와 아기를 위해 .소변알림선이 되어있어요.소변이 닿으면 노란색에서 파란색으로..이런 사소한 부분까지 아기를 생각해주는 오로라.축축한 기저귀 엄마가 빨리 알아차려줄게. ], 긍정 텍스트 확률 : 98.36%"
"[ ..감성적인 기저귀는 오로라기저귀.기저귀 패션도 넘 귀여워요.디자인부터 기능까지.두마리 토끼를 잡은 오로라 .기저귀 유목민에게 추천합니다 ], 긍정 텍스트 확률 : 96.12%"
"[ .오로라로부터 제품을 무상으로 .지원받아 작성된 후기입니다. ], 긍정 텍스트 확률 : 55.52%"
"[ .만지고 싶은 아기 피부 그대로 부드럽고 수순한.오로라 스킨핏 팬티기저귀. ], 긍정 텍스트 확률 : 63.97%"
"[ 새벽이란], 긍정 텍스트 확률 : 70.36%"
"[값지고 행복한 아침을 맞기 위해반드시 필요한 시간입니다.이 시간 속에서 우리는 성장했고더 나은 사람이 되었습니다.단 한번뿐인 이 평화롭고], 긍정 텍스트 확률 : 82.64%"
"[소중하며 풍부한 새벽의시간은 누구에게나 찾아오지만 누구에게도 같지 않습니다.마치 아이의 시간처럼 말이죠.한 명의 어른이 되기 위해 모두가 경험하는 시간이지만각자의 가치와 소중함은 남다르기 때문에], 긍정 텍스트 확률 : 99.50%"
"[오로라는 나의 아이와가족이 경헙하는 가장 아름다운 새벽의 시간을 만들어갑니다.· 의 기원이 되는 는 라틴어로 새벽을 뜻합니다·], 긍정 텍스트 확률 : 70.83%"
"[ 꺄 너무 귀여운 딸기아이와 엄마 마음을 사로잡는 디자인친환경 수성잉크 사용과 접착제 사용의 최소화친환경 인증 공장설비 완비하이테크 신기술 주이코 설비 도입 공정을 거쳤다고해요그리고기저귀에 소변이 닿으면 노란색 줄이 녹색으로 변해서한눈에 알아볼 수 있는 피카부 소변 알림줄과피니쉬 테이프로 간편하고 깔끔한 처리를 할 수 있을 것 같아요 ], 긍정 텍스트 확률 : 99.80%"
"[ 소중한 아기의 부드러운 피부를 닮은 베어스킨 원단공기가 가볍게 순환되는원단을앞뒷면에 아낌없이 사용해서 그런지 부드러움과 보송보송이 두배 ], 긍정 텍스트 확률 : 76.48%"
"[내가 기저귀유목민으로 매 번엄청난 고민을 갖고 있을 때다른 아이의 엄마께서 추천해 준 기저귀가위멮에 할인으로 떴길래 사봄내 블로그에 있는 기저귀리뷰들은모두 내돈으로 사서 한 솔직후기라는 점..ㅎㅎㅎㅎ .?기저귀추천기저귀추천 .?개월기저귀개월기저귀 .?오로라기저귀오로라기저귀 .?오로라스킨핏오로라스킨핏 .?오로라팬티기저귀오로라팬티기저귀 .?팬티기저귀추천팬티기저귀추천 .?낮기저귀추천낮기저귀추천 ], 긍정 텍스트 확률 : 100.00%"
"[ 기저귀 박스는 꽤나 화려했다 ㅎㅎ사실 인친분께서 알려주기 전에는이런 기저귀가 있는지조차 몰랐던 기저귀..ㅋㅋ ], 긍정 텍스트 확률 : 93.47%"
"[ 어머 멘트 아름답네요..], 긍정 텍스트 확률 : 91.44%"
"[ 집에 지난번에 사뒀던 기저귀가두 종류나 남아있는데도킨도빌로기또 새 기저귀를 사들인 유목민엄마.. ], 긍정 텍스트 확률 : 65.05%"
"[ 오로라가 라틴어로 새벽이란 뜻이고일단 기저귀의 의미는 꼬ㅐ 멋지당.. ], 긍정 텍스트 확률 : 55.96%"
"[ 오로가 기저귀는 디자인이 귀엽기다고유명하던데 내가 산 라지사이즈팬티기저귀에는 딸기 그림이 귀엽게 박혀있었다 ], 긍정 텍스트 확률 : 55.15%"
"[ 여느 팬티기저귀와 다를 거 없이뒷면에 테이프가 있어서버릴 땐 돌돌 말아서 버리면 된다딸기 하나가 똭 보이는게 상당히 귀엽네? ], 긍정 텍스트 확률 : 79.00%"
"[ 기저귀 이름답게 아가 옷핏도 넘 좋다기저귀를 찬듯 안찬듯 아주 자연스러웠어스키니 입어도 되겄는디??????ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ기저귀유목민.. 정착하려는 찰나..밤기저귀에서 마이너스....우리아가는 많이 먹어서 많이 싸는데..새벽 네시쯤 아가가 울어서 깨보면이불에 지도를 그려놨다..기저귀를 찼는데도 넘쳐서 우는 것...그래서 기저귀를 갈아주다 보면기저귀가 엄청나게 무겁다흡수력은 그다지 좋지 않은 듯 하다..부드럽고 착용감좋고 디자인도 좋아서매우 마음에 들었었는데...흑흑이렇게 또 정착을 하지 못하는구나..낮기저귀로는 추천밤기저귀로는 비추밤기저귀찾아서 또 떠나야겠다...총총........... ], 긍정 텍스트 확률 : 96.96%"
"[ 요번에 런칭된미국 프리미엄 친환경 기저귀 인데 얇고 편안하고 흡수력이 좋아서 밤기저귀로 괜찮다고주위에서기저귀 추천 을 많이 받아 냉큼 아들 밤기저귀로 주문 했어요항상 좋은것만 해주고 싶은게 엄마 마음인거 같아요♡ ], 긍정 텍스트 확률 : 99.61%"
"[ 오로라의 뜻이 라틴어로새벽 이라는 뜻이래요기저귀에도 따뜻한 글이 써져있어서 육아에 대해서 다시한번 되집어 보게 되네요음...나 육아 애키우기 잘하고 있는거 맞지..? ], 긍정 텍스트 확률 : 99.17%"
