"[ 우리 꼬야 아기집 확인한게 주차였는데...주라니...엄마 아빠가 걱정 안하고 잘 품고 있게 도와준 건강한 꼬야에게 감사하다♡ ], 긍정 텍스트 확률 : 62.59%"
"[생애 주기별 한복의 의미회 림프 순환으로 동안 마사지법회 동안 의사가 알려주는 홈케어★회 노안을 부르는 사.소.한. 습관회 개의 화장품으로 완성하는 동안 메이크업회 중년 스타일링. 자신의 체형 알기회 중년 스타일링. 깔맞춤★회 아재파탈 위 덕화의 이덕화회 아재파탈 위 여심 저격 꿀성대 유준상회 아재파탈 위 시청률 메이커 최수종회 인절미의 무한 변신연남동 떡집회 이런 식빵 식빵 속 반고흐 작품회 소금과 크림의 조화 소금크림빵회 동네주민 모두 추천하는 망원동 떡집회 당일 생산], 긍정 텍스트 확률 : 65.31%"
"[바깥에서 안으로회 일석조 베이킹소다 지우개회 요즘 뷰덕들의 인싸템 이데베논 화장품회 아토피 잠재우는 호호바 보디 오일. 방탄소년단회 아이와 함께 쓰는 천연 화장수회 현대인들 섭취하는 만성 염증 유발 식품회 원인 없는 통증], 긍정 텍스트 확률 : 91.04%"
"[만성 염증이 원인회 만성염증 잡는 저수분 토마토 카레★회 만성 염증 줄이는 생활 습관회 과일의 배신 과일은 탄수화물 음식회 퇴직 준비 비책★ 재테크회 직장인이라면 누구나 찾아오는 은퇴회 엄두 못 낼 증후군 떨쳐내기회 소자본 홈창업 노하우 大공개회 뜨개질 장인의 대박 비결회 코털뽑기 잘못하면 뇌수막염까지...코털관리법회 올바른 수면자세 大공개회 엎드려자면 녹내장에 안면비대칭 발생확률↑회 변비탈출 자세부터 식습관까지회 머리감고 수건으로 머리두르기는 탈모의 원인회 혼행러들의장흥 소등섬회 혼자 떠나는 여행의 노하우회 장흥의 맛 천년의 차 청태전 장흥삼합회 여수 여행 인생샷은 이곳♥ 조각 공원회 바다향 듬뿍 새조개 샤브샤브♬회 에 올린 맛집 후기], 긍정 텍스트 확률 : 99.64%"
"[참송이의 차이점회 비타민 가 가득한 팽이버섯회 고급지다♬ 송로버섯 안심 스테이크★회 숙박과 전통문화체험을 한 번에 한옥 예술관회 몸과 마음 치유하는 잣나무 숲★회 동심 가득♥ 영화 주인공처럼 자라섬 열기구회 가평의 명물 잣’ 고소한 잣 요리 한 상회 일 내내 봄을 만날 수 있는 곳회 친척 빚이 내게? 상속은 어디까지?회 의사 사위 위해 대출로 집 장만한 장인회 아내 몰래 빚을 낸 남편], 긍정 텍스트 확률 : 99.95%"
"[결핵의 차이는?회 전문가 추천 가성비 甲 인테리어회 인테리어 황금 비기★회 시니어 미인 대회 대상 서지민의 관리법회 년 인테리어 트렌드♥회 미디어 중독’ 자녀를 바꾼 공간의 힘회 초기 관절염 자가 진단 테스트회 젊은층에서 늘어나는 퇴행성 관절염 환자회 무릎 관절 강화하는 운동법회 무릎 건강 해치는 하이힐], 긍정 텍스트 확률 : 92.54%"
"[도토리 김치전병 레시피회 충격 야외보다 많다? 주방 미세먼지], 긍정 텍스트 확률 : 50.35%"
"[해결법은?회 칭찬 번에], 긍정 텍스트 확률 : 51.97%"
"[마음 근육 키우기회 봄맞이 홈가드닝♥ 곰손도 따라하는 초간단 꽃꽂이회 난 오늘만 산다 오늘 내 마음에 귀 기울이기회 신점 때문에 결혼이 틀어진 사연회 관계의 부가가치세 법칙 부가가치세 법칙의 고수회 경조사에만 연락 오는 얄미운 친구회 의사], 긍정 텍스트 확률 : 99.97%"
"[약사가 피하는 음식 위 탄산음료회 소 곱창 건강하게 먹는 방법회 국물 없는 라면은 나트륨이 적을까?회 침샘 폭발 홍콩 야시장 투어★회 재방문 많은 여행지 홍콩 신상신상 타이쿤회 이색적인 수상마을 에버딘의 수상식당♥회 보험금이 확연히 다른 경계성 종양악성 신생물회 과잉 진료 후 오진], 긍정 텍스트 확률 : 98.80%"
"[보상 받을 수 있을까?회 건강검진 후 의사 실수로 병을 방치했다면?회 부족한 수분 채워주는 옥수수수염차 묵밥회 물도 보약이 되는 물 잘 마시는 법회 나도 혹시 만성탈수? 자가진단법회 책을 통해 배운 재테크로 절약왕 되기회 오븐없이 만드는 바나나 푸딩 레시피회 북테크 고수의 다독하는 법회 차세대 슈퍼 푸드 타이거너트회 이색 견과류왕의 보약 연자육회 오메가 덩어리 견과류 사차인치회 실내에서 즐기는 개썰매가 있다?회 산머루로 만드는 나만의 와인♥회 미식가가 반한 파주일산 맛집회 일방적인 파혼 통보 현실적인 손해배상회 이혼 시 재산 분할 퇴직금도 재산 분할?회 결혼정보회사], 긍정 텍스트 확률 : 57.24%"
"[붓기 잡는 우엉찹쌀구이 만들기회 완벽한 준비 과정], 긍정 텍스트 확률 : 94.48%"
"[글에는 독毒이다?회 영상 시청보다 더 쉬운 식당에서 아이 밥 먹이기회 메모하는 습관이 글을 잘 쓰는 사람을 만든다회 집에서 만드는 수제 프렌치 토스트♥회 수빈슬기의 제철 과일 듬뿍 들어간 디저트 가게회 보민재성의 최애 디저트 맛집 종로구 수제 케이크회 후각 장애], 긍정 텍스트 확률 : 99.82%"
"[당신의 선택은?회 지방은 내리고 콜라겐은 높인 닭 날개 간장조림회 얼굴 주름 쫙 펴주는 운동법 라인 미인 만들기회 아침식사로도 좋은 율무 잣죽♥회 창업 초보가 놓치는 지출회 창업 전문가의 비책], 긍정 텍스트 확률 : 94.75%"
"[대박집쪽박집 방문회 연 매출 억 원 고명환 식당의 비법 공짜 마케팅’회 칼로리 걱정저칼로리 실곤약 잡채회 갈비찜 조리 할 때 가장 중요한 것 핏물 빼기회 가족들의 건강을 위해 저칼로리 갈비찜회 아기자기한 매력의 종로구 익선동♥회 숨은 매력이 있는 중구 을지로♥회 서점과 라이프 스타일숍의 만남 띵굴굴회 집을 내 놓지 않았는데 집을 보러온 사람?회 진화하는 보이스 피싱 아는 만큼 예방한다회 부동산 계약할 때 꼭 확인해야할 신분증], 긍정 텍스트 확률 : 99.98%"
"[등기부등본회 액체괴물이라 불리는 어른들의 장난감의 정체는?회 실전 대화 기술 웃으면서 거절하는 방법회 본격 슬라임 만들기회 연령대별 추천 갱년기에 필요한 건강기능식품회 건강기능식품], 긍정 텍스트 확률 : 68.04%"
"[언제 먹어야 효과가 좋을까?회 건강기능식품 구매할 때 인증마크 확인하자회 내집 마련 청약이 답이다], 긍정 텍스트 확률 : 52.76%"
"[취업사기일까요?회 인감증명서 원본인지 확인하는 방법회 인감도장과 일반 도장의 차이는?회 휴가지에 소설책과 함께 가져가면 좋은 독서 신상템 열전. 여자친구회 아나운서 인들의 책 읽는 방법은?회 내 주변에 있는 여성들을 이해하기 위해 읽으면 좋은 책 그녀 이름은’회 전자레인지로 만드는 연어스테이크♥회 전자레인지활용법 깨볶기회 당신의 칼꽂이는 깨끗한가요?회 침실공간 활용법 작은 방을 침실로회 신년 재테크 계획 카드 사용 세부 명세서 받기회 두 번째 발상의 전환 집중의 공간회 집에서 만드는 안전한 손난로♥회 안전하게 사용하면 세상 좋은 전기장판회 뽁뽁이 진짜 따뜻할까?회 서울에서 대마도까지 대마도 여행 꿀팁회 배로 가는 해외여행 첫 번째 도시 청도회 대마도의 향토음식 이시야키 편의점 먹방회 세 명사가 전하는 새해 덕담회 남 얘기 같지 않은 취미만 개 사연자회 걱정 많은 당신 걱정하지 마세요회 얼굴빛 환하게 하는 림프순환 마사지회 암도 알 수 있는 소변 검사회 내 몸이 보내는 건강 경고장 대변 검사회 에 선 방탄소년단 세계적인 아이돌★회 퀸으로 세대 통합 영화 보헤미안 랩소디’회연예계 연말 결산위 미투에서 빚투까지회 정동진의 새로운 여행코스 정동 바다부채길♥회 신년맞이 해돋이 여행지 보민채빈팀 정동진회 가심비 甲 서울 하늘공원에서 해돋이 여행회 점집 고소 가능할까?회 이인철 변호사의 실화속으로회 신년운세], 긍정 텍스트 확률 : 100.00%"
"[징크스 등 믿으시나요?회 호빵의 이색적인 변신 호빵 햄버거호빵 프리타타회 옥수수양파치즈의 갓조합 양파 콘 치즈회 겨울 간식의 대표 군고구마 군밤회 손지도로 떠나는 여행기 경복궁 책방 거리회 나만의 책을 만들어주는 북카페회 검지로 떠나는 서울 여행 북촌 한옥마을회 바다의 비타민★ 꼬막의 모든 것회 겨울철 해산물 위 굴회 부산의 필수 코스 대 시장 투어♥회 낭만과 재미를 담은 요트 투어회 강다니엘의 고향 팬 투어 영도’회 부동산 거래], 긍정 텍스트 확률 : 99.86%"
"[내게 베이비 샤워를 해줬던 고마운 헤나가임신을 했다.헤나의 베이비샤워를 응당 내가 해줘야하므로적어도 두달전부터 조금씩 준비해야겠다 생각하고 야금야금 만드는 것중가장 화려한 장식이자 있어보이고 쓸모있는기저귀케이크를 어떻게하면 예쁘게 만들까 고민고민 또 고민.베이비샤워 컬러는 라벤더골드라푼젤을 좋아하는 친구. ], 긍정 텍스트 확률 : 91.69%"
"[이건 나중에 폿팅하도록 하고..일단 기저귀 케이크검색해보니 역시나 미국보다는 한국 퀄리티가 좋더이다.그래도 에서 꽤 이쁜게 많아서 도움이 많이 됬다.역시 핀트레스트는 짱이다 다양한 분야에서 영감을 엄청 많이 주는 착한 앱♡ ], 긍정 텍스트 확률 : 80.94%"
"[라벤더 티슈페이퍼가 없어 찾아헤매던중 에서 발견한 연보라 색깔 기저귀.이런 우연이 ㅎㅎ ], 긍정 텍스트 확률 : 84.37%"
"[기저귀박스 잘라다가 밑에 판때기 만들고집에 굴러다니는 긴 플라스틱 원형막대 잘라서기둥을 세워줬다.은근 재료가 집에 많아서 일사천리였음. ], 긍정 텍스트 확률 : 54.08%"
"[완성된 기저귀케잌을정성스레 한꺼번에 ㅋㅋ투명 셀로판지로 감싸줬다.위에 저 리본을 빨리 감고파서 안달복달했는데마무리짓고 리본을 감으니 으아아아아 드디어 완성했어 정말 후련하다. ], 긍정 텍스트 확률 : 92.48%"
"[ 회 산모교실 추천. .. 일산. 맘스클럽 산모교실 후기 ], 긍정 텍스트 확률 : 62.06%"
"[수 오후시시분], 긍정 텍스트 확률 : 68.64%"
"[회. 년도마지막 일산맘스클럽 산모교실], 긍정 텍스트 확률 : 76.84%"
"[가장 기다리고 기다리던], 긍정 텍스트 확률 : 98.13%"
"[예전부터 맘스클럽 카페에서 활동도 많이 하고 카페를 통해 많은 도움을 받았던지라], 긍정 텍스트 확률 : 54.99%"
"[맘스클럽 산모교실은 더 더욱 기대를 하고 있었답니다.더군다나 년도 마지막 일산에서의 산모교실이라고하니 더 특별한 시간을 보내고 왔답니다. ], 긍정 텍스트 확률 : 90.25%"
"[후기에서도 많이 봤지만 다른 산모교실에서 다루지 않는 ], 긍정 텍스트 확률 : 54.23%"
"[바느질태교 를 한다고해서 준비물이 바늘이랑 가위가 있었어요. 집에서 태교는 잘하지 못해서이번 산모교실에서 태교하구올 생각에준비물도 잘 챙겨두고늦지 않게 현대백화점으로 출동했답니다.행사 당일에는 준비물 잊지않도록 문자를 한번 더 보내주셔서 준비물을 다시한번 확인할 수 있었어요. ], 긍정 텍스트 확률 : 62.28%"
"[ 파란브로치만들기세트 등을 받아들고 입장했답니다.입장하자마자 정각 가되서 진행에 대해 설명해주고 계셨어요.이미 자리는 많은 산모님들이 착석해있었고 저는 안내해주시는분이 자리를 지정해주셔서 자리잡고 앉았답니다.생각보다 정말 많은 산모님들 오셨더라구요. ], 긍정 텍스트 확률 : 98.96%"
"[역시 규모면에서 맘스클럽 산모교실의 인기를 실감 할 수 있었어요. ], 긍정 텍스트 확률 : 87.26%"
"[자리에 앉아있는 동안 진행자분이 안내지 설명과 베일리수 홍대점 카탈로그 관련 정보], 긍정 텍스트 확률 : 57.39%"
"[김명희 식품 연구가 님의 엄마와 아기의 먹거리 이야기 로 시작되었답니다.나오시자마자 인사하시는데 엄청 유쾌하신분 같은 느낌적인 느낌이유식만 년동안 연구하신정말 유명하신 분이더라구요.요리 연구도 많이하시고그러다 임산부들이 먹는 음식에 관심을 가지게 되면서 공부도 많이 하셨다고 하셨어요.지금 임신 중기인데 산모님들 한분 한분 아이컨텍 해주시면서 태명도 물어봐주시고 오늘 먹은 점심은 메뉴가 뭐였는지? 임신중에 먹어도 되는 음식들이 뭐가있는지?점심에 먹음 음식 듣고점수도 메겨주시고 산모님들과 강의시작부터 소통하는 강의가 진행되었답니다. ], 긍정 텍스트 확률 : 59.69%"
"[출산과 동시에], 긍정 텍스트 확률 : 60.97%"
"[.전복미역국은출산후 나오는 오로를 더 잘 배출시켜준다고 알려주셨어요.출산 후 엄마집에 가게 되면 꼭 전복을 넣어서 끓여달라고말하라고 하시더라구요.미역국 먹는순서는], 긍정 텍스트 확률 : 90.34%"
"[전복미역국소고기미역국홍합북어미역국맑은미역국들깨미역국 참깨미역국 각 미역국 마다 일정도 섭취해주는게 좋다고하네요. ], 긍정 텍스트 확률 : 89.75%"
"[먹지말아야할 제품도 말씀해주셨는데..], 긍정 텍스트 확률 : 68.46%"
"[많이 놀랬어요딸기에 관한 내용인데..제철과일이 아니여도 먹을 수 있는 요즘딸기가 추위에도 견딜 수 있게 심해에 사는 생물에서 유전자를 추출해서 딸기에 투여한다네요.그래서 딸기가 겨울철에도 죽지않고 크게 잘자라서 이렇게 키운 딸기를 먹게 되면..이게 유전자 변형식품정말 알고 먹을 수 있으면 좋지만 과정을 다 알수가없는 요즘...되도록이면 제철과일을 먹도록하고 옥수수나 콩 종류도 조심해서 먹어야겠더라구요.그리고 커피는 하루 한잔정도는 괜찮지만 그래도 카페인 성분이 들어간 커피나 홍차보다 ], 긍정 텍스트 확률 : 97.56%"
"[ 결명자차를 자주 마셔주라고 하셨어요.저는 임신하고 커피를 번정도 마셨는데 계속 먹던게아니라 밤마다 잠을 못자서 잘 못먹겠더라구요.카페인의 영향인지 모르겠지만 되도록 안먹으려고 노력중이에요. ], 긍정 텍스트 확률 : 72.09%"
"[아 그리고 임신중 마시는 음료 중에 ], 긍정 텍스트 확률 : 66.42%"
"[허브차도 조심해야하고 특히 ], 긍정 텍스트 확률 : 77.09%"
"[연근을 말씀해주셨는데요. 특히 ], 긍정 텍스트 확률 : 82.73%"
"[궁합이 좋은 음식도 소개해주시고 ], 긍정 텍스트 확률 : 80.79%"
"[부강의 동안 유익한 정보 많이 배우고 알아가는것 같아서 엄청 도움됐던 시간이였어요.그리고 음식 중에 임산부가 먹지 말아야할 음식중에 감이 있었는데 ], 긍정 텍스트 확률 : 97.00%"
"[효과를 떨어트린다고먹으면 안된다고 하더라구요. 요즘 홍시철이 다가와서 먹고싶다는 생각이 들었는데...바로 마음을 접어야겠어요.아 그리고], 긍정 텍스트 확률 : 98.70%"
"[철분에 좋은], 긍정 텍스트 확률 : 73.98%"
"[대추랑 대추차 많이 먹도록 하라고 하셨어요.아 그리고 마지막으로 ], 긍정 텍스트 확률 : 58.51%"
"[우유와 요쿠르트는 칼슘이 풍부해서 산모들이 하루에 개씩 무조건 챙겨먹기를 권하셨어요산모들은 비타민이 부족하기때문에 골고루 잘 먹어줘야하는데 칼슘에는 요쿠르트 꼭 잊지말고 먹어줘야겠어요. ], 긍정 텍스트 확률 : 88.73%"
"[쉬는시간에 경품 응모권을 응모 할 수 있어요.그리고 쉬는시간까지만 부스투어가 가능하다고해서 저는 시는시간 시작과 함께 부스를 돌기 시작저도 구입한카시트도 구경할수 있었구요. 이벤트도 진행하고 있어서 아가 손수건도 받았어요. ], 긍정 텍스트 확률 : 74.48%"
"[제가 부스투어때 받은 이벤트 사은품을 정리해볼게요. 맘스홀릭베이비오디오클립 구독시 ], 긍정 텍스트 확률 : 51.65%"
"[부는 블루래빗과함께 하는 브로치 만들기 시간이였어요.입장때 받은 손과 펠트], 긍정 텍스트 확률 : 79.17%"
"[진행자분이 만드는 방법을 설명해주시는데 산모님들바로 시작하시더라구요.], 긍정 텍스트 확률 : 63.78%"
"[중간중간 설명 잘들어가면서 열심히 초 집중했답니다.], 긍정 텍스트 확률 : 66.82%"
"[토끼눈을 달때는 나눠준 실색이 파랑색만있어서 혹시 검정색 실을 가지고오신분들은 검정색으로 달아주면 깔끔하다고 알려주셨는데 저는 다행이 ], 긍정 텍스트 확률 : 91.34%"
"[부시간에는 다들 엄청 집중하고 바느질태교에 전념하더라구요.저도 시간 안에 끝내고싶어서 정말 초집중하고 분노의 바느질이였던것 같아요.제옆에 분은 손이 어찌나 빠르시던지 분을 남겨두고 끝내서 여유롭게 사진도 찎으시면서 기다리셨어요. ], 긍정 텍스트 확률 : 77.69%"
"[기다리고 기다리던], 긍정 텍스트 확률 : 95.55%"
"[ 부 잘듣고 즐거운 마음으로 이시간을 기다렸다고 할수 있겠는데요? 나만그런건가?아마 산모님들이 가장 기다리고 기다리는 순간이 아닌가싶어요], 긍정 텍스트 확률 : 98.86%"
"[맘스클럽 경품은 진짜 짱짱하기로 소문이 자자한데..저는젖병소독기랑 유축기가가장 가지고 싶었는데 추첨시작과 기대를 해보았어요 ], 긍정 텍스트 확률 : 73.34%"
"[블루래빗에서 준 키재기 벽장식 사은품은], 긍정 텍스트 확률 : 52.48%"
"[진짜 대박인거같아요너무 귀엽고 아가키우면서 꼭 필요할것 같았는데 요긴하게 사용할것같아요.], 긍정 텍스트 확률 : 99.80%"
"[강의 내용도 유익했고 강의시간에 아기를 위한시간 바느질태교도 할 수 있었고], 긍정 텍스트 확률 : 59.50%"
"[특히 보험이나 금융설명없는 강의], 긍정 텍스트 확률 : 61.01%"
"[지금 다녀본 산모교실 중에서 인지도도 높고 참여율도 높은 알찬 산모교실], 긍정 텍스트 확률 : 78.51%"
"[정말 강력 추천할수 있는 유익한 산모교실이였답니다], 긍정 텍스트 확률 : 89.91%"
"[혹시 갈지?말지?고민하고 있는 산모님분들은꼭 가보시라고 권해주고싶은 대 산모교실이랍니다. ], 긍정 텍스트 확률 : 70.38%"
"[어느덧 내 옆엔 홀라가 뙇 태어났다 ㅎㅎㅎ], 긍정 텍스트 확률 : 69.04%"
"[짧다면 짧고 길다면 길었던 개월], 긍정 텍스트 확률 : 58.00%"
"[홀라가 뱃속에 있었던 마지막 날 사진], 긍정 텍스트 확률 : 91.70%"
"[하루종일 움직였던 날], 긍정 텍스트 확률 : 75.16%"
"[이틀이], 긍정 텍스트 확률 : 51.21%"
"[예정일이였던 새해 첫 날 월 일이 지나고], 긍정 텍스트 확률 : 87.68%"
"[불안한 맘에 남펴니와 병원 방문], 긍정 텍스트 확률 : 82.44%"
"[괜히 기분이 좋아 컨디션 엄청 괜찮았는데], 긍정 텍스트 확률 : 68.99%"
"[의사쌤이], 긍정 텍스트 확률 : 51.21%"
"[남펴니 없었음 펑펑 울었을 듯], 긍정 텍스트 확률 : 71.56%"
"[지금 생각하면 뭐 그런 상황이였음], 긍정 텍스트 확률 : 67.78%"
"[그때 당시엔 정말 싫었었다....ㅠㅠ], 긍정 텍스트 확률 : 78.00%"
"[그럼 예정일이 하루밖에 지나지 않았고], 긍정 텍스트 확률 : 63.90%"
"[나랑 아가가 아직 괜찮으니], 긍정 텍스트 확률 : 80.54%"
"[잠도 한 숨 못자고 남펴니 아침 챙겨주려고], 긍정 텍스트 확률 : 50.09%"
"[이슬이 비쳤고 양수도 탁 터졌다], 긍정 텍스트 확률 : 76.09%"
"[잘 낳을 수 있었다...], 긍정 텍스트 확률 : 59.30%"
"[무통관장은 함 ㅠㅠ], 긍정 텍스트 확률 : 86.20%"
"[요것은 출산후기 때 자세히....ㅎㅎㅎ ], 긍정 텍스트 확률 : 74.55%"
"[홀라 만날 하루하루 기다리며], 긍정 텍스트 확률 : 93.26%"
"[제일 행복했던 시간이였던 그 쯤], 긍정 텍스트 확률 : 90.12%"
"[남들은 이미 준비 끝낸], 긍정 텍스트 확률 : 54.85%"
"[홀라만의 공간], 긍정 텍스트 확률 : 52.07%"
"[의 동물농장 가렌드와], 긍정 텍스트 확률 : 79.37%"
"[홀라의 밀린 빨래도 몰아서 하나씩하나씩 했는데], 긍정 텍스트 확률 : 59.40%"
"[집안에서 이웃님 ], 긍정 텍스트 확률 : 50.95%"
"[르주르의 아가아가 한 냄새가 폴폴나서 좋았던], 긍정 텍스트 확률 : 61.24%"
"[르주르 감성세제], 긍정 텍스트 확률 : 71.85%"
"[천 기저귀 ㅎㅎ], 긍정 텍스트 확률 : 76.14%"
"[일단 빨아서 잘 개어뒀다], 긍정 텍스트 확률 : 67.55%"
"[넘나 어려움...ㅠㅠ], 긍정 텍스트 확률 : 78.19%"
"[사용해봤는데 향은 나지 않지만 하얀 빨래 하고 나면], 긍정 텍스트 확률 : 61.56%"
"[확실히 일반 세제와는 다른 느낌], 긍정 텍스트 확률 : 86.33%"
"[움직일 때마다 저거 누르라고 하는게], 긍정 텍스트 확률 : 80.32%"
"[마치 게임하는 기분이 들었던 ㅋㅋ], 긍정 텍스트 확률 : 59.93%"
"[주에 찾아 온 조산기 ], 긍정 텍스트 확률 : 73.34%"
"[그래도 잘 돌아다니고 ], 긍정 텍스트 확률 : 50.44%"
"[운동도 하고 막바지 산모교실도 다니고 했다], 긍정 텍스트 확률 : 52.78%"
"[그런데... 주차 진입 후 의사쌤이 운동 얼마나 하냐고 물어보셔서], 긍정 텍스트 확률 : 54.81%"
"[운동량이 많다며 조산기 ], 긍정 텍스트 확률 : 59.62%"
"[진짜로 의사쌤 말 듣고 나서 일주일 동안은 감기 기운도 있고 해서], 긍정 텍스트 확률 : 59.69%"
"[일주일 내내 집에만 있었는데], 긍정 텍스트 확률 : 71.98%"
"[비타민 수치는 너무 낮아서 주사를 맞아야 하는 상황까지], 긍정 텍스트 확률 : 51.91%"
"[빠진 날도 많았다 그렇게 ], 긍정 텍스트 확률 : 66.18%"
"[주차 쯤 먹기 시작해야 좋은 약들인데], 긍정 텍스트 확률 : 61.92%"
"[이 고충을 아들 딸 둘 낳고 잘 사는 육아맘인 친구한테], 긍정 텍스트 확률 : 82.46%"
"[비타민 수치가 낮으면 조산의 위험성이 있을 수 있으니 임신 중 꾸준히 복용하는 것이 좋다], 긍정 텍스트 확률 : 94.45%"
"[주주 튼살 발생베이비샤워 ], 긍정 텍스트 확률 : 62.91%"
"[주 넘어가니 튼살], 긍정 텍스트 확률 : 62.91%"
"[여기저기 말했더니 그 정도는 당연히 생기는거라고], 긍정 텍스트 확률 : 59.19%"
"[선물 받은거 ], 긍정 텍스트 확률 : 50.43%"
"[특히 튼살오일엔 바이오오일이 좋다고 하는데], 긍정 텍스트 확률 : 69.32%"
"[한 통 더 구매해서 벌써 두통 째 사용중 ], 긍정 텍스트 확률 : 69.25%"
"[뭐든지 같이 하면 즐거운친구들], 긍정 텍스트 확률 : 61.60%"
"[는 꼭 하고팠는데], 긍정 텍스트 확률 : 52.09%"
"[정말 잊지 못할 추억을 남겨줘서 고마웠던], 긍정 텍스트 확률 : 91.36%"
"[홀라한테 꼭 보여주고 싶은 사진들 모아모아], 긍정 텍스트 확률 : 62.71%"
"[나중에 이모들이랑 진짜 즐겁고 행복했다고 말해줘야지], 긍정 텍스트 확률 : 95.33%"
"[주주 먹어도 먹어도 배고픈 ], 긍정 텍스트 확률 : 76.26%"
"[많이 먹게 되니까 막판 조심하란 말....], 긍정 텍스트 확률 : 69.46%"
"[진짜 맞았다 ㅎㅎㅎㅎ], 긍정 텍스트 확률 : 70.94%"
"[막판에 살이 급격히 찌면 아가도 살이 찔 수 있으니], 긍정 텍스트 확률 : 63.68%"
"[조심해야한다고....ㅠㅠ], 긍정 텍스트 확률 : 77.61%"
"[먹어도먹어도 배고파서], 긍정 텍스트 확률 : 76.26%"
"[엄청 잘 먹고 다녔다....], 긍정 텍스트 확률 : 80.64%"
"[제일 기억에 남는 아웃백 먹방 ㅋㅋㅋㅋ], 긍정 텍스트 확률 : 93.54%"
"[오랜만에 만난 대학동기들이랑], 긍정 텍스트 확률 : 59.67%"
"[시간 기다렸다 진짜 오랜만에 가본 아웃백], 긍정 텍스트 확률 : 91.18%"
"[꾸역꾸역 기다려줬다 고마와.....], 긍정 텍스트 확률 : 92.20%"
"[그 날은 혼자 개나 먹은 것 같다], 긍정 텍스트 확률 : 71.98%"
"[사진보니 또 가고 싶네....], 긍정 텍스트 확률 : 66.41%"
"[내 담당 의사쌤은 진짜 쿨하셔서], 긍정 텍스트 확률 : 52.48%"
"[근데 카페인이 좋지 않은건 사실이라], 긍정 텍스트 확률 : 87.30%"
"[이쯤돼서 좀 조심해야겠다 싶어], 긍정 텍스트 확률 : 57.61%"
"[그래도 스타벅스는 맨날 가서 다이어리도 받고 했다지? ㅎㅎㅎ], 긍정 텍스트 확률 : 64.79%"
"[ 기억을 더듬어 써 본 지금까지의 홀라와 함께 한몸상태 변화와], 긍정 텍스트 확률 : 59.73%"
"[정말 신기하고 소중한 나의 아가], 긍정 텍스트 확률 : 84.57%"
"[초보엄마], 긍정 텍스트 확률 : 53.00%"
"[하루하루 함께 예쁜 추억 만들어가고 싶다 ], 긍정 텍스트 확률 : 90.52%"
"[기저귀케익만들기참쉽죠잉엄마표셀프백일파티출산선물기저귀케익으로해요 ], 긍정 텍스트 확률 : 63.87%"
"[보람도 있고요 선물할때 엄청 뿌듯하다고요받는사람도 넘나 좋아하는 기저귀케익이예요 ], 긍정 텍스트 확률 : 90.96%"
"[남자 아이들의 엄마표셀프백일상에 주로 올라가는 푸른색 계열의 백일남아 기저귀케익이예요같은 셋트로 다양한 연출만드는 손의 센스를 사알짝 엿볼수 있다고요ㅎ ], 긍정 텍스트 확률 : 97.65%"
"[기저귀케익만들기백일여아 ], 긍정 텍스트 확률 : 59.03%"
"[남자 아이들의 푸른색 기저귀케익만들기가 있다면], 긍정 텍스트 확률 : 81.17%"
"[여자아이들의 블링블링 핑크색 기저귀케익만들기 당연히 있겠죠?같은구성 다른 느낌ㅎ연출하기 나름이라는거간단한 설명서 함께 동봉되니 기본만 만들어놓으시면 꾸미기는 맘껏 할수 있답니다.ㅎ ], 긍정 텍스트 확률 : 86.93%"
"[ 소제가 펠트라 더 튼튼하고 새련된 디자인으로 많은 사랑을 받고 있답니다 ], 긍정 텍스트 확률 : 87.92%"
"[ 초보엄마들의 활용도 높은 기저귀케익만들기를 위해기저귀고르는 팁 하나 ], 긍정 텍스트 확률 : 53.10%"
"[베이비랜드의 홈페이지에 올려주신 고객님들의 정성스런 후기사진과 함꼐 본 기저귀케익만들기 어떠셨나요?ㅎ가까운 이웃 ], 긍정 텍스트 확률 : 72.07%"
"[직장동료들과 같이 주문해서 나눴음 ㅎㅎㅎㅎ저게 다 내거라면 한동안 생리대걱정은 없을텐데 ... ], 긍정 텍스트 확률 : 92.70%"
"[대나무 성분으로 그날 민감한 피부에도 트러블없이 사용가능두번째], 긍정 텍스트 확률 : 52.99%"
"[무색소], 긍정 텍스트 확률 : 51.42%"
"[무염소표백몸에 좋지 않은건 다 뺏어요 또 불만족시환불제도로 왠지 더 믿음직스러움제품에 대한 자신감이랄까 ], 긍정 텍스트 확률 : 53.06%"
"[일단 포스팅을 쓰기 전 제대로 된 후기를 겪어보고자소쨩은 개월], 긍정 텍스트 확률 : 73.06%"
"[혹여 새면 어쩌나 했지만그런 불상사는 ], 긍정 텍스트 확률 : 56.38%"
"[ 아직 ], 긍정 텍스트 확률 : 53.68%"
"[ 생리통의 ], 긍정 텍스트 확률 : 52.07%"
"[ 생리양이 ], 긍정 텍스트 확률 : 51.21%"
"[ 때 ], 긍정 텍스트 확률 : 67.52%"
"[ 그래도 ], 긍정 텍스트 확률 : 69.84%"
"[ 계속 ], 긍정 텍스트 확률 : 75.16%"
"[ 생리대 정착하고싶은데현재까진 만족스러운 안전한 생리대 청담소녀 생리대쭉 사용해보고 달라진게 있다면 후기 새로 올리겠습니당 ㅋㅋㅋ내돈 주고 구매한 후기 ], 긍정 텍스트 확률 : 84.24%"
"[ 돋움나눔고딕], 긍정 텍스트 확률 : 61.46%"
