"[ 열심히 검색해서 착한성분에 리틀트윅보단 조금 비싸지만 그래도 가격만족도 되는 제품을 바로 구매했습니다.브랜드 인데요 오가닉 제품으로 구성된 베이비 파우더 입니다. ], 긍정 텍스트 확률 : 74.04%"
"[이렇게 구강티슈까지 나오는 줄은 몰랐네요. 역시 믿고 사용할 수 있는 회사 제품인것 같아요. ], 긍정 텍스트 확률 : 67.14%"
"[도어안전락 이네요 . 창문을 자주 열어놓게 되는 봄], 긍정 텍스트 확률 : 65.21%"
"[가을에 간혹 바람이 세게 불어 문이 쾅 닫히는 경우가 있죠.. 어른들도 그 소리에 놀라는데], 긍정 텍스트 확률 : 75.77%"
"[신생아들은 더 크게 놀라니 조심해야할 것 같아요. . 그리고 아기들이 기거나 걷기 시작하면 문틈에 손이 끼이는 사고도 자주 일어나니 더욱 필요한 용품이네요. . 이런 것까지 세심하게 고민하셔서 임신축하선물에 넣어주시다니 대단하세요 ], 긍정 텍스트 확률 : 90.71%"
"[ 종 모두 다 너무 유용한 제품들로만 임신박스 가 꾸려져있어요 . 아마 어떤 분이 받으셔도 굉장히 기분 좋은 선물이 될 것 같아요. . 저역시 월에 태어날 꿀떡이를 위해 하나하나 감사한 마음으로 잘 사용하겠습니다 . 이상으로 제 회 잇츠마미 임신박스 후기를 마칠께요 .. 제회 잇츠마미 임신박스는], 긍정 텍스트 확률 : 99.10%"
"[월 일 까지 신청을 할 수 있답니다. 모두모두 신청해보세요 ... .. ], 긍정 텍스트 확률 : 58.11%"
"[...? 잇츠마미...? 임신박스...? 잇츠마미임신박스...? 신생아...? 임신...? 선물...? 축하박스...? 임신축하선물...? 무료배송...? 물티슈...? 후기...? 늦둥이셋째맘 ], 긍정 텍스트 확률 : 73.88%"
"[연휴가 끝나고 바로 보내주셔서 금방 당첨 선물을 받아볼 수 있었어요. . 요렇게 핑크핑크한 택배봉지 에 임신축하선물이 담겨 집으로 배송이 온답니다. ], 긍정 텍스트 확률 : 52.00%"
"[. 두근두근 설레이는 마음으로 개봉을 해보았어요.. ], 긍정 텍스트 확률 : 67.63%"
"[손싸개 죠 . 요 손싸개가 위에 있는배냇저고리와 같은 세트 네요 베이지색 얼룩 무늬 똑같죠? . 손싸개는 첫째둘째 아기때 가장 유용하게 잘 썼던 용품 중 하나였어요 그래서 더 반갑더라고요ㅎㅎ .. 그리고 파란색], 긍정 텍스트 확률 : 99.86%"
"[아기양말. 산모교실을 다니면서 여기저기서 받은 신생아 양말들이 꽤 모였어요.. 그런데 이 양말은 신생아용보다 조금 큰 사이즈라 오히려 더 좋더라고요. 잘 보관했다가 아이 세 정도에 신기면 딱 좋을 것 같아요 .], 긍정 텍스트 확률 : 83.41%"
"[ 거즈 손수건와이즈콜린 스카프빕 . 역시 신생아때 가장 많이 사용하는 ], 긍정 텍스트 확률 : 69.62%"
"[손수건. 아기 입도 닦아주고 목에도 둘러주고], 긍정 텍스트 확률 : 53.17%"
"[스카프빕 . 제가 아이들을 키울 땐 요런 스카프빕이 흔치 않았답니다. 아이가 감기에 걸렸거나 찬바람을 막아주는 용으로 그냥 조금 큰 손수건 같은 걸 목에 둘러주곤 했어요 . 그런데 요즘은 손수건보다 훨씬 사용하기 쉽고], 긍정 텍스트 확률 : 50.17%"
"[모양도 이쁜 스카프빕들이 많이 나와 주변 아기 엄마들이 사용하는것을 많이 봤어요 . 저도 요즘 엄마들 트렌드에 맞게 잘 사용할 수 있겠네요ㅋㅋ ], 긍정 텍스트 확률 : 87.99%"
"[하트미역 산모식 미역국에 필수 . 어쩜 이렇게 예쁜 하트모양으로 미역을 만들어서 판매하실 생각을 하셨을까요? 아까워서 어떻게 먹죠?ㅎㅎ . 선물을 주시는 분의 마음이 느껴져 더 따뜻한 미역국이 될 것 같아요 . 유통기한도 넉넉해서 더 좋네용 ], 긍정 텍스트 확률 : 92.33%"
"[ 피셔프라이스 항균면봉. 이것도 넘 맘에 드는 선물입니다. . 아기 목욕 후 귀나 콧구멍을 면봉으로 살살 닦아줘야해서 꼭 필요한 필수 준비용품 중 하나였는데], 긍정 텍스트 확률 : 97.94%"
"[아직 구매하지 못한 저에게 넘 반가운 물품이네요ㅎ . 개 나 들어있어 꽤 오랫동안 사용할 수 있을 것 같고], 긍정 텍스트 확률 : 83.48%"
"[휴대용 물티슈 . 역시 오가닉이 씌여있으니 안심하고 우리 아기들에게 사용할 수 있는 베이비 전용 물티슈랍니다 ], 긍정 텍스트 확률 : 90.25%"
"[공갈젖꼭지 같은 아기용품 담을 때도 아주 유용하게 쓰일 것 같아요 . 거기에 이쁜 그림까지 새겨져 있어 아이들이 밋밋한 지퍼백보다는 훨씬 좋아할 것 같아용 . 크기는 어른 손바닥 정도 되는 사이즈랍니다.], 긍정 텍스트 확률 : 61.94%"
"[구강티슈. 사용연령세 . 스팀멸균 처리가 되었다니 우리 아기들에게 안전하게 사용할 수 있는 구강티슈네요 . 저희 아이들 어렸을 때 마이비에서 나온 치약과 젖병세정제를 줄곧 사용했었는데], 긍정 텍스트 확률 : 91.92%"
"[이렇게 구강티슈까지 나오는 줄은 몰랐네요. 역시 믿고 사용할 수 있는 회사 제품인것 같아요. ], 긍정 텍스트 확률 : 67.14%"
"[도어안전락 이네요 . 창문을 자주 열어놓게 되는 봄], 긍정 텍스트 확률 : 65.21%"
"[가을에 간혹 바람이 세게 불어 문이 쾅 닫히는 경우가 있죠.. 어른들도 그 소리에 놀라는데], 긍정 텍스트 확률 : 75.77%"
"[신생아들은 더 크게 놀라니 조심해야할 것 같아요. . 그리고 아기들이 기거나 걷기 시작하면 문틈에 손이 끼이는 사고도 자주 일어나니 더욱 필요한 용품이네요. . 이런 것까지 세심하게 고민하셔서 임신축하선물에 넣어주시다니 대단하세요 ], 긍정 텍스트 확률 : 90.71%"
"[ 종 모두 다 너무 유용한 제품들로만 임신박스 가 꾸려져있어요 . 아마 어떤 분이 받으셔도 굉장히 기분 좋은 선물이 될 것 같아요. . 저역시 월에 태어날 꿀떡이를 위해 하나하나 감사한 마음으로 잘 사용하겠습니다 . 이상으로 제 회 잇츠마미 임신박스 후기를 마칠께요 .. 제회 잇츠마미 임신박스는], 긍정 텍스트 확률 : 99.10%"
"[월 일 까지 신청을 할 수 있답니다. 모두모두 신청해보세요 ... .. ], 긍정 텍스트 확률 : 58.11%"
"[...? 잇츠마미...? 임신박스...? 잇츠마미임신박스...? 신생아...? 임신...? 선물...? 축하박스...? 임신축하선물...? 무료배송...? 물티슈...? 후기...? 늦둥이셋째맘 ], 긍정 텍스트 확률 : 73.88%"
"[연휴가 끝나고 바로 보내주셔서 금방 당첨 선물을 받아볼 수 있었어요. . 요렇게 핑크핑크한 택배봉지 에 임신축하선물이 담겨 집으로 배송이 온답니다. ], 긍정 텍스트 확률 : 52.00%"
"[. 두근두근 설레이는 마음으로 개봉을 해보았어요.. ], 긍정 텍스트 확률 : 67.63%"
"[손싸개 죠 . 요 손싸개가 위에 있는배냇저고리와 같은 세트 네요 베이지색 얼룩 무늬 똑같죠? . 손싸개는 첫째둘째 아기때 가장 유용하게 잘 썼던 용품 중 하나였어요 그래서 더 반갑더라고요ㅎㅎ .. 그리고 파란색], 긍정 텍스트 확률 : 99.86%"
"[아기양말. 산모교실을 다니면서 여기저기서 받은 신생아 양말들이 꽤 모였어요.. 그런데 이 양말은 신생아용보다 조금 큰 사이즈라 오히려 더 좋더라고요. 잘 보관했다가 아이 세 정도에 신기면 딱 좋을 것 같아요 .], 긍정 텍스트 확률 : 83.41%"
"[ 거즈 손수건와이즈콜린 스카프빕 . 역시 신생아때 가장 많이 사용하는 ], 긍정 텍스트 확률 : 69.62%"
"[손수건. 아기 입도 닦아주고 목에도 둘러주고], 긍정 텍스트 확률 : 53.17%"
"[스카프빕 . 제가 아이들을 키울 땐 요런 스카프빕이 흔치 않았답니다. 아이가 감기에 걸렸거나 찬바람을 막아주는 용으로 그냥 조금 큰 손수건 같은 걸 목에 둘러주곤 했어요 . 그런데 요즘은 손수건보다 훨씬 사용하기 쉽고], 긍정 텍스트 확률 : 50.17%"
"[모양도 이쁜 스카프빕들이 많이 나와 주변 아기 엄마들이 사용하는것을 많이 봤어요 . 저도 요즘 엄마들 트렌드에 맞게 잘 사용할 수 있겠네요ㅋㅋ ], 긍정 텍스트 확률 : 87.99%"
"[하트미역 산모식 미역국에 필수 . 어쩜 이렇게 예쁜 하트모양으로 미역을 만들어서 판매하실 생각을 하셨을까요? 아까워서 어떻게 먹죠?ㅎㅎ . 선물을 주시는 분의 마음이 느껴져 더 따뜻한 미역국이 될 것 같아요 . 유통기한도 넉넉해서 더 좋네용 ], 긍정 텍스트 확률 : 92.33%"
"[ 피셔프라이스 항균면봉. 이것도 넘 맘에 드는 선물입니다. . 아기 목욕 후 귀나 콧구멍을 면봉으로 살살 닦아줘야해서 꼭 필요한 필수 준비용품 중 하나였는데], 긍정 텍스트 확률 : 97.94%"
"[아직 구매하지 못한 저에게 넘 반가운 물품이네요ㅎ . 개 나 들어있어 꽤 오랫동안 사용할 수 있을 것 같고], 긍정 텍스트 확률 : 83.48%"
"[휴대용 물티슈 . 역시 오가닉이 씌여있으니 안심하고 우리 아기들에게 사용할 수 있는 베이비 전용 물티슈랍니다 ], 긍정 텍스트 확률 : 90.25%"
"[공갈젖꼭지 같은 아기용품 담을 때도 아주 유용하게 쓰일 것 같아요 . 거기에 이쁜 그림까지 새겨져 있어 아이들이 밋밋한 지퍼백보다는 훨씬 좋아할 것 같아용 . 크기는 어른 손바닥 정도 되는 사이즈랍니다.], 긍정 텍스트 확률 : 61.94%"
"[구강티슈. 사용연령세 . 스팀멸균 처리가 되었다니 우리 아기들에게 안전하게 사용할 수 있는 구강티슈네요 . 저희 아이들 어렸을 때 마이비에서 나온 치약과 젖병세정제를 줄곧 사용했었는데], 긍정 텍스트 확률 : 91.92%"
"[이렇게 구강티슈까지 나오는 줄은 몰랐네요. 역시 믿고 사용할 수 있는 회사 제품인것 같아요. ], 긍정 텍스트 확률 : 67.14%"
"[도어안전락 이네요 . 창문을 자주 열어놓게 되는 봄], 긍정 텍스트 확률 : 65.21%"
"[가을에 간혹 바람이 세게 불어 문이 쾅 닫히는 경우가 있죠.. 어른들도 그 소리에 놀라는데], 긍정 텍스트 확률 : 75.77%"
"[신생아들은 더 크게 놀라니 조심해야할 것 같아요. . 그리고 아기들이 기거나 걷기 시작하면 문틈에 손이 끼이는 사고도 자주 일어나니 더욱 필요한 용품이네요. . 이런 것까지 세심하게 고민하셔서 임신축하선물에 넣어주시다니 대단하세요 ], 긍정 텍스트 확률 : 90.71%"
"[ 종 모두 다 너무 유용한 제품들로만 임신박스 가 꾸려져있어요 . 아마 어떤 분이 받으셔도 굉장히 기분 좋은 선물이 될 것 같아요. . 저역시 월에 태어날 꿀떡이를 위해 하나하나 감사한 마음으로 잘 사용하겠습니다 . 이상으로 제 회 잇츠마미 임신박스 후기를 마칠께요 .. 제회 잇츠마미 임신박스는], 긍정 텍스트 확률 : 99.10%"
"[월 일 까지 신청을 할 수 있답니다. 모두모두 신청해보세요 ... .. ], 긍정 텍스트 확률 : 58.11%"
"[...? 잇츠마미...? 임신박스...? 잇츠마미임신박스...? 신생아...? 임신...? 선물...? 축하박스...? 임신축하선물...? 무료배송...? 물티슈...? 후기...? 늦둥이셋째맘 ], 긍정 텍스트 확률 : 73.88%"
"[캠페인 유아림과 맘스클럽이 함께하는 임산부 배려 캠페인], 긍정 텍스트 확률 : 71.89%"
"[유아림과 맘스클럽이 함께 하고 맘스홀릭 베이비가 후원하는 임산부 배려 캠페인에 함께 해주세요], 긍정 텍스트 확률 : 69.86%"
"[선물을 드립니다.참여방법.맘스클럽 베이비], 긍정 텍스트 확률 : 62.41%"
"[맘엔베이비 카카오 스토리 두 곳 모두채널을 소식 받기 해주시고 느낌이나 덧글을 남겨주세요. .현장에서 본인의 카카오 스토리를 보여주시면 소정의 상품을 드립니다. 상품선착순 ], 긍정 텍스트 확률 : 79.97%"
"[맘스홀릭베이비 카카오스토리.. ..맘앤베이비엑스포 카카오스토리.. .. ], 긍정 텍스트 확률 : 64.22%"
"[두 번째. 온라인 참여 ], 긍정 텍스트 확률 : 56.74%"
"[맘스홀릭포스트], 긍정 텍스트 확률 : 73.88%"
"[맘스홀릭베이비네이버포스트팔로우 하고], 긍정 텍스트 확률 : 56.18%"
"[맘스홀릭베이비 카페 내해당 게시글에덧글을 남겨주세요], 긍정 텍스트 확률 : 58.85%"
"[. 맘스홀릭베이비 포스트를 팔로우 한다], 긍정 텍스트 확률 : 58.32%"
"[포스트닉네임응원의 메세지를 남겨주세요 ], 긍정 텍스트 확률 : 59.32%"
"[맘베 기간 중 맘스클럽 부스에 다녀 오신 후기를 남겨 주세요], 긍정 텍스트 확률 : 50.88%"
"[.본인의 블로그와개인에 태그와 함께 게시글을 남겨주세요. ], 긍정 텍스트 확률 : 80.97%"
"[다양하게 태그를남겨 주세요. ], 긍정 텍스트 확률 : 53.72%"
"[.맘스클럽 이벤트 게시판에 후기를 남긴 또는올린 정보를 덧글로 올려주세요.], 긍정 텍스트 확률 : 72.88%"
"[마스터키즈 소근육 발달 물고기], 긍정 텍스트 확률 : 66.02%"
"[맘스홀릭베이비 네이버포스트를], 긍정 텍스트 확률 : 57.37%"
"[공감 언론 리드맘 ], 긍정 텍스트 확률 : 87.75%"
"[조기교육에 관한 정보를 제공하기 위해 마련된 행사다. 매회 만 명 이상이 박람회를 찾고 있으며], 긍정 텍스트 확률 : 75.20%"
"[올해는 국내외 개사부스로 운영된다.베이비페어에서는 각 브랜드의 신상품을 먼저 만나볼 수 있으며], 긍정 텍스트 확률 : 67.64%"
"[주요 제품들을 저렴한 가격에 구입할 수 있는 혜택도 주어진다. 또한 다양한 이벤트에 참여해 육아에 꼭 필요한 경품들을 받아 살림 장만도 가능하다. 이번 제회 베페 베이비페어에 참가하는 주요 브랜드에서는 어떤 제품을 볼 수 있는지 또 참여할 수 있는 이벤트에는 어떤 것들이 있는지 모아봤다.], 긍정 텍스트 확률 : 92.87%"
"[ 글로벌 유아용품 전문 유통기억 세피앙은 최대이상의 할인 판매와 프리미엄 시승 서비스를 실시하고 있다. 브라이택스], 긍정 텍스트 확률 : 88.90%"
"[페리맥킨 등 총 개 브랜드에 대해 최대 .에 이르는 파격적인 할인 혜택을 제공한다. 특히 오르빗멜란지 화이트가 이번 박람회에서 처음 공객되는데 현장에서할인 혜택까지 받을 수 있다.챔피언 세바스찬 베텔의 광속 드라이빙 영상으로 화제를 모은 브라이택스의 듀얼픽스 블랙마블 리미티드 에디션과 완판 유모차로 유명한 호크트위스터의 멜란지 리미티드 에디션 세트 상품도 각각 .], 긍정 텍스트 확률 : 80.04%"
"[.의 특별가로 판매된다. 또한 현장에서는 오르빗], 긍정 텍스트 확률 : 90.79%"
"[물티슈 등을 받을 수 있으며], 긍정 텍스트 확률 : 66.70%"
"[해당 브랜드 유모차를 사용하고 있는 친구와 함께 방문하거나 두 사람 이상 동시 구매 시 이지워커 유모차 라이너 및 보니라이너가 한정수량으로 제공되는 친구 추천 이벤트에도 참여할 수 있다.이 외에도 오르빗의 부스 인증샷 이벤트], 긍정 텍스트 확률 : 81.97%"
"[▲세계 대 디자인 어워드를 수상한전용 제품 라온은할인된 금액에], 긍정 텍스트 확률 : 57.14%"
"[▲생후 개월부터 최대 세까지 사용 가능한 아이 성장 맞춤형 제나 역시 최저가에 구입할 수 있다. 현장에서 라온], 긍정 텍스트 확률 : 56.92%"
"[베베숲 물티슈 등 아이에게 꼭 필요한 가지의 출산용품이 알차게 들어 있다. ], 긍정 텍스트 확률 : 80.89%"
"[ 유아동복·용품 전문기업 아가방앤컴퍼니의 자회사인 영유아용 놀이매트 브랜드 디자인스킨은 홍보모델 백서우 양의 화보 꿈을 디자인하세요를 최초 공개했다. 이번 화보를 통해 백 양은 아이의 시선으로 말하는 꿈과 희망을 표현했다. 디자인스킨은 이번 박람회 기간 동안 전 제품을 최대할인된 가격으로 판매한다. 부스를 방문한 고객을 대상으로 인스타그램 생생 후기 이벤트도 전개된다. 현장에서 디자인스킨 인스타그램을 팔로잉하고 본인 인스타그램에 백서우 양 화보 사진을 올리면 선착순 ], 긍정 텍스트 확률 : 92.92%"
"[ 명에게 디자인스킨 캐릭터 방수 네임 스티커와 퓨토 시크릿 로션㎖이 주어진다. 이와 함께 개인 블로그나 육아카페에 베이비페어 디자인스킨 부스 방문 후기를 게시한 후 페이지 을 디킨홀릭카페에 남기면 추첨을 통해 명에게 디킨몬 쿠션이 증정된다. ], 긍정 텍스트 확률 : 93.96%"
"[ 다이치 오가닉 라인 카시트 종 첫 선 ], 긍정 텍스트 확률 : 58.28%"
"[민트그레이 종을 새롭게 내놨다. 오가닉 소재가 사용돼 연약한 아이 피부에도 자극 없이 장시간 사용할 수 있으며], 긍정 텍스트 확률 : 92.23%"
"[투톤의 멜란지 패브릭이 활용돼 고급스러운 색감이 돋보인다.듀웰 시즌 는 듀웰 시즌올인원으로 업그레이드 돼 출시된다. 인체공학적 특징이 배가된 일체형 라이너로 제작된 이너시트가 아이의 머리와 신체를 더욱 안전하게 보호한다.디가드 주니어는 새롭게 애니메이션 터닝메카드 캐릭터 옷을 입고 출시된다.], 긍정 텍스트 확률 : 99.62%"
"[분 자동 오프기능이 포함돼 있으며], 긍정 텍스트 확률 : 58.82%"
"[기존의 스펙트라·의 기능도 갖고 있다. 이번 박람회 기간에 스펙트라를 구입하면 보조배터리 및 추가 사은품을 받을 수 있다.], 긍정 텍스트 확률 : 85.94%"
"[ 글로벌 토탈 유아용품 브랜드 페도라는 소비자들의 의견을 수렴한 소셜 디자인 시스템으로 설계한 유모차 자전거를 선보인다. 생후 개월부터 만 세까지 사용할 수 있는 요가와 러츠 종으로 구성돼 있다. 러츠 유모차 자전거는 ▲부모와 아이가 교감할 수 있는 회전형 양대면 시트], 긍정 텍스트 확률 : 58.96%"
"[▲라이딩 모드와 레스트 모드로 아이 성장에 맞춰 시트 조절이 가능한 리클라인 시트], 긍정 텍스트 확률 : 54.33%"
"[▲라이딩 모드와 레스트 모드가 가능한 시트 리클라인 시트], 긍정 텍스트 확률 : 58.20%"
"[아들냄 셋을 키우면서 참으로 다양한 브랜드의 기저귀를 사용해봤는데요여러 개를 써봐도결국엔 한 가지로 정착되는 것 같아요그 중 하나가 마미포코라능둘찌가 밤기저귀를 꽤 늦게 뗐던터라올해 뗀건 안비밀 ㅋㅋㅋㅋㅋ그 때까지 쭉 마미포코 팬티형을 사용했었거든요그래서 이 브랜드에 대한 무한신뢰가 있는데요 ], 긍정 텍스트 확률 : 50.13%"
"[그 사이에신상품 택 달고있는오가닉기저귀 마미포코 리프가닉도 보이네요 ], 긍정 텍스트 확률 : 61.21%"
"[무표백 프리미엄 기저귀 답게하얗게 표백하지 않은 자연소재문구가 제일 먼저 눈에 띄어요독일의 피부자극 테스트 더마테스트에서 최고등급을 받은거라피부에 안심하고 사용할 수도 있겠고요형아들도 그랬지만막내가 특히 절 닮아서 피부가 예민한 편이거든요태열부터 시작해 트러블도 잦은 편이라잘 안맞으면 엉덩이가 빨갛게 되거나 뾰루지 같은게 막 생기더라고요 ㅠ그래서 기저귀에 예민할 수 밖에 없는데 그런 제 마음에 쏘옥 ], 긍정 텍스트 확률 : 97.32%"
"[펼쳐보면아 오가닉기저귀무표백이라는게 이거구나 를 아실 수 있답니다보이는 깨끗함실제 깨끗함어느것을 선택하시겠어요?당연히 실제 깨끗함이겠죠??이 안쪽 시트는 하얗게 표백처리를 하지 않은 자연 그대로라나무색을 그대로 띄고있는데요깨끗한 스칸디나비아에서 온 소재여서 더욱 안심되는 것 같아요 ], 긍정 텍스트 확률 : 91.86%"
"[디자인은 귀염깔끔이에요동글동글 목화솜과 앙증맞은 트리가 콕콕콕 ], 긍정 텍스트 확률 : 64.95%"
"[오가닉 기저귀 장착하고파닥파닥 제대로 시전중인 막둥이 ㅋㅋㅋㅋㅋㅋ아직 뒤집을 생각이 없는지 마냥 누워만 있지만그렇다고 또 가만히 누워만 계시진 않는 너라는 녀석두 다리를 들었다 놨다등치기를 하며 위로 쭉쭉팔다리 버둥버둥꽤 다양하게 활동하는 중.움직이는동안앞], 긍정 텍스트 확률 : 98.25%"
"[언제 이렇게나 컸는지..응애응애 신생아적이 엊그제같은데벌써 내일모레 개월에 접어드네요막내라 그런가 흐르는 시간이 더 아쉽게 느껴지는 요즘이에요내리사랑이 무섭 ㅋㅋ ], 긍정 텍스트 확률 : 99.92%"
"[울아들 최애 자세 ㅋㅋ두 다리 번쩍 들고 발 잡고 궁디를 요래조래귀여버귀여버확실히 사용해보니왜 오가닉기저귀를 선호하는지 알겠네요부드러움도 남다르고..무표백 프리미엄 기저귀 덕에요즘은 엉덩이 짓무름 없이 뽀송하게 잘 유지중이에요 ], 긍정 텍스트 확률 : 99.58%"
"[이렇게 있어요], 긍정 텍스트 확률 : 65.44%"
"[홈플러스에 가서 직접 만날 수도 있고요], 긍정 텍스트 확률 : 63.12%"
"[온라인으로도 만날 수 있어요 ], 긍정 텍스트 확률 : 76.46%"
"[ 보솜이 천연코튼], 긍정 텍스트 확률 : 51.21%"
"[ 울트라씬], 긍정 텍스트 확률 : 70.00%"
"[하기스 밴드는 별로였는데 팬티는 맘에드네..맘에들어ㅎㅎ근데..새벽에 기저귀 갈아줄때 불편한것같아 밴드형 기저귀도 구매밴드형 기저귀중에 보솜이 디오가닉 너무 맘에들어 디오가닉 살려다가 베비오닉이 핫딜로 떠서 베비오닉으로 구매그리하여 결국 하기스 매직팬티와 보솜이 베비오닉으로 정착하여 자알 사용하고 있다 ㅎㅎㅎ인터넷하다 보솜이 디오가닉 밴드가 할인해서 판매하길래 팩 또 구매하고ㅎㅎ ], 긍정 텍스트 확률 : 71.49%"
"[월달에는 네이처메이드 팬티 기저귀 팩이 배송될꺼라 하기스 매직팬티 다 쓰믄 네이처메이드로 갈아탈듯ㅎㅎ ], 긍정 텍스트 확률 : 60.30%"
"[ 분유추천 기저귀 등 베이비샤워 선물아이템 ], 긍정 텍스트 확률 : 64.68%"
"[최근 들어 한국에서도 베이비샤워 열풍이 돌고 있는데요먼저 베이비샤워는 뭐지? 하시는 분들미국에서는 첫아이가 생기면 주변에서 베이비샤워를 열어주는 경우가 많대요베이비 샤워는 두 사람으로 시작한 사정에 아이가 생기면서부부가 부모로서의 첫발을 내딛는 순간을 주변에서 축하해주고사랑과 복으로 샤워해준다는 의미에서 이루어지기 때문에], 긍정 텍스트 확률 : 94.70%"
"[분유추천 등등 받았었는데직접 받아보고 써본것들을 중심으로 정리해봤어요.선배 맘들이 추천해준 선물 ], 긍정 텍스트 확률 : 53.40%"
"[. 분유이번엔 분유에요 분유도 기저귀만큼이나 소비가 많은 상품이예요.특히 분유는 엄마들이 초반에는 다들 준비를 잘 안해두는 경우들이 있어요종류가 워낙 많아서 정보도 많이 필요하고 주변에 분유추천 부탁도 많이 하게되더라구요ㅠㅠ저는 저희 아이 신생아 때 정말 다양한 제품을 시도한 끝에 정착한 분유라서선물 생각하시는 맘들에게 분유추천 해드리고 싶어요처음부터 좋은 분유를 선택하면나중에 갈아타기라는 어려움을 겪지 않아도 되거든요 ], 긍정 텍스트 확률 : 98.93%"
"[저는 개인적으로 무항생제 위드맘 일 분유추천 드리고 싶어요신생아 일 동안 너무 잘 먹였어요.모유와 유사한 지방산 구조를 효소 공정을 통해 특허를 받은 제품이에요.는 신생아 맘들이 가장 걱정하는 분수토], 긍정 텍스트 확률 : 99.68%"
"[소화흡수 등 주요 포인트들을다 잡아주는 지방산 구조예요.또한], 긍정 텍스트 확률 : 57.27%"
"[무항생제 인증목장 원유를 사용했고특허 받은 식물성 와 멀티 생유산균이 함유되어 있어서 안심하고 먹일 수 있답니다.저도 처음부터 아이에게 잘 맞는 분유추천 받을 수 있었다면더 편하고 좋았을 것 같아요. ], 긍정 텍스트 확률 : 94.25%"
"[아가방수요 리에또베이비 오가닉방수요 리에또베이비], 긍정 텍스트 확률 : 63.91%"
"[사이즈를 적은걸로 사놔서 요번에 큰걸로 하나 장만했답니다 ㅎㅎ 중 오가닉면으로 되어있는 리에또베이비 방수요에요오가닉이라서 재질도 부들부들 포근한 느낌이들더라구요], 긍정 텍스트 확률 : 97.73%"
"[리에또 베이비 방수요는 다른 방수요와는 다르게 양면다 방수요가 된다는점이에요다른건 한쪽면 쓰다가 너무 지저분해지면 바꿔줘야하는데 요건 뒤집어서 쓰면되니 더 오래쓸것같아요♡도톰한 두께로 되어있고 오가닉면이라 아기를 눕힐때에도 부드러운면으로 감싸주어서 좋더라구요 그리고 리에또베이비 큰 장점중에 장점 통째로 세탁이 가능하답니다 ], 긍정 텍스트 확률 : 98.83%"
"[알집매트위에 있었는데 역시나 방수요 효과로 새지않았네요 다행 ], 긍정 텍스트 확률 : 62.45%"
"[요건 저희집 아기잠자리 위에 깔아놓은 모습이에요 사이즈도 대형이라 넉넉하답니다 ], 긍정 텍스트 확률 : 93.64%"
"[기저귀갈때 이리저리 움직여서 한참 씨름하다가 기저귀를 채우는데 앞으로는 패드위에서 뽀송하게 갈아주면 되니 걱정이없어요 아기도 하루종일 기저귀채우고 있으면 답답할텐데 잠시나마 뒹굴라고 하니 좋아하네요 ㅋㅋ 아기 이불패드겸 기저귀갈아줄때 방수요로 딱인것같아요 ], 긍정 텍스트 확률 : 52.55%"
"[ 앞으로 아기배변연습까지 쭉 쓸수있을것같아요 신생아때는 반 접어서 사용하면되니 출산선물로도 미리미리 준비해주면 좋을것같은 리에또베이비 방수요에요 ], 긍정 텍스트 확률 : 72.59%"
"[리에또베이비 사이트 남겨드릴께요 ...? ...? ], 긍정 텍스트 확률 : 82.20%"
"[제주베이비페어 첫날 후기임산부부터 육아맘까지 한곳에서 구경가능하고 구매가능한곳 제주베이비페어가 오늘부터 열렸어요월일 일요일까지 열린답니다날씨가 넘 좋아 외출하기 딱 좋은 날씨였어요임산부를 위한 임부복부터 구경해볼께요임부바지 꼭 필요해요 계속 불러오는 배때문에 배가 편한바지가 필요해요브라는 수유브라로 모유수유까지 가능한걸로 구매하세요임부팬티도 배부분이 편안해야하기에 임부팬티 구매하세요요즘 임부팬티는 배까지 올라온게 아니더라구요배아래로 내려와요 ], 긍정 텍스트 확률 : 98.30%"
"[신생아 손발석고 전 두아이 이걸못했던게 조금 아쉬워요지금과 얼마나 컸는지 비교도 되고 좋았을거예요 ], 긍정 텍스트 확률 : 96.07%"
"[여름 다가오니 양말도 발목양말로 구경하세요공주님은 예쁘게 리본과 꽃사지가 있어요 ], 긍정 텍스트 확률 : 60.63%"
"[천기저귀 여름이 다가오니 기저귀발진 고민이시죠오가닉부터 대낭우 무형광 천기저귀 다양하게 있어요 ], 긍정 텍스트 확률 : 56.31%"
"[더운날씨가 다가오니 매일 씻겨야하는데 싫기 싫어하는 아이들 거품입욕제 강추요거품놀이 한다면 알아서 먼저 씻으러 가려고할거예요 ], 긍정 텍스트 확률 : 71.71%"
"[고사리손 로션제주도 제품이예요울아이들도 박람회를 통해 알게 되어 사용해봤어요 ], 긍정 텍스트 확률 : 82.51%"
"[ .?제주베이비페어제주베이비페어.?제주육아박람회제주육아박람회.?제주베이비페어첫날후기제주베이비페어첫날후기.?제주베페제주베페.?사라봉체육관사라봉체육관 ], 긍정 텍스트 확률 : 50.82%"
"[신생아라 각질이 벗겨지고 있는 중이지만아직 건조한 봄철이라목욕 후에는 로션 필수에요 ], 긍정 텍스트 확률 : 86.81%"
"[ 특히 궁댕이기저귀 때문에 자주 발진이 일어나는 엉덩이는손바람으로 잘 말려주고찐득하지 않을 정도로 발라줘야해요. ], 긍정 텍스트 확률 : 81.24%"
"[ 유기농 오곡발효 베이비로션이에요 ], 긍정 텍스트 확률 : 95.06%"
