"[ 기저귀슬림한데 흡수력까지 좋은 앙블랑 킵팬티 후기 ], 긍정 텍스트 확률 : 85.02%"
"[그런복장의 총칭을 뜻합니다...전 갠적으로 하이웨스트 스타일은 싫어하지만.기저귀의 경우는 허리밴딩이 조금 높게 .되어있어야 아기가 이리저리 뒤척일때 .기저귀 자체의 움직임을 방지해줄 수 있을 것 .같아 아주 맘에 드네요.그리고 허리밴딩이 요로코롬 편하게 되어있네요. ], 긍정 텍스트 확률 : 93.33%"
"[요 세가지 특징만으로도 제 맘을 단번에 .사로잡으셨어용..앙블랑 너어.이 요물 같으니라구☆☆☆..마지막으로 다 꺼내서 요로코롬.다 채워놓으면 뿌듯하고 기분 좋아용. ], 긍정 텍스트 확률 : 99.98%"
"[ ..앞으로 울 귀염둥이 아들램 소중이와 궁뎅이를.보송보송하게 잘 부탁해잉 ], 긍정 텍스트 확률 : 96.56%"
"[ 앙블랑으로부터 체험제품을 무상으로 지원받아작성한 솔직한 후기입니다. ], 긍정 텍스트 확률 : 51.80%"
"[.?지후맘지후맘.?앙블랑기저귀앙블랑기저귀.?신생아기저귀신생아기저귀.?밴드기저귀밴드기저귀.?기저귀기저귀.?기저귀추천기저귀추천.?출산선물출산선물.?체험단체험단.?이벤트이벤트 .?대표카페지후맘대표카페지후맘 ], 긍정 텍스트 확률 : 80.11%"
"[ .최근 앙블랑에서 따끈따끈한 신상품을 내놓았죠.그건 바로바로 킵프렌즈 기저귀인데요..일단 기저귀팩 디자인에서 느껴지는 이미지는.굉장히 귀엽고 사랑스러웠어요 ], 긍정 텍스트 확률 : 99.45%"
"[깊은 의미를 지녔더군요👉👉👉이 세상 모든 아이들은 사랑받으며 자라길...❤ ], 긍정 텍스트 확률 : 96.09%"
"[ . 활동량이 많은 우리 아기를 위해], 긍정 텍스트 확률 : 66.20%"
"[마치 팬티형처럼 아이의 몸에 착 감기는 느낌이 들었어요그만큼 가볍고 슬림하다는 뜻이겠죠밤새 기저귀 한번도 안 갈아줘도 괜찮을 정도로 흡수성이 너무 좋았어요 기저귀 알아보시는 분들께 적극 추천 해 드릴게요❤앙블랑 킵프렌즈 기저귀 구매 하러가기 ], 긍정 텍스트 확률 : 88.36%"
"[겨울철에는 아이들이 땀을 배출하는 야이 작아져서 소변양이 많아진다고하죠이럴때 일수록 우리 아기 엉덩이 보송보송하게 지켜주는 아기기저귀가 필수예요앙블랑 킵프렌즈 기저귀 얇고 흡수력이 좋아서 기저귀추천이 많더라구요따끈따끈한 신상기저귀 킵프렌즈 밴드형 직접 써봤어요], 긍정 텍스트 확률 : 66.05%"
"[ 앙블랑 기저귀 윗면에 인쇄된 킵토리 적립금을 모으면앙블랑몰 적립금 또는 앙블랑 프리미엄 기프트세트를 받을 수 있다고해요우리 아기기저귀 한두팩 쓰는거 아니잖아요?이런건 꼭 챙겨두기 ♡ ], 긍정 텍스트 확률 : 71.35%"
"[ 앙블랑 기저귀는 사이즈마다 캐릭터가 다르더라구요밴드형 단계 대형 캐릭터는 제주마 마루예요우리 아이들처럼 보호하고 지켜야 할 천연기념물을 킵프렌즈 캐릭터로 뙇너무 귀엽고 사랑스러운 마루 기억해둬야겠어요], 긍정 텍스트 확률 : 99.45%"
"[ 밴드기저귀 허리부분이 촥촥 신축성 좋게 잘 늘어나더라구요배통통 아기 수빈이도 부드럽게 촥 감싸줄 수 있어서 굿굿우리 아기 피부에 닿거나 긁혀도 안전한 테이픈느 모서리가 둥글둥글은근히 피부 약한 수빈이는 각진 테이프 모서리에도 긁히더라구요그래서 이렇게 둥글둥글한 테이프를 선호해요 ], 긍정 텍스트 확률 : 99.04%"
"[중앙에서 또 한번 ♡중 맥스 흡수 채널 중앙 터널링 기술로 소변량이 많아도역류 걱정 없이 겨울철이나 밤기저귀로도 합격이예요게다가 이중], 긍정 텍스트 확률 : 73.01%"
"[ 흡수력 좋은 기저귀추천하는 이유요?허니콤 압축 기법으로 통기성도 좋고], 긍정 텍스트 확률 : 79.83%"
"[ 겨울철 기저귀 역시 내복을 껴입어야해서 슬림핏을 선호해요앙블랑 킵프렌즈 기저귀는 활동이 많은 우리 수빈이도 편안하게 착용할 수 있도록얇고 가벼운 울트라소프트 슬림핏으로 입혀줬어요], 긍정 텍스트 확률 : 64.55%"
"[ 신축성이 좋은 허리밴드와 이중 다리 밴드는 움직임이 많은 우리 아기도기저귀 샘 걱정 없이 편하게 입혀줄 수 있어서 좋더라구요사실 걸어다니고], 긍정 텍스트 확률 : 60.07%"
"[.?지후맘지후맘.?출산선물출산선물.?기저귀기저귀.?기저귀추천기저귀추천.?신생아기저귀신생아기저귀.?밴드기저귀밴드기저귀.?앙블랑기저귀앙블랑기저귀.?체험단체험단.?이벤트이벤트.?대표카페지후맘대표카페지후맘.?앙블랑킵프렌즈기저귀앙블랑킵프렌즈기저귀.?신상기저귀신상기저귀.?기저귀신제품기저귀신제품 ], 긍정 텍스트 확률 : 80.11%"
"[오늘따라 신나서 흔들흔들 ♬앙블랑 킵프렌즈 기저귀는 기저귀 겉면과 안쪽 모두 부드러운 감촉으로피부가 연약한 우리 아기도 안심하고 입혀줄 수 있어서 좋아요수빈이는 워낙에 피부가 약해서 기저귀 잘못 바꿨다가 피부발진이 생기는 경우가 있거든요하지만 앙블랑은 소프트 시트로 부드럽게 감싸줘서 그레잇], 긍정 텍스트 확률 : 63.15%"
"[ ...............해당 리뷰는 지후맘카페를 통해 업체로부터 제품을 제공받아 작성한 후기입니다. ], 긍정 텍스트 확률 : 50.27%"
"[보솜이], 긍정 텍스트 확률 : 51.21%"
"[네이처러브메레 는 샘플쓰고 발진왓어요ㅠ], 긍정 텍스트 확률 : 77.85%"
"[보솜이], 긍정 텍스트 확률 : 51.21%"
"[네이처러브메레 는 샘플쓰고 발진왓어요ㅠ], 긍정 텍스트 확률 : 77.85%"
"[.기저귀를 여러가지 써보면서 알게된 점은 같은 키로수라도 핏과 크기가 천차만별이고 두께], 긍정 텍스트 확률 : 71.34%"
"[흡수력도 다 다르다는 겁니다...키로대에 진입하면서 다음 단계로 올라가 사용할 기저귀를 체험해보겠습니다...바로 앙블랑 킵프렌즈 밴드 기저귀인데요..앙블랑의 고급진 물티슈를 계속 사용해온터라.기저귀 또한 매우 기대됩니다. ], 긍정 텍스트 확률 : 96.61%"
"[ .원료와 성분이 상세하게 공개되어있구요..사용 및 보관상의 유의사항도 있네요. ], 긍정 텍스트 확률 : 88.44%"
"[ .아 넘 귀여운 제주마♡ ], 긍정 텍스트 확률 : 96.29%"
"[ .기저귀 안쪽입니다 뒤측 ], 긍정 텍스트 확률 : 53.25%"
"[ .단계 밴드형 앞면입니다 ], 긍정 텍스트 확률 : 74.03%"
"[ .뒷 밴드가 이 크기에서 이렇게 길게 늘어나요..다른 기저귀들은 아기 키로수가 늘수록 작기마련인데.앙블랑은 엄청난 신축성덕에 편안하고.몸무게가 키로 꽉채워도 끼지 않고 편안하게 입을 수 있겠어요.. ], 긍정 텍스트 확률 : 63.72%"
"[ 미세한 에어홀이 있어 아가 피부에 닿는 면적이 최소화 되었네요 귀엽고 편하고 ], 긍정 텍스트 확률 : 93.61%"
"[기저귀 고르는 것이 가장 어려운 히포맘이에요.아마 저처럼 어린 아이를 키우시는 맘님들은 대부분 공감하실 것 같은데], 긍정 텍스트 확률 : 99.40%"
"[ 처음엔 아무것도 모르고 조리원에서 쓰던 신생아기저귀를 쓰거나산모교실에서 받은 샘플들을 사용하다가 그 중 마음에 드는 것이 있으면 정착하거나주위에서 괜찮다고 말해주는 쪽으로 정착하곤 하잖아요.근데 이게 또 한번 정착했다고 쭉 가는 것이 아니더라구요.아기가 크면서 히포나 뜸뿍이는 허벅지가 튼실해져서 허벅지가 너무 조이지 않는 것으로 골라야하는 반면빼박이는 이른둥이인데다가 살이 정말 마른편이어서 허벅지가 꽉 조여서 샘이 없는 것을 찾아야하더라구요.그리고 평상시 잘 사용하던 것도 어느 순간 불편함이 생기면 바꿔야한다거나 하는 경우가 생기기때문에신생아기저귀부터 뗄 때까지 수많은 기저귀유목생활을 해야하더라구요.저도 그런 유목민 중에 하나인데요히포는 쉬양이 많고], 긍정 텍스트 확률 : 98.84%"
"[ 아무래도 여린 피부의 우리 애기가 사용하는것이라 더 꼼꼼히 체크하게 되는데요앙블랑은 안심하고 믿을 수 있는국내생산인데 인증 품질경영 환경에서 생산되어 제조일자까지 표기되기 때문에연약한 신생아기저귀 로 제격이에요 ], 긍정 텍스트 확률 : 94.75%"
"[ 앙블랑 킵 기저귀 팬티형은 걷기시작하는 아기에게 잘 맞는 밴드 신축성이 좋은 형태 예요.흡수력이 강한 프리미엄 기저귀 라고 되어있는데요 저는 히포가 뒤집기를 하던 그 순간부터 쭈욱 키로수에 상관없이 대형을 입히고 있어요..기저귀 갈 때마다 뒤집겠다고 난리를 치는 통에 밴드형은 입히려면 진심으로 너와 나의 씨름이 시작됐었거든요.그래서 히포는 키로 중반부터 대형을 썼는데 허벅지가 좋아서인지 대부분 샘이 없었어요.앙블랑 킵 기저귀 팬티형은키로부터 키로까지 착용 할 수 있다고 안내되어있어요.앙블랑은 물티슈가 정말 미친듯이 좋기로 유명해서 기대가 되던 제품이었어요.처음 애기 낳을 때 물티슈 뭐쓰지? 물었더니 가격 상관없으면 앙블랑이 최고야라고 선배맘들이 추천해줬었거든요아기에 대한 엄마의 변하지 않는 소중한 마음과 깨끗한 자연을 담은 유아용품 전문브랜드이기 때문에 자연그대로의 순수한 제품일 것 같은 느낌.가로로 길게 뜯는 부분이 양쪽으로 있어서 뜯어서 뉘여놓고 하나씩 빼서 쓰면 될 것 같은데저는 어차피 개봉하면 전부 다 하마스툴로 집어 넣기 때문에 이 부분은 스킵 ], 긍정 텍스트 확률 : 54.00%"
"[ 쉬야 얼마나 했는지 양체크하기도 눈으로 보이니 좋았어요.소변이 차면 노란색의 알림선이 초록색으로 변해서 교체시기를 더쉽게 알 수 있어요아무래도 그림이 프린트 되어있으면 그만큼 화학적인 것이 사용되는건데], 긍정 텍스트 확률 : 92.71%"
"[ 초슬림핏 앙블랑 킵 기저귀 팬티형 ], 긍정 텍스트 확률 : 51.44%"
"[ 빼박이가 잘 사용한다고 언니가 써보라고 팩 주고 간 마미포코제가 기존에 사용하던 페넬로페 비교인데요.와우 진짜 놀라운 두께 아닌가요? 앙블랑 두 개를 합쳐도 페넬로페보다 얇더라구요.정말 초슬림핏이라는 말 그대로 아주아주 얇아요초슬림], 긍정 텍스트 확률 : 83.71%"
"[ 솔직히 페넬로페도 다 좋은데 단점 하나 꼽자면 두께와 크기가 넓어서 파우치에 잘 안들어 간 다는 것이었거든요?이렇게 얇으니 파우치 속에 쏘옥 사실 대형을 쓰면서 파우치가 터져나갈 것 같아서 파우치를 새로 사야하나 했는데], 긍정 텍스트 확률 : 62.49%"
"[이렇게 쏙 들어가니 좋더라구요.뭐야 잠시 외출하는 건데 개만 가져가도 안돼? 라고 생각할 수 있지만외출이란 것이 잠깐 다녀오려했으나 길어질 때도 있는 것이고 아기가 설사를 할 수도 있고 어떤 변수가 생길 지 모르기 때문에항상 넉넉하게 가지고 다니는 편인데요. 기존 사용하던 브랜드의 단점을 확실히 보완할 수 있는 초슬림핏이라이 부분이 정말 많이 마음에 들었어요. ], 긍정 텍스트 확률 : 83.50%"
"[ 무게도 가장 가벼운 무게안쪽 면을 비교해봤는데요 페넬로페는 밑위가 길고 넓은 반면앙블랑은 밴드길이는 길지만 소변패드는 짧더라구요.이것 때문에 착용감이 더 좋아져서 움직임이 더 편해지는 것 같아요.밴드는 배를 충분히 감싸는 길이감으로 넉넉하지만 소변패드는 위로 갈수록 좁아져서 몸에 착 감기니까 몸의 움직임 따라서 유연하게 움직여서 더 편한 착용감을 주는 것 같아요.부드러운 프리미엄 소프트시트가 순면을 만나서 연약하고 민감한 아기피부에 자극이 최소화 되서 엄청 부드럽더라구요.자세히 보시면 구멍이 뽕뽕 있는 듯 한데 최첨단 기술로 개발 된 에어홀이에요.에어홀이 있는 커버로 공기가 잘 통하도록 제작되어서 답답하지 않고 상쾌하고 쾌적하게 유지해준다는데], 긍정 텍스트 확률 : 97.57%"
"[ 우선 직접 사용해 본 결과시트 전면에 골고루 흡수되서 뭉침이 없는 것은 단연 위], 긍정 텍스트 확률 : 60.99%"
"[ 복원력이 뛰어난 줄의 엘라스틱 소프트밴드가 강한 조임 없이 부드럽게 밀착되기때문에배에 밴드자국은 많이 남지 않으면서도 편안해요.확실히 제가 가지고 있는 개 브랜드를 비교해봤을 때 촉감도 제일 좋고 늘어나는 것도 가장 부드럽게 늘어났어요.게다가 안심 중 샘방지시스템으로 소변에 옆으로 새는 것을 막아줘서 움직임이 많은 우리 히포같은 애기가 샘걱정없이 사용할 수 있는데요.이 부분도 정말 부드럽고 편안하게 늘어났어요. ], 긍정 텍스트 확률 : 77.68%"
"[마지막 단점을 꼽자면 소변냄새에 예민하신 분들은 조금 민감하게 느낄 수 있을 정도로 소변냄새를 잡지는 못해요파우더나 인공향이 첨가되어있지 않기때문에 자연그대로라 그런 것이니 저는 만족. ], 긍정 텍스트 확률 : 93.40%"
"[ 한 달 이상 써본 결과 치명적인 단점이 있어요.에어홀 때문에 앞쪽이 축축해지는 것은 문제가 아니었어요.생각보다 허벅지 쪽으로 자주 새요.번 외출하면 번은 새 있어서 굉장히 당혹스러웠어요.새는 것도 딱 허벅지라인을 따라서 소변이 나와있어요.개월 아기인데 처음엔 우리 아들이 소변양이 많아져서 그런가보다 했는데], 긍정 텍스트 확률 : 52.88%"
"[ .우리아가는 이예요.중형은 너무 넉넉할까 싶어서 소형으로 주문했어요 ], 긍정 텍스트 확률 : 50.33%"
"[ .앙블랑 킵프렌즈 캐릭터 빼미예요.정말 귀엽네요.초롱초롱한 눈망울이 정말 귀여워요 ], 긍정 텍스트 확률 : 98.16%"
"[ .세로디자인과 .가로 디자인이 다르네요.세로디자인은 엄마랑 애기 빼미랑 같이있는모습같아요 ], 긍정 텍스트 확률 : 95.16%"
"[ 개를 모을때마다 적립금을 받을 수있대요.도토리그림이 귀여워서 모으는 재미가 쏠쏠하겠네요 ], 긍정 텍스트 확률 : 50.53%"
"[ .기저귀 디자인도 어쩜이리이쁠까요.앞면에는 빼미엄마와 애기빼미 모습과 단계의 숫자가.뒷면에는 빼미의 빅사이즈 얼굴이ㅋㅋㅋ.킵프렌즈 캐릭터는 .우리아이들처럼 보호하고 지켜야할 천연기념물을 .모티브로 만들어졌다고해요.천연기념물 제 호 올빼미예요 ], 긍정 텍스트 확률 : 94.94%"
"[ .기저귀를 입고 날아봐?ㅎㅎㅎ.앙블랑 킵프렌즈 기저귀를 입히니.신났는지 발차기를 읓차차 ], 긍정 텍스트 확률 : 60.87%"
"[ .까지 사용할 수있는 단계지만.이 넘어가는 우리아들에겐 .허리밴드가 조금 작게 느껴지네요.곧단계로 갈아타야할 것 같아요 ], 긍정 텍스트 확률 : 91.92%"
"[ .뒷태도 어쩜이리 사랑스러울수가♥ ], 긍정 텍스트 확률 : 99.92%"
"[ .똥테러에도 기저귀가 밖으로 새지않았어요.똥쌀때마다 기저귀가 새서...기저귀 유목민이 될뻔했거든요 ㅋㅋㅋ.앙블랑 킵프렌즈 기저귀는 합격.기저귀 발진도 없고 흡수력 갑인정합니다♥ ], 긍정 텍스트 확률 : 79.79%"
"[ . .?앙블랑킵프렌즈는앙블랑킵프렌즈는귀여운 캐릭터 디자인이라서 .백일을 앞두고 일 기념샷을 찍었다지요.♥넘예뻐요♥ ], 긍정 텍스트 확률 : 100.00%"
"[ .울아가의 사랑스런 뒷태와 .앙블랑킵프렌즈 기저귀♥.울애기 백일을 빼미가 추카해주는것 같네요♥ ], 긍정 텍스트 확률 : 100.00%"
"[ .오늘도 보송보송하게 소화했다.울애기 얘기랑 찰떡이네요.앙블랑 킵프렌즈는 단계], 긍정 텍스트 확률 : 50.20%"
"[ 밴드와 팬티 캐릭터가 달라서.입히는 재미도 쏠쏠하겠어요 ], 긍정 텍스트 확률 : 67.64%"
"[ 해당업체로부터 무상으로 제공받아 직접사용하고 작성한 후기입니다. .?앙블랑앙블랑.?킵프렌즈기저귀킵프렌즈기저귀.?출산선물출산선물.?기저귀기저귀.?기저귀추천기저귀추천.?신생아기저귀신생아기저귀.?밴드기저귀밴드기저귀. .?앙블랑킵프렌즈기저귀앙블랑킵프렌즈기저귀.?일일.?백일기념샷백일기념샷 . .?백일기저귀백일기저귀.?백일사진백일사진 ], 긍정 텍스트 확률 : 80.82%"
"[.앙블랑은 순한 아기 물티슈로 유명한 회사인데요.이번에 아기기저귀도 출시되었다고 하네요..저는 첫찌에서부터 둘찌 현 시점까지 앙블랑물티슈만 사용한 인 인데요.앙블랑 킵프렌즈 기저귀까지 만나볼수있어서 반가웠답니다 ㅋ ], 긍정 텍스트 확률 : 74.53%"
"[ .제가 좋아하는 보라색 으로 패키지가 되어있네요.포장지색깔부터 귀여운 동물친구들까지 엄마취향저격이네요 ㅎㅎ ], 긍정 텍스트 확률 : 99.55%"
"[ .앙블랑 킵프렌즈는 타사와 다르게 귀여운 동물친구들이 그려져있답니다.이 친구들은 그냥 동물이 아니고 소중한 천연기념물 인데요.우리 아이들처럼 보호하고 지켜야할 천연기념물 동물들을 잊지 않고자 디자인에 넣었다고 하네요 굿굿 ], 긍정 텍스트 확률 : 91.45%"
"[ 기존에 쓰던 기저귀와 비교해보았어요위 파랑색이 기존기저귀이고 아래가 앙블랑 킵프렌즈에요확실히 울트라 소프트 슬림핏이라 그런지 타사에 비해 슬림하고 길쭉하여 아이들이 활동하기도 편하고 배까지 넉넉하게 감싸주어 좋은것같아요 ], 긍정 텍스트 확률 : 88.95%"
"[ 중 맥스 흡수채널로 위], 긍정 텍스트 확률 : 53.47%"
"[ 허리를 잘못 조정했을때나 용변처리후 뗏다 붙였다를 여러번하는 경우가 있는데 접착력이 약하지 않아서 만족스럽네요 ], 긍정 텍스트 확률 : 65.53%"
"[감사하게도 아연이가.?앙블랑앙블랑 에서 새로 출시한.?킵프렌즈킵프렌즈.?기저귀기저귀 를 체험할 수 있게 되었어요아연이는 단계 착용했어요단계 밴드형 기저귀는 까지 사용가능하며 개가 들어있답니다. ], 긍정 텍스트 확률 : 56.82%"
"[ 배 강화된 허리텐션과 초박형 슬림핏으로 최상의 착용감을 느낄 수 있다고 해요 ], 긍정 텍스트 확률 : 77.69%"
"[ ㅋㅋ귀여운 방댕이에 젖소캐릭터가 그려져있으니 귀여움 두배귀염뽀짝 하지요? ], 긍정 텍스트 확률 : 92.20%"
"[ 흡수력은 최대한 높여 아기 엉덩이를 항상 보송보송하게 유지해준데요 ], 긍정 텍스트 확률 : 56.80%"
"[ 예쁘니 귀엽게 앉아서 여기저기 다 다니며 잘 놀았어요부드러운 감촉과 뛰어난 통기성으로 만족한 제품이에요 ], 긍정 텍스트 확률 : 99.63%"
"[.?앙블랑앙블랑.?킵프렌즈킵프렌즈.?기저귀기저귀 착용 후 움직이는 영상이에요앙블랑 공식 홈페이지...... 본 포스팅은 앙블랑에서 제품을 제공 받아 솔직하게 작성된 리뷰입니다. ], 긍정 텍스트 확률 : 63.06%"
"[기저귀 어떻게 채우는 지 몰라서 수유하고 응가하면선생님 기저귀 좀 갈아주세요ㅠㅠㅠ 하던 때라 기억이 잘 안나요.다만 이걸 계속 쓰고 싶지는 않았어요.. 하기스 네이쳐메이드 단계], 긍정 텍스트 확률 : 89.36%"
"[안쪽 색이 순백색이 아니어서 초보엄마는 쉬했는지 안 했는지 구분이 어려웠다는...그때는 소변줄이라는 게 있는 줄 몰랐기 때문이져.......ㅋㅋ저는 기저귀를 자주 갈아주는 편이라 가성비가 좋지 않은 네이쳐메이드는 단계에서 내치기로 합니다.. 하기스 맥스드라이 단계맘큐어플 신규가입 주 이내에 맥스드라이 한 팩을 천원대에 살 수 있었어요.근데 이게 매일 구입이 되더라구요?? 일째에 알아서.. 암튼 팩을 샀어요. 매일 택배가 하나씩 일 동안 왔숨니다.네이쳐메이드보다는 덜 부드럽지만 사이즈는 약간 여유 있는 느낌이었어요.이거 밤기저귀로 많이 쓰시더라구요. 근데 저에게 맥스드라이는 분노.......ㅠㅠ새벽에 기저귀 넘쳐서 며칠 연속으로 깨고 나니... 밤기저귀를 당장 바꾸게 되었어요.딸내미가일부터 통잠을 자기 시작했는데요], 긍정 텍스트 확률 : 98.06%"
"[맥스드라이팬티 단계. 킨도 보라색 단계하기스 단계가 작아져서 후기 좋은 킨도 보라색을 구입했어요.저랑 비슷하게 출산한 같은 라인 층 새댁도 킨도 쓰더라구요.지나가다 집앞 택배보고 따라 사봤습니다ㅋㅋ사실 써봄에서 단계 샘플을 사보니 하기스보다 사이즈가 넉넉하고 괜찮아서 샀어요.네이쳐메이드보다는 뻣뻣한데], 긍정 텍스트 확률 : 96.06%"
"[이맘때 애기들 기저귀 하는 거 온세상이 다 알아서 전상관없어요.차로 오래 이동할 때나 기저귀 갈 곳 마땅찮은 외출], 긍정 텍스트 확률 : 77.80%"
"[그럴 때도 빌로기 사용하고 있어요.지금은 ], 긍정 텍스트 확률 : 65.36%"
"[기저귀 밴드에 아기 피부가 쓸렸어요.그리고 허리밴드... 등쪽에 샘방지 주름이 없네요???????? 그래서 등으로 똥이 몇 번 샜네요???????? 저렴하지도 않으면서...그 때부터 마음이 떠서 또 막 사용하기 시작... 재구매 안 했습니다.제가 일제 제품을 잘 쓰지만], 긍정 텍스트 확률 : 72.07%"
"[대형메리즈 대신 구입해본 매직소프트. 울트라씬이랑 엄청 고민하다가 아직 덜 더우니 매직소프트를 구입.아기 체중도 사이즈가 애매해서 중형 팩], 긍정 텍스트 확률 : 55.36%"
"[대형 팩으로 섞어 샀어요.나비잠의 큰 장점이 사이즈를 섞어서 살 수 있다는 거죠.가성비가좋아요.부드럽고], 긍정 텍스트 확률 : 57.31%"
"[ 기저귀 탓이라기보다 저희 딸이 응가 해도 안 울고 격하게 잘 놀아서...제가 늦게갈아준 탓이라고 생각됩니다.낮에 자주 갈아주기에 트집잡을 게 없어요. 근데 중형을 팩만 주문해서 궁금했던울트라씬을 또 주문했어요.아기가 지금 킬로체형은 배날씬], 긍정 텍스트 확률 : 95.26%"
"[다리 약간 통통인데 대형이 아직 좀 커요. 쓸 수는 있지만요.. 나비잠 울트라씬 중형울트라씬이 매직소프트보다 사이즈가 약간 더 여유있어요.중형 사이즈가 매직소프트는 지금이 저스트사이즈고], 긍정 텍스트 확률 : 88.01%"
"[울트라씬은 살짝 여유 있어요.살 때 샘플로 울트라씬 대형을 받았는데], 긍정 텍스트 확률 : 94.03%"
"[저희 아긴한 번도 기저귀 발진이 난 적이 없어서 아직 구매동기가 없네요.팸퍼스는 특유의 냄새가 저는 불호라서 안 살 거에요.리프가닉은 무표백이라 옅은 갈색이에요. 색으로 소변 확인하시는 분들은 참고... 다른 기저귀들보다 좀 뻣뻣한 편이구요.. 네이쳐러브메레], 긍정 텍스트 확률 : 97.71%"
"[네이쳐러브메레는 딱히흥미가 없어요.. 그리고지금 리베로 컴포트 택배를기다리고 있어요. 좋다는 이야기를 많이 들어서 단계로 구입했는데 어떨지 기대됩니다.아기 낳기 전에는 세상에 이렇게 많은 기저귀가 있는지 몰랐어요.궁금한 게 많아 정착은 못할 거 같고], 긍정 텍스트 확률 : 83.21%"
"[앞으로 어떤 기저귀를 써볼지 기대되네요.밴드 뒤엔 팬티가 또 있으니까요ㅋㅋㅋ 좋은 기저귀 추천해주세요.. 사진 몇 개 찍어보았습니다....... ......? 본문 이미지윗줄 빌로기 맥시뉴메리즈 에코씽씽 밴드 아래 나비잠 매직소프트 대형울트라씬 중형마미포코 리프가닉 중형뒤집어지뮤...... ......? 본문 이미지왼쪽부터빌로기뉴메리즈모모래빗...... ......? 본문 이미지왼쪽부터나비잠 매직소프트울트라씬마미포코 리프가닉...... ......? 본문 이미지왼쪽부터빌로기뉴메리즈모모래빗...... ......? 본문 이미지왼쪽부터나비잠 매직소프트울트라씬마미포코 리프가닉], 긍정 텍스트 확률 : 99.67%"
"[ 요즘 생리대], 긍정 텍스트 확률 : 85.73%"
"[주변에 쓰는 사람들이 없으니후기를 들을수가 없어요ㅠ쓰시는 분들 어떤가요?.?], 긍정 텍스트 확률 : 73.47%"
"[ 앙블랑 기저귀물티슈 후기 ], 긍정 텍스트 확률 : 51.44%"
"[날씨가 무지 좋은 어느날 이벤트에 당첨되었다며기저귀 한 팩과 물티슈 한박스가 왔어요.원래는 기저귀 한 팩과 물티슈 한 팩이었는데], 긍정 텍스트 확률 : 80.82%"
"[제가 신청한 유니 발달 단계에 맞는 단가계 왔네요. 하기스 매직을 최근에 쓰고 있어서 그 모습에 익숙하다 그레이톤을 보니 뭔가 세련된 느낌이에요. ], 긍정 텍스트 확률 : 70.45%"
"[ 그 기저귀도 부드러웠거든요. 앙블랑도 정말 부드럽네요. 그리고 마더 만큼 부드럽지만 좋은건], 긍정 텍스트 확률 : 80.03%"
"[기저귀 발진이었는지 모르지만 상태가 완화되어 저는 넘나 좋아요그전에 사둔 것들이 있어서 섞어서 쓰고 있지만 기저귀 구매한다면앙블랑 재구매의사 입니다. 이제 물티슈 갑니다. 앙블랑 물티슈가 유명한 지 이번에 알았습니다체험팩으로 받은 물티슈는 앙블랑 카키 입니다. 포장지가 세련됐네요. 이쁜 물티슈로도 유명하다네요. ], 긍정 텍스트 확률 : 81.40%"
"[그렇지만 포장보다 중요한 건 성분이겠죠?종 무첨가는 기본입니다. 그런데 요즘 나오는 물티슈들 웬만하면 다 그럴걸요 ], 긍정 텍스트 확률 : 50.15%"
"[이번 체험팩 이용은 정말 정말기분 좋았습니다.], 긍정 텍스트 확률 : 92.35%"
"[ 팬티기저귀 추천 앙블랑 킵팬티 기저귀 단계 여아용 후기], 긍정 텍스트 확률 : 69.95%"
"[안녕하세요얼마전 드디어 생후일을 돌파한 선물이 엄마에요], 긍정 텍스트 확률 : 91.53%"
"[남아용], 긍정 텍스트 확률 : 56.51%"
"[애기들은 왜 꼭 비싼 장난감 놔두고물티슈], 긍정 텍스트 확률 : 70.25%"
"[손수건 이런걸 이리도 좋아하나 몰라요ㅋㅋ ], 긍정 텍스트 확률 : 60.01%"
"[끝에는 이렇게 손잡이도 달려있어서 이동시 편해요선물로도 좋겠죠아기 낳기 전엔 몰랐는데], 긍정 텍스트 확률 : 74.88%"
"[ 아기 낳고보니 기저귀 선물이 정말 유용하고 센스있는 거더라고요 ], 긍정 텍스트 확률 : 59.90%"
"[습기가 적고 직사광선이 들지 않는 곳에서], 긍정 텍스트 확률 : 79.05%"
"[초보엄마들에게 꼭 필요한 ], 긍정 텍스트 확률 : 95.76%"
"[팬티기저귀 처음 착용해보는 우리 선물이아직 아기랑 말이 안 통하다보니착용감을 물어볼 순 없었지만], 긍정 텍스트 확률 : 52.99%"
"[일단 엄마 입장에서는 기저귀 갈기가 넘넘 편하더라고요신세계였어요 ], 긍정 텍스트 확률 : 97.30%"
"[그리고], 긍정 텍스트 확률 : 70.21%"
"[마치 기저귀를 안 한듯슬림한 우리 아기의 뒷태 ], 긍정 텍스트 확률 : 51.93%"
"[아기가 가장 편안한 초슬림핏으로], 긍정 텍스트 확률 : 65.67%"
"[감촉도 참 부드럽고 좋은 앙블랑 팬티기저귀왼쪽이 앞], 긍정 텍스트 확률 : 72.28%"
"[오른쪽이 뒤 입니당최첨단 에어홀 설계를 적용해 뛰어난 통기성으로], 긍정 텍스트 확률 : 61.82%"
"[이중샘방지 처리 되어 있어 아기가 뒤집고 앉고 서고 해도 안심 ], 긍정 텍스트 확률 : 57.20%"
"[옆부분이 정말 잘 늘어나서 아기가 정말 편할 것 같아요 ], 긍정 텍스트 확률 : 81.20%"
"[배 통통 아가들도 편안하게 착용할 수 있겠어요. ], 긍정 텍스트 확률 : 69.35%"
