"[ ...요즘 눈에 띄는 기저귀가 있어서 사용해본..애플크럼비 기저귀예요....지금 홈페이지에서 친구추가이벤트중이라], 긍정 텍스트 확률 : 89.18%"
"[교환환불 및 배송 등 해당 상품 자체와 관련 없는 문의는 고객센터 내문의하기를 이용해주세요.해당 상품 자체와 관계없는 글], 긍정 텍스트 확률 : 54.94%"
"[.아이의 손이 닿지 않는 곳에 보관해주시고], 긍정 텍스트 확률 : 82.50%"
"[ 책임자와 전화번호], 긍정 텍스트 확률 : 62.66%"
"[역대가할인 타임딜 번가 단독 오가닉 애플크럼비 기저귀 밴드팬티 ], 긍정 텍스트 확률 : 66.12%"
"[첫 아기를 낳고 나도 초보엄마의 생활이 시작되었어요.누구나처럼 육아에대해 아무것도 몰랐던 나였기에.. 분유도 기저귀도 조리원에서 사용하던 그대로 쭉 써왔었네요. 울 아기 첫 기저귀는 가장 많이쓴다는 하 네이처 였어요. 조리원에서 쓰기도했고], 긍정 텍스트 확률 : 97.42%"
"[선물받았던거기에 다 쓸때까지 아무생각하지않고 사용했었어요. 나름 만족하며 사용하고있었던 일무렵.. 아기의 성장과함께 응아 양도 많아지기 시작할때였어요. 완모아기라 묽은 응아를 싸주시던 우리 로우니....... 덕분에.... 응아가 여기저기새거나], 긍정 텍스트 확률 : 56.06%"
"[ 엄마가 울애기 응아가 머 더럽겠냐며. 그보단 울아기 피부발진이 걱정되었어요.그러면서 처음으로 기저귀를 바꿔보려 여기저기 서칭하기시작했드랬죱주변 지인들의 추천과 통해서 열심히 검색하다가 밤귀저기로 유명한 독일 기저귀 킨 를 알게되어 한동안사용하게되었어요. 해당 기저귀는 전에쓰던 하 기저귀에비해 화약냄새가 좀 많이나는것같았어요.그리고 사용하다보니엉덩이 발진과함께 등은여전하더라구요. ㅠ], 긍정 텍스트 확률 : 96.33%"
"[ 깊은 한숨과함께 다시 기저귀 유목민 생활시작.... 열 검색하던 어느날..], 긍정 텍스트 확률 : 99.51%"
"[ 티몬에서 택배비 원만 결제하면 샘플팩 개를 보내주는 이벤트를 통해 처음으로 애플크럼비 기저귀를 알게되었어요. 하도 좋다좋다기에 ... 바로 샘플팩부터 신청했었드랬죱 샘플팩을 사용해본 몇일간....... 바로 이거야 내아기 엉덩이를 책임져줄 내가찾던 기저귀였어요], 긍정 텍스트 확률 : 80.47%"
"[ 포장지부터 고급스러움이 묻어나죠?? ㅎㅎ], 긍정 텍스트 확률 : 75.24%"
"[ 현재 . 키로인 우리 로우니는 중형사이즈를 사용중이에요], 긍정 텍스트 확률 : 95.08%"
"[소변선이 선명하게 보이네요. 이뿌다 이뽀 무슨 기저귀가 이렇게 고급지죠?? 그리고 애 플크럼비의 최대 장점중 하나죠....천연 유기농 기저귀에 걸맞는... 극강의 부드러움입니다....ㅠㅠ 이건 직접 만져봐야해요..... 기존 기저귀이비해....... 어찌나 부들부들한지.... 오버 도 안보태고...정말 천에가깝다고 느낄정도로 부드러웠어요.], 긍정 텍스트 확률 : 97.56%"
"[ 기존에쓰던 킨 기저귀와 비교컷입니다. 사이즈도 애플크럼비 기저귀가 좀더 크다는게 보이시죠??디자인도 확연히 다르네요... 애플크럼비가 더욱 고급고급스럽습니당 ㅎㅎ], 긍정 텍스트 확률 : 89.96%"
"[ 애플크럼비 착샷입니다. 모델은 울 애기 로우니입니다. ㅎㅎ 옆에 날개부분의 여유로운핏과], 긍정 텍스트 확률 : 93.00%"
"[ 조금 거북한 사진일수있지만... 응아한 로우니입니다... 사진 보는방향에서 왼쪽에.. 응아가 고여있네요 우리 로우니는 지금 일된 아기인데요. 조금 빠른편이라. 애벌레처럼 조금씩 기는단계라 금방 응아를 갈아주지않으면 금방 응아가 새는데 애플크럼비를 사용하면서는 지금까지 한번도 샌적이없었네요...], 긍정 텍스트 확률 : 75.83%"
"[ 지금껏 사용한대로라면 단점없이 잘 사용하고있는 애플크럼비 기저귀입니다. 특별한 단점을 찾기전까지는 쭉사용할 예정이랍니다. 로우니처럼 등똥과 엉덩이발진이 잦은 아기로 아직까지 기저귀 유목민 생활을하고계신 맘님들 계시다면 자신있게 추천해드려요지금까지 내돈주고 구매해서 사용중이고], 긍정 텍스트 확률 : 94.07%"
"[좋은기회에 체험단의 기회까지 받게되어 사용후 쓴 후기입니다. ...? .?바비앤토미바비앤토미글이 맘에 드셨다면 좋아요 한번 클릭... ], 긍정 텍스트 확률 : 82.53%"
"[...? .?해운대해운대.?장산장산피부관리실웨딩케어네일샵추천경락바비앤토미뷰티샵 ...? .?해운대경락해운대경락.?해운대네일해운대네일산후관리하체경락브라질리언메이크업웨딩케어 ...? .?해운대마사지해운대마사지.?부산여행부산여행애플크럼비밤기저귀유기농기저귀명품기저귀천기저귀육아템오가닉기저귀 ], 긍정 텍스트 확률 : 79.58%"
"[최대특가쿠폰 애플크럼비 친환경 프리미엄 기저귀 밴드팬티 팩원 즉시할인가역대할인깜짝할인 상품을 열심히 찾아서 리스팅 해보았어요실히 저렴하고 싸게사는 유용한 방법과 팁입니다.특가상품 인기상품은 금방 품절되니 유의하세요해당 특가정보는 년 월 일 금요일 전 시 분 기준입니다. 상품 상세 구매정보와 리뷰후기를 확인하려면 래 링크주소로 들어가세요 ▼▼▼ .. ], 긍정 텍스트 확률 : 96.31%"
"[ 하루 중복할인원 즉시할인가깜짝역대 할인 상품을 열심히 찾아서 리스팅해보았어요특가상품 인기상품은 금방 품절되니 유의하세요해당 특가정보는 년 월 일 금요일 오후 시 분 기준입니다. 상품 구매 상세정보와 리뷰후기를 확인하시려면 아래 링크주소로 들어가세요 ▼▼▼.. ], 긍정 텍스트 확률 : 66.37%"
"[나의 주말이 독박 육아라면], 긍정 텍스트 확률 : 68.34%"
"[ 복권 등 정도에 해당하는 신랑의 출근..그래도 우리 셋이 어디라도 가자며 준비를 하다가 지쳐 그냥 집 앞 놀이터에서 노는데..나가기 전 둘째에게 엄마], 긍정 텍스트 확률 : 75.29%"
"[정말이야.. 말 안 들으면 그냥 들어올 거야.. 듣기도 잘 듣고], 긍정 텍스트 확률 : 55.42%"
"[대답도 잘 하지만나가는 순간 누구의 아들인지 모른척하고플 때가 많아요 ㅋㅋ 두 달 뒤면 살이 되는데..미운 살이 지나간 건 아닐 거 같고], 긍정 텍스트 확률 : 63.39%"
"[얌전해질 거라는 기대를 내려놓게 한 내아들래미♥간식이며 반찬이며 모든 게 어린이 같지만], 긍정 텍스트 확률 : 99.16%"
"[아직 오가닉기저귀 차며 잠드는 세 살이지요. ], 긍정 텍스트 확률 : 64.63%"
"[우리 주 일은 이렇게 형을 기다리며 선택의 여지가 없는 데이트를 해야 하는데요.. 어찌나 따라오라고 하는지 ㅜㅠ겸사겸사 운동한다 생각하는데 추위보다 견딜 수 없는 건 생떼 지나가다 더 어린 아기를 데리고 계시는 분들은 저를 부러워하기도 해요. 다 키운듯해 보이는 개월 수... 그러나 더 어릴수록 케어는 수월함], 긍정 텍스트 확률 : 92.92%"
"[년 가까이 아이들을 육아하면서 알게 되는 게 많지만], 긍정 텍스트 확률 : 87.12%"
"[그중에서도 엄마들이 많은 관심을 갖는 게 위생용품이잖아요.오가닉기저귀 애플크럼비 새롭게 접해보는 거라 관심을 갖게 됐는데 하나하나 살펴보곤 꼭 우리 아이가 써보면 좋겠다는 생각을 갖게 됐답니다. ], 긍정 텍스트 확률 : 99.98%"
"[밥 잘 먹고 나면 이지만], 긍정 텍스트 확률 : 70.31%"
"[선택에 있어 중요한 것들을 대표적으로 꼽는다면 어떤 게 있을까요?그건 아이에 따라 다르겠지만], 긍정 텍스트 확률 : 78.12%"
"[일본 기술력으로 우수한 흡수력과 습기 방지 테두리 등.. 대표적으로 꼽는 것들에 있어서도 안심이 되기도 해요. ], 긍정 텍스트 확률 : 78.67%"
"[과연 애플크럼비에는 어떤 반응을 보일지가 가장 궁금했답니다 제가 좋아 보여서 사는 것보단 아이가 편안하게 잘 찬다 싶으면 이제는 사게 되거든요. 그래서 다른 걸로 바꾸고 나면 관심 있게 보곤 해요. ], 긍정 텍스트 확률 : 96.77%"
"[오늘은 아빠의 부재로 오가닉기저귀 신축성 테스트는 살 형님이 도와줬어요ㅋㅋ허리밴드를 잡고 쭉 잡아당겨 보겠습니다. ], 긍정 텍스트 확률 : 69.20%"
"[습기를 방지해주는 부분이 나풀나풀하다 보니 아이들이 다리를 구부리고 앉고 해도 조이지 않고], 긍정 텍스트 확률 : 55.64%"
"[착용했을 때에도 살에 닿지 않아 불편해하지 않더라고요. 이 부분에 있어서는 까칠한 우리 아들이 증명해줘요 ㅋㅋ ], 긍정 텍스트 확률 : 60.74%"
"[하루에 한 번은 꼭 타야 하는 자동차], 긍정 텍스트 확률 : 60.46%"
"[아이도 밤에는 그래도 하는 게 낫다 싶어요.], 긍정 텍스트 확률 : 63.48%"
"[깔끔한 디자인과 함께 기능도 충분히 발휘가 되네요 ], 긍정 텍스트 확률 : 90.28%"
"[두 아들과 일 같은 이틀의 주말을 보내면서 빨리 컸을 좋겠다는 말을 오십 번은 한거 같아요..다 크고 나면 이때가 그리워질 텐데요.. 어른들 말씀하시길 그래도 기저귀 찰 때가 좋은 때라고 하니깐요.제가 느끼기엔 살 정도도 괜찮습니다 ], 긍정 텍스트 확률 : 67.57%"
"[선택에 있어 고민이 많이 되고 후기를 찾아보고 선택하게 되는 게 아이 용품이고], 긍정 텍스트 확률 : 52.41%"
"[그중에서 위생 관련에 있어서는 까다롭게 만들어지고 선택. 비교되어야 한다는 생각을 하는데요. 오가닉기저귀 애플크럼비를 구매하시는 분들께 도움이 되었으면 합니다..? ..? ], 긍정 텍스트 확률 : 71.70%"
"[기저귀 발진등의문제로 다른 기저귀를 서치하다알게 된 ], 긍정 텍스트 확률 : 72.55%"
"[요렇게 뜯는 점선이 있고 ], 긍정 텍스트 확률 : 58.25%"
"[기존에 사용중이던리베로와 비교샷 ], 긍정 텍스트 확률 : 58.40%"
"[우리 아들은 개월 후반쯤 구매했고몸무게는 ..쯤 ], 긍정 텍스트 확률 : 76.69%"
"[사고나서야나도 제대로 보네ㅋㅋ ], 긍정 텍스트 확률 : 83.41%"
"[아래는 홈페이지에도 나와있는기저귀 제조관련 내용공식홈피를 보니말레이시아에서 시작된 듯? ], 긍정 텍스트 확률 : 50.75%"
"[그런데 이번 팩은 만들다 컷팅이잘못된건지 잘린 천조각이ㅠㅠ계속 나옴ㅠㅠ ], 긍정 텍스트 확률 : 90.95%"
"[요렇게 조각이...ㅠㅠ근데 뭐 딱히 문제되지는 않으니까사용 하는중ㅎㅎ ], 긍정 텍스트 확률 : 96.46%"
"[그리구 기저귀 비닐에 있는 공식 말레이시아홈피에 가보면 ], 긍정 텍스트 확률 : 57.91%"
"[우리나라 공식홈에서는팩에 ], 긍정 텍스트 확률 : 66.76%"
"[환율을 따져 계산해보면팩을 더주고 만원정도 차이뭐 수입하고 그런거 생각하면...암튼 나는 좀ㅠㅠ가격이 아쉽다특히 기존에 사용중이던리베로와 장당 가격을 비교해보면리베로는 원정도애플크럼비는 원뭐 재료를 훨씬 더 좋은걸 쓰나봄 ], 긍정 텍스트 확률 : 97.91%"
"[아직 두팩이 남아있고좀 더 사용해보고 정착할지또 다른 기저귀를 찾아나설지고민해봐야겠다발진없고 통풍잘되고 가격도 좋은 기저귀추천해주세요오 ], 긍정 텍스트 확률 : 78.97%"
"[ 아이가 태어나면 엄마 입장에서 제일 고민인게 기저귀 선택 같아요.저도 울 쌍둥이가 태어나고 조리원을 들어가면서 주변에서 제일 많이 쓴다는 이유로 아기기저귀를 선택했던 적도 있었어요. 우리 아이에게 잘 맞는 기저귀를 선택하는것도 엄마로썬 큰 일이라 생각을 합니다.최근에 새롭게 런칭된], 긍정 텍스트 확률 : 98.74%"
"[아이를 처음 키워보는 저로썬 기저귀 채우는 것도 큰 숙제처럼 느껴졌었어요. 밴드형 기저귀 채우는것도 허둥지둥 헤매서 먼저 아기를 키운 동생에게 전화도 해보고 아니었었는데 이젠 어둠속에서도 눈감고 채울 정도가 되었네요. 다른 기저귀에선 보기힘든 기저귀 채우는 법도 옆면에 설명이 되어 있어요. 초보엄마에게는 이런것도 큰 도움이 됩니다. ], 긍정 텍스트 확률 : 66.65%"
"[노란색 소변줄이 있어서 육안으로도 기저귀 교체시기를 확인할 수 있습니다. 파란색으로 변하면 갈아줄 시기가 된거에요. ], 긍정 텍스트 확률 : 87.70%"
"[허리 밴드도 적당한 탄성을 가지고 늘어나서 입히기도 쉽고 아이가 활동할 때도 불편함이 없어요.너무 약해도 벗겨질거고 너무 강해도 아이 배가 쫄려서 아플텐데 편안한 정도로만 늘어나서 좋았어요. ], 긍정 텍스트 확률 : 82.04%"
"[아이 소중한 부위가 닿는 곳이 실은 제일 중요할텐데 통기성이 있는 부드러운 시트에 순하고 매끄러운 면으로 기저귀 발진을 최소화 하고 있어요.한겹이 아닌 무려 세겹으로 기저귀 샘을 방지하고 입체 벌집 패턴 엠보싱으로 최대한 빠른 흡수를 하도록 도와주고 있어요.우리 아이가 사용하는거라 정말로 흡수력이 좋은지 실험을 해봤습니다. ], 긍정 텍스트 확률 : 94.29%"
"[스르르 흡수되는게 보이실거에요.붓고나서 얼마 시간 지나고 눌러서 만져보는데 묻어남 없이 보송해진 상태에요. ], 긍정 텍스트 확률 : 94.55%"
"[거기에 옆날개는 샘을 방지해줘서 더더욱 안심입니다.걷기 시작하고 활동이 많아지면 기저귀가 새는 경우도 꽤 많이 발생을 하는데 한겹이 아닌 무려 세겹으로 되어 있어서 좋아요. ], 긍정 텍스트 확률 : 86.12%"
"[누가 멀리 있는 쓰레기통에 골인시키나 등의 놀이의 도구로 활용할 수 있습니다. 하루에만 수십개의 기저귀를 갈아야만 했던 쌍둥이 신생아시절], 긍정 텍스트 확률 : 66.00%"
"[이런 잔재미로 웃음을 지었었는데 이젠 그 추억을 생각하며 미소짓게 되네요. ], 긍정 텍스트 확률 : 89.05%"
"[허리 밴드도 얇지만 신축성있게 잘 늘어나서 허리를 잘 잡아주고 있어요. ], 긍정 텍스트 확률 : 63.93%"
"[오 이거 대박인데 외쳤거든요. ], 긍정 텍스트 확률 : 93.59%"
"[신나게 바깥에서 놀다가 들어온 울 둥이], 긍정 텍스트 확률 : 89.62%"
"[목욕시키려고 데리고 가려는데 둘이 안고 난리가 난거에요. 아주 우애가 깊은 쌍둥이 형제 ♡ ], 긍정 텍스트 확률 : 82.30%"
"[요즘 둘이 좋아 죽어요 ㅋㅋ ], 긍정 텍스트 확률 : 90.44%"
"[내년되면 그리워질 기저귀 입은 모습.흡수 잘되고 보송한 애플크럼비 기저귀 덕분에 이번 여행은 기저귀 샐까봐 가지고 간 여분의 옷이 필요없을 정도로 잘 마치고 돌아왔어요.부드럽고 흡수력 좋고 고급스러운 아기기저귀를 찾으신다면 애플크럼비 살포시 추천하고 저는 갑니다. ], 긍정 텍스트 확률 : 85.56%"
"[판매자가 된 소비자 마켓의 사회심리학], 긍정 텍스트 확률 : 85.95%"
"[ 리포트 나홀로 사장님② ], 긍정 텍스트 확률 : 59.03%"
"[불황과 맞물려있다. 젊은이들의 취업이 갈수록 어려워진 가운데 가성비가격 대비 좋은 성능를 추구하면서도 자신만의 독창적 아이템을 찾는 새로운 소비 트렌드가 생겨나면서 인마켓도 함께 성장하는 것이다. ], 긍정 텍스트 확률 : 97.42%"
"[마케팅비가 필요 없다. 과거와 달리 손쉽게 온라인 쇼핑몰을 개설해 운영할 수 있고 인스타그램 등 사회관계망서비스를 통해 홍보할 수 있게 돼서다.], 긍정 텍스트 확률 : 73.34%"
"[홍희정 유로모니터 수석연구원은 밀레니얼 세대년대 초반 출생에게 인플루언서는 동경과 모방의 대상인 동시에 연예인보다 친근한 존재라고 설명했다.], 긍정 텍스트 확률 : 51.96%"
"[가성비 높은 물건이 많다. 구매대행으로 인 마켓을 시작한 미스코리아 출신 이윤영씨가 국내에 소개한 미국 유기농 기저귀 애플크럼비는 하루에 만팩이 판매되는 기록을 세웠다.], 긍정 텍스트 확률 : 71.99%"
"[액세서리 외에도 다양한 분야의 전문숍들이 즐비하다. 비슷한 성향과 관심을 가진 고객들이 포털검색을 통해 유입되면서 자연스럽게 모객효과를 일으킨다. ], 긍정 텍스트 확률 : 61.72%"
"[곽금주 서울대 심리학과 교수는 평소 로 계속 봐왔던 사람에게 친숙성을 갖게 되고 자연스레 호감과 신뢰감이 생겨 구매로 연결되는 것이라고 설명했다. 곽 교수는 또 다른 사람의 구매 후기], 긍정 텍스트 확률 : 82.59%"
"[반응이 주된 의견처럼 올라오면 그 집단에 소속되고자 하는 욕구가 강해진다며 소속감에 대한 욕구가 구매 충동을 불러오는데 특히 물량이 제한된 경우 더욱 그렇다고 말했다.], 긍정 텍스트 확률 : 86.67%"
"[ 금액은 글작성 당시 가격입니다. 꼭 다시한번 확인해주세요 ], 긍정 텍스트 확률 : 86.06%"
"[ 현제 할인율할인 ], 긍정 텍스트 확률 : 57.16%"
"[저는 기저귀 유목민입니다ㅎㅎ 하기스], 긍정 텍스트 확률 : 82.55%"
"[네띠 이렇게 써본거 같아요. 사용하면서 제 마음에 쏙 드는게 딱히 없어서 본의아니게 유목민이 되었답니다아기 아토피가 있는데 기저귀의 화학성분 때문인지 허벅지 라인 발진이 생겨서 계속 되더라구요ㅠㅠ 그래서 요즘은 집에서는 천기저귀하고], 긍정 텍스트 확률 : 98.45%"
"[ 흡수력은 괜찮은 것 같아요ㅎ 근디 이제 한여름이 다가오니 재구매는 안할듯요 더 가벼운 기저귀 찾아야겠어요인스타 팔로우해두고 항상 핫딜뜨면 바로 쟁여두는 기저귀랍니다 🙂 쿠팡에서 이제 로켓배송으로 받을수있어서 더 좋으네요 둘째가 발진이 정말 심했는데 이 기저귀쓰고는 전혀 문제없이 지내고있어요 만져보면 정말 부드럽고], 긍정 텍스트 확률 : 58.66%"
"[나머지는 사진처럼 다 없어서 뒷처리가 깨끗하지 못하네여. 하나는 이미 어린이집 보내 사용중이고], 긍정 텍스트 확률 : 76.25%"
"[ 금액은 글작성 당시 가격입니다.구매전 꼭다시한번 확인해주세요 ], 긍정 텍스트 확률 : 83.52%"
"[ 본 블로그의 모든 상품은공식 홈페이지를 통해 진행 되는 안전한 제품입니다. ], 긍정 텍스트 확률 : 67.93%"
"[ 임신주일마지막검사 ], 긍정 텍스트 확률 : 75.55%"
"[그리고....이나 뿔어서 무릎도 아프다ㅠㅠ원래 나의 계획은... 열심히 임산부 요가도 하고 티치랑 산책도 하며키로 이상 찌지 않기로.. 건강한 임신생활을 하고 싶었으나..임신 중기에 허리가 심하게 아픈뒤론..먹고 자고 눕고..... 본의 아니게.... 집에서 잘 쉬는중 ㅠㅠ지난주엔 주라 막달 검사를 했고 분홍이 .키로어제 막달검사 결과 들으러 가니 .키로가 된 우리아가 ], 긍정 텍스트 확률 : 92.63%"
"[ㅋㅋㅋㅋㅋㅋㅋㅋㅋ머리크기 실화니????너... 주 머리.... 담당선생님께서 ㅋㅋ 엄마는 어차피 수술이라 괜찮지만자연분만 했으면 결국 수술 했어야 했을꺼라고 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 94.82%"
"[더부룩하던 속이 편안해진다화장실을 자주 가게된다미세하게 생겼던 변비도 사라진다허리랑 등까지 뻐근해지는 통증이 생긴다옆으로 돌아눕기 힘들어진다소변보는 곳이 찌릿하게 느껴진다태동하면 배를 뚫고 나올것만 같다눈이 침침해졌다태동이 막달이면 줄어야 정상이라는데우리 아긴... 아직 엄마 뱃속에서 매일매일 신나는중 ㅋㅋ ], 긍정 텍스트 확률 : 91.50%"
"[남편 회사동료가 선물해주신 스펙트라 젖병소독기처음엔 유팡으로 하려다가.. 크기에 놀래고...전체적으로 우리집 주방에 맞는 색을 찾으려니 무조건 화이트...아기용품이 하나씩 자리잡으니... 구질구질해지는데색따위 무슨 소용이겠냐만 알록달록한건 ㅠ 거실 하나로 ㅠ저 옆엔 솔릭스 분유포트도 있다우리집 퓨리케어 정수기는 온수가 ], 긍정 텍스트 확률 : 65.94%"
"[엄마랑 나는 허리가 안좋아서아기기저귀 갈때 너무 필요할것같아서 구매한이케아 솔굴 기저귀갈이대여러가지 종류가 있지만..키큰 우리 모녀에게는 제일 높은게 필요했다...저렴한 굴리베르? 는 이미 품절이고...가격은 만원 정도인데이거는 육아용품 준비할때부터 제일 첫번째로 장바구니에 담아놓은것옆에 바구니엔 체온계], 긍정 텍스트 확률 : 74.41%"
"[기저귀 여벌옷 담아둘 예정 ], 긍정 텍스트 확률 : 74.02%"
"[아기분유도 몰랐지만 기저귀도 이렇게나 많은 브랜드와또 브랜드마다 같은 라도 사이즈가 다 다름...팸퍼스], 긍정 텍스트 확률 : 82.55%"
"[몇가지 브랜드를 골라서 개씩 주문했다....뭐 물론 하루에 많게는 개 이상도 쓴다는데....우선 몇개는 뜯어보자마자 실망 ㅠ밴드형 찍찍이를 때어내자마자 부직포가 찍 따라 뜯기는 제품도 있다....난 애플크럼비를 쓰고 싶어서 팩 정도 사두었는데... 런칭 초반이라세일이라 샀지만 원가대로 팔면ㅠㅠ 다른 기저귀로 갈아타야겠지 ㅠㅠ만져보면 원단이 다르다는걸 느낀다울 엄마한테 뭐가 좋은거라고 말도 안해줬는데이게 제일 좋네 하고 말한 제품 ], 긍정 텍스트 확률 : 71.29%"
"[심바이모가 만들어준 우리 분홍이 배넷저고리ㅋㅋㅋㅋ 넘나 귀여운것 ㅋㅋㅋ근데... 조리원 퇴소하고 오면....입을 수... 있을까???? ], 긍정 텍스트 확률 : 84.53%"
"[신생아육아 를 찾아보면꼭 아기는 오일을 바르더라...그래서 유기농 호호바오일로 찾아보니침독에 좋다는 제품... 구매했다그랬더니 같이 바를 수딩젤도 사은품으로 주신것 ], 긍정 텍스트 확률 : 58.95%"
"[애기옷 빨래하다가....내가 지네를 가졌나 싶었네... 뭔 양말을 이리 샀니애기라서 때도 안탈터인데....그리고 심지어 작아서 얼마 신기지도 못할...난 겨울이면 수면양말을 신고 지내는데아기도 추울까봐 하고 핑계를 대본다 ㅋㅋ ], 긍정 텍스트 확률 : 94.36%"
"[쿠팡 로켓배송으로 다음날 바로 받아서 ], 긍정 텍스트 확률 : 72.87%"
"[이런 사진 ㅋㅋ 너무 좋다 ㅋㅋ그리고 너무 공감되고 ㅋㅋㅋㅋㅋ 우리집같다 ㅋㅋ ], 긍정 텍스트 확률 : 99.84%"
"[수술하고 페인버스터 할 예정....뭘 해도 아프겠지만 ㅠㅠ 뭐라도 해봐야지제발 견딜수 있는 통증이길 ㅠㅠ ], 긍정 텍스트 확률 : 80.19%"
"[ 할인중 ], 긍정 텍스트 확률 : 67.40%"
"[위 상품정보는 쿠팡 품목으로 일시 품절이 될 수 있습니다. ], 긍정 텍스트 확률 : 70.01%"
"[⭐⭐⭐⭐저희아기는 잘맞아서 태어나서계속잘 쓰고 있어요 포장도깔끔하게 잘해서 오네요.... . ], 긍정 텍스트 확률 : 81.61%"
"[⭐⭐⭐⭐⭐아기 개월이에요전에 이것 저것 다써봣는데 두번 다시구매 하고 싶진 않아요근데 이번에는 요 상품만쭉 쓸것 같아요 너무늦게 알게 되서 넘아쉬워요 두번째 구매합니다.... . ], 긍정 텍스트 확률 : 50.57%"
"[이 포스팅은 제휴가 포함된 광고로 일정 커미션을 지급받을 수 있습니다. ], 긍정 텍스트 확률 : 70.41%"
"[ 좋은시간이었던치가 힘차게 내쏘아져 트롤 움직인다. ], 긍정 텍스트 확률 : 77.34%"
"[세번째 재구매해요 왕창 사놓지않고 한박스씩 사고있어효 개월이라 얼른 기저귀를 떼야하는데 맘만 항상앞서고있어효그런데 밤에 많은 양을 싸도 정말 허벅지 얇은아이인데도 하나 안새고 애가 잘자니까넘좋내요 개월수가 늘어나니 소변량도 많아져서 어쩌다가 한번씩 쉬야가 넘치는데 후처리가 너무 짜증도나고 힘들더라고효다음에 이사갈땐 침대를 쓰지말아야겠어효사이즈가 아주약간커서 새면어쩌나했는데 전혀안새고요 길이감이 상하로 길어서 엉뎅이 위쪽까지 안심이어효 사실 더 아기아기땐 엎드려많이잤는데 요샌 사람다되어서 똑바로 누워잘자더라고효아는 지인분 아이도 거의 기저귀를 떼긴했는데 밤에는 무서워서 채우고 잔다하더라고요 정말 지금은 작은평수고 아기가 생길지몰라 신혼때 침대를 사서 엄청후회하고 있는데 이제 더 넓은평수로 이사가게되면 그냥 등이 베기지 않을정도의 메트를 사서 가족끼리 다 모여 자야겠어효저랑 아들은 침대 아빠는 쇼파나 거실에서 자거든요 아들태어나면서 이산가족..ㅎㅎㅎ뽀송뽀송하고 길이감도 상하로 길고 깔끔한 화이트에 조금 두터운듯해도 지금 더울때 써봤는데 오히려 땀이 덜생겨효 흡수력이 좋아서 그런가봐효정말 맘에듭니다 조금만 더 쌌으면 좋겠지만.. 막바지 기저귀뗄때나 사이즈가 좀 작아서 샌 아가들은 요거 쓰면좋을것같아효ㅡ개월 밤기저귀로 안새고 탁월ㅡ ㅡ좀위아래로 흡수층이길었음했는데 딱임ㅡ ㅡ킬로지만 크게사는게 애기한테편하고좋음 말랐지만 허벅지로새는일없었음ㅡ ㅡ대체적으로 궁딩이척척하지않음ㅡ ㅡ완즨뽀송한건 이세상에없겠지만. 에코제네시스나 독일산.일본산거보다 뽀송함ㅡ ㅡ별개로시작했지만 이제 정기배송에넣음ㅡ ㅡ완전좋아효.애초부터채워줄걸하는 후회감이있지만다른맘님들이 제 소견을보고 사서채워주셨음좋겠어횩ㅡ ㅡ얇지않고 톡톡한편인데도 땀이덜차고 새벽에한번 갈아주는편인데 애기잠도안깨우고 안갈아주니 안심안심ㅡ ㅡ전체적으로 위아래로긴편이라 올려입히심되구 허벅지쪽은 프릴처럼이쁨ㅡ ㅡ킬로인데 요게딱좋은사이즈라서 평가는다소작다고 클릭할게효ㅡ기저귀 유목민입니다☆ 쿠팡에서 파는 기저귀는 대부분 사본거 같아요 물론 후기 안좋은건 거르고 안샀지만요ㅎㅎ새로운거 사는거 좋아해서 후기는 별로 없지만 평점은 좋아서 구매해봤어요일단 부드럽습니다. 그리고 제가 샀던 어떤 기저귀보다 커요? 개월 .지금은 더 컸을수도 있어요 주전에 잰거라 꿀벅지 오동통 궁딩이 아가라.. 점보 사이즈를 사도 궁딩이가 맨날 까꿍☆ 했었는데.. 이건 완전은 아니어도 대부분 가려집니다ㅜ.ㅜ 감동..발진 이런것도 없고..한가지 아쉬운건 궁딩이가 가려지는만큼 세로로도 커서 빠싹 안올려주면 기저귀가 왼쪽 오른쪽 쏠려요 ㅎㅎ 처음에 채워줄때 신경써서 해줘야해요재구매하러 들어왔다가 리뷰 남기고 갑니당애플크럼비를 만나고부터는 다른거 절대 못쓰는 아기맘이에요 촉감도 부들부들], 긍정 텍스트 확률 : 91.11%"
"[장시간 기저귀하고 있어도 아이가 불편해하지 않더라구요 그만큼 흡수도 최고 로켓배송으로 만날 수 있어서 너무 좋아요 ], 긍정 텍스트 확률 : 98.09%"
"[ 티몬균일가 구운란 구 대란 사이즈 외 개 특가 상품년 월 일 ], 긍정 텍스트 확률 : 77.69%"
"[ 개의 특가 상품이 등록되어 있습니다. ], 긍정 텍스트 확률 : 69.79%"
"[티몬균일가 구운란 구 대란 사이즈 ], 긍정 텍스트 확률 : 94.45%"
"[단하루 냉장 소갈비살외 ], 긍정 텍스트 확률 : 66.02%"
"[순살치킨가라아게 깐풍기탕수육치킨너겟 ], 긍정 텍스트 확률 : 62.91%"
"[제너스 좌우회전 단 할로겐 히터 겨울맞이 특가포토상품평 이벤트 ], 긍정 텍스트 확률 : 50.33%"
"[이벤트 카일광축 완전방수 기계식 키보드 클릭축리니어축 ], 긍정 텍스트 확률 : 53.61%"
"[아이노트 블루투스 노래방 마이크], 긍정 텍스트 확률 : 50.77%"
