"[땀과 열이 정말 많은 우리 둘째 소다미. 요즘 굉장히 잘먹고 살이 더 포동포동하게 올라오고], 긍정 텍스트 확률 : 99.69%"
"[기저귀 추천 . 슈퍼대디 매직슬림 . 밴드기저귀엄마들한테 핫한 우리 아기의 기저귀어떤 건지 아시나요 ?전 그동안 밤 기저귀로 사용했었던 제품이에요 ], 긍정 텍스트 확률 : 83.83%"
"[그건 바로 슈퍼대디 매직슬림 밴드기저귀에요우리 아기의 몸무게와 체형을 고려해서 사이즈로 선택했어요특대형 사이즈는 의 몸무게움직임이 많고 활동적인 아기를 위한 기저귀랍니다 ], 긍정 텍스트 확률 : 88.97%"
"[슈퍼대디 매직 슬림 기저귀는통기성이 뛰어난 매직 슬림핏이에요 사이즈는 한 팩에 들어있어요여행할 때나 장거리 이동 시한 팩씩 간편하게 들고 다닐 수 있어기저귀 파우치가 따로 필요 없네요 ], 긍정 텍스트 확률 : 65.12%"
"[우리 아기 몸에 닿는 기저귀 꼼꼼하게 따져가며 사용해야겠죠 ?슈퍼대디 기저귀는인체적용 안전성 시험 테스트 결과평균 피부 반응도는 . 으로써모두 무자극으로 판정되었어요피부 자극 테스트 결과도 안전한 제품으로 판정유해 성분이 검출되지 않아 안전한 제품으로 입증되었답니다내가 고른 우리 아기 기저귀 이렇게 좋은 제품이라니엄마로서 너무 뿌듯하네요 ], 긍정 텍스트 확률 : 54.54%"
"[우리 아기의 체형에 맞게 착용되어 편안하고부드럽게 늘어나서 감싸주니 샘 걱정 없어요옆샘을 막아주는 높은 안심 가드로많은 활동량에도 샘 걱정이 없어요엄마들 사이에서는 소변 샘 걱정으로어떤 기저귀를 사용해야 할까 걱정이시라면슈퍼대디 기저귀 추천 드리고 싶어요 ], 긍정 텍스트 확률 : 57.88%"
"[피부에 닿는 부분인 밴드 테이프도부드럽게 제작해 자극 없이 편안하게 사용할 수 있어요 ], 긍정 텍스트 확률 : 80.96%"
"[ 초의 기적놀라운 통기성과 흡수력으로사계절 내내 보송한 우리 아기의 엉덩이슈퍼대디 매직 슬림핏 기저귀가 만들어주네요슈퍼대디 매직슬림 밴드기저귀엄마들이 기저귀 추천하는 이유를 알겠어요우리 아기 기저귀 떼기 전까지전 슈퍼대디랑 함께합니다], 긍정 텍스트 확률 : 83.36%"
"[기저귀추천 슈퍼대디 ], 긍정 텍스트 확률 : 79.58%"
"[팬티기저귀 슈퍼대디기저귀추천 ], 긍정 텍스트 확률 : 79.58%"
"[개월 넘어서는 우리아들이제 기저귀를 떼야하는데이번엔 팬티기저귀로 바꿔봤어요 슈패대디 매직슬림 ], 긍정 텍스트 확률 : 75.43%"
"[아기제품은 특히나 더 신경쓰이는제조일자], 긍정 텍스트 확률 : 67.27%"
"[꼼꼼히 따져봐야죠아직 연약한 우리 아기들이 쓰니깐제조일자도 년 월이네요 ], 긍정 텍스트 확률 : 97.51%"
"[친환경적], 긍정 텍스트 확률 : 51.25%"
"[ 사회공헌], 긍정 텍스트 확률 : 89.66%"
"[로하스기준평가에서 인증받은 슈퍼대디 ], 긍정 텍스트 확률 : 56.15%"
"[이게뭐지 크크밴드형처럼 벨크로가 없어서 이렇게뒷편에 기저귀 처리할때 쓸수있는테입이 따로 붙어있더라구요사의 정품 테이프로 접착력도 굳 ], 긍정 텍스트 확률 : 87.03%"
"[레그밴드 부분도 중처리로새지않게 꼼꼼히 만들어져있어요 ], 긍정 텍스트 확률 : 68.46%"
"[두께보이시나요], 긍정 텍스트 확률 : 51.44%"
"[ 슬림하게 엣지있게 크크 ], 긍정 텍스트 확률 : 76.33%"
"[팬티기저귀라 역시 입히기도 편하고아기가 혼자서 입고 벗으니 더 좋네요팬티기저귀 찾으시면 추천 ], 긍정 텍스트 확률 : 98.94%"
"[손잡이가 있어서 편리기저귀 살때마다 이고지고ㅠ이렇게 편하게 들수있으니 좋네요 ], 긍정 텍스트 확률 : 89.04%"
"[제품만을 제공받아 솔직하게 작성한 후기입니다팬티기저귀 추천슈퍼대디 슬림기저귀 ], 긍정 텍스트 확률 : 83.27%"
"[ 얇은 기저귀추천 슈퍼대디 여름기저귀 좋아요 ], 긍정 텍스트 확률 : 93.43%"
"[기저귀추천 슈퍼대디 여름기저귀 좋아요 ], 긍정 텍스트 확률 : 93.43%"
"[여름에는 아무래도 울 아기여름기저귀가 신경쓰이는데요], 긍정 텍스트 확률 : 81.82%"
"[통기성도 좋은아기기저귀알아보다가 슈퍼대디기저귀를 알게되었어용여름에 땀띠두 많이나고게다가 움직임도 많은 울아기 ㅎㅎ 얇아서 움직임이편하라고 슈퍼대디 기저귀 사용해봤어요. ], 긍정 텍스트 확률 : 98.41%"
"[그리고 옷을 입었을 때 옷매무새도 보기 좋은슈퍼대디 매직슬림 밴드기저귀 ], 긍정 텍스트 확률 : 80.38%"
"[사이즈로 까지 사용할 수 있답니당 ㅎ울 아기는정도인데넉넉하니 좋더라구요 ], 긍정 텍스트 확률 : 90.54%"
"[뒷부분도 찍어보았어용 ㅎ매직슬림픽], 긍정 텍스트 확률 : 54.76%"
"[년 연속 코리아 탑 안전브랜드 대상을수상하였다구 해요], 긍정 텍스트 확률 : 59.79%"
"[여름기저귀로 좋은슈퍼대디 기저귀 사이즈 확인해보세요생후 개월이 다가오는지라], 긍정 텍스트 확률 : 51.50%"
"[ 요즘 자꾸 일어서려고 해서팬티형도 좋을 것 같아요 ], 긍정 텍스트 확률 : 93.33%"
"[ 아릴아민 등등개 항목이 넘는 유해성분이 불검출 되었다는믿을 수 있는 안전 기저귀 슈퍼대디. ], 긍정 텍스트 확률 : 85.85%"
"[깔끔한 디자인이라서 좋더라구요], 긍정 텍스트 확률 : 88.39%"
"[ 아기 패션도 신경써야죵 ㅎㅎ피부자극 테스트를 통과한 안전한 기저귀라고 하는데요연약한 우리 아기 피부땀띠나고], 긍정 텍스트 확률 : 67.30%"
"[정말 얇아요 얇은 만큼 가볍고], 긍정 텍스트 확률 : 66.75%"
"[돌돌 말아보았어용정말 얇더라구요..ㅎ여름기저귀로 좋은 슈퍼대디 매직슬림밴드기저귀는 친환경적이고], 긍정 텍스트 확률 : 96.68%"
"[사회공헌], 긍정 텍스트 확률 : 89.66%"
"[그리고 제품력과 안전성 등에서로하스 인증을 받은 만큼기저귀추천 할만한 안전한 아기기저귀 랍니다 ], 긍정 텍스트 확률 : 83.81%"
"[촘촘한 매직홀이 많은 양의 소변을 축축함 없이 빠르게 흡수해주는 게정말 마음에 들더라구용 여름기저귀로 끕끕하지 않게 딱 좋아용 ], 긍정 텍스트 확률 : 85.48%"
"[소변줄도 있어서기저귀 갈아줘야할 때를 쉽게 알 수 있답니다.기저귀추천 슈퍼대디 매직슬림. ], 긍정 텍스트 확률 : 96.02%"
"[움직임이 편안한 우리 아기기저귀 슈퍼대디 매직슬림. . .슈퍼대디 인스타그램에서도 다양한 이벤트 소식이 가득가득 어서 구경해보셔용 ], 긍정 텍스트 확률 : 68.29%"
"[하트포인트를 차곡차곡 모으는 재미도놓칠 수 없죵 ㅎ통기성도 좋고], 긍정 텍스트 확률 : 98.13%"
"[얇아서 여름기저귀로 좋은 아기기저귀.게다가 믿을 수 있는 인증들로믿음이 가는 기저귀추천 역시 슈퍼대디네용.. .. ], 긍정 텍스트 확률 : 62.63%"
"[업체로부터 위 상품을 무상제공받아 작성한 후기입니다.여름기저귀.?기저귀추천기저귀추천.?친환경기저귀친환경기저귀.?아기기저귀아기기저귀.?아기기저귀추천아기기저귀추천.?슈퍼대디기슈퍼대디기저귀.?슈퍼대디매직슬림슈퍼대디매직슬림.?통기성좋은기저귀통기성좋은기저귀.?슈퍼대디슈퍼대디 ], 긍정 텍스트 확률 : 99.69%"
"[ 밤기저귀 추천 슈퍼대디 팬티기저귀 직접구매후기 ], 긍정 텍스트 확률 : 79.58%"
"[ 인정한 안전한 원료], 긍정 텍스트 확률 : 56.98%"
"[ 밤기저귀 추천 ], 긍정 텍스트 확률 : 79.58%"
"[ 아이마다 피부의 예민함이 ], 긍정 텍스트 확률 : 60.01%"
"[ 다를 수 있으니 ], 긍정 텍스트 확률 : 77.03%"
"[밤기저귀 추천슈퍼대디 오리지널핏 팬티기저귀 ], 긍정 텍스트 확률 : 81.60%"
"[ 인증을 받은안심 기저귀에요. ], 긍정 텍스트 확률 : 74.82%"
"[사이즈는특대형으로사용중이에요. ], 긍정 텍스트 확률 : 91.84%"
"[슈퍼대디 기저귀 뒷면에는제품소개가 설명되어 있어요. ], 긍정 텍스트 확률 : 50.62%"
"[후레쉬 에어링 커버로 두껍지 않아요.허리밴드와 히프 가드라인이 자극없이 허리를 잡아줘아기 움직임을 더 편안하게 해줘요.밴드부분은 잘 늘어나서입고 벗기기 편하고오래 착용하고 있어도 자국이남지 않아요 ], 긍정 텍스트 확률 : 75.67%"
"[ 특대형은 였는데이때는조금 넘을 때라허벅지부분이 조금 헐렁한 느낌이였어요.지금은 .라헐렁한 느낌 없이 잘 맞아요. ], 긍정 텍스트 확률 : 76.10%"
"[소변알림선 표시가 되어있어기저귀 교체시 조금 더 편해요. ], 긍정 텍스트 확률 : 77.31%"
"[ 슈퍼대디 기저귀로 바꿔주니며칠은 불편했는지 좀 깨더라구요.이 사진은 새벽에 한번 갈아준 기저귀에요. ], 긍정 텍스트 확률 : 79.88%"
"[자다가도 몇번은 일어나물을 마시고 자는 습관이 있어서다른 아가들 보다 소변양이 더 많을 거에요.팸퍼스 기저귀도 만져보고 너무 양이 많음새벽에 한번씩 갈아주곤 했는데 ], 긍정 텍스트 확률 : 93.12%"
"[ 요즘은 그냥 쭉 재울때가 더 많아요. ], 긍정 텍스트 확률 : 60.69%"
"[이 기저귀는 낮에 갈아줬던 기저귀에요.만져보면 보송한 느낌이 나요.사진에는 잘 안나왔지만웨이브 엠보 패드로 부드러운 면이에요.끈적임 없이 빠른 흡수를 도와줘서밤기저귀 추천으로 좋은거 같아요. ], 긍정 텍스트 확률 : 61.98%"
"[ 엉덩이가 끈적일 때도 있고 ], 긍정 텍스트 확률 : 77.62%"
"[ 보송할 때도 있어요 ], 긍정 텍스트 확률 : 87.43%"
"[발진이 한번씩 생기긴 해요 ], 긍정 텍스트 확률 : 73.49%"
"[ .그런데 타사 기저귀 발진은며칠씩 오래가다보니 발진적고 밤기저귀로 해줘도불편해하지 않고 잘 자주는슈퍼대디 팬티기저귀를밤기저귀 추천으로 만족하며 사용중이에요.그래서 밴드 기저귀도 슈퍼대디로 쓰고 있어요.다행이 잘 맞는 기저귀를찾았지만 앞으로 기저귀뗄일이 걱정이라는 ㅋㅋㅋ이제 배변훈련 할 때라아기변기도 사놨는데여름이 다 가기전에 기저귀 떼기 성공했음 좋겠어요. ], 긍정 텍스트 확률 : 63.48%"
"[ ♡본 포스팅은 직접구매후 작성한 리뷰입니다♡ ], 긍정 텍스트 확률 : 57.45%"
"[ 밤기저귀로 유명한 슈퍼대디 팬티기저귀 추천 사용후기 ], 긍정 텍스트 확률 : 64.61%"
"[ 슈퍼대디 오리지널핏 기저귀 구입후기두부 첫 기저귀 발진 기록 ], 긍정 텍스트 확률 : 53.30%"
"[우리두부의첫 기저귀발진 ], 긍정 텍스트 확률 : 82.49%"
"[ 고객센터로 연락해서 번호까지 남겨도무시하고 연락도 안오는그런 마인드로 기저귀 많이 파시길 바랍니다.저는 친구에게 슬림핏 팬티형을 받아사용해보고 괜찮아서 오리지널밴드형을구입한 후 발진 난 후기입니다.발진후기 명예훼손 신고사례 후이슈가 되어 다른분들의 레퍼런스를 보면같은 슈퍼대디 기저귀중에서도오리지널핏 밴드형이 발진이많이났다는 의견이 많았습니다.다른 기저귀형은 안감도조금 다른걸 확인했습니다.그리고 명예훼손 신고 이후에포스팅을 조금 수정합니다. ], 긍정 텍스트 확률 : 76.09%"
"[우리애기 기저귀 발진난건명백한 사실이니까요.그리고 부직포 인것도사실이니까. ], 긍정 텍스트 확률 : 96.11%"
"[아기가 기저귀 발진으로 고생을 하고제값주고 기저귀사서 같이 고생한애기 중요부위가 시뻘개진 사진까지 보고도엄마에게 유감의 표현이 아닌신고를 먹인 중원주식회사.대법원 판례에 따라사실만 기록하여 포스팅하니더이상 신고는 하지마세요.신고대상이 아니니까요대처가 잘못됐다는건대표 육아카페에서만명이 넘는 조회수를 넘긴제 글에 댓글들을 보시면많은 엄마들의 마음이 대변되어있을겁니다. 포스팅 원문], 긍정 텍스트 확률 : 53.72%"
"[일에 몸무게 .폭풍성장하고있는우리두부.튼실한 허벅지도 한몫하지만둥실둥실한 대단한배둘레덕에 테스트하는 기저귀마다종종 쫑긴다....휴팬티도 두번이나 실패함ㅋㅋ마미포코랑 군....특히 군은 얼마나 쫄리던지기저귀한번 차고나면 자국이 ㅠㅠㅠ흑 ], 긍정 텍스트 확률 : 54.49%"
"[한동안 군 소프트에 정착해기저귀 바꿀줄 몰랐던 엄마는요즘 두부의 배둘레에 맞는기저귀를 찾기위해 이 기저귀 저 기저귀 써보고있다.이렇게 겁도없이 기저귀를막바꿨던 이유는 우리두부가단한번도 발진이 없었기 때문. ], 긍정 텍스트 확률 : 81.65%"
"[이번에 시도해본 기저귀는주변에서 가격대비 품질이 좋다고추천받은 슈퍼대디 ], 긍정 텍스트 확률 : 54.48%"
"[디자인은 굉장히 심플하고아기자기한 체크무늬.귀여웠당. 색깔도 이쁘고오리지널핏이라 살짝 넙적한듯 ], 긍정 텍스트 확률 : 76.27%"
"[한팩에 개씩 들어있어박일 외출할때 한팩씩 가지고나가기괜찮을 것 같다.다만 기저귀함에 채울때는 여러개 뜯어서채워야함ㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 87.32%"
"[두부의 사이즈는 대형.근데 역시 배둘레에 조금 작았다밴드가 옆구리에 붙음ㅋㅋㅋ하..특대형을 사야하나 ㅠㅠ ], 긍정 텍스트 확률 : 77.95%"
"[제품 장점 설명. ], 긍정 텍스트 확률 : 68.17%"
"[일단 받자마자펼쳐봤는데부직포 재질 이었다.사실 ], 긍정 텍스트 확률 : 77.56%"
"[부직포 안감 확대진짜 부직포 ], 긍정 텍스트 확률 : 54.06%"
"[허벅지쪽은타이트하지 않음 ], 긍정 텍스트 확률 : 69.97%"
"[ 겉은 뽀송한데안은 축축했다.흡수가 안되고소변이 정체되어 내 손에 묻어나왔다.이 부분 다시 테스트하여사진찍고싶지만우리딸 또 저렇게 발진날까봐무서워서 못하겠음중원측에서 허위사실로다시한번 신고한다면], 긍정 텍스트 확률 : 70.26%"
"[보솜이마미포코], 긍정 텍스트 확률 : 51.21%"
"[선물들어온것도있고], 긍정 텍스트 확률 : 68.32%"
"[처음이다 ㅠㅠㅠㅠ....], 긍정 텍스트 확률 : 82.19%"
"[짓물렀다고밖에 생각이 안든다 ㅠㅠ], 긍정 텍스트 확률 : 66.05%"
"[ㄹ고 함 ㅠㅠㅠㅠㅠㅠㅠ아래에 사진있어용기저귀 발진사진엄마들만 보시길 추천 ], 긍정 텍스트 확률 : 67.82%"
"[어짜피 이 포스팅을 보는건대부분 아기엄마들일테니 ㅠㅠ올려봄그래도 불특정다수의 누군가볼수있음으로 최대한 가림..안쪽으로 갈수록 발진이 더 심한데ㅠㅠ휴...자세히 보면살이 쪼글쪼글해져서살짝 짓무른 상태....씻기고 비판텐 발라천기저귀채워놓으니조금씩 가라앉고있다...엉덩이 발진도 아니고피부도 약한 부분에 나서너무너무 ㅠㅠㅠ속상하다아 정말 ㅠㅠ뚱뚱배에 맞는 기저귀찾기도 힘든데발진까지 일어나니너무너무 애기한테 미안하다저렇게 짓물러 있는데얼마나 아팠을까 싶고..도대체 왜 이기저귀를다들 추천해줬는지진짜 원망스럽기도 했다 ㅠㅠㅠ물론 선택은 내몫이었지만..다음 도전하는 기저귀는팸퍼스예정제발 ... 똥테러당해도 좋고배둘레가 작아도 좋으니발진만 일어나지 않았으면 ㅠㅠ우리딸 미안해... 제품 직접 구입후작성한 엄마의 속상한 후기.. ], 긍정 텍스트 확률 : 94.89%"
"[밤기저귀로 좋은 슈퍼대디 매직키퍼], 긍정 텍스트 확률 : 64.72%"
"[하루에도 몇번씩 갈아주는 ], 긍정 텍스트 확률 : 95.80%"
"[팬티기저귀이제 아이가 돌쯤 되니 이것저것 사용안해본 기저귀가 없을 정도예요 ㅎㅎ그중에서 제가 처음 사용해본 슈퍼디대 매직키퍼], 긍정 텍스트 확률 : 92.49%"
"[우리 쑥쑥이는 현재사이즈의], 긍정 텍스트 확률 : 82.66%"
"[팬티기저귀를 사용하고 있어요], 긍정 텍스트 확률 : 55.72%"
"[팬티기저귀 겉 포장지에 손잡이가 달려 있어 사용시에 편하답니다], 긍정 텍스트 확률 : 69.72%"
"[염소화페놀류 외개 항목이 넘는 유해성분 불검출 국내 인체 피부 평가 전문기관에 피부 자극 테스트를 의뢰하여 피부 반응이 관찰되지 않아 안전한 제품으로 판정믿고 쓸 수 있는 슈퍼대디 인증 완료], 긍정 텍스트 확률 : 68.40%"
"[과 슈퍼대디는 자사 실험실에서 연구원들이 매주 검사를 시행하여], 긍정 텍스트 확률 : 55.09%"
"[위생과 안전을 위한 자사 실험실이 완비되어 있다고 하니 슈퍼대디 매직키퍼 ], 긍정 텍스트 확률 : 67.10%"
"[기저귀추천해 드립니다 ], 긍정 텍스트 확률 : 79.37%"
"[허리는 쫀쫀하고 배는 느슨해 자국이 덜 나서 편안하게 착용할 수 있고], 긍정 텍스트 확률 : 55.25%"
"[이중샘방지 가드가 높아 옆샘 방지에 효과적입니다], 긍정 텍스트 확률 : 53.12%"
"[퀼팅 파워 드라이 커버와 ], 긍정 텍스트 확률 : 62.66%"
"[기저귀의 모든 부분이 매우 부드러워서 아기 피부에 자극을 최소화 해주는 매직키퍼], 긍정 텍스트 확률 : 68.47%"
"[팬티기저귀입니다], 긍정 텍스트 확률 : 70.45%"
"[가장 눈에 띄는 점은 바로 기저귀의 두께 였어요 기존에 사용하던 기저귀도 얇다고 생각하고 사용하였는데 슈퍼대디 매직키퍼와 비교하니 확연히 차이가 났습니다], 긍정 텍스트 확률 : 57.95%"
"[팬티기저귀를 정리하려고 꺼내 놓자 바로 쑥쑥이가 기어오더니 만지작 만지작 ㅎㅎ ], 긍정 텍스트 확률 : 50.44%"
"[현재 진행중인 이벤트가 있다고 해요], 긍정 텍스트 확률 : 62.63%"
"[연락처를 보내주시면 추첨을 통해 슈퍼대디 기저귀를 ], 긍정 텍스트 확률 : 58.78%"
"[슈퍼대디 육아카페 도 있어요 궁금하신 이웃님들 클릭해주세요.... ], 긍정 텍스트 확률 : 65.79%"
"[좋아염], 긍정 텍스트 확률 : 88.39%"
"[잘보고가용], 긍정 텍스트 확률 : 76.83%"
"[안녕하세요. 자세히 후기 올려주셔서 맘님들께 많은 도움이 될 것 같아요.], 긍정 텍스트 확률 : 79.73%"
"[ 저도 슈퍼대디 완전 쟁여놓고 사용중이에요완전 짱짱 ㅎㅎ], 긍정 텍스트 확률 : 99.21%"
"[ 대디베이비 흡수력좋긴좋아욬ㅋㅋㅋㄲ 가격대비짱이라 잘썼어요 진짜 ㅋㅋㄱㄱ], 긍정 텍스트 확률 : 98.46%"
"[굿 리뷰에용참고할게용], 긍정 텍스트 확률 : 69.82%"
"[ 안녕하세요. 자세히 후기 올려주셔서 맘님들께 많은 도움이 될 것 같아요. 블로그 및 개인 에도 후기 남겨주시고 링크 남겨주세요.], 긍정 텍스트 확률 : 96.61%"
"[ 아 저 어제 주문했는데 팩씩이라는 게 이렇게 오는군요 ㅎ 아직 배송을 못 받았어요 궁금했는데 잘보고가요], 긍정 텍스트 확률 : 86.78%"
"[넹넹ㅎ왠만한건 다써봤네요ㅋㅋ], 긍정 텍스트 확률 : 95.43%"
"[쥴리엣뜨아아어떤 게 나으세요 ㅎㅎ], 긍정 텍스트 확률 : 59.70%"
"[이슬이공공칠나비잠.슈퍼대디.리베로 재구매의사있어용], 긍정 텍스트 확률 : 92.45%"
"[오 저도 써보고싶네요 전 보솜이 리얼코튼 실패해서.. ㅠㅠ 좋은정보 감솨요], 긍정 텍스트 확률 : 90.77%"
"[좋은정보 감사합니다ㅎㅎ], 긍정 텍스트 확률 : 97.10%"
"[오 정보 감사해요], 긍정 텍스트 확률 : 84.51%"
"[저도 종 주문해서 입혀 봤는데 나비잠은 앉아 있는데 쉬야 다 새서 황당했고요ㅋㅋ전 메리즈에 꼽혔어요밤기저귀 메리즈로 바꿔보려구요], 긍정 텍스트 확률 : 81.17%"
"[제일 마지막에 있는 기저귀는 어떤건가요? 디자인이 예쁜거 같아요 ㅎㅎ], 긍정 텍스트 확률 : 67.14%"
"[골드도 괜찮을까요?], 긍정 텍스트 확률 : 81.74%"
"[수퍼대디 별루요 ㅠ 약한발진 생기더라구요 ㅠㅠ], 긍정 텍스트 확률 : 68.85%"
"[에구 접어야 겠네요ㅎㅎ알려주셔서 감사해요], 긍정 텍스트 확률 : 90.98%"
"[마이유니완전히 빠지진 않아용.. 근데 어디서 들었는데 냄새를 빼기위해 화학적인걸 안써서 냄새가 난다더라구요 문제없어서 믿고쓰고있어용], 긍정 텍스트 확률 : 80.58%"
"[승우어뭉아 그렇군요...그럼 이번엔 킨도 사볼까봐요감사합니다], 긍정 텍스트 확률 : 84.94%"
"[감사합니다페넬로페도 궁금했는데 밤기저귀로도 괜찮으셨나요? 이거 종류가 여러가지던데 어떤 거 쓰시나요?], 긍정 텍스트 확률 : 84.19%"
"[아ㅠㅠ 슈퍼대디도 마찬가지라니ㅠ 좀 더 알아봐야겠네요..감사합니다], 긍정 텍스트 확률 : 96.90%"
"[전 샘플써봤는데 괜찮던데요..그날따라 애가 쉬야를 평소보다 적게하긴 했지만.ㅋㅋ전 밤에 시간 안 갈아여ㅋㅋ], 긍정 텍스트 확률 : 95.07%"
"[러블리재이맘오 킨도 알아봐야겠네요ㅎㅎ 감사합니당], 긍정 텍스트 확률 : 95.28%"
"[하양맘킨도가 가격대가 있어요ㅋㅋ그래서 밤기저귀로만...단계까지는 괜찮은데..단계부터는 쫌 부담스러운..ㅜㅜ사이즈 품절도 잘되구요..ㅜㅜ], 긍정 텍스트 확률 : 98.14%"
"[가격 생각하신다면 마미포코도 괜찮은거같아요. 아들이 양이 많은편인데군쓰다가 넘어 왔어요ㅎ], 긍정 텍스트 확률 : 95.74%"
"[페넬로페 기저귀 정말 괜찮아요제가 기저귀 바꿔 써본 이력으로 치면 둘째가라면 서러운 맘이거든요미국 유럽 다 섭렵해보기도 했지요하기스 네이처도 괜찮은데], 긍정 텍스트 확률 : 96.12%"
"[우련히 어린이집 쌤이 추천해서 페넬로페 써봤는데오우....정말 혼자 알고있긴 아까워요미라클 셔링 정말 좋아요 자극도 없고 아이도 편해하고 뽀송하니까 당근 만족하겠죠], 긍정 텍스트 확률 : 59.42%"
"[ 사이즈는 다른거랑 비슷해요저는 애들 다 슈퍼대디 썼고요밤기저귀로도 훌륭해요], 긍정 텍스트 확률 : 64.05%"
"[감사합니다], 긍정 텍스트 확률 : 84.51%"
"[사이즈 큰편은 아닌거같아요ㅎㅎ 전 팬티형만 몇번 써봤는데 흡수는 좋은거같았어요], 긍정 텍스트 확률 : 77.43%"
"[감사합니다], 긍정 텍스트 확률 : 84.51%"
"[ 후기 감사해용], 긍정 텍스트 확률 : 84.51%"
"[제가더 감사하죵], 긍정 텍스트 확률 : 68.30%"
"[택배보낼때 주소 쓰다 커피를 쏟아서 봉투에 얼룩이ㅜㅜ 과자는 뜯으면 남길수없어요ㅋㅋ 제가 드린건 개인적인 선물이니 룰 드림엔 포함 안시켜주셨음 좋겠어요ㅜㅜ], 긍정 텍스트 확률 : 74.25%"
"[ㅠㅠ 너무 늦게올렸죠... 요즘 정신이 없어요ㅠㅡㅠ 우편봉투에 주소도 적어주셔서 주셨는데 섬세함에 반함 커피자국은 방해 되지 않아요 괜찮아용], 긍정 텍스트 확률 : 94.75%"
"[ 아 맞다 기저귀 사야하능데ㅎㅎ 써보고싶네요], 긍정 텍스트 확률 : 82.38%"
"[추천 감사합니다 한번 써볼께요], 긍정 텍스트 확률 : 97.56%"
"[팸퍼스요], 긍정 텍스트 확률 : 62.08%"
"[일단 리베로 한팩만 주문 해봐야 겠네요.감사합니다], 긍정 텍스트 확률 : 71.15%"
"[눕긴 눕는데.... 나뒹굴어요 ㅋㅋㅋㅋㅋ하진짜 어렵네요.ㅠ.ㅠ감사합니다], 긍정 텍스트 확률 : 76.95%"
"[저도 고민이에요. 메리즈랑 마미포코가 좋았는데ㅠㅠ], 긍정 텍스트 확률 : 99.00%"
"[맥스드라이 정착인데 그때그때 페넬로페나 쿠잉], 긍정 텍스트 확률 : 60.53%"
"[ 펭? 핫딜뜨면 사는 편이긴해요. 근데 나비잠이 엉덩이도 잘 덮어주고 보드랍고 가벼워서 제일 괜찮은 듯. 맥스는 흡수가 좋은데 편해보이진 않아서 밤에만 써요.], 긍정 텍스트 확률 : 88.99%"
"[밤둥이들 부천나비잠 넘나 반갑습니다ㅠㅠ 저는 울트라씬밴드쓰는데 팩 남은거 다쓰면 울트라씬팬티로 가려고요 여름엔 울트라씬 겨울에 그냔 소프트뭐시기 사용했어요ㅋ], 긍정 텍스트 확률 : 98.78%"
"[밤둥이들 부천울트라씬팬티요], 긍정 텍스트 확률 : 81.11%"
"[ 방금 저도 슈퍼대디 올렸는데전 이게 가성비 젤 좋더라구요 ㅎ], 긍정 텍스트 확률 : 83.06%"
"[팬티도 괜찮을까요 ㅎㅎ 사이즈가 어떻게 나왔을런지ㅠ], 긍정 텍스트 확률 : 97.10%"
"[나도 행복하고싶다갤 키로 딸인데 허벅지랑 배가 많이 통통해서 팬티특대하는게 낫겠죠 ㅎㅎ], 긍정 텍스트 확률 : 91.09%"
"[ 저짐네이처러브메레쓰다가넘새서갈아탔는데마니싸도새지않드라구요], 긍정 텍스트 확률 : 85.18%"
"[좋아요ㅎㅎ애기가 까다로워서 기저귀는 대부분 다 발진다는데 슈퍼대디는 다행히 발진안나서 드디어 정착하고...잘쓰고있어요. 아직 웅아나 슈ㅣ아는 안새네요ㅎㅎ], 긍정 텍스트 확률 : 87.93%"
"[쪽지 드릴게요], 긍정 텍스트 확률 : 66.13%"
"[오프라인에서 신겨보고 구매하면 좋을텐데 온라인에서만 파는 것 같아서 답답해요ㅠ 정보 감사합니다], 긍정 텍스트 확률 : 92.97%"
"[ 팁토이조이], 긍정 텍스트 확률 : 51.21%"
"[그렇군요ㅠㅠ 말씀 들어보니 우리 아가도 백퍼 벗어던질거 같기도 하네요ㅡㅡ 브랜드 추천도 감사해요], 긍정 텍스트 확률 : 82.83%"
"[저도 아가신발이 있긴한데 걸음마 배우기에 저런 양말고무신이 더 나으려나 싶어 구하는 거였어요ㅠㅠ 따뜻한 맘 감사합니다♡♡♡], 긍정 텍스트 확률 : 99.44%"
"[구리금쪽맘양말고무신 있다는말이에요ㅋ], 긍정 텍스트 확률 : 75.48%"
"[군이 더 좋은가요?? ㅎㅎ], 긍정 텍스트 확률 : 83.45%"
"[슈퍼대디좋아요 크고요 흡수력도좋아요. 다른건 밤에 새거든요? 통잠자는아기 근데 슈퍼대디는 안새요ㅋ저는 그것때문에좋게쓰고있어요밤기저귀로요ㅋ], 긍정 텍스트 확률 : 71.89%"
"[아 함 봐봐야 겠네용 ㅎㅎ 감사해용], 긍정 텍스트 확률 : 95.32%"
"[ 가격대비 바바랩괜찮아요..쫀쫀하니 편하고..역류도없고..가격저렴할때 한번 구입해보셔요], 긍정 텍스트 확률 : 52.82%"
"[아 알아용ㅎㅎ 핫딜뜬거 본적있눈데 못샀다는 ㅜㅜ ㅎㅎ 구매해볼게용 감사합니다👍🏻❤️], 긍정 텍스트 확률 : 96.60%"
