"[ 브레이크는 요렇게 생겨서 발에 힘주지 않아도 가볍게 사용할 수 있구요], 긍정 텍스트 확률 : 89.83%"
"[ 나는 좀더 도톰하고 가방다운 가방? 딱 넣으면 안그래도 접힌 유모차가 더욱 깔끔하게 정리되는 그런 느낌적 느낌을 기대했는데ㅠㅠㅠㅠㅠ물론 가방에 넣으면 바퀴가 캐리어처럼 나와서 끌고 다닐수 있는 점은 좋음.여하간 쫌 많이 아쉬웠던 추가구성품이었음.사실 이 제품을 처음 본건 유명 육아용품 유투버 라나 채널에서 설핏 봤었음. 그리고 맘카페에서도 추천글 보고 여러번 보면서 고민을하고 선택했지만 실사용하는 요즘은 정말 너무 좋음.특히 사진에도 있는 나의 아이는...정말정말 점보사이즈임.저 녀석이 이제 개월인데 무려 키로 그리고 난 키가 임 ㅋㅋㅋㅋ병원이라도 갈라치면 자차로 들고 안고 넘나 힘듬.아기띠를 하면 척추가 내려앉는 느낌임...ㅠㅠ만성 요통 디스크와 손목 통증은 기본에 단골 정형외과 의사직원들과 거의 농담따먹기 할정도로 친해질 지경임 ㅋㅋㅋ그렇기에...모닝에 와이업 올뉴지니 실고 병원에 가고 볼일을 보러갔을땐 정말 감동이었음...하하하여하간 대.만.족끝 ], 긍정 텍스트 확률 : 54.04%"
"[ 하비 이지워커 핸들링이 워낙 좋았기에나에게 핸들링은 무시못할 부분 진짜 디럭스 생각하시는 분들 하비 이지워커 추천여 ㅠㅠ동네 엄마가 다가와서 이거 유모차 이름 뭐냐고핸들링 왜케 좋냐며 물어봄 핸들링을 생각했을땐 순위로 베이비젠 요요디자인도 이뻤고 핸들링으로는진짜 갑이라는 엄마들의 대부분 의견그래서 요요로 처음에 마음 굳혔다가.... ], 긍정 텍스트 확률 : 96.45%"
"[ ㅠㅠ...캐리어기능도 좀 필요하다 생각했음그래서 타보와 와이업지니까지 오게 되었다.베이비젠요요], 긍정 텍스트 확률 : 96.77%"
"[타보 베이직스텝], 긍정 텍스트 확률 : 60.89%"
"[ 폴딩 엄청 쉬움 ㅋㅋㅋ아 나 이거 너무 마음에 듬왜 고민했지? 싶을정도로 폴딩 쉬운거 너무 마음에 든다티바 밑으로 내려주고 시트각도 최대로 해주고버튼 눌러서 밑으로 내리면 끝재껴준 저 티바부분이 손잡이가 된다.이렇게 캐리어기능도 있고 장바구니 쪽에어깨에 맬수 있도록 고리와 어깨패드가 있어서어깨에도 매고 들고갈수도 있음 ], 긍정 텍스트 확률 : 92.71%"
"[ 중간중간 아기가 잘 자고 있는지 볼수 있는 부분매쉬소재로 되어있고 자석으로 고정할수 있게 되어 있다. ], 긍정 텍스트 확률 : 88.80%"
"[ 아기 앉히고도 차양막 높이가 높아서오래오래 태울듯 하다. 옆으로도 공간이 넓어서 더욱 만족바와 시트 사이가 짧다고 해서 고민이시라는 분들이 많던데나는 ㅠㅠ 바로 답 못해드릴듯...우리아가는 키는 음청 크지만 날씬아가라 그런지 몰라도 공간이 편하게 남는다티바 뒤쪽으로 티바끼우는 구멍 덮개가 올라오는데 아기 가랑이바 구멍 덮개바 그 덮개도 폭신폭신해서 딱딱하다고 느끼진 못할듯 하다.더 큰 아가들은 어떨지 모르겠다. .. 현재 개월 키로 넘는 아기여전히 여유롭게 남아요추가글], 긍정 텍스트 확률 : 86.63%"
"[ 발판 조정하는 부분 발판 아래쪽에 있다손으로 눌러 잡아당겨주면 접을 수 있음 와이어버 올뉴지니외출후기 ], 긍정 텍스트 확률 : 72.65%"
"[ 색상은 소프트블랙으로 선택 역시 블랙이 진리와이업 올뉴지니의 장점들에 혹해서 우리 아들래미 휴대용 유모차는 요 아이로 선택했지요 ], 긍정 텍스트 확률 : 60.58%"
"[아이의 무게도 생각해야하며 사실 끈으로 조절하는 점은 상당히 불편해보였다.와이업 올뉴지니 휴대용 유모차는 등받이 레버 조절 형식으로 도로 각도 조절이 가능하다.요즘들어 눕기 싫어서 유모차에 타려하지 않는 아들래미 도로 해줬더니 유모차에서 웃는게 아닌가아들래미 맞춤 도 각도 또한 너무나도 맘에 든다 ㅎㅎ ], 긍정 텍스트 확률 : 86.79%"
"[ 지금 사용중인 디럭스 유모차는 차양막이 약간 짧아서 외출하면 자외선으로부터 자유로울 수 없었다.그러나 와이업 올뉴지니는 확실히 완전하게 가려줘서 햇빛을 차단해줄 것 같다 ㅎㅎ ], 긍정 텍스트 확률 : 98.76%"
"[ 그 외에도 하이포지션], 긍정 텍스트 확률 : 61.43%"
"[캐노피 수납공간 등의 장점들이 있다.타 유모차에 비해 시트가 높아서 개월수가 많은 아이들도 사용이 용이하여 오래 사용할 수 있겠어요식판까지 더하면 식당에서 굳이 아기의자 찾을 필요가 없다는 어마어마한 장점까지ㅎㅎ...내 돈 주고 직접 구입해서 사용한 실제 후기에요 ], 긍정 텍스트 확률 : 57.49%"
"[얼마 전 명절때 고향을 내려가야 되어서 급하게 휴대용 유모차를구매해야 될 상황이 되었다...종종이 아니라 거의 자주 두돌 가까워진 우리 딸이 안아달라고 하니..아파진 내 허리과 팔목이 남아나질 않아서명절때 휴대용 유모차 없이는 힘들것이라는 판단이매우 들었다..남편에게 휴대용 유모차 구매를 해야 되니얼릉 리서치 해보라고 닦달..움직이지 않는 게으른 내 남편..나의 막강한 권한으로 매주마다 이야기를 한 끝에.뭐라뭐라 해서 리안을 구매해야겠다고 결정했다고 했다..ㅎㅎ하지만 꼼꼼한 남편의 성격에 다시 또 인터넷 맘카페와 다른 후기를 보고 또 보더니.. 휴....와이업올뉴지니로 바꾸겠다고 함..그게 뭐냐고 물어봤는데뭐라뭐라고 하더니 결국에는 직접가서 보자는 말을 해서 온라인 구매를 하려고 했지만 대기 날짜가 달이라고 한다..헉..결국에는 오프라인 매장을 찾아보고 했지만 똑같은 상황이었는데지인의 추천으로 베이비 플러스 고양점까지 가게 되었다..ㅠㅠ많은 유모차로 직접 핸들링도 해보고 남편이 이야기한 와이업올뉴지니도 해봤는데.. 와우.. 생각보다 괜찮았다.그리고 시간이 흘러서.. 명절에 많은 짐들을 가지고 와이업 올 뉴지니를 가지고 친정에 도착불쌍한 내남편.. 캐리어 가방에 휴대용유모차에 아가 짐까지.그래도 다행인건 생각보다 유모차가 가벼워서 남편이 괜찮다고 했다. ], 긍정 텍스트 확률 : 98.28%"
"[ 딸아이가 친정에 오자마자 밖으로 나가고 싶다고 하여 엄청난 바람이 불고 있는데 바로 휴대용 유모차 시험주행을 함..유모차도 정말 편하지 않으면 잘 안 타는 우리딸 다행이 성공다른 이유는 모르겠지만 우리 딸이 타고 오랫 시간동안편하게 있다는 것 부분이 와이업올뉴지니가 탁월한 선택이었다고 생각한다.남편이 약간 오타꾸 기질이 있어서 엄청나게 검색을 했는데우리 딸이 좋아하니 구매를 잘했다. ], 긍정 텍스트 확률 : 99.26%"
"[.오랜만에 올리는 리뷰.출산 후 많은 유모차를 사용하다가.개월이 된 울 아가와 외출시 사용할 휴대용 유모차를 폭풍 알아보던 중 알게 된 와이업 올뉴지니 유모차 .지인 자녀도 구입한 후기를 듣고 마음을 굳히게 되었네요. ..휴대용 유모차를 알아보면서 기내반입이 가능한 부분도 생각했는데 ], 긍정 텍스트 확률 : 99.68%"
"[딱 좋았던 와이업 올뉴지니..가지 컬러가 있는데 ... 발송이 늦어지기에 최대한 빨리 받을수 있는 것으로 선택한 애쉬 그레이 .다른 사람 리뷰를 보니 생각보다 밝다기에 아쉬움을 안고 구입했는데 ......생각보다 너무 빨리 배송되어 깜놀.걱정했던 컬러가 너무 맘에 들어 두번 깜놀. ], 긍정 텍스트 확률 : 92.75%"
"[ ..꺼내서 바퀴 두개만 장착하면 되는데 .펴자 마자 바로 올라탄 베이비.개월 울 아가 그동안 여러 유모차를 탓는데.와이업 올뉴지니는 더 마음에 들었나보다 . ], 긍정 텍스트 확률 : 71.43%"
"[길게 내려와 주니 좋다. ], 긍정 텍스트 확률 : 58.88%"
"[ ..넉넉한 짐칸도 완전 굿굿.절충형 유모차 중에도 짐칸이 비좁아서 맘에 들지 않았던 것이 있었는데 이점이 너무 맘에 든다 . ], 긍정 텍스트 확률 : 89.15%"
"[ ..배송 받자 마자 담날 바로 나들이 나갔는데.울 애기 편히 타고 나갔다 .핸들링이 좋아서 내내 기분이 좋았다.특히 기내용 유모차로도 알아보았던지라 .주행이 편했던 부분이 마음에 들었다 . ], 긍정 텍스트 확률 : 90.11%"
"[ .몇몇 브랜드 타보], 긍정 텍스트 확률 : 61.66%"
"[ .내가 사려던 찰나는 특가가 끝난뒤라 살짝.고민이 되었지만ㅋㅋ지금당장 사고싶어 바로.몰서 구매했네요..하루만에 택배가 왔는데], 긍정 텍스트 확률 : 77.02%"
"[ .상자 테이핑이 조금 맘에 거슬렸지만 ㅋ.유모차는 별다른 이상이 없어서 이해?.하기로했어요], 긍정 텍스트 확률 : 52.24%"
"[ 탁월한 선택이었어요ㅎ이뿌네요. ], 긍정 텍스트 확률 : 65.35%"
"[ .등받이 각도 조절도편하고 캐노피길이도 좋고], 긍정 텍스트 확률 : 71.13%"
"[ 디럭스는 퀴니무들사용했는대 울퉁불퉁한길은 못가더라구요ㅎ.이건 휴대용 유모차니 감안해야겠죠], 긍정 텍스트 확률 : 54.59%"
"[ .울아가도 잘타고잇구 기내반입도 되고 .사실 시작은 기내반입 유모차를 찾다 와이업올뉴지니에서.끝을 내네요ㅋ.딱기내반입유모차만 생각하면조금 무게감이 있긴하나.저는 기내반입도되고 아기도편하고 저도편한.유모차를 찾던거라 만족합니다], 긍정 텍스트 확률 : 71.17%"
"[ .와이업올뉴지니후회하지 않으실꺼에요], 긍정 텍스트 확률 : 63.26%"
"[ .. .?휴대용유모차휴대용유모차 .?와이업올뉴지니와이업올뉴지니 .?기내반입유모차기내반입유모차 . .?엄마가편해요엄마가편해요.?아가도편해요아가도편해요.?우리함께사용해요우리함께사용해요 ], 긍정 텍스트 확률 : 95.96%"
"[ 저희아기 키가 .정도 되는데 지금부터 쭉 쓰기 딱 좋은듯해요.여행갈때 기내용으로도 사용가능하다고해요 ], 긍정 텍스트 확률 : 79.38%"
"[ 대망의 여행날기내반입되는 유모차는 진짜 해외여행갈 때 무조건 필수애기를 태우는 것 말고도 짐을 싣고 밀고다니면 최고다 ㅠㅠㅠ안전바를 손잡이마냥 너무 잘 잡는 우리아들 ㅎㅎㅎㅎㅎ너무 핵 귀여웠당ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.98%"
"[ 비행기 타기 전까지 끌고 갔다가편하게 기내에 싣고 바로 받아서 나오니깐 핵편함 ㅠㅠㅠ얼떨결에 휴대용유모차도 생기고 우리 아들 좋겠넹 ], 긍정 텍스트 확률 : 65.52%"
"[개월 . 인 우리 아가 엄마의 편의로 휴대용 유모차를 알아보기 시작했다 ㅎ계속 절충형 유모차 쓰다가 여자 혼자 트렁크에 넣고 빼기가 너무 버거워서 기내반입 되는 기내반입 유모차이자 휴대용 유모차로 알아보다가 와이업 올뉴지니로 이번에 질렀다결론은 정말 너무너무 좋다 진작부터 살걸 ㅠㅠ 하지만 핫달 뜰 때까지 기다리다 아기 재우느라 같이 잠들어버려서 놓치고 두번째 핫딜때 샀다 ㅎㅎ우선 절충형과 폴딩이랑 무게를 비교해봤을 때 당연한 얘기겠지만 와이업 올뉴지니는 접고 펴고 들어서 트렁크에 넣을 때 뺄 때 모두 너무너무 편해서 좋았다.접었을 때 크기도 작아서 그냥 휴대용 유모차가 아닌 기내반입 되는 기내반입 유모차란 말이 그냥 나온게 아니구나 싶었다.휴대용 유모차라 핸들링 걱정 많이 했는데 와이업 올뉴지니는 핸들링도 너무 편했다딸맘이라 티바도 여유 많아서 상관없었고], 긍정 텍스트 확률 : 85.80%"
"[티바 없는 절충형 쓰다가 티바 있는 휴대용 유모차인 와이업 올뉴지니 써보니까 급할 때 일일히 벨트 꼭 채울 필요 없어도 되어서 너무 편하고 좋았다.식판도 있어서 간단하게 뭐 먹일 때는 의자 쓸 필요 없어서 좋은 것 같다.돌 지나면 해외여행도 갈 계획인데 기내반입 유모차이니 들고가서 유용하게 쓰겠지?? ㅎㅎ암튼 문센 다닐 때 번거롭게 유모차 대여 안해도 되고 넘넘 편하당 ㅎㅎ 아기띠 안해도 되니 내 허리와 어깨가 참 좋아하는 듯 하다 ㅋㅋ .?휴대용유모차휴대용유모차.?기내반입유모차기내반입유모차.?와이업올뉴지니와이업올뉴지니 ], 긍정 텍스트 확률 : 95.83%"
"[아이가 점점 커가면서 더욱 필요성을 느끼게 되는 하이체어], 긍정 텍스트 확률 : 97.10%"
"[음식점이나 카페를 가면 아이 의자가 하이체어로 구비된 곳이 많지만 집에서도 그리고 시댁과 친정에서도 하나씩 놓으면 좋으니 하이체어는 많을 수록 좋은 것 같아요. 여기에 소비자의 마음을 잘 아는 브랜드 와이업은 강성비 끝판왕으로 잘알려져 있죠. 근데 이번 아기식탁의자는 가성비도 가성비지만 원목과 화이트 플라스틱의 조화로 모던한 디자인과 컬러감이 정말 예쁘더라고요. 아이들 용품], 긍정 텍스트 확률 : 99.20%"
"[의자 생각하면 알록달록하거나 살짝 아이들 눈높이에는 괜찮지만 어른들이 보기에는 유치한 점도 없지 않잖아요. 근데 부스터시트와 하이체어 모두 되는 아기식탁의자 와이업 하이체어 올데이는 정말 모던한 디자인부터 눈길을 확 끌었어요. .?아기식탁의자아기식탁의자.?하이체어하이체어.?부스터시트부스터시트.?와이업와이업.?원목하이체어원목하이체어.?올데이올데이 ], 긍정 텍스트 확률 : 55.12%"
"[ 본격적으로 아기식탁의자 와이업 하이체어 올데이을 조립하기 전에 부스터시트로 먼저 우리 아이가 앉아봤어요. 이렇게 와이업 올데이 하이체어는 브스터시트와 겸비해 의 다기능이 되는 제품이에요. 부스터시트로 바닥에서 또는 넓은 의자 위에 고정해 쓸 수 있는 프리미엄 원목 하이체어원목까지 조립하게되면 하이체어가 되는 와이업 하이체어의 원목은 루마니아산 프리미엄 너도밤나무 무겁지도 않고 가벼운데다가 강도가 뛰어나 오래오래 사용도 가능하지만], 긍정 텍스트 확률 : 95.78%"
"[무엇보다 원목이 주는 따스한 느낌의 컬러감이 정말 좋았어요. 처음에는 무늬만 원목인가 했는데 진짜 너도밤나무 목재라 더 고급스럽고 좋았던 와이업 하이체어 올데이 ], 긍정 텍스트 확률 : 89.08%"
"[ 식판을 끼우기 위해 양엽의 레버를 누르면 되더라고요. 특히 와이업 올데이 원목 아기식탁의자 하이체어가 정말 오래 사용할 수 있겠다고 느낀 것이 다리 발판 조절이에요. 단계로 높이를 조절할 수 있어요. 우리아이는 이제 개월 막 허리를 세우고 의자에 앉는게 익숙해진 터라 맨 위 상단으로 다리발판을 고정해 줬지만 아이가 크면서 점차 조절이 되니 정말 좋더라고요. 우리집은 아이가 하나이지만 나중에 동생이 생기거나? 또는 아이가 둘인가정에서는 두 아이 모두 사용할 수 있는 와이업 올데이 원목 아기식탁의자 하이체어라고 하니 실용성도 갑 역시나 우리아이가 간식이나 이유식을 먹어도 좋은 하이체어 식판은 이중식판따로 분리해서 간편하게 세척이 되고 손으로 딸깍딸깍 끼우기만 하면 끝이라 편리했어요. 이렇게 예쁘게 다 묻히면서 유아용 요플레를 먹어도 걱정 없는 이중식판 ], 긍정 텍스트 확률 : 78.01%"
"[ 이렇게 예쁘게 다 묻히면서 유아용 요플레를 먹어도 걱정 없는 이중식판은 여기에서 더 자센한 정보를 확인할 수 있어요. ], 긍정 텍스트 확률 : 62.55%"
"[ 본 포스팅은 업체로부터 제품을 제공받아 직접 체험한 솔직 후기입니다.], 긍정 텍스트 확률 : 59.55%"
"[타 모델들과 비교해도 무게도 좋고], 긍정 텍스트 확률 : 90.45%"
"[피고 접기도 쉽네요.핸들링도 부드럽고 손잡이도 높아서 아빠들도 편하게 밀 수 있겠습니다.무엇보다 와이업 지니 의 블랙 프레임도 깔끔하고 시크해요], 긍정 텍스트 확률 : 71.72%"
"[ 식판도 장착 가능하니 공항이나 식당에서 잠시 뭐 먹일 때 좋을 것 같아요. ], 긍정 텍스트 확률 : 55.39%"
"[ ....... 아직은 아이가 어려서 집에서 놀아주는 용도로 잘 사용중입니다. 아기도 좋아해요.공항에서도 아기띠로만 가려고 했는데 기내반입 유모차 생겨서 눕혀서 아기도 저도 쉴 수 있을거 같아요. 짐바구니도 넉넉하구요.시트도 다 분리해서 세탁가능해서 관리하기 좋은거 같아요.직구로 요 살려고 했는데 가격이 만만치 않아서소비자 의견 듣고 업그레이드한 흔적이 있는 와이업 지니 추천합니다.가격과 자세한 정보는 아래클릭해서 확인해주세요 .. ], 긍정 텍스트 확률 : 97.28%"
"[ 파트너스 활동을 통해 일정액의 수수료를 제공받을 수 있음 ], 긍정 텍스트 확률 : 73.39%"
"[.안녕하세요.오랜만입니다 잇님들..오늘은 우리슈슈 발이되줄.유모차를 하나 장만했습니당..지난 첫 영유아검진때 . 으로 몸무게가.쑥쑥 늘어나고있어서.마트나 볼일보러 다닐때 아기띠 메고 다니니.너무 힘들더라구요... ], 긍정 텍스트 확률 : 90.85%"
"[ .월 판매 조건에 요 식판.아직 슈슈는 어려서 식판을 사용 할수 없지만.이유식 들어가고 따뜻한 봄이오면 .그땐 사용 가능하겠죠? ], 긍정 텍스트 확률 : 97.42%"
"[ .요건 장바구니 확장 전후 컷인데.생각보다 많은 짐이 들어가서 .만족스럽네요.저 장바구니 공간 외에.시트 머리쪽 뒷편으로도 공간이 있답니다 ], 긍정 텍스트 확률 : 67.60%"
"[ .요건 여름에 걷어올리면.통풍잘되서 좋겠어요.우리 슈슈 잘자는지도 확인할수 있구요.아풀 차양막으로 하시면 윗쪽에도.요렇게 작게 뚫려있어서.아이들을 확인하기 쉽게 되어있답니다 ], 긍정 텍스트 확률 : 99.27%"
"[ .저긴 딱 폰넣기 좋은 수납공간이구요.오른쪽은 언폴딩폴딩시 버튼을 꽉 누르고.살짝 누르거나 당기시면 잘됩니다.새 상품은 뻑뻑하다더니.정말 뻑뻑하네요. ], 긍정 텍스트 확률 : 80.98%"
"[ .폴딩 후 캐리어 처럼 끌고 다닐수 있어서 좋네요.스탠드도 아주 잘됩니다 ], 긍정 텍스트 확률 : 97.29%"
"[ .팽션이 끌어보겠다며.왔다갔다하는데 아주 잘됩니다 ], 긍정 텍스트 확률 : 77.47%"
"[ .총평.핸들링 좋고 높이가 다른 .휴대용 유모차에 비해 높아서.좋은 것 같아요.색상은 소프트블랙인데 회색빛 도는 블랙 같은느낌?.그래도 블랙에 더 가깝습니다.폴딩언폴딩 혼자 한손으로 가능하며.무게도 그렇게 무겁지 않아요.아기띠 후 충분히 혼자 끌고 다닐만 합니다..우리슈슈 아직어려서.에어라이너사서 눕혓는데.첫 시승 잘하더라구요..내돈내산 후기 .여러 후기 많이 읽고 샀지만.잘산것 같아여 추천합니다 ], 긍정 텍스트 확률 : 65.70%"
"[ 버튼 누르면 휘리릭 폴딩너무좋아요. 무게아기 앉으랴 침쟁기랴... ㅜㅜ 디럭스너무 무거워서힘들었다구요 ㅜㅜ. 기내반입 유모차아기 돌 지나면 괌 가려고 예약 해놨는데], 긍정 텍스트 확률 : 95.26%"
"[괌에서 유모차 빌리면 ... 너무 뻑뻑하고 안좋아서 힘들다고.. 그리고 공항에서도 쓰려면 아기 유모차를 가져가는게 좋은데 기내반입이 된다면 더 좋겠다 싶었는데 딱임. 세탁아 정말... 세탁.. 그놈의 세탁.. 분리되니 너무좋아..ㅜ.ㅜ ], 긍정 텍스트 확률 : 99.40%"
"[분리할수 있겠끔 되어있다는 자체가 너무너무너무너무너무 좋았음 아 사길 잘했다 세번째 사진은 ], 긍정 텍스트 확률 : 91.00%"
"[또는 고정사실 폴딩 제품 맘대로 접히면 어쩌지 걱정했는데 저렇게 안전장치가 있으니 훨씬 마음이 놓인다는것밑에 사진은 사은품으로 온 물건들컵홀더], 긍정 텍스트 확률 : 89.21%"
"[그리고 설명서 ], 긍정 텍스트 확률 : 77.99%"
"[와이업 올뉴지니는 바람이 통하도록 뒷부분이 다 일골번째 사진처럼 망으로 되어있기도 하고], 긍정 텍스트 확률 : 69.13%"
"[ 휴대용 유모차로 와이업 올뉴지니를 선택한것은 정말... 잘한것 같다. 조만간 아기를 태워서 다니는 것도 올릴 생각이다. ], 긍정 텍스트 확률 : 97.43%"
"[개월에 들어선 우리아기아기에게도 우리에게도 편리할 휴대용 유모차를 구매하려고 맘카페 유모차 추천 후기를 찾아나섰다.광고도 많아서 거르고 걸러 실제 후기를 참고하였는데타 유모차와 와이업 올뉴지니 유모차 이 두개 제품이 제일 가성비도 좋고 편하다고 하더라...어쨌든 휴대용 유모차중에 . 핸들링이 편할것. 짐칸이 넓을 것. 안전할 것. 디자인. 기내반입이렇게 가지를 보고 결정했는데 내가 결정한 건 와이업 올뉴지니 유모차 이당실제로 써보니 왜 가성비로 유명한지 딱 알겠더라 ㅋㅋㅋ일단 가벼워서 세상 편하고.. 아 너무편하다 편하다를 계속 외치게 되는..ㅋㅋㅋ ], 긍정 텍스트 확률 : 79.77%"
"[ 엘레베이터 안에서도 크기가 크지 않으니 눈치보지 않고 탈수있고개월 아기한테도 안정감 있다.특히 앞에 자로 된 바가 있어서 더더 안전해보임휴대용 유모차 답게 가벼운데 전혀 가벼워보이지 않는달까?와이업올뉴지니 유모차 장점중에 젤 손꼽을만한건..바로 짐칸인데 ], 긍정 텍스트 확률 : 64.03%"
"[ 이렇게 바로 윗부분에도 짐칸이 있다.그러니까 유모차 아랫부분에도 짐칸이 크게있고 여기 위에도 지갑], 긍정 텍스트 확률 : 73.09%"
"[핸드폰을 놓을 수 있는곳이 있어서바로바로 꺼내쓸수 있다.이게 진짜 좋음단 등받이를 제일 밑으로아기가 눕는자세로 했을땐 이 짐칸을 사용할 수 없다 ], 긍정 텍스트 확률 : 50.89%"
"[ .그리고 디자인.좀 더 여성스럽다고 해야할까? 뭔가모르게 선이 더 곡선으로 따진듯한 느낌과 고급스런 그레이 컬러가 더 맘에 들었다.......일산베이비페어에서 구입했는데 당시 올뉴와이업지니 자체도 주문이 밀려 대기해야 했었고 특히나 그레이 컬러는 더 오래 기다려야했다.인기가 많은 듯 했다................... ], 긍정 텍스트 확률 : 59.91%"
"[ .올뉴버전은 양쪽 사이드 부분이 올라와 있어서 아기가 앉아있을때 더 안정감 있게 느껴진다................. ], 긍정 텍스트 확률 : 52.94%"
"[ .배송되어져 왔을때 모습 기스방지용 스펀지로 잘 마감되어져 왔다................ ], 긍정 텍스트 확률 : 65.01%"
"[ .그리고 요즘 인기많은 티바.티바 때문에 와이업 지니를 초이스하는 사람들도 많다..주행 시 아이들이 잡고 안정감을 스끼기도 하고 추가구매로 스낵바로 교체 할 수도 있다................... ], 긍정 텍스트 확률 : 80.24%"
"[ .티바에도 버튼이 있어앞뒤로 다 접어둘 수가 있다................... ], 긍정 텍스트 확률 : 84.52%"
"[ .옆모습등받이를 최대한 눞혀보니 완전히 눞혀진다. 굿.............. ], 긍정 텍스트 확률 : 95.39%"
"[ .차양막은 저상태에서 지퍼를 풀면 티바위까지 내려온다..햇빛차단은 완벽하게 될 것 같다................. ], 긍정 텍스트 확률 : 78.24%"
"[ .지퍼를 열면 망사부분이 있어 아이의 상태를 확인할 수 있다................ ], 긍정 텍스트 확률 : 52.88%"
"[ .뒷쪽 원단은 지퍼를 열면 망사로 되어있어 여름철에 좋겠다.벨크로로 연결되어져 있는것도 확인할 수 있다................. ], 긍정 텍스트 확률 : 75.20%"
"[ .바퀴에 브레이크.핸들링은 말하면 입아프다. 핸드링이 너무 좋고 짱짱하다................ ], 긍정 텍스트 확률 : 77.69%"
"[ .점식 벨트와점식 벨트 모두 사용 가능하다.............. ], 긍정 텍스트 확률 : 57.52%"
"[약간의 소동이 있었다..그래서 이 유모차의 리뷰를 적어야 하나 많은.고민을 했다. 어쨌든 나의 부주의가 일으킨 사고 .였기도 해서솔직한 와이업 올 뉴 지니의 리뷰를 .적어야 할 듯 하다....... ], 긍정 텍스트 확률 : 89.70%"
"[ ...다른 사람들의 구입 후기를 꼼꼼히 살펴보고.특히란을 보니 폴딩 레버가 뻑뻑하다. .접고 펴는 것이 힘들다 란 이야기가 많아서 였는지.주의 사항이 이렇게 따로 적혀져 있었다....... ], 긍정 텍스트 확률 : 59.13%"
"[ .....이것 때문에 와이업 올 뉴 지니를 구매하시는 .분들도 있다고 하는 데 개인적으로도 이건 정말.좋은 기능 이다 라고 생각한다...기존 세대 리안 그램 플러스를 사용 하고 있는.나에겐], 긍정 텍스트 확률 : 58.71%"
"[으뇽군이 갑자기 유모차에서 잠들어 버릴때면.참 유모차에서 꺼내기가 난감 했다.. 아기 꺼내다 바에 걸려 낑낑 대다 성질 몇번.난적도 있었다. 하지만 아기가 바를 너무 좋아하니.없애기도 힘든 상황 이었다 ..... ], 긍정 텍스트 확률 : 66.32%"
"[ ....조립을 마치고 나니 한번 타보겠다고.난리를 쳐서 살포시 태워 주었다..색상도 깔끔하고 아이도 마음에 들어해서.꽤 괜찮은데 ?하고 생각했다 ..... ], 긍정 텍스트 확률 : 74.48%"
"[ ....마침 주말이여서 으뇽대디가 탕정 지중해 마을에서.작업을 한다고 해서 산책 겸 점심 먹으러 갔다..꽤 부드럽게 움직이는 유모차..크기가 꽤 크다. 유모차 시트가 높이가 있는 편이어서.키가 작은 나로서는 유모차 손잡이가.배 위의 부분까지 와서 부담스러웠다...오히려 크기는 리안휴대용이 더 작았다. .내게는 딱좋은 크기 ......올뉴 지니 유모차의 크기를 이야기 하자면....유모차를 접었을 때], 긍정 텍스트 확률 : 94.56%"
"[ .....이런 모습이 된다. 친절하게 홈페이지에 기재된.사이즈표도 가져왔다.. ], 긍정 텍스트 확률 : 53.84%"
"[ .....또], 긍정 텍스트 확률 : 51.60%"
"[한가지 단점이라 생각되는 부분은.폴딩 후 접었을 때 크기가 꽤 크다는 부분이다..차 트렁크에 넣었을 때 부피가 좀 차지한다 정도...아직 나는 유모차를 펼 때에도 버벅된다..이건 정말 중요한 부분인데.. 폴딩 할때 꽤나.애먹는다. 리안휴대용은 한손으로도 쉽게 되는데.이런 점들은 아직 아쉽다 ...어쨌든 잘 사용하고 있음으로 약간의 단점들을.뒤로 할 정도로 와이업 올뉴 지니의 강점들이 꽤.있다. 만약 다시 선택을 해도 올 뉴 지니 휴대용.유모차 일 거란 생각을 하며...... 와이업올뉴지니 .?휴대용유모차추천휴대용유모차추천.... ], 긍정 텍스트 확률 : 99.37%"
"[ 월 재구매 및 프로모션 중], 긍정 텍스트 확률 : 95.33%"
"[ 이제 덩치가 제법 커진 점복이에게좀 더 편안한 안정감을 선물해주고 싶어수소문 끝에 와이업 올뉴지니 유모차를 알게 되었습니다저희 부부는 고양 스타필드에 있는 베이비 서클에서유모차를 이것저것 모두 다 타보고 난 뒤에시트가 누워지는 휴대용 유모차가 필요하다고 판단되었습니다.그리고 타사 제품들가격으 배는 차이가 나는 애들과는너무나도 차별화된 편안한 핸들링에 감동했더랍니다.그리고 일단 요즘에는 여행들도 많이 다니시는데디럭스 유모차는 좀 과하잖아요.휴대용 유모차를 가져간다고 생각했을 때기내반입에 용이하고애초에 기내반입용도로 나온와이업 올뉴지니 유모차는 너무나도 용도에 알맞았어요.와이업 올뉴지니에 눕히자 마자이거다 하고 구입을 결정했는데...이미 모든 제품이 품절이고 주일 뒤에나 받을 수 있다고 하더러고요하지만 너무 만족스러웠던 나머지 구입해서이제 배송 받게된 올뉴지니 입니다 ], 긍정 텍스트 확률 : 92.73%"
"[ 점복이가 한 번 탑승해보았습니다일단 시트가 모두 누워지는게 제일 좋은 장점이에요. ], 긍정 텍스트 확률 : 92.47%"
"[ 저기 보이시는 어깨 끈은 폴딩을 했을 때 숄더백처럼유모차를 어깨에 맬 수 있답니다. ], 긍정 텍스트 확률 : 78.15%"
