"[아기방만들기 등등.그 중 큼지막한게 유모차와 카시트 구매였는데], 긍정 텍스트 확률 : 68.91%"
"[우리 둥이들 이제 백일을 바라보면서 미루고 미뤘던 유모차를 사야겠단 생각이 강렬히 들었음.쌍둥이 유모차는 선택의 폭이 너무 적어서 며칠 동안 계속 알아보고 고민을 했음.디럭스는 너무 무겁고 휴대용 쌍둥이 유모차는 너무 가벼워서 안전하지 않을 거 같고..그래서 알아보던 중 베이비 조거 제품 중에 절충형 쌍둥이 유모차가 있는 걸 추천받고시티투어 더블을 본격적으로 알아보게 됐음.싼 가격이 아니기 때문에 엄청 심사숙고해서 몇 주 동안 고민을 하던 중리안에서 할인하는 쌍둥이 유모차가 있어서 약간 갈등을 했지만결국엔 튼튼하고 제일 신상인 시티투어 더블을 선택하게 되었음.마침 롯데홈쇼핑에 최저가 만 원대 초반으로 올라와서망설임 없이 구매했음.배송되자마자 바로 조립해서 끌어보았더니..핸들링도 좋고 폭도 작아서방문도 통과하고 정말기대 이상으로 너무 좋았음. ], 긍정 텍스트 확률 : 80.79%"
"[ 유모차를 너무 사랑하는 우리둘째요즘 우리아들 전용 휴대용유모차는에르고베이비 메트로 컴팩트시티스트롤러에요아기띠로 너무나 유명한 에르고베이비에서 나온휴대용유모차라서 많은 엄마들의 관심을 끌고있죠? ], 긍정 텍스트 확률 : 84.02%"
"[ 우리 예민보스 아들이 정말 편안하게 잘 타는최고 휴대용유모차가 되었습니다 ], 긍정 텍스트 확률 : 96.29%"
"[ 지금 개월인 아들래미 인데요평소에 잘 걸어다니고 잘 뛰어다니다가도갑자기 안아달라고 돌변하는 꼬맹이에요고집은 또 얼마나 센지... 안아줄때까지 울고불고..그렇게 계속 안아달라고 할때 바로 필요한건에르고베이비 메트로 컴팩트시티스트롤러 휴대용유모차이거 없으면 진짜 큰일나요 ], 긍정 텍스트 확률 : 78.50%"
"[ 평소에 아빠가 주로 유모차를 끌어주는데울퉁불퉁한 돌바닥에서도 주행이 너무 좋아서입에 칭찬이 마르지 않더라구요아빠들이 차 운전할때 주행감을 중요하게 생각하듯유모차 밀고 다닐때는 바퀴가 얼마나 잘 굴러가는지 ], 긍정 텍스트 확률 : 81.95%"
"[ 바퀴 모두 서스펜션이 장착되어도시의 어느곳을 가더라도 부드러운 주행을 느낄수 있고브레이크도 발로 쉽게 조작할수 있어서순간정지도 빠르고 안전하게 가능하답니다 ], 긍정 텍스트 확률 : 94.71%"
"[안정성까지 모두갖춰신생아때부터 시트와 함께 사용하면 충분히디럭스유모차는 필요없을것같아요 ], 긍정 텍스트 확률 : 97.58%"
"[ 요즘 아기상어에 푹 빠져있는 우리 둘째밤마다 아기상어 노래를 백번은 틀고 노래 따라하고춤까지 춰가며 체력을 소모합니다 ㄷㄷㄷㄷ사진찍을때도 저렇게 아기상어타령이에요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 99.84%"
"[ 등받이 뒤쪽으로는 지퍼를 열고 닫을 수 있는등받이 주머니가 있구요안쪽으로 등받이 각도를 조절 할 수 있는 기능이 있어요 ], 긍정 텍스트 확률 : 64.19%"
"[ 콤팩트한 크기로 도시를 누비는에르고베이비 휴대용유모차기내반입도 가능해서 여행을 좋아하시는 가족에게더욱 추천하는 휴대용유모차 랍니다 ], 긍정 텍스트 확률 : 55.57%"
"[ 지금은 발이 닿...사실은 이 요람형이 지금쓰는시기이기도 하고 사장님이 갤까지는 충분히 사용할 수 있다고 했으나우리 리환이 벌써 키로 돌파하고키도크고 나름 우량이라서 한 갤중반이나 갤쯤 바꿔야 할것같다], 긍정 텍스트 확률 : 96.94%"
"[ 이라 자외선이 완벽히 차단된다고 볼 수 있다 이것도 좋은것같다], 긍정 텍스트 확률 : 95.96%"
"[ 일단], 긍정 텍스트 확률 : 73.61%"
"[아기가 잘 누워 있으니엄마입장에서는 너무너무 잘 산것같고 ], 긍정 텍스트 확률 : 88.21%"
"[ 누워있는걸 싫어해서 일단 왔다갔다집에서 해봤는데 바로 꿀꿀꿀 잠 핸들링이 너무 좋다디럭스의 장점과 휴대용의 장점이 적절히 잘 되어있어이 유모차... 정말 신세계], 긍정 텍스트 확률 : 87.73%"
"[ 절충형유모차 사길 정말 잘한것같다 베이비조거 만세], 긍정 텍스트 확률 : 77.15%"
"[ 리환이의 세상], 긍정 텍스트 확률 : 50.60%"
"[ 리환이가 행복하다면...엄마아빠가 뭐든지 다 해줄께 리환아 오래동안 잘 쓰자 ], 긍정 텍스트 확률 : 93.65%"
"[.쌍둥이 유모차 실제 구매 후기 큰 아이가 개월 둘째가 개월이라 둘 다 유모차를 타야해서 유모차 뒤에 연결해서 다는 보드부터 시작해], 긍정 텍스트 확률 : 50.09%"
"[사실 나는 애들이 좀 더 여유있게 자리를 차지할 수 있고 무게가 좀 더 가벼운 뻬그뻬레고로 마음이 좀 더 쏠렸지만.. 여행도 다닐려면 캐리어에 유모차까지 차에 실어야하는데 유모차가 차에 실렸을 때 부피를 최대한 차지하지 않는걸로 사야한다는 남편의 강력한 주장 때문에 베이비조거로 선택하게 되었다. 그리고 베이비조거가 핸들링도 뻬그뻬레고보다 훨씬 부드럽기도 하다. 애 둘 태워도 디럭스 유모차 끄는 것 처럼 진짜 부드러움ㅋㅋ차양막도 길게 내려오는 것도 마음에 들었고 뒤로 거의 도 뉘어지는 등받이도 굳. 암튼 쌍둥이 유모차지만 폭도좁아서 어디든 끌고 다니기 유용해서 좋을 듯 싶다. 튼튼한 쌍둥이 유모차 다시 장만했으니 이게 마지막 유모차가 되어 국내 해외 여기저기 애들 태우고 잘 돌아다녔으면 좋겠다.], 긍정 텍스트 확률 : 96.53%"
"[세스토 트윈], 긍정 텍스트 확률 : 68.11%"
"[ 핸들링 좋습니다. 손잡이 부분 실리콘이 마음에 듭니다. 쫀득쫀득 하거든요. 때는 대신에 잘탑니다. 앞바퀴가 작은지라 낮은 턱에도 잘 걸립니다.폭이 좀 좁아 보이지만 아직 괜찮습니다. 한 년정도만 쓰면 되지 않을까 싶습니다. ], 긍정 텍스트 확률 : 69.40%"
"[사실에 가깝게 작성되었습니다. ], 긍정 텍스트 확률 : 70.51%"
"[결혼을 하자마자 연년생 남매둥이들이 생겼다.첫째때는 멋모르고 누군가의 이야기를 듣고 아기들 용품을 보고 구매를 하기 시작했는데둘째가 태어나서는 나도 여기저기 비교를 한 후 결정을 할 수 있는 분별력이 생기기 시작했다.둘째가 어린 관계로 디럭스 부가 유모차에다 첫째가 같이 탈수 있는 휠보드를 장착해서 같이 다녔는데둘째는 아기띠에 안겨있기 일쑤였고 첫째가 유모차에 앉아서 가는 경우가 많았다첫째가 휠보드에 앉아서 가는날은 길이 평평한 백화점이나 아울렛 같은 곳에서만 잠깐 타는 정도였고유모차를 같이 타고 싶어 하는 모습이었다.그래서 남편과 같이 베페에 출동해서 여저기 유모차에 둘을 태워다니며 비교한 결과베이비조거 시티투어더블을 사기 결정우리의조건은 폴딩이 슬림하고가벼워야 하며둘이 같이 탈수 있는 것이면 더 좋을 꺼 같았다.이 모든 조건을 완성한것이 베이비 조거 시티 투어 더블우리 아기들이 타자마자 너무 좋아한 유모차우리 이 유모차로 열심히 여기저기 놀러다니자 ], 긍정 텍스트 확률 : 97.65%"
"[ ..여러군데 돌아다녔지만... .결국 제일 처음에 눈에 띈 제품으로 고르게 되더라구요.산건 월인데... 출산 다가오니 이제 개봉하네요 ㅠㅠ ], 긍정 텍스트 확률 : 66.04%"
"[ .베이비 조거 시티투어럭스 입니다 짜잔 ], 긍정 텍스트 확률 : 54.52%"
"[ ..절충형이면서 기내반입이 되구요. 핸들링도 무지무지 좋아요 쓱쓱 잘 간답니다 ㅎㅎ..암튼. 디럭스는 너무 크고 무겁고.. 가뜩이나 제가 손목이 안좋아서 ㅠㅠㅠ ], 긍정 텍스트 확률 : 99.57%"
"[ .꼼꼼히 봅니다. 장바구니? 넉넉하구요. ㅎㅎ ], 긍정 텍스트 확률 : 61.98%"
"[ .양대면으로 바꾼 모습이에요앞보기죠?.바퀴도 잘 굴러가고 방향 고정도 된답니다. ], 긍정 텍스트 확률 : 99.38%"
"[ .최대로 젖혔을때 모습이에요. 도인가? 그럴거에요 ], 긍정 텍스트 확률 : 88.17%"
"[ .차양막 걷어낸 모습입니다 ㅎㅎ ], 긍정 텍스트 확률 : 81.75%"
"[ .벨트도 튼튼하게 ㅎㅎ 커버까지 다 잘되어있어요 ], 긍정 텍스트 확률 : 97.95%"
"[ .이렇게 아기가 잘 있는지 볼 수 있게 되어있어요 마그네틱 처리가 되어잇어서 커버가 잘 열리고 닫힌답니다 ], 긍정 텍스트 확률 : 88.84%"
"[ .맘에들었던것 핸드브레이크에요 다른건 보통 풋브레이크죠...근데 밟는것 보단 손으로 하는게 편하지 않을까요?ㅎㅎ ], 긍정 텍스트 확률 : 97.50%"
"[ .폴딩했을때에 모습이에요 컴팩트하죠? ㅎㅎ ], 긍정 텍스트 확률 : 93.67%"
"[ .아직 저희 봉봉이가 안나와서 대신에. .곰돌군을 앉혀봤어요 ㅎㅎ.안전가드에 라이너를 한 상태죠...구입하고 나서 받은.사은품으로 안전가드], 긍정 텍스트 확률 : 78.81%"
"[정리함. 이렇게 있네요..총 평가로는. 양대면하는게 정말 편하구요. 세탁하는것도 쉬워요. 다 똑딱이 처리가 되어있거든요.헤헿.벌써 세탁을 한번 쫘악 했답니다 후후. ], 긍정 텍스트 확률 : 87.63%"
"[ ..그리고 폴딩도 쉽고. 무엇보다 기내반입.여행을 좋아하는 저희 부부에게 메리트죠.색깔은 두가지인데요. 라이트 그레이랑 차콜이 있는데요. 저희 부부는 차콜이 무난할거 같아서 골랏는데 이뻐요..아무튼 베페가서 직접 돈주고 산 유모차 후기입니다. 다른분들 유모차 사시는데 도움되시면 좋겠네요.. .?유모차유모차.?유모차추천유모차추천.?출산용품출산용품.?절충형유모차절충형유모차.?휴대용유모차휴대용유모차.?기내반입유모차기내반입유모차.?베이비조거베이비조거.?시티투어럭스시티투어럭스.?페도라유모차페도라유모차.?베페베페.?베이비페어베이비페어.?월킨텍스월킨텍스. ], 긍정 텍스트 확률 : 87.80%"
"[.나의 두번째.?쌍둥이유모차쌍둥이유모차. .?시티투어더블시티투어더블 너로정했다 ], 긍정 텍스트 확률 : 51.28%"
"[ .?요요요요 ], 긍정 텍스트 확률 : 62.08%"
"[ .진짜작게접힌다. 주변에 엄청소문냈다.이유모차 새로나왓다는데 알고있냐고 ㅋㅋㅋㅋ.주변에서도 슬슬입질옴ㅋㅋㅋㅋㅋㅋㅋ. .?아리아쇼퍼트윈아리아쇼퍼트윈 은 중고구입했었으나 내차소형에 실으면 뒷시야가 다가려져서 너무불편..... 이틀만에 되팔았다......핸들링도 빈유모차를 밀었을땐 비슷해보였으나 애태운후엔 체감상 난 이제품이 더 낫더라.꽂혀서인가.이틀사용해본 쇼퍼트윈은 은근 폭이넓다..지하주차장으로 주로 등하원을 하는데], 긍정 텍스트 확률 : 97.69%"
"[.작년 가을쯤까지 결혼준비한다고 블로그를 해보려다가 만지가 벌써 년이 넘어 흘렀다...그 사이 우리한텐... ], 긍정 텍스트 확률 : 61.11%"
"[ .라현이가 태어나 당당히 세식구가 되었다..ㅎㅎ..그러고도 벌써 일이 되었는데..날씨가 더 춥기전에 짧은 외출을 자주해보려는 우리는 일 무렵에 아기띠를 구매했는데 점점 체급을 불려가는 라현이를 업고 다니기 힘들어지는 걸 느끼고 있다.... ], 긍정 텍스트 확률 : 98.32%"
"[베이비조거시티투어럭스 였다.차 후보를 좁혀놓고 나서도 열흘을 가까이 고민했는데 마침 킨텍스에서 베이비페어를 한다는 소식과 함께 거기서 후보 유모차가 모두 전시를 한다는 소식을 듣고 첫날 베이비페어로 바로 출발현장에서 모든 유모차를 다 끌어보고 라현이를 태워보고나니 생각보다 손쉽게 결론이 났다.우리의 선택은 베이비조거 시티투어럭스였다.일단 리안솔로는 가격대도 괜찮고 주행감도 괜찮은 편이었지만 무겁고 양대면상태에서 폴딩이 되지않았다.시크롤리팝은 너무 휴대용에 가까워서 거르고 를 살펴보았는데 예뻐서 와이프가 푹빠져있었지만 막상 라현이를 태우고 움직여보니 핸들링이 뭔가 불편하단 생각이 들었다. 그래서 또 패스.다이치앨리는 끌어보니 주행감], 긍정 텍스트 확률 : 77.98%"
"[핸들링이 위 둘보다 월등히 좋게느껴지고 장바구니도 넉넉], 긍정 텍스트 확률 : 95.85%"
"[양대면폴딩까지 마음에 들었지만...가장무거웠다. 원래 와이프가 힘이 약한 편이지만 들기에 부담스러울정도..우리가 선택한 베이비조거 시티투어럭스는 부스가 너무 작아서 찾기는 힘들었는데 라현이를 태우고 끌어본 순간 선택을 할 수밖에 없었다.핸들링도 좋고], 긍정 텍스트 확률 : 89.08%"
"[상대적으로 가벼운 무게], 긍정 텍스트 확률 : 66.98%"
"[아이가 둘 생기고 첫아이의 질투가 심해지면서 자꾸 동생의 유모차를 타려고 하여 쌍둥이 유모차를 보던중 이것저것 그동안 얼마나 많은 유모차를 보았는지..ㅠㅠ유모차 중에서도 휴대용 쌍둥이 유모차 이거나 절충형 쌍둥이 유모차를 유심히 보았다다들 남매거나 쌍둥이면 웨건을 추천했는데..아직 둘찌가 어려서 웨건은 이용못할것같구또 너무커서 도저히 나혼자는 감당이 되지않아주위에 물어보아도 다들 무거워서 같구다니지 않는다는말이 있었다기존 유모차가 있어 절충형 유모차로 타보를 하나더 사서 각자끌구다닐까도 생각했는데..롯데 홈쇼핑 에서쌍둥이 유모차중 베이비조거를 만나게 되었다베이비조거 시티투어더블유모차를 보는순간 이거다하는생각이 들었다폭도 너무 좁구. 폴딩되서 접힐때도 너무쉬워 이거면 어디든 갈수있겠단 생각이들었다 ], 긍정 텍스트 확률 : 71.08%"
"[ 큰 장바구니 부드러운 핸들링까지 정말 맘에든다 이걸루 우리 애기들이 편이 잘타구 다녀주길 바래본다], 긍정 텍스트 확률 : 97.08%"
"[.드뎌 오키도키를위해 유모차를구입했어용.너무이른감있게 유모차를구매한것같지만ㅋㅋ.미리준비하는게좋으니까요 .시티셀렉트를 살지 시티투어더블을살지.머리가터지게고민했지만.저희집은 언덕에있어서ㅜ 그리고 차가작아서.. .마음을비우고작은유모차로구매했어용ㅋ.장점이 엄청많아요 폭이작아서 어디든지 들어갈수있어용 ], 긍정 텍스트 확률 : 99.80%"
"[ .저희집 작은엘베도잘들어가구요 특히 간편해서 접기도편하고 트렁크에싣기도편해요짱짱맨 ], 긍정 텍스트 확률 : 66.31%"
"[ .그립감도좋고 제껀가봐요.손에뙇 맞는거보니ㅋㅋ.여자혼자접고싣고하는것도 너무편해요.조만간 애기들타고있는 사진으로 후기 다시한번올릴께용ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.75%"
"[안녕하세요드디어 유모차 구입했어요.기다리고 기다려서 드디어 받은 베이비조거 시티투어더블 쌍둥이 유모차에요.], 긍정 텍스트 확률 : 97.60%"
"[ 정면 모습입니다.], 긍정 텍스트 확률 : 68.46%"
"[ 접었을때 모습 ], 긍정 텍스트 확률 : 75.19%"
"[ .. 그때까지 너무 유용하게 잘 쓰겠쬬??가성비로 괜찮은 쌍둥이 유모차 찾으시면 이 유모차 추천해요꾸준히 써보고 확실히 좋으면 쌍둥 엄마들 한테 소문 내야죵.], 긍정 텍스트 확률 : 98.94%"
"[ 맞다유모차에 악세사리가 다 별도 였다는걸 유모차 사고 알게 되었습니다. ㅎㅎ유모차 가방이랑 가방걸이를 달아줘야겠어요.갑자기 날씨가 추워져서 목감기에 고생 하고 있습니다. ㅠ.], 긍정 텍스트 확률 : 75.05%"
"[아발론 오샤인], 긍정 텍스트 확률 : 53.30%"
"[.저희차량이 라.트렁크에 들어갈.?쌍둥이유모차쌍둥이유모차 를 찾던중. .?베이비조거베이비조거 검색해서.?베이비페어베이비페어 박람회때 직접 보고 끌어보니 핸들링이 너무좋고가볍고 우선 차에 들어갈수있는 작은사이즈에 한눈에 반했습니다. .?구매시고민구매시고민 했던 유모차가 우선 차량에 안들어 가고 핸들링이 어렵고 무거웠어요.사진상에보이는.?절충형유모차절충형유모차옆 캐리어는 기내용입니다.그럼 어는정도의 크기인지 감 오시겠죠.고민없이 구입하고 사은품도 받고왔어요.태어날 아기를위해 준비한.?절충형쌍둥이유모차절충형쌍둥이유모차.를 보며 거실에서 끌어보내요 ㅎㅎ.장점 가볍다. 작다. 핸들링 좋다 차량에도들어간다 가격착하다..단점 아직태워보지못해 모르겠어요.. ], 긍정 텍스트 확률 : 82.82%"
"[ ..연년생 아이가 생기고.집에는.?미마자리미마자리 디럭스 ], 긍정 텍스트 확률 : 50.18%"
"[ .?타보타보 휴대용 유모차 대나 있었기에.처음에는 쌍둥이 유모차따위 관심도 없었다....더군다나 큰아이는 단지내 바로 옆라인 어린이집을 다니고 있어서 등하원이 분도 걸리지 않았고.우리 둘째는 잠만자는 순하디 순한 신생아였다..그래서 신생아때는 늘 집에 재워둔채 후딱 다녀오다가.어느날 지역카페에서 운좋게도 상태좋은 쌍둥이 유모차를 드림받을 기회가 생겼다.그 유모차는.?세스토트윈세스토트윈 ], 긍정 텍스트 확률 : 85.43%"
"[ .상태도 좋았고], 긍정 텍스트 확률 : 90.47%"
"[무료로 드림받아서 참 좋았는데.애 둘 태우고 혼자 끌기 너무 무거웠다ㅠ.무거워서 조금만 경사진곳을 내려갈때면 손에 힘 빡주고 종종걸음으로 내려갔다...이아이의 코너링이란.. ], 긍정 텍스트 확률 : 52.85%"
"[ .앞바퀴를 들어올릴수가 없어서 턱도 올라갈 수 없었다ㅠ.그리고 젤 중요한건.순둥이 둘째가 여기만 타면....운다 .운다 .운다😭..하넌 패스..그래서 두번째 선택은 미마자리유모차 라이더 조합이었다 ], 긍정 텍스트 확률 : 97.25%"
"[ 미마자리 대의 가로너비가 센치다😨그에 반해 베이비조거의 센치는 정말 혁명이다..시티투어더블 구매를 결정하고 마침 열린대구 베이비키즈페어 방문후 바로결제ㅋ그리고 그 다음주 목요일에 받았다 ], 긍정 텍스트 확률 : 82.49%"
"[개월 남매다이전버전과 다르게 발판도 올라온당ㅋ ], 긍정 텍스트 확률 : 67.51%"
"[ 양대면이 아니어도 관찰창으로 충분히 잘 보인다 ], 긍정 텍스트 확률 : 73.47%"
"[.?쌍둥이유모차쌍둥이유모차.?휴대용쌍둥이유모차휴대용쌍둥이유모차.?절충형쌍둥이유모차절충형쌍둥이유모차.?베이비조거베이비조거.?시티투어더블시티투어더블.?미마자리미마자리.?타보타보.?세스토트윈세스토트윈.?대구베이비키즈페어대구베이비키즈페어], 긍정 텍스트 확률 : 61.57%"
"[ 안녕하세요. 지금부터 개월 차 연년생 같은 두 살 터울 남매의 쌍둥이 유모차 베이비조거 시티투어더블의 구매후기를 간략히 적어보려합니다. 일단 저희 첫째는 이제 막 개월에 입성했구요], 긍정 텍스트 확률 : 85.53%"
"[기존 첫째가 사용하던 유모차엘레니어 세스토가 있고 새 쌍둥이 유모차를 샀을 떄의 실사용기간], 긍정 텍스트 확률 : 53.94%"
"[빨리 오기를 기다렸기에 배송받자마자 오픈하여 실사용에 돌입하였습니다.], 긍정 텍스트 확률 : 51.09%"
"[방풍커버가 들어있구요 바퀴조립은 여자 혼자서도 충분히 할 수 있을만큼 간편합니다. 저 역시 혼자 박스 개봉하여 조립했으니까요 ], 긍정 텍스트 확률 : 60.41%"
"[다른 분들께서는 어떨지 모르겠습니다. 아무래도 유모차 부피가 있다보니 일인용 유모차 폴딩보다는 조금 버거울 수는 있으나 능숙해지면 전혀 어렵지 않고 현관이나 신발장 등에 자리차지를 덜하려면 저희 집처럼 폴딩해놓고 사용하는게 좋을 것 같습니다. 단], 긍정 텍스트 확률 : 88.22%"
"[ 저희 아파트 엘레베이터는 상당히 좁은 편입니다. 기존 나란히형 유모차들의 단점으로 뽑혔던 마트나 출입문 통과.. 시티투어더블의 폭이 정말 작긴 작은 듯], 긍정 텍스트 확률 : 69.80%"
"[ 베이비조거 쌍둥이 유모차는 핸들링이 좋다고 들었는데 시티투어더블 역시 소문대로 부드럽게 주행 가능하구요. 디자인 역시 군더더기 없이 깔끔합니다.유모차 구입 하나만으로 외출이 한결 편안해졌고], 긍정 텍스트 확률 : 69.80%"
"[비록 지금은 가까운 듯 먼 듯 서먹한 남매지만 둘째가 좀 더 크면 첫째와 나란히 앉아 아웅다웅 사이좋게? 노는 모습도 볼 수 있기를 바라며 이상 마치겠습니다 ], 긍정 텍스트 확률 : 66.96%"
"[.첫째가 돌이 되기도 전에 둘째 임신사실을 알게 되면서 유모차는 그때부터 고민했던것 같다.이미 첫째의 디럭스 유모차가 있고], 긍정 텍스트 확률 : 94.44%"
"[양옆으로 앉는 유모차는 끌고 나갔다가 폭이 좁은 문이나 엘리베이터를 타지 못하면 진짜 좌절... 다시 집에 돌아갈수도 없고], 긍정 텍스트 확률 : 82.95%"
"[생각도 하고 싶지 않다ㅜ ㅠ..그러던중 알게된 베이비조거시티투어더블.이거다], 긍정 텍스트 확률 : 57.34%"
"[이거였다ㅜ ㅠ.이미 대의 유모차가 있는데 저렴하지 않은 가격때문에 잠시 고민했지만 가격만 아니면 고민할게 없는 내가 찾던 유모차였다.첫째가 페도라나 와이업지니를 탈때보다 어깨부분이 좁아보이긴 하지만 그만큼 좁기 때문에 어디든지 갈수 있다.주동안 다녀본 결과 통과하지 못한 곳이 없다ㅋㅋ ], 긍정 텍스트 확률 : 67.80%"
"[ .장바구니가 좁다는 글을 봤었는데 생각보다 넉넉해서 장본것들도 꽤많이 들어갔다 ], 긍정 텍스트 확률 : 76.41%"
"[두명의 짐을 가득 담은 가방을 걸어놔도 뒤로 넘어가지 않고 안정감이 있다...다만 폴딩시 옆에 안전레버?가 잘 걸리지 않고], 긍정 텍스트 확률 : 59.59%"
"[기존에 사용하던 유모차들보다 차양막이 짧은게 조금 아쉽다..네이버에서 검색해서 인터넷으로 구매했기에 폴딩하는 방법을 몰랐는데], 긍정 텍스트 확률 : 84.04%"
"[유투버에서 찾아서 보고 몇번 해보니 어렵지 않게 할수 있었다..베이비조거 시티투어 더블 유모차야], 긍정 텍스트 확률 : 92.83%"
"[.독박 육아로 외출을 하려니 쌍둥이유모차는 필수.임신기간부터 엄청난 고민에 고민을 하고 결국 못샀다.....집이 언덕배기에 있어서 디럭스급 유모차는 끌고 다닐 자신이 없었고], 긍정 텍스트 확률 : 57.02%"
"[예쁜거 사고싶고], 긍정 텍스트 확률 : 88.10%"
"[베이비페어 같은 곳도 가기 싫고 가지가지 따지다가 결국 못샀다.....우리둥이 예방접종도 다니고.엄마랑 바깥에 숨이라도 쉬러 나가려면.이제 좀 컷으니.유모차를 구입해야지 다짐하고.며칠동안 폭풍검색을 시작했다..안전하지만 가볍고 쓰기편하고.사이즈는 크지 않은.디럭스 같은 절충형쌍둥이유모차.ㅎㅎㅎㅎㅎ.처음엔 양대면 가능한 모델로만 알아봤는데.아무래도 너무 무거워서 ㅠㅠ.고민하다가 .생각한 모델이 뻬그뻬레그 북포투였다.어디로 사러갈까 검색하던 중.베이비조거에서 시티투어더블이.신형이라고 ㅎㅎㅎ 눈에 확 띄었다.. 두 가지 모델을 다 볼 수 있는.화곡동 베이비플러스로.남편을 졸라 아가들을 데리고 갔다.두 가지 모델을 끌어보고 접어보고.이리저리 보고 고민한 결과.선택은 시티투어더블 ..남편가볍고 작은걸로 해.그게 너한테 맞아..나도 그렇게 생각했어 ㅎㅎㅎㅎ. ], 긍정 텍스트 확률 : 99.91%"
"[ ..우리 둥이 참 잘 적응한다..유모차 뽑았으니 빨리 집에가자.ㅎ. ], 긍정 텍스트 확률 : 82.91%"
"[ ..집에 도착해서 바로 조립하고.시트도 깔아보고 .역시 휴대성 좋고], 긍정 텍스트 확률 : 57.32%"
"[ 우리집 상황첫째 살 갤], 긍정 텍스트 확률 : 63.98%"
"[나들이 좋기는 한데.. 엄빠가 한명씩 맡더라도 한명이 남는다는...ㅜㅜ 위험이 상시 도사리고 있는 바깥출입이 쉽지 않아졌지요... 하지만.. 집에서 주말을 버티는것도 너무나도 힘들어지고... 결국 두명정도는 한번에 잡아둘 수 있는. 쌍둥이 유모차에 눈이 가더라고요... 그러나... 애 셋... 특히 우리 막둥이 이제 막 이유식을 시작한 세상에서 짐이 젤 많을 이.. 시기 애 둘은 태울 수 있으면서도 가벼우면서도 기동력이 좋고.. 컨티롤도 용이해야한다는 무지막지한 조건을 가지고... 마땅한 유모차 찾기란 정말 힘들었어요..ㅜㅜ 첫째 둘째때 사용한 휴대용 유모차를 여행때 너무나도 요긴하게 사용한지라.. 유모차는 무조건 가지고 다니기 좋아야하는거라는걸 뼈저리게 깨닫고], 긍정 텍스트 확률 : 86.51%"
"[휴대용이면서 컨트롤도 좋고], 긍정 텍스트 확률 : 92.18%"
"[가볍고.. 백화점 아파트 등 모든 관문의 문을 통과할 수 있는 유일한 유모차를 발견... 두둥 ], 긍정 텍스트 확률 : 83.68%"
"[ 게다가 이쁜 건 덤이건 사진빨이야를 외치며 실제로 확인 후 구매하자 싶어 화곡베이비플러스매장으로 달려갑니다사실.. 가격의 압박으로 리안트윈과 고민하던 차였는데.. 실제로 비교해보니...와우 단연코 눈에 쏘옥 디자인이 너무 깔끔해 이렇게 둘을 태울 수 있으면서도 이렇게 컴팩트하기 있기 없기헙.. 핸들링은 이건 그냥 인 휴대용 유모차를 끄는 느낌이네요.. 단단하고 야무진 모양이.. 우리 막둥이 클때까지 한 몫해줄것 같네요..그만큼 .. 휴대용 치고 가격이 있긴했지만.. 이걸 실제 보고는 다른 유모차를 고를 수가 없네요이제 다둥이 엄빠도 주말나들이 좀 해보렵니다. ], 긍정 텍스트 확률 : 85.32%"
"[...달이가 출장에서 돌아와 .집에서 다시 적응중인 아인이..일 이후부터 미소가 더 늘고 .근육반사로 웃는 배냇미소가 아닌 .사회적미소가 늘어나고 있다. ..엄마가 이야기하면 입 모양 쳐다보며 .소리내 웃기도 하고 .그냥 웃기도 하고.그런 모습이 너무 귀여워 더 웃게 해주려는 .달이와 나 😂], 긍정 텍스트 확률 : 97.50%"
"[ .. .?개월아기놀아주기개월아기놀아주기.?개월아기놀이개월아기놀이.?일아기놀아주기일아기놀아주기.?일아기일아기.?개월아기놀이개월아기놀이. ], 긍정 텍스트 확률 : 51.45%"
"[ .지금 가장 재미있게 보는 흑백모빌하고 아기체육관], 긍정 텍스트 확률 : 98.33%"
"[그리고 엄마가 흔들어주는 딸랑이.....사실 모빌과 아기체육관 만으로도 .아인이 혼자 아주 신나서 재미있게 논다. ㅋㅋ .그덕에 엄마는 쉬거나 집안일을 할 수 있다. ..그렇지만], 긍정 텍스트 확률 : 99.36%"
"[.옹알이도 늘어나고 .엄마랑 상호작용하며 노는게 더 좋을 것 같아 .아이와 마주보고 대화하며 자주 놀아준다. ..발달은 아기마다도 다른데 .우리 아기 발달 상황에 맞게 놀아주면 되는 것 같다. .아기 발달이 궁금하신 분들은 .아기 발달과 놀이에 대해서 정리한 포스팅 보세용], 긍정 텍스트 확률 : 97.06%"
"[ ..아인이는특히 입모양을 유심히 보는데 .오 아 이런 입모양을 좋아한다 ㅎㅎ .그래서 “오야 아구이뻐” 로 시작해 .이말 저말 해주고 웃으면.“오야”], 긍정 텍스트 확률 : 89.23%"
"[“오구이뻐”], 긍정 텍스트 확률 : 74.79%"
"[ .입모양을 최대한 크게 하는데 .노래불러 줄 때도 엄마 입을 유심히 본다. .그럼 더 입모양을 크게 하며 불러준다ㅎㅎ], 긍정 텍스트 확률 : 73.71%"
"[ .귀엽게 입모양을 따라하려고 오물오물 거린다 .특히 입을 “오”하며 내미는 걸 아인이는 좋아하는데], 긍정 텍스트 확률 : 59.48%"
