"[휴대용 유모차기내반입 유모차와이업 올뉴지니 ], 부정 텍스트 확률 : 89.07%"
"[ .?내돈내산내돈내산.?유모차추천유모차추천.?와이업올뉴지니와이업올뉴지니드디어 샀다.......................두번째 붕붕이정말..... 휴대용유모차 검색만 몇달을 했는지....너무너무 힘들었다.스스로 생각해도 참 피곤한 스타일이라 엑셀표까지작성해서무게 사이즈 핸들링 각도까지 싹다 비교해보고ㅋㅋ 참...내가 가장 우선적으로 생각한 것. 핸들링. 시트각도와 편안함. 한손폴딩캐리어기능 ], 부정 텍스트 확률 : 99.98%"
"[ 요요를 많은 엄마들이 선호하는데는분명 아가들도 잘 앉아있고 편해서 그런거겠지 싶다가도또 우리아기를 기준으로 했을땐 시트각도가넘나 뒤로 재껴져있는것지금도 디럭스 유모차에서는 허리 바짝 세우고똑바로 앉아있는걸 너무나도 좋아하는 아가라...시트 각도 조금만 재끼면 그렇게 짜증짜증을그리고 유모차는 아무래도 내 취향과 만족보다ㅠ.], 부정 텍스트 확률 : 92.58%"
"[ ㅠ아가가 편한게 최우선이 아닐까 싶어서아가들이 편하게 잘 앉아 있는다는레카로 이지라이프로 눈 돌려줬다가.... ], 부정 텍스트 확률 : 76.57%"
"[ 아무래도 내가 휴대용 유모차를 사려는 이유는물론 해외여행 갈때도 필요하겠지만신랑없이 혼자 아기 데리고 외출하기 편하려고 구매하는건데아가를 안고 한번에 폴딩이 쉬워야 하지 않을까...???싶기도 했고 에스컬레이터 타려면아기챙기고 아기 짐 매고 유모차까지 들고...??놉 ㅋㅋㅋ 나는 불가능], 부정 텍스트 확률 : 89.11%"
"[레카로], 부정 텍스트 확률 : 64.02%"
"[미니버기], 부정 텍스트 확률 : 53.29%"
"[와이업지니그리고 국내에 없는 싸이벡스 이지 트위스트까지 알아봄아무튼 타보 베이직스텝과 와이업지니 랑 비교중에엥 와이업지니 올뉴지니라고 신상이 또 나왔다네? 단점들을 보완해서 나온 제품이라고 하니....타보냐 와이업이냐결정장애라 세상힘듦....근데 중간에 미련못버려서 요요후기 뒤적거리던 와중인스타그램에서 어떤 엄마가요요 처분하고 올뉴지니샀는데핸들링때문에 요요 고민하시는 분이면올뉴지니 추천한다고 자긴 만족한다는 글보고 바로 지름서론이 길었다.. 어쨌든 지금부터 남기는 올뉴지니 후기 ], 부정 텍스트 확률 : 75.88%"
"[ 그렇게 참 힘들게 나에게로 온와이업 올뉴지니소프트블랙 색상 어떤이들은 재질이 싼티가 난다는데 글쎄요.내 눈이 막눈이라 그런가 이걸 사기로 결정해서그런지는 모르겠지만 싼티나는지는 잘 모르겠음ㅋㅋㅋㅋㅋ그냥 택배가 하루만에 와서 그저 좋을뿐아는 언니 애기가 엄마는 택배아저씨 젤 좋아하잖아 했다는데울애기도 말트면 똑같이 말할 듯일단 밀어보니 핸들링 좋다ㅋㅋㅋㅋㅋ앞바퀴 방향전환도 되게 부드럽게 잘되고뻑뻑함이 전혀 없음아가가 더 크면 어떨지 모르겠으나 일단은 핸들링 합격 ], 부정 텍스트 확률 : 67.35%"
"[ 손잡이에 붙어있는 폴딩레버노란색 동그라미 저부분을 엄지손가락으로 눌러준 다음손가락 전체로 꾹 누르면 된다. ], 부정 텍스트 확률 : 67.94%"
"[ 네펴는건 더 쉬워요ㅋㅋㅋ ], 부정 텍스트 확률 : 77.66%"
"[ 뒷면 레버로 손쉽게 단계로 조절가능하다편해서 좋구먼], 부정 텍스트 확률 : 65.71%"
"[ 뒤로 끝까지 재낀 모습이거 왜케 많이 재껴지냐며ㅋㅋ도까지라니 애기 잠들면 걍 뒤로 눕혀놓고 차양막 끝까지 당겨서 재우면될듯 ], 부정 텍스트 확률 : 82.06%"
"[ 말 나온 김에 차양막다른 유모차들은 생각보다 차양막이 짧아서흠... 그럼 블랭킷 들고다니면서 차양막 위에 덮어서 가려줘야겠다 했는데올뉴지니는 차양막이 길어서 아가 얼굴을 싹 가려주니내 짐을 또 줄여준다. ], 부정 텍스트 확률 : 99.22%"
"[ 점식으로 또는 점식으로 장착할 수 있는 안전벨트가운데 원형 누르면 안전벨트 다 풀린다이게 장점인지], 부정 텍스트 확률 : 62.68%"
"[단점인지...아기 뺄때는 진짜 편할거 같긴 한데애들 장난치다가 걍 풀거같기도 하고...근데 또 힘줘서 눌러야되니까 괜찮겠지 싶다가도..... 암튼 그건 지나봐야 알겠지만안전벨트 채워주면서 이거 풀면 안된다고 계속 이야기해줘야겠다.... ], 부정 텍스트 확률 : 96.18%"
"[ 그래도 앞에 티바가 한번 더 잡아주니 안심애들이 이거 환장한다는데울아가도 앉히니까 잘 잡고 앉아있음ㅋㅋ티바 손잡이 부분도 가죽소재라 물티슈로 한번 싹 닦아주면 됨 ], 부정 텍스트 확률 : 81.43%"
"[ 시트 뒤쪽에 달린 수납공간그리고 오른쪽 사진은 찍찍이 붙어있길래도대체 이 공간은 뭔가 했는데 찍찍이를 뜯으면 왼쪽사진의 수납공간 천이 쭉 길어지는데양옆에 지퍼를 샥 열면 매쉬소재원단이 나오며통풍이 된다고 한다한 여름에 차양막 치고 아기 재울때 좋을듯 하다.그리고 저렇게 찍찍이 붙여 놨을때는뭐 가벼운거 올려놓기 좋을듯찍찍이 힘이 워낙 좋아가지고ㅋㅋ ], 부정 텍스트 확률 : 99.01%"
"[ 브레이크그리고 카메라 배터리 나가서 찍지못한 장바구니부분저 브레이크 윗부분 원단을 뒤로 재끼면확장해서 쓸수있다는데 확장하면 탄탄하고 힘이 좋은게 아니라서 뒷쪽까지 그리 무거운건 못넣을듯근데 장바구니 깊이가 얕은 편은 아니라간단히 장보기엔 충분할듯 ], 부정 텍스트 확률 : 54.58%"
"[ 사은품으로 온 컵홀더흔들린다는데 나는 별로 안흔들려서 쓸만하다고 생각했음근데 뺐다꼈다가 힘줘서 끼워야해서 그건 좀 힘들었음그래서 안뺄라고], 부정 텍스트 확률 : 97.52%"
"[ 사은품으로 온 식판차에 실고 다니면서 유용하게 잘 쓰겠다...낄..낄낄...ㅋㅋㅋ넘 맘에들어 ], 부정 텍스트 확률 : 83.78%"
"[디럭스유 모차 오래오래 써야지 했는데], 부정 텍스트 확률 : 80.75%"
"[외출이 많아질수록 휴대용 유모차의 필요성이 절실해져서 이번에 하나 장만하게 되었다.사실 엄마보다는 아빠가 절실했기에 이것저것 꼼꼼히 찾아보고 선택도 아빠의 몫택배는 항상 반가운 손님휴대용 유모차 받자마자 요리조리 살펴보고 아들래미 시승식까지 ㅎㅎ ], 부정 텍스트 확률 : 92.93%"
"[ 친구 아이 휴대용 유모차 각도 조절이 끈이여서 직접 봤었는데], 부정 텍스트 확률 : 89.64%"
"[ 디럭스 유모차에 비해 보통 휴대용 유모차는 짐을 넣는 부분이 대부분 좁아 불편하더라구요.그에 비해 와이업 올뉴지니는 확장형 바구니로 공간이 넉넉해요아기를 키우다보면 한번 움직일때마다 짐이 어마어마하잖아요엄마에겐 이런 공간이 너무나도 소중하답니다 ㅠㅠ ], 부정 텍스트 확률 : 75.72%"
"[접히는 안전가드], 부정 텍스트 확률 : 53.29%"
"[셀프스탠딩 및 캐리가능], 부정 텍스트 확률 : 53.29%"
"[ ..기본구성으로 가방 걸이와 컵홀더 .추가 구매인줄 알았던 식판 트레이도 함께 들어있었다 ], 부정 텍스트 확률 : 62.22%"
"[ ..차양막도 안전바까지 풀로 덮혀서 넘넘 좋다.휴대용 유모차 중에는 차양막이 짧아서 잠이 들었을때 .불편한 유모차들도 있는데], 부정 텍스트 확률 : 98.73%"
"[ ..최대 각도가 .단계로 각도 조절이 가능.전에 사용하던 절충형은 안전바가 높으면서 최대 각도가 마음에 들지 않아서 불편한 점도 있었는데 .와이업 올뉴지니는 그런 부분까지도 굿.휴대용기내용 유모차로도 손색없는 넓은 시트까지 좋다. ], 부정 텍스트 확률 : 74.82%"
"[ . 뚜벅이 엄마인지라 아이와 외출시 유모차 거부 상황이 오면 부피가 큰 유모차와 아이 케어하기에 힘들었는데 .와이업 올뉴지니라면 같은 상황에서도 힘들지 않을듯하다 .기내용 유모차로도 손색이 없으니 .그동안 미뤄두었던 해외 여행을 계획해 보아야겠다.. ], 부정 텍스트 확률 : 61.33%"
"[.개월 둘째에게 휴대용 유모차를 선물해줬어요 ], 부정 텍스트 확률 : 59.76%"
"[ .첫째땐 디럭스만 줄곧 사용했는데.오빠사용하던걸 물려쓰다보니 .첫째땐 몰랐던 번거로움들이 부각되어.휴대용 유모차를 알아보게 되었죠], 부정 텍스트 확률 : 90.94%"
"[ 리움], 부정 텍스트 확률 : 53.29%"
"[ 등등 을 비교하다.선택한게 와이업올뉴지니에요], 부정 텍스트 확률 : 72.08%"
"[ .색상고민했엇는데 첫째의 추천으로 애쉬그레이로.선택했어요], 부정 텍스트 확률 : 59.56%"
"[ .휴대용 유모차같지않은 핸들링.정말정말 칭찬합니다], 부정 텍스트 확률 : 91.96%"
"[ .휴대용 유모차가 이정도로 잘나오면 굳이 디럭스가.필요없을듯요 ], 부정 텍스트 확률 : 50.70%"
"[ .아], 부정 텍스트 확률 : 72.18%"
"[ ㅡㅡㅎ.수납공간도 넉넉하고핸들링 두말함 입아푸고 등받이 조절 편하고 돌즈음아가들 휴대용 윰차 고민이시라면.와이업올뉴지니추천합니다], 부정 텍스트 확률 : 84.13%"
"[ .굳이 보완점이라면여기 바구니확장 자석똑딱이가.넘약해요ㅜ 갠적으로보완됐음하는 바램입니다 ], 부정 텍스트 확률 : 73.16%"
"[ .특가지나 ㅠ돈다주고산 후기였습니다], 부정 텍스트 확률 : 90.31%"
"[ .저에겐 국민 휴대용 유모차 가 될거같아요], 부정 텍스트 확률 : 77.97%"
"[잉레시나 디럭스 유모차를 신생아때부터 사용하다가돌이 지나니 유모차가 작아지더라구요. 그래서 에보스 휴대용 유모차를 구매했었더랬죠근데..사용하다보니 아기가 넘 불편해하고유모차를 타기 싫어해서 휴대용 유모차를 다시 구매하게 되었답니다. 그게 바로 와이업 올뉴지니 휴대용 유모차입니다.색상은 스페이스 블랙이에요. ], 부정 텍스트 확률 : 99.35%"
"[ 에서 핫딜떳을때 바로 구매했습니다.주문 후 주 뒤에 받을 수 있었구요.처음 배송받았을때 아기 발 받침대 부분이 부러져와서ㅡ..ㅡ교환을 해서 다시 받았습니다.근데..새로 받은 제품이 또? 부러져있더라구요그래서 또 교환받았습니다.총 번 교환받았어요..또 이런일은 처음 이었네요번거로움이 있었지만 제품은 너무 마음에 들었어요.진작..... 와이업올뉴지니 유모차 사줄걸 그랬어요 ㅜ.ㅜ아기 다리 부분에자로 되어 있어서아기가 마음대로 못내려와요 예전 에보스 유모차는 자기맘대로 계속 내려오구요.아기 미끄러지고...등받이가 넘 불안정해요 ㅜㅜ ], 부정 텍스트 확률 : 84.53%"
"[ 울아기 넘 편안해 하네요전체적으로 쿠션감이 있어서 푹신해요.그리고 유모차 차양막이 많이 덮어져서아기 잠재울때도 어둡게 재울수있어요.비올때도 덜 맞겠더라구요 좋은듯], 부정 텍스트 확률 : 62.87%"
"[ 예전 휴대용유모차 탓을땐 맨날 내려와서어딜 나가질 못했는데..와이업올뉴지니 유모차 태워놓으니 잘 앉아 있더라구요 ㅋㅋㅋㅋ기특한것ㅋㅋ ], 부정 텍스트 확률 : 63.87%"
"[ 식당에서도 잘 앉아있쥬.개월개월까지 사용가능하다고 하네요.유모차 접는것도 간단하고 아기랑 차타고 외출을 많이하는데제가 접어서 트렁크에 넣어도 부담없어요.. 로라 울아들램보다 훨.씬 가벼워요ㅋㅋㅋㅋㅋㅋㅋㅋ와이업올뉴지니 유모차야울 아들램 잘부탁해 .?와이업올뉴지니와이업올뉴지니 .?휴대용유모차휴대용유모차 .?아기유모차아기유모차 .?휴대용유모차추천휴대용유모차추천 .?와이업올뉴지니유모차와이업올뉴지니유모차 .?개월아기개월아기 .?돌아기유모차돌아기유모차 .?아기유모차추천아기유모차추천 .?와이업올뉴지니후기와이업올뉴지니후기 ], 부정 텍스트 확률 : 98.28%"
"[사이판 여행을 결정하고 갑자기 떠오른 생각은..........? 유모차는 어쩌지였다...우린 디럭스 유모차 스토케라서 들고가기는 매우 오바스럽고그래서 에서 와이업올뉴지니 핫딜 떳길래 당장 구매타이밍참...ㅋㅋㅋㅋ사라는 하늘의 뜻이기회에 휴대용 유모차기내반입 유모차로 와이업지니가 핫하길래묻고 따지지 않고 그냥 구매했다.와이업지니가 너무 인기라서 예약구매해야하는데 예정보다 빨리 배송되었다.그래서 바로 태워봄 ㅎㅎㅎㅎㅎㅎ백화점까지 가지고 가봤다.한번에 폴딩도 되니깐 매우 어색하지만 가볍다? ], 부정 텍스트 확률 : 80.59%"
"[ 내돈내고 구매한 후기입니다.구매후기올리면 방풍커버도 줌 ], 부정 텍스트 확률 : 89.07%"
"[.유모차 두개로 쌍둥이를 데리고 다니다.개월이 되어서야 쌍둥이 유모차의 필요성을 느끼고 검색검색후 와이업 올뉴지니로 결정..선택이유 . 휴대용유모차. 차트렁크에 들어가야판다. 가벼워야한다. 핸들링이 편해야한다. 분리가 가능해서 기존 유모차를 대신해야한다. 금액대가 많이 비싸지 않아야한다..며칠을 고민고민 하다 사실은 임신중부터 쌍둥이 유모차에 대한 고민은 지금까지 계속ㅋ.와이업 올뉴 지니 유모차는 두개 합치면 아파트 엘베 출입구 등등 이동이 안되고 분리해야한다는 단점에 고민고민하다 지금 시기에 어짜피 혼자 다닐일은 없어서 혼자 둥이 케어할 시기가 되면 붙어있는 둥이 유모차를 추가로 구입하자 생각 하고는 결국은 내맘이 끌리는 와이업 올뉴 지니 제품으로 확정 ], 부정 텍스트 확률 : 95.34%"
"[ .집안에서만 끌긴 너무 아까워서 남편과 주말에 나가보기로 ], 부정 텍스트 확률 : 98.99%"
"[아가와 곧 비행기로 이동을 해야해서 한국에 있을 때 휴대용 유모차를 구입해 준비하기로 했죠.기내반입이 가능하고 어디든 기동성이 편한 휴대용 유모차를 찾아 불꽃서치 하던 중가격대비 좋은 와이업 지니를 알게 되었어요.], 부정 텍스트 확률 : 96.32%"
"[.......], 부정 텍스트 확률 : 53.29%"
"[ .그래서.폭풍 후기 검색끝에 ], 부정 텍스트 확률 : 68.79%"
"[ .도착했습니다.와이업 휴대용 유모차], 부정 텍스트 확률 : 90.73%"
"[ .배송 후 뒷바퀴는 빠져와요.그냥 끼우시면 되구요.뺄때는 저기 은색 버튼 누르시고 빼는거라고 하네요 ], 부정 텍스트 확률 : 95.00%"
"[ .짜잔 눕눕 우리슈슈 잠이들면 .스르륵 눕힐수 있는 단계.단계 까지 조절되고.최소각이 도 라고 하네요.근데 고정 되는 딸깍 하는 느낌이 없더라구요.저만 그런건지 아시는 잇님들 댓좀 주셔요 ], 부정 텍스트 확률 : 93.57%"
"[ .브레이크를 색으로 표시해 두니 .보기 쉽더라구요 ], 부정 텍스트 확률 : 84.78%"
"[ . .?휴대용휴대용 유모차.?와이업와이업.?리안리안.?타보타보.?휴대용유모차추천휴대용유모차추천.?유모차추천유모차추천.?절충형유모차절충형유모차. ], 부정 텍스트 확률 : 76.31%"
"[휴대용 유모차가 필요하여 여기저기 알아보고 다녔다.왜이렇게 많은거야.. 유모차 종류... 그러다 한 유투브 동영상을 보았고 그동영상을 보고 와이업 올뉴지니로 바로 선택하였다일단 와이업 올뉴지니를 선태한 이유 먼저 . 안전바가 분리가 되어 식판으로 교체가능하다는점 하.... 신세계... 디럭스에선 생각도 못하던 신세계 ㅜㅜ 간혹 아기의자가 부족할시 이유식 먹이려면 기다려야는데], 부정 텍스트 확률 : 90.14%"
"[앞으론 유모차에 앉아 바로 먹이면되겠다. 폴딩폴딩 자동폴딩 ], 부정 텍스트 확률 : 72.19%"
"[ 일단 와이업 올뉴지니 휴대용 유모차가 와서 남편이랑 신나게 박스를 열고 유모차를 꺼냈어요박스채로 택배가 온건.. 쫌 별로였지만.. 그래도 유모차를 꺼내고 신났음...번째 사진은 남편이 아기가 누워야 하니 시트를 빨아보겠다며 이리저리 다 빼더니... 어머 뼈대만 남았네...여기서또 마음에 들었음. 다른 유모차들은 분리가 안되기도 하고 그래서 진짜 처음에 아기 태울때랑 먼지 많은곳 다녀오면.. 찝찝했는데.. ㅜㅜ다 분리가 된다니 세탁 또한 중성세제에 담궈논뒤 건조대에 말렸음..사실 이건 뭐 세탁방법 이런게 따로 안적혀 있지만... 그래도 뭐], 부정 텍스트 확률 : 99.22%"
"[보통 중성세제로 하고 당연히 세탁기나 건조기를 안될것이고...분리도 우리 맘대로 했지만], 부정 텍스트 확률 : 79.71%"
"[와이업 올뉴지니가왔을때 폴딩이 지맘대로 접히는것... 어머 이거 고장인가? 하고 보니 폴딩부분에 안내문이 묶여있어서 그랬던것그걸 뜯고 보니 저한테 네모부분 튀어나온부분이 잠금장치 저걸 눌러줘야 폴딩이 가능], 부정 텍스트 확률 : 66.09%"
"[식판월한정사은품 ], 부정 텍스트 확률 : 53.29%"
"[와이업 올뉴지니 휴대용 유모차를 넣을 수 있는 보관봉투], 부정 텍스트 확률 : 87.49%"
"[ 다섯번째 사진은 차양막을 내릴때 저렇게 자크로 되어있어서 더 많이 펼칠 수 있다는거 그래서 아기가 좀 더 햇빛을 덜 받게 된다는것여섯번째랑 일곱번째 사진은 위에서 열면 아이가 안에서 무엇을 하고 있나 볼 수 있다.그밖에], 부정 텍스트 확률 : 93.16%"
"[ 밑부분에 넓은 수납공간도 마음에 들고특히 다 접어서 폴딩하면 들고다닐수도 있지만 캐리어 처럼 끌고 다닐수 있겠끔 되어있기도하다끌고다니는것은 ↓ 밑에 동영상 참고 ], 부정 텍스트 확률 : 57.66%"
"[ 컵홀더도 주신다 ㅋㅋ저렇게 하얀 고무가 틈을 채워줘서 컵이 움직이지 않는다.단지 좁은 길을 지나갈때 컵홀더가 신경쓰임..ㅠ총평은 내가 원했던 가지 충족 기내반입은 내년 여행을 위해서 꼭 필요한 조건이었다.그리고 컬러고민을 많이 했는데..소프트컬러하길 잘했다 ㅋㅋㅋ휴대용유모차중에 텐트같은 재질의 유모차를 많이봐서.. 이것도 텐트같이 광나는 블랙이지 않을까? 했는데고급스러운 블랙이라 맘에 쏙든다핫딜로 구매해서 거의 만원 저렴하게 샀는데.. 역시 맘카페는 자주 들락날락해야한다ㅋㅋㅋㅋ이상 와이업올뉴지니 휴대용 유모차 후기였당 ], 부정 텍스트 확률 : 72.27%"
"[...... ], 부정 텍스트 확률 : 70.13%"
"[ .....참 많은 유모차를 사용해봤다...첫아이때는 무조건 비싸야 좋은건줄 알고 부가부를 샀었다.그러나 첫 아이땐 생각보다 유모차를 탈 일이 많지가 않았다. 몇번 태워보지도 못하고 팔아버렸다..휴대용으로 갈아탄것이 요요의 대륙버전요야..그러나 딱 돈만큼이였다.실수로 핸들링은 좋게 만들었지만 견고함은 그닥이라 첫아이 태우고 나서폐차시켰다....그리고 둘째아이 출산.부가부를 팔아버린걸 땅을 치고 후회했다..첫아이가 외부활동을 하니 외출은 불가피했다...주변에서 물려준 디럭스로 버티다 휴대용 유모차는 심사숙고해서 구입했다....내가 초이스한.?올뉴와이업지니올뉴와이업지니..... ], 부정 텍스트 확률 : 75.86%"
"[ . 사실 타보와 올뉴와이업지니와 매우 고민했었다..사양이나 스팩이 비슷해서 고민이 되었지만 결정적인 한방은 바로 등받이 부분이었다.와이업지니는 조절끝이 아닌 레버로 되어있어 훨씬 편했다...................... ], 부정 텍스트 확률 : 66.45%"
"[ .폴딩 언폴딩 시 락버튼이 있는데 처음엔 좀 뻑뻑했다. 뽑기가 잘못 된건지 손에 안익어 그런건지 적응하는데 시간이 좀 걸렸다.그래도 락버튼이 있어 안전한건 맘에 든다.................. ], 부정 텍스트 확률 : 63.58%"
"[ .조립은 바퀴 꽃아주고 티바 꽃아주면 끝 간편하다............... ], 부정 텍스트 확률 : 85.77%"
"[ .그리고 하부 발판발판도 길게 내려와있어 아이가 잠들었을때 발을 좀 더 편하게 받쳐준다.................. ], 부정 텍스트 확률 : 89.89%"
"[ .등받이는 이 레버로 조절하고 완전히 눞혀지고 도로 완전히 세워져서 좋다................. ], 부정 텍스트 확률 : 70.82%"
"[ .로고와 쿠션감 그리고 통풍창까지 디자인이 깔끔하고 군더더기 없어보인다.............. ], 부정 텍스트 확률 : 70.53%"
"[ .올뉴와이업지니의 뒤태.지퍼로 포켓이 있어 소지품 보관하기 용이하고 장바구니도 큰편이다.더 넓어지긴 하는데자석형태로 되어있어 혹시나 물건이 흐르진 않을까 살짝 염려스럼긴 하다............... ], 부정 텍스트 확률 : 93.55%"
"[ .프레임은 올블랙으로 깔끔하다................... ], 부정 텍스트 확률 : 63.87%"
"[ .그리고 베페에서 받은 사은품.솔직히 직접 끌어보고 구입하려고 베베 갔는데 가격 조건은 별로 좋은지 모르겠다......인터넷 프로모션을 노리는게 더 나을 듯 하다.....만족도는 ..아쉬운 부분이 있다면 기대만큼 가볍지 않다..혼자 트렁크에 넣고 빼려면 살짝무리가 간다..그리고 접었을 때 생각보다 작지 않다....그럼에도 불구하고 올뉴와이업지니를 선택한 이유는 셀프스탠딩이 되고급할땐 아이 두명도 가능하기 때문이다....키로까지는 가능해서 가끔 첫아이가 걷기 싫다고 버티면 동승시켰다....그리고 수납공간도 많고 무엇보다 핸들링오 좋으니 그걸로 되었다.......... ], 부정 텍스트 확률 : 82.13%"
"[ ...할로윈때도 빛을 발한 우리 꼬물이와 와이업지니♡.이것으로 포스팅을 마친다......이상 휴대용 유모차 올뉴와이업지니 포스팅 끝... ], 부정 텍스트 확률 : 81.02%"
"[ .. ], 부정 텍스트 확률 : 57.07%"
"[ .. ], 부정 텍스트 확률 : 57.07%"
"[... ], 부정 텍스트 확률 : 75.40%"
"[ ... ], 부정 텍스트 확률 : 75.40%"
"[ ...고민 끝에], 부정 텍스트 확률 : 65.69%"
"[.솔직하게 써 보는 휴대용 유모차 후기 .... ], 부정 텍스트 확률 : 92.52%"
"[ ....유모차를 받고 난 후 ], 부정 텍스트 확률 : 84.07%"
"[ .. ], 부정 텍스트 확률 : 57.07%"
"[ ...구성품은 이렇게 도착했다..구성품 중방풍커버라 적었는데 실제 펴보니.유모차 보관 주머니 였다 ...... ], 부정 텍스트 확률 : 74.87%"
"[ ...바퀴는 따로 단품으로 이렇게 오는데], 부정 텍스트 확률 : 79.26%"
"[ .그냥 껴 주기만 하면 완제품이 된다.....정말 쉬운 조립 방법이지만 ], 부정 텍스트 확률 : 96.34%"
"[영상을 남겨 본다. ], 부정 텍스트 확률 : 70.39%"
"[ ...이렇게 껴주기만 하면완제품 유모차가 된다....... ], 부정 텍스트 확률 : 87.28%"
"[ ... ], 부정 텍스트 확률 : 75.40%"
"[ ....이전 것과 바뀐 것이 뭐가 있을까하고.찾아보다가 발견한 부분들이런점은.마음에 들었다. 하지만 저 위의 모든점들을.더해 더 마음에 들었던 건 .... ], 부정 텍스트 확률 : 69.06%"
"[ ... 바를 빼고 이렇게 지니 전용 식판을 달아주면.아기 의자가 없는 식당에서도 꽤 유용할 것 같다........ ], 부정 텍스트 확률 : 59.69%"
"[ .....유모차를 폈을 때. ], 부정 텍스트 확률 : 55.39%"
"[ ...참], 부정 텍스트 확률 : 83.25%"
"[기내용으로도들어간다고 하니.휴대성에 있어서는 의심할 수 없을 것 같다..... ], 부정 텍스트 확률 : 92.56%"
"[ ...지금까지 개월의 아기가 참 애정하는.유모차이기도 하다... ], 부정 텍스트 확률 : 57.37%"
"[ .. 바 부분까지 다 덮이는 덮개는 .아이가 이렇게 누워있을 때 텐트 같은 느낌을 준다.. ], 부정 텍스트 확률 : 81.72%"
"[ .. 바를 참 좋아해서.올 뉴지니 유모차로 선택하길 잘했다 싶었다........ ], 부정 텍스트 확률 : 51.44%"
"[ ...하지만 문제는 아이가 뒤쪽으로 앉아 있을때.하중이 뒤로 쏠리며 유모차가 갑자기 넘어졌다..너무 순식간이라 놀라서 다친 아이를 안고 .응급실로 달려 갔던 것 밖에 생각이 안난다... ], 부정 텍스트 확률 : 96.55%"
"[ ...상처를 자세히 살펴보면 유모차 뒤쪽 네트 무늬가.선명하게 찍혀져있다. 그대로 넘어져서 바닥에 찍혔으니.얼마나 아플까생각만 해도 속상하다.......... ], 부정 텍스트 확률 : 88.09%"
"[남편이 없으면 택시를 타거나 걸어서 다녀야하는데 디럭스 유모차를 끌고다니기에는 너무 버거워서 항상 아기띠만 하고 다녔다.디럭스 유모차는 그래서 물려받긴 했지만 집안에 모셔두는 신세가 되어서], 부정 텍스트 확률 : 95.71%"
"[식당을 가더라도 카페를 가더라도 안고 먹기에는 점점 힘들어지길래 안되겠다 싶어휴대용유모차를 알아보게 되었다.휴대용유모차도 아직 어리니갤 넘어가는중 절충형유모차를 사야하나], 부정 텍스트 확률 : 98.76%"
"[고민이 많았는데 절충형 유모차도 무게가 거의 킬로 다되가서 들고다니기에는 쉽지 않을거같아서 휴대용 유모차로 결정휴대용 유모차로 결정하고 나선 어떤걸 살까 폭풍서치를 해본 결과 와이업올뉴지니가 가성비도 좋고 성능도 좋다고 평이 많은거 보고 고민중에 선택하게 되었다.확실히 많이 사는 이유야 있겠지라는 생각이 크게 작용했다.그리고 나서 바로 주문을 하고 다음날인가 바로 도착해서 상자를 바로 뜯고 꺼냈는데 역시나 디럭스 유모차에 비하면 가볍더라 ㅎㅎ그리고 나서 가장 중요한 폴딩을 이리저리 해보고 약간 처음에는 뻑뻑할수 있다고 써있더니 확실히 약간 뻑뻑하긴 했다.그래도 몇번 사용하니 괜찮아지더라 한손 폴딩은 난 좀 무리가 있어서 두손으로 접고 피고 연습삼아 해봤다. 확실히 접고피고 하는데 한손은 아니더라도 두손으로 하는데 큰 무리는 없었다. 아마 하다보면 더 쉬워지겠지?폴딩연습후에 유모차라이너를 끼워서 시승식을 해보았다. 편해하나 깊이는 어떤가 보려고 태워봤는데 고개를 빳빳이 들려고 해서 힘들어 보이긴 했으나], 부정 텍스트 확률 : 84.48%"
"[의자도 길고 넓어서 편해보였다. 앞으로 이게 너의 전용 유모차가 되는 거란다 아참 사은품으로 온 식판을 끼고 폴딩을 할때는 가드보다는 확실히 길이가 길어서 그런지 툭 튀어나오고 약간 더 빡빡해지는 느낌이더라 그래서 식판을 낀 상태에서 폴딩을 할때는 좀더 꽉 눌러서 접은 다음에 펴야 할거 같더라 필때도 같이 식판도 펴지니까 그것도 좀 조심조심이제는 앞으로 외출할일만 남았넹 이제 외출을 좀 더 자주해보도록 하자 얏호ㅎㅎ ], 부정 텍스트 확률 : 54.86%"
"[.?휴대용유모차휴대용유모차와이업올뉴지니가벼운유모차 ], 부정 텍스트 확률 : 92.16%"
"[안녕하세요와이업 올뉴지니 유모차를 구입하고후기를 작성 안 할 수 없을 정도로 만족스러워몇 자 끄적입니다우리 아들 점복이가기존에 바구니 카시트와 호환되는치코 브렌드의 유모차를 사용했었는데요], 부정 텍스트 확률 : 57.25%"
"[ 저렴한 가격인데 핸들 바까지 달려있어서아이가 성장하는 오랫동안 사용할 수 있을 것 같아요 ], 부정 텍스트 확률 : 82.30%"
"[ 구입 사은품으로 받은 미니 선풍기 ], 부정 텍스트 확률 : 59.02%"
"[ 휴대용인데 짐칸이 넉넉해서 좋았어요 ], 부정 텍스트 확률 : 66.81%"
"[ 그리고 양대면이 안되는 단점을이렇게 위에서 아기를 볼 수 있게 만들어단점을 보완했습니다 ], 부정 텍스트 확률 : 88.52%"
"[ 이 핸들 바가 마치 캐리어 역할을 해서부드러운 핸들링 만큼이나기내반입시 너무 편하답니다이상.?와이업올뉴지니와이업올뉴지니.?휴대용유모차휴대용유모차.?기내반입유모차기내반입유모차 후기였습니다 ], 부정 텍스트 확률 : 82.64%"
