"[ 경기 김포시 양촌읍 김포한강로 에 위치하고 있는데요드디어 내일 정식 오픈을 한대요], 긍정 텍스트 확률 : 60.46%"
"[살이 함께 갔어요. 살 아이가 키가 커서 셋은 제법 많은 놀이기구를 함께 탈 수 있는데 살은 아직 키가 작아서 함께 탈 수 있는 놀이기구가 한정되어있다보니 아무래도 혼자 있는 시간이 많아요. 그래서 기다리는 동안 지루하고 다리가 아플까싶어서 그린탐을 가져갔어요. 제가 이걸로 가져간 이유는 우선 예뻐서 어디에 걸려서 사진이 이쁘게 잘 나오며 양대면도 되고 앞보기도 되니 활용도가 높고 혹여나 아이가 잠이 들었을때 도로 눕힐 수도 있기 때문이에요. 게다가 핸들링이 편해서 아이를 한손에 잡고 한손으로 윰차를 운전하기 참 좋고 장바구니도 넓어서 많은 양의 짐을 수납할 수 있어요. 가장 중요한건 가볍기 때문이에요. 엘리베이터를 찾아 다니기에는 시간이 아까워서 계단이나 에스컬레이터를 이용하는데 윰차가 있으면 제약이 심하거든요. 다른 절충형은 너무나 무거워서 무조건 엘리베이터를 이용해야 하는데 요건 제가 번쩍 번쩍 들을 수 있으니 움직이는 경로를 방해하지 않아서 참 좋았죠. 게다가 바퀴가 안정적이라 살짝 울퉁불퉁한 구간에서도 아이가 안정적으로 있을 수 있고], 긍정 텍스트 확률 : 89.79%"
"[서스펜션 때문인지 조금만 울퉁불퉁해서 짐이 다 떨어지고 난리도 아니거든요. 그런걸 볼때마다 아이 머리도 엄청나게 흔들리겠다 싶어서 그런 것들은 다 처분했어요. 그런데 요건 절충형이라 안정감있으면서도 가벼우니 이렇게 좋을 수가 없어요. 앞으로도 외출할때엔 이 아이만 챙겨가야겠어요. 우리 막내도 중간 중간 이동중에 유모차를 타니 아이 발걸음속도에 맞추지 않아도 되어 이동성이 좋고 중간 중간 앉아서 쉴 수 있는데다가 짐을 다 수납해주니 엄마들도 힘이 덜 들어서 정말 좋았답니다. ], 긍정 텍스트 확률 : 98.41%"
"[핸들링이 좋다는걸 좀더 자세히 보여드리고 싶어서 영상으로 찍어보았어요. 영상 중간 중간 한손으로 운전하고 있음이 보일거에요. 이쪽 저쪽으로 이리저리 잘 움직이는 모습을 보면 반하지 않고는 못배길걸요? 맘카페에도 보면 핸들링 좋은 윰차를 찾는다는 글이 많이 보여요. 그만큼 핸들링이 중요하다는 말이죠. 저도 안그런 윰차도 많이 끌어봤는데 완전 스트레스 비오고 애 둘이고 비포장도로 가야하고 이럴때 특히 너무나 스트레스거든요 ㅠㅠ 진짜 유모차 버리고 싶다는 생각이 들 정도에요. 그런데 이렇게 편하면 진짜 자갈밭도 끌고 갈 수 있을것만 같아요. 물론 덜컹 거리고 힘들겠지만 말이 그렇다는거죠 ㅎㅎㅎ 윰차에 아이가 타면 하중때문에 핸들링은 나빠질 수 밖에 없어요. 그래서 아이가 큰 다음의 주행을 상상할 수 없기 때문에 아이가 크면 윰차의 수명이 다했나? 라고 생각하게 될 수도 있어요. 그게 바로 주행안정성과 편의성 때문인데요], 긍정 텍스트 확률 : 100.00%"
"[우리 아이는 이에요. 이제 정말 윰차 타기 막차라고 표현할 수 있는 무게이지요. 그 아이가 탔는데도 이렇게 주행이 안정적이고 편안한건], 긍정 텍스트 확률 : 99.64%"
"[윰차 탈 수 있는 기간동안 언제든 편리하게 이용할 수 있다는 뜻이기도 해요. 윰차를 고를때엔 아이의 키], 긍정 텍스트 확률 : 97.08%"
"[무게를 염두해서 골라야 하는데 제한에 보면 대부분 연령을 적어놓더라고요. 아이들 개월수가 동일해도 발달은 천차 만별인데 말이에요. 제한 무게는 어느정도의 하중을 견딜 수 있는지], 긍정 텍스트 확률 : 64.91%"
"[그리고 이 브랜드가 추구하는 주행안정성 등이 유지될 수 있는 무게가 어느정도 인지를 알려주는 것이고 제한 키는 머리부분부터 발판 까지의 길이를 알려주는 것이에요. 두 가지 중에 하나라도 넘는다면 그 윰차는 사용하기 어렵고], 긍정 텍스트 확률 : 98.88%"
"[홍보를 많이 하는 제품일 수록 언급이 많이 될 수밖에 없어요. 기본은 하기 때문이고 다른 것은 사용해보지 않은 경우도 많기 때문이기도해요. 또한 내가 타본 것이 아니라 아이를 태우는 것이기 때문에 승차감도 알 수 없지요. 그저 엄마가 알 수 있는것은 사용 편의성 뿐인데요 그린탐의 편의성은 점 만점에 점이에요. 우리 아이들의 경우 불편하면 불편하다], 긍정 텍스트 확률 : 99.39%"
"[편하면 편하다 말할 수 있는 연령이라 승차감에 대해서도 언급할 수 있는데], 긍정 텍스트 확률 : 84.00%"
"[불편하면 바로 내려버리는 호불호 강한 아니라 사실 이 윰차를 받기전에 살짝 긴장했거든요. 근데 정말 진짜 잘 앉아있고 타고있다가 잠들기도 해요. 이러니 추천리스트번에 올리지 않을 수가 없답니다. 만약아이가 잘 앉아있지 않아서 고민인 분들은 다른 걸로 갈아타시라고 말씀드리고 싶어요. 그리고 이거 태워보세요. 예쁘다 하고 쓰담쓰담하게 해주고], 긍정 텍스트 확률 : 85.34%"
"[혼자 탈 수 있냐고 물어보고], 긍정 텍스트 확률 : 80.11%"
"[혹은 엄마가 보이게 아이가 원하는 대로 해주세요. 일단 앉으면 일어나기 싫어지는 비쥬얼과 편안함 덕에 윰차가 없으면 외출하기 싫어하는 아이로 바뀔지도 몰라요 ㅎㅎ 그건 뭐], 긍정 텍스트 확률 : 57.73%"
"[그거대로 불편한 일일 수 있겠지만 일단 아이를 안아주지 않아도 외출이 가능하다면 아이와 함께하는 외출이 즐겁고 몸도 덜 피곤해서 더욱 자주 나가고 많은 것을 아이에게 보여줄 수 있게 될거에요 ], 긍정 텍스트 확률 : 95.71%"
"[보기만해도 행복해지는 디자인 또한 자꾸만 함께하고 싶은 이유에요. 어쩜 이렇게 예쁜 컬러인지 ㅎㅎ 블랙], 긍정 텍스트 확률 : 99.98%"
"[화보냐 많은 분들이 질뭇하시지만 그냥 놓고 무심히 툭 찍은 휴대폰 사진이라는걸 알면 다들 놀라죠. 사진 팔아도 되겠다는데 정말 그런가요? 헤헷. 다만 를 자동으로 놓고 찍었더니 화질이 중구난방이라 넘 아쉽네요. 담번엔 수동으로 놓고 제가 조절해서 찍을 수 있음 좋겠어요. 그럼 애들 없이 가야하긴 하지만요 ㅎㅎ 지금 보니 안전바가 장착되지 않았어요 다른 사진들도 전부 그렇네요. 아이가 오르고 내리면서 안전바를 자꾸 빼서 차에 두고 왔어요 ㅠㅠ 그래도 안전벨트가 점식으로 가장 안정적인 안전벨트의 형태인지라 걱정이 없어요. 안전바가 있으면 아가들은 거기에 모빌도 달고 치발기도 다는 등 활용도가 넢은데 우리 아이는 그저 이동과 쉼의 목적이 전부인 아이인지라 안전바는 사실 없어도 괜찮아요. 있으면 더 안전하고 예쁘긴 해요 ㅎㅎㅎ 맛있는 도너츠가 벽에 잔뜩 달려있으니 기분도 좋고 예쁘네요. 울 아이 방도 이렇게 꾸며줄까 살짝 고민했어요. ], 긍정 텍스트 확률 : 86.80%"
"[롯데월드는 크리스마스 분위기가 한창이에요 한달도 넘게 남았는데 퍼레이드도 이미 크리스마스 컨셉으로 바뀌었어요. 예쁜 트리가 곳곳에 놓여져있어서 사진찍기 좋은데 선물더미를 보니 기분이 더 좋아요. 이제 정말 겨울인가봐요. 날도 정말 춥더라고요. 러시아의 찬 기운이 내려와서 미세먼지 없이 좋은 날이었다는데 빨리 추워지면 참 좋겠어요. 추워도 꽁꽁 껴입고 입김 호호 불며 산책하고 싶어요. 공기가 안좋으면 정말 외출이 어려운데다 실내 공기도 안좋아지니 어딜 다니기 어려워요. 집에서 공기청정기 빵빵하게 틀어놓고 있어도 먼지 쌓이는거 보면 기함을 하는데 다른 곳은 어떨지 상상도 안되어요. 연말을 즐기기에 더없이 안좋은 날들], 긍정 텍스트 확률 : 91.44%"
"[추위는 끔찍히 싫어하는 저인데 이렇게 겨울이 빨리 오길 바라는건 또 처음이에요. 아직 제가 그린탐 풋머프가 없어서 빨리 주문해서 장착하고 겨울 나들이 하고 싶어요. 구성품이 풋머프와 전용가방이 있는데 윰차 보면 아시겠지만 그 부속품들도 진짜 이뻐요. 가방은 따로 들고다닐 수도 있게 토트백인데 윰차에 장착해서 서브장바구니로도 활용이 가능하고 그냥 들고다녀도 되지요. 예쁘니 어떻게 활용해도 좋아요. 틸컬러라 풋머프도 쇼퍼백도 고급스러움 그 자체에요. 처음 구매하실때에 한꺼번에 구매하는걸 추천해요.], 긍정 텍스트 확률 : 74.24%"
"[그렇기에 이 윰차가 특히 고마워요. 이번엔 아주 여유롭고], 긍정 텍스트 확률 : 86.08%"
"[분실사건등이 없이 온전히 아이들에게 집중하여 즐길 수 있었죠. 실내이긴 해도 어떤곳은 춥고 어떤곳은 땀이 나기 때문에 외투는 꼭 챙겨야 하는데 그린탐 덕분에 아이들이 감기에 걸리지 않고 저 역시 제 손의 짐을 덜었어요. 아이와 함께 찾은 가족이 많은 놀이동산이라 예쁜 아가들도 많이 봤는데 엄마에게 안긴 아이를 볼때면 더 고마워지는거죠. 아], 긍정 텍스트 확률 : 98.28%"
"[저게 내 모습일 수도 있었는데 참 다행이다... 하면서요. 키로가 넘는 아이를 안고 다닐생각을 하니 상상만으로도 허리가 아파요. 눈에 넣어도아프지 않은아이이지만 안는건 허리가 아프네요 ㅎㅎ 사진 찍을때 방향도 달리 해보고 각도도 조절하면서 찍을껄 너무 이렇게 한 방향], 긍정 텍스트 확률 : 99.96%"
"[크...... 진짜 심멎 사진. 전 모든 사진중에 이게 가장 좋아요. 창밖으로 눈이 내리는 영상이 틀어진 곳에 가만히 놓이는 정말 눈이 쌓이는 듯한 착각이 들어요. 한밤중에 눈이 소복 소복 쌓이는 것을 창 밖으로 보는 느낌. 예전에는 참 좋아했는데 성인이 되고 부터는 출근하기 힘들겠다], 긍정 텍스트 확률 : 96.09%"
"[지저분해지겠군 이라는 생각을 했고], 긍정 텍스트 확률 : 61.22%"
"[아이가 생기고 나서는 어린이집에 가기 힘들겠다 라는 생각 뿐이었어요. 눈을 좋아하는 어린이가 어른이 되면서 이렇게 바뀌는 것이 슬프기도 했지만 오늘만큼은 이 느낌이 참으로 마음에 들어요. 설원에서 뽀드득 뽀드득 눈을 밟으며 산책을 하고], 긍정 텍스트 확률 : 99.90%"
"[아이는 그린탐에 앉아서 손을 뻗아 앙증맞은 손에 내리는 눈을 담는 상상을 해보아요. 손에 닿으면 녹아 사라지는 눈이 아쉬워서 계속해서 손을 뻗겠죠? 유모차에 앉아있으면 아이도 저도 안전하게 등하원이나 산책을 할 수 있어요. 캐노피가 크고 깊기 때문에 아이가 눈에 맞지 않을거에요. 게다가 탈착이 쉬운 구조이기 때문에 세탁이 쉬워서 더 안심이죠. 타사 제품은 비가 오는 날이며 눈이 오는 날에는 방수 커버를 꼭꼭 씌워야 맞지 않았는데 그린탐은 확장형 캐노피가 깊어서 풋머프와 함께라면 아이도 눈을 맞지 않을 수 있을거에요. 빨리 눈이 나와서 테스트해보고 싶어요. ], 긍정 텍스트 확률 : 99.85%"
"[움짤로 만들어봤어요. 이러니 더 실감나지요? 아이들도 이 모습이 마음에 드는지 앞에 놓인 벤치에 앉아서 어떤녀석은 눕고], 긍정 텍스트 확률 : 52.00%"
"[어떤 녀석은 앉아서 한참을 바라보더라고요. 워낙 예쁜 녀석이라 어디에 어떻게 두어도 화보가 따로 없어요. 엄마의 스타일을 살려주는 디자인과 컬러인지라 저도 멋쟁이 엄마로 거듭났어요 ㅎㅎㅎ 여기에 울 아드님 타고 있으면 아들 역시 미모버프 제대로 받아서 다섯배는 더 귀엽고 잘생겨보이는 효과가 있답니다 ㅎㅎ ], 긍정 텍스트 확률 : 96.39%"
"[이 세트는 우리집 베란다에 꾸며도 참 예쁠 것 같아요. 크게 뭔가 어마무시한 소품이 들어간 것은 아닌데 바닥에 인조잔디 깔고 집에 있는 텐트 설치하고 나뭇가지에 전구 꽃 달아주면 끝. 이렇게 세팅해놓으면 그 어떤 사진도 모두 예쁘게 나올 것 같아요. 예쁜 윰차도 인테리어 효과가 제대로에요. 저는 아이들이 어릴때 집에 윰차 한대를 두고 아이 재우는 용도로 사용했었는데 이럴 경우 인테리어는 살짝 포기해야 했어요. 만약 그때에도 이게 있었으면 전 당장 이걸로 구매했을거에요. 우리집 인테리어는 소중하고], 긍정 텍스트 확률 : 96.06%"
"[컨셉이 여러개의 세트로 되어있어서 클럽분위기], 긍정 텍스트 확률 : 74.35%"
"[새하얀 배경 등등 여러개의 세트장이 있는데 여긴 복고풍 다방 컨셉이에요. 여기에도 잘 어울리네요 ㅎㅎㅎㅎ 이번에는 살짝 세워서 맞은편 의자에 앉은 엄마와 데이트 하는 컨셉이에요. 이렇게 세워놓으니 타이어가 더 도드라지네요. 오늘 진짜 바위나 자갈 같은거 바닥에 깔아서 멋낸 길을 참 많이 다녔는데 바퀴가 일어난 부분이 하나도 없어요. 내구성 진짜 끝내주네요. 타이어가 유모차 주행안정성의 핵심인지라 그 내구성을 중요하게 생각하는데 이 아이는 합격입니다. 제가 자동차를 좋아해서 윰차 역시 타이어], 긍정 텍스트 확률 : 99.93%"
"[프레임 이런거에 관심이 많거든요. 얘는 전부 최고점 획득이에요. 뭐 하나 아쉬운게 없어요. 만약 제 아이가 생후 삼개월 이전이라면 요람이 아니라 아쉬웠을수도 있을거 같아요. 그렇지만 그 이후라면 이만한 제품이 또 있을까 싶네요. 제가 앞전에 미리 이야기 했지만], 긍정 텍스트 확률 : 71.28%"
"[휴대용 충전기 대용량 두개 등등 무거운것들 천지라 어깨가 빠질 지경이었는데 덕분에 제 어깨와 허리 모두를 지켜냈어요. ], 긍정 텍스트 확률 : 80.34%"
"[예뻐서], 긍정 텍스트 확률 : 88.10%"
"[핸들링이 좋아서], 긍정 텍스트 확률 : 71.84%"
"[시트각 조절 및 양대면이 자유로워서], 긍정 텍스트 확률 : 51.21%"
"[작게 접혀서 등등 좋은 이유를 나열하라고 하면 끝도 없는 절충형유모차 그린탐 덕분에 오늘 우리의 나들이도 즐겁고 행복했어요. 엄마가 지치면 나들이 두번가기 어렵고], 긍정 텍스트 확률 : 99.58%"
"[언제든 만나면 반갑다고 인사해주세요어떤 면을 유독 관심있게 보고 고르든 만족스러울 이 아이], 긍정 텍스트 확률 : 93.18%"
"[제 지난 글 보시면 아실거에요 ㅎㅎ 이건 정말 순수하게 제 지난 윰차역사를 돌이켜 보면서 많은 엄마들의 육아를 좀더 쉽게 해주자는 의미에서 좋은 제품 소개하는거랍니다그러니 태클 노 윰차구매처문의 노 기타 다른 문의들도 노노 받자 않아요저는 이걸 친구가 사용해서 보고 좋구나 했던건데요 다른 색도 직접 보고 싶어서 오프라인매장이 있는지 문의했더니 조만간 월에 김포에 있는 이거야샵 호점에서 볼 수 있다고 답변 받았어요얼마 안남았네요긴 글 읽어주셔서 감사해요. 편안한 밤 보내세요 이웃님들 오늘도], 긍정 텍스트 확률 : 99.98%"
"[제 회 코엑스 베이비페어마마스앤파파스 프로모션 소식 ..], 긍정 텍스트 확률 : 60.90%"
"[마마스앤파파스 서포터즈로 활동 하고 있는 허징입니다 요번주 목요일부터 시작하는 코엑스 베이비페어에 마마스앤파파스 역시 참여를 하는데요 핫한 소식들이 가득해 전해드리려고해요요번 코엑스베이비페어 마마스앤파파스 부스에서는], 긍정 텍스트 확률 : 52.75%"
"[미니바이크와 함께], 긍정 텍스트 확률 : 73.51%"
"[많은 분들이 기다리셨던 프리미엄 디럭스 유모차오카로 ], 긍정 텍스트 확률 : 75.73%"
"[월 출시를 앞둔 환경을 생각하는 네덜란드 유모차그린탐등등 앞전에 만나보지 못했던 신상 유모차들을같이만나 볼수가 있답니다], 긍정 텍스트 확률 : 58.57%"
"[베이비페어 기간에 베이비페어 동일조건으로 어디서나 구매 가능한 온라인], 긍정 텍스트 확률 : 56.37%"
"[터치페어는 위 설명과 같이 페어기간내에 페어 현장에 오시지 못하는 분들을 위해베이비페어 현장 프로모션 동일조건으로 어디서나 주문이 가능하게 만들어진 온라인], 긍정 텍스트 확률 : 74.44%"
"[모바일 플랫폼이에요페어가 열려도 페어 현장과 집이 멀어서], 긍정 텍스트 확률 : 50.67%"
"[사정이 생겨서 등등방문이 어려우신분들도현장과 똑같은 조건으로 직접 구매가 가능하다니 너무너무 신박하지않나요 ??? ㅎㅎ현장에 못 가 아쉬우셨던분들 이제 걱정 안하셔도 되겠어요터치페어는 베이비페어가 시작되는 월 일 오픈된다고합니다터치페어 오픈 기념으로 신규가입 시 ], 긍정 텍스트 확률 : 55.33%"
"[월 출시였다가 출시일이 미뤄지면서더욱 더 기대가커졌던 오카로를 요번 베페 현장에서 직접 만나 볼수가 있다고해요오카로 유모차에는 마마스앤파파스 유모차에서 그동안 볼 수 없었던새로운 원단이 적용된 컬러도 있다고하니 너무너무 기대가 되더라구요 어보가 디럭스급 절충형 유모차라면 오카로는 프리미엄급 디럭스유모차에요 완전 엄마 마음 저격 ㅠㅠㅠ 당장 둘째라도 낳아서 태워주고싶은 마음 가득 드네요페어 기간 일동안 미니몬 풋머프 ], 긍정 텍스트 확률 : 100.00%"
"[ 환경을 생각하는 네덜란드 유모차 브랜드 그린탐], 긍정 텍스트 확률 : 52.14%"
"[리사이클링으로 제품이 일부 제작된 심플한 디자인의 그린탐 유모차 기존 판매되던 모델이 아닌 양대면 가능한 버전으로 수입되었다고해요 유모차가 너무 귀엽게 생기지 않았나요 ?? ㅎㅎ특히나 리사이클링 제품으로 일부 만들어졌다니 환경까지 생각하는 멋진 유모차에요 실제로 보면 어떤 느낌일지 빨리 마마스앤파파스 부스 구경가고 싶네요다양한 컬러 라인업 및 악세서리기저귀가방], 긍정 텍스트 확률 : 99.90%"
"[풋머프등등까지 준비되어있다고하니기대 만발최신안전기준적용 도 회전 가능한 나도 카시트], 긍정 텍스트 확률 : 89.71%"
"[나도카시트 만대 판매기념으로 나도카시트 구입시엘리베이트 조리도구 종 사은품이증정된다고해요 나도카시트는 최신안전 기준 가 적용된 카시트에요 왼쪽 오른쪽 양쪽으로 도 회전이 가능해서 매력적인 카시트죠 ㅎㅎ카시트 구입 앞두신분들은 마마스앤파파스 부스에서자세히 설명들어보시고 사은품까지 놓치지마세요ㅎㅎ ], 긍정 텍스트 확률 : 98.57%"
"[얼마 전 홈쇼핑 전 컬러완판 기록을 세웠던 어보 아크로 디럭스급 핸들링을 자랑하는 기내반입 가능 휴대용 유모차에요어보아크로 구입시 미니몬 풋머프와 아크로 전용 보관 가방 같이 증정된다고해요 어쩜 유모차가 저 가방안에 쏙 들어가는지 ㄷㄷㄷ... 풋머프는 별도 발송 예정 스타일나는 미니바이크], 긍정 텍스트 확률 : 57.08%"
"[아직 우리 딸은 어려서 못 타지만 자전거를 탈 수 있을때쯤 바로 요바이크 준비해주고 싶더라구요미니쿠페가 바로 제 로망카라 ㅋㅋ.ㅋ.... 현실은 장롱 면허ㅋㅋㅋㅋㅋ 대리만족하고싶은 마음도 있고아이 자전거이지만 너무나도 세련된 디자인이 많아서 태워주고싶더라구요 ㅎㅎ 백일상], 긍정 텍스트 확률 : 99.68%"
"[외식 필수 아이템스너그버드 ], 긍정 텍스트 확률 : 50.77%"
"[말이 필요없죠 이미 많은 엄마들에게 사랑받고있는마마스앤 파파스 베스트 아이템 스너그와 버드 역시베이비페어현장에서 만나 볼 수가 있어요 요번 베페현장에서는 페어 특별가로 만나보실 수있다고합니다 ], 긍정 텍스트 확률 : 99.73%"
"[페어 기간내에 현장에 오시지 않아도 현장 프로모션 내용과 같은 조건으로 주문 구입이 가능한 ], 긍정 텍스트 확률 : 67.71%"
"[페어 현장에서 제품에 대한 자세한 설명이 듣고싶으신 분들은마마스앤 파파스 부스를 찾아주세요부스는 페어 현장내 휴게실 근처 에 위치해있답니다], 긍정 텍스트 확률 : 56.33%"
"[ 혹시 아직두 구하셔요? 정말 젛아영..ㅋㅋ], 긍정 텍스트 확률 : 73.76%"
"[왕코댁쪽지드릴게요], 긍정 텍스트 확률 : 66.13%"
