"[ .요렇게 생겼어요..개인적인 생각으로는 디자인이 이뿌지는 않아요..독일 감성ㅌㅋㅋ.. ], 긍정 텍스트 확률 : 68.03%"
"[임신을 하고 유모차 구입과 관련해서굉장히 많이 고민했다. 아무래도 유모차 특히 디럭스 유모차는 작은 값이 아니기 때문에 더 고민이 되었던거 같다... 마침 친구가 디럭스 유모차를 안 쓴다고 해서옳다구나 하고 빌려왔던 것이 스토케명품 유모차로 알려진 스토케였지만 우리 서원이하고는 잘 맞지 않았는가 보다 ㅠㅠ특히 우리 동네는 보도블록이 유독 울퉁불퉁이 심한데 스토케가 생각보다 충격 흡수가 잘 안되었는지 서원이가 좀 더 불편함을 느끼는것 같았다. 그래서 우리는 어쩔 수 없이 새로운 유모차를 구입하기로 했다. 베페에서 디럭스 유모차를 알아보는데 이렇게 유모차의 종류가 많은지 정말 깜놀이었다. 우리가 디럭스 유모차를 구입하기 위한 조건은 첫째도 둘째도 안전이었다. 특히 서원이에게 전해질 충격의 흡수가 잘 되는 제품이 우리의 구입 기준 순위였다. 킨텍스 베페에 정말 많은 유모차 브랜드가 있었는데 콩코드의 서스펜션 설명을 보고 들으니 다른 브랜드의 유모차는 눈에 들어오지가 않았다그렇게 콩코드 네오로 결정하고 구매를 한뒤 일 정도 후 드디어 콩코드 네오가 집에 도착했다얼른 조립해 보고 싶은 마음에 조립샷은 생략 ㅋㅋ 근데 여자가 조립하기에도 매우 쉬웠다뒷바퀴만 조립하면 되었기 때문에 ㅎㅎ], 긍정 텍스트 확률 : 100.00%"
"[최근엔 날씨가 선선해져서 방풍커버도 씌워보고 ㅎㅎ 스토케를 불편해하던 우리 서원이가 아주 편안해 한다 ], 긍정 텍스트 확률 : 83.96%"
"[유모차는 어쩜 서원이보다 아빠가 더 만족스러운 듯 ㅎㅎ 엄청 좋아한다ㅋㅋ 친구가 빌려준 스토케도 잘 타주었다면 돈도 아끼고 좋았겠지만 ㅋㅋ 그래도 서원이가 아주 편하게 잘타고 또 평일엔 나 대신 서원일 봐주시는 엄마가 아주 만족해 하시니 유모차 구입은 성공적이다 얼마 전에는 엄마가 유모차에 서원이를 태우고 외출했다가 아파트 옆 라인 애기 엄마를 만났는데 그 애기 엄마도 콩코드를 사고 싶었는데 못사서 아쉽다고 하니 더욱 뿌듯한 기분이 ㅎㅎ 나는 너무 만족스러워서 강추♥♥♥ ], 긍정 텍스트 확률 : 99.91%"
"[안냐세요. 빼꼼입니다.살 첫째 우블리와 개월 둘째 를 키우는 자칭 콩코드 매니아 아이가 둘이다보니 유모차와 카시트 각 대씩 총 대를 보유하고 있는데요.그 중대부분은 콩코드제품이랍니다. ], 긍정 텍스트 확률 : 96.73%"
"[년생의 우블리.콩코드네오 유모차를 처음 알게 된 후], 긍정 텍스트 확률 : 89.55%"
"[제품의 기술력과 디자인에 반해 울티맥스 카시트를 구입했지요. ], 긍정 텍스트 확률 : 75.59%"
"[년 신형 리베르소까지 이용하고 있는 요즘이예요.몇번의 기회를 통해 업그레이드 된 리베르소를 소개해드렸죠. ], 긍정 텍스트 확률 : 70.36%"
"[위로 큰애가 있다보니], 긍정 텍스트 확률 : 66.09%"
"[신생아때부터 외출할일이 많은 우리 둘째.아이의 성장발달에 따라], 긍정 텍스트 확률 : 77.18%"
"[합리적인 제품이랍니다. ], 긍정 텍스트 확률 : 58.42%"
"[전문가로부터 제품에 대해 직접 설명 들을 수 있는 좋은 기회가 있어 공유합니다. ], 긍정 텍스트 확률 : 91.99%"
"[카시트보다 많은 혜택과 이벤트가 기다리고 있다고해요. ], 긍정 텍스트 확률 : 91.77%"
"[저희집과 같이 터울진 형제], 긍정 텍스트 확률 : 59.01%"
"[자매를 둔 집에서 필요한 이벤트예요.유아용과 주니어용을 함께 구입하면 놀라운 할인혜택이 주어진다고해요. ], 긍정 텍스트 확률 : 51.29%"
"[새로운 안전기준바로예요. 그걸반영한 리베르소. 우리집 두찌가 요즘 애용중인 제품이랍니다. ], 긍정 텍스트 확률 : 97.07%"
"[물론 유모차도 있구요.저희집 유모차는 년형 콩코드네오인데요. 이번 베이비페어에서는 년형을 새롭게 선보인다고하네요. ], 긍정 텍스트 확률 : 89.87%"
"[저기가 여기같고.부스배치도를 확인하니 까페 바로 앞이라 위치도 너무 좋네요 빨간색 네모박스가 바로 콩코드 부스라네요.], 긍정 텍스트 확률 : 91.15%"
"[저와 같이 어린 아이를 키워 외출이 어렵거나], 긍정 텍스트 확률 : 62.61%"
"[카시트 구입을 고민하고 있다면 이번 기회에 저렴히 구입해보세요], 긍정 텍스트 확률 : 75.95%"
"[이러다가 일 가까이 되어서야 구매를 했습니다.지역맘 카페에 절충형과 디럭스 어떤걸 추천하냐고 물어보니 신생아는 디럭스가 안전하다고 하여귀가 팔랑팔랑 ㅋㅋ디럭스로 알아보다가 서스펜션 서스펜션이 있어서 충격흡수에 좋다는 말에 결정한 콩코드 네오주문하고 이틀뒤에 총알 배송 되어 왔습니다.큰 박스 안에 또 다른 박스에 포장되어 안전하게 배송 되어 왔습니다.접고 펴기도 쉽고 손잡이], 긍정 텍스트 확률 : 89.17%"
"[아빠 점퍼와 깔맞춤 하고 외출하기 ㅋㅋ콩코드 네오 추천 합니다 ], 긍정 텍스트 확률 : 84.21%"
"[드디어 유모차를 구입했어요주변 매장이나 인터넷의 후기들을 수도 없이 읽어보며 고민하고 또 고민해서 최종 결정한 콩코드 네오 유모차입니다.다른 여타 유모차를 많이 만져보고 끌어봤지만 이만한 핸들링이나 안정성을 느끼게 해준 게 없었어요.사실 처음엔 다른 유모차를 보러 갔다가 콩코드 네오를 끌어보고 이거다 싶어 구매했답니다. ], 긍정 텍스트 확률 : 66.22%"
"[제가 가장 맘에 들었던 건 이 바퀴에요. 큼직하고 튼튼해 보여서 마음에 쏙 들었답니다.이제 아기와 함께 마음껏 다닐 수 있겠어요. ], 긍정 텍스트 확률 : 97.74%"
"[사용하고나니 더욱더 마음에 드는 것 ♥이렇게 완벽한 제품이 있다니 ㅠ.ㅠ이건 모든 육아맘들에게 보급해야하는게 아닌가 싶어요 ], 긍정 텍스트 확률 : 99.95%"
"[강미니와 함께 외출을 감행했습니다ㅎㅎ바람이 불지만 날이 너무 좋은 가을이니까요 완전히 접히고손잡이도 단으로 조절되기 때문에 더욱 깔끔하게접어 트렁크에 싣고 아기요람에 미니를 태워 안전벨트 꽈악], 긍정 텍스트 확률 : 86.73%"
"[각 안전벨트 사용하는 곳 마다 사용법이 나와있기 때문에 간편하게 띠를 고정시킬 수 있어요착용은 간편하지만 굉장히 튼튼하다는 것청초호 도착을 했습니다.오늘의 코스는 엑스포공원 ], 긍정 텍스트 확률 : 75.96%"
"[거기에 아래 수납공간과작은힘으로도 부드럽게 잘 움직이는콩코드만의시스템더블위시본과 프레임], 긍정 텍스트 확률 : 51.70%"
"[볼베어링 박자가 어울려진 시스템은큰 충격에도 안전하게 우리 아가를 지켜주도록바퀴 모두가 독립적으로 작용되는 충격흡수 장치로 ], 긍정 텍스트 확률 : 97.36%"
"[아기요람을 번갈아 낄 수 있어서완전 만능인 신생아 유모차 입니다 ♥딱 끼워넣었을 때 좌측사진처럼 ], 긍정 텍스트 확률 : 99.47%"
"[초록색이 되면 잘 끼워졌다는 신호에요 ], 긍정 텍스트 확률 : 68.15%"
"[오른쪽에 보시면 동그랗게 튀어나와 있는 부분을 돌려주면요람 안 시트 각도를 조절할 수 있어서아가들 수유할 때도 아주 편하게 사용할 수 있습니다 ], 긍정 텍스트 확률 : 52.53%"
"[세상 편안하게 누워있음ㅋㅋ유모차 주행하니까 웃고 신나셨습니다 ㅋ가을날씨는 아가들도 좋아하나봐 ♥ ], 긍정 텍스트 확률 : 99.73%"
"[요고.. 신생아 유모차 이렇게 간지 쩔어도 되는 건가용?ㅎㅎ ], 긍정 텍스트 확률 : 64.48%"
"[바람이 살짝쿵씩 부는 것 같아서 위에 덮어줬어요세상 따뜻하고 아늑해보임 ㅠ.ㅠ ㅋㅋ제가 저기 들어가 눕고 싶은 심정이네영 ㅋㅋ세상이 좋아질 수록 유아템들도 너무 좋아져..이런게 바로 장비빨이라는게 아닌가 싶어요 ㅠ.ㅠ ㅋㅋ 부럽다. ], 긍정 텍스트 확률 : 99.66%"
"[간지 철철 흐르는 요람에서 유모차로 바꿔보도록 할게요 ㅎ ], 긍정 텍스트 확률 : 60.15%"
"[아기요람 중간에 요걸 눌러주고 위로 들어주면 쑥 하고 잘 빠져서여성분 혼자서도 충분히 할 수 있어요], 긍정 텍스트 확률 : 96.83%"
"[신생아 유모차 고를 때 안전이 제일 중요한거 아시죠?그 중에서도 꼽는다면 브레이크콩코드 네오 윰차의 핸드 브레이크는 손가락으로 손쉽게 작동시킬 수 있는 원터치 핸드 브레이크로 갑작스러운 위험에서도 빠르게 아가를 보호할 수 있어요], 긍정 텍스트 확률 : 94.98%"
"[완전 빠르고 확실하고 튼튼하게 잡아주는 브레이크 덕분에 안심하고 할 수 있죠 ], 긍정 텍스트 확률 : 80.82%"
"[세상 편히 ㅋㅋ 구경 중이신 강미니씨. 손잡이핸들는 단으로 엄마 손목 편하게 해주고 시트는 단으로 누웠을 때], 긍정 텍스트 확률 : 76.12%"
"[편안함을 느낄 때], 긍정 텍스트 확률 : 68.15%"
"[주행 중 허리부담이 적은 각도로조절 가능해요 ♥ ], 긍정 텍스트 확률 : 99.78%"
"[누워서 주먹 잡수시는 중 ㅎㅎ 햇빛이 눈에 들어가지 않도록 차양막을 해줬어요 ], 긍정 텍스트 확률 : 81.51%"
"[통풍창이 추가되었고아웃도어인 ], 긍정 텍스트 확률 : 75.23%"
"[디스커버리 원단을 사용해생활방수까지 되니 ♥ 깨끗하게], 긍정 텍스트 확률 : 99.35%"
"[쾌적하게 사용할 수 있다는 것], 긍정 텍스트 확률 : 67.13%"
"[햇빛 완전 가려주시고안전바에 쏙 숨어있던 바람막이로 바람으로부터 발도 따따하게 지켜줘보아요 ], 긍정 텍스트 확률 : 63.08%"
"[디테일이 제대로 살아있는 신생아 유모차 콩코드 네오 왜 유명한지 알겠네요거기에 악세사리까지 더 하면 어떤 날씨에 다녀도 끄떡 없을 것 같음 ♥ ], 긍정 텍스트 확률 : 99.75%"
"[접을 때는 핸들 양쪽에 있는 저 부분을 당겨주시면 쉽게 접을 수 있습니다], 긍정 텍스트 확률 : 64.02%"
"[셀프스텐딩이 가능한 놈이라 더욱 더 쉽게 다룰 수 있어요짐 많은 트렁크에도 쑥 잘들어간다 바구니카시트도 매력이 넘쳐요 ], 긍정 텍스트 확률 : 98.91%"
"[타사와 다르게 설계되어 신생아부터 돌까지 사용할 수 있는 똑띠 ], 긍정 텍스트 확률 : 85.00%"
"[개월 된 도후니랑 식당도 갔습니다바구니카시트에 세상 편히 누워서 얌전히 엄마랑 이모 밥 먹는거 구경해주시는 효자 ♥활용도가 너무 많잖아 ♥ ], 긍정 텍스트 확률 : 100.00%"
"[신생아 유모차 네오 콩코드 덕분에 엄청 많은 사람이 편해지고아기도 편해지고 ♥ 육아는 장비빨 이라는 말 완전 실감하게 해줘요 지금 신생아 유모차 콩코드 에서 특별혜택가를 제공하고 있다는 것어마무시한 사은품들과 함께 명품 디럭스를 만나고 편하게 육아해보게용.거기에구매후 후기를 올린 뒤 이벤트 참여하면], 긍정 텍스트 확률 : 99.96%"
"[육퇴지원금 까지 ♥요고요고 놓치면 안되겠죠?...? ...? ], 긍정 텍스트 확률 : 99.22%"
"[너무 만족스러운 콩코드 네오로 더 편하게 더 쉬운 육아 시작해보ㅔ요 ♥ ], 긍정 텍스트 확률 : 99.72%"
"[지난주 코엑스 베이비페어에서 콩코드 네오 구입했어요 정말 여러 유모차 업체 고민했는데요..ㅜㅜ 유모차 때문에 베이비페어만 몇 번을 갔는지...ㅋㅋㅋㅋㅋㅋ 그러다가 우연히 들리게 된 콩코드 부스에서 네오를 끌어본 후에 바로 마음 결정 남편도 정말 맘에 들어했어요ㅎㅎ 디자인 서스펜션 다 맘에 들었고 제가 직접 끌어보니까 여자가 끌기에도손목 부담도 전혀 없었어요ㅎㅎ 펴고 접는 것도 매우 쉽고 구매한 후에 집에서 조립해봤는데 정말 마음에 듦ㅜㅜㅜ 강력추천합니다ㅎㅎ], 긍정 텍스트 확률 : 99.97%"
"[아기를 위해서 베페를 몇번이나 승현이를 데리고 갔는지 모르겠다..유모차를 위한건지 승현이를 위한건지도 모르겠어요.그래서 승현이가 태어난지 일 다 되어서 사게 되었어요.사람들이 아가가 잘타야한다면서 태워보고 사야한다고 했는데 사실 태워 볼수가 없었어요.베페에 가면 승현이가 항상자고 있는데 어떻게 태워 볼까요 ㅠㅠ절충형이나 태워 볼수 있을까 디럭스?? 아니 신생아가 유모차를 태워 보고 산다는건 조금 무리인듯하네요 ㅠㅠ ], 긍정 텍스트 확률 : 58.15%"
"[추가구성으로 콩코드 에어 .를 구매했어요신생아 카시트로 정말 유용하게 쓰는 제품이에요 어딜가도 정말 유모차보다 카시트가 마음에 들어요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 89.18%"
"[유모차로 진짜 많이 다니고 있는데. 이제 방한 커버나 온시트를 사던가 해야 할거 같아요 ㅋㅋㅋ보니 라이더하고 일본에서 유단포하나 구입해야하나?? 싶네요 ㅎㅎ전기로 하면 전자파 때문에 안될거 같고 ㅋㅋㅋ아직 오지도 않은 겨울 이야기 하고 있죠 ㅎㅎ 유단포 이야기나오니 캠핑도 가고 싶고. ㅋㅋ ], 긍정 텍스트 확률 : 66.64%"
"[카시트를 이렇게 유모차에 장착하면 아기가 일어날 걱정을 안해도 되요 ㅋㅋㅋ이거 진짜 짱인거 같아요 ㅎㅎ ], 긍정 텍스트 확률 : 93.70%"
"[카시트만 들고 나와도 좌식식당에서 진짜 유용하죠 콩코드가 다른 신생아 카시트보다 그램 가볍다는걸 강조해요 ㅋㅋ바운서도 잘안되고 그렇지만 고정안해도 움직이지 않는데 좋네요 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 98.58%"
"[자고 있으면 다시 유모차에 장착하기 그렇지만 유모차보다 아기가 편하지는 않다는거자세도 한 자세만 되니 이것도 또한 걱정인데. 편한걸 어떻게해요 ㅠㅠ ], 긍정 텍스트 확률 : 82.49%"
"[유모차끌고 왕따나무에 왔어요 ㅋㅋㅋㅋ다른 유모차도 있길래 왔는데.....힘드네요 ㅋㅋㅋㅋ디럭스급이라서 그런지 바퀴가 커서 괜찮다고 왔는데 그래도 힘든거는 ㅠㅠ ], 긍정 텍스트 확률 : 62.05%"
"[ 콩코드 유모차 최저가는 수원 영통 맘스맘 ], 긍정 텍스트 확률 : 50.30%"
"[안녕하세요 잇님들 저 아가 유모차보러 영통 맘스맘 다녀왔어요 ㅋㅋ 아기낳기전에 산 디럭스유모차가 마음에 안드는부분이 하나 둘 보여서바꿔줄까하고 다녀왔지요유모차 유목민이 되어서 요새 넘나 바쁘네요 ㅋㅋ ], 긍정 텍스트 확률 : 78.71%"
"[앞쪽을 보면 이렇게 웨건들도 있어요아기들이 여럿인 집엔 웨건이 필수던데저희는 둘째낳고나면 웨건보러 와야겠쥬?ㅋㅋ ], 긍정 텍스트 확률 : 52.19%"
"[영통 맘스맘은 규모가 커서 출산준비물을 한곳에서 준비할 수 있는 오프라인매장으로 유명한데요 아기 손수건이나 목욕타올], 긍정 텍스트 확률 : 62.50%"
"[아기베개 등이 한쪽에 잘 모여져 있어서 직접 비교하고 구입할 수 있어요 샘플용으로 하나씩 전시되어있어서 직접 만져보고 직원분의 설명을 듣고 살수있는 장점도 있구요 ], 긍정 텍스트 확률 : 93.26%"
"[속싸개까지 한자리에서 비교할 수 있답니다 저는 엘리펀트이어스 제품을 썼었는데 속싸개 싸는게 어려웠는데 지퍼타입으로 올려주면되서 요긴하게 잘 썼어요 ㅋㅋ 영통 맘스맘에는 유명한 스와들제품부터 에르고], 긍정 텍스트 확률 : 53.72%"
"[엘리펀트이어스 까지 한곳에 있어서 비교하기 좋겠더라구요], 긍정 텍스트 확률 : 65.46%"
"[아기 침구랑 아기옷들도 준비되어있어요오랜만에 배냇저고리보니 넘나 귀엽더라구요 ㅋㅋ ], 긍정 텍스트 확률 : 99.62%"
"[아기 원목 장난감도 엄청 저렴하게 팔고있떠라구요 ㅋㅋㅋ우리아가 곧 요거 갖고 놀수 있을것같아서 다음번에 갔을때는 요거 구입해오려구요 ㅋㅋ ], 긍정 텍스트 확률 : 96.07%"
"[오늘은 바로 요거 콩코드 유모차 제가 임신했을때 사고싶었던 유모차라 더 반가웠어요 맘스맘 수원점에 형 제품이 들어와서 특가판매 하고있더라구요 ㅋㅋ 다시 보니 더 좋은것같은 콩코드 유모차 자세히 보여드릴게요], 긍정 텍스트 확률 : 52.95%"
"[키작은 엄마 모두 편하게 유모차를 밀수있어요], 긍정 텍스트 확률 : 74.04%"
"[륜 유모차의 핸들링과 륜 유모차의 안정성을 모두 담은 콩코드 유모차만의 서스펜션콩코드 유모차에 장착된 더블 위시본 서스펜션으로 바퀴 모두 독립적으로 작용하는충격흡수로 지면으로 부터 오는 충격], 긍정 텍스트 확률 : 63.55%"
"[차양막은 이렇게 망사형으로 할 수 있어서 요즘 같은 여름철에는 망사형으로 해줘서 통풍이 되게 할수 있어서 좋더라구요 임신했을때 봤을때 차양막이 조금 아쉬웠는데 년 형은 차양막이 길어져하나뿐인 아쉬운점도 없어졌어요 진짜 콩코드 유모차 점점 좋아지네요 ㅋㅋ], 긍정 텍스트 확률 : 69.79%"
"[안전벨트도 탄탄오른쪽 사진에 보면 단계까지 조절가능한 시트인거 확인할 수 있죠시트 조절도 간편하고 폴딩도 완전 쉬운데다 작게 접혀서 가스차에도 실을수 있다더라구요디럭스인데 이렇게 간편한 폴딩은 찾기힘든데 콩코드 유모차는 좋은점을 다 갖추고 있는것 같아요], 긍정 텍스트 확률 : 75.07%"
"[뒷모습도 찍어봤어요 ㅋㅋ이렇게봐도 넘나 예쁘네요 ㅋㅋ 장바구니도 넓직해서 유모차끌고 나가서 장봐올때나 엄마짐을 넣어두기 충분하더라구요], 긍정 텍스트 확률 : 53.76%"
"[수원맘스맘에서 콩코드 유모차를 사면파라솔], 긍정 텍스트 확률 : 71.15%"
"[유모차를 새로 샀으니 어디든 빨리 가자 해서 가까운 과천 장미축제를 다녀왔습니다. ], 긍정 텍스트 확률 : 70.30%"
"[새 유모차 타고 좋아하는 우리 집 공주ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 89.94%"
"[과천 서울대공원 주차장입니다ㅎㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 84.74%"
"[ 우람한 뒷모습이네요 ], 긍정 텍스트 확률 : 60.65%"
"[남편 반대에브라운으로 타협할 수밖에 없었던... 하지만 받아보니 마음에 쏙 듭니다브라운 짱 이뿜 브라운이라 쓰지만 카키색에 더 가까워요 ], 긍정 텍스트 확률 : 78.76%"
"[요로코롬컵 홀더도 있어요이거 정말 편합니다 신세계 ], 긍정 텍스트 확률 : 62.47%"
"[콩코드 유모차의 장점서스펜션 덕분에 울퉁불퉁한 길에서도 충격이 덜해서 뇌 흔들림을 방지하고 아기에게 피로감을 덜 준다고 합니다.부드럽고 안정적이 핸들링이 참 좋네요 ], 긍정 텍스트 확률 : 50.06%"
"[자갈길도 엄청 잘 굴러 갑니다.예전에 꼬진 유모차 끌다가 바꿔서 인지ㅋㅋㅋㅋㅋㅋㅋ자갈길 굴리는데.. 너무 놀라웠어요. ], 긍정 텍스트 확률 : 98.43%"
"[핸드 브레이커손가락으로 빠르게 작동시킬 수 있어 좋은 것 같아요 ], 긍정 텍스트 확률 : 78.91%"
"[마지막으로 콩코드 유모차 액세서리인 양산입니다.후기 작성하면 양산 준다길래이 전에 개봉 후기 쓰고 얻은 양산입니다생각보다 아주 작습니다.사진 찍힌 것보다 더 작게 보시면 됩니다. ], 긍정 텍스트 확률 : 98.95%"
"[ 콩코드 네오의 단점이라면 ], 긍정 텍스트 확률 : 59.18%"
"[대가 없이 스스로 작성한 후기입니다.], 긍정 텍스트 확률 : 62.56%"
"[ 우리 아이 첫 유모차 콩코드 유모차 ], 긍정 텍스트 확률 : 74.20%"
"[ 저 네오년형써요 ㅋ 바구니 카싯이랑 정말 잘 써요 ㅋㅋ 일 좀 넘은 아가인데 바구니 카싯트 강추에오], 긍정 텍스트 확률 : 99.81%"
"[카시트사러갔다가ㄲㅋㅋㅋ콩코드 트래블 ? 그거보고ㅋㅋ바구니카시트 넘이쁘더라구요 그거 쓰다가 나중에 카시트 갈아타면 되는거고. 답변감사합니다], 긍정 텍스트 확률 : 97.06%"
"[러블리밈바구니카싯트 정말 강추에요 ㅋㅋ 식당가서 유모차 옆에 둘 수 없는 곳 가면], 긍정 텍스트 확률 : 99.53%"
"[유모차는 접어서 카운터에 두고 바구니만 의자에 올려두면 되거든요 ㅋ 그렇게 외식 종종 합니다 대신 엘베있는 곳은 필수네요 무거워용], 긍정 텍스트 확률 : 60.86%"
"[우리 아기의 첫유모차에요 천으로 만든 손잡이가 헤질때까지 끌고 다녔어요. 생후 개월에서 개월 까지 갖고 다녔어요. 핸들링], 긍정 텍스트 확률 : 68.46%"
"[폴딩 좋아요. 디자인도 예쁘고요둘째 갖는다면 또 사서 끌고 싶어요.], 긍정 텍스트 확률 : 96.99%"
"[콩코드는 왜 리스트에 오르지 않는걸까요..디자인도 내구성도 좋은것 같은데..ㅎㅎㅎ 첫 유모차로 손색없겠네요 감사합니다], 긍정 텍스트 확률 : 66.86%"
"[차로 이동할 때도 편하신거죠? 요샌 다 연동되니까 걱정안해도 될것 같네요감사합니다], 긍정 텍스트 확률 : 84.32%"
"[네오 년형인데 바구니카시트 세트로 사서 엄청 잘 썼어요ㅋㅋ 두돌까지 알차게 썼네요. 지금 다른 유모차 절충형도 있는데.. 유모차 타자하면.. 콩코드꺼에 타요...], 긍정 텍스트 확률 : 93.18%"
"[저두써요년형이요 젤잘샀다하는게 콩코드에요.근데주변에마니안써서 신기해요ㅋㅋ 사세요 빨기도좋고 이쁘고 뭐 다편해요], 긍정 텍스트 확률 : 99.83%"
"[ 저도 네오 사용중이에요 핸들링 진짜 짱입니다 ㅋㅋ핸드브레이크가 일단 넘 편하고 좋아요], 긍정 텍스트 확률 : 99.92%"
"[네 맞아요 ㅎ 시트들고 반대로 돌려서 끼면돼요], 긍정 텍스트 확률 : 60.75%"
"[ 와 역시 디럭스 튼튼해보이네요], 긍정 텍스트 확률 : 68.98%"
"[ 이거는 안전벨트 안해도 되는 유모차에요? 년에 아기를 낳았는데 육아용품은 날이 갈수록 신세계네요], 긍정 텍스트 확률 : 58.50%"
"[콩코드꺼 튼튼하구 안정감있어서 좋아요ㅎㅎ], 긍정 텍스트 확률 : 95.46%"
"[ 양대면도 넘 편하게되구앞보기에서 바로 폴딩할수있는게 넘 편해요..ㅎㅎ 폴딩도 원터치라 뚝딱], 긍정 텍스트 확률 : 94.99%"
"[넹 디럭스치고 넘편해요 장점이많은유모차네요ㅎㅅ], 긍정 텍스트 확률 : 68.08%"
"[넹넹 포장잘되잇는길이라도 도로턱같은데 넘을때 부드럽게 잘넘어가네요ㅋ], 긍정 텍스트 확률 : 90.83%"
"[바퀴 엄청튼튼해요ㅋㅋ 그래서 삿죠ㅋㅋ], 긍정 텍스트 확률 : 86.63%"
"[콩코드꺼 튼튼하고 좋은거같아용 폴딩도 넘나 쉽구요 ㅎㅎ], 긍정 텍스트 확률 : 97.02%"
"[폴딩이짱이죠ㅎㅎ], 긍정 텍스트 확률 : 98.36%"
"[ 년형은 차양막 길어진거 너무좋아요ㅎㅎ기능적인면은 원래 좋앗던거 같고.... ㅎ], 긍정 텍스트 확률 : 99.67%"
"[진짜 콩코드 네오 유모차 좋지용 사실 넘나 좋은 유모차가 많아서 진짜 고민고민 되시는 분들 많으실것 같아요], 긍정 텍스트 확률 : 99.32%"
"[유모차 가격 알 수 있을까요? 쪽지부탁드려요], 긍정 텍스트 확률 : 62.45%"
"[고민중인데], 긍정 텍스트 확률 : 77.68%"
"[ 콩코드 쓰고있는데 애기도 편해하고 좋아하네요 유모차에서 타다 편한지 잘자요], 긍정 텍스트 확률 : 65.08%"
"[돌지나서까지 잘 써질까요??아무래도 무게가 있다보니 고민되네요ㅜㅜ], 긍정 텍스트 확률 : 95.90%"
"[부산 땡땡맘아이성향마다 다른거같애요 어릴때 잘타고 돌쯤에는 안타려고해서 안타다 오히려 개월쯤부터는 또 잘타네요 잘쓰고있어요 짐 .킬로인데 문제없이타네요 좀있다 휴대용도 하나 사려구요], 긍정 텍스트 확률 : 99.79%"
"[수호네애기만 잘타준다면 오래 쓸 수 있겠네요답변감사해용ㅎㅎ], 긍정 텍스트 확률 : 70.17%"
"[양대면되는 걸 찾다보니ㅜㅜ혹시 추천할만한 제품 있을까요??], 긍정 텍스트 확률 : 89.28%"
"[부산 땡땡맘절충되는 양대면은 잘 모르겠어요ㅋ죄송ㅠㅠ엄마들 사이에 요요도 인기 많아요], 긍정 텍스트 확률 : 78.70%"
"[유모차시트로 된거 샀는데...만족중입니다근데 개월이면 절충형사세용], 긍정 텍스트 확률 : 52.43%"
"[콩코드도 좋은데 개월이면 절충형 추천해요전 뉴나페프 절충형 박람회에서 샀는데 핸들링 좋고 폴딩도 수월해서 추천해요], 긍정 텍스트 확률 : 96.32%"
"[ 핸드브레이크 진짜 신박한거같아용ㅎㅎㅎ괜히한번씩해보구ㅋㅋ 핸들링도 부드러워서 좋아용], 긍정 텍스트 확률 : 96.57%"
"[연년생이라 쌍둥이 유모차], 긍정 텍스트 확률 : 50.47%"
"[휴대용 다 써봤었는데요...아이 성장에 맞춰서 유모차도 때마다 바꿔주는게 맞는 것 같아요. 지나고 보니 유모차 하나로 쭉 가긴 어려울 것 같다는 확신이...ㅎㅎ핸들링은 지금 막내 쓰고 있는 부가부가 젤 좋은 것 같아요. 그리고 콩코드도 핸들링 아주 좋았어요], 긍정 텍스트 확률 : 52.77%"
"[뜨헉... 저는 마트 하나 가려고해도 차를 타야만 했던지라. 콩코드가 무거워서 큰 매력을 못느꼈는데 핸들링이 좋은가봐요역시 유모차는 개인 호불호가 쉽게 갈리나봐요유모차 하나로 쭉 가긴 어려울거같다는 의견에 프로 동의합니다ㅋㅋ저도 벌써 대째에요ㅋㅋㅋ], 긍정 텍스트 확률 : 93.25%"
"[한국백화점에서는 콩코드를 독일 명품유모차라고 하던데 저는 한번도못봤어요ㅎㅎㅎ 한국백화젬에서 콩코드 밀어봤는데.. 무겁고 차에 싣고 내리기 불편해보이던데요 여기서 사실거면 매장가서 제일 아가가 편하게 느끼는 걸로 사시는게 나을거 같아요], 긍정 텍스트 확률 : 94.84%"
"[저두 독일에서는 많이 못보고 베이비페어에서 본 거 같아요 ㅋ 아이가 어리고 집앞 공원 위주로 사용할 거라 디럭스로 보고 있는데 무겁다는 단점은 디럭스인 이상 어쩔수 없는 거 같아요님 말씀대로 아가가 편하게 느낄 수 있는 걸로 골라야겠어요 ], 긍정 텍스트 확률 : 63.46%"
"[ 아 검색해봤어요. 이 유모차 쓰는 사람 종종 봤어요 아주 클래식하고 예쁘긴 한데 기능성면에서는 어떨지 궁금했는데 기능성 역시 좋군요 ㅎㅎ 참고해서 알아보도록 할게요 감사합니다], 긍정 텍스트 확률 : 99.84%"
"[쪽지보낼게용ㅎ], 긍정 텍스트 확률 : 93.95%"
"[ 저도 콩코드네오 관심있어서요 가격 좀 여쭤봐도 될까요?], 긍정 텍스트 확률 : 69.15%"
"[쪽지 보내드릴게요], 긍정 텍스트 확률 : 86.49%"
"[자로 되잇는게 개바퀴 개바퀴 단점을 다 보완한거라구 하더라구요.. 그래서 안정감도 좋고 핸들링도 부드러운거 같아요], 긍정 텍스트 확률 : 50.90%"
