"[ 접고 펴기 매우 쉬운 구조], 긍정 텍스트 확률 : 63.96%"
"[ .?신생아유모차신생아유모차 추천해요울애기 이제 개월에 접어 들었어요밖에 나가는거 너무 좋아하는 아가라 사실은 엄마가 더 좋아하지만ㅋㅋ한 일쯤부터 외출하기 시작했던거 같은데], 긍정 텍스트 확률 : 68.29%"
"[이제는 정말 매일매일 외출이에요새로운거 보여줄 때], 긍정 텍스트 확률 : 96.31%"
"[특히 조명 많은 곳 가면 눈 땡그래져서 이리저리 보는 모습보면 넘나 사랑스러운거], 긍정 텍스트 확률 : 99.82%"
"[오래써야되니까 절충형 살까도 했지만그건 이도저도 아닐꺼 같아서 신생아부터 사용할거 생각해서 안전하게 디럭스유모차로 결정그래도 정보가 너무 많다보니까 또 한참 고민], 긍정 텍스트 확률 : 73.21%"
"[핸드폰도 봐야될 때도 있구우리 커피도 한손으론 마셔야되자나여트라이앵글 무슨 구조라던데 암튼 안정감 최고라서 힘 안주고 쑥쑥 커브 돌려요한손 핸들링은 사랑입니당ㅋㅋ], 긍정 텍스트 확률 : 99.71%"
"[ 사실 드럭스 유모차 사면서 젤 고민된게], 긍정 텍스트 확률 : 92.87%"
"[혼자 외출할 때 트렁크에 실을 수 있느냐 였거든요], 긍정 텍스트 확률 : 82.73%"
"[ 이지워커 하비는 디럭스 유모차중에서는 가벼운 편이기도 하고], 긍정 텍스트 확률 : 92.65%"
"[앞보기], 긍정 텍스트 확률 : 61.06%"
"[ 시트 분리해서 시트랑 유모차 바퀴랑 따로 하면 혼자 충분히 가능합니당ㅋㅋ엄마들 손목도 아픈데 유모차 번쩍 들어서 싣는거 진짜 힘들어여ㅠㅠ 물론 신랑은 시트 분리 없이 폴딩해서 한번에 번쩍ㅋㅋㅋ이상 디럭스 유모차.?이지워커하비이지워커하비 실구입 후기였습니당 ], 긍정 텍스트 확률 : 60.42%"
"[.?육아육아.?육아템육아템.?육아템추천육아템추천], 긍정 텍스트 확률 : 87.93%"
"[ 마나님께서도 핸들링과 유모차 무게감이 절충형에 가깝도록 가볍고 좋다고 하셨습니다.여기서 장점만 얘기하면 진실 된 포스팅이 아니겠죠?단점 스탠딩 보관이 안되고 마주 보기에서 폴딩 할 경우 부피가 커짐외엔 딱히 단점이 없습니다.그래서 저희는 보관을 하단 프레임은 집 앞에 세워두고 상단 시트는 분리하여 집 안에 보관해요차에 넣을 경우 하단 프레임은 폴딩하고 상단 시트는 프레임 위에 얹는 방식으로 넣습니다.이제 제품 사진과 조립 방법을 보겠습니다.전 조립하기 전에 전동 드라이버], 긍정 텍스트 확률 : 75.46%"
"[ 모든 도구를 준비했지만 전혀 쓸모없었습니다.조립이 간단하여 쉽게 빠르게 조립했네요저희 아드님께서 유모차를 타면 울거나 보채거나 하는 거 없이 잘 누워 있답니다잠도 잘 자고..ㅎㅎㅎ암튼 해당 제품 구매하고 마나님이 후기 작성하시고 사은품으로 미니버기도 받았습니다합리적인 가격으로 디럭스 유모차 중 가성비 최고네요물론 합리적인 가격에서 미니버기 가격을 빼니까 더욱더 행복하답니다.미니 버기 후기는 아드님께서 타실 때 다시 올리도록 하겠습니다.디럭스급 유모차를 찾고있다면 추천드립니다.후기 읽어 주셔서 감사합니다.ㅎ ], 긍정 텍스트 확률 : 100.00%"
"[여기 저기 유모차 매장에 돌아다니다 보니 아래와 같은 유모차의 차이점에 대하여 알게 되었습니다], 긍정 텍스트 확률 : 94.91%"
"[ 저와 와이프는 엑스포에 있는 거의 모든 유모차 매장을 다 가본것 같은데요..고민 끝에.. 이지워커 하비를 구매하기로 결정했습니다그 이유는 가장 먼저..착한 가격가성비이었습니다. 그리고 적당히 가벼운 무게와 부드러운 핸들링실제 배달되고 나니 저와 와이프의 선택이 옳았다는 것너무나 쉽게 핸들링이 되었고], 긍정 텍스트 확률 : 98.86%"
"[일반적인 소형차에도 큰 어려움 없이 트렁크에 들어갈 수 있기는 합니다.착한 가격과 안정적인 승차감 우리 똘똘이를 위해 이지워커 하비가 큰 몫을 해줄 것이라 믿습니다], 긍정 텍스트 확률 : 91.00%"
"[우리 가을이의 첫 유모차 엄마아빠가 임신기간때부터 고민고민해왔던 바로 이지워커 하비 유모차에요 곧 날씨가 선선해지는 가을이 올테니가을이와 함께 신나는 외출을 하려고 일찍부터 유모차를 구입했어요이지워커 하비 유모차에 누워서 꿀잠중인 우리 가을이 가성비 좋은 디럭스 유모차 이지워커 하비 직접 구입해서 한달간 사용해본 실제 후기 줄줄이 써내려가볼게용♥ ], 긍정 텍스트 확률 : 100.00%"
"[안전바이렇게 되어있어요 설명서에는 완전 분해되어있는 사진이지만 어느정도 조립이 되어서 와서 위치에 맞게 끼우기만하면 됩니당 ㅎㅎ ], 긍정 텍스트 확률 : 98.43%"
"[ 디럭스 유모차 이지워커 하비 한달 사용 후기 직접 구매한 후기인증입니다앞서 말했듯이잉글레시나 트릴로지와 이지워커 하비와 고민한 이유트릴로지는 디럭스급 절충형이구요 하비는 디럭스 유모차에요첫번째는 디자인], 긍정 텍스트 확률 : 66.70%"
"[ 왼쪽 사진은 폴딩을 하기위해서 필요한 손잡이와 버튼이에요 한손으로도 편하게 폴딩을 할 수 있다는 장점 다시 유모차를 펼 때에도 아기를 한손에 안거나 짐을 들고도 한손으로 충분히 가능하더라구요 오른쪽 사진은 브레이크 사진이에요 모든 유모차에 있지만 편리하게 오른쪽 발 바로 앞에 위치해있어서안전하게 유모차를 잡아주는것같아요 ], 긍정 텍스트 확률 : 99.82%"
"[ 아래 사진은 별도로 추가 구매가 가능한 어댑터에요 제가 하비를 구매한 가장 큰 이유가 바로 이것 저는 키가남편은키가 큰 우리부부에게는 유모차에 아기를 앉히고 내리고 케어하기가 허리를 많이 굽혀야해서 힘들더라구요 하비는 그런 걱정 댓츠노노 어댑터로 시트높이를 올려주니 편하게 아기케어를 할 수 있어서 너무 좋아요], 긍정 텍스트 확률 : 75.65%"
"[ 하비 유모차를 한달동안 사용해본제가 생각한 조금 아쉬운 단점 한가지바로 짧은 차양막이에요 실내에서는 몰랐는데 실외로 나가보니 햇빛에 가을이가 눈이 부셔하더라구요 이건 유모차 집게를 사서 햇빛을 차단해주면 되니 그리 큰 단점은 아니라고 생각해요 ㅎㅎ ], 긍정 텍스트 확률 : 98.87%"
"[ 우리 가을양 유모차 조립하고 바로 눕혀봤더니 편안한지 스르륵 잠이 들었어용 디럭스 유모차로 이지워커 하비는 가성비가 최고에요 보통의 디럭스 유모차들은 브랜드마다 틀리지만 저렴한건 만원 정도부터 비싼건 만원 정도까지도 있더라구요 너무 비싼건 안되겠다 ], 긍정 텍스트 확률 : 82.09%"
"[어차피 디럭스 그리 오래 타지 못할것이다 생각이되어서 가성비 좋은 디럭스 유모차 이지워커 하비로 결정했어요 현명한 선택이였어짝짝짝 ], 긍정 텍스트 확률 : 85.38%"
"[ 어딜가든 유모차에서 푹 자줘 가을아 엄마아빠 맛있는 밥도 먹고 쇼핑도 하고 그럴게 ? ㅎㅎ ], 긍정 텍스트 확률 : 70.08%"
"[ 한달동안 디럭스 유모차 이지워커 하비를 사용해보니 넘나 편한것 유모차는 사랑입니다대부분 디럭스 유모차를 망설이는 이유가 실제 사용기간이 짧다는 이유와 무겁다는 이유인데 신생아인 만큼 디럭스 유모차를 타서 흔들림을 최소화 시켜주는게 좋은것같아요 사용기간이 짧은건 사람마다 틀릴것이고 외출을 시작하는 계절에 따라 결정하면 될것같아요], 긍정 텍스트 확률 : 98.57%"
"[ 우리 가을이 하비 윰차타고 엄마아빠랑 자주자주 놀러다니쟈 ♥ ], 긍정 텍스트 확률 : 99.89%"
"[ 이지워커 하비 유모차 직접 구입하고 실제 사용해본 후기 였습니당], 긍정 텍스트 확률 : 70.96%"
"[ 제일 크게 바뀐 점이 통풍창인 것 같아요.하비은 지퍼 속 캐노피 양 옆에 있었다면하비는 사진처럼 제일 안쪽 단과 중간 단에 있습니다.중간 단은 덮개로 덮거나 열어서 쓸 수 있고 ], 긍정 텍스트 확률 : 66.58%"
"[ 마주보기로 했을 때의 모습이에요.단계 각도 조절이 가능해요.], 긍정 텍스트 확률 : 80.87%"
"[ 발받침풋레그레스트은 양 옆을 눌러 움직이면 각도조절이 가능해요.벨트는 점식이라 좋고장바구니가 특히 커서 좋아요.다만 덮개가 있었다면 좋았을텐데 싶기도 합니다ㅎㅎ장바구니 옆 레버는 브레이크예요.. 기본 악세사리 ], 긍정 텍스트 확률 : 67.73%"
"[ 하이어뎁터와 유모차라이너], 긍정 텍스트 확률 : 58.28%"
"[시력보호커버예요.하이어뎁터는 특히 하비의 장점인 것 같아요.높이가 높아 아기랑 눈높이를 맞출 수 있고쪽쪽이가 빠지거나 침 흘렸을 때 바로 허리를 숙여 해결할 수 있어요.시력보호커버는 요즘 날씨에 간단하게 바람막이도 되어 좋아요. 다만], 긍정 텍스트 확률 : 95.03%"
"[ 파일로 만들어봤는데한 손으로 끌어도 잘 움직이고 부드러워요.핸들링은 비싼 유모차와 견주어도 될 정도라제일 마음에 들었어요. . 폴딩 ], 긍정 텍스트 확률 : 95.91%"
"[ 폴딩한 모습이에요. 더 접히는데 급하게 찍는다고 장바구니에 물건을 넣은 상태로 찍었더니 조금 덜 접힌 것 같네요.😅앞보기를 한 상태로는 원터치 폴딩을 할 수있어서 편리해요.처음에는 방법을 몰라 버벅거렸는데 하다보니 간편하고 좋아요. . 아마도 출시될 악세사리? ], 긍정 텍스트 확률 : 63.37%"
"[ 그리고 하비과의 차이점으로하비는 악세사리가 몇 가지 더 출시되는 것 같아요.사용설명서에 양산], 긍정 텍스트 확률 : 85.04%"
"[신생아용 요람 등이 나오더라구요.출시되어봐야 알겠지만요ㅎㅎ마지막으로 ], 긍정 텍스트 확률 : 98.71%"
"[ 산책갔을 때의 모습이에요.제가 느낀 점으로정리하자면장점 편한 핸들링], 긍정 텍스트 확률 : 75.29%"
"[합리적인 가격], 긍정 텍스트 확률 : 68.11%"
"[ 캐노피는 확장할 수 있는데확장하고는 모양이 조금 울어요ㅠㅠ그래서 확장 안 하는 걸 추천합니다.대신 커버 자체에 햇빛가림천이 있어요.], 긍정 텍스트 확률 : 80.36%"
"[ 가림천 씌운 모습입니다.다음엔 방한커버 착용 후 추가로 올리도록 할게요.직접 구매하고 작성하는 후기입니다. ], 긍정 텍스트 확률 : 95.56%"
"[ .?이지워커이지워커.?이지워커찰리이지워커찰리.?찰리유모차찰리유모차.?핸들링좋은유모차핸들링좋은유모차핸들링하면 이지워커이지워커하면 핸들링이죠 하비], 긍정 텍스트 확률 : 84.48%"
"[ 미니버기로이미 증명된 이지워커의 핸들링제가 유모차를 구매한곳에서는한정된 공간에다양한 유모차를 구비하고 있다보니직접 밀어보기가 쉽지않은 공간이였죠.그래도 유모차는 핸들링이중요하다고 생각해서찰리를 꺼내들고 이리저리사람들 피해가며], 긍정 텍스트 확률 : 55.79%"
"[물건들 피해가며 밀어보았어요.왜], 긍정 텍스트 확률 : 52.49%"
"[ 근데 확실히 이지워커 제품은그 좁고 장애물이 많은 공간에서도 핸들링이 좋다는걸느낄 수 있었어요.이지워커의하비], 긍정 텍스트 확률 : 97.22%"
"[ 미니버기처럼찰리의 핸들링은정말 어느 유명하고 비싼 만원대디럭스 유모차보다 좋더라구요. ], 긍정 텍스트 확률 : 85.96%"
"[ 아가와 함께 외출 할때는 방풍커버를 씌워나가면 걱정없구요야외 울퉁불퉁한 보도블럭을지나갈때도잠들어있는 아가가 깨어나지 않을만큼의핸들링과 충격흡수 정도가놀라워요. ], 긍정 텍스트 확률 : 78.34%"
"[안녕하세요 깡지입니다.따뜻한 봄이 성큼 다가온 요즘], 긍정 텍스트 확률 : 98.34%"
"[호기심 많은 아들과 나들이 가는 일은 늘 즐겁고 행복하답니다.아가 외출할 때 필수로 챙겨야 하는 것 ], 긍정 텍스트 확률 : 90.87%"
"[ 바로 유모차인데요.한달 전에 이지워커사의 새로나온 절충형 유모차이지워커 찰리를 저희아들 유모차로 선택했는데유모차 하나로 외출의 질이 달라진다는 사실을 한달간 사용해보니정말 몸소 느낄수 있더라구요. ], 긍정 텍스트 확률 : 66.51%"
"[저희차량에 딱 들어갈 정도의 사이즈로폴딩이 되니 어디든 유모차 가져가기가 편해져서 너무 좋더라구요. ], 긍정 텍스트 확률 : 72.18%"
"[ 폴딩도 잘되는데 유모차 펴는것도 굉장히 쉬워요.ㅎㅎ저희 남편은 이 순간을 가장 짜릿해 하는데요.한손으로 쫙 간단하게 펴지기 때문에사용이 정말 간단한 이지워커 찰리에요. ], 긍정 텍스트 확률 : 99.88%"
"[ 이지워커 찰리를 선택할 때 기내반입이 되고 폴딩도 쉬워서 안전함이 떨어지면 어쩌나 걱정도했었는데요. 이지워커 찰리는 신생아를 태워도 좋을 만큼 안전한 유모차라는 사실을 사용하면서느꼈답니다이렇게 안전바가 있어서 아기를 한번 더 안전하게 지켜줄 수 있어요안전바 덕분에 아이가 더 안정감을 느끼는 부분도 있었어요 ], 긍정 텍스트 확률 : 74.90%"
"[ 점식 안전벨트로 한번더 짱짱하게 잡아줄 수 있기 때문에아가 안전? 걱정하지 않으셔도 될것 같아요.실제로 경사진 부분을 유모차로 주행할 때도아가 흔들리지 않게 벨트가 꽉 잡아주니이지워커 찰리라면 어디든지 가도 안전 걱정은 안했던 것 같네요 ], 긍정 텍스트 확률 : 55.49%"
"[ 아기 사이즈에 맞게 벨트 위치도 조절이 가능하니신생아때부터 아가 커갈때까지 오래 잘 사용할 수 있는이지워커 찰리에요. ], 긍정 텍스트 확률 : 95.78%"
"[ 이지워커 찰리는 전용 하이어댑터로높게 더 가깝게아이와 더욱 친밀한 교감을 할 수 있는데요.그래서 저도 허리를 숙이지 않고 아기 얼굴 볼 수 있고아가도 정서적으로 안정적으로 유모차를 타는 것 같아요. ], 긍정 텍스트 확률 : 84.52%"
"[ 요 하이어댑터는 장착을 한 상태에서도 폴딩이 가능하고요마주보기 상태에서도 장착할 수 있으니신생아때부터 사용했으면 제가 허리 숙일 일이 줄어들었겠다 라는 생각이 들더라구요.유모차에 아기를 태울때도 편함을 주는 하이어댑터에요. ], 긍정 텍스트 확률 : 70.99%"
"[ 간단하게 조절가능한 핸들바는 남편은 조금 짧게저는 길게 해서 사용하는 편이에요.내구성이 좋은 핸들바는 무려 단계로세심한 조절이 가능하답니다.저도 그날 기분에 따라? 짧게도 길게도 해서 사용하는 편이에요. ], 긍정 텍스트 확률 : 85.57%"
"[ 나들이를 가게되면 마주하게 되는 수많은 사람들.쇼핑을 하기 위해 들렀던 시내엔 역시나 많은 사람들이 있더라구요.이럴때 사이즈가 큰 유모차], 긍정 텍스트 확률 : 52.38%"
"[무거운 유모차는 사람들 피하기도 어렵고좁은 공간을 빠져나갈때도 불편함을 느끼기 마련인데요. ], 긍정 텍스트 확률 : 67.14%"
"[ 이지워커 찰리 덕분에 이런 사람들 많은 곳도 걱정없이 나들이 갈 수 있었답니다.찰리는 미는 힘이 균등하게 분산되는 자 프레임으로 부드럽게 밀리는 주행감과안정감을 모두 느낄 수 있어요. ], 긍정 텍스트 확률 : 67.28%"
"[ 이지워커 찰리를 사용하면서 확실히 손목에 무리도 덜하다는 느낌도받았는데요 충격을 흡수하는 서스펜션이 휠 모두탑재되어 있어서 지면으로부터 발생하는 미세한 흔들림도 잡고 손목 피로함도 덜어주기 때문이에요. ], 긍정 텍스트 확률 : 89.70%"
"[ 한손으로도 밀 수 있는 그런 이지워커 찰리이기 때문에외출가서도 힘 쓰지 않고 스무스한 핸들링으로 여기저기 쉽게 이동할 수 있었답니다. ], 긍정 텍스트 확률 : 78.34%"
"[ 덕분에 엄마아빠도 데이트하는 기분으로 외출을 할 수 있었어요.찰리는 캐노피 높이 조절도 되기 때문에저희 아가처럼 세상 구경하기 좋아하는 아이에게넓은 공간과 시야를 신생아에게는 최적의 수면환경을 만들어줄 수 있답니다. ], 긍정 텍스트 확률 : 79.68%"
"[ 엄마들이 유모차를 선택할 때 빼놓지 않고 보는 것이 바로 디자인인데요.요즘 육아템들도 예쁘지 않은거?아무리 성능이 좋아도 살짝 망설이게 되는데요.이지워커 찰리 가지고 다니면서 유모차 예쁘다 안정적여 보인다이런 얘기를 많이 들었던 것 같아요.네덜란드에서 온 유럽감성을 담아서 그런지고급스러움이 느껴지는 이지워커찰리에요. ], 긍정 텍스트 확률 : 88.59%"
"[ 육아하면서 짐... 정말 많아지잖아요?이럴 때 유모차가 필요한 이유], 긍정 텍스트 확률 : 86.45%"
"[유모차에서 잠을 잔적이 손에 꼽아요이지워커 찰리로 바꾼 이후에는 유모차에서 꿀잠을 자는 기적을 맛보고 있답니다.아가가 졸려하는것 같으면 도 침대형 시트를 조절해주구요. ], 긍정 텍스트 확률 : 70.90%"
"[ 아기 잠 잘 잘 수 있게 확장 가능한 차양막으로 아기 시선도가려주고 햇빛으로부터 연약한 아이의 피부를 자외선으로부터보호해주어요.밝은곳에서는 아이가 깊은 잠을 빠지기는 어려운데요.저희 아들 꿀잠 보장을 해주는 풀 캐노피 덕분에깊은 잠을 쿨쿨 잔답니다.덕분에 엄마아빠의 외출도 한결 수월해져요.일부러 안들어가고 몇바퀴 더 돕니다 ], 긍정 텍스트 확률 : 81.87%"
"[ 더운 여름에 아가 자면 더울까 엄청 걱정되는데요.찰리에는 개의 유아확인창이 있어서양대면으로 아기 편하게 확인할 수 있구요 ], 긍정 텍스트 확률 : 65.64%"
"[ 아가 커가면서 앞으로], 긍정 텍스트 확률 : 65.03%"
"[아이가 낯설어해서 유모차 거부가굉장히 심했었던 기억이 있어요.ㅠㅠ이지워커 찰리를 선택하면서 기내반입이 된다는 점이 정말 맘에 들었는데요.이제 제주도 가서도 아기 편하게 위생적으로 유모차 태워줄 수 있을 것 같고공항 안에서도 아기 안을 필요없이 유모차 태울 수 있으니제주도 가는 길도 한결 수월해질 것 같아요.이지워커 찰리를 사용하는 한달 동안외출할 때마다 다양한 디테일에 많이 감탄했던 것 같아요.특히 저희는 이전 유모차가 핸들링면에서도 휴대성에서도 떨어졌기 때문에이지워커 찰리의 핸들링], 긍정 텍스트 확률 : 72.61%"
"[그리고 기내반입되는 휴대성], 긍정 텍스트 확률 : 56.79%"
"[휴대용 살필요 없이이지워커 찰리 한대면 충분할 것 같다는 생각이 들어요.디럭스의 안전함과 휴대용의 컴팩트함을 실제로 사용하면서 더 잘 느낀 것 같네요.저희아들 살까지잘 사용할 이지워커 찰리.아가를 위한 유모차인 동시에 엄마], 긍정 텍스트 확률 : 95.41%"
"[ .환풍창이 있어서 공기가 잘 통해요 ], 긍정 텍스트 확률 : 55.90%"
"[ .정해진 단계로 조절되는게 아니라.아이에게 맞춰서 조절이 가능해서 좋은 것 같아요 ], 긍정 텍스트 확률 : 53.34%"
"[ .바스켓도 생각보다 넓어서 수납이 꽤 돼요 ], 긍정 텍스트 확률 : 92.49%"
"[ .요 사진이 실제 컬러랑 비슷해요. ], 긍정 텍스트 확률 : 81.50%"
"[ .바구니가 넓어서 맘에들구 ], 긍정 텍스트 확률 : 50.11%"
"[ . 높아지게하는 어댑터가 구성품으로 들어있어서 좋다.낮은 것보다 높은게 좋아서 계속 장착해 놓고 쓸듯 ㅎㅎㅎ], 긍정 텍스트 확률 : 92.26%"
"[ .얼른 하루가 적응해서 잘 타줬으면 좋겠다 ], 긍정 텍스트 확률 : 74.49%"
"[ .우래기 요즘 유모차타기 연습중....개월 사용후기..우래기 현재 일인데 일때쯤부터 윰차를 써보며 느낀건 핸들링과 장바구니 넓은게 너무너무너무너무너무 장점...일단 장바구니.유모차 끌면서 기저귀 가방까지 들면 무겁기 때문에 가방은 무조건 밑에 장바구니에 넣고], 긍정 텍스트 확률 : 96.96%"
"[시트를 나중에 실어야해서 시트를 꼭 누가 들고 있거나 바닥에 한번 내려놔야하는 불편함이 있음ㅠㅠ.. ], 긍정 텍스트 확률 : 93.70%"
"[다음달에 태어날 아가를 위해 가장 고민했던 부분 중 하나가 바로 유모차였어요.안정성과 편의성 모두 잡으면서 너무 가격대가 부담스럽지 않은 제품으로 찾아보다가 임신 중반때까지는 오랜기간 동안 인정받은 잉레시나 트로지가 폴딩도 엄마 혼자 가능한 절충형 유모차라 아이가 클 때까지 타기 좋다고 생각해서 마음으로 찜해두었습니다. 그러다 몇몇 유아용품 매장을 가보고 직접 여러 제품들을 폴딩해보고 핸들링을 경험하다하비의 이지워커라는 제품을 추천 받아서 알게 되었어요. 사실 브랜드가 낯설어서 처음에 바로 제품에 대한 신뢰를 하기는 어려웠는데 네덜란드에서 인정받는 브랜드라고 하더라구요겉모습부터 고급스러운 디럭스 유모차같은 외형에 절충형의 장점을 가진 부분이 매력적이었습니다. 특히 남편이 이 하비 이지워커 유모차의 부드러운 핸들링과], 긍정 텍스트 확률 : 94.62%"
"[ 하비는 절충형으로 오랫동안 사용할 수 있으면서], 긍정 텍스트 확률 : 64.18%"
"[안정적인 디럭스의 장점도 갖추고 있는 것 같았습니다. 그래서 어디서 구입하면 좋을까 고민하다], 긍정 텍스트 확률 : 54.37%"
"[ 이전에 설명 들었던대로], 긍정 텍스트 확률 : 54.83%"
"[그리고 동봉된 설명서 대로 사용하기 쉬웠습니다. 이제 한 달 남은 우리아가 만날 날이 더 기대되는 하비 이지워커 유모차 구입 후기였습니다], 긍정 텍스트 확률 : 99.53%"
"[.?하이베베청담점하이베베청담점.?하비유모차하비유모차.?이지워커하비이지워커하비.?디럭스유모차디럭스유모차.?유모차추천유모차추천.?하비경량디럭스유모차하비경량디럭스유모차 ], 긍정 텍스트 확률 : 80.83%"
"[.가능한 아이용품은 중고로도 구매했지만.유모차는 새걸로 사주고 싶었다..서울 가는 일정에 맞춰 코엑스베페가 있어.유명한 유모차 브랜드를 다 볼 수 있었는데.내 넘버원 스토 폴딩을 보고 손사레를 치며 나왔다...내가 하비를 선택한 첫번째 이유는.스토케만 비슷한 유모차 시트가 높아서.아이와 가깝게 있을 수 있어였다...인터넷 검색을 하면서 하비를 알게되었는데.가격도 좋고 디자인도 너무너무 깔끔하고.마음에 콩 찜하고 ..이한이 출산후 일쯤에.광주 용봉동 토이앤맘에서 구입했다..베페와 인터넷 최저가 보장을 했기때문에.맘에 드는 가격으로 구매 할 수 있었다...현재 개월 이용 중인데....유모차 참 맘에 들고 주변에서 다들 이쁘다고 ㅠ ...핸들링 굿.키로 이한이 들고 한손으로 충분히 몰수 있다....핸들 높이 조절 굿..신랑], 긍정 텍스트 확률 : 99.95%"
"[언니 모두 본인 둘 키에 맞춰 사용 가능하다...높은 유모차 시트 굿..시트가 높아서 허리도 안아프고.밖에 외출할때 아기 의자 겸용으로 이유식도 먹일 수 있다....넓은 장바구니 굿..최고최고 하비의 자랑 넓은 장바구니가 짱이다..유모차 시트가 높아서넒고 높게 이용할 수 있다.. 잉글레시나 사용하는 친구는 장바구니에 기저귀가방을 못 넣던데...난 아주 큰 기저귀가방을 두고 이것저것 다 넣을 수 있다 ..엄마들 사이에서는 유명한 브랜드는 아니지만 .충분히 선택할만한 가치가 있는 유모차다...아 단점을 하나 꼽자면...이건 우리집 상황에서... .집이 엘베없는 층이고 공동 현관에도 보관이 어려워 .차 트렁크에 보관하는데.승용차 트렁크에는 시트를 분리해서 넣어야 하는 점.그래서 트렁크에 유모차 이외엔 넣을 수가 없다는 것이다...내년에사면 이런 분리안해도 되겠지 ..아 폴딩도 여자가 손쉽게 할만큼 간단합니다....], 긍정 텍스트 확률 : 100.00%"
"[.사용한지 개월정도 지난 후기..유모차를 고민하다가 유모차는 직접 끌어보고 골라야한다기에 집근처 아기용품 매장에 가서 고른 유모차...나의 유모차 선택조건은 가볍게 끌려야하고.아기의 높이가 높았으면 좋겠다. 이 두가지였다...원래 생각해뒀던 유모차는 잉글레시나였는데 막상 직접 끌어보니 나는 좀 불편했다. .방향 전환이 맘처럼 안되는 느낌? 묵직한.. 좋게말하면 안정감있게 느껴지는?..사장님의 추천으로 이지워커를 끌어보고 바로 결정.이지워커 하비랑 찰리가 있었는데 나는 절충형유모차가 필요했기에 찰리로 선택했다...나중에 안 사실이지만 이지워커 유모차가 워낙 핸들링이 부드럽기로 유명하다고 한다..한손으로 방향전환 가능할정도로 부드럽다..ㅋㅋ..양대면도 가능하고 어댑터 연결하여 높이도 높일 수 있고.. .높이는 사실 더 높게 나오는 유모차가 많지만 부드러운 핸들링이 압도적이라 최종 선택.추가로 기내반입 가능한 것도 매우 만족 ], 긍정 텍스트 확률 : 95.97%"
"[여행 다니기 좋아하는 엄마], 긍정 텍스트 확률 : 82.40%"
"[아빠를 만나 다양한 곳을 여행 다녔어요.일본], 긍정 텍스트 확률 : 67.43%"
"[말레이시아 등등 정말 많이 다녔네요 ㅎㅎ아이랑 함께 여행다니면 꼭 필수로 챙겨야 하는게 바로 유모차작년 베트남 다낭 여행에 아이가 잘 걸어다니겠지 싶어 유모차를 챙기지 않았는데], 긍정 텍스트 확률 : 98.92%"
"[ 오늘은 제가 이번 기내반입 절충형 유모차로 선택한 이지워커 찰리 소개해드릴까해요 ], 긍정 텍스트 확률 : 83.95%"
"[그 중 찰리는 절충형 유모차랍니다.뭐든 사용하기 전 설명서는 필수로 읽어봐야겠져 ㅎㅎㅎ ], 긍정 텍스트 확률 : 86.61%"
"[알려드릴게 없더라구요 ㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 55.36%"
"[블루색상이 은은하니 고급스럽더라구요 ], 긍정 텍스트 확률 : 51.21%"
"[지금까지 사용해 본 유모차 중 핸들링이 진짜 좋다라는 느낌이 확 들더라구요.여러 나라를 여행 다녀 본 경험으로 동남아 쪽의 나라들은 대부분 길이 좋지 않아 핸들링 좋은 유모차를 가지고 가는게 좋더라구요.핸들링도 좋고 유모차 바퀴도 큼지막해서 낮은 턱은 쉽게 넘어 다닐 수 있으니 여행용 유모차로 딱이죠.기내 반입시 폴딩했을때 사이즈도 중요하지만], 긍정 텍스트 확률 : 64.26%"
"[ 여행 계획으로 기내반입 가능한 절충형 유모차 고민이라면 전 무조건 핸들링이 좋은 이지워커 찰리 추천해드리고 싶어요 ], 긍정 텍스트 확률 : 96.68%"
"[피곤한 여행시에도 아이가 편안하게 잠을 잘 수 있겠더라구요ㅎㅎ형유모차는 신생아때부터 사용이 가능하답니당], 긍정 텍스트 확률 : 62.44%"
"[ 또한 절충형 찰리 유모차시트를 기존 높이에서더 높여 사용 할 수 있는 악세사리가 있어요.아빠가 유모차를 사용할 경우 시트의 높이를높여서 아빠와 아이가 자연스러운 높이로 교감을 할 수 있게 만들어 주더라구요.평소 일하고 집에 오면 아이랑 눈 맞추고 놀아주는 시간이 적은데], 긍정 텍스트 확률 : 90.93%"
"[이렇게 외출해서 아이랑 눈맞춤 교감이 가능하니 아이 정서 발달에도 도움이 되겠져 ㅎㅎ남편도 직접 끌어보고는 집에 있는 디럭스 유모차보다 더 좋다며 이리저리 주행하더라구요시트 높이 조절 악세사리 장착하는 방법이나 장착전후의 모습은 다음 포스팅에서 알려드릴게용위 사진은교감 악세사리를 장착한 상태입니당], 긍정 텍스트 확률 : 70.10%"
"[여행시 기내 반입이 가능한 유모차를 찾다가 직접 사용해 본 이지워커 찰리 유모차는 지금까지 사용해 본 첫 느낌은 디자인 예쁨은 물론 핸들링 최고언박싱이라 제가 처음 사용해본 느낌 위주로 알려 드렸는데], 긍정 텍스트 확률 : 92.61%"
"[다음 포스팅에서 직접 사용해보고 찰리의 특징 하나하나 알려드릴게용], 긍정 텍스트 확률 : 79.99%"
"[ 제가 이번에 선택한 기내반입 절충형 유모차는 세피아몰에서 구매할 수 있어요.다들 잘 아시는 오르빗 유모차부터 브라이텍스 카시트까지 다양한 육아용품을 구매할 수 있답니다홈페이지에서 다양한 이벤트로 할인된 가격으로 구매할 수 있으니], 긍정 텍스트 확률 : 92.68%"
