"[ 편리성은 포기해야 되는 단점이 있어요절충형은 디럭스와 휴대용의 중간단계로 양쪽 장점을 반영했고휴대용은 무게가 가벼워 외출할 때나 보관이 용이한 반면], 긍정 텍스트 확률 : 54.69%"
"[잘 자서 너무 좋았어요ㅎㅎ뭐랄까], 긍정 텍스트 확률 : 98.86%"
"[아이를 재우기 위해서 집 주변을 몇 바퀴 되니까], 긍정 텍스트 확률 : 56.52%"
"[ 시트 안쪽도 굉장히 크고 넓찍해서 마음에 들었어요 그래서 아이도 불편하지 않게 사용할 수 있었는데], 긍정 텍스트 확률 : 87.67%"
"[안쪽이 넉넉하니까 다양하게 유모차를 꾸밀 수 있었어요ㅋㅋ담요라던가], 긍정 텍스트 확률 : 56.19%"
"[ 바퀴와 프레임에 있는 기능들 덕분에 더욱 울퉁불퉁한 길에서도 부드럽고 매끄럽게 주행할 수 있었어요 아이한테 흔들림도 안느껴지고], 긍정 텍스트 확률 : 91.96%"
"[안전성을 따진다면], 긍정 텍스트 확률 : 53.44%"
"[디럭스 유모차에 실용성을 더한 느낌입니당ㅋㅋ직접 핸들링을 해봤을 때에도 이정도의 핸들링이라면], 긍정 텍스트 확률 : 71.65%"
"[오래 사용할 수 있겠다는 생각이 들었었어요 유모차는 무게를 보는 것이 아니라], 긍정 텍스트 확률 : 63.02%"
"[가볍다 가볍지 않다는 딱히 중요하지 않다고 하더라구요. ], 긍정 텍스트 확률 : 87.46%"
"[ 폴딩도 정말 정말 간단해요 아이도 안전하게 태울 수 있지만], 긍정 텍스트 확률 : 86.54%"
"[기능면에서도 부모들을 많이 생각한 것 같았어요. 폴딩도 접는 방법도 쉽고], 긍정 텍스트 확률 : 73.31%"
"[그 자리에서 폴딩을 할 수 있기 때문에 어디 놀러가는데 있어서도 유모차를 잘 들고 다닐 수 있었어요 폴딩이 귀찮거나 어렵지도 않고 간단하고 접히니까 이런 점에서도 편리성이 굉장히 뛰어난 것 같아요. ], 긍정 텍스트 확률 : 97.85%"
"[잡는 사람의 키에 따라서 각도 조절이 가능하니까], 긍정 텍스트 확률 : 56.89%"
"[다른 사람들도 유모차를 끌어보기 좋았어요ㅎㅎ ], 긍정 텍스트 확률 : 92.18%"
"[ 여름에 너무 너무 잘 쓸 것 같은 요 기능 물론], 긍정 텍스트 확률 : 72.64%"
"[자외선이 짱짱한 요즘에도 많이 사용하고 있긴 하지만], 긍정 텍스트 확률 : 72.70%"
"[요 햇빛 차양막을 확장시킬 수 있어서 내 아이의 피부를 지킬 수 있었습니다심지어 다 막혀져 있는 것이 아니라], 긍정 텍스트 확률 : 77.17%"
"[사진처럼 되어 있어서], 긍정 텍스트 확률 : 90.29%"
"[먼지도 막아주고 공기 순환이 될 수 있어요 또 굉장히 좋았던 것은 아이가 무엇을 하는지 유모차를 주행하면서 볼 수 있으니까], 긍정 텍스트 확률 : 92.14%"
"[아이도 저도 안심이였어요 아이가 아직 어려서 양대면 전환은 필수였었는데], 긍정 텍스트 확률 : 81.29%"
"[그러지 않고 눈으로 확인할 수 있으니까 이 점이 참 좋았네요 ], 긍정 텍스트 확률 : 67.84%"
"[ 마지막으로 원터치 브레이크인데], 긍정 텍스트 확률 : 82.26%"
"[정말 쉽고 빠르게 브레이크를 걸 수 있어서 좋았어요ㅎㅎ 이 밖에도 앞 바퀴에도 잠금 장치가 있어서 바퀴가 헛돌지도 않아서 정말 아이의 안전을 지켜줄 수 있습니다ㅋㅋ 유모차를 끌고 가다 보면], 긍정 텍스트 확률 : 97.40%"
"[산책 나가기가 힘들다라는 생각은 안들었던 것 같아요 산책할 때마다 아이도 행복하고 저도 너무 즐거웠네요 ], 긍정 텍스트 확률 : 86.46%"
"[이번에 아이 때문에 유모차에 대해 관심이 많아져서 이리저리 알아보고 있는 중이거든요. 그러다가 알게된 미마자리 유모차아무래도 첫 아이이다 보니깐 뭐든 좋은걸 해주고 싶더라구요. 입는거 마시는거], 긍정 텍스트 확률 : 99.47%"
"[이번 유모차는 사길 정말 잘했다는 생각이 들더라군요.ㅎㅎ ], 긍정 텍스트 확률 : 93.66%"
"[화이트는 질릴 것 같아서 무난하게 카멜로 구매해봤어요.ㅎㅎ 일단 저 멘질멘질한 질감과 느낌이 너무 좋음..그리고 흔하게 볼 수 있는 디자인은 아니여서 마음에 들더라구요. 독특한 디자인이지만 질리지도 무난하지도 않는 그런 디자인..?홈페이지 보니깐 시트 색상을 바꿀 수도 있더라구요. 지금 이 색상이 질리면 구매해봐야겠어요 ], 긍정 텍스트 확률 : 96.31%"
"[ 뒷모습은 이런 모습이에요 첫번째 사진에서도 알 수 있다싶이 양대면 전환이 가능해서], 긍정 텍스트 확률 : 93.00%"
"[아이가 안정감있게 엄마를 바라보면서 산책을 즐길 수 있어요ㅎㅎ 아직 개월수가 별로 안지나서 유모차를 사기엔 너무 이른 감이 없지않아 있었지만], 긍정 텍스트 확률 : 93.73%"
"[캐리콧이 내장되어있어서 신생아때도 사용가능해서 바로 구매해버렸죠..ㅋㅋ], 긍정 텍스트 확률 : 55.77%"
"[커브길에서도 굉장히 안정감을 주는지 아이가 울지도 않더라구요. 사람들이 왜 헨들링이 부드럽다고 하는지 이제야 알 것 같은..?ㅎㅎ 아무래도 신생아들은 머리가 다치면 안되기 때문에 더욱 안정감 있게 만든 것 같았어요. 인터넷에 찾아보니까 서스팬스 기능 때문에 충격을 완화시켜준다고 합니다.], 긍정 텍스트 확률 : 64.20%"
"[ 요런 길에서까지 정말 부드럽게 잘 밀렸었어요.ㅎㅎ 아이가 깨지 않은정도면 말을 다한거 아니겠어요 서스팬스 기능이 정말 한 몫하는 것 같아요 사람들 사이에서 명품 유모차라고 소문난 이유가 있었던 걸 안 순간이였습니다.ㅋㅋㅋ ], 긍정 텍스트 확률 : 78.45%"
"[ 또 다른 마음에 들었던 기능 중 하나브레이크 기능이 굳이 누루고 올리고 또 잘 안되면 손으로 브레이크를 조절하기도 하는데], 긍정 텍스트 확률 : 97.74%"
"[언제 브레이크를 누르고 해제하나 싶었는데], 긍정 텍스트 확률 : 57.40%"
"[이 기능이 오히려 너무 간편하게 저에겐 작용이 됬네요.ㅎㅎ ], 긍정 텍스트 확률 : 96.39%"
"[이 유모차는 여자에도 간편하게 접을 수 있어서 너무 편리했어요 한 번 잡고 슉하고 접으면 되니까 정말 간편하더라구요캐리콧 높낮이도 조절이 가능해서 좋긴하지만], 긍정 텍스트 확률 : 82.79%"
"[따로 분리해서 밥먹으러 갈 때나 아이가 잠들 때 등 따로 들고다닐 수 있거든요아기의자 없는 음식점에선 정말 좋을듯..], 긍정 텍스트 확률 : 78.47%"
"[또 안전바도 각도 조절도 가능해서 아이가 좀 더 클 때 편하게 이용이 가능할 것 같았어요 ], 긍정 텍스트 확률 : 58.68%"
"[ 디자인도 디자인이지만], 긍정 텍스트 확률 : 71.79%"
"[마미 유모차의 기능들은 정말 구매한 보람을 느끼게 해주네요핸들링도 너무 편하고 수납공간도 여유롭고 제 기능을 톡톡히하는 유모차로서 정말 강추입니다 ], 긍정 텍스트 확률 : 98.45%"
"[악세서리 증정 되는 것도 많구요.그래서 와이업 올뉴지니를 베페에서 예약 구입했었는데후기를 찾아보니 안전성 문제에서 좀 걸리는 게 있더라구요와이업이 안 좋다는 게 아니라 저는 안전성을 제일 우선시 봐서 그랬어요그래서], 긍정 텍스트 확률 : 68.89%"
"[안정감으로 유명한 미마로 다시 마음이 기울었어요ㅠㅠ결국], 긍정 텍스트 확률 : 98.25%"
"[미마자리 스포츠를 뒤이어 자리를 차지하는휴대용 유모차 에요휴대용유모차 치고는 무게가 꽤 나가요정도예전엔정도라고 들었는데], 긍정 텍스트 확률 : 81.02%"
"[이번에 리뉴얼이 되어서 좀 더 가벼워졌다고 하네요색상은 차콜], 긍정 텍스트 확률 : 56.96%"
"[미드나잇 블루총 가지 색상이 있는데저는 차콜이 무난하니 마음에 들어서 이걸로갈치 같은 은색은ㅠㅠ마음에 안 들지만유ㅠㅠ ], 긍정 텍스트 확률 : 96.92%"
"[ 미마지기는 바퀴 네 개에 모두 서스펜션이 있어요.베페에서 설명해주신 걸 들었을 때], 긍정 텍스트 확률 : 66.38%"
"[ 성인 남성 까지 버틴다고 하네요안정성 안전성 모두 중요시 하는 저에게 완전 합격그리고 휠이 투명색이라 더욱 고급지고], 긍정 텍스트 확률 : 88.83%"
"[예쁨미증가ㅋㅋ핸들링도 너무너무 좋아서 요요랑 비교해도 차이를 모르겠어요ㅋㅋ애기가 안 탔을 땐 짐을 많이 올리고도 한 손으로 핸들링 가능해요 ], 긍정 텍스트 확률 : 96.57%"
"[ 항공사마다 규정이 달라서 꼭 확인을 해야 한다고 해요 ], 긍정 텍스트 확률 : 65.58%"
"[고리와 손잡이를 동시에 잡아당기면 끝초 폴딩 이랍니다ㅋㅋ지금 쓰는 디럭스는 저 혼자 낑낑 대며 폴딩했었는데확실히 휴대용은 가벼워서 그런지 여자 혼자서도 쉽게 폴딩 가능해서 너무 좋아요 ], 긍정 텍스트 확률 : 69.36%"
"[ 차양막도 짧은가 했는데], 긍정 텍스트 확률 : 73.86%"
"[놀고 있는지 체크할 수 있어요. ], 긍정 텍스트 확률 : 64.49%"
"[ 글로는 설명이 어려울 것 같아], 긍정 텍스트 확률 : 59.99%"
"[너무너무 좋았어요ㅋㅋ타 휴대용 유모차에 비해 무게가 좀 나간다고는 하는데워낙 무거운 디럭스를 쓰다가 넘어가서 그런지전 전혀 무겁게 안 느껴졌어요.다시 한 번 미마가 왜 엄마들 사이에서 유명한 유모차 브랜드인지 알 것 같아요.그리고 베이비플러스 화곡점 직원분들도 너무 친절하셔서 다음 육아용품 구입할 때], 긍정 텍스트 확률 : 59.60%"
"[안녕하세요 여러분 여름은 잘 나고 계신가요? 요즘 날씨가 바람도 살랑살랑 부니산책하기 너무 좋은 날씨인 것 같아요. 그래서 그런지 전보다 자주 산책을 나가고 있답니다오늘 리뷰 할 제품은 바로 미마 자리 스포츠에요. 여름부터 지금까지 너무 잘 사용하고 있는유모차라 공유해보려고 합니다.ㅎㅎ 여러 쟁쟁한 디럭스 유모차들을 제치고 절충형인 미마 자리 스포츠를 골랐던 이유 중에 하나가 확실히 후기들도 좋았고 실용성 하나는 가격 대비했을 때에 스토케나 에그], 긍정 텍스트 확률 : 50.16%"
"[ 유모차를 구매하기 전에 여러 유모차들을 직접 보고 결정하게 되었는데], 긍정 텍스트 확률 : 58.24%"
"[미마 자리 스포츠가 핸들링도 부드럽고 실제로 봤을 땐 고급 진 느낌이 들어서 더욱 마음에 들었어요.잠깐 사용할 제품이 아니기 때문에 깔끔하고 모던한 느낌이 나는 유모차를 원했는데], 긍정 텍스트 확률 : 78.19%"
"[ 그리고 요 폴딩 싸이백스나 스토케보다 정말 나아요. 디럭스 유모차이다 보니까 무게가 어느 정도 있고 부피도 커서 웬만해서는 시트를 분리해서 접어야 하는데], 긍정 텍스트 확률 : 66.04%"
"[미마 자리 스포츠는 다른 유모차들 보다 더 긴 것 같아요. 다른 유모차들은 시트를 눕히면 햇빛이 그 사이로 들어오는 경우가 많은 편인데], 긍정 텍스트 확률 : 63.53%"
"[미마 자리 스포츠는 정말 싹 다 가려집니다. 계속해서 미마 자리 스포츠를 사용하고 있지만 불편했던 점은 하나도 없었고아이도 유모차를 타는 것에 있어서 굉장히 좋아합니다. 서스팬션 기능과 볼베어링 시스템이 들어있어서 저도 더욱 안심하고 태울 수가 있었어요. 타는 아이와 유모차를 사용하는 부모들의 마음을 잘 캐치해서 만든 제품이라고 생각이 듭니다. 디자인부터 성능까지 다 잡은 유모차네요 ], 긍정 텍스트 확률 : 98.88%"
"[디럭스유모차 사용하시면서 중요하게 생각하셨던건 뭔가요?저는 제일 중요하게 생각했던건 바로 안전함과 편안함이었어요다른사람이 타는것도 아니고 내 배 아파서 낳은 너무 소중한 아이잖아요소중한 내 아이를 지켜줄 안전함을 가지고 있고], 긍정 텍스트 확률 : 99.31%"
"[ 아이가 유모차 안에서도 편안하게 쉬거나 잘 수 있는 유모차였으면 좋겠어서저는 안전함과 편안함을 가장 많이 생각했어요 다른분들도 비슷하실거에요그래서 구입한 디럭스유모차 “미마자리”제가 생각하는 조건에 딱 부합하는 디럭스유모차이기 때문에 골랐어요 ], 긍정 텍스트 확률 : 93.55%"
"[ 미마자리 유모차 는 인체공학적으로 설계되어서 아이를 편안하게 해준대요디럭스유모차 중에서도 명품유모차로 뽑힐만큼 기능도 뛰어나고 안전하다고 해요미마자리유모차 는 총 가지 색깔이 있어요 스노우화이트], 긍정 텍스트 확률 : 86.63%"
"[ 미마자리유모차 핸들링은 부드럽다고 자주 들어왔어요직접 매장가서 미마자리 직접 밀어보니깐 핸들링이 정말 최고에요밀어봤던 디럭스유모차 중에서는 미마자리만큼 부드러웠던 유모차는 없었어요인터넷 후기평이나 블로그 보면 미마자리 핸들링 부드럽다고 하길래디럭스유모차가 거기서 거기이지 오버하네... 이런 생각이 조금 있었거든요..근데 그분들 말을 이제서야 알겠네요ㅋㅋ 진짜 부드러워요핸들링이 부드럽게 되니깐 힘 많이 들지 않아서 저도 편하고아이도 승차감이 좋으니깐 유모차 안에서도 조용히 잘 있거나 잘자요ㅋㅋ ], 긍정 텍스트 확률 : 99.78%"
"[ 미마자리가 승차감이 좋은 이유는 프라임과 뒷바퀴에 서스펜션기능이기 때문이래요서스펜션기능은 충격을 완화해주는 기능인데 이 기능이 있어서 고르지 못한 길도 부드럽게 가는 거라고 해요길을 가면서 생기는 충격도 서스펜션기능이 완화해주니깐 그 충격이 아이한테 가지 않아요또], 긍정 텍스트 확률 : 81.68%"
"[미마자리 바퀴는 볼베어링 방식으로 만든 통고무 바퀴라서 부드럽게 잘 나가요볼베어링 방식은 점 접촉을 이용해서 마찰을 적게 하는 방식이라고 해요서스펜션 기능과 볼베어링 방식의 통고무 바퀴가 있어서 핸들링과 승차감 정말 최고에요 ], 긍정 텍스트 확률 : 90.74%"
"[각도는 단계까지 조절할 수 있었어요앉아 있는걸 좋아하면 각도를 조절해서 앉혀서 가면 되요차체 자체가 높아서 식당에서는 식탁에 같이 앉아서 식사도 할 수 있어서 그럴 때는 시트 높낮이 조절해주면 되요핸들바 높이조절은 유모차를 끄는 사람 키에 맞게 조절해주면 되구요총 단계까지 조절할 수 있어서엄마아빠 키 차이가 많이 나도 두분 다 끌 수 있어요ㅋㅋ ], 긍정 텍스트 확률 : 72.26%"
"[ 미마자리 유모차 는 원터치 브레이크 시스템이어서 브레이크도 손쉽게 할 수 있어요브레이크 작동할 때도 누르고 해제할 때도 눌러서 해제하면 되는 방식이에요브레이크 해제할 때 올리지 않아도 되서 힘 안 들이고선 브레이크 작동하고 해제할 수 있어서 좋았어요ㅋㅋ ], 긍정 텍스트 확률 : 91.48%"
"[ 그리고 마지막으로 수납공간수납공간 별로 없다고 하시는 분들도 있는데 저는 충분했어요앞뒤로 하나씩 있었어요 분리되서 있으니깐 짐이 섞이지 않고 깔끔하게 들어갔어요부피가 엄청 큰 물건만 아니면 충분히 넣고 다닐 수 있을거에요 ], 긍정 텍스트 확률 : 77.12%"
"[ 혼자 다닐때 이용해도 무리없이 조립과 탈착이 가능하고], 긍정 텍스트 확률 : 55.26%"
"[ 무엇보다 디자인 고급스러워서 제 마음에 쏙 드네요바구니형부터 시트형으로 바꿔서 안전하고 오래 사용할수있는 미마자리 유모차 추천합니다 ], 긍정 텍스트 확률 : 94.22%"
"[ .?유모차유모차.?유모차브랜드유모차브랜드.?미마자리스포츠유모차미마자리스포츠유모차.?미마자리미마자리.?스포츠유모차스포츠유모차 .?명품유모차명품유모차.?미마자리스포츠미마자리스포츠.?미마미마.?자리스포츠자리스포츠.?디럭스유모차디럭스유모차 .?디럭스급절충형디럭스급절충형.?실용성실용성.?미마유모차미마유모차물려받아서 쓰던 유모차가 얼마 못쓰고 망가지는 바람에 한동안 유모차를 알아 봤는데새로 사려니까 브랜드가 많더라구요.저는 그 중에 스토케], 긍정 텍스트 확률 : 64.40%"
"[ 일단 디자인이 세련되고 고급스러워서 첫인상부터 마음에 쏙 들었어요.때가 잘 타는 재질도 아니라서 쉽게 더러워지지 않을 것 같더라구요핸들 부분이 가죽 재질로 되어 있어서 고급스러운 느낌이 강하고 잡았을 때 그립감이 좋아요거기다 핸들 각도가 조절이 돼서 유모차를 끄는 사람의 키에 따라 조절해서 쓰면 편하게 쓸 수 있겠더라구요.프레임도 튼튼해서 끌어보면 안정적이라는 느낌을 받을 수 있어요. ], 긍정 텍스트 확률 : 91.79%"
"[ 안전바도 탈착이 가능해서 태울 때 확실히 편하더라구요.바퀴부터 프레임까지 전체적으로 튼튼해서관리만 잘하면 둘째까지도 사용할 수 있을 것 같아요 ㅎㅎㅎ유모차가 안정적으로 움직이니까 아이도 불편해하지 않고 오래 타도 징징대지 않더라구요. 앉아서 잠도 잘자구요 ], 긍정 텍스트 확률 : 95.98%"
"[ 바퀴도 튼튼해서 안정감있게 받쳐주는 느낌을 받을 수 있어요뒷바퀴 사이에 원터치 브레이크가 달려 있어서 쉽게 간단하게 브레이크를 걸 수 있고브레이크도 강하게 잘 걸려서 오르막길에서도 브레이크 걸어두면 미끄러지지 않더라구요앞바퀴 브레이크도 따로 있어서 울퉁불퉁한 길에서 사용하면 바퀴가 헛돌지 않아서보다 편하게 사용할 수 있었어요 ], 긍정 텍스트 확률 : 99.62%"
"[ 미마 자리 스포츠로 유모차 바꾸면서 산책을 좀 더 자주 나가고 있어요.가끔 다른 엄마들이 미마인거 알아보고 본인도 이거 사고 싶었는데이 제품 좋냐고 물어보는 분들도 계시구요이런 얘기 들을 때마다 잘 산 것 같아서 괜히 뿌듯하고 그러네요 ㅎㅎㅎ여러 브랜드 제품 비교해보면서 미마의 아이의 안전을 위한 세세한 기능들이 마음에 쏙 들었어요아이의 안전부터 엄마의 편안함까지 고려해서 만들었으니 싫어할 사람이 있을까 싶네요], 긍정 텍스트 확률 : 98.66%"
"[러블리부부에요원래는 절충형유모차가 있었지만], 긍정 텍스트 확률 : 61.39%"
"[디럭스를 또 선물받게 되어서 달넘게 사용 후 쓰는 미마자리 디럭스 유모차 사용후기에요], 긍정 텍스트 확률 : 55.83%"
"[ 부산에 있을 때 선물 받게 된 미마자리플레어 카멜이에요 색이 너무 고운 미마자리 ], 긍정 텍스트 확률 : 89.09%"
"[어느 유모차든 단점이 있기 마련이죠미마자리유모차 단점도 물론 있는데 그 단점을 커버 할 수 있는 핸들링 그리고 예쁨주의 ], 긍정 텍스트 확률 : 94.89%"
"[ 으로 아기침대 유모차도 가능한 미마자리플레어에요], 긍정 텍스트 확률 : 61.71%"
"[ 미마자리유모차의 단점은 사실 요 짧은차양막이 아쉽긴 해요그렇지만 예쁜디자인덕에 포기할 수 없는 유모차란말이죠 ], 긍정 텍스트 확률 : 94.22%"
"[러블리는 반 풀옵션으로 받았기 때문에 다행 ♥ ], 긍정 텍스트 확률 : 98.95%"
"[러블리가 직접 하지 않고다른 가족들도 편하게 사용가능한 유모차이죠 ], 긍정 텍스트 확률 : 50.01%"
"[ 스트링을 이용한 주머니가 뒷 바스켓 안에 부착되어 있어서 깔끔하고 넉넉한 수납이 가능해요각 각 약의 수납이 가능한 바스켓이에요사실 미마자리단점이라고 하면 또 스토케와는 다르게 수납이 작다곤 하더라구요], 긍정 텍스트 확률 : 92.54%"
"[ 그리고 가족들과 베페 놀러가서 딱 생각나서 사게 된 미마자리가방걸이 덕에 두개 원문제 없이 수납해서 마트나 백화점 편하게 다닐 수 있어요 그리고 미마자리의 큰 장점폴딩이 매우매우매우 쉬워요 러블리도 한번 힘 딱 주면 차에 바로 실을 정도? ], 긍정 텍스트 확률 : 80.11%"
"[ ↑ 미마자리유모차 폴딩법이에요], 긍정 텍스트 확률 : 90.97%"
"[ 따뜻한 봄이라서 더욱더 아기와 나갈 일이 많아졌는데], 긍정 텍스트 확률 : 96.51%"
"[유모차가 편하니까 딸랑구도 너무 좋아하더라구요확실히 디럭스절충형 두개 다 사용한 러블리로써 당연 디럭스 유모차를 적극 추천합니다진짜 핸들링부터가 다르고 섬세함이 다르더라구요가격이 비싼 건 다 이유가 있는거라고 남편하고 고개 끄덕이며 인정했네요미마자리유모차의 큰장점이 예쁜디자인 그리고 쉬운 폴딩 ], 긍정 텍스트 확률 : 59.86%"
"[그리고 비싼 악세사리들 ], 긍정 텍스트 확률 : 56.70%"
"[짧은 차양막요정도 같아요지금 사용하고 있는 러블리는 예비맘들께 적극 추천해주고싶은 그런 유모차랄까요..♥나중에 둘째도 쓰고..중고로도 아주 값비싸게 팔린다는 미마자리플레어백화점보다는 베페가 더 싼거 같아요 가격 비교 해보시고 이쁜 유모차 겟 하세요 ♥ ], 긍정 텍스트 확률 : 99.99%"
"[ 울 애기 일 지나고 슬슬 외출을 하기 시작했다.등센서 달린 아기라 과연 유모차를 타 줄 것인지 굉장히 걱정을 많이 했는데], 긍정 텍스트 확률 : 77.10%"
"[ 왠일로 너무나 편하게 잘타주었다.미마자리는 신생아가 안전하고 편안하게 탈 수 있는 유모차로 제격이었다.유모차 구매 할 시기에 부담되는 가격에 고민하기는 했지만], 긍정 텍스트 확률 : 62.95%"
"[적절한 선택이었음을우리 아기가 타고 난 후에 확신이 들었다.좀 더 날이 풀리면 우리 아기], 긍정 텍스트 확률 : 66.03%"
"[미마자리 유모차에 태우고 많은 곳을 구경시켜 줘야지... ], 긍정 텍스트 확률 : 92.03%"
"[ .디자인은 모던하고 깔끔해서 마음에 들었었어요. .차콜이라고 해서 너무 단순하지도 않고.어느 계절이든지 어울리는 디자인이라서 괜찮았네요ㅎㅎ .인터넷으로 알아볼 때보다는 실물이 훨씬 고급져 보였어요 .손잡이라던가 안전바 부분이 가죽 재질이라서 그런 것 같아요ㅎㅎ... ], 긍정 텍스트 확률 : 86.70%"
"[.안전바 등등 여러 부분이 각도 조절이 가능해요 .그래서 그런지 폴딩도 간단하더라구요. .사용해보니까 세세하게 각도 조절이 되어서 편리했었네요. .그리고 시트도 굉장히 넓어서 좋더라구요... ], 긍정 텍스트 확률 : 71.28%"
"[ .장시간 아이가 유모차에 타고 있어도], 긍정 텍스트 확률 : 64.64%"
"[.더 편리하게 이용할 수 있는 것이죠.신생아 시트도 있고], 긍정 텍스트 확률 : 78.96%"
"[.여러 가지로 유모차를 꾸밀 수 있을 것 같네요ㅎㅎ... ], 긍정 텍스트 확률 : 88.99%"
"[ .히든 차양막을 열면 이렇게 안전바 부근까지 .가릴 수 있어서 여름에 정말 좋더라구요..히든 차양막 부분이 다른 부분처럼 막힌 천이 아니라.구멍이 뚫려있는 매쉬 재질이라서 더 좋았어요..여름이다 보니까 저걸 내려두면 아이가 더울 수 있는데.매쉬라서 공기가 잘 통하는지 앉아서 곤히 잘 자더라구요..엄마들은 유모차 움직이면서 아이가 잘 놀고 있는지 궁금하잖아요?.커버를 올리지 않고 위에 확인 창만 살짝 열면 바로 확인 가능하답니다..이 부분도 매쉬라서 더운 여름에는 둘 다 열고 다녀도 좋을 것 같아요... ], 긍정 텍스트 확률 : 80.65%"
"[ .미마자리 스포츠가 아이 안전을 정말 생각하고 있다는게 느껴지는 게 .바퀴에 볼베어링 시스템이 있고 프레임엔 서스팬션 기능이 있다고 해요 .아이의 안전을 생각하면], 긍정 텍스트 확률 : 88.27%"
"[이런 기능이 있는 것이 정말 좋을 것 같아요ㅎㅎㅎ.바퀴 중앙에는 원 터치 브레이크가 있어서 짱짱하게 고정이 되니까], 긍정 텍스트 확률 : 69.92%"
"[ 이번에도 매입후기에 관한 포스팅인데요강남유모차], 긍정 텍스트 확률 : 91.94%"
"[ 제품시세를 고려해바로 견적을 내어드립니다 ], 긍정 텍스트 확률 : 56.88%"
"[미마지기 휴대용 유모차 구입했습니다. 요요 와이업지니 타보 등등 고민중에 핫딜이 떠서 홀린듯 주문했는데 잘산것 같아요.돌아다니며 봐도 휴대용중에 제일 튼튼해보이고 예쁜것 같아요.아직 아이가 어려서 집안에서만 태우고 있는데 빨리 나가고 싶네요 ㅋㅋ기존 디럭스가 무거워서 차로 이동할때면 너무 힘들거든요.폴딩도 한번에 되고 바퀴휠도 예뻐요.조금 무겁지만 가벼운거에 비해 안전할테니 괜찮고요.차양막도 조금 길게 내릴 수 있고 등받이랑 손잡이 조절도 쉽고요.정말 맘에 쏙 듭니다. ], 긍정 텍스트 확률 : 96.42%"
"[.오랜만에 쇼핑후기.임신하자마자 첫쇼핑했던게 미마자리 디럭스 유모차였는데], 긍정 텍스트 확률 : 75.46%"
"[어느새 울애기 개월이 지나 휴대용 유모차를 구매하게 됐다. 휴대용도 역시나 믿고사는 미마 ], 긍정 텍스트 확률 : 55.10%"
"[ .미마지기 칼배송으로 안전하게 울집으로 슝.도착하자마자 타봄 휴대용 왜케 좋은지], 긍정 텍스트 확률 : 67.93%"
"[ .또 꿀잠중인 우리따님 ], 긍정 텍스트 확률 : 85.12%"
"[ .....두둥두둥세상에나 넘 이뿌고핸들링 죽여준다..아직 아가아가 안태어나서 우리 콩순이 앉혀줬다😅..무게감이 휴대용치곤 살짝 있지만 오히려 안정감 .있게 느껴져서 난 더 맘에 들었다..투명휠도 넘 이쁘고접었다 피는것도 쉽고..내돈 주고 샀지만 참 잘 샀다 ], 긍정 텍스트 확률 : 85.35%"
"[ ...옆 보고 누워보고뒤로도 재껴보고..귀염둥이 콩순이나중에 우리 꿀복이 앉힐생각하니 넘 설레고 행복한 예비도치맘😘...단점은 잘 모르겠고 장점이 많은 .미마지기 휴대용 유모차 리얼 내돈주고 산 후기 ], 긍정 텍스트 확률 : 68.70%"
"[설치 전 제품설명서 ], 긍정 텍스트 확률 : 57.18%"
"[ 완제품으로조립이 필요 없어서 좋다 ☺️ ], 긍정 텍스트 확률 : 68.37%"
"[.?미마지기차양막미마지기차양막히든 차양막까지 있어서 아기 잘 때 햇빛 완벽 차단돼서 됴음❤️ ], 긍정 텍스트 확률 : 65.43%"
"[.?미마지기장바구니미마지기장바구니 이렇게 열었다 닫았다 할 수 있고내용물 안 보이고 좋다깔끔 🔥장바구니에 레인커버 들어있었음 유일한 구성품 ㅠ.ㅠ ], 긍정 텍스트 확률 : 80.42%"
"[.?미마지기폴딩미마지기폴딩저거 두 개 살짝 잡고 당기면간단하게폴딩 된다 ], 긍정 텍스트 확률 : 72.08%"
"[ ❤️ 미마지기 장점 ❤️핸들링 진짜 쵝오..폴딩 정말 쉬움 히든 차양막으로 햇빛도 완벽 차단돼서 좋고], 긍정 텍스트 확률 : 84.35%"
"[엄청 편하게 되어있다는 오랫동안 고민해서 구매한 만큼후회도 없고 만족함], 긍정 텍스트 확률 : 72.02%"
"[타보나 요요가 유명하다니까 그거 사면되겠지? 생각하던 중 우연히 미마지기 유모차를 좋은 가격에 살 기회가 생겨서 선구매 후고민 하며 구매하게 되었어요.저처럼 구매를 고려하는 분 계실까봐 솔직리뷰 남겨볼까 해요 ], 긍정 텍스트 확률 : 98.14%"
"[ 장바구니 부분이 깔끔한것도 좋았고 그리고 저 부분이 전 지퍼로 되있을 줄 았았는데 자동으로 닫히는 구조더라구요 그래서 더 편리하게 사용 가능할것 같아요], 긍정 텍스트 확률 : 62.06%"
"[ 구매하며 제일 신경쓰였던 부분은 바로 저 은색전 심플한거 좋아하는데 저 은색이 너무 부담스럽거나 은갈치 스럽지는 않을까 고민했거든요그런데 실제로 받아보니 오], 긍정 텍스트 확률 : 57.79%"
"[특히 마지막 도 쳐지는 차양막은 속 안으로 넣어서 안쓸땐 깔끔하게 접어둘 수 있어서 좋았어요 ], 긍정 텍스트 확률 : 69.06%"
