"[신발장에 접어서 세워놔도 자꾸 거슬리더라구요뿐만 아니고양대면을 하려면 시트를 들고 바꿔야한다는 디럭스의 불편한점때문에 결국엔 구입하게 된 저렴이 휴대용 유모차에요 ], 긍정 텍스트 확률 : 85.38%"
"[너무나 탐이 나는 유모차입니다 ㅎㅎㅎ 지금 휴대용 유모차사용중인데 어린이집에 매일 태워갈때 사용하다보니 너무 닳았어요 ㅠ 새것이 필요한 요즘입니다 ㅠ 어린이집 가는길에 차가 너무 많이 다녀서 유모차에 태워가는데 맘 편하네요], 긍정 텍스트 확률 : 99.82%"
"[차만 보면 도망가거나 피하지않아서 가슴철렁할때가 많아요 ㅠ], 긍정 텍스트 확률 : 94.77%"
"[살여아휴대용인데 양대면이 된다니 넘나 맘에 드네요디럭스 사용중인데 지금은 차에서 내리기 너무 힘들고 무겁고노미 휴대용 유모차 키로로 딱 좋을것 같아요안전바에 안전밸트로 안정성도 좋고거기다 이쁜 디자인까지 잡은 요 아이 만나보고싶습니다 겨울이라 실내로 많이 갈것 같은데차에서 내리면서 부터 활용하는 모습까지 다양하게 보여드릴 께요 ], 긍정 텍스트 확률 : 99.15%"
"[넵 챗드릴게요], 긍정 텍스트 확률 : 66.13%"
"[매트리스커버 불발시 저요], 긍정 텍스트 확률 : 51.92%"
"[네 불발시 연락드릴게요], 긍정 텍스트 확률 : 66.13%"
"[ ★★꼭 매장이나 휴대폰의로운의부탁드립니다 ], 긍정 텍스트 확률 : 83.86%"
"[타보 베이직 블랙 예약하면 언제 받을수 있나요], 긍정 텍스트 확률 : 62.80%"
"[타보 이노베이션 가격과 수령가능날짜 궁금해요], 긍정 텍스트 확률 : 76.54%"
"[타보 베이직 가격 알고싶어요], 긍정 텍스트 확률 : 64.54%"
"[타보 가격이 어떻게 되요], 긍정 텍스트 확률 : 72.93%"
"[정보문의드려용], 긍정 텍스트 확률 : 66.13%"
"[저도 정보문의드려요], 긍정 텍스트 확률 : 51.84%"
"[저도 뉴마터나랑 뉴스쿠스쿠랑 고민중이라서요ㅠㅠ어떠세요], 긍정 텍스트 확률 : 93.65%"
