"[.첫째 단이의 방학이 끝나가고 월에 둥이를 만날 예정인 나는.월에 슬슬 출산준비를 해가기 시작했다..물려받을옷챙겨와 빨기], 부정 텍스트 확률 : 67.43%"
"[시크롤리팝], 부정 텍스트 확률 : 53.29%"
"[다이치앨리], 부정 텍스트 확률 : 68.97%"
"[넓은 장바구니에 지퍼주머니], 부정 텍스트 확률 : 59.00%"
"[작은 폴딩사이즈], 부정 텍스트 확률 : 53.29%"
"[기내반입가능까지.비록 현장에서 바로 구매하진 않았지만 마음속의 원픽은 그렇게 결정되었고], 부정 텍스트 확률 : 95.66%"
"[다음날 와이프가 고객센터에 연락해서 스크래치 제품이 남아있다는 것 까지 캐치한 끝에 저렴한 가격에 시티투어럭스를 구매하게 되었다. ], 부정 텍스트 확률 : 67.98%"
"[ 찍고보니 당일 날 바로 외출해놓고 언폴딩 전체샷은 찍지도 않았다...ㅋㅋㅋㅋ사고난 시승을 시켜본 후기는 라현이에게 직접 들을 수는 없지만...ㅋㅋㅋㅋ아빠인 내가보기엔 타고 가면서 잘자고 안찡얼대는 라현이를 보니 잘산 것은 맞는 것 같다.번갈아가며 끌어본 와이프도 손목부담을 못느낀다고 하니 핸들링도 좋은게 분명하고..ㅋㅋ장보고 돌아오는 길에 장바구니에 잔뜩실은 물건을 보니 장바구니도 큰게 확실하다.긴시간 고민했지만 적절한 선택이었던 것 같다.절충형 유모차를 주변에서 사는 사람이 있다면 꼭 권하고 싶다.ㅎㅎ .?절충형유모차절충형유모차.?휴대용유모차휴대용유모차.?기내반입유모차기내반입유모차.?베이비조거베이비조거.?시티투어럭스시티투어럭스.?베이비조거홈페이지고객센터베이비조거홈페이지고객센터실구매후기입니다. 지원은 전혀 받은게 없어요..ㅋㅋㅋㅋ ], 부정 텍스트 확률 : 54.08%"
"[ .저 상자가 제손한뼘정도크기니ㅋ.전체폭이절충형유모차가밖에안되서 엘베도 마트도간편히 통과될듯합니다 완벽한 크기 ㅋ.애기들이작게태어나서 밖에일찍못나갈듯하니 .걱정은], 부정 텍스트 확률 : 59.40%"
"[ 바운서랑 비교 해봤어요. ], 부정 텍스트 확률 : 89.38%"
"[ 확실히 크기가 슬림해서 방문도 무리없이 통과 했어요. 기다려서 산 보람이 있네요. 쌍둥이 유모차는 제품도 다양하지 않고 부가부랑 고민 많이 했거든요..근데 너무 잘 산거 같아요.너무 크고 무거우면 제가 버거울거 같아서 슬림형으로 찾았는데 맘스맘에서 추천 받은 제품이라 믿고 바로 주문 했죠.곧 겨울이라 많이 못쓸까봐.. 그게 아쉬운데. ㅠㅜ 얼릉 부지런히 나가야 겠어요. 아기띠로는 집 앞 마실도 팔이 아파서 힘들었는데 이제 엄청 편하게 나갈수 있을거 같아요. 근데 아기가 옆으로 커지면 ... 좁아서 힘들어 할까 걱정이긴해요. ㅎㅎㅎ어차피 뭐 걸으면 유모차 잘 안타려고 한다하니], 부정 텍스트 확률 : 75.61%"
"[ ㅜ 감기 조심하세요. .?쌍둥이유모차쌍둥이유모차.?휴대용쌍둥이유모차휴대용쌍둥이유모차.?절충형쌍둥이유모차절충형쌍둥이유모차.?베이비조거베이비조거.?시티투어더블시티투어더블.?베이비젠요요베이비젠요요.?맘스맘맘스맘 ], 부정 텍스트 확률 : 94.70%"
"[쌍둥이 출산 후], 부정 텍스트 확률 : 64.43%"
"[쌍둥이 유모차로 베이비조거 시티셀렉트 구매해서 잘사용하던 중에 아기들이 크면서 절충형쌍둥이유모차나 휴대용쌍둥이유모차의 필요성을 느끼게 됐어요아무래도 이동이 편리하고 차에 싣고 다니기도 좋은 유모차가 필요하더라구요처음에 뭐살지 고민할때 목록에 있었던게 리안 트윈], 부정 텍스트 확률 : 55.88%"
"[시티투어더블 이었어요검색해보니 핸들링이 시티투어더블 만한게 없다더라구요그리고 시트 폭이 좁아 지면서 통과못하는 문이 없다는 메리트가 있었구요가격도 애들이 오래타고 다닐건데여러방면에 장점이 많은것에 비해서 그렇게 비싸다고는 생각안했던거 같아요전 롯데홈쇼핑 에서 구입했어요 받아보니 너무 잘샀다싶고 애들도 거부감없이 잘타네요오래오래 타렵니다 ㅎㅎ실제로 구매해서 쓴 후기입니다.. ], 부정 텍스트 확률 : 57.40%"
"[.쌍둥이 유모차 끝판왕 ], 부정 텍스트 확률 : 62.92%"
"[ .그동안 연년생 남매 데리고 다니느라 .얼마나 힘들었던가 ], 부정 텍스트 확률 : 85.67%"
"[ .이것도 고심끝에 구입], 부정 텍스트 확률 : 92.30%"
"[ ..기본 찍찍이로는 불안해서 멀티아답터까지 구매함.기본적으로 걷는데 방해가 되긴했으나.한손핸들링이 가능해서 평지에서는 무리가 없었으나.이것 역시 경사진 길에선 손에 힘 빡준채 종종걸음을 걸어야했고.. 턱은 라이더때문에 올라갈 생각조차 하지않았다...그리고 둘째만 데리고 나갈경우에 라이더가 애물단지였다ㅠ..미마자리 넌 내가 참 많이 좋아했다😍 .딱 내취향.. 넘나 이쁜것...하지만 그건 애 명일때의 이야기...두명인 지금은 그저 크고 예쁜 애물단지ㅠ..미마자리는 정리를 결심하고.둥이윰차로 눈길이 가던중 친구가 베이비조거 시티미니를 갖고있기에.베이비조거 검색중 초슬림 신상이 나온것을 발견 ], 부정 텍스트 확률 : 84.29%"
"[ 쌍둥이유모차인데 박스는 참 작다ㅋ ], 부정 텍스트 확률 : 54.79%"
"[ 둘 태워도 넉넉한 사이즈를 보라..ㅋ참고로 또래보다 큰 개월 ], 부정 텍스트 확률 : 92.18%"
"[ 첫째가 내리려하지 않는다😂 ], 부정 텍스트 확률 : 71.80%"
"[ 아래는 타보와 사이즈 비교 ], 부정 텍스트 확률 : 53.89%"
"[ 아래는 미마자리와 비교샷 ], 부정 텍스트 확률 : 50.71%"
"[ 너비도 너비지만 폭도 반밖에 안됨이제 현관이 복잡해 짜증날 일도 없고], 부정 텍스트 확률 : 94.20%"
"[ 둘 데리고 나가서 하나는 아기띠하고 허리가 나갈일도 없다ㅋ에헤라디야 ], 부정 텍스트 확률 : 76.55%"
"[둘째는 이제 막 개월에 입성했답니다. 날씨도 좋고 워낙 활동적인 첫째인지라 둘째가 태어난 후에도 어린이집 하원 후에는 거의 매일 동네 놀이터나 공원을 다니며 놀았는데 엄마 혼자 아이 둘을 데리고 외출하는 것은 정말], 부정 텍스트 확률 : 98.85%"
"[참으로 버거운 일이였습니다. 게다가 둘째가 남아여서 그런지 백일도 안 된 아기임에도 불구하고 아기띠로 계속 안고 있기에는 부실한 저의 허리가 버텨주지를 못했습니다. 사실 둘째 임신 때부터 쌍둥이유모차의 필요성은 알고 있었기에휴대용쌍둥이유모차], 부정 텍스트 확률 : 52.54%"
"[절충형쌍둥이유모차], 부정 텍스트 확률 : 53.29%"
"[웨건 등등을 어느정도 눈 여겨보고 있었습니다만], 부정 텍스트 확률 : 60.72%"
"[비용을 고려해야 했기에 실제로 구입하기까지는 많은 시간이 걸렸습니다. 그렇게 고민고민하여 구입한 베이비조거 시티투어더블은 베이비리퍼블릭 동탄점에서 예약배송으로 열흘전쯤 받았구요], 부정 텍스트 확률 : 97.72%"
"[ 사진에는 보이지 않습니다만 큰 박스 안에 유모차 본체], 부정 텍스트 확률 : 82.48%"
"[바퀴 개], 부정 텍스트 확률 : 71.02%"
"[컵홀더], 부정 텍스트 확률 : 53.29%"
"[ 유모차 폴딩은 기존에 사용하던 유모차엘레니어 세스토와 비슷해 저는 쉽게 적응했습니다만], 부정 텍스트 확률 : 66.17%"
"[폴딩 후 유모차를 세워놓는게 조금 어렵다고 느꼈는데 유모차가 한번에 안정감있게 세워지지 않아 구조적인 이유 때문인 듯 노하우를 필요로 합니다.], 부정 텍스트 확률 : 55.06%"
"[열흘 정도 실사용하며 폭으로 인해 불편함을 느껴본 적은 한번도 없습니다. 여러 쌍둥이 유모차 중 끝까지 고민했던 조 에 듀.. 앞으로 길게 일자형인 그 유모차를 구입했더라면 엘레베이터에 못 싣었을 거라며 남편도 저도 우리들의 선택이 탁월했다며 박수를 쳤다는 사실], 부정 텍스트 확률 : 85.63%"
"[무거워져가는 첫째때문에 휴대용 유모차도 구입해야 하는데 곧 둘째도 태어난다 이를 어쩌지..년 여름], 부정 텍스트 확률 : 95.16%"
"[당시에는 획기적이었던 휴대용유모차를 대사서 연결하면 쌍둥이 유모차로 쓸수 있다는 와이업지니를 한대 구입해서 큰아이의 휴대용 유모차로 너무나 잘 사용했다..이때 두대를 구입하지 않은게 신의 한수ㅋㅋ.와이업지니는 사실 그 자체로 보면 진짜 괜찮은 휴대용 유모차다], 부정 텍스트 확률 : 85.06%"
"[폴딩도 쉽고 차양막도 길고 등받이 조절도 레버방식이고 하지만 어린 둘째가 타기에는 무리가 있어서 도노비쌍둥이유모차를 중고로 구매했다.집앞 놀이터나 슈퍼에 갈때는 잘 사용했지만 우선 차에 실으려면 다분리하는게 너무 번거롭고 무거워서], 부정 텍스트 확률 : 74.24%"
"[이동할일이 있을때는 첫째는 휴대용 유모차에 둘째는 아기띠로 이동을 했었다..그런데 둘째가 점점 무거워지고 안고만 다녀서 그런가 카시트도 잘 안타려고 하고 더더 엄마껌딱지가 되는것 같아 또다시 유모차 고민 시작ㅜ ㅠ..와이업지니를 구매하려고 보니 같은 연식이 아니면 연결이 안되서 중고로 구매하거나 본사로 직접 연락해야 하는 번거로움이 있었고], 부정 텍스트 확률 : 95.08%"
"[두대를 연결하다보니 폭이 넓어 좁은 엘리베이터나 문은 통과가 어렵다는게 너무 마음에 걸렸다.그리고 첫째 문센때문에 차로 이동하는것도 많은데 매번 연결을 분리해서 차에 싣고 다시 꺼내 연결하는것도 너무 번거로울것 같았다..일자형 쌍둥이 유모차를 구입하자니 한명의 시야를 가리게 되어 답답해 할것 같고], 부정 텍스트 확률 : 96.08%"
"[ .또한 폴딩시 와이업지니와 비교해봐도 크게 부피를 차지한다는 느낌은 없다..그리고 핸들링도 좋아서 애기둘 태우고 다녀도 어렵지 않고], 부정 텍스트 확률 : 94.90%"
"[우리 오래오래 함께하자.. .?쌍둥이유모차쌍둥이유모차.?휴대용쌍둥이유모차휴대용쌍둥이유모차.?절충형쌍둥이유모차절충형쌍둥이유모차.?베이비조거베이비조거.?시티투어더블시티투어더블 .. ], 부정 텍스트 확률 : 87.94%"
"[왠지 중고도 싫고], 부정 텍스트 확률 : 92.22%"
"[사이즈 좋고.접었을때.기내 반입캐리어랑 비교해도.많이 크지 않고.자리 차지 하지않아 좋다...우리 건이 준이.날씨 더 추워지기 전에.엄마랑 꼭 유모차타고.놀러다니자.엄마 밖에 나가고 싶어. ], 부정 텍스트 확률 : 69.04%"
"[ . .?쌍둥이유모차쌍둥이유모차.?휴대용쌍둥이유모차휴대용쌍둥이유모차.?절충형쌍둥이유모차절충형쌍둥이유모차.?베이비조거베이비조거.?시티투어더블시티투어더블.?뻬그뻬레그북포투뻬그뻬레그북포투.?화곡베이비플러스화곡베이비플러스..... ], 부정 텍스트 확률 : 97.08%"
"[둘째 살갤 우리집은 개월 차이나는 아드님 두분이 계시다..ㅋㅋ둘째를 낳으면서 첫째 때 사놨던디럭스와 휴대용 윰차를 그대로쓰면 될줄 알았다.그런데 왠일....ㅠㅠ 첫째도 아직 어려서 유모차가 필요하다는 사실... 웨건 ?고민 끝에 웨건을 알아보기로했다. 역시나 육아용품은 정말 다양하고많지만..요즘 보통 킨즈나 폼포라를 많이 구매하는 듯 했다.킨즈는 가성비 괜찮았고 폼포라는 가격이좀 나가지만 스토케처럼 핸들링이 좋아 실 만족도가 높다고했다. 나는 스토케 크루시를 디럭스용으로 너무 잘 썼기에 폼포라에 눈이 좀 더 갔다. 육아용품점 방문 예전에 블로그에 속아서 산 휴대용 유모차지오 를 계기로 육아용품은 아무리 인기가 많아도 직접 사용해보고 구매하기로 맘먹었기에 인천쪽에 있는 베이비플러스에 방문했다. 일단 생각보다 많이 넓지 않았다.ㅋㅋ하지만 내가 궁금한 것들..육아용품은 있을게 다 있었다.원래 생각하고 갔던 킨즈와 폼포라에 애들을 직접 태워보고 끌어보고 밀어보고.젤 중요한 폴딩도 해보았다.확실히 웨건 중에서는 폼포라가 갑이었다.내가 젤 중요시하는 핸들링이 젤 좋았고 안정적이었다.그런데 왠일.. ㄷㄷㄷ내 눈에 보이는 큰 단점이 두개나 있었다.일단 웨건에서는 아이들이 편해보이지가 않았다. 첫째는 발을 쭉 펴기가 어려웠고 아이들이 잠이들었을 때도 문제였다. 거기다 마주보고 앉아야 해서 한명은 앞보기가 안된다는 것이었다.두 번째는 폴딩 시 너무...너무...너무.. 뭐거웠다 ㅎㅎㅎ키여자가 애들 태우고 폴딩해서 트렁크에 싣기가 쉬운 무게는 아니었다. 쌍둥이 유모차웨건 사러 왔는데그렇게 유용하지 않을 것 같아서 고민하던 찰나사장님?이휴대용 쌍둥이 유모차 중에 괜찮은게 있다고 한번 보라고 하셨다.울 애들이 쌍둥이가 아니기에 뭐 얼마나 유용하겠어... 하며 생각하고 있었다.그런데 애들 둘다 앞보기로 편하게 앉을 수 있고 폴딩이 생각보다 어렵지가 않았다.지금 우리 집 상황에 딱 맞는 유모차였다. ㅎㅎㅎㅎ 베이비 조거일단 휴대용임에도 불구하고 중요한 기능을 제대로 갖추었다는 거에 점수를 높게 주었다.등받이 조절이 쭉 늘였다 줄였다 하며 쉽고 발 받침대를 접었다 펼수 있음휴대용 치고 핸들링이 넘 좋음기존에 가지고 있는 유모차지오 보다는 살짝 무게가 나가지만 여자인 내가 혼자 폴딩하고 들어서 트렁크에 실을 수 있을 정도의 무게임아이들 둘다 잠들었을 때 둘다 불편하지 않게웨건에 비해 갑임 재울 수 있음 애들 태워보고 아이들도 나도 만족도가 넘 높아서 그자리에서 구매해왔다.ㅋㅋ진작 알았으면 둘째 개월쯤 부터 미리 사서 태우고 다녔을 텐데 하는 생각도 들었다. 사실 첫째 한테는 딱 맞아서 좀 더 크면 불편하지 않을까 싶은데둘을 한 유모차에 태울 수 있고 한번에 이동 시킬 수 있는 큰 장점이 있어서 앉을 수 있을 때까지는 사용할 것 같다..?쌍둥이유모차쌍둥이유모차.?휴대용쌍둥이유모차휴대용쌍둥이유모차.?절충형쌍둥이유모차절충형쌍둥이유모차.?베이비조거베이비조거.?시티투어블시티투어블.?폼포라웨건폼포라웨건.?베이비플러스베이비플러스], 부정 텍스트 확률 : 99.99%"
"[이제 첫째가 살이 되고나니], 부정 텍스트 확률 : 84.29%"
"[집에서만 주말을 버티기가 너무 힘들어지고 있네요 아이들이 셋이 되니], 부정 텍스트 확률 : 86.18%"
"[.?쌍둥이유모차쌍둥이유모차.?휴대용쌍둥이유모차휴대용쌍둥이유모차.?절충형쌍둥이유모차절충형쌍둥이유모차.?베이비조거베이비조거.?시티투어더블시티투어더블.?리안트윈리안트윈.?리안트윈리안트윈.?화곡베이비플러스화곡베이비플러스 ], 부정 텍스트 확률 : 93.45%"
"[“오구오구”], 부정 텍스트 확률 : 53.29%"
"[“구로케재미쪄?” “오로로로로” 무한 반복... .ㅋㅋㅋㅋㅋ ], 부정 텍스트 확률 : 77.96%"
"[ . .귀여운 볼살...일까진 볼에 뽀뽀하고 싶어도 .좀 참았는데.. .이젠 못참겠다.... .아인이 볼따구 일루와 뽀뽀좀 하자😚 . ], 부정 텍스트 확률 : 91.23%"
"[ .달이가 출장을 가준 덕분에 .인터넷면세점에서 기내용 휴대 유모차를 구입할 수 있게 됐다 ..종류가 많진 않았고], 부정 텍스트 확률 : 70.24%"
"[.리안이랑 에르고베이비?̊̈ 그 외는.....알아본게 없어서 그냥 .디자인 마음에 들고 인터넷으로 써치 후....에르고 베이비 휴대용 유모차 구매 .. .?에르고베이비에르고베이비.?에르고베이비유모차에르고베이비유모차.?기내반입휴대용유모차기내반입휴대용유모차.?기내반입유모차기내반입유모차.?가벼운유모차가벼운유모차.?휴대용유모차휴대용유모차. ], 부정 텍스트 확률 : 98.99%"
"[ .이름이 너무 길다.... .그냥 에르고베이비 메트로 유모차라고 𐨛 𐨛. ], 부정 텍스트 확률 : 97.41%"
"[ ..일단], 부정 텍스트 확률 : 50.28%"
"[.미마자리 유모차 너무 무거워서.. .약간 애물단지 느낌 힘이 없어서 그런가 나는 너무 힘들어서 외출 시 번거롭게 느껴짐 ㅠㅜ.뒷바퀴가 다른 휴대용 유모차랑 다르게 살짝 크고.앞], 부정 텍스트 확률 : 95.24%"
"[ .기내반입가능..차양막 길고], 부정 텍스트 확률 : 97.77%"
"[가볍고], 부정 텍스트 확률 : 55.67%"
"[폴딩쉽고], 부정 텍스트 확률 : 57.19%"
"[.디자인 이쁜게 젤 좋았다. ..사은품으로 안전바까지 받아서 완전 좋음 ..가격은 만원대 중후반?̊̈ 했던거 같은데 .면세가에 적립금 영혼까지 끌어모아... .만원 정도에 구매했다.], 부정 텍스트 확률 : 92.31%"
"[ .접힐 때 시트가 바깥으로 접혀서.먼지가 좀 탈 것 같긴 하지만 .다른 유모차들도 먼지 끼는 건 매한가지일 것 같고.눕히면 저 뒤에 통풍도 되고], 부정 텍스트 확률 : 85.63%"
"[ ....... .?일아기놀이일아기놀이.?일아기놀이일아기놀이.?옹알이옹알이.?옹알이에반응하기옹알이에반응하기.?뒤집기뒤집기.?되집기되집기.?되짚기시기되짚기시기.?뒤집기시기뒤집기시기.?개월아기발달개월아기발달.?일아기발달일아기발달.?일아기일아기.?개월아기개월아기.?개월놀이개월놀이 ........ ], 부정 텍스트 확률 : 90.08%"
"[임신부터 육아까지 필수육아용품중 하나인 유모차우리 쌍둥이들 태어나서 아장아장 걷기 전까지 필요한 유모차 어떤거 살지 고민고민 끝에 실용적인 베이비조거 유모차로 사기로 결정택배박스 받는순간 이거 뭐지? 왜이렇게 작아. 다 안온건 아니겟지 하고 박스열고 바퀴달고 유모차가 완성되는순간 와우 잘샀다.. 접었을때 공기청정기랑 비교하고 휴지통이랑 비교해도 작은크기임...여자혼자 들어도 쉽게 들릴수있는 무게운전이 얼마나 잘되는지 봐야지 하고 온 집안을 누비고 다녔는데 운전도 잘됨.. 방문도 통과하고 엘리베이터도 쉽게 통과할수있어서 너무 좋았아직 태워보진 않았지만 언능 태워보고싶다는.. .?쌍둥이쌍둥이 유모차.?절충형절충형 쌍둥이 유모차.?베이비조거베이비조거.?시티투어더블시티투어더블], 부정 텍스트 확률 : 91.23%"
"[ ㅠ그래서 절충형으로 제가 집앞], 부정 텍스트 확률 : 53.55%"
"[ 접고 펴기도 쉽더라구요 그래서 결정 저희는 시티투어더블 유모차를 샀어요 ], 부정 텍스트 확률 : 78.10%"
"[ 그이유는 폭넓이가 엘레베이터랑 마트 계산대], 부정 텍스트 확률 : 71.14%"
"[ 방문이 다 통과한다는것이다 그리고 무게가 킬로 정도이고 폴딩이 아주 굿폴딩사이즈가 모든차에 다 들어간다 ], 부정 텍스트 확률 : 88.73%"
"[ 내돈주고 구매한 후기 입니다 .?쌍둥이유모차쌍둥이유모차.?휴대용쌍둥이유모차휴대용쌍둥이유모차.?절충형쌍둥이유모차절충형쌍둥이유모차.?베이비조거베이비조거.?시티투어더블시티투어더블.?리안트윈리안트윈.?수원베이페어수원베이페어 ], 부정 텍스트 확률 : 95.00%"
"[.....애는 둘인데 유모차 하나로 .유주랑 해나랑 돌려가며 앉히는데.나머지 애는 내가 주구장창 아기띠 신세..저번주 놀이공원 다녀오고 내 무릎은.사망 직전......너무 힘들어서 검색 끝에.휴대용 쌍둥이유모차는 빨리 살 수록.이득이라는 말에 홀려서 부천 베이비파크에서.그 날 밤 결제 😎..후보로 리안], 부정 텍스트 확률 : 91.32%"
"[ 페도라 절충형쌍둥이유모차도.있었지만 좀 더 슬림하고 무게도 가벼워서.엄마 혼자 차에 싣고 빼더래도 부담없는.베이비조거 휴대용쌍둥이유모차 .시티투어더블로 정했다. ..나란히 유모차는 폭이 커서 마트 계산대], 부정 텍스트 확률 : 94.26%"
"[ .문 통과할때 힘들다는 편견 ..실제로 개월. 개월 자매아가들 태워도.슉슉 부드러운 주행. .한명만 태우고다녀도 손목에 무리없음.....가로 폭초초슬림러닝홈과 같은길이], 부정 텍스트 확률 : 94.68%"
"[부드러운 핸들링], 부정 텍스트 확률 : 53.29%"
"[ .각도 까지 눕혀지고 직각 앉기 가능], 부정 텍스트 확률 : 54.73%"
"[ 쌍둥이유모차 베이비조거 시티투어더블 실구매 후기 ], 부정 텍스트 확률 : 53.29%"
"[ 쌍둥이유모차연년생유모차 베이비조거 시티투어더블 실구매후기 ], 부정 텍스트 확률 : 53.29%"
"[레카로], 부정 텍스트 확률 : 64.02%"
"[유모카], 부정 텍스트 확률 : 53.29%"
"[웨건까지 두루 써본상태로 쌍둥이유모차 만은 절대 사지 않을꺼라고 다짐하고 거들떠도 보지 않았다둘째가 어릴땐 디럭스아기띠 조합으로둘째를 디럭스태우고 첫째를 걸리거나첫째가 징징거리면 첫째를 유모차에 태우고 둘째를 아기띠 해서 다녔는데둘째가 점점 커가면서 아기띠가 너무 버거워져 레카로유모카 조합으로 둘째를 유모차 태우고 첫째를 유모카 태우고자 했으나첫째의 불타는 질투로 지가 유모차 탄다고 했다가 유모카 탄다고 했다가 그저 동생이 타는건 다 자기도 탄다고..ㅠㅠ신랑이랑 같이 외출하면 그래도 어찌어찌 케어가되지만 혼자는 진짜 너어무 힘듬..이래선 안되겠다 싶어서 결국 쌍둥이 유모차를 알아보게 되었다..빼그빼레고 북포투], 부정 텍스트 확률 : 99.97%"
"[집에 택배 오자마자 바퀴 조립해서 펼쳤다두자매는 벌써 신남디럭스는 이미 처분하고 집에 있는 레카로와 사이즈 비교하니 쌍둥이유모차 치고 진짜 작다가로길이 센치 밖에 안된다니 이거지 바로 ], 부정 텍스트 확률 : 91.97%"
"[ 쌍둥이 유모차 베이비조거 더블시티투어 실구매 후기 ], 부정 텍스트 확률 : 53.29%"
"[ 쌍둥이 유모차로 한참을 찾았는데], 부정 텍스트 확률 : 63.71%"
"[ 안그래도 쌍둥이 유모차 찾아 볼때 마다 다 너무 커서 다들 잘 못 쓴다고 하고 차량 트렁크에 넣기도 힘들고 엄마 혼자 펴고 접기도 힘들어서 찜찜해서], 부정 텍스트 확률 : 89.19%"
"[팔목 나가는데 애들한테도 안좋을텐데 걱정 많이 했는데], 부정 텍스트 확률 : 94.18%"
"[ 또 맘카페 및 지인의 한결같은 의견은 일단 편의성을 기반으로 한 안정성인데 이부분은 특히 아가도 엄마도 안심안심 됩니다], 부정 텍스트 확률 : 69.17%"
"[ .?애기야애기야.?베이비조거베이비조거.?쌍둥이유모차쌍둥이유모차.?휴대용쌍둥이유모차휴대용쌍둥이유모차.?절충형쌍둥이유모차절충형쌍둥이유모차.?시티투어더블시티투어더블.?북포투북포투 .?애기야애기야 ], 부정 텍스트 확률 : 91.72%"
"[ 베이비 시티투어더블 유모차 후기 ], 부정 텍스트 확률 : 53.29%"
"[ 헤이즐 수아 개월 육아일기새 유모차 베이비조거 시티 셀렉트 럭스 후기 ], 부정 텍스트 확률 : 53.29%"
"[배를 깨끗하게 씻어 조각낸 다음 물을 자작하게 넣고불에 시간 정도 끓이면 배가 뭉근해지면서 노란빛으로 변한다.끓인 배를 체에 걸러내 달콤한 배즙을 아기에게 먹이면 감기가 금방 떨어진다. ], 부정 텍스트 확률 : 92.41%"
"[한 입 먹고 입으로 숨쉬고보는 엄마가 힘들다 힘들어 ㅠㅠ ], 부정 텍스트 확률 : 68.44%"
"[아직 이는 딱 개뿐이지만열심히 치카치카해야지용양치할 때도 코감기 때문에 숨 한 번 쉬고 치카 한 번 하고울 애기 힘들다 힘들어 ㅠㅠ ], 부정 텍스트 확률 : 67.20%"
"[이것도 궁금하고 저것도 궁금하고다 입에 넣어볼거야ㅋㅋㅋ대체 구강기는 언제 끝나는거죠? ], 부정 텍스트 확률 : 99.56%"
"[코막혀서 별로 입맛이 없던 시기그래도 양치는 잘하네 ], 부정 텍스트 확률 : 82.18%"
"[카시트에서도 잘자고 유모차에서도 잘자는 우리 아가돌아다니기 좋아하는 엄마아빠는 복권당첨이구나담달에 비행기에서도 잘 자줭 ], 부정 텍스트 확률 : 80.67%"
"[시계를 좋아하는 수아를 위해 준비한 시계 장난감초등학교 들어가서도 시간 읽는 법 배울 때까지 유용하게 쓸 듯하다.악기 장난감도 중고가게에서 한보따리 사왔다.장난감은 새거보단 중고로 사서 놀고 다시 기부하고 하면 좋은듯 합니다. ], 부정 텍스트 확률 : 97.49%"
"[간식시간역시 아보카도만 먹네요...ㅎㅎㅎ ], 부정 텍스트 확률 : 55.16%"
"[무국에 밥말아먹이려고 딱 준비해놨는데 ㅠㅠ수아야 너 팔이 참 길구나...카펫 바닥이라 아가가 넘어지면 덜 아프지만음식 흘리는 부분에서는 정말 난감할 때가 많다... ], 부정 텍스트 확률 : 69.44%"
"[코감기도 어느새 똑 떨어지고다시 잘 먹고 잘 놀고 잘 자는 수아 ], 부정 텍스트 확률 : 95.88%"
"[영혼까지 끌어모아 묶어본 삐삐머리또래보다 머리가 짧았었는데 어느새 이만큼이나 길었다.앞머리도 이젠 삔을 안꽂아주면 눈이 답답해보인다. ], 부정 텍스트 확률 : 95.02%"
"[유에스비 꼭 쥐고 주먹밥 먹기그리고 떡실신 ㅋㅋㅋㅋ발까지 달린 우주복 오랜만에 입혀봤는데너무 길쭉해져서 깜놀했다.우주복 입히면 천상 애기였는데 이젠 어린이 느낌 ], 부정 텍스트 확률 : 71.70%"
"[블루베리를 넣고 만든 팬케이크로 아침을 엽니다.팬케이크를 입에도 안대는 분이라 하트 모양으로 잘라줬는데혹시나했는데 역시나 안.먹.음.그래 수아는 빵말고 건강한거 많이 드세여 ㅋㅋㅋㅋ애가 입맛이 할머니 같음 ㅋㅋㅋ ], 부정 텍스트 확률 : 76.76%"
"[주먹밥 점심 냠냠 ], 부정 텍스트 확률 : 53.29%"
"[엄마아빠 서점 구경하는데 이게 왠말ㅋㅋㅋ양말 벗어서 시식중... ㅋㅋㅋ 수아는 못말려 ], 부정 텍스트 확률 : 85.87%"
"[수아의 흔들의자를 들여왔다.사이즈가 아주 딱임 ], 부정 텍스트 확률 : 74.28%"
"[오후에 번 총 번시간시간 정도 잔다. ], 부정 텍스트 확률 : 55.87%"
"[우리는 매일매일 쓰기 좋은 튼튼한 놈 딱 하나만 있음 되기에큰 맘 먹고 구입한 우리의 두번째 유모차정든 첫번째 유모차는 이제 너무 낡아서 다른 분께 보내고폭풍검색 끝에 베이비조거 시티셀렉트 럭스로 결정했다.검정 유모차가 싫어서 이번에는 밝은 회색으로 골라보았는데 정말 맘에 쏙 들었다.아직 확실한 계획은 없지만 언젠가의 둘째를 위한 더블 유모차가 가능한 모델이다.세컨 시트를 별도로 구입하면 앞에 끼워 더블 유모차로 변신 ], 부정 텍스트 확률 : 82.79%"
"[요렇게 ], 부정 텍스트 확률 : 53.29%"
"[이렇게 다양한 포지션으로 사용할 수 있다. ], 부정 텍스트 확률 : 59.77%"
"[소풍갈 때], 부정 텍스트 확률 : 52.70%"
"[수아 간식], 부정 텍스트 확률 : 53.29%"
"[물 넣을 때 유용할 듯 하다. ], 부정 텍스트 확률 : 92.89%"
"[나중에 수아가 저 자리에 타겠지? 히히 ], 부정 텍스트 확률 : 52.01%"
"[아래 보드를 끼우면 세명도 가능 ㅋㅋㅋ ], 부정 텍스트 확률 : 55.23%"
"[세 명? ], 부정 텍스트 확률 : 93.94%"
"[아보카도 요정을 위한 요리책을 도서관에서 빌려왔다.레시피 중 아보카도 김치가 있어서 깜놀 ], 부정 텍스트 확률 : 72.48%"
