"[ 정말 오랜만에 포스팅으로 인사드리네요..블로그 포스팅 못하는동안고객님들께서 정말 많은 문의를 주셨는데 항상 감사드립니다.고객님들의 많은 문의 속에서분명 매입문의 문자], 긍정 텍스트 확률 : 83.59%"
"[ .역시 직접보고 앉혀보니 다르더라구요.. .?아프리카카시트아프리카카시트 . .?아프리카플라디아카시트아프리카플라디아카시트..아프리카카시트를 선택한 이유는 .아이가 편안해 했어요 .그 안에 있는 모든 브랜드의 카시트에 전부 다 앉혀봤는데 아프리카카시트를 가장 편안해 했어요.엄마들은 아기 자세나 표정만 봐도 알 수 있잖아요 ㅎㅎ ], 긍정 텍스트 확률 : 87.30%"
"[ ..그리고.시트가 회전이 되고완전히 눕힐 수 있어요.이거 진짜 좋아요. 바구니형 카시트를 사용하면서 이이가 잠들거나 .혹은 잠들지 않더라도 뭔가 항상 구겨져 있는 .느낌이 들었거든요 ㅋ .정말 불편해 보였어요 ㅠ .아가들은 배를 일자로 펴주는게 좋은건 다 아시죠? 모든 카시트에 다 앉혀봤지만 .그 어떤 카시트도 편하게 각도 조절 .되는건 없었어요 다 찔끔찔끔되요ㅋ.오로지 아프리카카시트만 완전 누울 수 있도록 .각도조절이 되었어요 .저는 이게 가장 마음에 들었어요 .그리고 실제로 수개월 사용해 보니 .역시 가장 마음에 드는 부분입니다 .이거 하나만으로도 구매할 이유가 충분해요. .?아프리카플로디아카시트아프리카플로디아카시트 의 가장 큰.장점이라고 생각해요 ], 긍정 텍스트 확률 : 99.94%"
"[ ... .?아프리카플로디아카시트아프리카플로디아카시트.주변친구들 지인들에게.진짜 추천많이 했어요.사용하면서 너무 만족했거든요. .?아프리카카시트아프리카카시트 덕분에 장거리도.맘편히 다니고 있습니다.아기의 첫 카시트로 정말정말 강추합니다.제 후기가 필요하신 분들에게 도움이 .되었으면 좋겠어요.이상 제가 직접 구매하고 사용한 후기였습니다. ], 긍정 텍스트 확률 : 99.02%"
"[ .진짜 심각한 것은 자동차에서에요. 어른들은 앞에서 에어컨 틀고 앉아있는다지만 아이는 뒤에서 카시트에 앉아 에어컨 바람 제대로 오지도 않고 더워죽는다는 거죠. 에어컨 빵빵 틀었다고 쳐도 등판이랑 머리는 감싸져 있으니 제가 생각해도 너무 답답하고 더울 것 같아요 ], 긍정 텍스트 확률 : 63.56%"
"[ .이거 뭐 카시트가 아니라 한여름 고문시트아닌가..하는.. 생각마저 드는데 장시간 차를 타고 이동해야하는 여름휴가를 앞두고 온유의 등땀띠를 예방해줄 여름 카시트 통풍시트 에어러브를 샀어요유모차 여름시트로도 쓸 수 있다보니 휴가갈 때 진짜 꼭 챙겨야하는 육아 필수템 이에요. ], 긍정 텍스트 확률 : 96.81%"
"[유모차 여름시트 에어러브는 여름휴가 필수품 등극이에요 에어러브의 뒷면 모습인데요.메쉬로 도톰하게 생긴 여름용 평범한 시트같지만 안에이렇게 필터가 달려있네요. 선풍기처럼 날개가 있는것 아닌데 뱅글뱅글 돌아가면서 바람이 나와요콘센트 부분이타입으로 되어 있다보니 휴대용 충전기에 연결해서 가지고 다니거나], 긍정 텍스트 확률 : 90.65%"
"[자동차에 연결해서 사용하면 된다고 해요. 스위치를 보니 단계 단계로 나눠져 있더라구요. 이걸로 울 애기 시원하게 잠도 잘자고 여름 휴가 떠날때도 안심하고 오래 앉혀서 갔으면 좋겠어요 ㅎㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 99.17%"
"[ 최근 저에게 오래된 자동차 한 대가 생겼어요. 저에겐 굉장히 의미있고], 긍정 텍스트 확률 : 50.81%"
"[추억이 많이 담긴 소중한 자동차 방개를 소개할게요. 오래된 자동차이다 보니까 멀리가지 않고], 긍정 텍스트 확률 : 87.35%"
"[집 근처에 마트나 도서관에 갈 때 온유를 데리고 다니려고 아빠차에 있던 커다란 카시트를 가지고 왔더니 뒷자리가 가득 차버렸어요. 물론 저희 둘 말고는 더 탈 사람도 없기에 상관없지만요 레트로 느낌의 저의 주황색 자동차 너무 귀엽죠? ㅎㅎㅎ 년에 태어난 저의 자동차 방개는 나이가 많다보니 뒷자리에는 에어컨이 가지 않고 무지 더워요. 앞자리는 저때문에 에어컨을 틀지 않는데 온유는 억지로 에어컨을 받을 수가 없다보니 무지무지 더운 상황이죠. 제 쪽의 에어컨은 모두 끄고], 긍정 텍스트 확률 : 76.07%"
"[오른쪽 좌석의 에어컨을 모두 온유쪽으로 위로 올려서 뒤로 열심히 보내주려고 하곤해요. ], 긍정 텍스트 확률 : 62.50%"
"[ 카시트에 통풍시트 에어러브를 설치를 해보니], 긍정 텍스트 확률 : 60.69%"
"[다른 시트보다 워낙 두께감이 있다보니까 온유의 앉은키가 쑥 커졌어요 그래서 목이 높아져서 굉장히 불편해 보이길래 잠든 온유의 카시트를 아예 눕혀버렸습니다 아프리카 카시트의 장점이 바로 도 누워서 잘 수 있다는 점인데요. 신생아때 구매하고 눕혀서 사용한 것이 처음이라면 믿으시겠습니까? ㅋㅋㅋㅋㅋㅋ 진작에 눕힐껄 왜 안썼는지 모르겠어요. 온유가 엄청 편하게 잠들었더라구요. 다리쪽이 좁을것 같아서 사실 안눕혀줬었는데], 긍정 텍스트 확률 : 57.52%"
"[ 타보 베이직 엣지 휴대용 유모차에 설치한 여름용 통풍시트 에어러브의 모습이에요. 바를 완전히 빼야만 설치할 수 있다고 해요. 보이는 동그란 구멍에서 등이랑 목에서 바람이 나오는건데요.바람이 생각보다 세지 않아요.은은하게 바람이 나오는데 한 스팟에서 바람이 나오는 거다보니까 세게 나오면 그부분만 시려워지고 다른 부분은 덥잖아요. 오히려 한쪽이 차가워지면 감기걸릴 수도 있고 목부분은 온도에 민감하다보니 등보다 바람이 약하게 나오게끔하다보니까 설계되었다고 해요. 구멍이 없는 곳도 매쉬소재이다보니 자연스레 통풍이 잘 되기 때문에 전체적으로 시원하다고 해요요즘 나오는 카시트 시트나 유모차 시트들도 시원한 매쉬소재로 만들어지긴 했지만 진드기도 점점 쌓이고ㅠ.ㅠ한 곳에 오래 앉아있다보면 열이 올라가서 땀이나고 땀띠도 생기면서 아토피 있는 아이들은 더 힘들어 하기 마련이잖아요.그런면에서 통풍시트 에어러브는 정말 아기 키우는 집에게 획기적인 아이템이 되어 줄 것 같아요 여름 휴가 필수템 카시트 통풍 시트 에어러브 강추], 긍정 텍스트 확률 : 59.04%"
"[ 통풍시트 에어러브의 사계절안심필터에요. 이 필터는 개월마다 바꿔주는 게 좋기 때문에 개의 여분필터를 함께 보내주었구요. 무료배송 ], 긍정 텍스트 확률 : 96.71%"
"[배터리의 용량에 따라 그 이상 오래지속할 수 있다보니 그리 멀지 않은 곳까지 산책하거나 왕복으로 다녀올 때까지 사용이 적당한 것 같아요.차에서 내릴 때 보조배터리를 가지고 내리시는거 잊지마세요. 더운 여름에 폭발위험이 있거든요 그리고 가지고 내리셔서 충전을 하시는거에요. 밥먹는 동안 충전해서 유모차에서 또 사용하고ㅎㅎㅎㅎ여행휴가갈 때 정말 필수 인 것 같아요. ], 긍정 텍스트 확률 : 99.14%"
"[ 단까지 켜니까 소리를 듣고 온유가 끄래요. ㅎㅎㅎ 무섭나봐요 소리가 실제로 많이 크진 않지만 조용한 곳에서 아이와 함께 틀어서 그런 것 같아요. 밖에서 생활소음과 함께 하면 들리지 않거든요.작년보다 확실히 더워진 여름 날씨 덕분에 요즘 아주 땀범벅인 온유에게 제일 좋은 육아템이 될 것 같은 에어러브 후기였습니다 ], 긍정 텍스트 확률 : 99.53%"
"[ 안녕하세요 푸른옷소매님께 드림받은 세밀화로 그린 보리 아기그림책 시리즈 를 아기가 너무나 재밌게보고 있어서회원님들께 조금이나마 도움이 될까하여 후기를 올려봅니다.이 시리즈 같은 경우 전 기존에 호호매워와 나도 태워줘를 갖고 있었었는데요 아이가 호호매워를 정말 좋아해서 푸른옷소매님의 드림글에도 손을 들었었어요.호호매워는 배추 무 파 마늘같은 채소가 등장하는 책인데 아이가 제가 호호 혀를 부채질하면서 맵다는 표정을 지으며 읽어주는 부분을 좋아해서인지 계속해서 책장에서 꺼내오는 책이었어요.이번에 드림을 받게된 책은 총 권이었고요], 긍정 텍스트 확률 : 99.84%"
"[강에서 사는 물고기], 긍정 텍스트 확률 : 71.79%"
"[들판에 사는 벌레], 긍정 텍스트 확률 : 50.33%"
"[집 가까이 사는 새 등을 만날 수 있는 시리즈랍니다. 자연이라 하면 아마존 정글이나 아프리카 사파리같은 화려하고 웅장한 자연도 있겠지만 보리 시리즈에서 만날 수 있는 자연은 우리 삶 근처에서 만날 수 있는 자연이라 더 좋은 거 같아요.아이에게 자연을 사랑하는 마음을 심어주고 주변 동식물부터 눈과 마음에 담으며 관찰하는 습관을 길러줄 수 있는 책이라 생각이 들어요.지식전달이 풍부하고 사진이 화려한 실사 자연관찰 책도 좋지만], 긍정 텍스트 확률 : 100.00%"
"[저희 아이처럼 어린 연령의 아이는 많은 지식을 필요로 하는게 아니기에 친근감을 가지고 ... 잔잔한 색감과 상상력을 더해줄 수 있는 여백있는 그림을 가진 이 시리즈도 좋은 것 같아요. . ....?오늘도 정말 재밌게 읽었는데요 오늘 산책을 나가서 비둘기를 봐서인지 새야 새야’에 등장하는 새들을 보며 너무 좋아하더라고요. 근데 아직 어린 저희 애에겐 참새도 짹짹], 긍정 텍스트 확률 : 98.91%"
"[매도 짹짹이랍니다 이외에도 저희앤 호호매워], 긍정 텍스트 확률 : 54.73%"
"[조작북의 성격을 좋아하는 아이는 관심이 잘 가지 않는 책일수도 있고요.좋아하는데 시간이 걸리는 책일 수도 있어요.저희아기도 본격적으로 산책과 여행을 다니며 주변환경에 대한 관심이 커지면서 요 시리즈를 더 좋아하게 된 거 같아요.관심있었던 회원님들께 조금이나마 도움이 되었는지 모르겠어요. 마지막으로 좋은 시리즈 릴드림해주신 푸른옷소매님 다시한번 감사드립니다 ], 긍정 텍스트 확률 : 56.00%"
"[ .주차장은 층까지 사용가능해요.평일이라 층도 .자리가 넉넉했어요..입구들어온쪽으로 가니.반대편 안쪽에 있는곳이 입구였어요ㅜㅜ ], 긍정 텍스트 확률 : 74.76%"
"[ .다시 안쪽 뒤로가서.입구를 찾았답니다. ], 긍정 텍스트 확률 : 50.13%"
"[ ..월요일 정기휴무일 안내에요.월마다 변경이 있을 수 있으니 .가기전에 미리 확인하는게 좋겠네요... ], 긍정 텍스트 확률 : 88.70%"
"[ ..재방문할인도 있네요.. ], 긍정 텍스트 확률 : 86.58%"
"[ .전 소셜로 구매하고.백혀니는 개월전이라.할인받아서 입장했어요.서류는 핸드폰에있는걸로 보여드렸어요.... ], 긍정 텍스트 확률 : 53.48%"
"[ ..입장하고나면.직원분이 주렁주렁하고.인사하는법은 안내해줘요... ], 긍정 텍스트 확률 : 59.70%"
"[ .들어가자마자 .백혀니는 겁이 좀 많은편이라.조금 무서워했어요..직원분이 동물소개를 해주시는데.백혀니 달래느라.기억나는건.아프리카뻐꾸기.생각나네요.ㅋㅋㅋ.. ], 긍정 텍스트 확률 : 95.32%"
"[ ..거북이 먹이주기체험.직원분이 친절하게 도와주시고.잘먹는모습 볼때까지.오래해주셨어요.. ], 긍정 텍스트 확률 : 76.27%"
"[ ..점점 적응이됬는지.흔들다리가 있었는데.혼자 씩씩하게 잘가요.. ], 긍정 텍스트 확률 : 84.92%"
"[ ..아쿠아리움에서도 해봤던.잉어먹이주기 체험.혼자서도 잘해요... ], 긍정 텍스트 확률 : 79.93%"
"[ ...짹짹이 먹이주는 곳에서도.직원분이 잘도와주셔서.먹이체험 재밌게했어요 ], 긍정 텍스트 확률 : 95.28%"
"[ .에디의 친구들.사막여우.너무 귀엽네요 ], 긍정 텍스트 확률 : 89.03%"
"[ ..크리스마스전이라 곳곳에 .크리스마스 분위기가 느껴졌어요.. ], 긍정 텍스트 확률 : 82.45%"
"[ .이곳은 먹이만들기체험 하는 곳이에요.계속있는건 아니고.이벤트시간에만 하는거같았어요.. ], 긍정 텍스트 확률 : 68.99%"
"[ ..마지막 먹이체험을 하고 층으로 올라갔어요. ], 긍정 텍스트 확률 : 75.19%"
"[ .큰놀이터는 이상만 놀 수 있어요. ], 긍정 텍스트 확률 : 54.33%"
"[ ..위로 올라가니 휴식공간이 크게 있어요.. ], 긍정 텍스트 확률 : 50.58%"
"[ ..수유실..다음에 둘째 데리고올때 필요하니. 내부도 확인했어요. ], 긍정 텍스트 확률 : 76.55%"
"[ .입장권에 카페메뉴이 포함되서..전 아이스 드립커피 주문했어요.. ], 긍정 텍스트 확률 : 76.54%"
"[식사메뉴도 있어요 ], 긍정 텍스트 확률 : 70.79%"
"[ 아이들 놀이터에서 노는 모습보면서앉아서 쉬기 좋더라구요 ], 긍정 텍스트 확률 : 79.38%"
"[ 이곳에서 신나게 놀았어요ㅋㅋ ], 긍정 텍스트 확률 : 79.33%"
"[ 미션도장 다찍고 보여주면뱃지 선물로 주셔요주차권도 꼭챙기세요 ], 긍정 텍스트 확률 : 57.23%"
"[ 층 나가는곳이에요백혀니 속도에 따라 빠르게 구경했는데그래도 시간채웠어요ㅋㅋ생각보다 규모가 커서시간보내기 좋은거 같아요제돈으로 직접다녀온 후기입니다 .?하남주렁주렁하남주렁주렁.?주렁주렁주렁주렁.?실내동물원실내동물원.?아이랑함께가기좋은곳아이랑함께가기좋은곳.?아기랑갈만한곳아기랑갈만한곳], 긍정 텍스트 확률 : 99.92%"
"[.◆ 지금 보고있는 상품 바로보기 ◆ ], 긍정 텍스트 확률 : 80.79%"
"[ 아래는 현재 상품의 구매평입니다. ], 긍정 텍스트 확률 : 64.15%"
"[ .. ★★★★★뚝떨어진 기온탓에 방풍커버로는 냉기를 막아주기 힘들것같아 부랴부랴 로켓배송으로 주문했습니다 일단 원단좋고 바느질 탄탄하고 색상도 고급지게 빠졌네요씌워보니 제], 긍정 텍스트 확률 : 98.62%"
"[ .. ★★★★☆고급스럽고 이뻐요 엘솔유모차인데 사이즈도 딱맞고 아주좋아요], 긍정 텍스트 확률 : 57.07%"
"[.▼ 더 많은 구매평 열어보기 ▼ ], 긍정 텍스트 확률 : 55.96%"
"[ 이 포스팅은 쿠팡 파트너스 활동으로], 긍정 텍스트 확률 : 55.11%"
"[일정액의 커미션을 제공받고 있습니다. ], 긍정 텍스트 확률 : 73.48%"
"[ 둘째날은 아이를 위한 일정으로 타이페이 시립 동물원을 가기로합니다마카오갔을때 공휴일이라 팬더를 못봐서 아이가 아쉬워하여 오로지 팬더를 보겠다는 일념으로 선택했어요 조식을 먹고 여유있게 출발했어요ㅡ지하철을 타려다가 살 따님이 찡찡거리면 사탕이나 간식을 줘야하는데 대만지하철은 금지되어있다하여서 그냥 택시를 타기로 했어요ㅡ시저메트로 타이베이호텔에서 택시타고 한 원정도 나온것같아요정확히 기억이 잘 ㅜ기사님한테 마오콩곤돌라 입구에 세워달랬는데 의사소통이 잘안되서 동물원지하철에 내리게되어 조금 걸어서 곤돌라입구로갑니다 꼭 마오콩곤돌라입구에세워달라하세요🛑저희는 곤돌라타고 남문에서 내려 위에서부터 동물들 보면서 내려올 계획이었어요ㅡ 여러후기들 보면서 이방법이 좋겠더라구요ㅡ그리고 유모차는 필수입니다표구입시 이지카드있으면 할인됩니다ㅡ동물원 남문까지 편도대만달러이고 이지카드는 달러할인받아 대만달러 결제됩니다ㅡ동물원입장권도 결제되니 이지카드 있음 좋을것같아요ㅡ곤돌라는 인카드결제되고 명꺼 한꺼번에 안되더라구요ㅡ동물원입장료는 한꺼번에 결제되었습니다ㅡ 저는 이지카드가 장이라 제꺼만 찍고 부모님꺼는 두장 현금결제하고 샀습니다ㅡ아이는 무료였어요ㅡ표를 사고 탑승구에가니 크리스탈 곤돌라에만 줄이 길게서있었어요ㅡ저는 일반 타고싶었지만 아빠가 투명타고싶다하셔서 줄을 섭니다ㅜ 일반곤돌라 개지나가면 투명곤돌라가 개 오더라구요 ㅡ그래서 오래걸립니다ㅜ곤돌라 하나에명정도 타고 가서 저희가족만 하나에 타고갑니다ㅡ...... ......? 본문 이미지...... ......? 본문 이미지타고보니 수풀이 우거져서 투명타는것도 보기좋더라구요ㅡ딸아이가 무서워할것같았는데 씩씩하게 잘탑니다ㅡ재밌어했구요ㅡ첫번째 정거장이 동물원 남문인데 내려세 출구에 바로 셔틀 버스정거장이 보입니다ㅡ 역시 입장료는 이지카드로 결제하고 기다리니 버스가 오더라구요ㅡ 기차처럼 여러개가 연결되어서 기차타는기분으로 즐겁게 갔습니다ㅡ 다음정거장에서 내려서 동물들 구경하기로합니다ㅡ미리 아이들이 좋아할만한 동물구역을 선택하여 가는게 좋을것같아요ㅡ저흰 거의다 돌아다닌듯ㅜㅜ아이는 유모차타고 좋아했지만 어른들은 쫓아다니느라 진을 다 뺐어요ㅜ ...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지파충류관부터 펭귄관 곰 아프리카동물 열대우림동물들까지보고 내려오니 판다가 밑에 있네요ㅡ마침 야외에서 판다가 움직이고있어서 실컷보고 판다관 안에 들어가니 거기도 판다가 있는데 자고있더라구요ㅡ 기념품관으로가서 아이가 집은 인형을 사고 나와서 내려와서 귀여운 코알라도 봅니다ㅡ 운좋게 밥시간때라 열심히 냠냠 먹고있는 코알라를 보았네요ㅡ 그러고는 바로 옆광장이 동물원 정문이었고 시간이 시정도 되어서 늦은점심을 먹으러 택시타고 융캉제로 갑니다ㅡ 택시비 원정도 나온것같아요딘타이펑은 대기줄이 많아서 패쓰하고 까오지로 가서 동파육과 매운삼겹살볶음 공심채볶음을 시켰는데 메뉴선정 미쓰였는지 잘안드시더라구요ㅡ속이 느끼해서 매콤한게드시고싶으시기도 했고 체력을 많이써서 피곤해서 입맛이없으셨다하셨어요ㅜ저도 힘들어서 거의 먹지않았어요ㅜ 아이는택시에서 뻗어 식당에선 유모차에서 내내 잠만잤어요ㅡ동 물 원이 이렇게 사람을 힘들게하는곳인줄은 미처몰 랐어요ㅜㅜ 진짜 넓어요ㅜㅜ배만채우고 바로앞 썬메리펑리수를 사고 중정기념당까지 소화시킬겸 걸어가봅니다ㅡ거리가 얼마안되지만 걸으니 시 분쯤 중정기념당 옆문으로 들어갑니다 ㅡ 유모차있고 어르신들 있으시면 계단올라가지마시고 측면 입구로들어가서 엘리베이터 타세요엘리베이터타고 오니 시 분시되자 교대식이 시작되고 착착 걸어내려가서 국기 게양대까지가서 국기하강식까지 하는거 봤습니다ㅡ중정기념당 교대식 국기하강식 야경까지 볼수있으니 이시간대에 가시면 좋을것같아요...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지...... ......? 본문 이미지또 택시타고 호텔로옵니다 ㅡ 원정도 호텔에서 한국에서 싸온 김치 반찬 햇반 먹고 까르푸에서산 라면이랑 먹었어요ㅡ엄마아빠는 용산사에 한번더 가시고 오면서 야시장 꼬지를사오셔서 먹고 아이는 엄마께 맡기고 아빠랑 저만 화시지에 야시장 발마사지 받으러 갔다옵니다ㅡ저는 압이약해서 별로였지만 아빠는 만족하시더라구요ㅡ], 긍정 텍스트 확률 : 54.06%"
"[ 개월따님 여적 디럭스로 버텼는데이제 안전벨트도 안채워지고....불편하다고안탄대용 ㅜㅜ유모차를 잘 타는편은 아닌데...누가 유모차타고있으면 나도 태워달라고찡찡...해서 ...초경량중에 후기가 젤 좋은걸 주검색하다가 어제는 오프라인 매장들을가봤는데 키로 이하는 파는곳이 없더라구요ㅠㅜ 말괄량이 따님이라 폴딩도 편해야하고...안탄다고 내리면 손잡고 가거나 안고 가면서유모차도 밀어야하고.....에스컬레이터나계단있을경우 들기도 해야하는데키로때 와이업 타보 리안그램 막상 들어보니생각보다 더 무거워서 손목이 안 남아나겠더라구요..... 키로수 초경량 아프리카 매지컬에어가가장 땡겼는데 직구상품에 배송비하면 만원가까인데 잘 탈지 안탈지도 의문인지라....직구라 반품도 어려울텐데 ㄷㄷㄷ이번주에는 기필코 사야지.....마음먹고검색검색 .... 거진 밤새 검색하다 마음에두고있던게 세일해서 냉큼 질렀어요 ...오늘까지만이래용 ...? ...?], 긍정 텍스트 확률 : 79.57%"
"[ ......... ..?....... 본문 이미지역시 호텔이라 강당안도 어느 산모교실보다 고급지네요좌석 하나하나에 투썸의 오렌지쥬스와 생수], 긍정 텍스트 확률 : 84.73%"
"[ ......... ..?....... 본문 이미지엘리베이터 내리면 카시트와 유모차들이 줄지어 있는데..박람회에서 봤던 애들도 있고...브랜드도 다양하게 있었어요아직 강의 듣기 전이라 뭐가 뭔지 아직도 모르는 상태ㅋㅋ], 긍정 텍스트 확률 : 71.96%"
"[ ......... ..?....... 본문 이미지슈퍼라이트 요람설치 모습], 긍정 텍스트 확률 : 51.52%"
"[ 드림해주신 휴대용유모차 핸들링 넘 좋고가벼워서 너무 좋네요힙시트도 새것처럼 좋아요 너무 너무 감사합니다잘 쓰겠습니다], 긍정 텍스트 확률 : 99.96%"
"[아들이 개월에 접어든 지금 생각해보면 참 출산전엔 뭐가 그렇게 필요한게 많았는지 실질적으로 사용한 시간은 정말 찰나였는데 말이죠 ], 긍정 텍스트 확률 : 83.98%"
"[하지만 또 그때는 그렇게 하나하나 사 모으면서 행복감을 느꼈었으니 나빴다고 하지는 않으려구요 ], 긍정 텍스트 확률 : 56.70%"
"[ 유모차는 일단 첫 아이를 가진 엄마들의 로망이잖아요 승차감 좋은 유모차에 우리 아이를 태워서 산책도 하고 쇼핑도 하고이때까지는 우리 아이들이 조용히 쌔근쌔근 유모차 안에서 잠들어있거나 엄마와 함께 바깥풍경을 감상해줄거란 상상을 하죠 하지만 현실은 일단 유모차 승차거부가 있을수있구요], 긍정 텍스트 확률 : 88.17%"
"[승차감 좋은 유모차는 기본적으로 어마어마한 무게를 자랑하죠 한 손에 아이를 들고 한손에 유모차를 드는 일은 콩나물 무말랭이를 먹고자란 우리 동양인 엄마들에겐 사실상 불가능입니다 ], 긍정 텍스트 확률 : 87.35%"
"[저역시 수많은 리뷰를 읽으며 무겁단 후기는 알면서도 눈을 감아버렸던듯합니다 역시 잘빠진 디자인과 시크한 색감 그리고 브랜드에 대한 로망 ㅎㅎㅎ], 긍정 텍스트 확률 : 93.04%"
"[그래서 전 아이가 태어나기도 전에 스토케 스쿠트 멜란지 그레이를 구입했습니다 나름 절충형이라며 스스로를 합리화했지요 ], 긍정 텍스트 확률 : 68.59%"
"[사실 물건은 좋습니다 화려한 핸들링], 긍정 텍스트 확률 : 51.87%"
"[중턱이있는곳에서도 부드럽게 넘어가주고 타이어로 된 바퀴는 신생아일지라도 충격없이 승차가 가능합니다 또한 태워서 나갔을때 보여지는 전체적인 그림도 음 괜찮습니다 ㅎㅎ ], 긍정 텍스트 확률 : 99.27%"
"[입니다잠시 딴길로 샙니다만 김포공항은 정말 좀 많이 개선해야합니다 불과 년까지도 엘레베이터를 이용할수 없거나 수유실도 따로 없었습니다 그래도 요즘은 직원과 함께 직원엘레베이터를 이용하게 해주더군요 저야 그나마 한국말이 가능하니까 묻고묻고해서 이용한다지만 외국인들은 더욱 불편하겠죠 수유실도 좀 멀지만 생겼더라구요 여튼 본론으로 돌아와 이때쯤부터 스토케의 한계를 느끼기 시작했습니다 사실 신생아때엔 안정감이 중요하지만 그땐 사실상 외출이 많지않죠 정작 많이 돌아다니기 시작할때쯤엔 아이도 무거워지고 이동 반경도 넓어지다 보니 점점 스토케의 무게와 부피가 부담스러워지기 시작했어요 또 지하철에서 사람이 많으면 또 죄송하고 ], 긍정 텍스트 확률 : 99.95%"
"[아이가 개월무렵이었던듯], 긍정 텍스트 확률 : 60.24%"
"[ 어느쪽도 장단점은 있으니 잘 판단하셔서 각자의 기준에서 좋은 구매하시길 바랍니다 긴글 읽어주셔서 감사합니다 ], 긍정 텍스트 확률 : 94.30%"
"[ .?스토케스쿠트스토케스쿠트.?스토케스토케.?아프리카매지컬에어아프리카매지컬에어.?아프리카유모차아프리카유모차.?유모차유모차.?김포공항엘레베이터개선하라김포공항엘레베이터개선하라 ], 긍정 텍스트 확률 : 65.39%"
"[첫째때 년생이래저래 꽤 많은 유모차를 사용해 보았다첫 유모차는 출산전 선물받은 아가방 디럭스 유모차], 긍정 텍스트 확률 : 54.79%"
"[ 레카로등 수많은 제품들이 물망에 올랐으나 결국 이노베이션 으로 결정...오랫동안 유모차를 탈것을 감안하여 또 가벼운 것은 아프리카 매지컬에어.가있으니 무게가 조금있더라도 튼튼하고 아이가 잠들어도 눕혔을때 길이가 가장긴것을 찾다보니 바를 눕혀전체 길이가 까지 되는 이노베이션으로 결정내가 원하는 조건에는 가장 맞는다고 생각하여 고민을 거듭한 끝에 구입했는데 실제로 받아보니 기대 이상이다 디자인도 생각보다 예쁘고 핸들링이 좋다는 것이 무슨말인지 알겠구나 싶게 부드럽고 큰 아이가 타도 넉넉하게 좌석도 여유롭다확실히 등받이 각도가 조금 기울어져 있는 느낌은 있는데 우리 아이는 거의 등쪽으로는 기대지를 않고 오히려 앞쪽으로 기대고 있는 타입이라 크게 문제되지는 않을거 같다. 이미 살인 둘째를 위한 유모차... 앞으로도 꽤 오래 잘쓸수 있을거 같아서 마음에 든다 ], 긍정 텍스트 확률 : 98.30%"
"[집에 디럭스 유모차와 차에 넣고 다니던 맥클라렌 퀘스트 유모차가 있었지만...더 가벼운 휴대용 유모차가 필요하여 구입한 아프리카 매지컬에어 .의 엄청 가벼운 휴대용 유모차이지만 이쁘고 편리하여 며칠만에 폭풍만족하게 되었어요.], 긍정 텍스트 확률 : 73.32%"
"[우선 아프리카 매지컬에어 유모차에 관한 설명이예요. ], 긍정 텍스트 확률 : 82.67%"
"[다른 휴대용 유모차와 비교해봤을때 한손으로 핸들링 할 수 있고 기능성 캐노피가 있고], 긍정 텍스트 확률 : 74.34%"
"[주행이 정말 잘되는게 참 좋아요], 긍정 텍스트 확률 : 94.91%"
"[ 그리고 며칠동안 사용해본 결과 여기에 나와있는 장점 외에 또 다른 장점들이 있어요.핸들링 하는 손잡이에 기저귀 가방을 걸어도 유모차가 뒤로 넘어가지 않아요. 또 등받이 각도 조절이 어느정도 되는것도 큰 장점이예요. 아이가 밖에서 잘때 눕혀줄수 있었어요.엄청 큰 박스가 택배로 와서 개봉해보니 요러케등장유모차외에 레인커버가 같이 왔어요.], 긍정 텍스트 확률 : 98.19%"
"[전 세가지 컬러중에 보라 구입유모차를 펴니 이런 모양], 긍정 텍스트 확률 : 66.41%"
"[그리고 무엇보다 울 베베가 정말 좋아해요.요샌 디럭스 안타고 이거 타겠다고 문앞에서부터 실갱이 ㅋㅋ], 긍정 텍스트 확률 : 97.61%"
"[가벼워도 있을 껀 다 있는 아프리카 매지컬에어 전 만족하고 쓰고 있어요.단점이 있다면 동네에서 작은 턱만 있어도 윰차 바퀴를 살짝 들어줘야 하더라구요. 이건 가벼우니 어쩔수 없는듯.가격도 합리적이고 가벼운 휴대용 유모차 찾는 분들께 아프리카 매지컬에어 강추해요], 긍정 텍스트 확률 : 89.05%"
"[ 아프리카 에어리아 유모차 할인 ], 긍정 텍스트 확률 : 59.03%"
"[ 아프리카 에어리아 유모차 ], 긍정 텍스트 확률 : 59.03%"
"[ 금액은 글작성 당시 가격입니다. 꼭 다시한번 확인해주세요 ], 긍정 텍스트 확률 : 86.06%"
"[ 현제 할인율할인 ], 긍정 텍스트 확률 : 57.16%"
"[ 금액은 글작성 당시 가격입니다.구매전 꼭다시한번 확인해주세요 ], 긍정 텍스트 확률 : 83.52%"
