"[휴대용 유모차엘레니어 레니행복한 여자의 육아 이야기 ], 긍정 텍스트 확률 : 89.71%"
"[ 매력], 긍정 텍스트 확률 : 89.33%"
"[물려받아기도했고], 긍정 텍스트 확률 : 50.67%"
"[아기옷한번], 긍정 텍스트 확률 : 60.75%"
"[ 심지어 여기에도 수납이 가능해요.ㅋㅋㅋㅋ유모차에 어디까지 수납해봤니?이러다 진짜 보부상될까봐 관뒀답니다ㅋㅋ이정도면 유모차한대로 캠핑가도 될거같아요 ㅋㅋㅇㅈ?? ], 긍정 텍스트 확률 : 77.53%"
"[ 매력], 긍정 텍스트 확률 : 89.33%"
"[ 지금 짱짱이가 자면서 들고있는 생수통 왕큰 생수통이예요.사진을 보면 느껴지시나요? 얼마나 넓은지?요즘 연연생이나], 긍정 텍스트 확률 : 53.85%"
"[둥이들 짱짱이정도되면 유모차 하나가지고도 많이들 외출하시던데 그러면 조금 비좁아보이진 않을까 생각이 들때가 많았어요.근데 요 장면을 보면서 뇌리를 스친게 일타이피 ㅋㅋㅋㅋ엘레니어로 타면 비좁아보이지 않을꺼같단 생각을 잠시 했었답니다 정말 넓죠?? 넓어서 그런지 더 편안해하는게 느껴지더라구요.], 긍정 텍스트 확률 : 89.79%"
"[ 누었을때 편하도록 발받침 조절도 당연히 기본적으로 가능하구요도로 눕혀도 완벽하게 풀차양가능하답니다.아가가먹던 음료를 식판에 올려놓은거 보이시죠? ㅜ.ㅜ 진짜 너무편해요. 제가 먹던 간식도.. 은행일보다가 살포시 올려놨답니다.. ㅎㅎㅎ 진짜 너무 편해요. 저 식판 알러뷰 ], 긍정 텍스트 확률 : 90.80%"
"[환상적인 핸들링], 긍정 텍스트 확률 : 68.11%"
"[ 그치만 아시겠지만 요즘 왠만한 휴대용유모차들이 이정도의 스펙은 다 가지고 있더라구요. 그 외의 차별화된 스펙을 뽑아뽑아 모아봤어요. ], 긍정 텍스트 확률 : 93.89%"
"[ 퀵폴딩을 떠나서 한손폴딩], 긍정 텍스트 확률 : 59.12%"
"[ 본 포스팅은 업체로부터 제품만을 제공받아 이용후 솔직하게 작성된 후기입니다 ], 긍정 텍스트 확률 : 57.66%"
"[ 안녕하세요 엘레니어 레니유모차 오늘 단하루 할인하고 있어요저 레니유모차 사고 싶었는데 오늘 보니까 무지 착하게 할인해서 ㅎㅎ의심도 되고 실물을 한번도 못봐서 고민중인데가격착하고사은품도 완전 풀 페키지로 주네요 ㅋㅋㅋ 솔직 후기 좀 알려주세요 구매하면 적립금이 만원결국 만원대로 구매이정도면 아주 좋은 조건이겠져 .. ........ ......? 본문 이미지...... ......? 본문 이미지], 긍정 텍스트 확률 : 93.46%"
"[유모차 전문브랜드 엘레니어가 온라인 종합쇼핑몰 에서 오늘부터 일까지단 일동안 브랜드데이 할인전을 진행한다.만나볼 수 있는 제품으로는 현재 엘레니어 제품 중 가장 많은 사랑을 받고 있는 레니 휴대용유모차와 최신 프리미엄 사양을 반영하여 새로이 출시한 세스토라이트 프리미엄 휴대용유모차], 긍정 텍스트 확률 : 99.18%"
"[분리결합형 쌍둥이유모차 티크듀오에 더욱 슬림해진 가로폭과 디테일이 더해진 업그레이드버젼 뉴티크듀오 그리고 가성비와 가심비를 모두 충족하는 인기 유아웨건 크로텍까지 엘레니어의 메인 제품 종으로 구성되었다.엘레니어는 이번브랜드데이 기획전에서 특별할인가와 쿠폰할인], 긍정 텍스트 확률 : 98.16%"
"[적립금까지 파격적인 금액적 할인혜택으로 구성하였고], 긍정 텍스트 확률 : 58.65%"
"[함께 특별 구매사은품과 구매 후 온라인상에 후기를 남기면 참여전원에게 모바일상품권과 가을·겨울철 외출시 필수적인 보온아이템을 추가경품으로 증정하는 리뷰이벤트까지 준비하였다.엘레니어 브랜드 관계자는 완연한 가을을 만끽하기 위한 가족단위의 나들이가 많은 계절이다. 많은분들이 저렴한 가격혜택에 다양한 추가 경품까지 풍성한 혜택에 관심 가져주시면 감사하겠다고 전했다. ], 긍정 텍스트 확률 : 90.60%"
"[ 레니유모차 할인하네요 풀페키지 ㅎㅎ 조건 너무 좋아요 저도 휴대유모차 하나 장만하려고 했는데 좋은기회 사은품도 엄청 많이 주네요 사품평쓰면 방풍커버주고 우수후기는 사품권 줘용 ㅎ맘님들도 함 보셔요 착한 딜 할인행사 같아요.. ........ ......? 본문 이미지...... ......? 본문 이미지], 긍정 텍스트 확률 : 99.85%"
"[ 핫딜방에서 핫햇던 엘레니어레니 이제야 후기쓰네요휴대용유모차는 역시 디자인도중요ㅋ매끈하고 고급져보이는 레니네요가죽핸들에 투명휠에 장바구니도 넓직하니 너무좋으네요사은품도 빵빵하게챙기고 ㅋ무엇보다 티바 유바 호환이 너무매력적이예요유바는 가운데가 열리는게 너무 아이디어ㅋ차양막은 끝부분이 매쉬라 너무 좋으네요 핸들링도 굿아직까진 단점을못찼겟네요...... ......? 본문 이미지...... ......? 본문 이미지엘레니어 유모차추천 엘레니어레니], 긍정 텍스트 확률 : 99.99%"
"[ 엘레니어 유모차라이더퀴니제프 사용후기 ], 긍정 텍스트 확률 : 51.52%"
"[엘레니어 유모차라이더퀴니제프사용후기 ], 긍정 텍스트 확률 : 51.52%"
"[겨울에 구매해서.날이 너무 추워져서 번 시승후 방치..ㅋㅋㅋ ], 긍정 텍스트 확률 : 76.62%"
"[그렇게...겨울내내 방치..ㅋ또 잘 못샀네..자책..ㅋ ], 긍정 텍스트 확률 : 53.37%"
"[날이 따뜻해지면서 다시 연결한 엘레니어 유모차라이더여름되니 활용 굿아파트 단지내는 좋다좋다. ], 긍정 텍스트 확률 : 99.89%"
"[안전띠도 있고], 긍정 텍스트 확률 : 70.79%"
"[ 타고 가다나 엄마 내릴래하고 내려서 뜀박질하고.또 타고 좋다좋다. ], 긍정 텍스트 확률 : 99.12%"
"[가장 최대 단점은. 요거나는 어댑터 구입을 안해서.. 이런 찍찍이로 돌돌돌 말아서 고정하는 방식.그런데 힘이 약해서 그런지 내가 고정하면 금방 풀림.느슨해져서 요리갔다 죠리갔다 흔들흔들함.평지에선 괜찮은데. 아이가 오히려 스릴있어 재미있어함..내리막 내리가다 중심이 흔들려 넘어질뻔함. 아찔신기한건 신랑이 꽉 쪼여고정해주면일주일은 풀리지 않고 짱짱함.근데 나혼자 쁨이데리고 다닐때도 많아서 풀렀다 뺐다 해야하는데정말 귀찮아 죽겠엄.지금와서 어탭터를 사야하나], 긍정 텍스트 확률 : 99.62%"
"[좀 더 버텨볼까 매일매일 고민중ㅎㅎ사실분들은 꼭 어탭터는 추가구매로 추천함.확장형 손잡이도 있는데. 사실 그건 있음 편할꺼 같지만없어도 힘들진 않으니.....그렇지만 어탭터는 꼭꼭 필수 ], 긍정 텍스트 확률 : 94.21%"
"[연년생. 세이하 큰아이를 둔 둘째맘들에게 굿잇템나는 정말 잘 애용중.병원갈때 너무너무 잘 사용함. 이렇게 하고 다니면 모두 신기한듯 쳐다보긴하지만], 긍정 텍스트 확률 : 99.89%"
"[ 기내반입 유모차 엘레니어 세스토라이트 구매후기 ], 긍정 텍스트 확률 : 64.77%"
"[화이트 프레임은 처음 사용해보는데와진짜 실물이 훨씬 이쁘네요? 사진보다 훨씬 이쁨쁨 하얀색의 프레임과 유모차 원단의 컬러가 대비가 대면서더 깔끔해 보여요. ], 긍정 텍스트 확률 : 75.50%"
"[ 꼭 기내반입이여야 했고], 긍정 텍스트 확률 : 59.63%"
"[ 여행가서 안좋은 기억이 트라우마로 ㅠㅠ폴딩과 언폴딩이 어렵지 않은 제품..풀차양막], 긍정 텍스트 확률 : 58.91%"
"[ 원핸들], 긍정 텍스트 확률 : 52.23%"
"[절충형 투핸들사용해봤는데 넘 덜덜덜 승차감도 안좋고 핸들링도 안좋더라고요ㅠㅠ그리고 가벼운 무게감이지만 핸들링과 승차감까지 좋아서두 아이가 모두 사용할 수 있어야 하는.....이런 제약 사항들을 고려해서 결정한게 바로 엘레니어 세스토라이트였어요.지금 보니 굉장히 까다로웠군요 ㅋㅋㅋㅋㅋㅋ엘레니어 세스토라이트는기내반입 유모차 최초로 단계 풀캐노피가 햇볕과 외부의 소음차단을 할 수 있었는데], 긍정 텍스트 확률 : 98.77%"
"[ 안전바 끝까지 차양막이 내려오는 모습 보이시죠?차양막이 짧으면 아이가 유모차에서 잘때 블랭킷으로 덮어 놓고 다니게 되는데], 긍정 텍스트 확률 : 89.20%"
"[점식 안전벨트로 개월수가 낮은 아기들도 안전하게 태울수 있고], 긍정 텍스트 확률 : 89.59%"
"[ 바는 아이가 손으로 잡기도 편하고 안전바의 측면 부분들이 없으니 답답해 하지 않는것 같아꽤 오랜 시간을 타주더라고요 ], 긍정 텍스트 확률 : 69.15%"
"[바를 조절해볼께요발바침대 아래쪽을 보면 제 엄지 손가락이 올라가있는 부분에 버튼을 눌러준 후 바의 방향을 조절할 수 있어요. ], 긍정 텍스트 확률 : 50.49%"
"[뒤쪽의 통풍창은 어마무시하게 커서 여름철에 진짜 좋을것 같은데요 요즘 같은 날씨나 추울때는통풍창을 닫으면 중 수납 주머니로 사용할 수 있어서실용성까지 더해졌어요.통풍창으로 사용할때는 돌돌 말아서 깔끔하게 고정할 수 있고요 ], 긍정 텍스트 확률 : 70.48%"
"[폴딩할때는 바가 캐리어 손잡이 역할을 해요.사실 어깨에 매고 다니는게 편할때도 있지만 아닐때도 있잖아요?아이의 손을 잡고 가거나 안고 갈때는 진짜 아기몸무게유모차무게 기저귀가방무게ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ어깨 뽀사지겠어요 ..이럴때는 캐리어 끌듯이 끌어주면 진심 엄지척척 마음 속 깊이 감동이 올라오요 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 90.21%"
"[엘레니어 티크듀오], 긍정 텍스트 확률 : 51.52%"
"[ ㅠㅠㅠㅠ 하여튼요?.... 앞전에도 다른 유모차를 사용하고 있었는데 너무 너무 초경량이다보니어디 조금 부딪히니 브레이크하나가 고장나고 주행중에도 사실 무게감이 좀 느껴지고 그랬... 근데 제가 임신을 또........ 하다보니까아이둘을 태우고 다니면서그 무게감이 좀 부담스럽더라구요 ㅠㅠ그래서 이번에 엘레니어 티크듀오를......질렀..... ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ 헤헤 아이들 앉는 부분이 좀 높았으면 좋겠어서그런 쌍둥이유모차를 찾다가엘레니어 세스토라이트도 첫째때 너무 잘썼고 그래서 똑같은 브랜드의 티크듀오로 결정했어요 ], 긍정 텍스트 확률 : 94.06%"
"[ 그리고 저는 뚜벅이 엄마이다 보니까 장바구니도 크면 좋거든요근데 티크듀오는 이따시만한 장바구니가 개 ㅋㅋㅋㅋㅋㅋ 아이들 데리고 대형마트도 가능해욥? ㅎㅎㅎㅎ 무엇보다 본체가 안정감이 있어서제가 밀고 다닐때 제힘이 훨씬 덜 들어가서요즘 저희집 최애 유모차랍니다...ㅎㅎㅎ], 긍정 텍스트 확률 : 55.26%"
"[ 옆쪽에 저 회색 동그라미를 누르면 오른쪽 사진처럼 발부분 각도조절 가능해요올리는건 안눌러도 되고 내릴때는 눌러서 내릴수 있어요초간단 아이들 태우고 조작이 어려우면 엄마가 힘들잖아요 ㅠㅠㅠ 그순간 아이가 칭얼거리기라도 하면.. 하...ㅋㅋ 땀삐질..........], 긍정 텍스트 확률 : 89.88%"
"[.의 휴대급 절충형유모차지만없는기능 없이 꼼꼼하게 다 갖춰져 있어서오히려 선택할때 큰 고민 없었던 거 같아요 ], 긍정 텍스트 확률 : 54.78%"
"[ 그리고 핸들부분 완전 고급져요.... 거의 디럭스유모차급 디테일들.... ㅎㅎ 이 손잡이부분도 각도조절이 된답니다 그렇다보니 키가 큰 아빠분들..엄마들두..도허리굽히지 않고 편안한 주행이 가능하다는거..ㅎㅎㅎ ], 긍정 텍스트 확률 : 99.86%"
"[오른쪽은 다 펼쳐준 모습이예요 확실히 차이가 나죠? 밖으로 나오는 다리부분 빼면 거의 다 가려주는 깊은 차양막이랍니다 ㅎㅎ], 긍정 텍스트 확률 : 94.09%"
"[ 그리고 저 두대의 유모차를 연결할 수 있는 요 장치가 있거든요 그래서 이거만 더 있으면 사실 대말고 대도 연결할 수 있다는거 ㅋ.ㅋ쌍둥이유모차], 긍정 텍스트 확률 : 80.34%"
"[연년생유모차로 더할나위 없이좋답니다 ㅎㅎㅎㅎ보시면 번만 모양이 조금 다르죠? 번은 장바구니쪽으로 연결하는거고], 긍정 텍스트 확률 : 78.73%"
"[ 번은 앞쪽으로 연결하는거랍니다엄청 간단해요], 긍정 텍스트 확률 : 54.05%"
"[ 뒷쪽 장바구니쪽으로도 연결 해준 모습이예요 이렇게하면 끝 ㅋㅋㅋ넘나리 쉽다....ㅎㅎㅎㅎㅎ 두개 같은색으로 할까 하다가따로 쓸일도 많을거 같아서다른색으로 한건데 잘한거 같아요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 53.37%"
"[ 연결된 부분도 견고하게 잘 되어 있어서풀릴걱정 전혀 없어요그리고 다시봐도 든든한 넓은 장바구니 ㅎㅎㅎㅎㅎ이전 쌍둥이유모차는 장바구니 기능이에 가까웠기 때문에... 헤헤..... ㅠㅠㅠ], 긍정 텍스트 확률 : 62.97%"
"[ 울애기들 넘나 잘 앉아 있고요 ㅋㅋㅋㅋ 이상하게 둘째는 이정도 크니까유모차를 너무 좋아해요 ........... 안타는거보다야 당연 백번 낫지만 한번 나가서 앉히면 안내려 오려고해서집으로 겨우 데리고 들어오는.......................... ㅠㅠㅠ 너란아이 왜 중간이 없는거뉘 ㅠㅠㅠ], 긍정 텍스트 확률 : 96.79%"
"[ 제가 한손으로 잡고도 주행이 가능해요 물론 두손으로 주행하면 훨씬 편한데 이렇게 찍으면서도 가능할만큼 핸들링도 좋답니다 ㅎㅎ휠 모두 단독 서스펜션], 긍정 텍스트 확률 : 98.22%"
"[더블롤링 시스템으로훨씬 더 부드럽게 주행할 수 있어서 좋아요 바닥의 충격을 잘 흡수해주다보니까아이들도 충격을 덜 받게 할 수 있는 엘레니어 티크듀오 ], 긍정 텍스트 확률 : 95.68%"
"[그리고 제가 폴딩방법을 따로 안찍었는데 폴딩도 넘나리 간단해서 .. 담에는 폴딩을 자세히 보여드려야겠네용 ㅎㅎㅎㅎ 제 컨디션이 허락하길 바라며...ㅋㅋㅋㅋㅋ입덧아 제발 이제 그만하자..ㅠㅠ참고로 두대 연결한 상태에서도폴딩이 가능하다는거 ㅎㅎㅎㅎㅎ진짜 굿굿이여용물론 한대씩도 당연 가능해요 ㅋㅋ 첫째 어린이집 가고나서둘째랑 외출할때 한대만 가지고 나가도 편하고], 긍정 텍스트 확률 : 50.21%"
"[거의 주정도 사용하고 있는데 ], 긍정 텍스트 확률 : 68.99%"
"[사용할수록 만족도가 높아요그럼 전 이만...ㅎㅎ 입덧을 잠재울 방법은.. 잠드는거 밖에 없어서넘나 슬픈........연년생유모차 후기.. 담에 한번 더 쓸게요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 86.34%"
"[몇번 예고 드렸듯이 저희는 올 가을에 제주도 여행을 앞두고 있어요 그래서 알아본 기내반입 유모차 인데요 종류도 많고 후기도 많아 너무너무 많이 고민하고 고른 제품이에요 일단 육아맘들께 직접 사용해본 후기들을 듣고 고르게 된 엘레니어 윙스알파 랍니다 아직 휴대용을 태우긴 불안했는데 절충형이면서도 기내반입이 되는 유모차라 마음에 들었고요 디자인이나 기능적인 부분도 빠지는 곳이 없더라구요 그나저나 요즘은 블로그할라고 사진 찍으면 꼭 저렇게 한번씩 등장해주시네요 ㅋㅋ], 긍정 텍스트 확률 : 99.81%"
"[으하하하 디자인 정말 예쁘지 않나요 역시 전 블랙이 좋은거 같아요 ㅋㅋㅋ 프레임만 봐도 견고함이 느껴지고요 컬러가 올 블랙 완전 오오오오올블랙이라 더 맘에 들어요 바퀴까지 군더더기 없는 정말 깔끔한 디자인이라 무채색 심플 기내반입 유모차 찾으시는 엄빠라면 엘레니어 유모차 완전 완전 추천이에여], 긍정 텍스트 확률 : 99.81%"
"[신생아부터 사용할수 있는 각도에 앉을수 있는 각도까지 뒷면의 손잡이로 손쉽게 조절이 가능하기 때문에 돌아다니다가 아기가 잠들면 살짜꿍 눕혀줄수 있어 넘 좋고요 ㅎㅎ양 측면에는 안전가드가 있기 때문에 아기를 한번더 안전하게 보호해주며오점식 안전벨트까지 사용하여 더욱 안전하기에 마음에 드는 엘레이너 윙스알파 랍니다], 긍정 텍스트 확률 : 98.61%"
"[바닥 진동을 흡수시키는 앞바퀴 서스펜션과 업그레이드된 볼 베어링은 앉아있는 아기도 편안하고 부드러운 핸들링으로 엄마도 편안하게 해주더라구요 절충형 유모차지만 주행감이 정말 좋아서 놀랐답니다 ], 긍정 텍스트 확률 : 69.45%"
"[장바구니도 정말 넓은데요 요게 확장형으로 벨크로를 이용해 접었다 폈다 할수 있어서 평소엔 깔꼼하게 접어두었다가 짐이 많거나 할때 펼쳐서 쓸수 있는 점도 맘에 들어요 ㅋ], 긍정 텍스트 확률 : 71.12%"
"[자외선에 약한 아가들을 보호할 단계의 풀 캐노피이고요 저는 아기 관찰창이 있는지도 꼭 확인한답니다 ㅎㅎㅎ 주아가 종종 앞보기를 하면 우는 날이 있어서요 아기가 뭐하고 있는지 실시간으로 관찰할수 있어야 하거든요 ㅋ 캐노피는 높낮이 조절까지 가능하던데 그건 사용해보고 다시 리뷰하게 되면 해볼게요 ㅋ ], 긍정 텍스트 확률 : 94.81%"
"[기능을 알면 알수록 똑똑한 윙스알파에요 되게 오래 비교하고 고른 제품인데 마음에 쏙 드는거 있죠 신랑도 디자인도 깔끔해서 아빠가 사용하기도 좋고 기능도 쉬워서 사용하기도 편하다며 마음에 들어한답니다], 긍정 텍스트 확률 : 99.73%"
"[이번 추석 연휴때도 함께 한 엘레니어 인데요 불편한 한복 입고서 긴 장거리 운행에 지친 주아를 위해 중간중간 쉬어가며 다녔는데요 아기가 편안해하니 보는 저도 마음이 한결 가볍더라구요 ㅎㅎ주아는 다리를 쭉 펴고 있는걸 좋아해서 그런지 이렇게 펴주니 정말 편안하게 앉아있는것 같아요 ㅎㅎ], 긍정 텍스트 확률 : 99.72%"
"[측면과 뒤에서 볼수 있는 아기 관찰창도 넓은 편이라 아기가 뭐하고 있는지 졸고 있진 않은지 바로바로 확인이 가능해서 좋고요주아도 앞보기를 하면 엄마 찾다가 우는 경우가 있는데 요기 관찰창으로 종종 엄마가 뒤에 있는걸 확인하고는 안심하는거 같더라구요 ㅎ ], 긍정 텍스트 확률 : 99.20%"
"[안전바도 아기가 잡기 좋은 위치에 위치하고요 부드러운 소재로 만들어져 여러모로 만족스러운 윙스알파랍니다 그나저나 저 귀염뽀짝 손 어쩌죠 휴 ㅋㅋ], 긍정 텍스트 확률 : 59.36%"
"[마지막으로 요건 초 폴딩 게다가 아래 사진 보시면 아시겠지만 셀프 스탠딩도 가능하고 정말 슬림하죠 평소엔 신발장에 저렇게 접어두면 공간 차지도 안해서 정말 좋아요 기내반입유모차니까 다음에 제주도 가게되면 다시 리뷰 가져올게요 ], 긍정 텍스트 확률 : 99.03%"
"[ 초보육아맘 마롤이 휴대하기 편한 “엘레니어 윙스알파” 언박싱 후기를 쓰러 왔어요 ], 긍정 텍스트 확률 : 52.75%"
"[ 택배박스를 개봉하는 일은 언제나 설레이는데... 유모차라뉘 ㅎㅎㅎ 더 설레이네요 박스 버리지 말랬는데... 오늘 분리수거날이라 냅다 갖다 버렸네요.ㅠㅠ 바부팅 시에 본사로 택배로 보내야 가 가능하다고 해요. 다음에 큰 박스 생기면 쟁여놔야겠어염. 흑흑 ], 긍정 텍스트 확률 : 92.23%"
"[ 맨 위에 컵홀더가 들어 있네요 엄... 있어야되는 거에요 꼭 필요하구말구요.육아에 지친 엄마를 위한 커피를 담아야 하니까요. 아기 빨대컵 아니구요ㅋㅋ], 긍정 텍스트 확률 : 94.37%"
"[ 유모차하면 바퀴죠 충격을 흡수해주는 스프링서스펜션이 앞바퀴에 장착되어 있네요. 뒷바퀴는 앞보다 크구요. ], 긍정 텍스트 확률 : 88.82%"
"[디럭스 유모차는 물려받은 거라 유모차 아래에 장바구니가 없었는데...이거 굉장히 중요해요엘레니어 윙스알파는 키로까지 수납가능한 장바구니도 있어요. 저 이제 장 좀 맘껏 봐도 되죠? ㅎㅎ그 동안 이유식재료 사러 갔다가 장바구니 없어서 제 어깨에 장바구니를 매고 유모차 끌고 온 적 많거든요. 물론 유모차 손잡이에 장착하는 고리도 있지만... 거기에 재료를 잔뜩 실어서 무거운 장바구니를 걸으면 유모차 바퀴에 아래가 닿더라구요.휴 이젠 그럴 일 없네요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 94.12%"
"[ 시트 등받이 부분에 있는 레버를 눌러 시트의 각도를 원터치방식으로 조절할 수 있어요. 처음에는 서툴러서 제가 한 손으로 잘 못했는데... 이제는 아기 앉혀놓고도 조절해 주네요 ], 긍정 텍스트 확률 : 69.23%"
"[원터치 풋브레이크가 장착되어 있어서 발로만 밟아주면 유모차를 움직이지 않게 고정할 수 있어요.기존에 제가 사용하건 퀴라는 브랜드는 한쪽 바퀴 위에 브레이크가 장착되어 있었는데 발로 눌러도 살짝 앞으로 밀지 않으면 브레이크가 고정되지 않아 오히려 브레이크를 사용해야할 좁은 지하철같은 공간에서 브레이크 고정을 못한 경우들이 많거든요.ㅠ 디럭스라 무거운데 온전히 제 힘으로 붙잡고 간 경우들이 종종 있었어요. 하지만 이제는 쉽고 편하게 브레이크를 사용할 수 있게 되었네요 ], 긍정 텍스트 확률 : 76.91%"
"[ 양쪽 어깨부분과 허리 양옆그리고 다리 사이 이렇게 다섯 방향으로 안전벨트가 지나가서 아기를 안전하게 고정해줘요. 어깨끈부분은 등받이에 고정된 부분을 한단계씩 고리에서 꺼내주면 세까지도 쭉 사용할 수 있어요 신생아부터 세까지 사용가능하다고 되어 있는데... 제 생각으로는 신생아때는 요람처럼 등받이를 일자로 다 눕혀놓고 사용하시는 걸 추천드리구요. 휴대용에 가까운 절충형 유모차라 아기가 어느정도 큰 다음부터 사용하시는 걸 더 추천드려요. ], 긍정 텍스트 확률 : 75.97%"
"[ 아기를 태운 모습이에요기존에 사용하던 디럭스 유모차를 옆에 놓고 사진을 찍어 보았어요. 디럭스 유모차에 비해 바퀴부분이 조금 작아지고], 긍정 텍스트 확률 : 52.67%"
"[ .?기내반입유모차기내반입유모차 .?유모차추천유모차추천 ], 긍정 텍스트 확률 : 89.60%"
"[ .?엘레니어윙스알파엘레니어윙스알파 ], 긍정 텍스트 확률 : 51.19%"
"[ 우리딸 활동범위가 아주 넓어지면서 좋은 풍경과 음식 등 좋은 경험 시켜주기 위해 으쌰으쌰 힘을내서 외출 많이 하고 있는 요즘인데요 여름휴가때를 위해서 그리고 또 평소 외출 때를 위해서 새로 제가 장만한 휴대용유모차 직접 끌어보고 아이 태워보고 남편없이 폴딩과 트렁크 싣기 등 이런저런 사용 경험을 바탕으로 생생한? 후기 소개드려봐요 이름하여], 긍정 텍스트 확률 : 86.33%"
"[기내반입 유모차 엘레니어 티크미니 ], 긍정 텍스트 확률 : 51.52%"
"[ 우리딸 집에서는 낮잠시간 되어서 자기 침대에 눕히면 재워주지 않아도 혼자서도 잘 자는 아이에요하지만... 외출하면 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어찌나 호기심도 많고 에너지가 넘치는지잠을 이겨내고 놀고싶고 돌아다니고 싶고 먹고 싶고 그런가봐요 그래서 외출때 차에 항상 편하고 가볍게 들고 다닐 수 있는 그런 휴대용유모차가 필요했어요 ], 긍정 텍스트 확률 : 95.70%"
"[ 잘 걷는 우리딸이지만 외출해서 낮잠시간이 된다거나자기도 다리가 쫌 아픈지 ㅋㅋㅋㅋㅋ 안아달라고 할 때그래서 외출해서도 꼭 필요한 휴대용유모차 보통의 유모차 부피가 작나요 무게가 가볍나요..유모차가 짐짝이 되지 않게 정말 실용적으로 제대로 잘 태우고 타고 다닐 수 있는그리고 요즘 제주도나 해외여행 많이들 가시잖아요아이와 함께 하는 해외여행 필수템 중 하나인 기내반입 유모차 꼭 준비하세요아이를 위해 ... 그리고 꼭 엄마 아빠를 위해서요 ㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.97%"
"[전 요즘 기내반입 유모차 엘레니어 티크미니덕 제대로 보고있어요 핸들링이 부드러워 딱 잠와 할 때 유모차 태워서 몇 바퀴 돌아준 다음 스르륵 각도조절 해 눕혀주면 아늑하고 편안한 우리딸 외출 휴대용 간이침대 완성 ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 95.32%"
"[외출시 유모차에서의 낮잠시간 제대로 꿀잠 잘 수 있게 도와준답니다 ], 긍정 텍스트 확률 : 65.43%"
"[ 디자인 예술이죠저도 직접 보고 사용해보고 또 사진찍어보고다시 사진을 보니 ㅋㅋㅋㅋㅋㅋ 유모차 라인 제대로 잘 빠졌다 싶어요], 긍정 텍스트 확률 : 99.33%"
"[이렇게 햇빛 제대로 가려주는 유모차 보셨나요..? 전 못 봤어요 ㅋㅋㅋㅋㅋ 그래서 너무 마음에들어요 ], 긍정 텍스트 확률 : 98.93%"
"[ 등받이 각도조절은 끈으로 된 버클로 스르륵 안겨서 잠든 아기 침대에 내려놓는 듯한 느낌으로 눕힐 수 있어요], 긍정 텍스트 확률 : 50.73%"
"[.의 초경량무게에 폴딩을 하게 되면 밖에 안되는 폭으로슬림해서 기내용 유모차 딱이라 새로 준비한 엘레니어 티크미니어깨끈이 있어서 정말 편하게 들고 다닐 수 있어요 전 어깨에 요 엘레니어 휴대용유모차 매고 우리딸 안고 주차장을 오르고 내린답니다 ㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 82.80%"
"[고급짐 제대로 묻어나는 가죽패턴의 원단 캐노피는 보기도 좋고 관리도 쉬워요], 긍정 텍스트 확률 : 84.98%"
"[ 매쉬소재의 안심보기창이 있어 이렇게 아이가 잘 앉아있나 잘 자고 있나 확인도 가능해요], 긍정 텍스트 확률 : 68.35%"
"[투핸들 양쪽의 손잡이는 그립감 최고 ], 긍정 텍스트 확률 : 78.81%"
"[ 편한 주행 핸들링이 가능하려면 바퀴도 중요하잖아요 앞바퀴는 방향을 자유자재로 바꿨다가 일자로만 주행 가능하도록 했다가 고정 할 수 있는 레버가 있고], 긍정 텍스트 확률 : 72.62%"
"[뒷바퀴는 발로 쉽게 고정할 수 있는 원터치 브레이크가 있어요 울퉁불퉁한 길에서 충격을 완화 시켜주는 서스펜션까지 완벽하다니까요 ], 긍정 텍스트 확률 : 95.04%"
"[장점이 너무 많아서 다 쓰지도 못 했...ㅋㅋㅋㅋㅋ기내반입 유모차 종류가 워낙에 많아서 어느 브랜드가 좋을까 고민 하시는분들 참고하셔라고 후기써봐요외출 땐 늘 항상 함께하는 유모차라 제 일상에서도 종종 소개드릴께요 ], 긍정 텍스트 확률 : 89.23%"
"[오랫만에 집에 둥이들 큼직한 물품이 들어와서 후다닥 정리.아가들 일상 및 여행 이야기도 밀린 게 한가득이지만], 긍정 텍스트 확률 : 50.46%"
"[ㅎㅎ엘레니어 티크 듀오는 이미 우리집에 온 지 백만년.......예전에 이미 정리해 둔 윰차 후기부터 먼저 후다닥 올림. 쌍둥이 유모차 장만. 헤헤. ], 긍정 텍스트 확률 : 59.18%"
"[ 제각각 움직이는 두 대를 컨트롤 하느라 내 손목은 아작이 남.....시큰시큰...ㅠㅠ여행이 잦은 심쿵네는], 긍정 텍스트 확률 : 86.52%"
"[ 엘레니어가 가장 수월했음. ㅎㅎㅎ ], 긍정 텍스트 확률 : 89.95%"
"[딱히 설명서 보지 않았는데], 긍정 텍스트 확률 : 51.97%"
