"[안녕하세욥쩡수연이 짜누엄마에요♡ ], 긍정 텍스트 확률 : 76.24%"
"[아연 뿐만 아니라 비타민도 가득하네요포장도 포씩 나눠서 있는것도 편하고 좋아요냄새도 심하지 않고 맛도 강하지 않아서물에 타서 주는데도 잘 먹네요.ㅎㅎ상세정보 아래링크 참조 ], 긍정 텍스트 확률 : 76.31%"
"[식품의 유형], 긍정 텍스트 확률 : 52.07%"
"[주일동후디스 강원도 춘천시 동내면 거두단지 길 ], 긍정 텍스트 확률 : 52.19%"
"[원재료명 및 함량], 긍정 텍스트 확률 : 52.23%"
"[일동후디스 베이비서로 이웃신청 틈틈히 확인하고 있으니 거리낌 없이 신청주시기 바랍니다위 상품의 가격과 할인 정보는 언제나 변동될 수 있다는 점을 참고해주시기 바랍니다이 포스팅은 쿠팡 파트너스로부터 일정액의 커미션을 대가를 받고 작성된 광고입니다. ], 긍정 텍스트 확률 : 82.27%"
"[.?일동후디스일동후디스 의.?산양유아식산양유아식 인.?산양분유산양분유 로영양을 보충하고 있습니다.감기로 인해 열도 나다보니자주 씻겨서 열도 떨어뜨리기도 해요.그러나 자주 씻으니 피부가 건조해질까봐걱정이 되었는데 .?후디스산양발효유스킨케어후디스산양발효유스킨케어 인 .?베베랩베베랩 이 있어서 안심이였어요이제.?산양스타즈산양스타즈 인 제가.?체험단이벤트체험단이벤트 로이번 달에 받은.?고보습베리어베이비마사지오일고보습베리어베이비마사지오일에 대해 소개해드릴께요], 긍정 텍스트 확률 : 98.71%"
"[.?후디스후디스 전용종이박스에 잘 동봉되어 도착했어요.푸른지구를 위해 종이완충제 및 종이테이프 사용을해주시면 고맙겠습니다], 긍정 텍스트 확률 : 50.70%"
"[.?산양유아식서포터즈산양유아식서포터즈 로서 기존의.?산양유아식산양유아식 은아래의 링크를 클릭해보세요.? 의.?산양유아식산양유아식.?분유추천분유추천 드려요 ], 긍정 텍스트 확률 : 68.31%"
"[.?후디스베베랩후디스베베랩 중에서 고보습 .?베리어베이비마사지오일베리어베이비마사지오일 이예요. ], 긍정 텍스트 확률 : 87.59%"
"[ 위의 스티커를 제거하고 뚜껑을 열어보았어요. .?베베랩고보습베리어베이비로션베베랩고보습베리어베이비로션 같은 용기면 좋은데아니라서 약간 아쉬워요. ], 긍정 텍스트 확률 : 69.53%"
"[.?육아맘육아맘 으로서 아기가 샤워 후에 바로 바르면거의 물과 같이 묽어서 텍스쳐가 좋답니다.향도 시원하니 산 속에 온 느낌이더라구요. ], 긍정 텍스트 확률 : 93.38%"
"[.?맘스타그램맘스타그램 에도.?베베랩베베랩.?고보습베리어고보습베리어 .?베이비마사지오일베이비마사지오일 에 대해 알려드려야겠어요.아기와 엄마를 위해.?.?후디스후디스 에서좋은 제품을 만들어주셔서 고맙습니다], 긍정 텍스트 확률 : 99.44%"
"[안녕하세요 라라루루입니다.이제 개월이 되는 우리 아들이 열심히 먹고 있는 비오타민을 소개해드릴께요.듀락 제품을 먹이다가.. 약간의 두드러기 반응이 있어서 다시 비오타민으로 돌아왔어요.신생아부터 지금까지 별탈없이 무난하게 잘 먹고 있는 제품입니다. ], 긍정 텍스트 확률 : 99.67%"
"[영양프로바이오틱스와 초유], 긍정 텍스트 확률 : 57.21%"
"[ 뚜껑을 열어보면 분유처럼 은박으로 한번 더 포장되어 있어요.깔끔해보여서 좋네요. ], 긍정 텍스트 확률 : 79.05%"
"[ 빼곡아게 들어가 있는 일동후디스 비오타민유산균을 신생아부터 먹여야한다? 어릴때는 스스로 유산균을 만들게 굳이 먹일 필요없다??살짝 고민이 되었지만 장이 건강하고 장내세균이 많아야 면역력도 강해지기 때문에 저는 신생아때부터 챙겨 먹이고 있어요.대신 과하게 먹이지 않고 약간 적게 먹이는 편인 듯 해요.신생아유산균], 긍정 텍스트 확률 : 85.86%"
"[소화효소는 물론 성장을 위한 비타민과 미네랄], 긍정 텍스트 확률 : 56.02%"
"[ 정장과 소화를 위한 비피더스와 유산균], 긍정 텍스트 확률 : 54.07%"
"[유당분해효소인 락타아제가 함유되어 있어요.또한 튼튼 영양을 위한 아연과 칼슘], 긍정 텍스트 확률 : 86.71%"
"[회 포씩 먹이면 된다고 하는데 저는 아침에 일어나서 첫 분유에 한포], 긍정 텍스트 확률 : 65.44%"
"[아기유산균 비오타민로켓배송으로 주문하면 다음날 바로 받을 수 있어서 좋아요.포인데 가격도 ], 긍정 텍스트 확률 : 90.30%"
"[.아이들 꿀피부 만들어주기 아이들이 씻고 나온 후에 로션], 긍정 텍스트 확률 : 59.93%"
"[스틱밤도 판매를 하더라구요. 일동 후디스에서 나온 제품이니 기대감이 높아지더라구요 ... ], 긍정 텍스트 확률 : 64.88%"
"[ 그리고 유해성분인 페녹시 에탄올], 긍정 텍스트 확률 : 60.73%"
"[색소 등 가지 성분과 합성한 계면활성제나 원료가 전여 함유되지 않은 완전 천연 유래 오일이에요. ], 긍정 텍스트 확률 : 96.84%"
"[오일 함께 사용하는 후기로 돌아올게요], 긍정 텍스트 확률 : 60.10%"
"[.카페나 맛집 리뷰도 좋지만.요새 이런 실생활리뷰?도 쏠쏠 ㅎㅎ..매일 커피를 마시는데.아메는 안마셔서....바닐라라떼를 주로 마시는데 .또 먹을거면 맛있는거 먹자 주의라.할리스나 스벅에서만....커피값도 장난없고 멀기도 하고.그래서 여러개를 구입해봤다..생각보다 괜찮은데?.추천순으로 써볼게연 ㅎㅎ... 할리스 바닐라딜라이트 개당원 ], 긍정 텍스트 확률 : 86.20%"
"[ .후 역시 바닐라는 할리스야.카페 바닐라라떼는 할리스커피빈이디야 를 좋아하는데.이디야에서 나온 스틱 먹어봤다가 좀 실망한 기억이 있어서 안살까하다가 그래도 사봤다.나온지도 몰랐는데 커피사러갔다가 매대에 있어서 겟ㅎㅎ.나는 할리스매장에서 구매했지만], 긍정 텍스트 확률 : 86.14%"
"[ .한박스에 개 들어있고 그래서인지 젤 저렴.그런데 또 살지는 모르겠다.맛있다는 아니고 먹을만 하다 정도..아 엄청 유익할줄 알았는데 쓰다보니 별거없는거같은 기분...이 많은 커피들을 내 방 구석에 숨겨놨는데?.엄마가 보고는 허버 뭐라했다.난 맨날 혼난다 흑흑.그래서 희원이가 그래도 사먹는거보단 낫다며 내편 들어줬다 히히 우리애기🥰🥰. ], 긍정 텍스트 확률 : 98.81%"
"[ 구성은 보솜이 신생아 귀저기], 긍정 텍스트 확률 : 51.21%"
"[임신 수유 가이드 그리고 일동후디스 제품 리스트], 긍정 텍스트 확률 : 70.21%"
"[베베랩 제품 리스트 이렇게 구성이 되어 있어요.분유 회사로 알고 있는 일동후디스인데], 긍정 텍스트 확률 : 92.89%"
"[수유가이드라니 임신.수유 가이드북은 임신시 건강가이드], 긍정 텍스트 확률 : 60.41%"
"[부록으로 구성이 되어 있는데초보 엄마인 저에게 너무 필요한 정보들만 가득한 책자이예요.슬슬 출산준비 해야 하는데 이 책자 하나만 있으면 해결이 될거 같아요 ㅋ ], 긍정 텍스트 확률 : 79.77%"
"[관심 있으신 분은 아래 링크 통해 신청 해 보세요 ], 긍정 텍스트 확률 : 63.57%"
"[안녕하세요. 오늘은 오전에 받았던 선물], 긍정 텍스트 확률 : 54.07%"
"[가쏜다 이벤트], 긍정 텍스트 확률 : 50.30%"
"[ ♡♡♡ 님 ], 긍정 텍스트 확률 : 60.33%"
"[ 보니 산양유아식 분유였다.우와아아개월부터 개월까지 먹일 수 있는 내가 앉고 찍었던 제품 한통이 들어있었다. .?자연방목자연방목프리미엄산양유아식지오필로우만 올 줄 알았던 선물이 가지나일동후디스 최고최고선물 감사합니다.], 긍정 텍스트 확률 : 80.52%"
"[ 예비맘님들 후디스맘 아카데미가서 꼭꼭 이벤트 도전해보세요], 긍정 텍스트 확률 : 92.11%"
"[어제 은평구청에서 열린 후디스맘 아카데미에 참석했다. 집에서 많이 멀어서 갈까말까 고민했지만.. 결과적으로 내가 가본 산모교실 중 가장 많이 도움이 된 산모교실이었다. 그 이유는 수강한 수업이 매우 만족스러워서인데... 이 날은 가지 주제의 수업이 진행되었다.부는신생아 울음소리 에 관한 것이었고부는모유와 분유 에 관한 것이었다.부 모유와 분유는 다른 곳에서 여러 번 들은 수업이라서 크게 새로울 것은 없었지만 모유수유에 관해서는 좀 더 학문적으로 이해할 수 있었고], 긍정 텍스트 확률 : 100.00%"
"[분유에 대해서는 좀 더 자세히 알게 되는 계기가 되었다.그리고 정말 마음에 들었던 건 부 수업이었는데.. 울음소리를 통해 아이의 상태를 파악할 수 있다는 점이 정말 놀라웠다. 수업을 듣기 전에는 좀 뜬구름 잡는 소리라고 생각했었는데.. 수업을 듣고 난 지금은 그게 가능하다는 믿음이 생겼다.하튼 이날 오전 시에는 반은 기대], 긍정 텍스트 확률 : 92.81%"
"[ 강사님이 당시 출연한 방송을 보여주셨는데 아기가 왜 우는지 찰떡같이 맞추는 모습이 어찌나 신기하던지.. 그걸 보면서 나도 사랑이의 울음소리를 잘 파악해서 사랑이가 요구하는 걸 잘 채워주고 싶다는 엄청난 동기 부여가 되었다.강사님은 여러 종류의 아기 울음소리를 들려주고], 긍정 텍스트 확률 : 96.21%"
"[이게 어떤 상황에서의 울음소리인지를 하나하나 설명해주셨다.총 가지의 경우를 설명해주셨는데.. 요약하면 아래와 같다. ], 긍정 텍스트 확률 : 91.31%"
"[손가락을 빤다. 혀끝이 올라가며 말린다.엄마의 젖꼭지를 찾기 위해 고래를 돌리며 운다.방금 수유해도 양이 부족하면 울 수 있다.해결시간에 맞춰서 먹이기보다 아기가 진짜 배고플 때 충분히 먹도록 한다. ], 긍정 텍스트 확률 : 97.88%"
"[ . 피곤하고 졸릴 때반응아우], 긍정 텍스트 확률 : 65.14%"
"[먹고 싶을 때 충분히 먹여야 자다 깨지 않는다.아기 속이 편하게 트림을 제대로 시킨다. ], 긍정 텍스트 확률 : 84.46%"
"[아래에서 위 다 괜찮다.세워 안아서 다리를 움직여 자극시켜 준다. 세워 안아서 엉덩이를 톡톡 쳐주거나 반원을 그리며 엉덩이를 마사지 해준다.동영상은 폰에 ], 긍정 텍스트 확률 : 53.58%"
"[ 부 모유와 분유에 관한 수업도 적어본다.부는 일동후디스 임신육아연구센터 한동령 이사님이 강의해주셨는데... 분유회사에 다니심에도 모유수유의 장점에 대해 처음부터 매우 강조하셨다. 다시 한 번 모유수유가 얼마나 좋은지 생각하게 되었고.. 되도록 꼭 해야겠다고 다짐했다.사실 위에도 적었지만 모유수유 수업을 몇번 들어서 아는 내용이 많았지만... 모유수유를 잘하기 위해 강사님이 강조한 가지는 기억하기 위해 아래에 적어본다.. 자주 수유한다.. 엄마가 질좋은 식사를 한다. 양보단 질이다.. 엄마가 마음이 편해야한다. 모유 분비 호르몬인 프로락틴 엄마가 마음이 편안야 잘 분비된다. ], 긍정 텍스트 확률 : 100.00%"
"[ 자.. 그런데도 모유가 안 나온다면 분유수유 할 수 밖에 없다. 그럴때는 어떤 분유를 먹여야할까에 대한 대안도 제시해주셨다.분유는 크게 소에게서 추출하는우유분유 와 산양에서 추출하는산양분유 가 있는데 엄마의 모유와 더 유사한 것이 산양 분유라고 한다. 그래서 산양분유가 더 비싼거라고.. 피치못하게 분유수유를 해야한다면 강사님은 일동후디스 산양유아식을 추천해주셨다. ], 긍정 텍스트 확률 : 80.02%"
"[ 위 사진처럼 일동후디스 산양유아식을 먹은 아이들은이상이 황금변을 본다고 하니.. 연구가 얼마나 정확할지는 모르겠지만 우리 사랑이도 나중에 황금변을 봤으면 하는 욕심이 생긴다ㅋㅋ ], 긍정 텍스트 확률 : 96.70%"
"[ 또 하나 타 산모교실에서 들어보지 못한 내용은 분유타는 법도 알려주셨다. 국산과 수입 분유는 타는 방식이 달랐다. 수입분유는 물을 용량에 맞게 다 넣은 후 가루를 넣어 섞는다면], 긍정 텍스트 확률 : 65.63%"
"[ 그리고 마지막으로 경품추첨시간다녔던 산모교실에서 한 의 확률로 소소한거라도 많이 당첨되어서 이번에도 기대했지만.. 끝내 번은 불리지 않았다.ㅋㅋㅋ 그래도 엠씨분이 넘 웃기시고 센스있으셔서 경품추첨 시간이 너무 즐거웠다. 진짜 산모교실 엠씨 중에 제일 센스있고 재밌는 분이다. 또 퇴장하면서 받은 전원선물이 있어서 아쉬운 마음이 조금 달래졌다. 왜 분유회사 산모교실을 추천하는지 알겠다. 다른 분유회사 산모교실도 가보고싶다...ㅎㅎㅎ ], 긍정 텍스트 확률 : 100.00%"
"[ 집까지 차로 시간이나 걸렸지만.. 매우 유익한 시간이었다. 후디스맘 아카데미 강추 ], 긍정 텍스트 확률 : 76.61%"
"[ 저희 아기는 . 태어나서 분유도 잘안먹고 분수토도 잘하고 잘게어낸 아기입니다. 이유식 시작했을 땐 다행이도 아기가 잘먹는 편이었답니다.분유보다 이유식을 잘먹었죠일정도 잘크다가 몸무게가 정체되고 첫돌엔 개월동안 키로 찌기 힘들고 그랬네요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ두달전까지만해도 키로 안되더라구요 ㅠㅠㅜㅜㅜㅜㅜㅜ먹는것도 짧고 편식도하고 정말 자주자주자주자주 아픈 아기였아요 입원을 번했음 말 다했죠.. 그리고 주에 한번씩 감기달거살고 완전 항생제 덩어리네요ㅜㅜㅜㅜㅜ다니는 아동병원을 옮겨봤는데 의사선생님이 아기 살을 늘리면서 이렇게 살도없는데 아이가 당연히 자주 아프고 아프더라도 체력이 안되서 못버틴다고 하더라구요ㅜㅜㅜㅜㅜㅜ이렇게도 저렇게도 어찌어찌 먹이려고 해도 안먹고 한다고 어찌해야하냐고 물어보니까일동후디스 하이키드 영양분유를 먹여보라고 추천하시드라고여저만 믿고 무조건 무조건 먹이라더라구요생우유를 먹고있는데 웬 다시 분유?? 라고 생각이 들었습니다물에다가 타서 먹여도되고 생우유에다가도 타서 먹여도된다고 하더라구요하이키드도 맛의 종류가 몇개 있더라구요초코맛], 긍정 텍스트 확률 : 100.00%"
"[ 사과 점심 어린이집 항상 잘먹는다는데 집에선 안먹으니 의심이 ㅋ하원 후 간식사과주스또는 배도라지즙 저녁 밥한그릇 뚝딱 하루종일 안먹은애마냥 먹음 저녁을 제일 잘먹음], 긍정 텍스트 확률 : 94.84%"
"[일 주말에는 우유 에 하이키드 숟가락씩 아침 저녁으로 먹였어요 다 먹든 안먹든 무조건 이렇게 타서 줬네요저희 아기는 그래도 잘먹는 편이었네요두둥 ㅋㅋㅋㅋㅋㅋㅋ 진짜 거짓말 점점 애가 몸무게가 늘어나네요 ㅋㅋㅋㅋㅋ 이주정도 먹였는데 . 그램 찌기 정말 어려운데 오백그램 쪘네요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ현재 일 아직 한달 안됐쥬??몇키로일까요?????ㅋㅋㅋㅋㅋㅋㅋㅋ몸무게늘어서 절로웃어짐어제 병원에서 재보니 .키로네여 ㅋㅋㅋㅋㅋㅋㅋ 저희 아기는 살까지 쭉 먹이라네요열심히 먹여보려구요 혹시라도 도움이 될까 글 남겨보아요....다들 힘내세요ㅠㅠㅠㅠㅠㅠㅠㅠ 일동후디스에서 협찬 받지않고 의사선생님 조언으로 제 돈주고 사먹여본 후기랍니다 ㅠㅠㅠㅠ], 긍정 텍스트 확률 : 99.86%"
"[뉴질랜드에서 자연 방목한 산양으로만 만들었다고 하더라고요우유 안에 다른 지방으로 구성되어 있데요그래서 그런지 아기 응가가 일반 분유 먹였을 때보다 다르더라구요 ], 긍정 텍스트 확률 : 85.22%"
"[한국 개월 정도 지나면 철분이 부족하게 되는데 이 이렇게 가루 철분으로 보충을 해 주시면 좋아요 ], 긍정 텍스트 확률 : 85.11%"
"[일동후디스에 다른 제품들도 참 많아요 아기의 먹거리를 위한 거의 모든 제품들이 있어요가격대는 일반 과자보다 쪼금 더 있어요거진 유기농으로 만들어졌더라구요 ], 긍정 텍스트 확률 : 94.69%"
"[보시면 정말 공부는 미색의 분유가 들어 있어요일반 분유랑은 색깔이 정말 다르더라구요 ], 긍정 텍스트 확률 : 68.09%"
"[한스푼에 물 이에요보통 생후 한달 정도는정도 또는정도 먹어요울 아가는 좀 작게 태어나서 그런지 그것보다는 좀 덜 먹더라구요한정도 먹었던 거 같애요 ], 긍정 텍스트 확률 : 65.29%"
"[모유 먹었을 때보다는 훨씬 더 잘 자더라구요좀 편하긴 한데 그래두 아가한테 제일 좋은 음식 모유 랍니다많이 먹고 아가가 건강하게 쑥쑥 잘 자라 주었으면 하는 엄마의 바램입니다내가 마트에 가서 아무거나 적당한 거 저렴한 거 사오라고 했는데 제일 비싼 걸로 사오더라고요 그래서 아빠도 자기 새끼한테는 아무거나 먹이고 싶지 않은가 봅니다좋겠네 우리 솔아 .?산양분유산양분유.?산양분유후기산양분유후기.?산양분유추천산양분유추천.?분유추천분유추천.?일동후디스일동후디스.?후디스후디스.?분유분유], 긍정 텍스트 확률 : 98.01%"
"[아기와 산모], 긍정 텍스트 확률 : 62.66%"
"[모두에게 좋은 영양만점 산양유아식 엄마가 먼저 경험해보세요 ], 긍정 텍스트 확률 : 98.37%"
"[ 모두에게 좋은 영양만점 산양유아식을 무료로 제공하고 ], 긍정 텍스트 확률 : 95.81%"
"[ 필수해시태그와 함께 직접 체험한 후기를 개인 인스타그램에 공유하면 된다 .우수 작성자 명에게는 일동후디스 유아식 구매 시 ], 긍정 텍스트 확률 : 63.22%"
"[ 일동후디스 공식 인스타그램을 통해 공개될 예정이다 . ], 긍정 텍스트 확률 : 51.49%"
"[트루맘액상분유로 아빠의육아고충을해결해요 트루맘액상분유제품보러가기 ....], 긍정 텍스트 확률 : 79.23%"
"[트루맘액상입니플 개 포함], 긍정 텍스트 확률 : 64.94%"
"[ .. 액상분유], 긍정 텍스트 확률 : 50.56%"
"[ .. 트루맘], 긍정 텍스트 확률 : 77.47%"
"[ .. 트루맘프리미엄액상], 긍정 텍스트 확률 : 73.94%"
"[기대평], 긍정 텍스트 확률 : 58.16%"
"[. 네이버폼에 정보를 남겨주세요], 긍정 텍스트 확률 : 59.20%"
"[ 우리 아기 프리미엄 분유일동 후디스 산양유아식 ], 긍정 텍스트 확률 : 63.69%"
"[우리 아기 쥬♡의 프리미엄 분유 ], 긍정 텍스트 확률 : 85.52%"
"[쥬가 깨아기때부터 먹고 있는 산양분유의 형제격이랄까.ㅎ ], 긍정 텍스트 확률 : 76.02%"
"[일동 후디스에서 나온. 프리미엄 분유 라인이랍니다 ], 긍정 텍스트 확률 : 66.47%"
"[산양원유 유래 자연영양성분 종이 함유되어 있어요 ], 긍정 텍스트 확률 : 84.79%"
"[요즘은. 쉽게 먹을 수 있는 돼지고기], 긍정 텍스트 확률 : 88.20%"
"[닭고기에도 ], 긍정 텍스트 확률 : 61.38%"
"[이 아이들이 행복하게 자라서 행복하게 도축이 된 것인지 아닌지에 대한 말이 많은데요 ], 긍정 텍스트 확률 : 96.32%"
"[세계적 낙농선진국 뉴질랜드에서 사계절 자연방목한 산양원유를], 긍정 텍스트 확률 : 69.81%"
"[주원료로 제조되었답니다 ], 긍정 텍스트 확률 : 56.21%"
"[성분이 강화된 후디스 산양유아식 ], 긍정 텍스트 확률 : 59.05%"
"[완냥의 후디스 산양유아식은. ], 긍정 텍스트 확률 : 62.56%"
"[요즘 쥬가 먹고 있는 산양분유 단계가 개월부터 개월까지인데 비해], 긍정 텍스트 확률 : 62.76%"
"[개월부터 개월까지 먹일 수 있는 산양유아식 ], 긍정 텍스트 확률 : 72.99%"
"[산양유아식을 처음 알고 난 후], 긍정 텍스트 확률 : 56.15%"
"[개월 이후 시작하는 이유식을 잘 먹지 않는 아기에겐 ], 긍정 텍스트 확률 : 77.96%"
"[분유보다 유아식을 하는 것이 열량 보충 면에서 좋아요 ], 긍정 텍스트 확률 : 62.02%"
"[유아식의 존재를 늦게 알아서 아쉽긴 하지만. ], 긍정 텍스트 확률 : 58.78%"
"[우리 쥬는. 이유식 안 줘서 못 먹는 잘 먹는 아기였으니. 뭐.ㅎㅎ ], 긍정 텍스트 확률 : 60.41%"
"[분유와 마찬가지로. 밀봉되어 있답니다 ], 긍정 텍스트 확률 : 87.16%"
"[정량보다 반 스푼 적게 넣었더니 예쁜 빵떡 응아를 보더라구요.ㅋㅋ ], 긍정 텍스트 확률 : 62.72%"
"[그래서. 지금까지. 반 스푼씩 적게 분유를 타고 있답니다.ㅎ ], 긍정 텍스트 확률 : 92.10%"
"[조리원에서 배울 땐. 손바닥 안에서 굴려가며 젠틀하게 섞으라고 했는데.ㅋㅋ ], 긍정 텍스트 확률 : 94.21%"
"[완성된. 쥬의 하루 중 마지막 맘마♬ ], 긍정 텍스트 확률 : 61.23%"
"[엄청 잘 먹음요.ㅋㅋ ], 긍정 텍스트 확률 : 90.34%"
"[성격이. 매우 급함.ㅋㅋ ], 긍정 텍스트 확률 : 61.58%"
"[근데. 배앓이도 하는 것 같고 게워내기도 자주 게워내서. ], 긍정 텍스트 확률 : 57.78%"
"[배앓이 아기에게 좋다는 센서로 갈아탔는데 ], 긍정 텍스트 확률 : 60.76%"
"[단순히. 분유가 맛이 없어도 애들이 그럴 수 있단 말을 듣고. ], 긍정 텍스트 확률 : 51.51%"
"[용용 말이.이건 진짜. 맛이 없어서 뿜어내는 것 같은데? 쇠맛 나 나도 맛없어 ], 긍정 텍스트 확률 : 75.58%"
"[요건. 너무 잘 먹더라구요 ], 긍정 텍스트 확률 : 54.77%"
"[분유 다 먹고 더 먹고 싶다고 우는 것도 요때 첨 봤다뉸.ㅋㅋ ], 긍정 텍스트 확률 : 92.29%"
"[예방접종 후 열이 났던 우리 쥬 ], 긍정 텍스트 확률 : 73.01%"
"[이어서 산양유아식 을 분 만에 클리어한. ], 긍정 텍스트 확률 : 54.10%"
"[예쁘고 착한 내새꾸♡ ], 긍정 텍스트 확률 : 83.90%"
"[아파도 맘마 잘 먹는 우리 아기가 어찌나 예쁘고], 긍정 텍스트 확률 : 94.72%"
"[오늘 완냥이 소개한 우리 아기 프리미엄 분유], 긍정 텍스트 확률 : 86.89%"
"[후디스몰에서 만나보실 수 있습니다 ], 긍정 텍스트 확률 : 63.57%"
"[오늘의 마지막은. ], 긍정 텍스트 확률 : 70.76%"
"[산양유아식 넘 잘 먹어서 요 많은 분유를 어찌하나 고민했는뎅 ], 긍정 텍스트 확률 : 96.91%"
"[제품만을 제공받아 직접 이용 후 작성한 솔직한 후기입니다. ], 긍정 텍스트 확률 : 67.56%"
"[첫 분유 일동후디스 산양분유와 함께 ], 긍정 텍스트 확률 : 73.51%"
"[첫 분유일동후디스 산양분유와 함께 ], 긍정 텍스트 확률 : 73.51%"
"[쁨이 개월], 긍정 텍스트 확률 : 51.21%"
"[일 완모전 혼합때 황금변보고 잘 먹었거든요. ], 긍정 텍스트 확률 : 64.46%"
"[타우린 등이 유래되어 아기의 건강한 성장발달에도 도움을 준데요. ], 긍정 텍스트 확률 : 84.48%"
"[이건 우리 큰애가 찍은거예요.요즘 한참 사진찍기 놀이에 푹 빠져있어요.단유 첫날은 분유거부찡찡찡.시간을 참다 배고픈지 드디어 물었어요. 그런데 고작], 긍정 텍스트 확률 : 52.77%"
"[마는둥단식중인 쁨이 ], 긍정 텍스트 확률 : 66.95%"
"[과자랑], 긍정 텍스트 확률 : 51.44%"
"[과일 줄꺼야.쁨이는 또 억울한지 주먹을 물고.. 으으으윽 ], 긍정 텍스트 확률 : 60.97%"
"[일차예요.드디어 우리쁨이완샸했어요올레 ], 긍정 텍스트 확률 : 58.45%"
"[배가 든든했는지.예쁜모습으로 잠들었어요. ], 긍정 텍스트 확률 : 74.94%"
"[그 모습이 예뻐서 한참이나 자는아이를 보았어요.아고. 기특하기도 하고 짠하기도 하네요.단유..이게 뭐라고 ㅠㅠ ], 긍정 텍스트 확률 : 50.18%"
"[단유 일차우리쁨이 이제 분유타면 흥분해요.분유맛을 알아서인지..이유식을 잘 안먹으려고 하네요.산넘어 산그래도 엄마쭈쭈는 이제 생각나지 않나봅니다.쁨아], 긍정 텍스트 확률 : 63.36%"
"[분유먹고 더 건강해지자엄마랑 앞으로 더 많은 추억만들고쁨이도 엄마도 화이팅 ], 긍정 텍스트 확률 : 98.71%"
"[ 이벤트당첨으로 제품만을 제공받아 체험해보고 느낀바를 작성한 후기입니다. ], 긍정 텍스트 확률 : 68.48%"
"[분유를 먹고 자고 있답니다아이마다 차이는 있겠지만 우리아이는 분유를 넘나 좋아해서 아직 끊지를 못하고 있네요ㅠ일동후디스 프리미엄 산양유아식입니다 ], 긍정 텍스트 확률 : 83.59%"
"[산양유아식 단계는 개월부터 개월까지의 아가들이 먹을 수 있구요성장기용 조제식입니다 ], 긍정 텍스트 확률 : 55.00%"
"[제품엔 산양유 유래 성분과 보강된 성분 등에 대해 표기되어 있어요 ], 긍정 텍스트 확률 : 89.67%"
"[뚜껑을 열면 이렇게 되어 있어요 ], 긍정 텍스트 확률 : 76.54%"
"[일동후디스 산양분유는 스푼이 이렇게 분유 속에 파묻혀 있습니다ㅎ ], 긍정 텍스트 확률 : 84.50%"
"[무엇보다 분유 입자가 매우 작고 부드러워요많은 분유를 먹인 건 아니지만 타사보다 부드럽다는 생각이 들어요 ], 긍정 텍스트 확률 : 83.21%"
"[한 스푼당 입니다 ], 긍정 텍스트 확률 : 65.73%"
"[젖병에 정량의 분유를 넣은 후 잘 흔들어 녹여주면 되요 ], 긍정 텍스트 확률 : 73.19%"
"[ 소화 잘되는 일동후디스 산양유아식으로 개월 아이도 잘 먹고 있습니다업체로부터 제품만을 제공받아 작성한 후기입니다.], 긍정 텍스트 확률 : 97.89%"
"[아직 출산후기도 못썼지만 저희 라봉이가 태어났답니다 ㅋㅋㅋㅋ후딱 밀린 산모일기를 마쳐야겠어요 ㅋㅋㅋㅋ우리 라봉이 자는 틈에 잽싸게 포스팅하기처음에 모유를 못먹이다보니 분유를 타서 줬는데 보통 분유통엔스푼이 들어있더라구요근데], 긍정 텍스트 확률 : 61.01%"
"[ 스푼이 필요한 순간이 꼭 옵니다아무래도 눈짐작으로 주기엔 아기들은 잘못하면 변비나 설사를 유발할 수 있다고해서 스푼을 구할 수 없나 알아봤는데 ], 긍정 텍스트 확률 : 94.58%"
"[분유회사에 전화하면 받을 수 잇는 것 같더라구요그래서 처음에 조리원에서 매일분유를 먹어서 매일분유 먹던게 남아서 고객센터에 전화했더니매일은 오직 웹사이트에서 포인트로만 신청할 수 있다는 대답...포인트 없다고.. 당장 필요한데 애기 보면서언제 포인트 모으냐고... 아놔...... ], 긍정 텍스트 확률 : 63.47%"
"[그래서 일동후디스껄로 당장 분유를 바꾸고 고객센터에 전화를 했어요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 50.27%"
"[고객상담실전화해서분유스푼 받을 수 있는지 여쭤봤어요그랬더니 우편으로 보내주신다고 며칠 걸릴거라고 안내해주시고], 긍정 텍스트 확률 : 64.34%"
"[전화로 첫 주문시 분유 할인받을 수 있는 안내도 해주셨어요개이득 ], 긍정 텍스트 확률 : 53.82%"
"[지금 우리 라봉이가 먹고있는 ], 긍정 텍스트 확률 : 61.51%"
"[트루맘 슈퍼프리미엄 퀸], 긍정 텍스트 확률 : 73.88%"
"[를 타줄 수 있게 되었어요], 긍정 텍스트 확률 : 85.33%"
"[ 분유 스푼 필요하신 분들은 신청하세요근데 왜스푼은 없을까요? ], 긍정 텍스트 확률 : 75.76%"
"[일동 후디스 산양분유를 먹이다 같은 회사인 면역에 좋은 뉴클래스퀸에 관심이 갔다. ], 긍정 텍스트 확률 : 57.46%"
"[일단 초유 성분이 많았고], 긍정 텍스트 확률 : 61.42%"
"[면역에 좋은 방어인자들이 많길래 분유를 또 갈아타게 됐다.....ㅋ ], 긍정 텍스트 확률 : 82.73%"
