"[홀레분유 황금변 직접 겪은 실화.?홀레홀레 .?홀레분유홀레분유 .?황금변홀레황금변홀레사진], 긍정 텍스트 확률 : 73.40%"
"[홀레의 치명적인 단점은 가루가 잘 안녹는다는건데... 물론 충분히 열심히 오래동안 흔들면 다 녹긴 하지만.. 애가 울고 난리난 상황에서 그럴 시간은 보통 없기 마련... 저는 걍 집착 안하고 안녹으면 안녹는대로 먹입니다. ], 긍정 텍스트 확률 : 64.53%"
"[황금응아를 선물해주는 홀레 ], 긍정 텍스트 확률 : 59.16%"
"[ 물 에 스푼을 하면 가 된다. 국내 분유], 긍정 텍스트 확률 : 54.16%"
"[해외 분유 태우기 방법에 대해서 쉽다], 긍정 텍스트 확률 : 77.57%"
"[몰랑 ㅋㅋ], 긍정 텍스트 확률 : 55.95%"
"[ 홀레 분유통으로 선택한 반오픈캐니스터 맘에 드는건 따로 있었는데 단종이었고 이것도 사용해보니 나쁘지 않다. 어차피 분유 한통 먹이는데 시간도 얼마 안걸리니], 긍정 텍스트 확률 : 59.23%"
"[ 딱지의 분유 준비 끝 오오 깨끗해보여 ㅋㅋㅋ], 긍정 텍스트 확률 : 57.35%"
"[ 요즘은 직구나 구매대행이나 비슷한것 같기도 가격도 확실히 저렴하고], 긍정 텍스트 확률 : 80.24%"
"[안녕하세요 이웃 여러분 안젤라씨입니다. ], 긍정 텍스트 확률 : 62.82%"
"[얼마전에 페이스북 응모이벤트 당첨으로 소공동 롯데호텔에서 개최되는 제회 홀레밀크스쿨에 다녀올 기회가 생겼어요 ㅎㅎ ], 긍정 텍스트 확률 : 85.10%"
"[롯데호텔이에요 ㅎㅎ 소공동이라 차가 많이 막힐걸로 예상해서 차를 두고 지하철을 이용했어요.요새 임산부먼저 태그를 가방에 달고 다녀서 그런지부쩍 자리 양보해주시는 분들이 많아서 너무 다행이에요덕분에 편하게 임산부석에 앉아서 갔어요 ], 긍정 텍스트 확률 : 83.73%"
"[오늘의 목적지는 층 ], 긍정 텍스트 확률 : 73.09%"
"[복도끝에 요렇게 생긴 입간판과 함께홀레 밀크 스쿨에 오신것을 환영합니다.요 문구가 저를 반기네요], 긍정 텍스트 확률 : 88.94%"
"[혹시나 해서 초상권 있으시니깐 모자이크를 열심히..ㅋㅋ ], 긍정 텍스트 확률 : 50.02%"
"[그 밑에는 요렇게 홀레 분유에 대해 공부하게 될 소책자가 놓여있었어요.맨 뒷페이지엔 메모를 할 수 있는 칸도 마련되어있구요 ], 긍정 텍스트 확률 : 88.36%"
"[또 뭐가 있나 살펴보니 오늘의 메뉴ㅋㅋㅋ 사실 여기 오고싶었던 가장 큰 이유였달까요..?페이스북에서 보고 검색해보고 갔는데음식이 그렇게 잘나와요 ㅋㅋㅋㅋ너무 맛있어보여서 신청한 것도 있음 ㅋㅋ ], 긍정 텍스트 확률 : 93.62%"
"[정찬 코스로 나올 모양인지 요렇게 정찬식기가 세팅되어있었어요 ㅎ ], 긍정 텍스트 확률 : 75.44%"
"[내 마음도 반짝반짝 ], 긍정 텍스트 확률 : 91.69%"
"[사회자분이 간단한 프리뷰 하신 담에공식수입사 루비노코리아 대표님의 인사말씀이 있으셨어요대표님 ㅋㅋㅋ 수염이 덥수룩하신데 뭔가 뭐랄까....그 중후한 매력이라고 해야하나...요새 말하는 아재미...?그런게 있으신듯 ㅋㅋ 목소리도 너무 듣기 좋은 중저음 ㅋㅋ귀에 쏙쏙 ㅋ ], 긍정 텍스트 확률 : 99.90%"
"[오늘 요걸 타서 어떤 맛인지 먹어보는 시간도 준비되어있다고 해서 기대중], 긍정 텍스트 확률 : 63.95%"
"[설명 듣는 중간중간 여기저기 탐색 ㅋㅋ한쪽에 홀레 유기농 분유 단계가 전시되어있었어요 ㅎ ], 긍정 텍스트 확률 : 82.46%"
"[ 결핍일 경우엔 어떻게 되는지에 대해 자세하게 설명해주셨습니다 ], 긍정 텍스트 확률 : 72.21%"
"[뭐 눌러서 보시면 강의내용이 보이실수도 있어요ㅎㅎ요 내용들은 같이 보면 좋을 거 같아서 열심히 찍어왔어요 ], 긍정 텍스트 확률 : 52.04%"
"[약 한시간동안 열심히 설명을 해주시고 재미있는 이야기도 많이 해주셔서 유익한 시간 되었어요 ], 긍정 텍스트 확률 : 98.95%"
"[그 담엔 루비노코리아에서 나오셔서 분유타는 법을 알려주심완전 경청 ㅋㅋ유기농 분유이기때문에 분유물의 비율로], 긍정 텍스트 확률 : 90.25%"
"[도의 물에 타야최상의 효과를 가져온다는 홀레유기농분유 ], 긍정 텍스트 확률 : 53.05%"
"[모두들 열심히 타보는 중 ㅋㅋ ], 긍정 텍스트 확률 : 75.23%"
"[저도 시작해보겠어요 ㅋㅋ우선 준비를 하고 ㅋ ], 긍정 텍스트 확률 : 59.94%"
"[뜯어서 스푼에 조금 덜어서 먹어봄 ㅋㅋ앜ㅋㅋ 겁내맛남 ㅋㅋ뭔가 달짝지근한것이 너무 달지도 않고 어릴적에 동생 분유 훔쳐먹던 그 아련한 추억이 되살아나는 느낌....?ㅋ ], 긍정 텍스트 확률 : 99.58%"
"[ 도 정도 되는 따뜻한 물을 부어서 천천히 녹여줍니다. ], 긍정 텍스트 확률 : 88.68%"
"[바게트와 신선한 버터 ], 긍정 텍스트 확률 : 87.01%"
"[따뜻한 접시가 나오더니 스프도 한국자 ], 긍정 텍스트 확률 : 95.29%"
"[그리고 스테이크 ], 긍정 텍스트 확률 : 70.21%"
"[함께 나온 샐러드도 챱챱챱♪ ], 긍정 텍스트 확률 : 77.27%"
"[마지막으로 나온 디져트ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 진심이걸 어떻게 먹냐면서한참 바라봄 ㅋㅋㅋ ], 긍정 텍스트 확률 : 66.60%"
"[그리고 엄마라면 꼭 하나 사야 할 젖병브러쉬], 긍정 텍스트 확률 : 85.50%"
"[바디클렌져와 클렌징폼], 긍정 텍스트 확률 : 62.66%"
"[그리고 홀레 유기농 분유 단계 박스이게 제일 비싸겠지...ㄷㄷㄷ생후 개월부터 먹일 수 있는 분유인데], 긍정 텍스트 확률 : 50.17%"
"[루비노코리아 홈페이지에서 분유나 다른 용품을 살 때 사용할 수 있는오만원짜리 상품권 ], 긍정 텍스트 확률 : 63.22%"
"[그리고 대망의 마지막은 식사 후에 진행된 퀴즈시간에 번 문제 맞추고 자랑스럽게 득템한 유기농면 턱받이 센스있게 올해 닭의 해라고 또 엄마닭이랑 아기병아리 그림 ㅋㅋ남자아기 여자아기 다 써도 무방할 노랑색 ㅋㅋ넘나 귀여움 ㅎㅎ ], 긍정 텍스트 확률 : 94.26%"
"[선물도 잔뜩받고 분유도 맛있고 ㅋㅋ아기가 모유수유를 하면 좋겠지만], 긍정 텍스트 확률 : 81.17%"
"[그것도 다 운이라고 하니 ㅠㅠ혹시 아닐 경우를 대비해마음놓고 먹여도 괜찮은 좋은 유기농브랜드 알아둔거 같아서 마음이 든든해졌어요 ㅋ스위스에서 데메터 인증받고 건너온 제품이라고 하고], 긍정 텍스트 확률 : 99.51%"
"[ 뭐 우리나라보다 아기용품에 훨씬 까다로운 유럽기준이니믿을만하다고 봄 ㅎㅎㅎ요새는 뱃속 아가야], 긍정 텍스트 확률 : 82.31%"
"[얼른 나오렴 과아니야... 얼른 나오지마 ㅠㅠ엄마 힘들어...를 왔다갔다 하는나날입니다.엄마되는게 좋다가도 무섭고 걱정되고 그래요.다른 산모교실도 찾아보고 열심히 다녀야겠어요엄마되는 공부 열심히 해야지 ㅋㅋ화이팅입니다이웃여러분도 화이팅 ㅋㅋㅋ ], 긍정 텍스트 확률 : 99.96%"
"[ 베비를 타 줘보는데..과연. 잘 먹어줄지..분유를 딱히 먹는게 없이 골고루 다양하게 자주바꿔요.근데.?압타밀압타밀 은 안먹으려해서...?홀레홀레 도 비슷한 맛인듯 한데.... ], 긍정 텍스트 확률 : 66.73%"
"[ 다행히 잘 먹어요 클리어 했네요그리고 변이♡완전 황금변이예요 변비 생긴다는 후기있던데..다행히 변도 하루에 회 보네요. ], 긍정 텍스트 확률 : 62.76%"
"[그래도 이쁘게 웃으면서 잘 먹어주는 모습보면 고맙죠베비는 좀 특이 케이스라 하더라구요.태어나서 부터 지금 까지..모유도먹고], 긍정 텍스트 확률 : 90.02%"
"[분유도 잘 먹어주네요.당연 이유식도 넘 잘먹어요무럭무럭 건강하게만 커주길 바라며엄마는 분유타러], 긍정 텍스트 확률 : 90.81%"
"[ 신생아 분유수유출산준비물홀레분유 단계내수용홀레 분유통스펙트라 젖병더블하트 젖꼭지 호환베비언스 산양액상분유 ], 긍정 텍스트 확률 : 62.29%"
"[아기가 옆에서 코 자고있네요...ㅋㅋㅋ지금은 바로 엄마의 포스팅 시간입니다ㅋㅋㅋ출산준비하면서 포스팅을 게을리한건 사실입니다...모바일 게임에 빠져있던 바람에...ㅋㅋㅋ리니지 레볼루션...♡그래서 지금 틈틈히 해보려고 합니다ㅋㅋㅋ제가 있던 조리원은 블로그 후기참조 모유수유를 권장하는 조리원이었어요...다른곳도 다 그렇겠죠?ㅠㅠ하지만..저는 출산전부터 쉽지않다는걸 알고...주변에서도 힘든걸 많이 봐 왔고 집에와서 아기를 혼자 봐야하기 때문에 마음을 굳혔었나봐용...ㅠㅠ약 일정도 모유수유하고..조리원 퇴소전부터 단유를 위한 준비를 했습니다...카보크림 추천조리원에서 나오기 전까지는 줄여도 양이 많았는데... 집에와서는 먹는게 시원치 않으니 자동으로 줄었어요...ㅋㅋㅋㅋㅋ그래서 미리 알아봤던 분유 정확하게 말하면 미리 시켜놨던 분유와 젖병들...다들 아시겠지만 홀레분유입니다주변에서도 많이 추천받았었구요...무엇보다 소화도 잘 되고 황금똥...을 본다고 하여...ㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 95.15%"
"[쿠첸 분유포트홀레 분유통모던하우스 파우더 컨테이너 .홀레분유 단계내수용 조화입니다...ㅋㅋㅋ외국분유답게 환율에 따라 변동은 있지만 매일 황금변을 보여주고 있기에 넘 만족중입니다...ㅋㅋㅋ ], 긍정 텍스트 확률 : 87.29%"
"[모던하우스 파우더 컨테이너 .내수용 홀레 분유통으로 딱이에요...ㅋㅋㅋ저도 찾아보고 블로그 추천보고 산건데 짱...종이 잘라서 넣어줬어요ㅋㅋㅋ ], 긍정 텍스트 확률 : 93.51%"
"[깍아낼 수 있어서 분유탈때 정말 편해용ㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 81.11%"
"[마지막으로 잘 먹어줄지는 모르겠으나...외출시에 분유랑 젖병 그리고 보온병을 가지고 갈 수 없으니...ㅠㅠ체험팩으로 주문해본 베비언스 산양액상분유...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ전용니플도 개 들어있네요...저도 아기가 잘 먹어줄지 궁금해요...나중에 추가적으로 포스팅 할게요...ㅋㅋㅋ ], 긍정 텍스트 확률 : 87.50%"
"[ 황금변분유추천 홀레분유 타는법], 긍정 텍스트 확률 : 60.63%"
"[ 어떻게든 다시 황금변을 보게해주고 싶더라구요 ], 긍정 텍스트 확률 : 74.00%"
"[황금변분유추천 홀레 분유 ], 긍정 텍스트 확률 : 79.58%"
"[조리원에선 궁을 먹었고 집에 와서는 병원에서 선물받은 분유가 명작이라 계속 명작을 먹였어요녹변을 보기 시작하면서는 위드맘도 먹여봤는데 별 효과가 없었어요 ], 긍정 텍스트 확률 : 94.66%"
"[홀레 분유는 한번에 ×통을 구입했어요배송료가 비싸서 더 사고 싶었는데인당 까지만 구매할 수 있다고 하네요 ], 긍정 텍스트 확률 : 64.18%"
"[ 분유를 타는 법도 달라요 ], 긍정 텍스트 확률 : 63.90%"
"[저는 도 물에 바로 분유를 타요ㅎ우리 나라 분유는 분유와 물을 합쳐서 총량을 맞추는데홀레는 먼저 물을 정량 넣고 분유를 넣어서 총량은 조금 늘어나게 돼요표에 적힌 숫자는물 에 분유 스푼을 넣으면 총량은 이 된다는 의미에요맨 오른쪽의 숫자는 하루 수유횟수 ], 긍정 텍스트 확률 : 98.60%"
"[요건 사은품으로 온 젖병세정제와 샴푸에요 ], 긍정 텍스트 확률 : 83.11%"
"[분유를 주문하는 김에 바이오가이아 유산균도 함께 주문했어요 ], 긍정 텍스트 확률 : 64.81%"
"[ 홀레 분유통홀레는 분유가 비닐에 담겨 있어서분유통을 따로 준비해야해요저도 네이버에 분유통을 검색해서 많이들 사시는제품으로 분유통을샀어요일본 반오픈 이지락 캐니스터 ], 긍정 텍스트 확률 : 81.89%"
"[그래서 결국은 다이소에 가서 비슷한 크기의 밀폐용기를 저렴하게 사왔어요역시 다이소가 최고홀레 도착한 날부터 바로 먹이기 시작했는데국산분유에서 홀레로 갈아탈 때는 섞어 먹이지 않고 바로 넘어갔어요아무 문제도 없었고 홀레분유를 한 번 먹자마자 바로 황금변을 봤어요사진도 올리고 싶지만 참을게요ㅋㅋ냄새나는 녹차라떼응아는 이제 안녕황금변인 것도 감사한데 거기다살짝 덩어리까지 진넘나 완벽한 응아가♥♥그렇게 달째 홀레와 엄마 쭈쭈를먹으며 일 똥황금변을 보고 있어요], 긍정 텍스트 확률 : 99.82%"
"[독일에서 직구로 사는 우리 아가 분유는 홀레], 긍정 텍스트 확률 : 78.88%"
"[ 개월 모유 수유하고 분유를 잘 갈아탔던 것은 홀레 덕분이다.젖병 거부], 긍정 텍스트 확률 : 54.41%"
"[우리 아가는 변비가 오지 않았고 이유식도 하고 해서 그런지 응가를 싸는 횟수가 오히려 증가했다.신생아 때는 번 정도였다면 지금은 번 정도 싼다. 후기 이유식으로 가면서 ], 긍정 텍스트 확률 : 75.17%"
"[특히 여름에 필수이다... ], 긍정 텍스트 확률 : 68.95%"
"[홀레 단계 먹이는 방법은 도 정도의 물을 먼저 부어주고 분유를 넣어주는 방식이다.우리 아가는 아침엔물을 넣고], 긍정 텍스트 확률 : 51.05%"
"[일단 먹기는 잘 먹고 분유가 매우 잘 녹는 편. 홀레 단계는 먹고 나면 덩어리가 남아있곤 했는데 이마트 스마트 분유는 먹고 나서 남은 게 거의 없음. 이 부분이 이마트 스마트 분유에서 제일 마음에 드는 부분. 대충 흔들어도 잘 녹음.며칠 먹여본 결과 응가 이상무 하지만 냄새가 심해진 느낌 ㅠㅠ 마음에 안드는 점. 움직임이 심하게 많은 시기. 먹고 나서 바로 움직이는 경우 가끔 게워내는 경우가 있는데 그 전까지는 토해도 냄새 나는 경우가 별로 없었는데 이마트 스마트 분유는 토하면 냄새가 상당히 지독. 이 부분 때문에 계속 먹여야하나 싶음. ㅠㅠ 그 외 마음에 드는 점. 일회용 분유 스틱이 있어 외출 시 편리할 것 같다는토 냄새만 빼면 가격대비 아주 만족. 하지만 토 냄새 때문에 다시 갈아탐을 재고하게 됨. ㅋㅋㅋ 그럼 이마트 스마트 분유 후기는 여기까지.], 긍정 텍스트 확률 : 85.19%"
"[ 멘붕의 날], 긍정 텍스트 확률 : 79.08%"
"[ 낭만맨 혼자 계약한거라 집과 정확한위치를 직접보고싶었고], 긍정 텍스트 확률 : 57.95%"
"[물론 치킨과 무알콜맥주로하루만에 원상복귀시킴. ㅋㅋㅋ ], 긍정 텍스트 확률 : 57.36%"
"[육아는 정말 선택의 연속 ], 긍정 텍스트 확률 : 54.86%"
"[건복이도슬슬 이유식을 시작할때가 되어], 긍정 텍스트 확률 : 50.96%"
"[우선 배달이유식은 마지막 보류 ], 긍정 텍스트 확률 : 65.90%"
"[ 젖병 연습을 이유식 시작과 함께 ], 긍정 텍스트 확률 : 68.85%"
"[다시 ], 긍정 텍스트 확률 : 70.83%"
"[특히 단계 ], 긍정 텍스트 확률 : 88.16%"
"[홀레 먹고 녹변봐서 압타밀로 다시 바꿨다까지 ], 긍정 텍스트 확률 : 75.12%"
"[홀레분유 조언가능하신 이웃님들 계실까요? 플리즈 ], 긍정 텍스트 확률 : 50.75%"
"[저는 혼합으로 했었기에많은 양이 필요가 없어서 쿠팡에서 하나씩 사서 먹이고 있었어요. 사랑해요 쿠팡], 긍정 텍스트 확률 : 51.68%"
"[홀레통으로 유명한게 몇개 있는데], 긍정 텍스트 확률 : 67.21%"
"[가격도 만원씩.뭔 분유통을...ㅠㅠㅠ 찾아보니 아주 좋은게 있더라구요 바로 우리의 모던하우스모던하우스에 파우더컨테이너인데 이게 품절상태였었나봐요. 하지만 전 이번에 겟 했지요 호호], 긍정 텍스트 확률 : 97.19%"
"[ 우리 애기가 먹는 홀레분유구요], 긍정 텍스트 확률 : 63.69%"
"[ 이게 좋은점이 안쪽으로 고무패킹이 되어있어서밀폐가 되요 완전 짱], 긍정 텍스트 확률 : 92.81%"
"[ 첫째아이 유치원 보내놓고 부랴부랴서둘러 서울나들이하는 생각으로 다녀온제 회 홀레밀크스쿨.우연히 좋은기회가 생겨 산모교실은 처음이라 궁굼하기도 했고], 긍정 텍스트 확률 : 88.16%"
"[ 이미 다녀온 맘들의 후기에 이끌려두근두근 설레이는 마음으로 다녀왔다. ], 긍정 텍스트 확률 : 96.37%"
"[홀레 사장님과 스위스 본사에서 오신관계자분의 인사와 함께홀레분유에 대해 간략하게 설명듣는 시간을 가졌고 ], 긍정 텍스트 확률 : 98.98%"
"[어디에 좋은지 정확하게 알 수 있는 시간이여서 졸지않고 집중하며 들었던...도움이 많이 되었던 강의시간. ], 긍정 텍스트 확률 : 74.72%"
"[분유 타는 설명도 듣고], 긍정 텍스트 확률 : 75.65%"
"[ 직접 타보고 맛보는 시간을 가질 수 있어 좋았다.스위스에서 오신 관계자분이한국에서 판매되고 있는 제품이 모유에 더 가까워 한국출시 제품으로 딸을 키우셨다기에 더 믿음이 가고 맛있게 느껴졌다. ], 긍정 텍스트 확률 : 89.44%"
"[임산부가 되고나서 더 배고파진 요즘.기다리고 기다리던 점심식사 ㅋㅋㅋㅋㅋㅋㅋ홀레밀크스쿨 산모교실에선요런 점심식사도 대접받을 수 있다. ], 긍정 텍스트 확률 : 98.85%"
"[ 상콤했던 샐러드와 디저트도 그뤠잇정말 남김없이 싸악 먹어치웠다 ㅋ ], 긍정 텍스트 확률 : 65.76%"
"[홀레분유에 대해 궁굼했던 부분에대해알아보는 시간도 갖고], 긍정 텍스트 확률 : 87.79%"
"[ 유기농분유로 알려진 홀레분유에대해 알 수 있는 시간이였다.첫째때는 완모로 분유에대해 무지했는데둘째는 혼합을 생각하고있으니까이왕이면 유기농분유로], 긍정 텍스트 확률 : 73.70%"
"[돌아오는길엔 두손 무겁게홀레밀크스쿨에서 받아온 선물홀레 에코백에 꼭 필요했던 유아용품들이 가득가득잘 사용할께요 ], 긍정 텍스트 확률 : 81.66%"
"[ 그린주변에서는 이 케이스도 작년엔 품절이라 사고 싶어도 못샀다고 하더라구요.저는 운좋게 필요한 시기에 딱 맞춰 개 모두 구매할 수 있었어요. ], 긍정 텍스트 확률 : 63.57%"
"[무엇보다 분유통으로서 이 통의 좋은 점은용량], 긍정 텍스트 확률 : 78.87%"
"[ 락앤락 핸들 스파이스 케이스 추천합니다 구매한 곳은], 긍정 텍스트 확률 : 82.49%"
"[다음번에는 홀레 내수용 구매해서 먹여보고 비교후기 남겨볼게요 이웃님들 날씨가 많이 추워요. 감기조심하세요 독감 예방접종 안맞으신 분들은 꼭 맞으시구요. ], 긍정 텍스트 확률 : 87.53%"
"[ 본 포스팅은 제품을 직접 구매해 사용해본 후 작성한 솔직한 후기입니다.], 긍정 텍스트 확률 : 59.58%"
"[ 산모교실 추천 제회 홀레 밀크스쿨 롯데호텔에서 유익한 강의와 푸짐한 상품], 긍정 텍스트 확률 : 69.28%"
"[바쁜 워킹예비맘이라산모교실 같은건 갈생각도 못했는데], 긍정 텍스트 확률 : 69.12%"
"[ 푸짐한 사음품과], 긍정 텍스트 확률 : 51.41%"
"[럭셔리한 코스요리까지운 좋게 제회 홀레밀크스쿨에 가게되어부푼 기대감을 안고참석하고왔어요 ], 긍정 텍스트 확률 : 70.01%"
"[셋팅되어 있는 테이블에스위스 유기농 분유로 유명한홀레분유 단계 샘플과 함께팜플렛과 펜까지 준비되어 있었어요. ], 긍정 텍스트 확률 : 82.58%"
"[팜플렛 안에는홀레 분유에 대한 설명이아직 예비맘이라 분유 브랜드들이생소했는데], 긍정 텍스트 확률 : 79.64%"
"[제 회 홀레 밀크스쿨의 시작을 알리는홀레분유의 유형무 대표님의 간단한인사말씀이 있었어요이렇게 좋은 자리 만들어주셔서감사해요 ㅎㅎ ], 긍정 텍스트 확률 : 98.71%"
"[첫 시간은 정혜진 약사님의 강의였어요.정혜진 약사님은 어여모 대표약사로 활동중이시고], 긍정 텍스트 확률 : 68.09%"
"[여성 건강을 위한 약사모임 이래요게다가 두아이의 엄마그러기에 더 유익한 강의였던거 같아요. ], 긍정 텍스트 확률 : 66.64%"
"[기초적인 영양소 섭취의 중요성엽산], 긍정 텍스트 확률 : 59.75%"
"[철분제], 긍정 텍스트 확률 : 57.16%"
"[저만 모르고있었나요..ㅎㅎㅎㅎㅎㅎㅎㅎㅎ그래서 수유기까지 꾸준히 먹어주는게 좋다네요], 긍정 텍스트 확률 : 81.78%"
"[정혜진 약사님이 이해하기 쉽도록직접 손그림으로 그리신 것도 있었어요귀여운 손그림에 더 빠져들었던거같아요ㅎㅎㅎㅎㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 92.13%"
"[내가 먹은 음식이 대가 간다 라는음식 섭취의 중요성에 대해서도강의를 해주셨는데요특히 당에 대해서 잘 설명해주셨어요당은 최소한의 영양소로인간이 극한의 상황이 올때포도당을 생성하게 된대요그래서 . 전쟁때..먹을게 부족했던 그 시절을 겪은분이당뇨병에 걸릴 확률이 높다 하더라구요 ], 긍정 텍스트 확률 : 99.82%"
"[아이의 성장발달에 맞춰서도설명해주셨는데요똑똑이에게 똑똑한 식단을 해줘야겠다는의지가 마구 샘솟는 ㅋㅋㅋ잘 할수 있을까요 ㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 91.67%"
"[건강한 임신과 행복한 육아에 대한주제로 약 시간 가량 알찬 강의를 해주셨어요 ], 긍정 텍스트 확률 : 87.11%"
"[그리고 다음순서는홀레 분유타고 맛보기체험 ], 긍정 텍스트 확률 : 75.54%"
"[강의와 분유체험이 끝난후기다리던 식사시간무엇이 나올지 코스가 적혀있는팜플렛도 함께 있었어요 ], 긍정 텍스트 확률 : 95.69%"
"[우아이렇게 럭셔리한 식사대접디저트까지 풀코스품격있는 임산부가 된 기분맛도 너무 좋아서 기분까지 업되네요역시 맛있는거 먹는게최고의 태교인가봐요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 99.87%"
"[집에와서 선물보따리를 풀어보니], 긍정 텍스트 확률 : 69.88%"
"[분유를 먹여야하는 워킹맘에게좋은 테스트제품이 될것같아룰루랄라했는데 이게 왠 ㅠㅠㅠㅠ친구 줘야겠어요......회때보다 사은품이 줄어서 아쉬웠지만후기보고 커진 기대감ㅋㅋㅋㅋ그래도 푸짐한사은품과 함께좋은 경험 하고 왔어요제 회 회 그 이후도성공적이길 바라며 그럼 이만 총총 ], 긍정 텍스트 확률 : 99.79%"
"[천둥이는 엄마 쭈쭈를 거부하는 아이예요.그래도 모유 먹여보겠다며 억지로 억지로 물리고 또 물리고 그러다 결국 어깨에 담이오고ㅜㅜ목도 돌아가지않고 손도 올릴수없는지경에 엄마는 매일 한의원에서 침에 부황에 ....천둥이는 천둥이대로 스트레스에 식사시간은 항상 눈물 바다 ], 긍정 텍스트 확률 : 58.18%"
"[한국분유는 대부분 철통에 이일반적이지만홀레는 종이박스안에 봉지로 담겨져있어요. ], 긍정 텍스트 확률 : 65.24%"
"[분유 타는법은], 긍정 텍스트 확률 : 63.05%"
"[요로케 글로 써져있지만그림으로 이해하는걸로 ㅋㅋ ], 긍정 텍스트 확률 : 56.98%"
"[홀레 프레의경우 개월홀레 단계 개월 전 프레를 먹이고 있어요.가격은 프레가 조금더 비싸요.전 일단 개월 까지는 홀레로 계속 먹일 생각이예요.혹시 아가응아로 걱정하시는분홀레 강추입니다. ], 긍정 텍스트 확률 : 92.36%"
"[할인중인 제품홀레 유기농 분유 단계], 긍정 텍스트 확률 : 64.69%"
"[할인중인 제품 분유 ], 긍정 텍스트 확률 : 64.69%"
"[찾으신 상품은 쿠팡 품목으로 일시 품절이 될 수 있습니다. ], 긍정 텍스트 확률 : 64.24%"
"[★★★★★역시 로켓배송입니다 배송빠르고 친절함까지 조리원에서부터먹었던 분유를 잘 먹기는하나아기가 녹변을 계속 누길래이번에 황금변을 본다는 홀레로바꾸려고 시켰어요 다행히애기가 잘 먹고 황금변을봤다능 물에 잘 안 녹는다는말이 있어서 걱정했는데 분유포트도에 맞추고 녹이니 잘녹더라구요 분유통이 없어서좀 불편하긴 한데 가격도저렴하고 주변에서 좋다구해서.... . ], 긍정 텍스트 확률 : 52.25%"
"[★★★★★앱트 궁아 마더 먹여봤는데녹변에 일이되도 변을못보고 배앓이하길래 유산균도같이 먹여봤는데 별효과강없더라구요산후조리원 동기한테 변비에좋은 분유로 홀레 추천받아서먹여봤거든요하루만에 황금똥싸더라구요대박변도 노랗고무엇보다 변이 엉덩이에 뭍지도않고좋더라구요홀레로 정착한뒤론우리아기 매일 일변 많을땐변까지 보고있답니다진짜홀레분유 짱이에요 강력추천합니다다만 아쉬운건 분유통이 없다는게.... . ], 긍정 텍스트 확률 : 55.87%"
"[이 글은 일정 커미션 광고를 지급받는 제휴 마케팅 광고로 이루어집니다. ], 긍정 텍스트 확률 : 56.43%"
"[안녕하세요 생정쩨입니다오늘은 예비맘이신 분들을 위한 좋은 소식을 전해드리고자 왔는데요 코베가 주관하고 있는홀레밀크스쿨 산모교실이 진행된다고 해요 ], 긍정 텍스트 확률 : 68.05%"
"[홀레산모교실에 참여하기 전 홀레에 대해 알고 참여하면더욱이 예비맘이신 분들에게 좋을 것 같아 소개 드려보아요홀레란? 년 유기농 역사를 가진 유아식 제조업체에요 년 설립된 이래로 홀레 베이비 푸드 에서는높은 품질의 유기농 재료만 사용하고 있다고 하더라고요내 자녀를 위해서는 건강하고 안심할 수 있는 유기농 식품을먹이고 싶잖아요 홀레에서는 단순히 건강한 식품 생산 쪽에만집중하는 게 아니라 어떻게 하면 자라나는 아이들을 위해 지속가능한 환경에 초점을 맞춰 지속적인 연구를 끊임없이 해오고있다고 해요], 긍정 텍스트 확률 : 93.77%"
"[우리나라에서도 홀레 분유를 만나볼 수 있는데요공식 수입을 거친 홀레 분유는 식품의약품안전처의 확인 절차를 거치고대한민국 공식 수입원으로 유명한 루비노코리아에서 제품의 품질에 대한보장과 안전을 책임지고 있기 때문에 안심하고 드셔도 될 것 같아요], 긍정 텍스트 확률 : 92.01%"
"[홀레 스위스 유기농 분유에 대해 충분히 내용을 숙지하셨으니홀레 밀크스쿨에 참여해보시면 혜택이 정말 푸짐하다고 해요예비맘 분들을 위한 전문가 초청 강의라든지 호텔에서 점심 식사뿐만 아니라 참여하신 분들 모두에게 출산용품 선물세트를 드린다하던데 참여만 해도 엄청난 혜택을 만나보실 수 있답니다], 긍정 텍스트 확률 : 97.70%"
"[홀레 밀크스쿨 사전 공유 이벤트와 밀크스쿨 다녀온 후 후기 이벤트도 진행 중이라고 하니까 가시기 전과 후 꼭 해당 이벤트에 참여해보셔서푸짐한 사은품 혜택도 잊지 말고 챙겨 가보세요 ], 긍정 텍스트 확률 : 55.49%"
"[단계 때는 스푼에 총량이 였는데단계는], 긍정 텍스트 확률 : 60.03%"
"[스푼에 이 총량이더라구요계산을 해보니단계는 스푼에이고단계는 스푼에더라구요분유는 첫째날에는 단계 스푼 단계 스푼 씩 해서 늘려갈 생각이에요홀레 분유 갈아타기 하실분은 팔로미참 우리얀스 먹는 분유는 홀레 수출용입니다 ], 긍정 텍스트 확률 : 55.32%"
"[ 첫째날 ], 긍정 텍스트 확률 : 75.16%"
