"[ ..뜬금없이 진심 뉴질랜드로 이민가고싶다며.분유때문에 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ웃기고 있네 ㅋㅋㅋ.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 73.12%"
"[ 뚜껑에는 개봉일 표시를 할 수 있는스티커가 부착되어 있다.보통 분유 유통기한이 개봉후 주 한달인거 아시죠? ㅎ ], 긍정 텍스트 확률 : 76.99%"
"[판매까지 모두 관여한다고 하니잘 모르는 초보엄마 입장에서는아무래도 안전성이 더 높다고 생각되는 아이엠뉴질랜드를 선택하게 되네 ㅎ우리 로똥이의 소중한 트림과 응가를 ㅋㅋㅋ책임져줄 아이엠뉴질랜드한달 가까이 먹어본 결과 신생아 설사와 묽은 변을 보는 아기에게조제분유 아이엠뉴질랜드를 추천합니당 ], 긍정 텍스트 확률 : 98.54%"
"[ 별 기대없이 먹이기 시작했는데.처음에는 변을 보는게 힘겨워보이지 않았고 차츰 매일매일 일정량 변을 보기 시작하더라구요.변을 잘본다는것은 아이가 분유를 먹고소화도 잘 시키다는 거 겠죠?또 개워내는 횟수도 많이 줄어 아기 몸무게도 쭉쭉 늘더라구요], 긍정 텍스트 확률 : 84.35%"
"[ 수입분유 아이엠뉴질랜드 골드는아이의 개월수와 성장에 맞춰 단계가 나눠져 있어 좀더 체계적인 느낌이 있어요 보통 국내분유들은 단계부터 이유식 대용품인 조제식 분유로 변경되는데아이엠뉴질랜드는 전단계가 모두 조제분유라서너무 좋아요.아이성장에 큰 도움을 받을 수 있겠더라구요. ], 긍정 텍스트 확률 : 78.35%"
"[ 조유방법 조유량 친절하게 설명되어 있답니다], 긍정 텍스트 확률 : 91.01%"
"[ 보통 뉴질랜드분유들이 고가라 금액때문에 먹이기 쉽지 않자나요 아이엠뉴질랜드 수입분유는 뉴질랜드 수입분유 임에도 저렴한가격으로부담없이 먹일 수 있더라구요. ], 긍정 텍스트 확률 : 76.39%"
"[ 최근제조일에 유통기한도 넉넉해서안심하고 먹일 수 있어요], 긍정 텍스트 확률 : 60.18%"
"[ 위생적인 안심캡을 사용하는 분유라엄마입장에서 너무 좋구요], 긍정 텍스트 확률 : 74.51%"
"[ 아이엠뉴질랜드 골드플러스에는유산균의 먹이가 되는 프리바이오틱스가 함유되어 있어 변이 딱딱하여 변 볼때마다 힘들어 하는 아이의 변을 무르게해줘 수월하게 변을 본대요], 긍정 텍스트 확률 : 51.85%"
"[ 신생아변비도 해결했고신생아구토도 정말 많이 줄었어요 아이가 분유가 너무 맛있는지남김없이 잘 먹구요 .잘먹으니 키도 몸무게도 너무너무 잘 늘고 있답니다 . ], 긍정 텍스트 확률 : 97.75%"
"[ 우리아기를 위한 분유 아이엠뉴질랜드 정말 추천하고 싶은신생아분유에요 ], 긍정 텍스트 확률 : 97.07%"
"[ .프로바이오틱스랑 프리바이오틱스가 더해진.“신바이오틱스”가 함유된 제품이다. . ], 긍정 텍스트 확률 : 58.25%"
"[ ..제품에 요 작은 스푼이 포함되어있긴한데], 긍정 텍스트 확률 : 85.11%"
"[ ..분유는 개봉일이 중요하니까], 긍정 텍스트 확률 : 50.55%"
"[ 등으로.젖병에 담아준 뒤에], 긍정 텍스트 확률 : 53.27%"
"[ .안전하고 성분이 좋으면서도 합리적인 가격인.아이엠뉴질랜드 신생아 분유 추천해요 .. ], 긍정 텍스트 확률 : 88.86%"
"[잇님들 이예요ㅎㅎ ], 긍정 텍스트 확률 : 73.91%"
"[ 벌써 만개월이 넘어가는양.튼튼히 무럭무럭 잘 자라주고 있어서늘 고마울 따름인데요ㅎㅎ신생아때부터 지금까지 많은것이 바꼈지만바뀌지 않고 늘 함께하는 한가지가 있답니다.바로 우리 양이 가장 좋아하는아이엠뉴질랜드예욤ㅎㅎㅎ ], 긍정 텍스트 확률 : 98.89%"
"[ 다른 수입분유 도 먹여봤지만아이엠뉴질랜드 만큼 양을 편안하게 해주고소화가 잘 되는 제품이 없더라구요.그래서 신생아때부터 돌이지난 지금까지도늘 함께 하고 있답니다. 자기 맘마통인줄 아는지 보이기만 하면], 긍정 텍스트 확률 : 94.16%"
"[맘마맘마하면서 꼭 안고있는데요ㅎㅎ지금도 샤워하고 나왔는데 빨리 안준다고 토라졌음ㅋ ], 긍정 텍스트 확률 : 91.65%"
"[ 그 뿐 아니라 요즘은 직구로 분.유를 구매하시는분들도 많이 계시잖아요. 직구로만 구매가 가능한제품의 경우에는 한번쯤 꼭 체크를 하셔야하는게바로국내 성분 기준 에 만족하고 있는가? 인데요.국내 성분 기준에 만족하지 못한수입분유 가 종종 있는거 같더라구요.그래서 직구로만 구매할수가 있다는거.한번쯤 체크해보고 비교해볼만 한부분이죠?하지만 아이엠뉴질랜드 는 국내 성분 기준에도 적합그래서 공식수입되어 판매되고 있답니다.저희는 직접 홈페이지에 들어가서 구매하고있는데종종 물어보시는 분들이 계시더라구요ㅎ혹시 궁금해하실 분들을 위해 링크남겨 드릴께욤 ], 긍정 텍스트 확률 : 83.12%"
"[ 돌 이후 이렇게 나뉘는 경우가 많은데요.우리 아이의 개월수에 맞는 단계를 선택해서드시면 되는데], 긍정 텍스트 확률 : 75.50%"
"[우리 아이가 개월이다 할 경우엔아이의 먹는 양을 보시고 통 정도만 구매해서개월 이후 다음 단계로 넘어가 주는게 좋겠죠?ㅎㅎ이제 막 돌이 지난 양은 단계를냠냠 쩝쩝 아주 잘 먹고 있답니다 ㅎㅎ ], 긍정 텍스트 확률 : 99.18%"
"[ 이제 분.유는 간식처럼 먹게 되잖아요.그럴때는 유통기한도 오픈일도모두 중요하답니다ㅎㅎ 그래서 눈으로 쉽게볼수 있도록 안심캡에 표시를 해둘수가 있어서정말 편하더라구요ㅎㅎㅎ ], 긍정 텍스트 확률 : 98.20%"
"[ 그리고프로 의 경우에는 골드에 함유 되어 있는 프리바이오틱스 뿐만 아니라프로바이오틱스 유산균도 함께 함유되어 있어서평소 변이 물러서 걱정이 아이들이 섭취하면정산변을 보는데 도움을 받을 수가 있답니다.즉 이 제품이 특수분유는 아니지만프로는 변이 정상적이거나 묽은변을 보는 아기에게골드는 응가가 힘든아이에게 추천우리 아이 맞는 분.유를 선택하면 되겠져?ㅎㅎ ], 긍정 텍스트 확률 : 77.85%"
"[ 참고로 우리 양은 응가를 할때마다오만상을...ㅎㅎ 찌푸리며 힘들어해서일 무렵 골드를 선택해서 먹이기 시작했는데요ㅎㅎ점점 변을 보는게 편안해 지는게눈에 보이더라구요. 잘 놀다가도 멈칫하면 그때가 바로 응가를 할때거든요ㅎㅎ유심히 지켜봤는데 좀더 수월해진게 느껴졌답니다. ], 긍정 텍스트 확률 : 99.46%"
"[ 이 제품의 또하나의 장점이 있죠많은 맘들이 를 칭찬하시는 이유중에하나도 바로 요건데요안심캡을 사용하고 있어서외부물질이 유입되지 않도록 보호해주면서스푼을 꽂아서 보관할 수 있도록홈이 마련되어 있다는 거ㅎㅎㅎ분.유 제조 후에는 이렇게 꽂아두면 된답니다ㅎㅎ ], 긍정 텍스트 확률 : 93.25%"
"[ 사실 수입분유 든지], 긍정 텍스트 확률 : 69.48%"
"[국내분유 든지스푼보관이 가장 애매한데요.내 손이 닿은걸 다시 분.유 속으로집어 넣어 둘 수도 없고그렇다고 먼지가 쌓이는 공기중에오픈시켜둘 수도 없고 보관이 불편하더라구요.그래서 남매때는 따로 케이스를 준비해서넣어두곤했었는데.. 이것도 사용할때마다열어서 꺼내고 다시닫고 번거로움ㅠㅠ하지만 아이엠뉴질랜드 에는 안심캡에스푼 고정할수 있는 홈이 있어서위생적인 보관이 가능하면서 바로바로 꺼내서사용할 수가 있으니까 정말 편하답니다 ], 긍정 텍스트 확률 : 81.40%"
"[ 조제식분유는 이유식 대용품을 말한다고 해요.보통 국내분유들은 단계부터는조제식분유로 변경이 되는 경우가 많은데아이엠뉴질랜드는 전단계가 모두 조제분유라서아기 성장에 더욱 도움이 된답니다ㅎㅎ그래서 많은 육아맘들의 사랑을 받고 있는제품이 아닌가 싶어요ㅎㅎㅎ], 긍정 텍스트 확률 : 96.08%"
"[ 엄마 나는 더이상 기다릴수 없어요라며 분.유를 타고 있는 엄마 옆에 딱 붙어서손을 내미는 양ㅎㅎㅎ이젠 제법 말로 자기 의사를 확실하게표현해주고 있어서 배가 조금만 고파도 ], 긍정 텍스트 확률 : 94.22%"
"[ 하면서 떼를 쓴답니다ㅎㅎㅎ그래도 예전에 말도 못하고 마냥 울때마다좋기는 하지만], 긍정 텍스트 확률 : 63.96%"
"[급격하게 고파오는 배에항상 싱크대 옆에서 발을 동동 구르고 있더라구요ㅋ귀욤쟁이 ㅎㅎㅎㅎ ], 긍정 텍스트 확률 : 86.45%"
"[ 울고 있는 아이들 볼때면], 긍정 텍스트 확률 : 95.01%"
"[ 엄마의 마음은 급해지긴 하지만그건 다 신생아], 긍정 텍스트 확률 : 92.68%"
"[일때 이야기ㅎㅎㅎ이젠 엄마도 베테랑이 되어 가고 있어서양이 울고 있어도 살살 달래가며정확하고 침착하게 조유해서 먹인답니다. ], 긍정 텍스트 확률 : 98.05%"
"[ 이제서야 마음에 안정을 찾은 양ㅎㅎ엄마가 분.유.를 타는 동안급기야 울음을 터뜨리고 말았답니다.태교를 정말 느긋하게 한거 같은데어찌나 성격이 급한지....아이들은 만 부족해도 못참는다고 하던데목욕하면서 물놀이를 시켰더니체력이 소진되서 더 배가 고팠던 거겠죠?ㅎㅎ눈에 고인 눈물을 볼때면 마음이 짠...ㅠㅠ ], 긍정 텍스트 확률 : 99.81%"
"[ 특히나 양 같은 경우에는신생아때부터 유독 잘 게워내더라구요ㅠㅠ정말 어떤 때는 먹은거의 반을 올리는 경우도 종종 있었는데요.그래서 정말 국내분유], 긍정 텍스트 확률 : 99.78%"
"[수입분유 할것 없이다양하게 먹여본거 같아요.특히 뉴질랜드 분유가 소화가 잘된다는 말에다른 뉴질랜드 분유를 먹여보기도 했는데게워내는게 특별히 줄지는 않더라구요ㅠㅠ ], 긍정 텍스트 확률 : 65.66%"
"[ 현저히 줄어든게 보이는거 있죠?ㅎㅎ그래서 돌이 지난 지금은 게워내는일 없이분유를 잘 소화해 내고 있답니다.우리 양 태어 났을때 소화가 잘 되는 분유엄청 검색 많이 하고 추천도 받았었는데친한 지인이 신생아 배앓이], 긍정 텍스트 확률 : 99.15%"
"[ 아이에게 좋은것만 먹이고 싶은건다 똑같은 부모마음이 아닐까 싶은데요.특히나 돌 이전의 아이들은먹었을때 소화가 잘되고 응가를 수월하게만볼수 있어도 걱정이 확실히 줄어들더라구요. 사랑하는 우리 양을 위해서엄마아빠], 긍정 텍스트 확률 : 99.37%"
"[그리고 이모가 꼼꼼하게 알아보고선택한 아이엠뉴질랜드 분유아직도 어떤걸 먹여야할지 고민중이신 초보맘들께 꼭 추천 드리고 싶어요 ㅎㅎㅎ ], 긍정 텍스트 확률 : 99.85%"
"[여러분 안녕하세요찰떡이 엄마예요요즘 하루 하루 찰떡이가 태어날 날만 손꼽아서 기다리며아기용품이나 출산용품을 준비 중인데요오늘은 우리 찰떡이가 태어나면먹이려고 준비한 분유를 포스팅해볼까 해요모유를 먹이고 싶은 마음 굴뚝같지만저는 첫째때도 모유량이 적어서완분을 했었거든요 ㅠ 그래서 미리미리 좋다는 신생아분유를알아보고 찾아보던 중 알게 된 분유가 바로아이엠뉴질랜드 조제분유 랍니다 ], 긍정 텍스트 확률 : 71.12%"
"[ 제가 알아보고 준비한 신생아분유는아이엠뉴질랜드 중에서도 프로 인데요특수분유는 아니지만 묽은 변을 보는 신생아들이먹으면 효과적이라고 하네요신생아들은 분유를 먹고 배앓이를 하거나구토를 하기도 하고 소화가 힘들어서변을 묽게 보거나 하기도 하잖아요아이엠뉴질랜드 조제분유는 그런 아기들에게좋은 분유라고 하더라구요제가 우리 첫째 신생아때 맞는 분유를 찾느라고생을 많이 해봐서 분유선택이 얼마나 중요한지뼈저리게 잘 알고 있어요첫째때 지금 이 분유를 알았더라면그렇게 헤매고 고생하는 일이 없었을텐데하는 생각이 들었어요 ], 긍정 텍스트 확률 : 71.01%"
"[ 뚜껑 윗부분을 보니 스티커가 하나 붙어 있네요뭔가 싶어서 확인해보니 분유의 개봉일을동그라미로 표시할 수 있게끔 되어 있더라구요예전에 첫째 키울때는 그냥 대충 네임팬으로아무곳에나 적어놓거나 안적어두는 경우도 많았는데이렇게 동그라미만으로 표시가 가능하니손쉽게 메모할 수 있고 보기도 편해서엄마들에게 참 좋은 아이디어 인 것 같아요 ], 긍정 텍스트 확률 : 92.93%"
"[ 뚜껑을 오픈해 보았는데요뚜껑 역시나 참 마음에 들었어요완전 분리형이 아니라 본체와 붙어있더라구요타 사의 제품들은 그냥 고무뚜껑으로 되어있고이렇게 뚜껑이 붙어있지않고 완전 분리 되잖아요열어서 바닥에 내려놔야하고그러면 오염도 더 많이 생기기 마련이죠 ㅠ ], 긍정 텍스트 확률 : 54.64%"
"[ 이중으로 된 포장을 뜯으면분유가 보이는데요제일 처음 뜯었을때에는 스푼이분유 속에 들어가 있답니다 ], 긍정 텍스트 확률 : 67.73%"
"[ 바로 이렇게 말이죠 ㅎ다른 분유도 스푼은 다 이렇게 되어있죠? ], 긍정 텍스트 확률 : 87.12%"
"[ 지금 보시는 이 스푼은스푼이랍니다물에 스푼이라고 보시면 됩니다조유방법은 아래에서 정확히 다시 알려드릴께요 ], 긍정 텍스트 확률 : 78.76%"
"[ 그리고 같이 온스푼과 분유저장팩이랍니다필요할때 그때그때 맞춰서 쓰시면 될 것 같아요 ], 긍정 텍스트 확률 : 94.06%"
"[ 물을 끓여서 식힌 물을 사용하시는 것 아시죠?요즘에는 분유포트가 잘 나와 있어서끓여서 식힌다음 다시 도로 데워서바로 사용하면 딱 좋죠 ㅎ ], 긍정 텍스트 확률 : 88.38%"
"[ 물과 함께 섞을때는 절대 흔들지 말 것 아시죠? 살살살 돌려주시면 됩니다살살 돌려 섞어주었는데도아랫부분에 가루가 남아있지않죠?무리해서 흔들거나 아래위로 흔들 필요가 없어요그렇게 흔들게 되면 기포가 생기고공기방울이 생겨서 아기가 먹고 배앓이를 할 수도 있거든요절대 세게 흔들지마세요아이엠뉴질랜드 분유는 세게 흔들지 않아도 되요 ], 긍정 텍스트 확률 : 58.84%"
"[ 곧 태어날 우리 찰떡이가 먹을 신생아분유라서꼼꼼하게 알아보고 준비했는데알아보면 알아볼수록 더욱 마음에 드네요보통 뉴질랜드 분유라하면 가격대가 좀 있어서부담스럽기도 한데 아이엠뉴질랜드는타 뉴질랜드분유보다 저렴해서 부담이 덜 되요가격면에서도 좋고그리고 다른 제품에는 없는 유산균이 들어있어서배앓이를 하지않을 것 같아서 마음에 쏙 들어요첫째때 분유를 몇번씩이나 바꾸고배앓이때문에 힘들어하던 아기 생각하면진짜 신생아 분유 선택 중요하구나 싶거든요그땐 뭣도 모르고 그냥 조리원에서 쓰는 거아무거나 먹여서 그 사단이 난거죠 ㅠ이번에는 신경써서 잘 알아보고 준비했으니우리 찰떡이 배앓이 하는 일 없이잘 먹고 무럭무럭 잘 자라줄거라 믿어요 ], 긍정 텍스트 확률 : 99.95%"
"[ 저처럼 신생아분유 알아보시는 분아기 배앓이나 묽은 변때문에 걱정이신 분조제분유 찾으시는 분들은아이엠뉴질랜드 프로 한번 보세요알아보면 알아볼수록 괜찮은 제품인 것 같네요 ], 긍정 텍스트 확률 : 85.33%"
"[지금까지 먹여본 분유 종류는 총 다섯 가지여태 실패만 거듭하면서 의기소침해졌어요ㅠ먹이는 족족 힘들어하고 가끔 변의 색깔도다르게 나오는걸 보면 너무 성급하게 바꾼탓이 아닌가 싶기도 했죠 ㅠㅠ 이제는아이엠마더하나로 고정돼서 진짜 다행이에요 ], 긍정 텍스트 확률 : 92.88%"
"[ 방금도 아이엠마더 기분 좋게 먹이고소화 시키고 잠시 쉬는 중이에요 ㅡ육아는 역시 장비 빨이라고 분유포트에 도 맞춰놓고 호다닥 타면 끝피로쌓인 엄마들한텐 완전 잇템이죠..ㅎㅎ ], 긍정 텍스트 확률 : 74.29%"
"[ 아무래도 저희 아이 몸에 이것만큼 잘 맞는게없다보니까 이슈같은거 크게상관 없이아이를 위해서 사먹이게 되는 것 같아요아무리 그래도 아기분유 하나 만큼은 진짜 잘만드는 곳이라서 다른 제품으로 갈 수가 없어요 ], 긍정 텍스트 확률 : 90.82%"
"[ 참 잘만들었다고 생각이 드는 부분이 있답니다바로투명안심캡 이에요 이름 그대로의 기능을하는 뚜껑인데], 긍정 텍스트 확률 : 96.36%"
"[속이 훤히 보여서 개봉을 하고나서도 평소에 생활할 때도 이물질이 쉽게들어가지 않게끔 밀착이 딱되어서 편해요강아지도 키워서 털이 무조건 날리는 집안인데여러모로 안전하게 먹일 수 있다는 점도 있구요 ], 긍정 텍스트 확률 : 78.63%"
"[ 뚜껑에 스푼을 부착할 수 있게 만들어져있어서위생적으로도 아주 마음에 들어요 만약 스푼이분유 속에 파묻혀있으면 제 손에 있던 세균들이섞이게 되잖아요 파묻힌 분유 속에서 스푼을따로 찾는 것도 싫어서 락앤락 통에 따로 담아보관했었는데 그런 수고는 안해서 편하고 ], 긍정 텍스트 확률 : 95.59%"
"[ 귀한 것만 주고 싶은 엄마의 마음이 담겼다는문구 그대로 정말 잘 만들어진 분유라는 느낌물씬 들어요 이걸 먹이고 나서부터 언제부턴가황금변만 보고 있다니깐요 ... ㅡㅡ한 번 입에 갖다대면 자기 손으로 낚아채서들고 먹으려고 하네요 거부하지도 않고알아서 잘 먹어주니까 진짜 조금만 더 있으면젖병 손에 쥐어주고 가만히 옆에 누워서영화보고 있어도 될 것 같은 느낌이에요ㅋㅋ ], 긍정 텍스트 확률 : 98.81%"
"[ 특히나 입자가 굉장히 고와서얼마나 편하냐면데운 물에 한 스푼씩 퍼다가 넣을 때 바로 녹아사라지는게 똑똑히 보일 정도에요 그래서 애가먹을 때 목으로 편하게 넘길 수 있는 것 같아요이렇게 만들려고 얼마나 많은 노력을 들였을지이 부분은 진심으로 칭찬하고 넘어가고 싶어요 ], 긍정 텍스트 확률 : 96.07%"
"[상상만 해도 너무 즐거워진답니다], 긍정 텍스트 확률 : 59.95%"
"[ 남편은 예전에 영화 감독을 준비하다가지금은 평범한 회사원으로 지내고 있어요아직까지도 인연이 닿아있는 사람이 남아있어서가끔씩 영화제같은 모임에 참석하러 간답니다아이가 돌잡이 때 카메라 잡는 것 보고 남편이울먹이던게 생각나서 아직도 짠하고 웃기네요 ], 긍정 텍스트 확률 : 98.87%"
"[ 아이가 나중에 커서 아이엠마더 영화에 나오는여주인공처럼 터프하고 멋진 배우가 되어주면남편이 얼마나 고마워할까 생각도 해봤답니다스토리는 밍밍했지만 나시만 입어서 드러나는팔의 잔근육이랑 탄탄한 몸매는 진짜 멋졌어요그 배우가 멋있게 총 들고 있는 장면을 보면서저도 모르게 제 뱃살을 만지고 있었다니까요ㅠ ], 긍정 텍스트 확률 : 99.86%"
"[ 먹는 양도 조금씩 늘어나고 있고], 긍정 텍스트 확률 : 69.03%"
"[지금도 혼합수유를 계속 하고 있기 때문에 왠만한 문제가아닌 이상 계속 아이엠마더로 갈 생각이랍니다스푼 바닥에 공기 구멍도 있고 가루 덜어내는부분도 다른 것보다 조금 넓게 만들어져있어서정말 많은 면에서 잘 만들어졌다고 생각되네요 ], 긍정 텍스트 확률 : 98.60%"
"[ 이상분유 먹여본 후기였어요아이들마다 맞는 영양성분이 다 달라서같은 개월수라고 해도 맞는 분유가 다르겠지만], 긍정 텍스트 확률 : 78.08%"
"[오랜만에 포스팅하네요.다들 연말은 잘 보내고 계신가요?연말이라 그런지 약속도 많고 일도 많고눈코뜰새 없이 바쁘게 지나가고 있네요. ], 긍정 텍스트 확률 : 84.25%"
"[ 너무 빨리 자라서 아쉽기도 합니다..ㅎ오늘은 저번에 다룬 소재인 분유를다시 한 번 얘기 드려보려고 해요. ], 긍정 텍스트 확률 : 96.99%"
"[ 어렵네요. 모성이 빛나는 순간이라..저는 아빠인지라.. 농담이구요아이들이 먹는 음식은 조심스럽게선택하게 되는 것 같아요.뭔 성분 하나라도 잘 못 선택하면괜히 탈날까 걱정되기도 하고..건강하게만 자랐음 싶은 마음입니다.이런 아빠의 마음을 아는지 모르는지오늘 아침에도 제 얼굴에 방구를 뿡 끼고가는 우리 딸램..ㅎ 그래도 사랑스럽네요. ], 긍정 텍스트 확률 : 99.99%"
"[ 제발 건강하게만 자라줬음 좋겠네요..얼마 전에는 퇴근하고 집에 돌아왔는데와이프가 애들 일찍 재워놓고 오랜만에영화 한 편 보자면서 틀길래 같이 봤는데], 긍정 텍스트 확률 : 70.20%"
"[ 이 분유와 이름이 같은 영화더라구요.이거 참.. 대단한 우연이죠 ㅋㅋ ], 긍정 텍스트 확률 : 80.32%"
"[ 왜 페퍼민트인지는 저도 의문...영화를 다 보고 와도 의문이네요.모성애가 엿보이는 스릴러 액션 영화였어요.줄거리는 스포하긴 싫으니 궁금하신 분들은검색해서 보시면 될 것 같구요 ㅎ잠시 그 영화스토리로 빠져보실까용 ], 긍정 텍스트 확률 : 62.99%"
"[ 세상은 넓고], 긍정 텍스트 확률 : 53.41%"
"[나쁜 놈들도 많다.귀엽고 예쁜 딸과 사랑하는 남편과함께 하는 단란한 가정의 모습으로 시작됩니다.범죄 조직단의 행세로 남편과 딸을 잃고], 긍정 텍스트 확률 : 87.20%"
"[조금 뻔한 내용이라 그저 그랬음.영화보면서 먹는 안주가 더 좋았다고 한다.예전에 개봉한 테이큰을 하도 봤어서 그런지리암 니슨처럼 부성애 끓는 영화 줄거리가왠지 더 공감되고 재밌었던 것 같네요.그래도 후기 평점은 꽤 괜찮은 것 같은데요?나름 킬링타임 영화로 좋아요. 추천합니다. ], 긍정 텍스트 확률 : 78.00%"
"[ 친구한테 요 제품 소개받고둘째한테 먹여보고 있는데 좋더라구요특히 주말에 외출할 때 이것저것챙길 필요 없이 이거 하나 딱 챙기면 되서간편하기도 간편하구요], 긍정 텍스트 확률 : 99.72%"
"[ 개월까지는두뇌 성장 까지.단계에 맞게 영양분 설계도 구성되있어서신생아 때부터 먹여도 좋을 것 같아요], 긍정 텍스트 확률 : 50.85%"
"[ 박스 뒷 부분에 성분도 자세히 써있어요혹시 이런거 상세하게 보시는 분들은한 번 주의깊게 살펴보셔도 좋을 듯저는 그냥 눈에 보이는 것만 봅니다.최고만을 주고싶은 아이엠마더만의 특별함우리 아이들에게는 항상 뭐든지좋은 것만 주고 좋은 것만 먹이고 싶어요. ㅎㅎ ], 긍정 텍스트 확률 : 99.07%"
"[ 안심소재로 멸균처리 되어있다는데그래도 어떻게 새로 나온 제품을씻기지도 않고 먹이나요], 긍정 텍스트 확률 : 51.50%"
"[ 도 이상으로 조유되서 나온 분유라서따로 데워먹일 필요 없이], 긍정 텍스트 확률 : 78.48%"
"[ 언제 어디서나 니플만 쏘옥 끼워서먹일 수 있어서 좋은 것 같아요 외출할 때나 밤중수유할 때 딱 좋아요ㅎ아 여행갈 때도 편리하겠네요모성애가 빛나는 순간], 긍정 텍스트 확률 : 53.09%"
"[아이엠마더역시 믿고 먹일 수 있을 것 같네요. ...], 긍정 텍스트 확률 : 93.97%"
"[ 아이엠뉴질랜드가 기호성이 좋다던데드시는 분 있으시면 후기 좀 들려주세요일차 아간데좀 넘는데어제는후반대 먹었네요......조리원부터 아이엠마더 먹었는데싫은가봐요 ㅠㅠ], 긍정 텍스트 확률 : 65.26%"
"[ 분유유목민이에요알아보다가 아이엠뉴질랜드가성분이좋다던데.혹시드셔보신분계시면후기좀알려주세용...... ......? 본문 이미지], 긍정 텍스트 확률 : 55.61%"
"[ 이제 만 개월 되었는데 분유는 다섯번 바꿨습니다완분결론적으로 퓨어락 먹으면서 녹변이긴 하지만 이틀에 한번꼴 응가하니 좀 살것같네요게워냄변비 심한 아이라 분유 바꾸는동안 카페에서 비슷한 애기들 정보를 많이 얻은터라 저도 누군가 검색할때 도움드릴수 있었음 해서 길지만 글올립니다. 조리원에서 먹은 임페리얼 잘먹고 잘쌌지만 이땐 모유를 주로 먹어서 주의깊게 관찰하지 않고 갈아탐이제서야 생각해보니], 긍정 텍스트 확률 : 97.62%"
"[분유끊을때까지 쭉 잘먹었습니다. 물론 게우는거 없었고 응가는 하루 한번씩 꼭 했죠.그래서 둘째도 당연히 위드맘으로 가려했는데 애가 먹기만 하면 모유든 분유든 다 분수토를 해서ㅠ 한번도 그런걸 본적없는 저는 넘당황해 반통쯤 먹이다가 다른분유 검색.... 앱솔루트 명작위드맘이랑 가격대가 비슷해서 골랐어요. 일단 이때부터 모유양이 점점 주는것 같아 일년을 먹이려면 분유값이 장난아니겠더라구요분유 횟수가 늘면서 분수토는 좀 줄어들었지만 여전히 게워내고 이때부터 본격 변비시작.. 반통 먹이고 실패ㅠ. 독일분유 홀레수출용외국분유로 눈을 돌려봅니다. 압타밀], 긍정 텍스트 확률 : 92.90%"
"[수출용 스푼크기도 살짝 다르고 타는법도 다르고 일단 스푼이 짜리라 조유 과정에서 뭔가 내가 잘못하고 있던건 아닐까 하는 생각이 먹이는 내내 들어서 찝찝해서 그냥 바꿨어요..... 위드맘 산양분유산양이 그리 좋다하니 한번 먹여봐야죠. 근데 일동은 가격이 넘 사악하고. 제가 그냥 파스퇴르를 넘좋아해서 임신중에도 파스퇴르 우유만 먹었어서ㅋㅋㅋ 또 위드맘 산양으로ㅋㅋ두통은 먹였어요. 적응기간 있다해서 기다려봤는데 첨에한번은 폭풍응가 하더니 거의 일만에 된똥 조금싸고], 긍정 텍스트 확률 : 97.69%"
"[매일매일 방구를 엄청뀌긴 하는데 그게 소화되는 느낌 들어서 전 좋더라구요. 그러고 이틀에 한번은 꼭 응가해요. 녹변이지만 그래도 힘들지않고 변비아니라 넘다행입니다ㅠ근데요퓨어락이좋긴한데.. 정말 홍보가 심한거같긴 해요ㅠ 글고 뉴질랜드 원유를 썼다해서 뉴질랜드 분유인줄 알았는데 우리나라에서 만든거 맞죠? 그래서 찾아보니 아이엠뉴질랜드가 성분은 같은데 가격은 한통에 만원정도 저렴ㅠ 품절대란이 가끔 있긴하지만 전 쟁여놓고 아이엠뉴질랜드 먹이려고요.. 통모양이랑 스푼도 똑같고 오늘 첨뜯어서 먹어보니 맛도 퓨어락이랑 똑같아요아이엠뉴질랜드 우리나라 버전이 퓨어락인가봐요ㅋㅋㅋ 변비오면 어쩔수없지만], 긍정 텍스트 확률 : 64.65%"
"[분유 안맞아 힘들어하고 있는 아기중에 겹치는 이야기가 있다면 꼭 도움이되었음합니다우리아기도 지금 좀 나아졌을 뿐이지], 긍정 텍스트 확률 : 95.65%"
"[분수토 후기를 종종 봐서 수입분유를 생각하고 있어요 그런데 수입분유도 종류가 많네요수입은 압타밀], 긍정 텍스트 확률 : 69.87%"
"[아기면역력에 강한 아이엠뉴질랜드 수입분유 후기 적어보았어요 . .], 긍정 텍스트 확률 : 67.06%"
"[ .작게 태어난 아들래미인지라 크게 키우고 싶다는 마음이 무척이나 간절했어요..딸아이도 작게 낳았지만 아들인지라 키작남이면 어쩔까하는 마음도 불숙불쑥 들더라고요..유전자가 작지 않다면], 긍정 텍스트 확률 : 64.00%"
"[아가가 잘 먹어준다면 작게 태어났어도 쑥쑥 자라나게 할 수 있을텐데요], 긍정 텍스트 확률 : 59.07%"
"[.무엇보다도 아이에게 양질의 음식을 공급해야지 이 모든게 가능할테니까 .내 아이에게는 좋은 것만 먹이고 싶었어요. 특히나 살찌는 분유를요?.... ], 긍정 텍스트 확률 : 96.87%"
