"[ ..울 귀요미는 요 근래 밤잠을 자주 설치고], 긍정 텍스트 확률 : 77.72%"
"[혹시몰라 김도 챙겼다.다녀온 후기로는 전부 다 먹고왔다.ㅋㅋㅋ뭐든 있으면 좋다. 라는 결론현지에서는 조식때 과일을 주거나], 긍정 텍스트 확률 : 86.92%"
"[여행지가 태국이었으므로 스티키라이스도 주었다. 마트에서도 현지 레트로트이유식을 판매하고있어서 과자], 긍정 텍스트 확률 : 59.70%"
"[아주 건강히 잘 왔다.], 긍정 텍스트 확률 : 62.38%"
"[ 분유 새것 통도 챙겨두고.. 분유포트를 가지고갈 자신이없어서 포트대신 호텔 내 전기주전자를 사용할 생각으로 베이킹소다와 구연산을 챙겼다.어마어마하게 소독한 후에 분유를 타주었지만.. 찝찝한 분들은 직접챙기는게 더 좋을듯하다.아침저녁으로는 분유량이 정도라서 한번에 딱딱 끝내려고 액상분유도 챙기고 ], 긍정 텍스트 확률 : 74.21%"
"[구명조끼까지 챙겼다.구명조끼는 우리가 롱테일보트를 탈 예정이라서 베이비용이 없을까봐 들고갔다.사진엔 없지만 평소 사용하는 아기화장품도 전부챙기기. ], 긍정 텍스트 확률 : 55.70%"
"[우리베베는 애착쿠션이 있어서 이것도 챙겼다. 확실히 애착있는 물건을 챙기면 도움된다. 부피가 커도 무조건 가져가세요.. 점점 늘어나는 짐. 집에서 대략 재보니 너껏만 . 엄마아빠껀 ㅋㅋㅋ나는 아기와 단둘이 비행예정이었기에 아기가 좋아하는 부피가 작은 모든 것을 챙겼다.그리고 빨대컵에 물도 가득 담고], 긍정 텍스트 확률 : 97.48%"
"[좋아하는 책도 한권. 기저귀도 따로 장], 긍정 텍스트 확률 : 62.13%"
"[ 맘마밀파스퇴르 아이생각거버퓨레쌀과자요미요미분유통젖병개둥근볼소독용젖병집게젖병세정제구연산], 긍정 텍스트 확률 : 59.33%"
"[베이킹소다반팔], 긍정 텍스트 확률 : 66.02%"
"[아기도 초록이들 마음껏보고 다양한 사람들과 만나고 인사나누는 모습이 좋았다.훌쩍커버린것만같은 여행. ], 긍정 텍스트 확률 : 73.15%"
"[.?아기와괌아기와괌.?해외여행해외여행 을 준비하면서 가장걱정되었던것은 비행시간], 긍정 텍스트 확률 : 78.99%"
"[상업적인 용도로는 당연히사용금지 대단한건 아니지만ㅎㅎㅎ신랑하고 저랑 열심히 머리맛대 정리한거라ㅋ 글 내용중비행기표 숙박 등의 가격들은 따로 기재안했는데..비용궁금하시면 댓글주세요 알려드릴게요암튼 즐거운 여행되시고 좋은추억 쌓고오세요저희는 아기 좀더 크면 한번 더 가려구요 ], 긍정 텍스트 확률 : 86.77%"
"[ .다녀온 후 팁을 드리자면], 긍정 텍스트 확률 : 55.01%"
"[ .열심히 아기꺼 준비물가져간거 괌에서 직접 써보니.아기상온이유식 맘마밀 이나 파스퇴르이.많이 부족했어요ㅜ ㅋㅋㅋ 더 쟁여갈껄ㅋㅋㅋ.저희는 박일기준 개정도 챙겨갔거든요..한끼에 개씩 먹으니까 회분정도....근데 이틀만에 다 떨어진듯 ㅋㅋㅋㅋㅠ.괌에도 식당마다 쌀밥이 잘 나온다고해서.하루 한두끼는 괌 식당가서 밥 주문해서.먹여야지했는데.. 쌀식감이 살짝다른데.그것때문인지 괌 식당에서 나오는 밥은.우리아기는 잘먹지 않았어요 ..ㅠㅠ.죄다 퉤퉤 거부함 그나마 햇반 챙겨간거랑], 긍정 텍스트 확률 : 87.36%"
"[ 여기에 후기있어요 장갑이랑 같이 쓴 포스팅인데장갑글은 쭉 내리고 지퍼백부분 보심될듯 ㅎㅎ그냥 봉지에 바리바리 싸갔다간 낭패볼뻔봤어요.열고닫고보관하고쟁이고], 긍정 텍스트 확률 : 66.70%"
"[무조건 지퍼백이편해요 ], 긍정 텍스트 확률 : 84.34%"
"[ 아기랑 첫 해외여행], 긍정 텍스트 확률 : 51.44%"
"[괌으로.저희 숙소는.?괌괌하얏트 리젠시 패밀리룸 이었구요], 긍정 텍스트 확률 : 50.99%"
"[ ..아기가 호텔룸안에서도 정말 재밌게 잘놀았답니다..한국인 직원도 있고 한국방송도 나와서 굿..자세한건 패밀리룸 리뷰쓰면서 더 써볼게요..], 긍정 텍스트 확률 : 99.39%"
"[ 비행기 기타리는중 어디서 보니비행기타기전까지 최대한 굴리라고. .ㅋㅋㅋㅋ그래야 비행기서 지쳐잔다며 ㅋㅋㅋㅋ그래서 열심히 뛰어놀게 해주었지요.여기저기 참견하고 잘 놀아주셨습니다 ㅋㅋ ], 긍정 텍스트 확률 : 74.98%"
"[ 꼭 제주항공으로 직접 전화하셔야하니 참고 신랑이나 저나 비행기에서 내릴때의 대기시간을극도로 싫어하기에 ㅋㅋㅋ 그리고 아기도있어서상황이 어떻게될지몰라 미리 구매하고간건데잘 한것 같아요. 올때갈때 같이 옆에 탔던가족이 조금 진상이었지만요...ㅎ ㅎ중국관광객인줄 진짜 ㅋㅋㅋㅋㅋㅋ아기유튜브영상 겁나 크게 틀어놓지않나.목소리도 엄청 크게 떠들고돌아오는 새벽비행기에서는 다 자는데두시간동안 크게 떠들면서 라면이다 비빔밥이다다 시켜먹고 불 켜놓고 깔깔대며 떠들던 사람들.항공기는 그냥 다 아는 저가항공기 느낌당연히기내식 없고요 물만 줌ㅎㅎㅎ대한항공처럼베시냇도 안되고], 긍정 텍스트 확률 : 99.03%"
"[ 역시 공항은 인천국제공항이 최고인것같아요.여러나라다녀보았지만 다른나라는 다 공항이과장좀섞어서 시골 버스터미널같아요 ㅋㅋㅋㅋ..괌공항도 작은규모에 오래된느낌. 역시 공항은 인천공항이 짱짱인듯..ㅋㅋ렌터카는 검색해보니 워낙 업체가 많아서갈팡질팡하던찰나], 긍정 텍스트 확률 : 88.29%"
"[ 공항출구쪽에 데스크가 있어요.괌 도착해서 처음 대화해보는 현지인이었는데현지 원어민 영어발음에 귀에 꿀바르는줄ㅋㅋㅋㅋㅋ 원어민발음들으니 행복했네요할로윈시즌이라고 박쥐 붙여놓았어요. 귀엽 ㅋ한국운전면허증만 있어도되요. 국제운전면허증 따로 안 발급받아도되요. ], 긍정 텍스트 확률 : 97.04%"
"[ 키즈존 아닌 키즈존인듯 ㅋㅋㅋ체크인 체크아웃 하는 어른들 기다리는 애들이자주모여있더라구요. 해외여행이다보니또다른 나라 또래들을 만날 수 있단것도 장점 ], 긍정 텍스트 확률 : 84.39%"
"[ ㅋㅋㅋ언어는 안통하지만 다같이 잘 놀았어요.특히 샤샤가 아기다보니 큰애들이 배려많이해줌어느나라나 어린이들이 아가들 조심조심하는건똑같네요 ㅎㅎ 이쁜이들아이부모도 옆에서 라며 조심시키고 ], 긍정 텍스트 확률 : 60.45%"
"[ 같이 잠깐 퍼즐놀이하던 미국친구인데떠날시간되서 가려하니까 샤샤가버선발로 쫄래쫄래 쫓아오니... ㅎㅎㅎ ... . 라며샤샤손을 꼭 잡아준 후 떠났습니다. 훈훈해라... ♡뜬금없긴하지만 진짜 외국어는 그 나라가서배우는게 훨씬 효과적인것같아요.한국에서 한달 빡세게 영어공부하는거보다미국 괌에서 일주일 살아보는게 더 실전영어에도움이될듯..샤샤크면 미국에서 한달살기 이런거해보려구요 워킹맘워킹대디라 마음같이년 년은 못살아도.. 한달은 어찌 꼭 해보려구요.언어는 그 나라에서 배우는게 정답같아요. ], 긍정 텍스트 확률 : 99.93%"
"[ 사람들이 다 떠난후에도 잘 놀았어요.하얏트에 박 묵는동안 여기 진짜 애용했네요ㅎ미국친구는 물론이고 러시아?독일?친구랑일본인 친구도 만나서 잘 놀았어요.외국친구들과 놀 기회 한국에선 없잖아요.아직 아무것도 모르는 아가지만ㅋ ㅋ 무언가새 친구와 새언어를 느끼는 계기가 되었길 ], 긍정 텍스트 확률 : 97.33%"
"[ 하얏트는 아마 전객실 오션뷰일거에요.그런데 음 ㅋ전 생각만큼 청량한 오션뷰를 보진못했는데요], 긍정 텍스트 확률 : 87.07%"
"[ㅋㅋ 패밀리룸자체가층 층 밖에 없어요.제가 묵은곳은 층이었고층뷰가 이정도에요 하지만 이정도가 어디뷰욕심이 별로없는 사람이라그런지 만족했어요 ], 긍정 텍스트 확률 : 93.05%"
"[수량이 적어 룸에 준비되지못할수도있지만 여유분량 생기면 바로세팅해주겠다고 했어요. 하지만 결국 못써봄..직원이 큰 침대하나와 작은침대 하나가 있어아기침대의 경우는 굳이 필요없다그러길래그건 안한다했다쳐도 침대가드랑 아기욕조는?아기침대], 긍정 텍스트 확률 : 58.74%"
"[ 욕실이 굉장히 넓은 편. 사진 기준 왼쪽에는 욕조가 있고], 긍정 텍스트 확률 : 51.18%"
"[그리고 큰 옷방과파우더룸까지 준비되어 있어요 어메니티 는 ㅋㅋㅋㅋㅋ저희가 운이나빴던건지준비해주는거 청소부맘인듯?ㅋㅋ첫날은 샴푸], 긍정 텍스트 확률 : 60.36%"
"[ 바디로션만준비되어있더라구요. 전 이게 다 인줄알고치약 칫솔을 또 사러 편의점까지 다녀왔죠.그런데 다음날 혹시몰라 청소부 이모님께치약 칫솔 있냐고 물어보니 있다고 챙겨주심ㅋㅋㅋㅋㅋㅋㅋ심지어 면도기까지 챙겨주셨어요.꼭 데스크에 어메니티는 전부 챙겨달라하세요진짜 랜덤인가봉가 뭐야진차 ㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 93.17%"
"[ 룸은 매우 넓고 쾌적해요.에어컨도 빵빵하게 잘 나오고], 긍정 텍스트 확률 : 65.28%"
"[ 첫날은 너무 피곤하고 지쳐서 ㅋㅋㅋ샤샤 빼고 신랑하고 저 둘다 병날꺼같아서뭐 딱히 큰거 하진않고 쉬다가 케이마트가서장만보고 끝났어요ㅎ 케이마트후기는다음 포스팅에서 글 남길게요], 긍정 텍스트 확률 : 64.97%"
"[ 위치의경우 괌 자체가 크지않고시내중심가는 저희 호텔있는곳 근처가다 인것 같아요. 흔히 알고있는에이비씨마트나 티갤러리는 걸어갈수있는거리인데 낮에는 매우더워 조금만걸어도분노?가 치밀수있으므로ㅋㅋ걸어가실꺼면밤에 산책겸 다녀오시는게 좋아요. 한 분 분정도 걸어야한답니다. .?하얏트리젠시괌하얏트리젠시괌 도중심가가 가까워 만족스러운 호텔이었지만진짜로 중심가랑 가장 가까운곳은아웃리거호텔이에요. 중심가 바로안에 있어요. 위치 최고 호텔을 고르고싶다면 아웃리거], 긍정 텍스트 확률 : 57.24%"
"[ 살짝 십분내외로 걷는건 상관없다하면제가 묵은 하얏트도 괜찮구요 ㅎ ㅎ ], 긍정 텍스트 확률 : 98.58%"
"[ 이유식 거부를 시도때도 없이 하는 한별이는 지난주부터 또 거부하기 시작했어요.너무 남기는 것이 많고 오래동안 먹이다보면 죽에 물기가 많이 생겨서 반으로 나눠서 먹이기로했어요ㅠㅠ ], 긍정 텍스트 확률 : 58.09%"
"[ 보통 의자에 앉으면 가만히 기다렸는데 거부가 시작되면서 주변 물건에 손이 가기 시작...오늘도 실패구나 싶었는데 오잉? 너무 잘 먹네요 ], 긍정 텍스트 확률 : 94.97%"
"[ 입이 짧은 한별이는 이유식 반 정도 먹으면 입을 다물어 버리는데 그럴 때 제가 쓰는 방법 가지.우선 거버 오트밀푸룬을 죽에 섞어 먹이면 잘 먹는 편인데 그래도 안 먹으면 아기 치즈 출동. 치즈가 눈 앞에 보이면 집착을 해서 작게 잘라서 테이블 밑에 두고 스푼에 올려주는ㅠㅠ정말 전쟁이 따로 없습니다. ], 긍정 텍스트 확률 : 88.38%"
"[ .풀무원 베이비밀.닭가슴살당근망고죽 ], 긍정 텍스트 확률 : 93.97%"
"[이뉼린 등이 함유처음 들어보는 식재료라 검색을 해봤어요. 아이가 커가면서 꾸준하게 접할 수 있는 식재료를 이유식 재료로 사용하는 것도 좋지만 새로운 도전도 괜찮은 것 같아요. 엄마도 먹어보지 못한 아티초크는 무슨 맛일까? ], 긍정 텍스트 확률 : 69.49%"
"[ 대체적으로 한우 이유식에는 참기름이 소량 들어가있는데 그 덕분인지 고소한 향이 강한편이에요.엄마 입에는 지금까지 이유식과 크게 다른 맛은 느껴지지 않았는데 한별이는 어떻게 느꼈을지 궁굼하네요 ], 긍정 텍스트 확률 : 79.97%"
"[ 새로운 식재료를 접하는 것도 좋구요. 평소 거부하던 식재료를 다른 조합으로 먹였을 때 잘 먹는 모습도 볼 수 있었어요.아보카도 퓨레를 만들어줬던 날. 퉤퉤 뱉기만 해서 다시 시도할 생각을 하지 않았는데 닭아보카도고구마 죽은 의외로 잘 먹어서 식재료의 궁합과 어울림에 대해 다시 한 번 생각하게 된 계기가 되었답니다. ], 긍정 텍스트 확률 : 99.94%"
"[ 주일간 지속되었던 이유식 거부는 지난 주말부터 나아지기 시작했어요.알고보니 하이체어에 앉고 싶지 않았던 것 주말동안 범보 의자에 앉혀서 먹였더니 잘 먹더라구요ㅠㅠ엄마가 그것도 모르고 일주일동안 안 먹는다고 이놈을 몇 번이나 했던지 ...], 긍정 텍스트 확률 : 72.09%"
"[ 분유 그리고 이유식용기까지핫한아이템으로 떠오르고 있는 헤겐.한달 가량 사용해보고 후기 올려봐요.요즘 인스타고 어디고 요 젖병 괜찮다고평이 좋더라구요이유식준비물로는 꼭 있어야하는 이유식용기 ], 긍정 텍스트 확률 : 99.43%"
"[ 국민이유식용기 유명템이 여러개가 있지만한동안 모르셨던 맘들도 이젠 헤겐하면 아실듯합니다제가 사용중인 제품은 이유식 뚜껑], 긍정 텍스트 확률 : 84.70%"
"[ 진짜 이렇게 눈금선이 선명한게너무 도움이 될줄 몰랐어요.선이 진하고 굵어서 ], 긍정 텍스트 확률 : 74.13%"
"[ 망고 남은게 있어서 망고랑 섞어 갈아줘봤어요.친정엄마가 먹였는데 가벼워서 한손으로 들고 먹이기도 편해요. ], 긍정 텍스트 확률 : 69.19%"
"[ 이제 개월 들어가는 여아인데한개월째 몸무게가 같아요 .키로 정체예요 ㅠ진밥 쌀밥 반찬등 입자거부여서 후기무른밥 정도로 이유식 씩 억지로나마 간신히 먹이고있고 원래 분유거부였는데 갑자기 분유는 좀 잘먹어 먹네요..분유가 살잘찐다해서 우유로 안넘어가고있어요하루에 간식으로 분유 떡뻥 거버통 요플레 조금정도 먹구요그럼 거의 ], 긍정 텍스트 확률 : 96.89%"
"[ 먹는데 이정도론 살안찔까요?얼마나 더먹여야하는지 ㅠ과일도 잘못씹는애여서 즙내주거나 쥬스로주구요살잘찌게하는 방법 없을까요?몇개월째 정체다보니 슬슬걱정이 되네요ㅠㅠ], 긍정 텍스트 확률 : 90.82%"
"[ 이번달 중순이면 개월 꽉차는 키몸무게 키로안된 딸두고잇어요월부터 중기이유식 시작햇는데 이유식양이 늘어나니분유를 덜먹어서 최근엔 이유식 한끼에 많게는 까지 먹고분유는 하루 총양이 적으면많으면 약간 넘고요새 들쑥날쑥 하네요그러다보니 변비가 와서 한달째 고생하며 약먹는데 최근엔기저귀에 피도 묻어나요 ㅠㅠ소아과에서 분유 잘 안먹고 이유식 잘 먹으면 끼 먹여도 된다는데다음달부터 후기이유식 끼 시작하려 햇거든요그래서 이번달만 한끼는 거버 과일퓨레에 거버 라이스 시리얼을섞어서 좀 먹여볼까 하는데 분유양 정도 생각하면한끼 그렇게 먹여도 될까요??], 긍정 텍스트 확률 : 98.79%"
"[ 벌써 여행이 끝나고 저도 후기를 적게 되네요.. 항공대한항공 비즈니스 이용했고 일등석 사전좌석 지정했어요. 좌석 넓어서 애기들 울지않고 잘 놀고 잘 먹고 자면서 왔네요. 유아식 신청했더니 이유식 두종류], 긍정 텍스트 확률 : 94.01%"
"[쥬스 주더라구요. 돌아올 때는 이유식 안가지고 타서 좀 가벼웠어요.담에도 비즈니스로 오고 싶으나.. 다음은 귤항공일 듯 합니다. ㅋ. 유모차유모차때문에 진짜 짜증났어요. ㅋㅋ 여행간다고 생전 안 타던 완전 휴대용 새 유모차를 가져왔는데], 긍정 텍스트 확률 : 85.44%"
"[진짜 너무 싫어하더라구요.유모차 타고 밀기만하면 자는 애들인데.. 눕혀지지가 않으니 자지도 않고.. 짜증만 ㅠㅠ 덕분에 쇼핑 도 못 했습니다.게다가 기내반입 사이즈도 아니라 게이트투게이트 했더니 비즈니스인데도 젤 늦게 나왔어요 유모차 기다린다고 ㅠㅠ 저희 수화물만 덩그러니 저희 기다리고 있더라구요.꼭 애기가 잘 타는 유모차로 가져오세요ㅠㅠ. 호텔고민고민하다가 하얏트 클럽룸했는데 대만족이었어요.. 객실 상태클럽룸이라 마루바닥인 것도 좋고 청소상태도 굿이었어요. 벌레 하나도 못 봤고], 긍정 텍스트 확률 : 85.22%"
"[커피값 절약되었어요 ㅋ 커피 맛없다던데 전 라운지 커피 그냥 괜찮더라구요베이비체어하이체어 넉넉하고], 긍정 텍스트 확률 : 97.57%"
"[직원분들이 애기들 넘 이뻐해주시더라구요 감사했습니다글구 애기들 시끄럽게 할까봐 테라스에서 자주 먹었는데 약간 덥지만 바다보면서 먹는거 넘 좋더라구요ㅠㅠ ...... ......? 본문 이미지이 경치에서 밥먹었어요 석양도 넘 이쁘구요ㅠ 체크아웃도 요기서 편히하고.. 전 담에도 클럽룸입니다. 수영장센치짜리 풀이 있어서 아기들 놀기 딱 좋았어요 저희 애들은 걷고싶어서인지 발 안 닿는 곳은 싫어하더라구요 애바애겠지만요베이비 풀에는 위에 천으로 해도 좀 가려줘서 더 좋았어요.. 해변엄청 이쁘고], 긍정 텍스트 확률 : 100.00%"
"[제눈엔 살만한게.. 안보이더라구요ㅠ 매의 눈을 가지신 분께 추천드립니다. ㅋ간단히 쓰려했는데 엄청 길어졌네요저의 후기가 조금이나마 도움되시길 바라며.. 전 괌 준비하러 갑니다추가 이유식 및 괌공항 정보 추가합니다.. 이유식 관련. 만들어가는 이유식 재료해산물], 긍정 텍스트 확률 : 83.10%"
"[베이비밀 있다고 말씀하시면 대부분 오케이이더라구요.저는 치리오스], 긍정 텍스트 확률 : 62.64%"
"[물 어디에도 접촉하지 않아요 검사해도 먹을 수 있습니다.개인적으로 하지말라는 거육류반입 이런거만 잘 지켜주면 이렇게 아이 친화적인 곳도 없을 것 같아요.. 괌공항한시간 전에 도착해서 전전긍긍했는데], 긍정 텍스트 확률 : 70.30%"
"[분정도 여유있더라구요 ㅋㅋㅋ 두세시간 전에 안오셔도 됩니다. 괌공항 라운지 구려요 ㅋ 물론 커피], 긍정 텍스트 확률 : 88.10%"
"[음료 있을 거 다 있지만], 긍정 텍스트 확률 : 64.35%"
"[엄청 좁고], 긍정 텍스트 확률 : 71.47%"
"[ 중기에서 후기 넘어 갔어요.중기 마지막인 일전부터 약간씩 게워내더니 어제 오늘 소화안된 무른변으로 시큼한 냄새도 나고..게워내는게 잘때도 있고 지금 놀다가도 있네요.내일부터 후기 넘어가는데이유식 양을 줄여줘야되는건지..많이 먹는편은 아니예요.첫수 분유 이유식 한시간 후 분유 이유식 한시간 후 분유 간식 거버 단계 퓨레 통막수 분유 후기그대로 먹여도 괜찮을까요?], 긍정 텍스트 확률 : 93.66%"
"[이제 갤 초기이유식 시작해서 아기만 잘먹으면 당분간 거버라이스시리얼분유 섞어줘보려 구매했지요.후기보니 다른 액상분유 잘 안먹는 아가도 잘먹는다해서 이참에 잘 먹으면 빨대컵으로라도 연습시켜 슬슬 혼합의 길을 가볼까 했죠.엊그제 처음 먹여봤어요.띠로리 먹이자마자 알러지증상 바로 올라오더라고요. ㅠㅠ....... .......? 본문 이미지이런.... 신생아때 남양 였나], 긍정 텍스트 확률 : 90.48%"
"[남은건 다 남줘야겠네용ㅠㅠ어젠 결국 감자미음을 만들었다지용], 긍정 텍스트 확률 : 82.10%"
"[ 곧 개월이 되요후기와 완료식과 유아식 요 세가지 사이를 왔다갔다 하고있구요 몸무게는 키로 된거같구요. 키도 평균이상이구요.어린이집을 다니고있어요.오늘부터 세끼를 시작하려고 하는데 정말 머리아프네요ㅋㅋ친정엄마은 이유식번이 너무 많다 하시고ㅋㅋ분유번 먹이라하규ㅋㅋ 애기안큰다하고ㅋㅋㅋㅋㅋㅋ진짜 그런가요???? 원래 패턴은 시분 분유 시 이유식시분시사이 분유 시 간식시 이유식시 분유이렇게 먹고있었는데 이번 이유식 끼 시작하면서 시분 시 이유식시 이유식시 간식시 이유식시 간식시 분유 이렇게 생각하고 있어요간식은 거버오트밀 이나 떡뻥주스 나 고구마 감자 이란거구요 ㅣㅜㅜㅜㅜ이유식번 ... 제욕심일까요????????ㅜㅠㅠㅠㅠㅠ아직은 원래먹던대로 분유번에 이유식번 먹여야할까요 ㅜㅜㅜ 이유식은 많게는 먹구요 대략 평균적으로 은 먹는거 같아요 ㅠㅜㅜㅜ 유아식으로 먹을땅 밥 반공기 먹구요 ㅠㅠ 도움..좀 주세요 ㅜㅠㅠㅠㅠㅠ ], 긍정 텍스트 확률 : 99.99%"
"[ 언제였나요정말 너무 힘들어하고 울어서남편과 합심아래장에 꽉 찬 묵은똥까지싹 빼내주었어요어떻게 했냐구요?그땐 푸룬같은 거 없고당장이 급해서다리 올리고 인나가 힘줄때항문 주위를 진짜 살짝씩 눌려주고면봉으로 자극을 줬더니딱딱한 똥이나오더라고요.......진짜 너무 딱딱해가지구ㅠㅠㅠㅠㅠㅠㅠ그 날 저희가족 다 땀 눈물 범벅이었네요준이는 지켜보면서우리가 인나 괴롭히는 줄 알고무섭다고 울고ㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 99.22%"
"[ 그런데 거버에서 나온 푸룬퓨레가 있는데푸룬은 저도 변비였을 때자주 먹던거라 잘 알거든요효과직빵요게 애들 변비에도 좋다길래바로 사왔어요 ], 긍정 텍스트 확률 : 80.65%"
"[ 개 세트구요효과가 있을지몰라 일단 세트만사와봤어요거버 사과푸룬퓨레예요 ], 긍정 텍스트 확률 : 72.77%"
"[ 격한 반김ㅋㅋㅋ ], 긍정 텍스트 확률 : 56.54%"
"[ 거버푸룬퓨레 먹인지 일째인데아직 시원한 응아는 없네욛후기보면 응폭탄맞았다하고응 너무많이싸서외출이 무서울정도라던데....인나는 번 쌌는데 여전히 딱딱한진흙또오..ㅇ좀더 꾸준히먹여봐야 될거같아요근데 한번 먹을때 얼마나 먹어야될까요?인나는 하나 번정도 나눠서먹는데양이 작아서 그런가...우리딸래미 변비 탈출좀 시켜줘요ㅠㅠ ], 긍정 텍스트 확률 : 88.27%"
"[이웃님들 생존신고합니다😅요즘 독박육아하면서 약간의 우울증아닌우울함이 오더라구요ㅋ와 한 긍정하는 제가그래서 저도 모르게 적금 털어가방 개 지르고현타 맞고 다시 온순하게 잘 지내고 있어요ㅋ저희딸은 계속 언급했지만분유는 잘 안먹어요.그나마 요즘 졸리점퍼 열심히뛰고 나면 힘든지 정도는먹어주는데... 그외에는늘 버려진답니다.원래 개월부터 이유식 시작해서몸무게 늘릴려고 했지만태어났을때 몸무게의 배가 되지못해일부터 이유식 시작했구요.엄마욕심에 간식도 먹이고 싶어서떡뻥.쌀튀밥 그리고 퓨레 구매했어요만들어서 주고싶지만눈에 안보이면 미친듯이 울고 징징대고 따님이 주무시면 지쳐 같이 잔다고이유식이나 퓨레 만드는건 첨부터포기했답니다 ], 긍정 텍스트 확률 : 96.55%"
"[ 깔끔하게 포장되어 왔어요 구매처는 오랜만에 티몬 ], 긍정 텍스트 확률 : 59.37%"
"[ 가격을 따지고 따졌는데사실 비슷했어요ㅎㅎ ], 긍정 텍스트 확률 : 93.74%"
"[ 사과죽을 먹어줬기때문이였어요ㅋㅋ단순단순 ], 긍정 텍스트 확률 : 60.31%"
"[ 두개로 포장되어 있어 먹일때 쏙쏙빼서 달랑달랑 들고가면되요살짝 데워줘도 된다는데차지 않아서 전 그냥 준답니다 ], 긍정 텍스트 확률 : 59.94%"
"[ 요즘 이래저래 살고 있습니다 ㅋㅋ개월수 지나면 다른 퓨레도 도전해봐야겠어요 .?개월아기간식개월아기간식 .?거버퓨레거버퓨레 .?거버이유식거버이유식 .?개월거버퓨레개월거버퓨레 .?거버퓨레구매후기거버퓨레구매후기 ], 긍정 텍스트 확률 : 89.95%"
"[ .?거버거버.?라이스시리얼라이스시리얼.?첫이유식첫이유식.?시판이유식시판이유식.?초기이유식초기이유식오늘은 아가 노아의 일 되는 날 드디어 이유식을 시작합니다. 많은 초보 엄마들이 언제 이유식을 시작하면 좋을지 고민하시죠?저 또한 아가는 점점 커 가고 엄마아빠가 먹는 것에 관심을 가져가니 조바심이 나더라구요. 언제 이유식을 시작해야하지? ], 긍정 텍스트 확률 : 87.19%"
"[ 저는 미국에 거주하고 있고 의사선생님을 전적으로 믿고 육아하고 있어요. 한국에 잠시 다녀오느라 늦어진 개월 체크업때이제 시작해도 됩니다 라고 하자마자 시작 ], 긍정 텍스트 확률 : 88.66%"
"[ 선생님 말씀 전에도 이유식을 시작하면 되겠다는 확신은 있었어요. 목을 가눈지 꽤 오래 되었고 뒤집기도 자유자재로 함. 엄마 무릎에 앉을 만큼 허리 힘이 있음. 의 몸무게. 완분개월 반의 나이. 음식 먹는 것을 자꾸 쳐다봄 민망미안하게...ㅎㅎㅎㅎ한국에서 돌아오면서 유기농 쌀가루도 구입했지만아직 우리 두사람의 시차적응과 준비물 구입에 시간을 갖는 동안거버 라이스시리얼로 먼저 스타트 하기로 했어요.], 긍정 텍스트 확률 : 99.90%"
"[ 우리 아가 첨으로 하이체어에 앉혀봅니다. 요 하이체어는 가 창고정리 하던 당시에 만원 정도 가격으로때 사다가 방에 모셔두었었어요. 이렇게 빨리 사용하게 될 줄 몰랐네요 ], 긍정 텍스트 확률 : 85.77%"
"[ 우리 아가 이유식 첫 입 먹다정말 귀여워 죽는 줄 알았어요 ㅠㅠ오만상을 다쓰면서 아기새처럼 받아먹네요.], 긍정 텍스트 확률 : 98.33%"
"[월요일저녁이에요폭풍같은 주말이 지나고나면 월요일은휴가기분이에요ㅎ ], 긍정 텍스트 확률 : 99.57%"
"[ 카브리타산양분유단계는분홍분홍이에요.개월에서 개월아기들이먹는 카브리타 산양분유. ], 긍정 텍스트 확률 : 71.42%"
"[ 긁어주면 돼요ㅎ ], 긍정 텍스트 확률 : 82.14%"
"[ 사용시주의사항수유방법이 자세히 적혀있어요.카브리타분유는물을 먼저 붓고분유를 타시면 돼요ㅎ ], 긍정 텍스트 확률 : 79.64%"
"[ 원재료함량 ], 긍정 텍스트 확률 : 52.23%"
"[ 입자가 단계랑단계랑 차이없이 고와요 ], 긍정 텍스트 확률 : 79.69%"
"[ 카브리타분유의단점.수저찾기및 관리인데요. ], 긍정 텍스트 확률 : 54.49%"
"[ 너무 큰 욕심일까요.. ], 긍정 텍스트 확률 : 77.69%"
"[ 옆으로 기울여 봐도가루는 보이지 않네요ㅎ ], 긍정 텍스트 확률 : 75.54%"
"[ 개월이 된 름이는 이유식과거버 이유식을이미 먹었음에도식후카브리타를쉽게 끊지 못하더라구요ㅎ맛있으니 그렇겠죠?ㅎㅎ ], 긍정 텍스트 확률 : 83.61%"
"[ 가끔 먹이다가 흘러서 손에 묻으면단내가 났어요ㅎ ], 긍정 텍스트 확률 : 81.71%"
"[ 긴글과 그림 봐주셔서감사합니다 ], 긍정 텍스트 확률 : 90.25%"
"[.?카브리타분유단계카브리타분유단계.?카브리타산양분유단계카브리타산양분유단계 .?네덜란드산양분유네덜란드산양분유.?카브리타카브리타 .?산양분유단계산양분유단계.?개월아기산양분유추천개월아기산양분유추천.?개월아기산양분유개월아기산양분유.?개월아기산양분유추천개월아기산양분유추천.?산양분유산양분유.?산양분유대장균검출산양분유대장균검출 ], 긍정 텍스트 확률 : 87.93%"
