"[ ..그 이유는 소화 단계에서 덩어리져.분해가 잘되지 않는카제인 단백질의.함량을 낮추고], 긍정 텍스트 확률 : 51.06%"
"[ 그외 활동시간엔빨대로 이용해 분유를 먹어주고 있답니다거부감 하나 없이 아이가잘먹어주니까 너무 좋네요 ㅎㅎ산양분유먹고 더 튼튼하게자랐으면 좋겠어요전 개월 까지 꾸준히분유를 먹일 생각이에요 ], 긍정 텍스트 확률 : 99.40%"
"[ 분유추천 카브리타 산양분유 체험 후기에요], 긍정 텍스트 확률 : 91.83%"
"[분유갈아타기를 해볼까 고민하던 중 베비언스를 통해 국내에정식 판매를 시작하는 카브리타 ], 긍정 텍스트 확률 : 74.72%"
"[산양분유의 런칭 기념 이벤트에 참여해서 만나게 되었답니다.소중한 아가를 위해서 영양성분 잘 검토하고 더욱 건강하게 키우고 싶은 마음으로 선택하게 되었답니다. ], 긍정 텍스트 확률 : 99.83%"
"[카브리타를 잘 모르시는 분들도 계실 거예요. 저도 국내 출시라는 소식에자세하게 살펴봤는데], 긍정 텍스트 확률 : 79.31%"
"[북미와 유럽 등 전 세계 개국에서 판매되는 글로벌 프리미엄으로단계 개월], 긍정 텍스트 확률 : 64.35%"
"[제가 산양을 고집하는 이유도 지방과 단백질의 구조가필수영양소들이 빠르고 효율적으로 흡수되도록 돕고소화 흡수가 잘 된다는 점이거든요.의 영양설계를 보면 성장에 유익한 영양소들이가득 들어있어서 앞으로 무럭무럭 커가는 아이를 보며행복할 수 있을 것 같았어요 ], 긍정 텍스트 확률 : 75.51%"
"[특히 소화가 쉽고 흡수가 잘 돼는 베타 카제인의 함량이 많아서], 긍정 텍스트 확률 : 71.58%"
"[연약한 아기의 장 건강에도 좋을 것 같았어요.이번에 알게 되었는데 산양에도 프리미엄 라인이 따로 있더라고요.개별 이어칩 관리를 통해 고유 정보 족보랑 나이], 긍정 텍스트 확률 : 97.68%"
"[엄마들의 많은 관심사가 덩어리지거나 거품이 많이 생기면서 수유할 때 공기까지 가득 흡수할까 하는 염려잖아요.눈꽃처럼 희고 고운 미세입자는 한 스푼 물에 타서관찰해봤는데 흔들지 않아도 물에 잘 녹더라고요소화 흡수율이 좋은 유청 단백질 함량이높은 덕분에 우리 아이가 그 덕분에 배앓이가 줄었던 건가 싶었고요제가 직접 촬영한 영상이나 이벤트 페이지에 가시면놀라운 퀄리티를 감상할 수 있답니다], 긍정 텍스트 확률 : 70.22%"
"[ 울 사랑하는 쭈니의 맘마 시간이에요개월이라 일 수유를 이유식 끼니 전에 먹고], 긍정 텍스트 확률 : 97.64%"
"[자기 전에 한 번으로 총 번이거든요끓은 물을 도씨 정도로 식힌 뒤 를 젖병에 부어요. 저희 집은 전용 포트가 있어서 평소에 도 사이에 맞춰두는 편이에요.쉽고 빠르게 녹아서 배고파하는 아가에게얼른 갖다 줬답니다 ㅎㅎ 꿀꺽 꿀꺽 잘도 먹어서 예뻐요 ], 긍정 텍스트 확률 : 95.93%"
"[ 특별히 먹이던 것과 섞지 않고 바로 산양분유로 갈아탔는데도냠냠 잘 먹고 잘 노는 우리 쭈니ㅎㅎ혹시라도 예민한 아기들은], 긍정 텍스트 확률 : 96.35%"
"[ 또는 정도로 기존 것과 섞어가면서갈아타주시면 될 거 같아요], 긍정 텍스트 확률 : 50.96%"
"[ 다이치 카시트 당첨 네덜란드 산양분유 카브리타 후기이벤트 역시 베비언스가 짱이에요 ], 긍정 텍스트 확률 : 99.32%"
"[생활건강 베비언스가 네덜란드에서 직수입해온 글로벌 산양조제식 카브리타 모유와 가장 비슷하고 소화가 잘되는 산양분유가 좋다는건 알지만], 긍정 텍스트 확률 : 80.98%"
"[가격적인 부담때문에 고민이었는데], 긍정 텍스트 확률 : 57.52%"
"[이번에 단계개월 카브리타 산양분유에 체험하게 되었어요.], 긍정 텍스트 확률 : 62.95%"
"[체험 상품만으로도 너무 감사한걸], 긍정 텍스트 확률 : 98.78%"
"[후기이벤트에서 다이치 카시트에 당첨된거에요 ], 긍정 텍스트 확률 : 60.77%"
"[용해도도 너무 좋고], 긍정 텍스트 확률 : 97.31%"
"[영양도 풍부한 카브리타. 아기가 정말 잘 먹고 소화도 잘 시켜요. 먹자마자 트림하는건 예사 ㅋㅋ 전에 산양분유 먹일때], 긍정 텍스트 확률 : 87.67%"
"[그리고 매달 베비언스 데이에 여러가지 행사상품을 정말 저렴한 가격에 득템할 수 있답니다 지름신 주의 ㅋㅋ ], 긍정 텍스트 확률 : 82.99%"
"[솔직히 말해서 산양분유는 국내 제품들 다 먹여봤거든요. 거의 비슷비슷한 가격이라면....저는 깨끗한 자연에서], 긍정 텍스트 확률 : 65.13%"
"[네덜란드 정부의 인증받은 목장의 산양유로 만든퀄리고트 년 역사의 카브리타를 먹이겠어요 ], 긍정 텍스트 확률 : 67.59%"
"[잘 먹여야 하는 때인데], 긍정 텍스트 확률 : 64.61%"
"[영양이 체계적으로 설계되고 소화흡수 빠른 카브리타가 우리 아기에게는 가장 좋은것같거든요.], 긍정 텍스트 확률 : 91.27%"
"[돌부터 시작한 카브리타 단계. 직전에 용해도가 정말 안좋은 유기농 분유를 먹이고 있던 터라 자주 토하고 게우는 일이 많아서 속상했는데 카브리타는 소화도 잘되고 아기가 잘 먹어서 정말 만족스러워요. 산양분유 고민하고 계시다면 카브리타 추천해요 ], 긍정 텍스트 확률 : 92.83%"
"[ 넘나 통통해서 눈이 잘 보이지도 않았었는데브이라인이 되어가고 있어서 엄마맘이 참 속상했어요분유부터 또 바꿔줘야하나.고민에 빠지다가 카브리타 산양분유를 만나보았습니다 ], 긍정 텍스트 확률 : 98.96%"
"[카브리타도 심플하게 알루미늄 캔따개에요 ], 긍정 텍스트 확률 : 76.49%"
"[대박이네요흔들지 않았는데 마니 녹아있어요 ㅎㅎㅎ입자고운건 카브리타가 짱인듯 ], 긍정 텍스트 확률 : 95.58%"
"[사실 압타밀 다좋은데프로푸트라는 잘 녹지만 프로누트라는 특히나ㅠㅠㅠ다먹이고나서 보면 젖병에 결정모양으로 분유가루가 남아있고국내브랜드 분유중에서도 덩어리져서 잘 녹지않는것들도 있었거든요근데 요건 입자가 고와서 그런가전혀 그런걱정이 필요가없더라고요카제인 단백질함량이 낮고 산양유 유청단백질의 함량이 높다고 하니당연히 소화흡수엔 더 좋겠죠? 오메가 지방산 함유라고 하니 더더욱 좋네요 ], 긍정 텍스트 확률 : 98.18%"
"[처음먹는 카브리타 산양분유 역시나 아주 잘 먹어주었어요 ], 긍정 텍스트 확률 : 58.08%"
"[혼자서도 잘먹는 울 왕자님이에요 ], 긍정 텍스트 확률 : 99.39%"
"[미리 다 먹고 좋아하는 울 아가 ], 긍정 텍스트 확률 : 92.40%"
"[믿을만한 네덜란드 산양분유 카브리타베비언스공식홈피말고도 소셜커머스와 각종 오픈마켓에서 구할수 있다고 하니기쁜소식이에요돌지나도 울 연년생남매들에게 카브리타 먹여주면 좋을것같아요마침 카브리타 체험이벤트도 하고있으니 구경한번 가보셔요 .... ], 긍정 텍스트 확률 : 99.65%"
"[ 카브리타 분유네덜란드 에서 온 산양분유 좋구나 ], 긍정 텍스트 확률 : 81.44%"
"[혼합수유 하다가분유수유 한지 꽤돼었네요 그래서 분유를 더 까다롭게 골라야 했는지도 몰라요시중판매 되는 분유가 얼마나 많은지 맘님들 다들 아시죠국산분유 부터 수입 분유 까지다양하게 아이에게 맞는 분유 찾으러 다닙니다], 긍정 텍스트 확률 : 98.05%"
"[아이 분유수유 하시는 맘님들은 ], 긍정 텍스트 확률 : 91.23%"
"[■ 분유 ■이 두 글자만 들으셔도 귀가 쫑긋 하실 겁니다], 긍정 텍스트 확률 : 65.52%"
"[런칭 소식이 알려 드립니다], 긍정 텍스트 확률 : 53.40%"
"[단계 입니다 개월개월 아이들이 섭취할 수 있는 분유에요유럽 분유들은 몇가지 접해봤는데 새로운 네덜란드 산양분유 라니호기심 뿜뿜 ], 긍정 텍스트 확률 : 95.10%"
"[늘 분유 사면서 보게 되지만], 긍정 텍스트 확률 : 73.84%"
"[ 가지 이상 다양한 필수 영양성분표를 보니안심 입니다 됩니다 엄마 마음은 늘 좋은 영양만 주고 싶어서 인것 같아요 ], 긍정 텍스트 확률 : 94.88%"
"[베비언스 분유회사 에서 네덜란드에서 직수입으로 분유를 가져온답니다 ], 긍정 텍스트 확률 : 51.08%"
"[국내 뿐만 아니라 대영양소 및 비타민에 대해 의 분유 법적 규격에맞춰 유럽식품안전청에서 권고하는 오메가 지방산까지 함유 ], 긍정 텍스트 확률 : 74.18%"
"[중요한 원재료가 자세히 표시 되어 있어요 ], 긍정 텍스트 확률 : 75.55%"
"[그밖에 성분들의 원산지와 ], 긍정 텍스트 확률 : 78.36%"
"[ 따뜻한 물을 끓여서 보온병에 담아 둡니다도가 카브리타 분유 타기 적정온도라서분 정도 식혀준다음 분유 타면 됩니다 ], 긍정 텍스트 확률 : 70.72%"
"[꼭 분이 아니어도 실내 온도에 따라 물온도가 내려가는 건 ], 긍정 텍스트 확률 : 52.02%"
"[재봐야 알겠죠], 긍정 텍스트 확률 : 76.41%"
"[따뜻한 물온도가 카브리타 분유 타기 좋은 ], 긍정 텍스트 확률 : 96.32%"
"[카브리타 제품뒷면에 보시면 아기 월령에 따른 수유권장량과분유 타는 법이 자세히 나와 있습니다 아주 쉬우니 초보아빠들도 엄마들도 쉽게 따라 하실 수 있습니다], 긍정 텍스트 확률 : 79.73%"
"[외출하고 바로 먹일 수 있어서 조금 뜨뜻하게 탔습니다 ], 긍정 텍스트 확률 : 89.38%"
"[저희 남편은 아직도 손목에 온도 재는 걸 못해요 다른 아빠들은 잘하시겠죵 ㅋㅋ], 긍정 텍스트 확률 : 87.74%"
"[젖병을 잘 흔들어 섞어 줍니다 분유를 옆으로 살살 흔들어], 긍정 텍스트 확률 : 72.87%"
"[아이랑 예방 접종 하러 간답니다 외출 할 땐 꼭 이렇게 ], 긍정 텍스트 확률 : 51.32%"
"[분유와 보온병 생수 등 기타 여러가지 꼭 챙깁니다 ], 긍정 텍스트 확률 : 66.12%"
"[분유수유 하시는 맘들은 짐이 많다는거 ㅜㅜ 어쩔 수 없지만요 ], 긍정 텍스트 확률 : 59.72%"
"[밀폐 좋은 깡통분유 굿 씩 담아서 가감해서 먹이기 아주 좋다는거 많이 먹는 아이들과는 다르게 또 조금씩 먹는 아이들도 많으니깐요그리고 네덜란드 산양분유 라는거 소화잘되기로 유명한 산양분유라는점 좋아요 ], 긍정 텍스트 확률 : 99.99%"
"[ 베비언스 로부터 체험제품 무상지급 받고 작성한 후기입니다 ], 긍정 텍스트 확률 : 59.16%"
"[컨디션에 따라 먹는게 다르더라구요. 혹시 다른 분유는 더 잘 먹을까 하는 마음에 모유와 가장 비슷하다는 산양분유를 먹여봤어요. 산양분유는 워니 개월정도일때 먹여보긴했는데잘 먹었던것 같은 기억이 있어서 ㅎㅎ 산양분유 중에 좋다는 카브리타 네덜란드 산양분유로 선택했어요.], 긍정 텍스트 확률 : 99.04%"
"[중동아시아등 전 세계 개국에서 판매되고 있고 우리나라에도 베비언스가 국내에 정식수입해서 판매하고 있어요.], 긍정 텍스트 확률 : 94.60%"
"[ 아기가 먹기때문에 분유는 원유와 관리 프로그램이중요하다고 생각하는데], 긍정 텍스트 확률 : 53.99%"
"[잘 먹기를 바라는 엄마의 마음을 담아 산양분유 오픈 ㅎㅎ], 긍정 텍스트 확률 : 99.43%"
"[ 스푼이 참 귀엽네요 ], 긍정 텍스트 확률 : 88.80%"
"[ 입자가 부드럽고 고와서 스푼으로 분유를 덜으면 사르르 떨어지는데 새하얀 눈같아요. 분유입자가 미세하기 때문에 분유를 탈때에도 금방 녹아 젖병을 흔들지 않아도 돼요], 긍정 텍스트 확률 : 61.69%"
"[정말 덩어리없기 사르륵 녹네요. 이렇게 잘 녹으니 아기가소화시키는데부담이 적을 수 밖에 없죠 ], 긍정 텍스트 확률 : 78.01%"
"[이제 먹어볼까요?], 긍정 텍스트 확률 : 52.52%"
"[어디서 먹어본 맛인데?” 라는 표정 같지 않나요?], 긍정 텍스트 확률 : 52.82%"
"[업체로부터 물품을 제공받아 작성한 후기입니다 ], 긍정 텍스트 확률 : 59.78%"
"[아기가 좋아하는 베비언스카브리타 프리미엄 산양분유], 긍정 텍스트 확률 : 75.75%"
"[ 이유식과 더불어 비나의 영양을 책임지는 분유], 긍정 텍스트 확률 : 77.02%"
"[ 산양분유가 좋다고는 하지만], 긍정 텍스트 확률 : 52.64%"
"[ 그래서 이번에 마지막일것 같다], 긍정 텍스트 확률 : 90.66%"
"[ 카브리타에 도전을 해보았답니다], 긍정 텍스트 확률 : 52.10%"
"[그 결과는?], 긍정 텍스트 확률 : 53.54%"
"[ 바로 요 귀여운 친구가 카브리타에요], 긍정 텍스트 확률 : 97.98%"
"[ 저도 사실 직접 먹여보기전까진], 긍정 텍스트 확률 : 74.54%"
"[ 베비언스 에서 만날 수 있다고 해서], 긍정 텍스트 확률 : 65.76%"
"[ 아하 믿을 수 있겠다 싶었죠..ㅎㅎ], 긍정 텍스트 확률 : 95.47%"
"[ 카브리타 분유의 영양성분표에요. ], 긍정 텍스트 확률 : 78.46%"
"[ 대 영양소 및 비타민에 대해 의 분유 법적 규격에 맞췄을 뿐 아니라 유럽식품안전청에세ㅓ 권고하는 오메가 지방산도 함유되어 있다네요 ], 긍정 텍스트 확률 : 60.89%"
"[이게 왠일이에요], 긍정 텍스트 확률 : 56.98%"
"[요즘따라 잘 먹지 않던 비나가], 긍정 텍스트 확률 : 86.97%"
"[계속해서 먹여보니 반응이 괜찮더라구요 ], 긍정 텍스트 확률 : 93.84%"
"[카브리타 사랑합니다..ㅎㅎ], 긍정 텍스트 확률 : 91.59%"
"[카브리타 분유가 정말 소화흡수가 잘되는 분유인가봐요], 긍정 텍스트 확률 : 64.42%"
"[매일 두 세번..], 긍정 텍스트 확률 : 55.48%"
"[정말 어마어마한 양의 그분들을 만들어내는거 보면..ㅎㅎ], 긍정 텍스트 확률 : 90.92%"
"[잘먹고 잘싸고], 긍정 텍스트 확률 : 71.83%"
"[이게 최고죠], 긍정 텍스트 확률 : 97.14%"
"[이 들어있어서], 긍정 텍스트 확률 : 51.37%"
"[유아의 두뇌와 신체 발달에], 긍정 텍스트 확률 : 63.30%"
"[정말 엄마입장에서는 굿굿], 긍정 텍스트 확률 : 84.93%"
"[아기가 정말 잘 먹고], 긍정 텍스트 확률 : 77.02%"
"[소화를 잘 시켜요], 긍정 텍스트 확률 : 65.02%"
"[소화잘되는 분유도 알고], 긍정 텍스트 확률 : 74.74%"
"[진정한 프리미엄 산양분유가 아닌가 싶네요], 긍정 텍스트 확률 : 72.43%"
"[ 아기가 분유를 먹고 자주 게워낸 적이 있거나변의 색이 좋지 않았던기억이 있다면 이 글이 도움될 것 같아요물론], 긍정 텍스트 확률 : 53.68%"
"[아직 혼자 앉지 못하는 아기들은게워내는 것이 일상인데요.저희 아이 같은 경우는 분유를 게워내는데 정말 토냄새처럼 지독한 냄새가 나더라구요변도 녹변을 누더니 물론 녹변도 정상변이에요변색이 점점 안좋아졌어요소화가 잘 안돼서 그렇다는걸 알게 되었고소화 잘되는 분유를 찾아보고는바꾸게 되었는데요 ], 긍정 텍스트 확률 : 97.04%"
"[ 요새 베비언스에서 나오는카브리타 산양분유를 많이 먹이시더라고요이미 개국에서 판매되고 있던 분유인데이번에 베비언스를 통해 한국에서도구매가 가능하게 되었어요ㅎㅎ ], 긍정 텍스트 확률 : 93.36%"
"[ 네덜란드 산양조제식 분유인데요.소화흡수가 잘되어잘 게워내는 아기들에게 정말 좋겠더라구요울 아들도 전에 먹던 분유는 잘 게워내서항상 걱정되었는데], 긍정 텍스트 확률 : 98.09%"
"[오메가 지방산 을함유하고 있는데], 긍정 텍스트 확률 : 56.56%"
"[ 네덜란드 정부에서 인정 받아 원유 품질 기준을 통과한 목장의 산양원유만을 사용해요비싼 분유라도 건강한 산양], 긍정 텍스트 확률 : 51.63%"
"[우리아기에게좋을리가 없다는 것 아시죠?저는 그래서 산양이 어느 환경에서 자라고], 긍정 텍스트 확률 : 68.97%"
"[ 먹이는 어떤 것을 먹는지], 긍정 텍스트 확률 : 74.19%"
"[제조한먹이를 먹은 산양들의 원유라니 전 정말 우리아기에게 먹이고 싶었어요 ], 긍정 텍스트 확률 : 70.55%"
"[ 카브리타 산양분유 뚜껑을 열면 이렇게 속 포장지를 뜯게 되어 있어요깔끔하게 제거하고 분유가루를 살펴보아요 ], 긍정 텍스트 확률 : 57.08%"
"[ 입자가 고운편은 아니더라고요좀 아쉬웠던건 스푼 찾기가 어려웠다는점ㅎ분유 안에 파뭍혀서 기존에 쓰던스푼으로 뒤적뒤적 찾았어요 분유는 물에 잘녹으니 걱정 마시구요가루를 먹어보니 달지 않아서 좋아요 분유 타는 법에 끓인물 분 동안 식혀서 온도가 도 정도 되면 분유를 타서찬물에 식혀서 어쩌고 적혀있는데아기들 기다리는 동안 어째 그러고 있나요...전 그냥 집에 있던 분유포트 물 바로 사용해도잘만 녹으니 그냥 쓰던 방법대로 분유 타려구요ㅋㅋ ], 긍정 텍스트 확률 : 93.10%"
"[ 드디어 찾은 스푼 완전 귀여워요ㅎㅎ개월 회 수유시 물 스푼개월 회 수유시물 스푼이라고 나와있지만 아기들 먹는양이다 다르고 이유식양도 다르니우리 아기 먹는 양에 맞춰 먹이시면 돼요 물 당 한스푼 이니까 참고하시구요 ], 긍정 텍스트 확률 : 84.11%"
"[스푼만 타봤어요역시나 원샷하더라구요 울 아기는ㅎㅎ ], 긍정 텍스트 확률 : 91.78%"
"[ 수입 산양분유 베비언스 카브리타아기 몸무게 늘리기 대작전 ], 긍정 텍스트 확률 : 65.49%"
"[네덜란드에서 온 소중한 분유에요성장기 우리 아들을 위한 안성맞춤개국에서 판매되는 글로벌한 제품이랍니다 ], 긍정 텍스트 확률 : 94.06%"
"[몸무게 늘리기 대작전으로 선택한 네덜란드 산양분유 카브리타], 긍정 텍스트 확률 : 62.75%"
"[ 년의 역사를 가진의 노력과 기술이 깃든 카브리타 산양분유라 믿음이 갑니다. ], 긍정 텍스트 확률 : 72.34%"
"[“얼른 분유 간식 먹자조금만 기다려줘 아들” ], 긍정 텍스트 확률 : 56.35%"
"[혼자서 잘 잡고 먹어요간식으로 쵝오 ], 긍정 텍스트 확률 : 87.38%"
"[맛있는 산양분유맘에들어요♡], 긍정 텍스트 확률 : 83.24%"
"[한국에서 지내는 주 동안 살 많이 쪄서 가자꾸나 ], 긍정 텍스트 확률 : 88.16%"
"[분유 먹고나서 울 강건이 응까를 보니 소화가 부드럽게 잘 됐더라고요.배앓이 걱정 없어 신생아 때부터 먹으면 더 좋을 것 같아요카브리타 산양분유 고마워요 ], 긍정 텍스트 확률 : 79.77%"
"[해당 업체로부터 제품만을 무상으로 제공받아 작성한 후기입니다. ], 긍정 텍스트 확률 : 52.07%"
"[ .?분유추천], 긍정 텍스트 확률 : 79.58%"
"[ 분유추천], 긍정 텍스트 확률 : 79.58%"
"[쭈니는 신생아 때 조리원에서 먹던 분유가 맞지 않는지 잘 소화를 못시켜서 잠깐 산양분유 먹였다가 일반분유를 먹이고 있는 중이에요 그런데 요즘 대변보는것도 시원찮고 가끔 소화가 안됐는지 배가 빵빵한채로 더이상 먹으려하지 않을 때가 많아서 분유를 바꿔야하나 고민중이었는데 이제 분유먹을날도 얼마없겠다 비싸지만 좋은산양분유 다시한번 먹여봐야지 하고 카브리타를 먹여봤어요], 긍정 텍스트 확률 : 58.73%"
"[목장환경부터 만드는 모든 과정을 체계적으로 관리하고 산양분유 제조게 있어 선진기술을 가진 년 유제품역사를 자랑해요 벨기에], 긍정 텍스트 확률 : 50.17%"
"[산양의 건강과 복지], 긍정 텍스트 확률 : 59.70%"
"[농장의 위생], 긍정 텍스트 확률 : 52.07%"
"[원유의 품질에 대한 기준을 통과한 목장만이 퀄리고트 인증라벨이 허용된다 하더라구요 산양의 나이], 긍정 텍스트 확률 : 80.00%"
"[두뇌발달에 필수적인 ], 긍정 텍스트 확률 : 70.12%"
"[레놀렌산 모두 함유되어있어요 ], 긍정 텍스트 확률 : 88.73%"
"[ 특히나 소화단계에서 덩어리져서 분해가 잘 되지 않는 ], 긍정 텍스트 확률 : 88.78%"
"[카제인 단백질의 함량이 낮고 소화흡수율이 좋은 산양유 유청단백질의 함량이 높아우유 대비 소화가 용이하다고 하더라구요 통잠의 첫걸음], 긍정 텍스트 확률 : 65.99%"
"[ 대 영양소 및 비타민에 대해의 분유 법적 규격에맞췄을 뿐만 아니라 유럽신품안전청에서 권고하는 오메가지방산 을 함유하고 있어요 를 뇌와 눈 발달을 촉진시키는 전 유아분유의 중요성분이죠 전 분유 먹일 때 성분이 얼마나 있나 꼭 살펴봐요ㅎㅎ 두뇌야 잘자라라하면서요 ㅋㅋ ], 긍정 텍스트 확률 : 86.60%"
"[ 꼼꼼하게 잘 포장되어 있구요 스푼도 내장되어 있어요산양분유의 특장점답게 ], 긍정 텍스트 확률 : 93.20%"
"[ 분유가루도 엄청 곱고 부드럽더라구요], 긍정 텍스트 확률 : 57.25%"
"[ 에 카브리타 스푼을 넣어서 총 가 됐어요 입이 까다로운 아가라서 잘 먹을 지 처음엔 정말 고민되더라구요 ], 긍정 텍스트 확률 : 90.02%"
"[시간동안 낮잠 잤어요 ㅋㅋㅋ잘먹어서 좋고 소화가 잘되니 잘자서 더 좋고 영양도 좋고 아가 몸에도 좋은 카브리타 산양분유. 이제 계속 먹여봐야겠어요혹시 소화가 잘 안되는 아가], 긍정 텍스트 확률 : 99.15%"
"[저희 아이는 개월이 되어가고 있어서 단계를 먹여야한답니다], 긍정 텍스트 확률 : 52.24%"
"[계속 돌아다니면서 젖병을 놓지않더라구요 ㅎㅎ ], 긍정 텍스트 확률 : 77.94%"
"[다 먹고 나서의 바닥모습이에요], 긍정 텍스트 확률 : 89.50%"
"[입자가 고와서 확실히 밑에 남는게 없더라구요], 긍정 텍스트 확률 : 50.88%"
"[저녁에 자기전에 또 먹였는데요 ㅎㅎ], 긍정 텍스트 확률 : 75.24%"
"[역시나 잘먹더라구요 ㅎㅎ], 긍정 텍스트 확률 : 94.79%"
"[잘 마셔주니 저도 좋았답니다], 긍정 텍스트 확률 : 76.80%"
"[산양조제식 분유가 좋은건 다 아는 사실하지만 국내 출시된 산양조제식 분유도 다양해서 엄마는항상 갈등중..그 중 🌻는 카브리타 산양조제식 분유를 선택했답니다 ], 긍정 텍스트 확률 : 59.52%"
"[유통기한도 넉넉하고안전하게 이중씰로 되어 있고 손잡이를 잡고 열기 편하게 되어 있어요 ], 긍정 텍스트 확률 : 87.00%"
"[사실 다른 산양유 먹여 봤는데 잘 안 녹음..ㅠ그래서 매번 뜨거운 물에 먼저 녹인 후 찬물로 온도를 맞춰줘야 해서 넘 귀찮..그런데 카브리타는 아기가 바로 먹을수 있는 도로 분유를 탔음에도 사르르 잘도 녹는구나 ], 긍정 텍스트 확률 : 68.48%"
"[분유 바꿔서 아직 로 먹이고 있는데 잘 먹어줘서 고마워주생활건강으로부터 제품을 무상으로 제공받아 작성한 솔직한 후기입니다 .?산양조제식산양조제식.?산양분유산양분유.?베비언스베비언스.?카브리타카브리타.?물에잘녹는분유물에잘녹는분유 ], 긍정 텍스트 확률 : 64.09%"
"[ 우수후기 상품 도착 원 상당이라 ㅋㅋㅋㅋ 사실 병은 오나 싶었는데 병이 왔더라구요 ], 긍정 텍스트 확률 : 66.67%"
"[그래도 만족해요.. ♥ 다음주에 여행갈때 바리바리 챙겨서 가야 겠어요 젖병을 어떻게 챙겨야 하나 고민이었는데], 긍정 텍스트 확률 : 97.92%"
"[별이가 카브리타 산양분유도 베비언스 액상분유도 잘 먹었던지라우수후기 선물 너무나 좋아요우수후기로 뽑아주신 베비언스 담당자님들 감사합니다앞으로 더 열심히 해야 겠어요으쌰으쌰 ], 긍정 텍스트 확률 : 96.96%"
"[우연히 베비언스의 카브리타 산양분유 체험단에 당첨이 되어서자알먹고이렇게 후기를 남겨요.저도 어릴때 양젖을 먹어본 적이 있는데 꽤나 고소하고 찐득했던 듯한 기억이...?ㅋㅋ우리 아가 스펙은요.가리는 것 없이 잘먹고 잘입고 우람한 개월 살이 슈퍼베이비예요.ㅋㅋ ], 긍정 텍스트 확률 : 99.99%"
"[그래서 원래 먹던 홀레 분유에서 바로슝 카브리타 산양분유 수유하였습니다.산양분유를 만드는 회사도 꽤 많더라구요.그래서 산양분유가 좋은점이 뭔지 궁금해져서 서치하다 꽤나객관적인 듯한닥터의 글을 퍼왔어요 ], 긍정 텍스트 확률 : 98.04%"
"[꽤나 열심히 해석했지요?ㅎㅎㅎ 고때로 돌아간줄 알았어요ㅋㅋ ], 긍정 텍스트 확률 : 78.30%"
"[개월 아가의 엽산 요구량은], 긍정 텍스트 확률 : 55.27%"
"[카브리타 산양유단계의 엽산 함유량은], 긍정 텍스트 확률 : 55.27%"
"[충분한 엽산 섭취가 가능 ], 긍정 텍스트 확률 : 66.33%"
"[물론 자세한 영양성분과 산양유 원재료에 대해서는 링크된 홈페이지에 잘 나와있답니다], 긍정 텍스트 확률 : 89.47%"
"[우리집 겸둥이 젖병보면 저렇게우다다 달려온답니다.헤헤 ], 긍정 텍스트 확률 : 69.25%"
"[모두 황금변 봤답니다], 긍정 텍스트 확률 : 75.79%"
"[한번쯤], 긍정 텍스트 확률 : 84.34%"
"[도전해봄직 하지 않나 싶은 마음입니당 ㅎㅎ ], 긍정 텍스트 확률 : 96.18%"
"[이상으로 카브리타 산양분유 후기 끄읕감사합니다. 베비언스 ], 긍정 텍스트 확률 : 81.89%"
"[베비언스가 네덜란드에서 직수입 하는 카브리타국내 조제식과 타는 방법이 다른가 봐요. 저는 아직 예비맘이라 분유를 태워 본 적이 없어요. ], 긍정 텍스트 확률 : 99.20%"
"[아기꺼 몰래 퍼먹어는 봤지만요 헤헷카브리타 타는 방법을 가져왔어요.], 긍정 텍스트 확률 : 64.57%"
"[베비언스에서 만날 수 있는 네덜란드에서 건너온 산양 분유 카브리타예요전 베비언스에서 체험할 수 있는 이벤트에 당첨되어 부담없이 만날 수 있었어요. 아이 분유라는게 내가 먹는 제품이 아니다보니 더욱 고르고 고르게 되잖아요ㅠ 가격도 저렴하지도 않구요..우선 저희아이는 입이 짧아서 늘 걱정인 아이예요. 그래서 조금 부족한 영양을 아이가 거부감 없이 섭취할 수 있었음 하는것이 목표였어요카브리타는 눈꽃 입자라는 별명이 잘 어울려서 정말 스르륵 풀려요.전 젖병에 주지 않고 정량컵에 마실 수 있도록 주었는데요..젖병을 흔들어도 먹다보면 녹지않은 분유 덩어리들을 보며 속상했었는데.. 카브리타는 깨끗하게 녹아서 뭉친 덩어리가 없더라구요맛은..다른 분유들은 물에 타면 분유 특유의 비린내가 있는데 요건 많이 느끼지 못했구요..가루만 먹어보니 단 맛은 덜 하더라구요다만 아쉬운 점은 스푼이 넘 작아요..손잡이가 조금 길었으면 하는 아쉬움이 있어요..항상 분유를 개봉하며 느끼는건데 플라스틱 뚜껑만 열면 원터치가 있는게 늘 마음에 걸려요..다른 분유들도 마찬가지이지만.. 분유캔의 위생차원에서 비닐이나 다른 방법으로 캔을 포장했음 좋겠다는 생각을 해요..사진으로 제품의 이미지와 영양 성분 정보 함께 해요 ], 긍정 텍스트 확률 : 99.99%"
"[♥ 위 제품은 업체에서 제품만 제공받아 솔직히 작성한 후기 입니다♥ .?베비언스베비언스 .?산양분유산양분유 .?카브리타카브리타 .?눈꽃분유눈꽃분유 ], 긍정 텍스트 확률 : 99.98%"
"[얼마전 영유아검진 갔더니 의사쌤이 아이가 체중이 적은 편이고 ], 긍정 텍스트 확률 : 87.60%"
"[고기를 잘 먹지않아서 빈혈이 올 수 있으니], 긍정 텍스트 확률 : 79.85%"
