"[.뢰벤짠 새로 꺼내며 찍어본 우리집 도련님 저장고. ], 긍정 텍스트 확률 : 60.69%"
"[안녕하세요오늘 올라온 합리적인 가격에 만족도가 높은 제품의의 실제 구매 후기를 정리해드려요ㅎㅎ], 긍정 텍스트 확률 : 92.49%"
"[아래쪽에 보시면 쿠팡에서 모든 물건을할인해서 구매하는 방법에 대해 작성해두었어용 이왕 구매하시는거할인받으세용], 긍정 텍스트 확률 : 56.62%"
"[통입니다 퓨어락 추천으로도 자주 언급되는 상품이기도 하죠ㅎㅎ], 긍정 텍스트 확률 : 96.02%"
"[👉원산지 상품 상세설명 참조 가격은 오늘 일자 기준으로정가 ], 긍정 텍스트 확률 : 53.42%"
"[ 현명한 소비 생활을 위해서 정말 괜찮은 제품인지], 긍정 텍스트 확률 : 62.07%"
"[실제로 구매한 사람들의 후기를 봐야겠죠?ㅎㅎ 로켓배송으로 유명한 쿠팡 고객님들의 솔직한 구매 후기들을 모아봤어요], 긍정 텍스트 확률 : 57.25%"
"[최유님의 구매후기 ], 긍정 텍스트 확률 : 66.12%"
"[알고나서 개월부터 분유 졸업때까지 먹인 뢰벤짠❤물에도 잘 녹고 아가도 잘 먹고 황금변까지 게다가 유기농분유니 무슨 말이 더 필요할까요 수입분유지만 가격도 크게 비싼편 아니니 물론이지만], 긍정 텍스트 확률 : 93.89%"
"[한 번 먹여본 이상 안 먹일 이유 없다고 생각해요ㅎㅎㅎ두찌 탄생으로 다시 시작해봅니다유일한 단점인 분유 보관부분에 대한 코멘트], 긍정 텍스트 확률 : 92.69%"
"[분유 보관통을 인터넷에서 따로 구매해서 이용중이에요. ], 긍정 텍스트 확률 : 93.68%"
"[전영님의 구매후기 ], 긍정 텍스트 확률 : 66.12%"
"[ 이분유 구매하려고 인터넷 뒤져도 프레 단계가 거의 품절이라 없더라구요. 다행히 쿠팡에 있어서 구매했고 생각보다 배송도 빠르게 와서 너무 좋았습니다. 성분 좋다는 소리 듣고 한참 고민하다 먹였는데 다행히 거부감 없이 잘 먹네요 ], 긍정 텍스트 확률 : 98.42%"
"[김미님의 구매후기 ], 긍정 텍스트 확률 : 52.07%"
"[ 잘 녹아요 굿 바꾸기 전에도 독일분유 먹였었는데 그분유는 안 녹은 덩어리가 이만큼씩 붙어 있곤 했는데 뢰벤짠 감동 홀레와 압타밀의 장점만 모아 만들었다니 믿고 먹이고 있습니다 어제 검은색 이물질이 분유 먹이는 도중에 발견 됨 다른 유기농 분유 후기에서 그런 경우가 많고 유기농은 어쩔수 없다는 글을 본 적이 있어서 일단 넘어감 그래도 한번 더 나오면 찝찝할듯ㅠ 보통 분유는 미리에 한 수푼 이지만 이건 약 미리에 한 수푼 그래도 분유 훅훅 없어지네요ㅠ 분유 바꾸기 전에 짜리 먹일때랑 확실히 체감이 돼요ㅋㅋ 지금 박스씩 두번째 구입 세박스 두박스 정도 남으면 불안해짐 지금 주문할까? 이렇게ㅋㅋ 근데 제주도인데도 항상 배송 예정일보다 며칠 빨리 왔어용굿 아기가 잘 먹고 토도 안 해요 건강히 쑥쑥 자라길 ], 긍정 텍스트 확률 : 98.62%"
"[지금 쿠팡에서 쿠팡와우클럽으로 쿠팡 캐쉬를 충전하면 를 적립해주는 이벤트를 진행중이라고하니 이왕 사는거 적립금도 받고 좋을거 같아용 무료 로켓배송은 덤이죵ㅎㅎ 아래 링크 클릭하시면 자세히 알 수 있어용 ], 긍정 텍스트 확률 : 95.67%"
"[ 이번에 추천드린 퓨어락], 긍정 텍스트 확률 : 92.75%"
"[통 어떻셨나요??ㅎㅎ 주력 상품이다 보니 일시 품절 될 수 있으며], 긍정 텍스트 확률 : 90.71%"
"[포스팅 작성 시간 기준의 상품 가격이므로 구매전에 꼭 확인하시고 구매하셔용ㅎㅎ], 긍정 텍스트 확률 : 85.53%"
"[매일 매일 인터넷에서 행사 상품 또는 특가로 뜨는 괜찮은 전자제품 정보를 계속 받아보시려면 이웃추가와 좋아요 부탁드릴께용ㅎㅎ감사합니다 ], 긍정 텍스트 확률 : 98.95%"
"[ 추천합니다], 긍정 텍스트 확률 : 80.29%"
"[ 에 판매되고 있습니다. ], 긍정 텍스트 확률 : 64.98%"
"[ 위 가격은 포스팅 시점의 할인가이니 ], 긍정 텍스트 확률 : 53.81%"
"[ 실제 구매시 금액을 꼭 확인 하세요. ], 긍정 텍스트 확률 : 54.60%"
"[알고나서 개월부터 분유 졸업때까지 먹인 뢰벤짠❤ ], 긍정 텍스트 확률 : 58.32%"
"[물에도 잘 녹고 아가도 잘 먹고 황금변까지 게다가 유기농분유니 무슨 말이 더 필요할까요 수입분유지만 가격도 크게 비싼편 아니니 물론이지만], 긍정 텍스트 확률 : 95.57%"
"[한 번 먹여본 이상 안 먹일 이유 없다고 생각해요ㅎㅎㅎ두찌 탄생으로 다시 시작해봅니다 🙂 유일한 단점인 분유 보관부분에 대한 코멘트], 긍정 텍스트 확률 : 92.69%"
"[분유 보관통을 인터넷에서 따로 구매해서 이용중이에요.이분유 구매하려고 인터넷 뒤져도 프레 단계가 거의 품절이라 없더라구요. 다행히 쿠팡에 있어서 구매했고 생각보다 배송도 빠르게 와서 너무 좋았습니다. 성분 좋다는 소리 듣고 한참 고민하다 먹였는데 다행히 거부감 없이 잘 먹네요잘 녹아요 굿 바꾸기 전에도 독일분유 먹였었는데 그분유는 안 녹은 덩어리가 이만큼씩 붙어 있곤 했는데 뢰벤짠 감동 홀레와 압타밀의 장점만 모아 만들었다니 믿고 먹이고 있습니다 어제 검은색 이물질이 분유 먹이는 도중에 발견 됨 다른 유기농 분유 후기에서 그런 경우가 많고 유기농은 어쩔수 없다는 글을 본 적이 있어서 일단 넘어감 그래도 한번 더 나오면 찝찝할듯ㅠ 보통 분유는 미리에 한 수푼 이지만 이건 약 미리에 한 수푼 그래도 분유 훅훅 없어지네요ㅠ 분유 바꾸기 전에 짜리 먹일때랑 확실히 체감이 돼요ㅋㅋ 지금 박스씩 두번째 구입 세박스 두박스 정도 남으면 불안해짐 지금 주문할까? 이렇게ㅋㅋ 근데 제주도인데도 항상 배송 예정일보다 며칠 빨리 왔어용굿 아기가 잘 먹고 토도 안 해요 건강히 쑥쑥 자라길블로그들 서치 하다 알게된 분유인데 정말 좋은거 같아여 개월 동안 배앓이 한 번 없이 응가도 하루번 꼭 황금변 보고 진짜 최고에요 물에 녹긴 또 엄청 잘 녹아요 ㅋㅋ ], 긍정 텍스트 확률 : 100.00%"
"[즐거운 쇼핑 하세요 ♡ ], 긍정 텍스트 확률 : 81.05%"
"[ 이 포스팅은 “쿠팡 파트너스” 활동의 일환으로 ], 긍정 텍스트 확률 : 50.43%"
"[ 이에 따른 일정액의 수수료를 제공받고 있습니다], 긍정 텍스트 확률 : 66.42%"
"[ 이 포스팅은 쿠팡 파트너스 활동의 일환으로], 긍정 텍스트 확률 : 50.43%"
"[이에 따른 일정액의 수수료를 제공받고 있습니다. ], 긍정 텍스트 확률 : 68.48%"
"[★ 가격은 변동될 수 있음 ★ ], 긍정 텍스트 확률 : 75.24%"
"[잘 녹아요 굿 바꾸기 전에도 독일분유 먹였었는데 그분유는 안 녹은 덩어리가 이만큼씩 붙어 있곤 했는데 뢰벤짠 감동 홀레와 압타밀의 장점만 모아 만들었다니 믿고 먹이고 있습니다 어제 검은색 이물질이 분유 먹이는 도중에 발견 됨 다른 유기농 분유 후기에서 그런 경우가 많고 유기농은 어쩔수 없다는 글을 본 적이 있어서 일단 넘어감 그래도 한번 더 나오면 찝찝할듯ㅠ 보통 분유는 미리에 한 수푼 이지만 이건 약 미리에 한 수푼 그래도 분유 훅훅 없어지네요ㅠ 분유 바꾸기 전에 짜리 먹일때랑 확실히 체감이 돼요ㅋㅋ 지금 박스씩 두번째 구입 세박스 두박스 정도 남으면 불안해짐 지금 주문할까? 이렇게ㅋㅋ 근데 제주도인데도 항상 배송 예정일보다 며칠 빨리 왔어용굿 아기가 잘 먹고 토도 안 해요 건강히 쑥쑥 자라길 ], 긍정 텍스트 확률 : 98.62%"
"[야기가 잘먹어요압타밀 먹이다가 참치함유되 있다는 거 보고 독일 내수용 구매하려다가 뢰벤짠이 유기농이고 식물성 오메가함유라 구매했어요 .그전에는 아이엠마더랑 압타밀 먹였었는데 다 잘먹는 아가라 이것도 분유 갈아타는거 한번에 잘 갈아탔구요먹어보니 두 종류 보단 덜 달고 꼬소한 맛이였어요 . 분유 입자가 고르고 물에도 잘 녹아요한개 먼저 구매해 보았는데 괜찮은 듯 해서 여섯개짜리로 재주문 했습니다 우리아기 황금응가해요 분유맛은 달달한것같아요 친구들에게노 추천했어요 물에잘녹아요 남편이 검색해서 유기농이고 분유의 장정만 모아서 만든거라 극찬을해서 구입했네요 ], 긍정 텍스트 확률 : 94.41%"
"[★ 가격은 변동될 수 있음 ★ ], 긍정 텍스트 확률 : 75.24%"
"[잘 녹아요 굿 바꾸기 전에도 독일분유 먹였었는데 그분유는 안 녹은 덩어리가 이만큼씩 붙어 있곤 했는데 뢰벤짠 감동 홀레와 압타밀의 장점만 모아 만들었다니 믿고 먹이고 있습니다 어제 검은색 이물질이 분유 먹이는 도중에 발견 됨 다른 유기농 분유 후기에서 그런 경우가 많고 유기농은 어쩔수 없다는 글을 본 적이 있어서 일단 넘어감 그래도 한번 더 나오면 찝찝할듯ㅠ 보통 분유는 미리에 한 수푼 이지만 이건 약 미리에 한 수푼 그래도 분유 훅훅 없어지네요ㅠ 분유 바꾸기 전에 짜리 먹일때랑 확실히 체감이 돼요ㅋㅋ 지금 박스씩 두번째 구입 세박스 두박스 정도 남으면 불안해짐 지금 주문할까? 이렇게ㅋㅋ 근데 제주도인데도 항상 배송 예정일보다 며칠 빨리 왔어용굿 아기가 잘 먹고 토도 안 해요 건강히 쑥쑥 자라길 ], 긍정 텍스트 확률 : 98.62%"
"[야기가 잘먹어요압타밀 먹이다가 참치함유되 있다는 거 보고 독일 내수용 구매하려다가 뢰벤짠이 유기농이고 식물성 오메가함유라 구매했어요 .그전에는 아이엠마더랑 압타밀 먹였었는데 다 잘먹는 아가라 이것도 분유 갈아타는거 한번에 잘 갈아탔구요먹어보니 두 종류 보단 덜 달고 꼬소한 맛이였어요 . 분유 입자가 고르고 물에도 잘 녹아요한개 먼저 구매해 보았는데 괜찮은 듯 해서 여섯개짜리로 재주문 했습니다 우리아기 황금응가해요 분유맛은 달달한것같아요 친구들에게노 추천했어요 물에잘녹아요 남편이 검색해서 유기농이고 분유의 장정만 모아서 만든거라 극찬을해서 구입했네요 ], 긍정 텍스트 확률 : 94.41%"
"[이웃 추가하시고 특가정보 받아보세요 ], 긍정 텍스트 확률 : 54.75%"
"[ “이 포스팅은 제휴마케팅이 포함된 광고로 일정 커미션을 지급 받을 수 있습니다.” ], 긍정 텍스트 확률 : 62.64%"
"[ .?분유홀레액상분유분유홀레액상분유.?프레프레.?오가닉오가닉.?개월개월.?뢰벤짠뢰벤짠.?앙팡밀히앙팡밀히.?분유분유], 긍정 텍스트 확률 : 54.39%"
"[ 잘 녹아요 굿 바꾸기 전에도 독일분유 먹였었는데 그분유는 안 녹은 덩어리가 이만큼씩 붙어 있곤 했는데 뢰벤짠 감동 홀레와 압타밀의 장점만 모아 만들었다니 믿고 먹이고 있습니다 어제 검은색 이물질이 분유 먹이는 도중에 발견 됨 다른 유기농 분유 후기에서 그런 경우가 많고 유기농은 어쩔수 없다는 글을 본 적이 있어서 일단 넘어감 그래도 한번 더 나오면 찝찝할듯ㅠ 보통 분유는 미리에 한 수푼 이지만 이건 약 미리에 한 수푼 그래도 분유 훅훅 없어지네요ㅠ 분유 바꾸기 전에 짜리 먹일때랑 확실히 체감이 돼요ㅋㅋ 지금 박스씩 두번째 구입 세박스 두박스 정도 남으면 불안해짐 지금 주문할까? 이렇게ㅋㅋ 근데 제주도인데도 항상 배송 예정일보다 며칠 빨리 왔어용굿 아기가 잘 먹고 토도 안 해요 건강히 쑥쑥 자라길 ], 긍정 텍스트 확률 : 98.62%"
"[야기가 잘먹어요압타밀 먹이다가 참치함유되 있다는 거 보고 독일 내수용 구매하려다가 뢰벤짠이 유기농이고 식물성 오메가함유라 구매했어요 .그전에는 아이엠마더랑 압타밀 먹였었는데 다 잘먹는 아가라 이것도 분유 갈아타는거 한번에 잘 갈아탔구요먹어보니 두 종류 보단 덜 달고 꼬소한 맛이였어요 . 분유 입자가 고르고 물에도 잘 녹아요한개 먼저 구매해 보았는데 괜찮은 듯 해서 여섯개짜리로 재주문 했습니다 우리아기 황금응가해요 분유맛은 달달한것같아요 친구들에게노 추천했어요 물에잘녹아요 남편이 검색해서 유기농이고 분유의 장정만 모아서 만든거라 극찬을해서 구입했네요 ], 긍정 텍스트 확률 : 94.41%"
"[★오늘 바로 확인하세요★ ], 긍정 텍스트 확률 : 77.66%"
"[ 산양분유 먹는데 변비가 온것같아 분유알아보고 있엇는데 정말 유용한 정보네요 감사해요], 긍정 텍스트 확률 : 89.91%"
"[뢰벤짠 게워냄없던가요 애기 살은 잘찌던가요], 긍정 텍스트 확률 : 61.67%"
"[네 살도 잘 찌고], 긍정 텍스트 확률 : 66.86%"
"[뢰벤짠 분유 아직 먹이시나요? 곧 출산인데 압타밀 보다 좋다고해서 검색중이였거든요 살포동포동 찌는지도 궁금해요 ], 긍정 텍스트 확률 : 81.72%"
"[네 여태 단계로 업하고 잘먹이고 있습니다], 긍정 텍스트 확률 : 80.27%"
"[ 네 저 아직 후기 못올렸어요 ㅠ저는 애기 월령이 있어서인지], 긍정 텍스트 확률 : 79.89%"
"[또 아가마다 분유의 차이는 있는 편이라 안맞을 수도 있을거 같아요 ㅠ], 긍정 텍스트 확률 : 72.36%"
"[행복행운가득해그다지 게우지 않았고 통통한 편이었어요 근데 다른 분유 먹일 때에도 비슷해서 비교는 어렵네요 아기들마다 타고나는 것도 큰 것 같아요], 긍정 텍스트 확률 : 92.65%"
"[저두 프레단계 구매 가능할까요?], 긍정 텍스트 확률 : 58.25%"
"[ 압타밀 먹이다가 뢰벤짠 좋다해서 먹이다. 수급이 안되서 지금은 힙 먹이고 있어요. 압타밀보단 잘먹었어요 유기농이기도 하고 해서 근데 직구다 보니 품절 ㅡㅜ 그래서 힙먹이는 중인데 힙도 괜찮은것같아요. 뢰벤짠 토도 없었고 남기지않고잘먹었어요], 긍정 텍스트 확률 : 73.30%"
"[정보감사합니다 . 이게 자주 품절되나봐요 ㅠ 일단 어제 그냥 주문은 넣어놨는데 언제 올지는 모르겠네요 ㅠ이거 먹여보고 아니면 저희도 힙으로 갈아타야겠어요정보 감사합니다 ], 긍정 텍스트 확률 : 93.74%"
"[뢰벤짠 먹이고 잇어요.수급 걱정 해본적 없구요. 트름도 잘하고 응가도 잘 하고 토도 안해요주변 뢰벤짠 먹이는 아가들 다 잘 먹고 있어요], 긍정 텍스트 확률 : 50.79%"
"[대박맘아 답변감사해요일단 주문넣어놓긴했는데 품절상황이라고하네요입고되는대로 보내달라고 요청해놨어요자주 품절된다는데 구매처 공유 혹시 부탁드려도될까요 ?], 긍정 텍스트 확률 : 99.28%"
"[수짱님 ...? ...?], 긍정 텍스트 확률 : 94.97%"
"[대박맘와 정말감사합니다정말 많은도움이될거같네요], 긍정 텍스트 확률 : 99.34%"
"[수급만 잘된다면 참 좋은 분유같아요ㅠ], 긍정 텍스트 확률 : 77.62%"
"[콩썰ㅠㅠ 외국 분유는 모험이네요], 긍정 텍스트 확률 : 61.15%"
"[네 좋아요변도 좋고 통잠도 잘자고], 긍정 텍스트 확률 : 90.38%"
"[다행이에요ㅎㅎ감사합니다], 긍정 텍스트 확률 : 98.86%"
"[그이유로힙두고민했었는데..힙은이마트에있나봐요감사해요], 긍정 텍스트 확률 : 70.08%"
"[오옷ㅎㅎ 지금 보니까 컬리에 파는데 요정도면 괜찮은 가격일까요ㅎㅎ 낼 당장 받아볼까해서요], 긍정 텍스트 확률 : 98.50%"
"[린온맘청림동우리 애기 일인데 단계 맞죵 맘님], 긍정 텍스트 확률 : 89.23%"
"[린온맘청림동맘님이 쿠팡 알려줘서 샀어요ㅋㅋ근데 후기 보니까 이물질 얘기 많던데 맘님도 경험 해보셨는지요ㅜㅜ], 긍정 텍스트 확률 : 98.28%"
"[린온맘청림동넵 감사합니다 저 낼 먹여볼게요좋은 저녁 되세용], 긍정 텍스트 확률 : 98.12%"
"[그건 소아과 의사마다도 의견이 다르고...아마 우유가 아니라 산양유라서 뭔가 검증이 덜 되서 그런거 아닌가 싶은데 잘 모르겠어요많은 애들이 이미 산양유 먹고 건강하고 무럭무럭 컸으니까 전 괜찮을거 같아용ㅎㅎ], 긍정 텍스트 확률 : 97.23%"
"[깍쟁이청림동네 혹시 기분 나쁘셨다면 죄송해요. 엄청 인상 깊게 남아있었던 이야기라 퍼뜩 생각나서 오지랖을 부렸네요], 긍정 텍스트 확률 : 98.68%"
"[혹시 지금도 주문 가능한가요???], 긍정 텍스트 확률 : 60.71%"
"[네에주문가능하세요그런데 바로 발송제품이 아니라서 배송일을 흘일 잡아주세요그럼 오늘도 행복한 하루 보내세요], 긍정 텍스트 확률 : 91.95%"
"[통공구가격이 원인거죠??], 긍정 텍스트 확률 : 69.13%"
"[ 한국분유보다 입자 고아요황금변을 봐서 좋네요], 긍정 텍스트 확률 : 78.85%"
"[다행이에요 후기가 별로 없어 걱정했어요 변때문에 개월아가 분유바꿔주려 주문했는데 감사합니다], 긍정 텍스트 확률 : 56.98%"
"[저도 태어나면 먹일려고 사놓기만 했는데 후기 궁금해요ㅠ], 긍정 텍스트 확률 : 67.79%"
"[녹변보고 변볼때 힘들어했는데 먹이고 황금변보고 변도 잘봐서 프레에서 육개월까지 계속 먹이고 있어요 봉지에 들어있어서 분유통하나 있으면 부어서 사용하면 편해요 ], 긍정 텍스트 확률 : 90.53%"
"[다행이에요 우리 아가한테도 잘 맞아서 쭉 먹였으면 좋겠네요 갑자기 퓨어락이 리뉴얼되는 바람에 분유바꾸려니 어렵네요 ㅠㅠ감사합니다], 긍정 텍스트 확률 : 97.71%"
"[저는 아가 압타밀먹다 뢰벤짠왔는데 녹변이라 속상해용.. 변은 케바케인듯요 그래도 영양성분좋고 유기농이라], 긍정 텍스트 확률 : 57.85%"
"[아 그렇군요 감사합니다 그래도 영양성분때문에 기대되네요], 긍정 텍스트 확률 : 89.13%"
"[압타밀프레에서 뢰벤짠으로 갈아탔습니다. 잘먹고 황금변도 잘 보네요.특히 분유탈때 마구 흔들어도 거품없고 잘 녹아서 좋아요 ], 긍정 텍스트 확률 : 75.98%"
"[산양도 종류가 많던데 어떤거 먹이세요?], 긍정 텍스트 확률 : 59.48%"
"[러블리마이찬아이배넷], 긍정 텍스트 확률 : 59.03%"
"[아 답변 너무 감사합니다 즐거운 연휴 되세요], 긍정 텍스트 확률 : 99.13%"
"[ 지금 직수중이고 월부터는 한 두번씩 분유 먹이려고 알아보다가 먼치킨분유 단계 구매했어요. 사료대신 백프로 풀만 먹는 젖소 우유로 만든거라서 좋겠지 싶은데 후기가 많이 없긴 하네요ㅎㅎ], 긍정 텍스트 확률 : 84.72%"
"[그쵸 생생한 후기 듣고픈데 없어서 참.. ㅎㅎ 호주맘이 추천해서 알게됐는데 좋아보여요 백프로 풀이 생각보다 없더라구요], 긍정 텍스트 확률 : 52.25%"
"[반가워요 아기 개월이구 조리원애서부터 먼치킨 먹이고 있어요. 근데 한국에서 주문할수 있는곳이 없어서 뉴질랜드에서 직구하고 있어요. 그래도 배송 빨라서 다행이라 생각해요 ㅎ], 긍정 텍스트 확률 : 94.55%"
"[여태 세번 주문했는데 다 주 안에는 도착했어요. 통관때문에 꼭 한번에 캔만 주문하세요], 긍정 텍스트 확률 : 51.23%"
"[로우티아하 감사합니다], 긍정 텍스트 확률 : 85.54%"
"[다둥하하하넹ㅎㅎ 여기가 다른 사이트들 보다 저렴해요. 직구 성공하세요 아], 긍정 텍스트 확률 : 68.25%"
"[그리고 저 여태 세번 주문한거 중에 두번째 배송 받았을때 캔들이 찌그러져 있어서 그들한테 챗으로 안찌그러지게 포장 단디해서 보내달라 했더니 그담엔 완전 포장 완벽하게 해줬어요 하나도 안찌그러지게 ㅎㅎ 참고하세용], 긍정 텍스트 확률 : 60.82%"
"[ 둘째 분유는 이걸로 찜입니다 ㅎㅎ], 긍정 텍스트 확률 : 83.12%"
"[이거 반응이 넘 좋더라구요저도 이제 다 키웠는데 ㅠㅠ], 긍정 텍스트 확률 : 98.19%"
"[타는법은 같으나 용량은 조금 달라요내용은 제가 수정해 올릴께용], 긍정 텍스트 확률 : 71.37%"
"[셋째가 마지막인데 ㅎㅎ 좋은 제품들이 계속나오네요], 긍정 텍스트 확률 : 98.48%"
"[지금 누트라 단계 먹이고 있는데요 이걸로 갈아타도 괜찮을까요?], 긍정 텍스트 확률 : 71.63%"
"[첫째 압타밀 푸트라먹였는데..둘째 먹이려고 분유찾던중에 보았는데 괜찮을까요? ?], 긍정 텍스트 확률 : 89.60%"
"[맘개월 완모중이다 분유로 가려는데 이 분유 괜찮을까요?], 긍정 텍스트 확률 : 78.51%"
"[.뢰벤짠 새로 꺼내며 찍어본 우리집 도련님 저장고. ], 긍정 텍스트 확률 : 60.69%"
"[ .앞서 분유에서 얘기했듯이 . .?퓨어락퓨어락 먹이다가 비싼가격.높지않은 만족도에.실망하고 고르고 골라 독일에서 날아온 뢰벤짠...처음 들어봤는데 힙 사려는데 옵션에 있길래 검색해 봄.다른 분유에 비해 설명은 많이 없으나 .유기농에 힙과 홀레의 장점을 모은이라는 .수식어와 사자그림이 귀여워서 사봄...가격비교를 하면 퓨어락이 보통 통에 .], 긍정 텍스트 확률 : 90.07%"
"[ 원..당 .원..뢰벤짠 한번에 키로 한국으로 배송가능으로.배송비 포함에.], 긍정 텍스트 확률 : 62.02%"
"[ ..우리 애 어뭉들이 젤 관심사인], 긍정 텍스트 확률 : 70.75%"
"[ 안녕하세요 잇님들 빈이 아기는.?혼합수유혼합수유 하다가.?완모완모 중인 아기예요 완모로 넘어 갈수 밖에 없었던 이유는 젖병분유의 이유가 있었어요 .?앱솔루트앱솔루트.?센서티브센서티브 분유를 먹였는데 그게 생각보다 냄새가 비리고 좋지않더라구요 조리원에서 입자가 얇아서 소화 잘된다고 추천해준 분유 였는데 .. 제 코에도 냄새가 별로데 아기한테도 당연좋지 않았겠죠 일정도 될쯤 이제 맛을 차츰 알아가는데 분유를 먹을때 오만상.. ㅎ.ㅎ 토하고 변비 이런건 없었는데 살짝 녹변 이것도 뭐 정상변이라고 했지만 황금변 보게 해주고 싶은 엄마의 마음은 다 같을꺼예요 잘 안먹긴 하지만 빈이 아기에게 잘 맞는 젖병젖꼭지도 가림 사용하면 먹긴했지만 다른 후기를 찾아보고.?뢰벤짠뢰벤짠 분유를 먹이기로 하고 주문수입분유라 직구해야해서 배송에 시간이 좀 걸리지만 빈이는 어쩌다 한번씩 분유를 먹는거라 .. 그닥 문제될껀 없었어요분유비교], 긍정 텍스트 확률 : 96.10%"
"[ 압타밀은 이마트에서 쉽게 구할수 있는 분유인데 이것도 수입분유와 이마트에 파는분유가 좀 다르다고 하더라구요 무엇보다 압타밀은 유기농이 아니라는 사실 힙 분유고 고민을 하긴 했는데 모든면에서인 라벤짠 먹이기로 후기도 좋았던것도 있고], 긍정 텍스트 확률 : 66.44%"
"[ 위에 표에 있는], 긍정 텍스트 확률 : 60.73%"
"[ 에 대한 설명이예요 ↑↑↑ ], 긍정 텍스트 확률 : 67.15%"
"[ 케이스 뚜껑도 크기가 딱 맞아.?케이스케이스 아주 만족 굳굳 ], 긍정 텍스트 확률 : 99.53%"
"[ 닥터브라운 젖병 젖꼭지는 잘 안먹었는데 이분유 먹였더니 또 잘먹더라구요 아기나 어른이나 냄새맡는 코랑 맛보는 입은 다 같나봐요 맛이 괜찮으니 어느 젖병으로 물려도 잘 먹어줘서 좋았어요 그리고 무엇보다 변 한번 먹였을땐 평소에 보던 묽은 황금변에 알갱이 같은게 원래는 작았는데 좀 큰알갱이도 좀 보이더라구요 모유보단 소화가 당연 잘안되는거 같긴했어요 친정에 빈이아기 맡길일이 있어 맡기면서번 먹었더니 다음날에 황금변이긴 한데 원래 보던 묽은변이 아니라 수분기 없는 퍽퍽한 변을 봤네요 그래도 변은 황금변이였음 외출할떄만 먹일려고 산 분유인데 역시 소화잘되는건 모유가 짱인거 같네요 .. 그래도 향도 괜찮고 뢰벤짠분유 먹어도 황금변 보니 저는 만족합니다 다음엔 기저귀 폿팅할꼐욧 ], 긍정 텍스트 확률 : 52.39%"
"[뢰벤짠 오가닉 폴게밀히 개월분유], 긍정 텍스트 확률 : 55.04%"
"[통 폴게밀히오가닉 뢰벤짠 ], 긍정 텍스트 확률 : 55.04%"
"[식품의 유형], 긍정 텍스트 확률 : 52.07%"
"[상세설명 참조], 긍정 텍스트 확률 : 73.17%"
"[상세설명 참조], 긍정 텍스트 확률 : 73.17%"
"[상세설명 참조], 긍정 텍스트 확률 : 73.17%"
"[원재료명 및 함량], 긍정 텍스트 확률 : 52.23%"
"[상세설명 참조], 긍정 텍스트 확률 : 73.17%"
"[상세설명 참조], 긍정 텍스트 확률 : 73.17%"
"[상세설명 참조], 긍정 텍스트 확률 : 73.17%"
"[상세설명 참조], 긍정 텍스트 확률 : 73.17%"
"[ 폴게밀히 개월 오가닉 통구독하셔서 새로운 정보를 매일매일 만나보세요변동된 제품에 대한 정보 및 가격정보는 사이트를 확인하시기 바랍니다이 포스팅은 쿠팡 파트너스로부터 일정액의 커미션을 대가를 받고 작성된 광고입니다. ], 긍정 텍스트 확률 : 96.98%"
"[ 뢰벤짠 분유 보니.괜찮던데이거 먹이는 후기를 본적이 없어서요ㅠㅠ뢰벤짠 분유 어떤가요??], 긍정 텍스트 확률 : 76.23%"
"[ 잘 먹고 있던 분유가 단계 바꾸면서 안맞네요 ㅠㅠ 뢰벤짠 먹여보고 싶은데 잘 맞을지 몰라 여러개 주문하기가 부담스러운데 혹시 뢰벤짠 쓰시는 분 후기 좀 들을수 있을까요? 아님 소량 구하고 싶은데 구할수 있는곳 아시는 분 계실까요? 아님 하나 정도 가지고 계신 분 한번 구해보고 싶어요], 긍정 텍스트 확률 : 88.73%"
"[.지호는 곧 일이 다가온다..태어나서 지금까지 쭉.일 후 산양분유를 먹였는데..주변 아는 언니들이 산양분유는.의사들도 추천하지 않는다하고.토도 꽤 자주하여 분유를 바꾸기로 결심했다...엄청나게 알아보고 고민해서.독일 수입분유인 뢰벤짠 직구.. ], 긍정 텍스트 확률 : 87.30%"
"[ ...생긴지 오래되지 않은 듯 하고.정보가 많지 않으며 수급에 문제가 있을 수 있다하여.약간 불안하긴 하지만. ], 긍정 텍스트 확률 : 53.25%"
"[ ..위에 성분 비교표를 보곤 선택 안 할 수가 없었다.내새끼 좋은거 먹이고 싶은 엄마 마음이랄까... ], 긍정 텍스트 확률 : 78.04%"
"[해외용은 설사가 단점이라는데.지호는 지금 유산균을 꾸준히 복용중이라.시도해보고 또 안맞으면...맞는 분유 찾아 또 떠나야지ㅠㅠ..지금 남편이 사러갔다..먹여보고 토가 확실히 줄면.다시 후기 남겨보겠습니다...아가들아 건강하자.. ], 긍정 텍스트 확률 : 72.57%"
"[ .조리원에서 먹었던 트루맘 뉴클래스 .단계를 먹어서 통 구입했는데 .. 배앓이를 .해서 분유를 바꾸기로 했어요..분유도 바꾸고 젖병도 바꾸고ㅠㅠㅠ. ], 긍정 텍스트 확률 : 96.38%"
"[ .기존에 먹던 분유와 퐁당퐁당을 해줘야해요 ... ], 긍정 텍스트 확률 : 76.92%"
