"[ 처음에는 이마트 힙분유를 한통 사서 갈아타기를 했고 이제 힙분유로 정착을 해야겠다 싶어.?힙분유직구힙분유직구 를 시도해봤어요. 힙분유는 독일산], 부정 텍스트 확률 : 94.00%"
"[압타밀], 부정 텍스트 확률 : 53.29%"
"[힙분유 가지 를 고민했답니다...이외에도 퓨어락 분유를 함께 고민하긴했었는데.해외에 살면서 매번 한국에서 구매하는게 번거로울것 같아 포기했답니다...힙분유], 부정 텍스트 확률 : 53.03%"
"[압타밀], 부정 텍스트 확률 : 53.29%"
"[ ...사실 먼저 압타밀을 구매하긴 했어요.포스팅에 쓴것처럼.조리원에서 먹이던 위드맘은 제가 먹어보니.쇠맛이 너무너무 강하더라구요 ㅠㅠ그래서 패스.제가 먹어도 이렇게 쇠맛이 나고 맛없는 분유를.아가가 먹을걸 생각하니 맘이 아프더라구용..그래서 압타밀로 갈아타기위해 압타밀 한통을 구매했는데.일만에 포기했어요.우연일수도 있겠지만 ㅠㅠ.압타밀 먹고나서 토하고 아가가 힘들어하는것 같아서.저희 아가랑 안맞는것을 직감했답니당 ㅎㅎ....그렇게 빠르게 압타밀을 포기하고 구매한 힙분유. ], 부정 텍스트 확률 : 91.32%"
"[ ....모든 분유가 그렇긴 하지만 힙분유도 황금응가황금똥으로 유명하죠?.일단 위드맘에서 힙분유로 넘어가는동안.특별한 알레르기나], 부정 텍스트 확률 : 94.24%"
"[배앓이], 부정 텍스트 확률 : 53.29%"
"[ ..첫번째는 바로 중탕기.나중에는 이유식 중탕으로도 쓸수있고.저는 지금 유축 모유를 먹이고있기때문에.유축한 모유 데울때도 아주 유용하게 사용하고있답니다..지금 비율은 힙분유모유 정도예요..일 전후로 단유 할 계획이랍니다. ..... ], 부정 텍스트 확률 : 53.13%"
"[바로 먹여도 된다.의견이 많이 갈리는데], 부정 텍스트 확률 : 74.92%"
"[ ..세번째는 바로 젖병 온도 체크기.지금은 베이비브레짜를 구매해서 필요가 없지만.중탕한 모유 온도 체크할때랑 나중에 이유식 온도 체크할때.혹은 외출해서 보온병으로 분유를 탔을때 젖병 온도 체크하기에.너무너무 좋은 제품이예요.초보 엄마아빠들의 필수품이죠 요거 완전 강추합니다....그리고.마지막은 바로바로바로.. ], 부정 텍스트 확률 : 56.19%"
"[변압기까지 사서 쓰기 넘 싫었거던요..그런데 월 되기전에 밤에 분유 타다 제가 쓰러질것같아서.국내용으로 구매했어요.신형은 씩 분유를 탈수있어서 꼭 사고싶었는데.아기 먹는양이 늘겠지 하고 그냥 구형 국내출시모델로 구매했어요.힙분유 넣어서 잘 쓰고 있답니다 ㅎㅎ..나중에 베이브레짜 리뷰는 따로 올리도록 할게요.... ], 부정 텍스트 확률 : 63.19%"
"[ .또 다른 육아템들도 넘 잘 활용하고있어서.나름 뿌듯한 엘리스랍니다...앞으로 좀더 안정이 되면.좀더 아가 포스팅산후다이어트 관련해서.많이 포스팅 해보도록 할게요...그럼 다들 굿밤 하세요 ], 부정 텍스트 확률 : 70.32%"
"[ 이물질이나왔다사진은찍어뒀지만굳이올리진않겠다아기분유에검정알갱이가있다니내가발견하지못했다면먹었을수도있다라는생각에짜증이확서론너무길었다유기농에 독일자체에서 위 테스트한제품이라 믿음가고아기가 잘 먹어서 참 좋은 분유란 생각이 든다일 똥에 노란똥 황금변힙분유는 독일분유라 구매대행사이트로 구매하는데워낙 많아서 여기저기 비교해 보는것이 좋다가격뿐만 아니라 배송 그리고 믿을 수 있는곳으로첫째때 이용한 구매대행사이트도 나쁘진 않았는데둘째때 더 좋은곳이 없을까 여기저기 검색하다가 알게된 리베맘해외 배송은 넉넉잡고 일 정도 생각하고미리 주문 했는데 생각보다 배송도 빨랐다그리고가격아무리 뒤져봐도 여기보다 싼곳은 없었다 ], 부정 텍스트 확률 : 99.92%"
"[힙분유를 처음 알게된건 큰아이 분유 고를때 였습니다. 조리원에서 나온 다음 바로 분유가 준비되어있어야하는데 역시 첫아이라 시행착오였는지 뒤늦게 검색하게 되었습니다.여러 종류 분유가 있어서 무엇을 선택해야될 지결정장애까지 올 정도였는데 고심 끝에 선택한 분유는 바로 힙 그런데 이 힙도 종류가 여러가지였습니다. 비오라인과 콤비오틱라인], 부정 텍스트 확률 : 65.60%"
"[안전포장은 둘째 양육에 많은 도움을 받고 있습니다. 간간히 찾아오는 카페 이벤트도 너무나 재미있고요 ㅎㅎ 지난달 활동우수맘 선정은 안비밀입니다 그래서 아직은 개월이 안되었기때문에 콤비오틱 분유 중 프레를 선택해 먹이고있는중입니다.조리원에서 받은 분유 한 캔과 타사분유 교환 찬스를 이용해 받은 분유 한 캔을 우선 먹이느라 초초 신생아때부터 먹인건 아니었지만 국내분유도 잘 먹고 외국분유도 잘 먹어서 정말 다행이었습니다. 월요일날 주문해서 금요일날 받았는데 남편이 깜짝 놀라더군요. 벌써와?이래서 리베맘을 찾는 이유가 아닐지.. ㅎㅎ힙분유를 먹였더니 아가 변이 처음에는ㅠㅠ 분유먹인것이었는데 이유식 먹는 아기처럼 변이 되직하고 엄마들이 기대하는 황금똥도 아니었습니다. 한 일주일 정도 먹인 다음부터는 변도 정상에 가깝고 아기도 힘들어하지않고 기저귀에 응가를 잘해주어 너무나 고맙더라고요.완전분유수유가 아니라 혼합수유 아기이다보니 분유를 자주 구입하지는 못하지만 안정적인 분유수급], 부정 텍스트 확률 : 56.30%"
"[넉넉한 유통기한], 부정 텍스트 확률 : 53.29%"
"[빠른 배송], 부정 텍스트 확률 : 53.29%"
"[ 월 이벤트로 넣어주신 밀카초콜렛과 사노산 무료 나눔 이벤트 깨알 이벤트가 많아용 ], 부정 텍스트 확률 : 90.87%"
"[ 슬슬 개봉해볼까요? 드르륵 옆으로 잡아 당깁니당 ], 부정 텍스트 확률 : 92.41%"
"[ .?독일분유독일분유], 부정 텍스트 확률 : 53.29%"
"[ .?힙분유힙분유], 부정 텍스트 확률 : 53.29%"
"[ .?밀카밀카], 부정 텍스트 확률 : 53.29%"
"[ .?사노산사노산 ], 부정 텍스트 확률 : 53.29%"
"[ ..조리원에선 후 산양 먹였어요..집에 와서도 일까진 먹인것 같아요..정말 황금똥을 싸긴 했는데 일에 한번 정말 어른똥처럼 딱딱할 정도로 일보는데 너무 힘들어하더라구요..ㅠㅠ.신생아가 그런똥 싸면 똥꼬가 찢어지고.. 피나고... ], 부정 텍스트 확률 : 99.95%"
"[ ..그래서 검색해보니 젖꼭지가 맞지 않으면 그럴수도 있다고해서 그날로 로켓 배송으로 준문해 바꿔 봤는데도 똑같더라구요....산양이 안달고 약간의 누린내가 나서 엄마젖하고 같이 먹는 애들 잘 안먹을수 있다고 단분유는 먹을수 있다 해서 .급한마음에 병원에서 받았던 임페리얼를 살짝 맛보니 정말 달더라구요...근데 안먹어요....그담에 후기가 좋아 구입한 앱솔루트 명작 이건 좀 먹더라구요.얼마나 좋았는지 몰라요.이틀 지나도 똥을 못싸더니 일차에 똥폭탄 똥테러 당했습니다..ㅠㅠ..그런 쑥색 똥을 첨봐요.. ], 부정 텍스트 확률 : 98.98%"
"[ ..매생이죽 같은.. 설사를 했는지 배까지 타고 흐르고 양옆으로 줄줄.옷에 똥칠을.. 버려야하나 고민했네요...암튼 그뒤로 통정도 더 먹었는데 똥색이 조금 좋아지긴 했지만 여전히 묽은 똥을 싸더라구요..거기에 방구를 넘 뀌었어요..시도때도 없이 뿡뿡뿡 .냄새도 너무 심해요.대박입니다. 아기 방귀냄새가 이럴 수가 있나요.. ], 부정 텍스트 확률 : 97.39%"
"[ ..글구 트림도 하는데 너무 오래 걸리구요...어렵게 꿈수하는데도 갑자기 몸을 비틀며 방귀 뀌고 그뒤로 힘들어하며 안먹기를 반복 .젖병만 입에대면 울고불고..에효..국내분유가 안맞는것 같아 검색해보니 힙 유기농 콤비오틱이 소화 잘 되고 황금똥 싼다고젤 많이 추천 하는것 같아 한번 시도해보자 싶어 또 로켓배송을 바로 주문했어요. ], 부정 텍스트 확률 : 99.94%"
"[ .. ], 부정 텍스트 확률 : 57.07%"
"[ .아린이는 입이 짧은데 배고픔도 별로 없는건지 소화가 안되 속이 안좋아서 그런지 분유달라 보채는게 별로 없어요....프레가 소화가 잘된다고 그래서 금방 배고파한다고해서 구입했는데 확실히 그전보다 소화는 잘되는것 같아요..그렇다고 금방 배고파하진 않아요 더 잘먹는건 확실해요. 시간텀으로 먹고 더빨리 달라고 가끔 보채기도 해요정말 큰 발전이죠.처음엔 저녁엔 시쯤막수하면 시까지는 푹잤는데...일주일 지난 요즘엔 소화는 잘 되는지 배고픔을 빨리 느끼는것 같아요.새벽에 일어나는 시간 간격이 점점 줄고 있네요.프레가 무전분이라더니 소화가 진짜 잘 되나봐요..그래도 제가 바라는게 이뤄지고 있나봐요...빨리 배고파해서 좀더 많이 먹길바랬는데요..ㅋㅋ. ], 부정 텍스트 확률 : 96.17%"
"[ ..최고는 모든 후기에서 인정하는 황금똥이요.먹은 다음날 쑥색 섞인똥 한번 빼고 그 뒤론 황금똥이네요 거기다 설사도 안하고 너무 이쁘게 싸요..똑같은 똥테러을 맞았는데도 달라요.아빠가 앞보기로 앉고 있는데 옆으로 흐를정도로 겁나 많이 쌌다죠..ㅋ.그러나 황금똥색이 너무 이뻐 더럽다는 생각이 안들어요..ㅎㅎ.냄새도 거의 없고 질감도 딱 적당해서 똥테러 당해도 아빠는 넘나 좋아하네요. ], 부정 텍스트 확률 : 100.00%"
"[ ..참 요즘은 방귀도 잘 안뀌지만 방귀 냄새도 거의 않나고.확실히 힙분유 속에 유산균이 들어 있다더니...장이 건강해 졌나봐요. ], 부정 텍스트 확률 : 62.16%"
"[ .힙분유 후기 보면 다들 밍밍하다 하시던데...저는 제가 분유를 좋아해서 한번씩 아니고 여러번 이분유 저분유 다 먹어 봤는데.생각보다 달아요 다른 분유 이상으로 달지는 않지만.명작하고 비슷하거 아주 쪼금 덜단 정도예요.는 달다 못해 좀 쓴맛이 날정도였는데 그런 느낌의 단맛은 아니예요....저는 이상하게 달큰하면서 뒷맛에 꿀향이 느껴지던데...아가들은 꿀먹음 안되니 그건 아닐텐데 전 그런 향이 느껴지더라구요..암튼 밍밍할정도로 안달지 않아요...분유의 입자가 고와요.전에 먹였던 국내분유는 소복소복한 느낌이라면.힙은 무전분인데 느낌은 전분이나 밀가루 같아요.색도 다른 분유에 비해 연해요 .명작 같은경우 좀 연한 노란빛이 있는데 그것 보다 연해요..수입분유 물에 잘 안녹는다는데 정말 잘 녹아요.굳이 위아래로 흔들지 않아도.도 분유물에 살짝만 흔들어도 잘 녹고.젖병통에 덩어리나 이런거 안남고 깨끗하게 녹아요.. ], 부정 텍스트 확률 : 91.00%"
"[ ..아직 일주일정도 밖에 안먹였지만 지금까지는 매우 만족해요..• 소화안되 온몸을 비트는 것도 거의 없어졌구요.• 트림도 그전보다 빨리해요.• 아직까진 토하거나 게워내는거 없었어요.• 젖병거부 안하고 있어요.• 변비설사 없이 황금똥 싸고 있어요 .?힙유기농콤비오틱프레힙유기농콤비오틱프레.?힙유기농콤비오틱힙유기농콤비오틱.?힙유기농힙유기농.?힙콤비오틱프레힙콤비오틱프레.?힙콤비오틱힙콤비오틱.?힙분유힙분유.?힙프레힙프레.?분유유목민분유유목민.?산양분유산양분유.?명작명작.?임페리얼임페리얼.?황금똥황금똥 ], 부정 텍스트 확률 : 99.88%"
"[ 친구가 두 아들을압타밀 로 키웠고압타밀 이 가장 좋다고 해서신랑이 이마트에서압타밀 을 사 왔다 이때부터 나는 멘붕이 왔다 분유 종류가 왜 이렇게 많은 거야이마트압타밀과 직구압타밀의 차이 전분 미포함 전분 포함의 차이 출산 전엔 한국 아가한테는 국산 분유가 잘 맞겠지 뭐 하러 외국 분유를 먹일까 해맑은 생각을 했던 나였다 분수 토는 여전했다 또 냄새도 너무 심했다거품도 뽀글뽀글이다 거품이 너무 심하다 이마트 압타밀도 놉직구로 구입한 애들도 놉당근에 팔았다 ], 부정 텍스트 확률 : 93.33%"
"[ 분수 토가 가장 심했다 코에서까지 줄줄이었고가격도 제일 비쌌지만 유산균 함유 분유래서 유산균 사 먹이는 가격이나 분유값이나 란 생각으로 구입했지만 분수 토가 너무 심해서놉 ], 부정 텍스트 확률 : 99.56%"
"[ 확실히 분수 토는 줄어들었으나 너무 녹지 않는다 너무너무아가는 울고 나는 열심히 흔들고 당황의 연속 거품은 없다 하지만끙가가 삼일에 한번 끙가를 보는데 얼굴이 씨발개진다병원에 간다 아가는 원래 토를 잘하니까 트림 잘 시켜주시고 하루에 너무 많이 먹이지 마세요 몸무게 총 을 먹어야 했는데 을 먹였다 어머 엄마가 미안 ㅜㅜ 하지만 분수토는 안했지만 순두부처럼 몽글몽글 토했다 ], 부정 텍스트 확률 : 80.71%"
"[ 노발락은 끙가를 너무 못 봐서센서티브로 바꿔본다 분유가 굉장히 묽다 잘 녹는다 거품도 없다후기들이 녹변이란 후기가 많았는데역시나 녹변 토도 안 하고 녹변이었으면 그냥 먹였을 텐데 토까지 하고 녹변까지 보니 더 이상 널 먹일 이유는 없단 생각에한 통은 다 먹여보고 바꾸자폭풍 검색을 하다가], 부정 텍스트 확률 : 98.96%"
"[ 분유통도 비닐로 되어있어서 따로 구입해야 한다모던하우스에서 천원주고 구매 아주찰떡이다처음엔 쿠팡에서 단계를 구입해 먹여보고 토도 덜 하는 거 같아 직구로 구입했다통을 구입해서 지금 통을 먹였는데나.. 그냥 정착할래 끙가도 이쁘고 우리 공주는 원래 투쟁이 인 걸로 개월 아가 킬로아주 건강하고끙가도 이틀에 한번 황금 변을 보고 엄마가 그만 괴롭힐게 내가 먹어봤을 때 힙 분유가 가장 맛있다 그래서 분유 타면서 가끔 먹는다 ㅋㄷ프레라 그런지 확실히 금방 배고파하긴 한다 시간 통잠을 자던 아이가 갑자기 새벽 시에 밥을 찾는다그런데 똑게육아에서 개월 아기는 원래 새벽 시에 갑자기 깬단다그래 그럼 분유 탓은 그만하자 ], 부정 텍스트 확률 : 99.97%"
"[ 스펙트라], 부정 텍스트 확률 : 53.84%"
"[ 유피스], 부정 텍스트 확률 : 53.29%"
"[ 토미티피], 부정 텍스트 확률 : 53.29%"
"[ 그린맘써본 결과닥터브라운 젖병이 가장 좋은듯하다세척이 불편하다고는 하나 이것 또한 적응이 되어서 그런지 불편함도 모르겠고매일매일 열탕소독을 하고 있지만 귀찮음은 없다 ], 부정 텍스트 확률 : 98.15%"
"[ 토쟁이 엄마로 산다는 것처음엔 내가 모유 수유를 좀 더 해볼 걸 그랬나 너무 빨리 단유를 한 건 아닐까라는 죄책감까지 들었다마사지도 좀 받아보고 노력을 해볼걸 결국엔 자책을 했지만완분 맘을 진행 중인 지금 외출의 편리함 육아의 편리함으로 만족하고 있다아가도 잘 자고 잘 먹고 잘 크고 건강하고그래도 그만 토해줬으면 좋겠다 ], 부정 텍스트 확률 : 91.27%"
"[제목이 너무 적날했나...오늘로서 정말이지 황금변을 보고 싶은 엄마들은 힙분유로 바꾸어 보는것도 추천이다.우리딸이 조리원에서 나온 후로 변을 일마다 한번씩 녹변으로 쌌는데토끼똥같지 않고 좀 질척이는 편힙분유로 바꾸고 나서는 서서히 녹변이 누렇게 변하면서 오늘은 황금똥 한바가지를 쌌다는거.오늘 글을 이어 쓰다보니], 부정 텍스트 확률 : 99.85%"
"[ 모유와 함께 먹이느냐 온리 분유만 먹이느냐에 차이도 있겠지만.모유와 섞여 먹이다 확달이 내려가지 않아 몇일 전부터 분유로만 주고있음분유만 먹고있는것 치고 똥을 이틀에 한번정도 싼다는 행복한 사실..분유랑 혼합해서 먹인 아이들은 일정도 변을 싸지 않아도 크게 문제가 되지 않는다고 한다.모유인경우 한달까지도 변을 안보는 아이들이 있더래요남편같은 경우 직업이 직업인지라], 부정 텍스트 확률 : 97.98%"
"[워낙 아이를 세심히 열심히 충성스럽게? 확인을 하는터라], 부정 텍스트 확률 : 96.32%"
"[ 아이가 몇일정도 변을 싸지 않을때는 얼굴색도 그렇고 애기가 자는대 많이 칭얼거리고 불편해 하는거 같다고 보인다나.황달이 내려가지 않는 이유도 여러가지 겠지만], 부정 텍스트 확률 : 99.24%"
"[ 그중에 하나가 변을 자주 넣지 않는것도 하나의 이유가 될 수 있다고 한다.일 차인데 아직 황달이 있는터], 부정 텍스트 확률 : 90.40%"
"[변을 싸는 횟수도 많아지고 변의 색도 차츰 누래지는 느낌.녹변을 싸도 끝쯔음은 황금변을 싸주었는데..기대에 부흥하듯... 힙분유만 먹은 일차에는 황금변을 싸주었음.....힙분유는 독일오스트리아 두가지가 있는데 알펜비라는 사이트에서 쉽게 구할 수 있다는 소식에오스트리아 제품으로 선택.한박스에 .배송비는 .키로까지 가능 총 개주문하여 키로를 딱 채워 주문했다. 어차피 배송비가 한번 나가니께그리고 지금 보니 .로 뜬다.. 가격이 왔다갔다 하는거 같은데... 가격면에서도 직구치고는 부담되지 않는 가격이라 생각. 단계는 ], 부정 텍스트 확률 : 75.22%"
"[전분이 없는 프리단계로 구입.전분이 없어 배가 금방꺼져서 좀더 배고파 한다는 내용도 있음.분유 타는 방법도 한국방식과 다르게 물을 먼저 넣고], 부정 텍스트 확률 : 95.46%"
"[기호에 맞게 분유를 넣어 먹이는 방식인데], 부정 텍스트 확률 : 92.18%"
"[ 물을 먼저 넣기때문에 분유양과 합치면 기존의 양보다 늘어난다고 보면 된다.구매 방법이나], 부정 텍스트 확률 : 64.06%"
"[분유에 대한 내용은 워낙 블로거들이 많아 나는 생략하도록 하고.한가지 마음에 안드는것은], 부정 텍스트 확률 : 60.69%"
"[유분이 많은 분유인지 먹고 난 젖병을 닦으면 병에 기름기가 묻어 있는 느낌.바로 먹이고 뜨거운물로 씻으면 보통은 잘 닦이는데 요 분유는 살짝 기름기가 도는느낌이라.바로 닦지 않는 한 세제로 살짝 닦아주어야 하는거 같다.. ], 부정 텍스트 확률 : 86.75%"
"[ 한국에서 파는 분유처럼 깡통이 아닌], 부정 텍스트 확률 : 67.21%"
"[콘프레이크 같이 종이 박스에 압축된 봉투로 되어 있다.많은 분들이 사용하는 쿠팡의 플라스틱 통 사진은 없음나도 멋모르고 따라 샀다가.. 결국 몇만원 더 주고 압축 잘되는 통으로 구매했다.이유는? 분유에서 애벌래 벌래 아니고 애벌레가 꿈툴꿈툴 나왔기 때문에.곰팡인줄 알고 훅 쳐보니 애벌레가 꼬물꼬물 하네?알펜비에 연락을 해야하나... 힙분유사에 연락을 해야하나..이건 무슨일인가 내가 아이에게 뭘 먹인것인가.. 충격에 빠졌는데..아빠와 얘기한 결과], 부정 텍스트 확률 : 99.69%"
"[죽은 벌레가 나오면 모를까 압축포장이 된 분유에서 살아있는 벌래가 나오기는 힘들다고 한다.몇일 사이에 만들어진 제품이면 모를까..금방 막 딴 제품도 아니고 거진 다 먹어갔던 분유였는데.하... 근데 생각해 보면], 부정 텍스트 확률 : 86.28%"
"[ 조리원 퇴소 후 처음 먹인 분유는 일동 산양분유이다 짜리 산양분유를 병원에서 선물로 받았고 뉴질랜드 자연방목 산양분유가 비싼 만큼 서윤이에게 좋을 것이라고 생각했기 때문이다. ], 부정 텍스트 확률 : 93.05%"
"[ 다행히 잘 먹어 주었고 분유의 약간 비릿한 냄새가 마음에 들지 않았지만 게워냄도 많이 줄었고 무엇보다 내가 가장 걱정하던 대변 부분이 해결이 되었다.변을 보는 횟수가 하루에 번으로 줄었고 황금변을 보았다정말 신기하게 노란색 변이라기보다 황금변이라는 표현이 맞다. 이제 서윤의 분유는 힙 콤비오틱이다 라고 생각하고 비용 절감을 위해 해외 직구를 하기로 결정했다.통관 문제로 분유는 한 번에 을 초과해서 구매할 수 없고 힙 분유는 한 번에 최대 팩까지 구매 가능하다.가격차이는구매한다고 가정하고 간단하게 계산해보면 이마트 힙 콤비오틱 원 캔], 부정 텍스트 확률 : 78.01%"
"[원 절약 ], 부정 텍스트 확률 : 53.29%"
"[ 한 가지 단점이라면 종이팩 포장에 은색 봉지에 분유가 들어가 있다는 것이다. ], 부정 텍스트 확률 : 75.71%"
"[ 그래서 인터넷을 보면 대부분 모던하우스에 파는 파우더 저장용기를 사용한다.힙 분유통이라고 불릴 정도로 힙 분유를 먹이는 사람들이 많이 사용하는 것 같다.가격은 모던하우스에서 만 원 주고 구매했다. ], 부정 텍스트 확률 : 61.10%"
"[어쩌다보니 개월이 넘는 시간을 완모로 시간을 보내고이제 더더욱 외부생활이 많아지고 출근도 해야하고 신랑과도 저녁에 한잔도 할겸 완분으로 바꾸기로 결정막상 결정하고 모유를 안 먹일 생각하니 섭섭함이..그래도 언제까지 먹일수도 없는것이고 너무 길어지면 더 떼기힘들다고 하니 개월 넘고 이전 블로그처럼 우선 젖병으로 모유를 주고 놀게해주며 젖병를 가깝게 해주었다일간 고생끝에 그래도 젖병거부를 극복 ], 부정 텍스트 확률 : 99.70%"
"[ 분유는 여러고민끝에 모유와 비슷하고 모유먹다가 분유먹으면 변보는게 좀 힘들어 지기도 한다는데 힙분유는 황금변분유로도 유명힙분유로 선택하고 직구주문처를 고민하던 결과많이들 이용한다는 리베맘으로 선택 ], 부정 텍스트 확률 : 96.68%"
"[ 주문한지 딱일만에 도착주말이 끼어서 좀 늦으려나 했는데 일찍도착요즘은 정말 직구가 직구같지않다누가봐도 롱롱이 맘마왔다고 표시로 핑크색리베맘테이프가🤗 ], 부정 텍스트 확률 : 57.06%"
"[ 단계 전분 힙분유우리나라에 수요되는 힙분유는 전분이 없다는데 독일 직구분유는 전분이 있는 거 없는 거 선택하여 주문이 가능하다롱롱이는 전분있는 분유로 초이스🙂 ], 부정 텍스트 확률 : 52.59%"
"[ 분유포트 위 서랍장은 롱롱이 맘마로 가득단계 개 남았었는데 단계 통으로 서랍장 채우니 마음이 편해지는구낭직구는 일찍 오긴하지만 가끔 현지 휴일이 끼거나하면 늦어질수 있어서 괜히 불안하다통정도 남았을땐 미리미리 주문한다. ], 부정 텍스트 확률 : 81.86%"
"[ 구정전에 주문해서 구정전에 도착했는데 유통기한이 무진장 길다거의 년후물론 그전에 당근 다먹지만 짧은거보다 당연히 긴게 좋겠죠? ], 부정 텍스트 확률 : 59.33%"
"[ 전분단계 성분 표시 ], 부정 텍스트 확률 : 53.29%"
"[ 힙 분유 타는 방법분유안에 스푼이 들어있는데 한스푼당 물을 타면 된다분유를 먼저넣고 타게되면 뒤 설명서처럼 분유넣고 물을 조금씩 더 넣어서 흔들면 원하는 용량에 분유가 타진다 ], 부정 텍스트 확률 : 99.27%"
"[.우리아기가 이제 개월이 되었네요.초유만 먹이고 바로 분유만 먹였는데.배앓이하고 변비도오고ㅜㅜ 해서 이것저것.먹여보다가 독일 힙 분유로 정착했네요.다른분유 먹일때는 트름도 거의 안했는데.무전분 힙분유 프레를 먹였더니 .트름도 바로바로 하더라고요 그리고 다른분유에 비해 물에 잘녹아요조금만 흔들어도 사르르 녹아요무전분이라.잘녹는것같아요..해외배송 그나마 저렴하다고 생각되는곳에.계속 주문했었는데 리베맘이라는 네이버 카페를.알게되었어요.인터넷 최저가보다 저렴하더라구요ㅎㅎ.그래서 주문해봤답니다...선물같은 택배상자도착.일단 배송이 엄청빨라요. 일걸렸나?.배송대행 이용해보면 일도 넘게 걸리기도하는데 정말 빨랐어요 ], 부정 텍스트 확률 : 50.88%"
"[ .정말 로켓배송ㅎㅎ.후기쓰면 원이나 할인되네요.안그래도 싼데 더할인되다니], 부정 텍스트 확률 : 62.19%"
"[ 곧 단계 먹여야해서 단계로 주문했어요.프레보다 단계는 좀더 저렴한것같아요 ], 부정 텍스트 확률 : 81.28%"
"[ .리베맘은 분유뿐만이 아니고 다른 여러가지 제품들도 판매하고있어요.독일생필품.약국상품.치약.잼.주방세제등등 .가격도 저렴하고 한번 써보고 싶은제품들이.많아요ㅎ.다음엔 다른것들도 주문해서 써봐야겠어요.배송도 빠르고 주문하는것도 간단하고.이벤트도 많이 하네요.리베맘에서 저렴하게 직구해보셔요.주소는. .... ], 부정 텍스트 확률 : 89.28%"
"[ 분유 비교 포스팅을 하고 질문을 많이 받았어요.어떤분유 선택하셨는지.. 라는.. .?힙분유힙분유 직구해서 통 사는 바람에 ..한참먹여서 고르는 데 오래 걸렸네요. 그리고 진짜 또 또...?힙분유이물질힙분유이물질안되겠다싶어 아깝지만 버렸어요.너무 잘 보이죠? ], 부정 텍스트 확률 : 98.27%"
"[ 저는 직구하지 않고 먹였어요..일단 황금변 나옵니다..변도 너무 되지도 묽지도 않은 이쁜변 이에요], 부정 텍스트 확률 : 85.26%"
"[ .먹이던 분유가 떨어져서.힙 먹여보고 싶어서 한통 먹인거거든요.하도 좋다좋다 하니까...근데 게우지도 않네요👍🏻..그리고 분유가 다 “우유], 부정 텍스트 확률 : 75.10%"
"[ 대두”함유 라고 써있는거.아시죠.? 집에있는 분유통 뒤에 보시면.“대두 함유” 써있을거에요..힙분유는 대두가 안들어간 순수한 “우유” 분유에요..레시틴 때문에 대두를 쓰는데.대두 알러지 있는 아가들도 있다죠.알러지때문에 분유통에 필수 표기 하는거랍니다.그래서], 부정 텍스트 확률 : 94.60%"
"[ .아기가 소화를 못시키거나 게울때.힙분유를 많이 먹이잖아요 .왜인지 알것같아요. 신기하게 .게우지않아요🤔..비린냄새도 안나고], 부정 텍스트 확률 : 79.51%"
"[처음으로 맘에 쏙 드는.분유를 찾은듯한....그런데 단계는 퓨어락으로 미리 구매해놓은게.있어서... 혹시 안맞으면.힙 단계로 넘어가야 겠어요🤣..잘 게우는 우리 아들도], 부정 텍스트 확률 : 91.75%"
"[ ..내돈주고 사먹은 후기입니다..... .?분유알러지분유알러지..... .?힙분유힙분유힙프레유기농힙유기농분유힙콤비오틱힙분유추천황금변분유황금변분유수입분유. ], 부정 텍스트 확률 : 96.75%"
"[주 일 이른둥이로 태어난 우리 아기들은 출산 직후 니큐에 입원했었다.조산 한 미안함에 열심히 유축 해서 모유를 갖다줬지만 난 워낙 모유량이 없는 편인데다가], 부정 텍스트 확률 : 55.77%"
"[돌발성 난청까지 와서 어쩔 수 없이 출산한 지 주 정도만에 완분으로 노선을 탔다.그런데 니큐에서는 개인적으로 불매 하는... 사 분유를 먹이고 있었다는 엉엉 ㅜㅜ가끔 면회시간에 보았던 우리 아기들 변 색깔은 황금색깔이 아니었음 ㅡㅡ녹변도 정상이라곤 하지만 난 괜시레 그게 싫었다.일간의 니큐 입원을 마치고 집에 오자마자 사 분유로 바꿨다.믿고 이용하는 회사의 분유라 기대감을 가지고 먹였지만 여전히 아기들의 똥 색깔은녹색....게다가 자주 게우기도 했다.이유 없이 우는 일도 잦아 배앓이 의심도 약간 되었고... ], 부정 텍스트 확률 : 86.39%"
"[ 어떤 분유를 먹일지 많은 검색과 조언을 구한 끝에], 부정 텍스트 확률 : 52.03%"
"[황금색깔을 잘 보여준다는 힙분유를 사기로 맘 먹었다.우선 ㅇ마트에서 테스트용으로 짜리 캔을 두개 구입해 먹여보았다.먹인지 이틀이 지났을까 갑자기 똥 색깔이 녹색에서 금색으로 바뀌는 것우와... 정말 분유에 따라 바뀌는구나. 사실 원리는 잘 모르겠지만... 바뀌는 그 자체가 너무 신기했다.그리고 아기가 게우는 일도 줄어들었다.분유를 좀 더 편안히 먹는 것 같은 느낌이랄까?더 생각하고 자시고 할 게 없었다.그 날부터 곧장 힙 분유로 정착 ], 부정 텍스트 확률 : 97.05%"
"[ ㅇ마트에서 구입하는 힙 분유는 편리하고 캔 포장이라는 이점이 있지만 가격이 넘나 사악하루 이틀 먹일 것도 아니기에 저렴한 직구를 선택해야 했다.나름 직구 경험이 많아서 힙분유로 먹여야겠다 생각하자마자 제일 걱정 됐던 부분은], 부정 텍스트 확률 : 84.06%"
