"[ 스티로폼박스에 보냉제와 같이 들어있네요 ], 긍정 텍스트 확률 : 68.69%"
"[ 타사 제품들은 데우고나면많이 되직해져 끓인 물을 조금 섞어야했는데아이생각 이유식은 초크초크해서 ㅋㅋㅋㅋㅋ데워도 따로 물을 섞을 필요가 없었다.쌀알이 반토막정도 크기였고간혹 한 알이 통째로 있기도 했지만불고 불은 쌀알이라 티니는 잘 먹었다. ], 긍정 텍스트 확률 : 94.28%"
"[ 아쉽지만 티니가 먹는 모습은 찍을 수 없었다.이제 막.. 자기가 숟갈을 들고 먹으려고 해서..바닥에 횟집비닐을 깔고티니가 한 숟갈가져가면 나는 다른 숟갈을 푸고..그 숟갈을 뺏기면 던진 숟갈을 주워서 다시 푸고.. ], 긍정 텍스트 확률 : 81.11%"
"[ 전쟁같은 이유식 시간이지만지가 먹겠다는데 어쩔..안먹는거보다 났다.. 잘한다 내새끼ㅋㅋㅋㅋ어쨌든 단호박고구마 콤보여서 맛있었는지 뚝딱 비운 임티니여사님. ], 긍정 텍스트 확률 : 91.96%"
"[ 보이는가 횟집비닐..식탁이 있건 없건 이런 유형의 아가들한테 필수임..ㅋㅋ한 그릇 비우시고 후식으로 떡뻥을 드시고 계시다.이제는 이유식 거부가 없어졌지만파스퇴르 아이생각 이유식이 생각보다 반응이 좋아서다른 메뉴도 더 먹여볼까 하고 있다.소분 만세시판 이유식 유목민맘님들파스퇴르 아이생각 이유식 체험판 있으니신청해보시길 ], 긍정 텍스트 확률 : 92.04%"
"[어느덧 개월이 된 우리 아가 요즘 잘 먹는 일명 유지태이유식 팜투베이비 유아식 소개해드려요 팜투베이비는 우리 아가 이유식 시작할때부터꾸준히 이유식배달 시켜서 먹고 있는데], 긍정 텍스트 확률 : 97.49%"
"[수 많은 이유식 업체 중에 팜투베이비를 선택한건무엇보다 우리 아가가 넘 잘 먹어서에요], 긍정 텍스트 확률 : 74.09%"
"[ 멋진 두아이의 아빠 유지태도 선택한 팜투베이비 이유식이유식배달 업체 중 가장 많은 친환경 재료를 사용해서 믿고 먹일 수 있어요 아무래도 우리 아가 먹는 배달이유식이라서꼼꼼히 보게 되거든요 ], 긍정 텍스트 확률 : 99.63%"
"[ 이번달까지 쏠쏠한 적립과 할인 혜택이 있더라구요팜투베이비 신규회원은 원 할인이 되구기존 회원 역시 상품할인 추가 할인이 된답니다 ], 긍정 텍스트 확률 : 59.51%"
"[ 언제 이렇게 컸는지우리딸 건강하게 잘 자라줘서 고마워], 긍정 텍스트 확률 : 82.05%"
"[닭가슴살로 차려봤어요], 긍정 텍스트 확률 : 81.18%"
"[ 그리고 두번째 메뉴는짜장과 단호박], 긍정 텍스트 확률 : 60.87%"
"[그리고 닭가슴살 야채볶음으로 ], 긍정 텍스트 확률 : 90.19%"
"[고민하지 않아도 되서 좋아요아무래도 유아식 메뉴 고민하는게워킹맘에겐 힘들었거든요 ㅠㅠ ], 긍정 텍스트 확률 : 70.23%"
"[ 야무지게 수저랑 포크도 잘 사용하는 우리딸팜투베이비 유아식 메뉴 잘 먹어줘서 고마워 ], 긍정 텍스트 확률 : 66.58%"
"[식품의 유형], 긍정 텍스트 확률 : 52.07%"
"[청오건강경기도 광주시 도척면 도척로 번길 ], 긍정 텍스트 확률 : 53.30%"
"[원재료명 및 함량], 긍정 텍스트 확률 : 52.23%"
"[ 여러가지 핫딜 정보들을 업로드하고 있으니 구독하여 매일매일 받아보세요제휴마케팅 제품의 가격 및 정보는 변경될 수 있습니다이 포스팅은 쿠팡 파트너스로부터 일정액의 커미션을 대가를 받고 작성된 광고입니다. ], 긍정 텍스트 확률 : 92.57%"
"[맘큐 사이트에선 매가 회원 할인 적용 시], 긍정 텍스트 확률 : 81.44%"
"[ 저는 진즉에 받은 할인쿠폰 맘큐 사이트에서 할인쿠폰 사용해서 구입하니 핫딜보다 저렴할 때도 있더라구요 하단에는 키로수에 맞춰 적절한 단계로 고를 수도 있었어요. 기저귀마다 크기가 다르니 단계에 따른 키로수는 꼭 확인해보고 구입하세요 여누는 .으로 단계 사용했어요.], 긍정 텍스트 확률 : 62.31%"
"[ 뒷면엔 오가닉코튼커버의 장점들이 소개되었어요. 간단하게 다시 한 번 소개하자면], 긍정 텍스트 확률 : 68.34%"
"[ 디자인 너무 갬성 터져요], 긍정 텍스트 확률 : 79.73%"
"[깔끔한데 귀여운거 좋아하는 저한텐 정말 취저], 긍정 텍스트 확률 : 97.36%"
"[ 디자인은 이렇게 가지로 되어있더라구요 전 원래 증말 깔끔한 디자인 좋아해서 왼쪽이 더 좋았는데 자꾸보니까 오른쪽이 더 좋더라구요 ], 긍정 텍스트 확률 : 68.32%"
"[ 왼쪽은 뒷면이고 오른쪽은 앞면이에요 블로그도 가 되는 날이 올까여...? 제발 왔으면 좋겠네여... 기저귀 진짜 너무 부드러웠어요.], 긍정 텍스트 확률 : 97.70%"
"[ 진짜 세심하다고 느껴졌던 부분], 긍정 텍스트 확률 : 68.36%"
"[ 기저귀마다 안쪽 패드 모양은 다 다른데 오가닉 코튼 커버는 더 남다르더라구요 에어매쉬 구조로 되어있어서 원래도 통기성이 좋았는데 더 좋아졌다고 해요 역시 슈퍼 프리미엄 다워요.], 긍정 텍스트 확률 : 68.76%"
"[중 처리로 샐 염려가 없겠다 하고 찍은 사진인데 더 좋은 점은 이 부분이 천연사탕수수 원료로 친환경 바이오매스 소재로 만들어졌다고 해요. 정말 예민한 아이들은 이 부분에도 빨갛게 부어 오르는 아이들도 있다고 하는데 그런 아이들에게는 정말 찰떡기저귀네요. ], 긍정 텍스트 확률 : 83.03%"
"[ 저 샘 방지 포켓도 촉감이 너무 부들부들하니 좋더라구요. 밴드도 짱짱하니 신축성 좋아 활동량 많은 개월 여누한텐 너무 편한 기저귀더라구요], 긍정 텍스트 확률 : 97.74%"
"[ 그리고 또 좋았던 부분은 이 밴드 처리할 까슬이 보슬이? 여기 부분도 너무 부드러웠어요. 부드러워서 접착력이 약할까봐 걱정했는데 걱정할 필요 도 없었어요], 긍정 텍스트 확률 : 73.10%"
"[소변선ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ굳이 만져보지 않아도 기저귀 갈아 줄 시기가 됐는지 단번에 알아차릴 수 있는 그 소변선 제가 사용한 제품은 별 모양이었었는데 오가닉코튼커버는 꽃 모양이더라구요], 긍정 텍스트 확률 : 87.35%"
"[ 아침에 일어나서 첫 기저귀에요. 좀 저렴한 제품들은 아침에 일어나면 겉면까지 기저귀가 축축하더라구요 ㅠㅠ..근데 오가닉 코튼커버는 축축하지 않았어요. 밤잠 기저귀는 오래 차기 때문에 간혹 다리밴드 쪽에 빨갛게 자국난게 오래갈 때도 있었는데 오가닉 코튼은 자국도 금세 없어지더라구요 그리고 밤잠 자고 일어나면 아무래도 기저귀를 오래차고 있으니 ㅠㅠㅠ], 긍정 텍스트 확률 : 81.14%"
"[아침에 갈아줄 땐 무조건 씻기는 편이에요. 근데 통기성이 좋아서 그런지 흡수력이 좋아서 그런지 아님 둘 다 좋아서 그런지 밤잠 기저귀로 사용하고나선 아침에 씻기는 횟수가 줄었어요], 긍정 텍스트 확률 : 96.02%"
"[ 이건 낮잠 자고 난 이후로 갈아준 기저귀에요 헤헤], 긍정 텍스트 확률 : 82.92%"
"[ 우래기 소변 봐주셔서 감사해요. 일단 노란색 소변줄이 파랗게 변한건 보이시죠? 너무 밝은 햇빛 들어오는 곳에서 찍어서 그런지 흐려보이는데 실제론 이 정도까지 흐리진 않아요.], 긍정 텍스트 확률 : 96.08%"
"[ 밴드의 가장 큰 장점ㅋㅋㅋㅋㅋ이렇게 깔끔하게 정리가 가능하다는 점 그리고 겨울 되니까 진짜 외출 시에 밴드형 기저귀가 필수더라구요 ㅠ..ㅠ 바지벗기고 내복벗기고 기저귀 다시 채우고 내복입히고 바지입히고...아주 일인데 밴드형은 다 벗기지 않아서 외출할 때 전 무조건 밴드형 챙겨 나가요], 긍정 텍스트 확률 : 73.36%"
"[ ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ 신축성 좋은거 영상에 담아두고 싶었는데 보이시나요 이렇게 잡아 땡겨도 바로 자리잡는], 긍정 텍스트 확률 : 85.18%"
"[신축성이 좋아 샐까봐 걱정하실 육아맘님들], 긍정 텍스트 확률 : 86.39%"
"[오가닉 코튼은 샘방지가 있어 걱정하실 필요없어요], 긍정 텍스트 확률 : 79.23%"
"[개월아기 후기이유식배달은유지태이유식 팜투베이비죠.짝짝짝 요즘 에서 자주 보고 있는 유지태님 로 볼때마다 괜히 반갑고 옆집 아저씨같고? 배달이유식 중 가장 많은 친환경재료를 사용하는 이유식이 팜투베이비인거 알고계시나요?초기이유식부터 중기이유식], 긍정 텍스트 확률 : 99.15%"
"[이젠 후기이유식까지 팜투베이비 이유식을 먹이고 있는데 유찬이가 좋아하는 이유식 중 하나라죠.. .?팜투베이비팜투베이비.?이유식이유식.?이유식추천이유식추천.?유지태이유식유지태이유식. .?친환경이유식친환경이유식.?이유식배달이유식배달.?후기이유식후기이유식.?개월아기개월아기. .?배달이유식추천배달이유식추천.?유아식단유아식단.?팜투베이비이유식팜투베이비이유식 ], 긍정 텍스트 확률 : 99.46%"
"[ ..하지만 괜찮아요 더 큰 이벤트를 팜투베이비 홈페이지에서 진행중이니까요월이니까 할인 모든맘을 응원해 이런 이벤트는 빨리 알려줘야하는데 말이죠월일부터 월일까지 진행예정인 파뭍베이비 첫만남 응원 이벤트로 얼른얼른 뭅하셔용 재주문고객과 추가혜택도 있어요. ], 긍정 텍스트 확률 : 89.58%"
"[닭가슴살배죽], 긍정 텍스트 확률 : 85.78%"
"[닭가슴살단호박가지죽], 긍정 텍스트 확률 : 73.06%"
"[대구살비타민콘스프죽], 긍정 텍스트 확률 : 71.57%"
"[홍메기살채소죽 그리고 찬이 간식으로 유기농쌀과자 치즈볼 개를 선택했어요], 긍정 텍스트 확률 : 59.68%"
"[ .이유식을 먹이다가 간식도 줘야하고 물도 줘야하고 애교도 부려야하고 노래도 불러주고 노래도 틀어주고 율동도 함께 해야하는게 엄마라죠 ㅋㅋㅋ ], 긍정 텍스트 확률 : 79.10%"
"[ .단호박알밤보양죽은 건강가득 맛있는 냄새가 솔솔났는데요. 이유식을 주면서 저도 몇숟가락 아주 작게 먹어보는데 후기이유식이라 그런지 정말 맛있더라구요], 긍정 텍스트 확률 : 71.04%"
"[ .그래서 찬이가 좋아하구나?맛도 맛이지만인증에 신선한 유기농곡류와 국내산 친환경 채소], 긍정 텍스트 확률 : 83.92%"
"[그리고 안전과 위생까지 말해뭐해요 ], 긍정 텍스트 확률 : 59.52%"
"[ .이유식과 함께 와우컵으로 물도 잘먹는 유찬이 이제 하산해도 되겠구나 ㅋㅋㅋ ], 긍정 텍스트 확률 : 91.74%"
"[ .냉장보관을 원칙으로 제조일로부터 일이라 주문하고나면 열흘이상 마음이 든든하다죠 집에서 만드는 이유식도 좋지만 확실히 배달이유식이 편하고 아이가 좋아하더라구요 ], 긍정 텍스트 확률 : 98.48%"
"[ .냠냠냠냠엄마가 만든것보다 맛있다는거 다 알고있엉 많이 먹엉 유찬아 개월이면 이유식덮밥소스도 먹고 한다던데 ㅋㅋㅋ 조만간에 먹겠네용 돌이후엔 먹을 수 있는게 많겠지만 아직까지 어른들과 함께 먹는건 무리일테니 당분간 팜투베이비를 쭉 이용해야겠어요 ], 긍정 텍스트 확률 : 97.85%"
"[잘먹고 잘커줘서 너무너무 좋은거있죠 영유아검진에서도 상위권이고장하나 내새끼 건강하고 맛있는 유지태이유식 팜투베이비이유식에서 주문한 개월아기 후기이유식 항상 만족중이며 쭈욱 이용할래요 아 일까지 팜투베이비 이유식에 동봉된 포토프레임으로 아이가 이유식을 먹는 모습을 촬영해 에 올리면 선착순으로 포인트를 준다더라구요 저도 내일 올려야겠어요 미션완료후엔 추가 포인트까지 요런 꿀이벤트 놓치지마세욧 ], 긍정 텍스트 확률 : 99.78%"
"[벌써개월일차에 진입한 봄이♡중기로 넘어갈수록 점점 비싸져가는 시판 이유식..ㅠㅠ때문에 가성비 좋다고 소문난 브랜드인], 긍정 텍스트 확률 : 80.53%"
"[ 팜투베이비 이유식 팩과 간식을 함께 넣을 수 있는 넉넉한 사이즈다엄청 탐났던 팜투베이비 보냉가방♡디자인도 엄청 귀엽다], 긍정 텍스트 확률 : 96.49%"
"[ 해피백 구성품들 모두], 긍정 텍스트 확률 : 56.89%"
"[ 보냉가방에 정성스럽게 포장되어 함께 배송된다 살짝 열어만 봤는데도], 긍정 텍스트 확률 : 85.37%"
"[가득가득 들어있는 선물들♥.♥ ], 긍정 텍스트 확률 : 99.98%"
"[ 팜투베이비와 여러 제휴사들이], 긍정 텍스트 확률 : 62.66%"
"[ .. . 팜투패밀리오가닉라이스퍼프 종 오가닉 라이스퍼프 레인보우볼 사과와 오가닉 라이스퍼프 레인보우 소프트바 바나나두 종류의 과자를 선물받았다 한창 이유식 먹으며 중간중간 간식을 먹을 때라], 긍정 텍스트 확률 : 74.05%"
"[물티슈는 정말 중요한 육아템 중 하나이다.직], 긍정 텍스트 확률 : 58.99%"
"[ 간접적으로 아기에게 닿는 물티슈이기 때문에], 긍정 텍스트 확률 : 74.93%"
"[ 나같은 경우엔 성분 엄청 꼼꼼하게 따져서 구입한다.팜투베이비 해피백에서 선물 받은 올담 물티슈사용하기 전], 긍정 텍스트 확률 : 65.25%"
"[알레르기 유발 주의성분 포함되어 있지 않는 물티슈라], 긍정 텍스트 확률 : 54.83%"
"[ 믿고 사용할 수 있을 듯♡ ], 긍정 텍스트 확률 : 61.58%"
"[ 사용하기 전에 비닐 제거해주는 센스가 필요할듯♡ ], 긍정 텍스트 확률 : 77.97%"
"[. 누크이유식 스푼개월. 누크스푼 포크 세트개월 많으면 많을수록 좋은 이유식스푼 및 스푼포크세트도], 긍정 텍스트 확률 : 87.70%"
"[ 더욱 믿음이 간다 이유식 스푼은 현재 사용중이고], 긍정 텍스트 확률 : 87.00%"
"[개월차에 사용하려고 보관중이다], 긍정 텍스트 확률 : 53.85%"
"[젤 모이스처 모두가지주의성분], 긍정 텍스트 확률 : 54.39%"
"[ 자연주의화장품 역시 믿고 사용할 수 있는 제품들로만 가득찬 선물 보내주는], 긍정 텍스트 확률 : 95.18%"
"[ 성인은 물론], 긍정 텍스트 확률 : 53.60%"
"[아이와 함께 쓸 수 있는온가족 바디 제품안전한 성분만을 담아], 긍정 텍스트 확률 : 91.70%"
"[예민한 피부에도 자극없이 순하게 작용한다고 한다.온가족 데일리 로션이자], 긍정 텍스트 확률 : 76.08%"
"[익히 알고 있었던 브랜드 기저귀도 꽤 좋다고 들었어서], 긍정 텍스트 확률 : 95.70%"
"[기저귀 무게도 가볍고], 긍정 텍스트 확률 : 61.65%"
"[. 유피스일회용 순면커버 수유패드 매입사실 나는 완분맘이기 때문에], 긍정 텍스트 확률 : 79.62%"
"[ 수유패드에 대하여 잘 모른다 ㅠㅠㅠㅠㅠㅠㅠ요 제품은 사용할 일이 없어], 긍정 텍스트 확률 : 68.24%"
"[내년월 출산예정인 아는언니한테 전달해줄 예정♡저자극 순면커버와 꽃잎모양 중 샘 방지선으로], 긍정 텍스트 확률 : 61.77%"
"[ 한창 건조해지고 있는 요즘], 긍정 텍스트 확률 : 84.14%"
"[ ㅠㅠ우리 봄이 얼굴에도 건조하며 푸석푸석해져가고 있다..아기 피부에 촉촉하게 작용한다고 하니], 긍정 텍스트 확률 : 97.99%"
"[ 겨울에 사용하기 좋을듯살짝 손에 발라봤는데], 긍정 텍스트 확률 : 85.02%"
"[엄청 촉촉하다♡ ], 긍정 텍스트 확률 : 71.47%"
"[ ..정성스러운 선물들로 가득한 팜투베이비 해피백 구성품들♥.♥완전 만족스럽당여가지 친환경 재료유기농], 긍정 텍스트 확률 : 99.99%"
"[무농약], 긍정 텍스트 확률 : 51.42%"
"[ 좋은 재료 좋은 이유식 년년에 친환경브랜드대상으로 선정되었다고 하니 더욱 믿을만 한 듯배우 유지태가 선택한 팜투베이비 이유식], 긍정 텍스트 확률 : 99.62%"
"[ ..현재 중기이유식 시작한 봄이친환경이유식 팜투베이비 중기 이유식으로], 긍정 텍스트 확률 : 83.10%"
"[ 믿고 배달시켜 먹이고 있는중이다♡ ], 긍정 텍스트 확률 : 58.88%"
"[이유식후기지만 여전히 애미는 밥해줄 생각이 없이 시판이유식에 의존중이다 ], 긍정 텍스트 확률 : 81.75%"
"[ 확실히 진밥이라그런지 이전에 먹던 죽과는 확연히 다른 느낌이다 ], 긍정 텍스트 확률 : 88.08%"
"[ 후기여도 소고기안심을 아직 먹이고있다 근데 맛없는가봄], 긍정 텍스트 확률 : 64.43%"
"[ . ㅎ ], 긍정 텍스트 확률 : 73.06%"
"[ 그렇게 촉촉하게 죽처럼 먹이다가 주 지나니 이제 잘먹어준다 ], 긍정 텍스트 확률 : 74.57%"
"[ 아가들도 적응을 하는건지 시간지나니 잘먹어줘서 너무 다행이다], 긍정 텍스트 확률 : 56.39%"
"[ 그치만 여전히 반이상 먹고나면 손가락 집어넣어서 빼거나 뱉기도 하지만], 긍정 텍스트 확률 : 67.12%"
"[ ..ㅎ그래도 이정도 먹어줌에 감사하며 오늘도 이유식 화이팅 ], 긍정 텍스트 확률 : 99.51%"
"[임신하고 소소하게 이벤트들을 찾아서 아기용품을 모아보고 있는데요그 중에서 정말 구성 최고로 꼽는 크베맘박스 후기예요크베맘박스 신청은 크라잉 베베 카페 가입 후 『크베맘 박스 신청카테고리에서 하시면되요다른 곳과는 다르게 크라잉베베에서는 일주일에 마다 명씩 추첨해서 선물을 주니 당첨확인도 빠르고 확률도 높아요 저도 두 번의 도전 끝에 성공 .... ], 긍정 텍스트 확률 : 99.94%"
"[ 집에오니 커다란 박스가 딱우리 에펠이를 위한 선물이 도착해있었어요 ], 긍정 텍스트 확률 : 51.26%"
"[ 상자를 열어보니 심쿵한 포장...ㅠㅠ 너무 정성스럽고 이쁜 상자에 담겨있는 선물들핑크핑크한 박스에 깜찍한 리본 포장까지 너무 감동이였어요생각보다 큰 상자에 두근두근 하더라구요 ], 긍정 텍스트 확률 : 94.95%"
"[ 크라잉 베베 크베맘박스의 구성은 정말 알차요무려 가지의 상품으로 구성 이 되어있는데요기재된 항목보다 추가로 더 온 것인지 가지 더 들어있었네요 ], 긍정 텍스트 확률 : 80.74%"
"[ 순한 면소재의 침받이와 카시트 이용 안전 가이드북그리고 차량에 부착할 수 있는 스티커까지 동봉 되어 있어서 정말 유용해요저희도 에펠이가 태어나면 스티커부터 차에 붙이려고해요 ], 긍정 텍스트 확률 : 68.24%"
"[ 베베스트흑미 쌀죽야채 쌀죽아기가 이유식을 시작할 때나 써볼 수 있을 것 같아요건강에 좋은 흑미와 야채맛의 부드러운 쌀죽가루 ], 긍정 텍스트 확률 : 62.09%"
"[ 유트러스 랩유트러스 랩은 신생아가 편하게 엄마와 밀착이 되도록 슬링으로 사용할 수 있는 랩이예요엄마는 몸에 무리가 가지 않도록 아기를 안을 수 있고 아기는 편안함을 느낄 수 있다고 하네요 ], 긍정 텍스트 확률 : 83.93%"
"[ 유트러스 아기 베개뒷통수를 이쁘게 해줄 유트러스 아기베게맘박스에 아기 베개가 들어있다니 대박구성이죠...ㅠ 너무나도 귀여운 노랑팽귄이예요 ], 긍정 텍스트 확률 : 99.62%"
"[ 케이맘 친환경 세제아기옷와 젖병 세제 샘플이 들어있어요아기의 몸에 바로 닿는 옷과 먹는 젖병 세정제 아무거나 쓸 수 없으니 샘플로 사용해보고골라서 쓰기 좋은 것 같아요 ], 긍정 텍스트 확률 : 90.97%"
"[ 물티슈 종순둥이 물티슈 매와 물따로 물티슈건티슈 세트 개물따로 물티슈건티슈는 기본은 건티슈로 사용이 가능하고 함께 들어있는 초순수 액체를 물티슈통에 부어 물티슈로 사용할 수 있어요 ], 긍정 텍스트 확률 : 59.91%"
"[ 사용 방법과 기한은 참고하세용건티슈와 물티슈를 한번에 사용할 수 있다니 석조이상 크베맘 박스 후기였는데 정말 구성 대박이죠ㅠㅠ예미 엄마분들은 꼭 신청하셔서 행운이 있으시길 바랍니당 ], 긍정 텍스트 확률 : 97.47%"
"[ 너무나 행복한 택배 팜투베이비아이를 위해 믿고 구매하는 팜투베이비겨울철 아이의 기관지를 위해 팜투패밀리 배도라지김유아반찬], 긍정 텍스트 확률 : 87.72%"
"[ 두 아이의 아빠 유지태.?유지태이유식유지태이유식 으로도 이미 많이 알려져있죠], 긍정 텍스트 확률 : 66.36%"
"[ 저는 팜투베이비몰에서 이유식은 물론 지금은 유아식], 긍정 텍스트 확률 : 62.33%"
"[김 등 꾸준하게 이용중인데요입 짧고 입맛 까다로운 우리 딸도 잘 먹어주니 끊을 수가 없다는], 긍정 텍스트 확률 : 86.29%"
"[ 무슨 반찬 할까 .. 할 때 손이 잘 안가는 재료들은 이렇게 주문해보기도 해요특히 새우치즈고구마그라탕 이거 이거딸아이 친구들은 고구마 잘도 먹는다는데맛있게 조리 된 팜투베이비 새우치즈고구마그라탕 요거 정말 잘 먹더라고요 ㅋㅋ 편식 방지를 위해 종종 주문한답니다 ㅋㅋ], 긍정 텍스트 확률 : 94.14%"
"[ 안전한 포장은 물론 내외부 온도 제어가 가능한도입으로보다 신선하게 수령 받을 수 있어요.아이가 먹을 식품이다보니 포장과 배송 신경쓰이잖아요. ], 긍정 텍스트 확률 : 81.31%"
"[ 전자레인지에 사용 가능한 요기라 쉽게 뜯을 수 있는 이지필 용기인데요], 긍정 텍스트 확률 : 54.36%"
"[ 저는 여유로울 땐 이렇게 밀크팬에 한번 달궈서 먹여요.갓 조리한 듯 ..... ㅎㅎㅎㅎㅎㅎ], 긍정 텍스트 확률 : 95.49%"
"[아이가 좋아하는 팜투베이비 메뉴중에 하나무농약양배추], 긍정 텍스트 확률 : 92.10%"
"[무항생제한우], 긍정 텍스트 확률 : 51.42%"
"[무농약당근], 긍정 텍스트 확률 : 51.42%"
"[짜장가루 등 성분 함량표기가 되어 있어 더욱 안심이 가요 ], 긍정 텍스트 확률 : 94.71%"
"[ 비쥬얼 이 정도면 굿], 긍정 텍스트 확률 : 96.23%"
"[반찬 국 걱정없이 팜투베이비와 함께 저녁 대령이요 ], 긍정 텍스트 확률 : 61.50%"
"[ 발 씻고 시청하거나 장난감 가지고 놀 때 부랴부랴 저녁을 준비하는 일상.저녁 준비 시간을 생략하고 딸아이와 여유로운 시간을 보낼 수 있으니 좋기도 하고 잘 먹어주니 더더욱 좋고 ♡ ], 긍정 텍스트 확률 : 79.47%"
"[ 싹싹 긁어먹이기 볼록 튀어나온 딸아이의 배를 보면 참 흐믓하죠 이번에 팜투베이비 하이프레시 입점으로 하이프레시에서 이유식], 긍정 텍스트 확률 : 73.64%"
"[ 월에도 진행중인 매월 팜투베이비 해피백 명이벤트 그 외에도 두 팩 무료체험], 긍정 텍스트 확률 : 69.71%"
"[ 아이가 너무나 좋아하는 팜투패밀리 배도라지..벌써 바닥이 나...... 재주문하러 가야겠어요 ♡ ], 긍정 텍스트 확률 : 88.15%"
"[ 팜투베이비로부터 이용권을 제공받고 작성한 솔직한 후기입니다. ], 긍정 텍스트 확률 : 62.38%"
"[ 아가가 활짝 웃는 사진도 넘 사랑스럽다. ], 긍정 텍스트 확률 : 98.00%"
"[ 그리고 요 제품의 가장 주목할 만한 점하기스 네이처메이드 오가닉 코튼커버는오가닉을 소량 함유한 다른 기저귀와는 다르게 국제 공인인증을 받은오가닉 코튼으로 만들어졌다역시 하기스 네이처메이드의 섬세함은 그대로 가지고 있으면서한 단계 업그레이드된 기저귀라고 볼 수 있다 ♥ ], 긍정 텍스트 확률 : 99.84%"
"[ 비닐을 뜯을 때 보니 따는 선이 있어서그대로 점선을 따라 개봉하면힘줘서 뜯을 필요도 없었다 굿굿 ], 긍정 텍스트 확률 : 53.25%"
"[ 그리고 뒷부분은 안심샘방지 포켓으로 묽은 변도 새지 않게 잡아주어혹시 설사를 하더라도 안심하고 채울 수 있을 것 같다.밴드 부분도 당겨봤는데 완전 짱짱해서 더 만족쓰], 긍정 텍스트 확률 : 51.83%"
"[ 밑위도 얼마나 기냐면내복 바지 위로도 올라오는 정도여서예전처럼 응아가 샐까 봐 걱정할 일은 전혀 없을 듯.또 요즘 흡수재를 일본산으로 쓴 기저귀도 많던데요건 유럽산 흡수재에다가독일 더마테스트등급 피부자극테스트도 완료했다니 정말 슈퍼프리미엄기저귀가 아닐 수 없다.요렇게 여러모로 완벽한 하기스 네이처메이드 오가닉 코튼커버민감하고 연약한 피부를 가진 아가를 위한 건강한 친환경 기저귀로 완전 인정기저귀 유목민 생활 중인 분들은우선 나처럼 한팩사셔서 꼭 한번 써보시길 추천드린다], 긍정 텍스트 확률 : 74.79%"
"[ 제가 해준 걸 잘 안먹기도 하고..외출도 많기 때문에 좀 더 간편하게 먹일 수 있는.?아이반찬아이반찬.?이유식이유식 을 찾다가 알게된이유식소스이 이유식소스가 있으면 입맛잃은 아이도 다시 되돌아온다는 말에.젤 유명한팜투베이비 이유식소스 를 주문했어요. ], 긍정 텍스트 확률 : 95.72%"
"[ 팜투베이비는 이렇게 뚜껑이 있어서 이것도 만족스럽더라구요.남은 건 뚜껑 닫아서 냉장고에 넣어두면 되니 세상 간편 ♥ ], 긍정 텍스트 확률 : 99.35%"
"[.?유지태이유식유지태이유식으로도 유명한 팜투베이비.이미 첫째 육아할 때부터 유명했던 팜투베이비인데 이번에 유지태가 하는 티비광고를 보니 더 믿음이 가더라구요.팜투베이비 이유식과 유아식 종류가 무려 종이에요종류가 적으면 아이가 계속 먹기 지루할 수 있는데..초기이유식부터 다양하게 쭉 먹일 수 있어 최고 ], 긍정 텍스트 확률 : 99.66%"
"[ 지금 인스타 행사도 하고 있으니 요런건 깨알같이 챙겨야죠ㅋㅋ ], 긍정 텍스트 확률 : 80.15%"
"[새우살시금치카레 덮밥소스 등.집에서 내가 해줄 수 없는 재료로 만든 이유식이라 더 만족스러워요 ], 긍정 텍스트 확률 : 61.10%"
"[ 긴장하는 마음으로.. 전자레인지에 살짝 돌리구요.쌀밥 위에 소스를 부어줍니다 ], 긍정 텍스트 확률 : 55.81%"
"[ 새로보는 비주얼에 약간 놀란 둘째 ㅋㅋ하도 안먹어서 .. 요즘 그냥 김에 싸서 주곤 했거든요 ㅠㅠ성장하는 시기에 좀 더 영양가 있게 먹었어야 했는데], 긍정 텍스트 확률 : 72.36%"
"[ 팜투베이비는 이유식소스를 만들 때 친환경 재료 깊은 육수를 사용하는 것 같아요.이유식향을 맡아보니..진하고 깊은 향이 나요ㅋ간은 거의 안되어 있네요.이미 성인반찬들을 먼저 접한 개월 아기인데.. 과연 잘 먹어줄까요? ], 긍정 텍스트 확률 : 87.69%"
"[ 소심하게 맛을 본 사랑이. ], 긍정 텍스트 확률 : 69.61%"
"[ 이내 연신 흡입합니다 ㅋㅋㅋ괜한 걱정이었어요 ㅋㅋㅋ ], 긍정 텍스트 확률 : 56.96%"
"[ 어찌나 맛나게 먹던지..진작 이유식소스 주문할껄 ㅠㅠ고기도 하도 안먹어서 눈 밑 다크서클이 좀 더 진해졌는데..팜투베이비 안의 고기는 또 잘먹네요 ], 긍정 텍스트 확률 : 82.64%"
"[ 고기랑 야채 썰어논게 생각보다 사이즈가 크길래 뱉어내는게 아닐까 걱정도 했는데제가 맛보니 무척 부드러워요 이가 다 나지 않은 아기들도 잘 먹을 수 있겠더라구요. ], 긍정 텍스트 확률 : 65.82%"
"[ 새우살과 애호박], 긍정 텍스트 확률 : 58.30%"
"[파프리카 등 다양한 채소와 함께 야채육수], 긍정 텍스트 확률 : 62.19%"
"[약간의 굴소스로 맛을 낸 덮밥소스에요. 진한 새우향이 일품이네요 ], 긍정 텍스트 확률 : 90.16%"
